	GTEX.139TT.0726.SM.5K7XW	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.ZA64.0326.SM.5HL8T	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.RWSA.1126.SM.2XCAZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.Q2AG.1026.SM.33HBW	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.NFK9.1026.SM.2HMK1	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.131XH.0426.SM.5DUWU
PSMD4	1268.46	3039.3	2875.3	4481.23	3039.3	2627.46	1437.15	2032.85	2075.59	3303.0	961.07	2287.2	3168.41	2935.74	3190.46	2835.7	4328.55	1397.83	2997.45	2796.65	1437.15	2835.7	2451.44	3614.55	3443.31	2335.28	4836.35	1963.57	2701.35	2935.74	2777.33	2935.74	2351.53	2133.97	4210.15	2875.3	2018.8	1936.53	1477.58	1143.1	4210.15	3257.52	2875.3	2119.22	3081.75	3039.3	2997.45	2609.3	2895.31	3639.7	3060.45	2417.67	4239.45	3820.7	3820.7	8191.0	884.29	2485.67	1963.57	3742.05	2895.31	1991.0	2485.67	2875.3	2434.5	3280.18	2915.45	1561.89	2367.9	1977.24	896.64	1498.22	2271.4	1529.73	1111.82	1685.71
RBFA	147.06	414.87	438.59	665.29	417.77	409.15	136.19	307.69	363.56	384.34	187.71	376.41	358.54	209.84	403.5	387.02	389.72	98.73	325.29	423.61	209.84	392.44	303.44	381.68	356.05	214.27	450.94	343.89	381.68	348.71	368.65	314.17	262.2	392.44	759.08	392.44	312.0	341.51	220.32	116.78	395.18	435.55	265.87	336.79	291.04	473.41	466.88	403.5	412.0	521.76	329.84	351.14	441.64	371.22	599.49	703.28	181.28	303.44	389.72	307.69	361.04	381.68	275.28	518.15	457.25	351.14	438.59	265.87	363.56	361.04	99.43	211.31	271.48	269.6	139.07	176.29
RHBDD3	154.42	253.23	358.54	579.04	389.72	384.34	127.89	193.01	262.2	279.14	224.97	157.68	285.03	234.57	289.02	336.79	381.68	139.07	303.44	301.33	164.42	291.04	289.02	480.04	417.77	201.25	529.06	159.9	320.8	339.14	395.18	305.55	164.42	258.57	674.59	400.71	248.0	316.37	201.25	181.28	336.79	595.34	249.73	303.44	341.51	368.65	423.61	366.09	473.41	406.31	567.1	289.02	343.89	281.09	397.93	1175.27	119.26	212.78	214.27	327.56	291.04	376.41	234.57	305.55	438.59	299.25	309.83	104.42	476.71	476.71	100.83	226.54	185.11	165.57	191.67	107.38
RPS6KB2	785.88	872.1	830.75	988.12	1015.93	825.0	669.92	785.88	819.3	878.17	713.11	759.08	1073.91	961.07	753.83	785.88	1001.93	490.14	1191.69	802.41	764.36	718.08	543.96	1369.04	819.3	748.61	1594.73	571.05	791.35	791.35	974.5	743.43	607.87	679.29	1417.35	1159.07	748.61	743.43	438.59	651.58	934.76	1331.57	848.22	764.36	884.29	884.29	1322.37	1030.12	1407.55	830.75	1175.27	567.1	1417.35	921.88	679.29	1350.18	244.57	836.53	896.64	1143.1	708.18	587.13	647.07	753.83	1313.23	941.27	796.86	713.11	947.83	1066.48	486.75	723.08	638.15	409.15	591.22	688.78
SCAMP4	595.34	1594.73	1639.59	1662.49	1583.71	1467.37	934.76	1617.0	1295.13	1001.93	866.07	1447.15	1617.0	708.18	1551.09	1709.26	813.63	483.38	1832.01	1508.65	808.0	1407.55	1369.04	1286.18	1477.58	1066.48	1709.26	753.83	1662.49	1477.58	1457.23	961.07	738.29	1183.45	1769.57	1561.89	1508.65	961.07	1081.39	769.69	1286.18	1923.14	1477.58	1277.29	1540.37	1781.89	1561.89	1225.22	1487.87	1104.13	1662.49	1044.52	1540.37	1467.37	1313.23	1304.15	854.13	1119.56	1119.56	1388.16	1605.83	1540.37	1242.34	1225.22	1769.57	1529.73	1963.57	866.07	1594.73	1151.06	603.67	660.68	1369.04	698.41	780.44	651.58
SFTPC	8963.45	1.848689914E7	5.882801313E7	1.748967224E7	1.381756339E7	2.18328924E7	830.75	7.92550749E7	6766600.51	1.353320203E7	3.402283342E7	4.811555286E7	3.174442598E7	5650706.18	3.003205688E7	2.706640506E7	4.188702152E7	24153.43	3.130739107E7	2.4225111E7	7665772.81	1.343972137E7	2.880867455E7	1.587221249E7	2.542950323E7	2.138357795E7	1.18632822E7	6766600.51	2.339991475E7	1.501602794E7	5.761735011E7	1.927195942E7	1.36273329E7	3.801327429E7	1.609378033E7	2.260282772E7	4.878722096E7	3.72309724E7	2.405777593E7	53601.03	1.106883362E7	1.887534821E7	2.123587078E7	2.276004283E7	1.874496665E7	2.138357795E7	1.501602794E7	1.410789979E7	1.501602794E7	1.913883827E7	2.706640506E7	1.410789979E7	2.525384881E7	5.228884881E7	2.198475218E7	363097.14	6014443.23	2.009035788E7	1.0826562323E8	1.194579786E7	1.954098596E7	2.037080884E7	2.560637942E7	1.491230465E7	3.109113511E7	1.130141336E7	6.17527469E7	381149.17	2.578448588E7	1.325469274E7	5954.47	2.009035788E7	1.66613263E7	569761.05	189257.69	1956711.0
SLC25A11	511.0	1498.22	1857.6	1721.16	1437.15	1617.0	414.87	1519.15	1277.29	1208.34	371.22	1250.98	2133.97	629.35	1832.01	1457.23	1331.57	414.87	1551.09	1044.52	769.69	1216.75	1407.55	1628.26	1572.76	1044.52	1819.35	490.14	1250.98	1322.37	1697.45	1015.93	733.19	1721.16	2255.7	2018.8	1015.93	775.05	684.02	551.56	1583.71	1662.49	1572.76	1023.0	1540.37	1857.6	2451.44	1417.35	1407.55	1883.54	1216.75	1135.2	1674.06	1572.76	1594.73	1896.65	567.1	1159.07	1313.23	1378.57	1508.65	1159.07	1208.34	1457.23	1540.37	1883.54	1769.57	780.44	1477.58	1059.11	483.38	769.69	1127.35	708.18	521.76	543.96
SLC27A5	108.9	182.55	334.46	457.25	202.66	351.14	116.78	143.01	182.55	115.16	28.24	220.32	287.01	94.67	143.01	547.75	470.14	59.13	162.14	115.16	110.43	189.02	190.34	265.87	289.02	47.84	454.09	54.72	291.04	212.78	318.57	81.71	255.0	275.28	547.75	361.04	125.24	62.12	63.0	65.26	339.14	503.95	178.77	193.01	262.2	460.44	281.09	209.84	432.53	339.14	177.53	113.56	376.41	164.42	575.03	420.68	42.41	123.5	327.56	299.25	376.41	264.03	185.11	318.57	373.81	563.18	143.01	77.79	271.48	182.55	45.53	135.24	100.13	189.02	85.82	98.73
SLC38A10	493.56	1295.13	1769.57	2061.24	1781.89	1896.65	503.95	1594.73	1685.71	1709.26	395.18	1487.87	1250.98	718.08	1896.65	1745.2	1977.24	363.56	1551.09	1008.9	1757.34	1350.18	1233.75	2163.77	1806.78	1001.93	1617.0	490.14	954.43	1697.45	2047.0	967.76	669.92	830.75	1832.01	2555.58	1277.29	629.35	1225.22	466.88	2047.0	2758.13	1936.53	1225.22	1561.89	2303.12	2090.03	1551.09	1977.24	1378.57	1923.14	1015.93	1794.29	1088.92	1745.2	2520.38	753.83	842.36	1477.58	1417.35	1806.78	1832.01	1857.6	1369.04	2104.58	1685.71	1832.01	713.11	2520.38	1151.06	248.0	988.12	1225.22	884.29	429.54	559.28
SLX4	16.03	85.82	33.54	53.57	72.01	38.95	17.38	45.53	48.18	45.21	23.08	32.82	37.85	23.08	78.89	66.65	34.51	23.76	63.89	31.67	27.25	53.95	49.21	44.25	60.82	36.27	70.01	21.47	48.87	66.18	58.71	51.35	14.24	71.0	125.24	75.64	24.28	17.77	25.91	18.03	78.89	79.45	50.98	39.5	49.56	87.03	88.26	63.45	92.05	60.39	48.87	60.82	82.29	42.41	41.52	60.39	21.16	37.32	29.7	60.82	80.57	25.35	48.52	75.11	57.08	56.68	77.79	19.11	80.57	53.19	12.18	24.28	48.87	27.44	18.97	13.32
STRA13	616.37	928.3	1769.57	2739.08	1037.29	1407.55	423.61	866.07	1551.09	1572.76	514.56	1508.65	1819.35	921.88	1119.56	974.5	1991.0	336.79	1331.57	642.59	1191.69	1304.15	1313.23	1936.53	1963.57	651.58	1781.89	229.72	1001.93	954.43	1508.65	785.88	813.63	1175.27	3589.58	1936.53	1844.76	902.89	698.41	356.05	1059.11	1277.29	1769.57	1304.15	1427.22	974.5	1143.1	1250.98	1259.69	1594.73	1477.58	563.18	1159.07	1242.34	2591.27	5403.7	463.65	848.22	1674.06	1378.57	1540.37	1883.54	848.22	1250.98	1870.53	1936.53	988.12	376.41	1617.0	995.0	551.56	713.11	909.17	656.11	483.38	454.09
TADA3	688.78	1073.91	1313.23	1909.85	1259.69	1769.57	480.04	1487.87	1286.18	1322.37	503.95	1359.57	1540.37	532.74	1628.26	1508.65	1594.73	463.65	1605.83	954.43	603.67	1407.55	1397.83	1628.26	1844.76	1151.06	1191.69	764.36	1313.23	1175.27	1519.15	1369.04	718.08	1417.35	1936.53	1407.55	909.17	872.1	708.18	500.46	1551.09	1909.85	1437.15	1183.45	1605.83	1540.37	2178.83	1477.58	1806.78	1477.58	1359.57	1216.75	1639.59	1397.83	1674.06	1331.57	753.83	1096.5	1183.45	1208.34	1757.34	1268.46	1561.89	1896.65	1769.57	2004.85	1662.49	624.99	1674.06	1498.22	351.14	651.58	1447.15	796.86	629.35	698.41
TIMM13	684.02	1167.14	1991.0	2720.15	1674.06	1551.09	599.49	1008.9	1044.52	830.75	796.86	1159.07	2627.46	1498.22	1457.23	1769.57	2004.85	307.69	1498.22	1733.13	1008.9	1397.83	1233.75	2417.67	1427.22	866.07	2796.65	497.0	1605.83	1295.13	1369.04	947.83	890.44	1304.15	2895.31	1709.26	1135.2	1295.13	915.51	490.14	1331.57	1832.01	1407.55	1167.14	1651.0	1617.0	1757.34	1467.37	1617.0	1896.65	1331.57	1073.91	1883.54	1745.2	2573.36	4239.45	532.74	954.43	1697.45	1540.37	1304.15	1617.0	1119.56	1721.16	2271.4	1832.01	1685.71	603.67	1417.35	934.76	698.41	830.75	928.3	507.46	579.04	547.75
TMED3	703.28	1639.59	2224.63	2485.67	1733.13	1508.65	567.1	1159.07	1044.52	878.17	1151.06	1417.35	1769.57	890.44	1519.15	2209.26	1594.73	543.96	1427.22	1883.54	1250.98	1437.15	1832.01	2287.2	1832.01	836.53	2591.27	656.11	1447.15	1331.57	2119.22	1073.91	1397.83	2075.59	3235.01	1857.6	1819.35	1806.78	1340.84	656.11	1529.73	1819.35	1304.15	2133.97	1674.06	2627.46	1870.53	1519.15	1572.76	2032.85	1857.6	2148.82	1605.83	665.29	2976.74	5329.3	728.11	1857.6	1561.89	1529.73	1561.89	2915.45	1216.75	1745.2	1963.57	1583.71	1870.53	624.99	1594.73	1605.83	579.04	1769.57	1225.22	1167.14	878.17	1183.45
TMEM161A	176.29	400.71	688.78	909.17	525.39	497.0	182.55	518.15	447.82	432.53	161.02	493.56	753.83	332.14	583.07	497.0	703.28	125.24	559.28	457.25	341.51	395.18	457.25	638.15	674.59	301.33	660.68	206.94	376.41	693.58	629.35	275.28	389.72	473.41	796.86	748.61	373.81	255.0	291.04	214.27	525.39	848.22	529.06	473.41	547.75	961.07	633.73	463.65	679.29	381.68	791.35	387.02	555.41	511.0	791.35	1250.98	260.38	483.38	961.07	571.05	693.58	567.1	490.14	688.78	802.41	669.92	547.75	293.07	708.18	392.44	114.36	412.0	438.59	211.31	159.9	232.94
UBL4A	303.44	638.15	738.29	1073.91	543.96	941.27	211.31	830.75	775.05	748.61	258.57	575.03	974.5	265.87	728.11	674.59	769.69	217.27	928.3	503.95	563.18	587.13	733.19	718.08	896.64	493.56	684.02	339.14	808.0	629.35	738.29	1159.07	303.44	733.19	1111.82	902.89	583.07	361.04	591.22	217.27	693.58	902.89	796.86	791.35	1008.9	703.28	961.07	665.29	638.15	1008.9	836.53	447.82	860.08	941.27	688.78	1111.82	540.19	656.11	651.58	500.46	860.08	624.99	599.49	743.43	769.69	1001.93	808.0	353.59	723.08	567.1	295.11	327.56	703.28	348.71	320.8	271.48
UQCC2	693.58	1250.98	1508.65	2875.3	1457.23	1437.15	591.22	775.05	1151.06	830.75	356.05	974.5	2319.15	896.64	1313.23	1378.57	1923.14	551.56	1457.23	1277.29	629.35	872.1	1605.83	1407.55	1295.13	848.22	1923.14	563.18	684.02	1540.37	1628.26	890.44	1175.27	1936.53	2816.11	2209.26	988.12	791.35	579.04	759.08	2163.77	1757.34	1104.13	813.63	1104.13	2485.67	1233.75	1175.27	1651.0	2816.11	1135.2	1304.15	1662.49	1572.76	2209.26	3982.99	444.72	1427.22	1268.46	1143.1	890.44	1030.12	759.08	1950.0	1883.54	1447.15	1498.22	813.63	1044.52	872.1	532.74	808.0	1059.11	738.29	723.08	995.0
UQCRC1	1757.34	4181.07	2956.17	3564.78	2591.27	3103.19	2209.26	2255.7	2555.58	3039.3	1378.57	2682.69	4512.4	2018.8	3901.01	3349.13	3419.52	1819.35	3982.99	2555.58	2335.28	3564.78	3124.78	4066.71	3515.68	2609.3	3614.55	1583.71	3190.46	3081.75	3280.18	2701.35	2209.26	5041.77	7230.1	4038.61	2178.83	2209.26	2997.45	1832.01	3103.19	3820.7	3257.52	3419.52	3614.55	4639.29	4543.8	3716.2	2224.63	4123.49	2956.17	4181.07	3742.05	4328.55	3443.31	6983.79	1819.35	3325.99	2720.15	2609.3	3443.31	2434.5	2400.97	4481.23	4388.98	4010.71	4802.93	2271.4	5112.16	3564.78	1397.83	3395.89	2777.33	3018.3	1529.73	1923.14
YIF1A	819.3	2148.82	2335.28	3540.14	1447.15	2367.9	995.0	1572.76	1378.57	1467.37	878.17	1594.73	2255.7	1529.73	1794.29	1427.22	1936.53	775.05	1745.2	2018.8	921.88	1617.0	1769.57	1857.6	1923.14	1359.57	1781.89	872.1	1477.58	1685.71	2502.97	1757.34	1498.22	1963.57	2271.4	2720.15	1467.37	1896.65	1059.11	954.43	1605.83	2555.58	1870.53	1697.45	2287.2	2287.2	1896.65	1561.89	1757.34	2935.74	1651.0	1037.29	2018.8	1870.53	2520.38	4123.49	684.02	1487.87	1733.13	1674.06	1963.57	1991.0	1378.57	1963.57	2047.0	2627.46	1594.73	981.29	2061.24	1199.98	518.15	1286.18	1457.23	941.27	679.29	1059.11
YIF1B	497.0	896.64	1286.18	1225.22	941.27	988.12	381.68	842.36	1073.91	743.43	256.78	633.73	1081.39	423.61	941.27	988.12	961.07	368.65	1066.48	733.19	563.18	967.76	1059.11	1191.69	1066.48	703.28	1008.9	426.57	813.63	1199.98	1104.13	708.18	457.25	1088.92	1561.89	1059.11	624.99	389.72	551.56	403.5	902.89	1216.75	921.88	769.69	1096.5	1350.18	1233.75	1233.75	733.19	1340.84	819.3	896.64	1119.56	909.17	1781.89	2255.7	441.64	575.03	1030.12	660.68	1088.92	1127.35	791.35	1167.14	1135.2	1151.06	1059.11	518.15	961.07	764.36	346.29	595.34	759.08	629.35	444.72	397.93
YIPF2	420.68	1359.57	1295.13	1685.71	961.07	1331.57	651.58	1167.14	796.86	698.41	599.49	842.36	1143.1	718.08	1066.48	1167.14	947.83	417.77	1088.92	1388.16	497.0	819.3	988.12	1001.93	1191.69	638.15	1037.29	525.39	902.89	947.83	1322.37	753.83	1096.5	1199.98	1529.73	1721.16	961.07	1225.22	796.86	780.44	1030.12	1923.14	842.36	1051.79	1397.83	1923.14	1259.69	995.0	1331.57	1721.16	1216.75	642.59	1313.23	842.36	1529.73	2555.58	486.75	830.75	1313.23	796.86	1183.45	1340.84	854.13	1407.55	1143.1	1561.89	1183.45	532.74	988.12	947.83	392.44	780.44	915.51	638.15	518.15	743.43
ZNF469	2.89	9.2	12.45	17.38	33.06	21.01	2.63	11.38	4.7	14.78	7.0	17.38	10.79	9.48	12.09	18.56	12.55	3.69	15.8	9.06	1.73	17.51	9.13	7.51	18.29	7.34	15.34	4.06	13.12	14.14	32.59	25.91	1.97	8.85	52.45	8.99	7.94	7.06	5.19	1.71	9.41	29.06	14.89	17.0	11.91	16.88	16.51	15.11	15.45	18.84	18.7	8.45	24.28	13.22	13.42	42.71	1.68	7.28	2.16	17.25	21.01	10.39	12.18	26.47	29.06	18.97	27.84	3.47	13.72	25.54	1.69	4.46	15.45	8.65	1.73	4.31
