	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.BT.A20U.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.UC.A7PF.01A.11R.A352.07	TCGA.MA.AA42.01A.12R.A38B.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A5RQ.01A.11R.A28H.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.EA.A3HU.01A.11R.A213.07	TCGA.DS.A1OB.01A.11R.A14Y.07	TCGA.C5.A1BQ.01C.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.LN.A49L.01A.11R.A24K.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.145LV.1326.SM.5S2QI	GTEX.QVUS.0626.SM.447CC	GTEX.T5JC.1726.SM.4DM6U	GTEX.PLZ4.1626.SM.3P618	GTEX.RNOR.1226.SM.48FDQ	GTEX.UPK5.1226.SM.4IHL8	GTEX.XQ3S.1126.SM.4BOPK	GTEX.132AR.2226.SM.5J2NT	GTEX.132AR.2326.SM.5IJDY	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.CR.6472.01A.11R.1873.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CV.7183.11A.01R.2016.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZUA1.1026.SM.4YCEA	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.21.5784.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13	GTEX.WWYW.2826.SM.4MVOQ	GTEX.PWN1.2026.SM.48TD9	GTEX.R55G.1626.SM.48FF4
OGT	412.0	363.56	351.14	279.14	493.56	361.04	571.05	1369.04	591.22	551.56	813.63	450.94	444.72	239.52	830.75	698.41	656.11	1909.85	1781.89	1487.87	1023.0	2796.65	1447.15	819.3	947.83	854.13	775.05	1233.75	3060.45	1769.57	1551.09	4419.52	1104.13	1369.04	2520.38	1733.13	2701.35	1757.34	1104.13	1378.57	2520.38	1088.92	1295.13	928.3	1023.0	1104.13	1757.34	1936.53	1457.23	2777.33	1322.37	1551.09	1733.13	2209.26	2682.69	2240.11	2061.24	2384.37	915.51	1781.89	2956.17	698.41	406.31	283.05	242.88	277.2	432.53	173.85	287.01	1340.84	1191.69	647.07	299.25	79.45	318.57	260.38	435.55	258.57	236.21	153.34	713.11	1447.15	429.54	384.34
PAN2	368.65	253.23	353.59	291.04	486.75	273.37	343.89	616.37	249.73	660.68	412.0	320.8	297.17	480.04	371.22	384.34	441.64	947.83	1225.22	1870.53	825.0	928.3	808.0	866.07	511.0	353.59	967.76	607.87	1674.06	420.68	967.76	575.03	848.22	1143.1	848.22	1896.65	1313.23	669.92	1477.58	743.43	3124.78	624.99	995.0	555.41	884.29	693.58	1143.1	854.13	947.83	1331.57	836.53	1674.06	1628.26	1794.29	1304.15	1651.0	1572.76	1457.23	579.04	1369.04	3235.01	353.59	158.79	104.42	190.34	185.11	307.69	460.44	126.12	718.08	441.64	521.76	281.09	67.59	182.55	172.65	226.54	98.73	144.01	64.8	426.57	1498.22	193.01	273.37
PAXBP1	301.33	156.59	161.02	152.28	177.53	150.17	149.12	373.81	209.84	248.0	417.77	318.57	189.02	236.21	273.37	205.5	395.18	329.84	497.0	460.44	348.71	438.59	376.41	379.04	325.29	353.59	463.65	343.89	796.86	358.54	529.06	493.56	329.84	420.68	457.25	629.35	947.83	769.69	624.99	353.59	583.07	409.15	279.14	457.25	392.44	325.29	500.46	279.14	444.72	629.35	332.14	842.36	616.37	460.44	332.14	426.57	559.28	463.65	279.14	249.73	688.78	305.55	293.07	67.12	105.89	134.3	153.34	171.45	156.59	438.59	343.89	147.06	143.01	62.56	103.69	163.28	139.07	121.79	108.9	100.13	208.38	591.22	239.52	162.14
PLA2G6	151.22	186.4	187.71	97.36	258.57	212.78	173.85	417.77	146.03	379.04	166.73	209.84	183.82	320.8	220.32	178.77	269.6	624.99	660.68	1388.16	384.34	612.11	559.28	961.07	579.04	223.41	616.37	406.31	775.05	447.82	660.68	423.61	547.75	543.96	373.81	1066.48	825.0	698.41	934.76	543.96	1909.85	429.54	450.94	753.83	599.49	665.29	633.73	353.59	988.12	624.99	674.59	738.29	1617.0	1250.98	848.22	1191.69	1233.75	1477.58	406.31	954.43	1030.12	334.46	90.14	71.0	126.12	169.07	117.6	473.41	74.06	239.52	351.14	483.38	220.32	37.32	94.67	114.36	220.32	82.29	63.89	63.89	406.31	1340.84	201.25	115.16
PNISR	830.75	616.37	579.04	529.06	764.36	698.41	616.37	995.0	450.94	733.19	1417.35	890.44	674.59	748.61	802.41	1199.98	1225.22	1044.52	2193.99	1617.0	1477.58	1529.73	1304.15	1369.04	954.43	2178.83	1551.09	1143.1	4736.79	1963.57	2351.53	2976.74	1225.22	3146.52	1388.16	2335.28	3874.05	2417.67	1870.53	1378.57	3639.7	1369.04	1388.16	1096.5	1388.16	791.35	3212.66	1304.15	2816.11	2303.12	1015.93	6037.61	1674.06	2502.97	3491.39	2351.53	2664.15	2796.65	1417.35	1709.26	4802.93	1096.5	808.0	244.57	223.41	297.17	575.03	483.38	341.51	2255.7	1883.54	669.92	346.29	100.13	358.54	307.69	426.57	248.0	215.77	228.13	796.86	3443.31	684.02	728.11
PRPF38B	325.29	583.07	444.72	229.72	511.0	532.74	323.03	753.83	361.04	599.49	1159.07	480.04	403.5	441.64	860.08	884.29	791.35	454.09	728.11	642.59	473.41	567.1	497.0	457.25	612.11	836.53	447.82	503.95	921.88	693.58	842.36	1216.75	503.95	854.13	629.35	1119.56	723.08	915.51	497.0	470.14	941.27	616.37	412.0	599.49	587.13	599.49	1096.5	698.41	813.63	1008.9	486.75	860.08	1407.55	703.28	638.15	633.73	836.53	728.11	466.88	764.36	1104.13	536.45	633.73	255.0	373.81	412.0	420.68	248.0	346.29	532.74	753.83	559.28	353.59	185.11	334.46	346.29	395.18	248.0	334.46	287.01	547.75	339.14	466.88	483.38
PRPF39	248.0	190.34	220.32	157.68	248.0	260.38	316.37	493.56	226.54	379.04	633.73	289.02	309.83	395.18	379.04	366.09	387.02	473.41	579.04	426.57	525.39	909.17	529.06	525.39	547.75	295.11	432.53	476.71	813.63	624.99	642.59	1322.37	412.0	769.69	848.22	642.59	1313.23	842.36	718.08	540.19	796.86	454.09	470.14	412.0	567.1	540.19	728.11	791.35	555.41	1096.5	460.44	775.05	836.53	656.11	836.53	684.02	909.17	775.05	447.82	412.0	599.49	450.94	226.54	102.25	153.34	111.99	291.04	158.79	148.09	376.41	414.87	228.13	134.3	57.49	158.79	142.01	126.12	121.79	105.15	155.5	264.03	713.11	387.02	255.0
PTBP2	120.94	107.38	145.02	64.8	102.97	163.28	44.57	255.0	90.14	218.79	223.41	96.68	164.42	159.9	177.53	256.78	221.86	166.73	239.52	441.64	438.59	281.09	178.77	93.35	155.5	198.47	336.79	249.73	674.59	138.1	420.68	872.1	239.52	447.82	293.07	376.41	753.83	441.64	612.11	199.85	738.29	185.11	101.54	202.66	255.0	191.67	480.04	171.45	373.81	819.3	146.03	769.69	251.48	186.4	198.47	271.48	301.33	336.79	129.69	201.25	660.68	155.5	76.71	49.91	37.85	33.3	72.52	63.0	79.45	223.41	214.27	202.66	141.02	37.85	63.0	45.21	59.97	98.04	67.59	89.51	162.14	346.29	503.95	332.14
RABL2B	264.03	295.11	269.6	473.41	341.51	289.02	161.02	435.55	457.25	289.02	503.95	351.14	312.0	289.02	301.33	339.14	423.61	366.09	547.75	624.99	525.39	1023.0	500.46	688.78	237.86	483.38	463.65	470.14	532.74	332.14	587.13	633.73	460.44	633.73	791.35	703.28	836.53	665.29	796.86	463.65	967.76	463.65	575.03	813.63	638.15	551.56	698.41	518.15	775.05	693.58	384.34	896.64	525.39	808.0	366.09	579.04	941.27	728.11	414.87	551.56	733.19	366.09	183.82	178.77	206.94	348.71	199.85	295.11	194.36	423.61	1313.23	669.92	511.0	133.36	161.02	244.57	293.07	149.12	204.07	108.14	271.48	1037.29	307.69	397.93
RP11-1407O15.2	559.28	136.19	185.11	131.51	281.09	332.14	860.08	253.23	159.9	182.55	353.59	255.0	172.65	115.16	214.27	220.32	358.54	480.04	1051.79	483.38	551.56	583.07	909.17	543.96	967.76	503.95	813.63	708.18	915.51	947.83	878.17	988.12	665.29	579.04	571.05	698.41	2163.77	665.29	688.78	1096.5	934.76	830.75	616.37	555.41	693.58	363.56	651.58	473.41	775.05	616.37	1015.93	555.41	1191.69	679.29	1081.39	1250.98	620.67	961.07	476.71	967.76	521.76	381.68	255.0	229.72	575.03	269.6	420.68	84.63	287.01	384.34	228.13	176.29	132.44	206.94	432.53	267.73	325.29	583.07	529.06	236.21	503.95	151.22	107.38	95.34
RP11-231C14.4	194.36	152.28	202.66	43.02	64.34	220.32	118.43	214.27	64.34	197.09	423.61	127.0	88.26	46.5	279.14	189.02	283.05	759.08	551.56	395.18	769.69	660.68	529.06	409.15	521.76	500.46	872.1	406.31	1369.04	967.76	693.58	2468.49	612.11	974.5	1268.46	878.17	1594.73	1397.83	361.04	432.53	1183.45	343.89	559.28	316.37	444.72	208.38	819.3	708.18	490.14	878.17	392.44	1030.12	1529.73	583.07	1870.53	1697.45	915.51	1119.56	163.28	1104.13	1498.22	457.25	58.71	79.45	38.95	115.97	172.65	75.11	25.54	301.33	327.56	195.72	128.79	5.77	92.7	127.89	84.63	57.49	65.26	102.25	599.49	934.76	58.3	193.01
RP11-347C12.1	56.68	20.11	59.13	20.56	64.34	27.64	50.63	113.56	12.93	39.22	81.71	42.41	16.75	15.22	51.35	40.93	48.87	115.16	90.77	71.5	73.03	86.43	99.43	156.59	56.28	33.3	118.43	57.89	351.14	129.69	78.89	177.53	54.33	128.79	171.45	269.6	189.02	246.28	134.3	55.49	166.73	37.05	38.12	57.49	80.01	29.7	115.16	70.01	82.29	149.12	53.19	171.45	234.57	201.25	187.71	199.85	120.94	136.19	44.25	98.73	181.28	35.5	8.85	12.93	14.24	17.0	49.91	5.19	0.79	55.49	84.04	68.07	29.27	0.0	33.78	23.59	17.13	18.29	5.59	19.68	12.36	134.3	9.63	29.7
RP11-5A19.5	7.57	19.68	20.26	5.45	48.87	46.5	41.22	24.46	8.92	34.26	42.11	35.5	31.22	38.4	9.27	38.12	50.63	267.73	186.4	371.22	73.03	191.67	86.43	171.45	249.73	43.63	72.52	100.13	197.09	195.72	119.26	82.87	155.5	167.9	211.31	381.68	555.41	79.45	341.51	65.72	256.78	48.52	231.32	88.88	128.79	120.1	175.07	116.78	189.02	111.21	66.65	155.5	246.28	348.71	232.94	293.07	368.65	381.68	98.04	108.9	146.03	88.26	8.65	0.0	0.0	11.21	26.1	19.25	3.32	14.78	10.39	50.63	24.46	1.25	4.06	11.47	9.06	2.61	3.0	1.77	64.34	59.13	11.3	15.34
RP4-583P15.15	42.41	26.1	31.0	71.5	73.54	32.36	41.22	53.57	35.5	90.14	45.53	41.81	67.12	39.79	49.21	30.12	63.45	90.77	84.63	101.54	120.1	80.57	98.73	87.65	79.45	67.59	85.82	118.43	125.24	148.09	97.36	78.89	81.14	92.7	173.85	165.57	152.28	142.01	120.94	75.11	106.63	87.65	88.88	56.68	109.66	70.51	114.36	63.0	87.03	88.88	67.59	87.03	117.6	126.12	91.41	82.29	115.16	117.6	72.52	116.78	186.4	73.54	21.32	7.57	4.46	18.7	41.22	21.01	15.45	27.05	32.82	60.39	38.12	2.76	16.39	21.63	16.51	7.69	5.73	5.15	17.13	137.14	16.63	22.75
SEC31B	16.03	30.56	76.17	15.56	27.64	57.49	28.04	146.03	35.25	73.03	93.35	152.28	30.56	42.71	46.18	65.26	70.01	141.02	186.4	212.78	138.1	162.14	175.07	100.83	130.6	104.42	64.8	194.36	237.86	80.01	167.9	239.52	105.89	208.38	130.6	150.17	567.1	316.37	236.21	170.25	728.11	123.5	107.38	52.82	64.34	73.03	182.55	182.55	165.57	180.02	176.29	583.07	320.8	348.71	229.72	295.11	291.04	293.07	151.22	279.14	466.88	65.72	19.53	3.29	8.13	8.85	45.53	16.15	7.11	63.89	56.68	59.13	16.88	1.19	11.38	15.68	17.13	9.48	4.24	6.16	48.87	525.39	29.27	28.04
SFI1	395.18	138.1	224.97	229.72	267.73	258.57	255.0	470.14	389.72	540.19	339.14	368.65	285.03	603.67	271.48	264.03	409.15	473.41	403.5	624.99	343.89	567.1	507.46	688.78	336.79	299.25	540.19	376.41	567.1	376.41	423.61	1135.2	579.04	651.58	616.37	884.29	928.3	995.0	525.39	392.44	915.51	525.39	363.56	447.82	384.34	497.0	698.41	521.76	733.19	872.1	387.02	429.54	624.99	607.87	529.06	583.07	612.11	723.08	384.34	329.84	332.14	447.82	173.85	65.26	105.15	120.94	193.01	119.26	64.8	429.54	511.0	473.41	236.21	19.53	94.67	85.82	101.54	56.28	52.45	37.32	158.79	718.08	123.5	193.01
SGK494	90.77	38.67	22.1	35.5	43.32	28.04	40.36	52.08	20.26	27.44	156.59	43.32	36.79	17.9	31.45	60.82	71.5	201.25	145.02	218.79	167.9	108.9	228.13	251.48	193.01	128.79	346.29	181.28	412.0	185.11	189.02	236.21	258.57	236.21	181.28	454.09	555.41	435.55	295.11	181.28	356.05	246.28	161.02	125.24	163.28	100.83	220.32	159.9	197.09	172.65	159.9	214.27	281.09	201.25	170.25	178.77	217.27	181.28	56.68	244.57	563.18	30.78	50.98	22.59	6.57	38.95	53.19	51.35	3.53	114.36	43.63	41.22	24.28	1.14	34.51	32.36	17.51	6.01	11.73	6.11	35.25	81.14	5.36	18.43
SIN3B	463.65	316.37	397.93	368.65	346.29	314.17	323.03	480.04	325.29	316.37	563.18	647.07	297.17	211.31	444.72	400.71	432.53	796.86	813.63	1135.2	1250.98	1407.55	848.22	775.05	890.44	450.94	941.27	848.22	2976.74	819.3	830.75	2224.63	1127.35	775.05	1208.34	915.51	2178.83	2240.11	1304.15	647.07	1572.76	860.08	915.51	723.08	825.0	665.29	819.3	981.29	780.44	1540.37	808.0	1088.92	1175.27	1088.92	1044.52	954.43	1066.48	1066.48	595.34	612.11	733.19	392.44	358.54	334.46	267.73	368.65	486.75	285.03	129.69	435.55	529.06	603.67	325.29	104.42	228.13	239.52	275.28	249.73	195.72	163.28	583.07	624.99	559.28	693.58
SREK1	480.04	493.56	403.5	283.05	555.41	454.09	269.6	884.29	329.84	748.61	1175.27	373.81	490.14	473.41	769.69	819.3	607.87	743.43	743.43	603.67	743.43	780.44	660.68	460.44	525.39	1104.13	432.53	460.44	848.22	796.86	848.22	1721.16	583.07	1023.0	1242.34	1143.1	1359.57	1073.91	603.67	607.87	825.0	669.92	651.58	607.87	612.11	511.0	1096.5	679.29	1111.82	1066.48	629.35	961.07	2004.85	890.44	884.29	1044.52	1417.35	1008.9	540.19	738.29	947.83	743.43	555.41	242.88	426.57	351.14	381.68	285.03	417.77	633.73	830.75	318.57	242.88	172.65	438.59	223.41	412.0	295.11	368.65	251.48	703.28	423.61	713.11	486.75
SRSF6	1378.57	1457.23	1151.06	1051.79	1857.6	1540.37	1225.22	1794.29	1127.35	1594.73	2609.3	2004.85	1498.22	1369.04	1044.52	1407.55	1733.13	1437.15	2119.22	2485.67	1427.22	4481.23	1437.15	1096.5	1088.92	1781.89	1359.57	1551.09	2645.74	1794.29	2178.83	2209.26	1662.49	1437.15	2163.77	2573.36	2720.15	2720.15	3168.41	1378.57	2835.7	1427.22	3235.01	2209.26	2485.67	1781.89	2384.37	1709.26	2119.22	4095.0	1233.75	2400.97	2956.17	3325.99	2032.85	3325.99	3665.02	3467.27	2645.74	3491.39	2895.31	1936.53	1001.93	599.49	1199.98	854.13	1685.71	1001.93	1685.71	1883.54	1733.13	1745.2	1417.35	1143.1	1001.93	1081.39	1651.0	1111.82	1151.06	928.3	1175.27	3124.78	1143.1	1605.83
STK36	178.77	226.54	141.02	157.68	285.03	189.02	135.24	387.02	180.02	271.48	323.03	169.07	133.36	111.99	307.69	198.47	283.05	518.15	679.29	1378.57	497.0	612.11	525.39	353.59	297.17	348.71	444.72	547.75	384.34	860.08	587.13	1059.11	420.68	599.49	647.07	1088.92	1051.79	890.44	1340.84	669.92	995.0	587.13	543.96	483.38	356.05	346.29	743.43	314.17	466.88	780.44	579.04	1208.34	1044.52	651.58	830.75	890.44	947.83	1008.9	412.0	733.19	1277.29	320.8	127.0	33.78	97.36	129.69	169.07	148.09	77.25	220.32	1059.11	486.75	218.79	39.79	66.65	146.03	165.57	74.06	94.01	60.82	336.79	718.08	178.77	189.02
STX16	392.44	529.06	559.28	575.03	429.54	457.25	583.07	947.83	503.95	490.14	921.88	486.75	412.0	248.0	521.76	651.58	796.86	1331.57	1923.14	1304.15	1051.79	1540.37	1081.39	1159.07	1199.98	860.08	1081.39	1088.92	1322.37	1639.59	1540.37	1498.22	967.76	1359.57	1857.6	1277.29	2287.2	1639.59	1617.0	1199.98	2178.83	954.43	1127.35	679.29	1015.93	921.88	1331.57	1175.27	2032.85	1769.57	988.12	1844.76	1295.13	1096.5	1225.22	1407.55	1427.22	1457.23	785.88	1191.69	1832.01	872.1	285.03	435.55	358.54	860.08	587.13	371.22	249.73	1359.57	713.11	1127.35	579.04	178.77	395.18	460.44	353.59	334.46	287.01	214.27	571.05	1340.84	454.09	473.41
TAF1C	460.44	366.09	334.46	395.18	503.95	379.04	237.86	703.28	361.04	612.11	708.18	633.73	460.44	392.44	371.22	275.28	507.46	1369.04	1286.18	2384.37	1233.75	1662.49	1030.12	1127.35	934.76	890.44	591.22	1242.34	1769.57	708.18	974.5	954.43	934.76	954.43	825.0	1709.26	2255.7	1977.24	1896.65	842.36	1583.71	1037.29	1073.91	612.11	1242.34	1104.13	1167.14	1167.14	1135.2	1427.22	967.76	1498.22	1639.59	1781.89	1208.34	1417.35	1540.37	1819.35	974.5	1096.5	1594.73	532.74	194.36	253.23	239.52	287.01	400.71	571.05	211.31	420.68	679.29	579.04	303.44	96.68	244.57	244.57	323.03	204.07	221.86	163.28	559.28	1359.57	669.92	647.07
TBC1D3C	25.54	27.84	66.65	38.67	15.0	5.73	52.82	38.95	2.89	8.19	97.36	86.43	139.07	3.79	13.62	82.29	22.43	44.57	118.43	29.27	80.01	72.01	96.68	98.04	193.01	115.97	48.87	39.5	108.9	120.1	96.01	159.9	58.71	251.48	198.47	246.28	518.15	182.55	50.98	260.38	351.14	277.2	92.05	18.97	55.1	33.06	90.14	99.43	229.72	262.2	133.36	147.06	88.88	58.3	96.68	161.02	70.51	86.43	339.14	194.36	191.67	30.78	0.0	0.0	8.65	3.89	22.75	0.0	9.2	40.64	5.19	17.77	4.9	8.99	10.31	42.11	9.93	4.17	13.83	1.11	21.94	122.64	14.56	0.0
TBC1D3F	638.15	64.8	70.51	165.57	145.02	137.14	387.02	125.24	84.04	183.82	197.09	327.56	176.29	256.78	134.3	161.02	351.14	312.0	665.29	253.23	295.11	208.38	591.22	599.49	563.18	258.57	587.13	423.61	723.08	775.05	457.25	633.73	363.56	297.17	432.53	775.05	2384.37	507.46	441.64	381.68	808.0	460.44	400.71	159.9	463.65	119.26	312.0	603.67	543.96	264.03	457.25	316.37	988.12	1208.34	1044.52	1769.57	703.28	1143.1	796.86	718.08	444.72	236.21	30.12	50.27	21.47	52.82	293.07	41.52	59.97	64.34	68.55	124.37	53.95	10.24	187.71	34.02	96.01	107.38	113.56	53.57	239.52	438.59	74.58	43.94
TBC1D3G	117.6	32.13	40.07	12.45	53.57	86.43	141.02	108.9	10.63	43.94	88.88	85.82	43.32	9.7	67.12	99.43	99.43	148.09	221.86	55.49	157.68	73.03	173.85	151.22	267.73	51.71	236.21	134.3	249.73	239.52	128.79	289.02	62.56	265.87	171.45	275.28	836.53	191.67	139.07	231.32	293.07	339.14	132.44	38.4	105.89	46.5	75.64	212.78	248.0	229.72	214.27	81.14	511.0	307.69	444.72	723.08	229.72	397.93	206.94	318.57	223.41	94.01	8.85	8.85	15.8	16.63	74.06	13.32	29.06	90.14	76.17	63.89	31.9	3.63	111.99	47.84	60.82	37.59	32.36	6.46	100.83	140.04	9.06	15.22
TBC1D3H	34.75	9.63	15.68	5.77	17.38	42.71	109.66	80.01	1.99	5.41	28.65	59.13	21.63	3.66	20.11	56.28	30.78	47.84	156.59	31.9	64.34	59.13	183.82	98.73	206.94	35.76	52.82	50.98	99.43	143.01	135.24	122.64	95.34	98.73	164.42	241.19	555.41	237.86	23.08	131.51	248.0	62.12	55.49	20.26	84.04	18.56	80.01	159.9	170.25	173.85	69.03	79.45	158.79	96.68	170.25	309.83	88.26	356.05	91.41	197.09	221.86	52.82	0.0	1.5	2.73	0.0	37.32	5.96	4.13	45.85	9.13	25.35	8.06	0.46	9.7	7.63	18.16	8.06	19.53	1.35	48.18	101.54	4.24	2.27
TOP3B	267.73	237.86	161.02	265.87	262.2	193.01	221.86	316.37	256.78	336.79	318.57	320.8	256.78	303.44	293.07	256.78	285.03	312.0	470.14	759.08	454.09	1208.34	525.39	674.59	438.59	301.33	384.34	753.83	579.04	323.03	429.54	878.17	518.15	368.65	738.29	785.88	1277.29	842.36	633.73	500.46	1051.79	536.45	450.94	532.74	414.87	460.44	579.04	599.49	429.54	595.34	371.22	406.31	559.28	607.87	718.08	967.76	555.41	872.1	438.59	543.96	486.75	244.57	281.09	262.2	215.77	141.02	273.37	303.44	138.1	271.48	211.31	490.14	204.07	67.59	133.36	175.07	253.23	166.73	134.3	116.78	281.09	769.69	172.65	223.41
TUBGCP6	525.39	297.17	265.87	316.37	490.14	343.89	140.04	493.56	346.29	363.56	301.33	343.89	267.73	366.09	368.65	397.93	417.77	616.37	466.88	647.07	624.99	718.08	555.41	567.1	629.35	346.29	426.57	612.11	400.71	466.88	599.49	1001.93	507.46	476.71	651.58	525.39	967.76	791.35	698.41	543.96	796.86	438.59	463.65	412.0	688.78	460.44	728.11	616.37	612.11	651.58	599.49	825.0	1015.93	1096.5	669.92	819.3	974.5	1059.11	575.03	493.56	698.41	435.55	130.6	206.94	137.14	256.78	336.79	120.94	73.54	138.1	205.5	713.11	299.25	65.26	141.02	246.28	237.86	134.3	149.12	95.34	312.0	688.78	195.72	291.04
ULK1	830.75	336.79	334.46	287.01	480.04	320.8	688.78	669.92	397.93	444.72	616.37	830.75	587.13	387.02	480.04	206.94	703.28	493.56	571.05	1104.13	1073.91	915.51	551.56	599.49	1674.06	409.15	1447.15	518.15	1572.76	728.11	575.03	854.13	802.41	780.44	785.88	1151.06	3491.39	954.43	1001.93	1001.93	1151.06	420.68	896.64	497.0	954.43	718.08	638.15	842.36	961.07	842.36	1081.39	802.41	896.64	909.17	2351.53	1304.15	665.29	1175.27	256.78	647.07	995.0	441.64	571.05	579.04	454.09	693.58	525.39	450.94	177.53	629.35	507.46	665.29	368.65	99.43	211.31	154.42	334.46	346.29	229.72	242.88	928.3	1051.79	220.32	281.09
VPS39	486.75	438.59	368.65	320.8	409.15	450.94	529.06	612.11	309.83	743.43	291.04	460.44	414.87	303.44	373.81	234.57	532.74	536.45	642.59	532.74	909.17	679.29	738.29	470.14	599.49	493.56	651.58	642.59	536.45	684.02	759.08	1081.39	612.11	599.49	563.18	543.96	995.0	748.61	497.0	764.36	884.29	620.67	791.35	466.88	612.11	642.59	679.29	493.56	733.19	848.22	743.43	1104.13	1191.69	1059.11	947.83	947.83	921.88	921.88	595.34	728.11	961.07	351.14	525.39	368.65	332.14	514.56	457.25	595.34	281.09	420.68	555.41	703.28	395.18	204.07	400.71	229.72	406.31	500.46	384.34	356.05	638.15	341.51	688.78	688.78
WASH4P	397.93	127.89	242.88	221.86	255.0	114.36	275.28	473.41	303.44	291.04	447.82	414.87	211.31	295.11	241.19	336.79	305.55	336.79	669.92	599.49	466.88	376.41	423.61	947.83	450.94	1104.13	409.15	406.31	769.69	529.06	466.88	909.17	299.25	420.68	532.74	961.07	890.44	514.56	1081.39	376.41	769.69	400.71	511.0	432.53	518.15	521.76	743.43	483.38	642.59	507.46	246.28	583.07	463.65	995.0	878.17	884.29	629.35	665.29	532.74	660.68	642.59	303.44	325.29	111.99	104.42	127.89	229.72	175.07	103.69	226.54	100.13	728.11	269.6	30.12	141.02	75.64	170.25	84.63	76.71	70.01	178.77	674.59	157.68	201.25
WDR27	172.65	133.36	144.01	139.07	206.94	153.34	339.14	176.29	118.43	185.11	202.66	141.02	195.72	187.71	68.55	327.56	255.0	967.76	884.29	389.72	693.58	543.96	633.73	884.29	470.14	432.53	684.02	356.05	764.36	490.14	854.13	825.0	426.57	753.83	748.61	796.86	1151.06	830.75	1167.14	656.11	1857.6	543.96	356.05	361.04	414.87	329.84	723.08	587.13	679.29	1044.52	629.35	616.37	1143.1	1208.34	1250.98	1008.9	1051.79	967.76	314.17	599.49	490.14	356.05	100.13	40.64	68.07	170.25	221.86	100.13	69.03	387.02	525.39	221.86	170.25	19.82	82.29	106.63	120.94	45.85	57.89	63.45	325.29	1015.93	154.42	198.47
