	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.ZVP2.0826.SM.59HJ6	GTEX.14E6E.1126.SM.5S2R4
LZTR1	738.29	764.36	1015.93	579.04	1073.91	1104.13	1051.79	647.07	1096.5	444.72	1088.92	698.41	684.02	802.41	490.14	825.0	684.02	1159.07	1037.29	1417.35	684.02	1143.1	647.07	1088.92	563.18	743.43	961.07	995.0	511.0	547.75	890.44	497.0	525.39	559.28	1407.55	1183.45	884.29	1159.07	728.11	473.41	1015.93	669.92	660.68	1135.2	819.3	921.88	728.11	1073.91	1350.18	723.08	708.18	738.29	532.74	967.76	1242.34	647.07	954.43	967.76	624.99	514.56	540.19	1242.34	1030.12	836.53	529.06	620.67	836.53	1015.93	688.78	872.1	947.83	571.05	961.07	651.58	607.87	1167.14	1225.22	1745.2	1340.84	974.5	674.59	497.0	842.36	587.13	543.96	866.07	447.82	718.08	463.65	476.71	547.75
MAMDC4	33.06	97.36	76.71	26.86	221.86	59.13	307.69	59.55	152.28	30.78	220.32	59.55	91.41	114.36	47.84	176.29	21.47	287.01	96.68	182.55	77.79	209.84	33.54	108.9	33.54	71.0	49.21	119.26	47.17	155.5	97.36	39.79	19.53	23.59	171.45	265.87	303.44	139.07	85.82	49.91	198.47	134.3	62.12	110.43	121.79	194.36	68.07	146.03	441.64	48.52	62.12	30.12	28.65	93.35	244.57	38.4	100.13	208.38	24.28	17.38	34.02	198.47	142.01	143.01	44.57	39.22	77.25	167.9	24.63	163.28	165.57	25.54	327.56	44.89	22.75	204.07	204.07	358.54	332.14	175.07	215.77	32.13	140.04	33.78	37.59	108.14	20.86	30.78	18.56	23.93	40.07
MAN2C1	1378.57	2163.77	2400.97	1111.82	4066.71	2018.8	3515.68	1350.18	2591.27	1008.9	3349.13	1674.06	1685.71	2090.03	1378.57	2434.5	1096.5	3690.52	2816.11	1963.57	1583.71	3168.41	1167.14	2018.8	819.3	1628.26	1508.65	2178.83	1023.0	2047.0	1628.26	1111.82	775.05	679.29	2645.74	4066.71	2935.74	3443.31	1769.57	1233.75	2956.17	2303.12	1037.29	2004.85	2682.69	3235.01	1685.71	2627.46	4181.07	1051.79	1175.27	1199.98	1313.23	1857.6	2468.49	1519.15	1857.6	2895.31	1191.69	1030.12	1030.12	3060.45	2384.37	2303.12	1313.23	1583.71	1369.04	2796.65	1001.93	2895.31	2287.2	890.44	3081.75	1286.18	1119.56	3443.31	2609.3	4328.55	4358.66	2434.5	2997.45	1225.22	2287.2	1286.18	1127.35	2434.5	1037.29	1119.56	954.43	547.75	376.41
MIB2	400.71	532.74	603.67	417.77	1111.82	518.15	1051.79	500.46	647.07	253.23	1242.34	718.08	713.11	769.69	579.04	872.1	616.37	884.29	934.76	896.64	490.14	1208.34	503.95	713.11	351.14	796.86	575.03	878.17	414.87	629.35	511.0	503.95	221.86	363.56	769.69	1208.34	1127.35	656.11	909.17	457.25	848.22	1143.1	540.19	713.11	872.1	1175.27	616.37	808.0	1437.15	371.22	583.07	397.93	470.14	733.19	1044.52	463.65	620.67	947.83	366.09	201.25	265.87	819.3	915.51	563.18	351.14	444.72	476.71	915.51	476.71	1081.39	830.75	463.65	1111.82	368.65	435.55	1487.87	796.86	1628.26	1369.04	738.29	836.53	409.15	728.11	656.11	470.14	460.44	432.53	420.68	348.71	297.17	346.29
MIIP	320.8	728.11	764.36	318.57	896.64	493.56	665.29	547.75	813.63	220.32	688.78	381.68	669.92	543.96	536.45	665.29	571.05	470.14	599.49	1159.07	521.76	802.41	414.87	785.88	417.77	432.53	638.15	819.3	441.64	426.57	463.65	414.87	295.11	334.46	974.5	1001.93	651.58	988.12	860.08	457.25	397.93	928.3	587.13	665.29	543.96	928.3	497.0	713.11	928.3	563.18	334.46	358.54	353.59	785.88	651.58	332.14	796.86	647.07	543.96	277.2	283.05	819.3	954.43	503.95	336.79	447.82	540.19	896.64	392.44	748.61	848.22	583.07	780.44	511.0	521.76	769.69	1037.29	1015.93	890.44	660.68	780.44	395.18	356.05	447.82	379.04	447.82	387.02	346.29	231.32	251.48	348.71
MRPL38	1183.45	1407.55	2075.59	1208.34	2148.82	1583.71	1745.2	1437.15	1572.76	872.1	1883.54	1572.76	1561.89	1605.83	1331.57	1883.54	1313.23	1909.85	1143.1	2287.2	1467.37	1628.26	1378.57	1605.83	1286.18	1498.22	1651.0	1781.89	1331.57	1259.69	1745.2	1508.65	921.88	1066.48	1674.06	1709.26	1745.2	2468.49	1340.84	1519.15	1467.37	1806.78	1388.16	1551.09	1896.65	2104.58	1286.18	1733.13	2075.59	1427.22	995.0	1437.15	1427.22	1551.09	1617.0	1073.91	1950.0	1561.89	1073.91	1081.39	941.27	1572.76	2090.03	1467.37	1008.9	1529.73	1397.83	2104.58	1437.15	1572.76	2193.99	1477.58	2148.82	1467.37	1594.73	2018.8	2303.12	2047.0	2609.3	1529.73	1844.76	1127.35	1709.26	1519.15	1143.1	1674.06	1313.23	1096.5	1167.14	780.44	836.53
MST1	127.0	318.57	258.57	77.79	708.18	420.68	607.87	99.43	339.14	59.55	507.46	169.07	157.68	332.14	142.01	301.33	78.34	629.35	291.04	473.41	128.79	567.1	95.34	346.29	47.17	189.02	251.48	660.68	74.06	361.04	239.52	86.43	55.1	118.43	397.93	961.07	371.22	540.19	208.38	85.82	447.82	218.79	183.82	267.73	480.04	366.09	195.72	297.17	825.0	97.36	68.07	111.99	100.13	265.87	551.56	128.79	353.59	414.87	112.77	66.65	73.03	703.28	518.15	293.07	111.99	149.12	150.17	713.11	73.03	638.15	813.63	72.01	808.0	166.73	92.05	825.0	521.76	1073.91	909.17	262.2	532.74	121.79	358.54	111.21	125.24	273.37	118.43	67.59	64.8	49.91	53.57
MTA1	848.22	1066.48	1037.29	802.41	1594.73	1015.93	2178.83	915.51	1397.83	587.13	2133.97	1191.69	1167.14	1477.58	1127.35	1639.59	860.08	1540.37	1437.15	2018.8	872.1	1909.85	921.88	1529.73	921.88	1268.46	1191.69	1259.69	878.17	1225.22	1233.75	836.53	595.34	796.86	1407.55	2178.83	1697.45	1832.01	1143.1	1008.9	1467.37	1369.04	1059.11	1697.45	1331.57	1857.6	1159.07	1369.04	2895.31	878.17	1073.91	769.69	866.07	1242.34	2119.22	928.3	1175.27	1447.15	551.56	708.18	679.29	2240.11	1233.75	1191.69	878.17	988.12	947.83	1733.13	884.29	1794.29	1572.76	660.68	2061.24	802.41	764.36	2090.03	1340.84	3124.78	2319.15	1313.23	1519.15	775.05	1259.69	1199.98	769.69	995.0	753.83	884.29	848.22	679.29	540.19
MUTYH	239.52	279.14	293.07	221.86	532.74	341.51	525.39	223.41	346.29	139.07	420.68	346.29	329.84	271.48	351.14	297.17	279.14	571.05	246.28	543.96	234.57	525.39	307.69	316.37	189.02	265.87	503.95	406.31	198.47	194.36	303.44	224.97	135.24	248.0	417.77	435.55	432.53	356.05	262.2	277.2	432.53	183.82	172.65	307.69	348.71	483.38	376.41	486.75	616.37	187.71	193.01	301.33	273.37	273.37	329.84	234.57	295.11	457.25	258.57	180.02	214.27	414.87	341.51	353.59	208.38	170.25	325.29	525.39	223.41	426.57	381.68	178.77	314.17	351.14	267.73	684.02	563.18	819.3	555.41	314.17	334.46	336.79	483.38	325.29	318.57	486.75	293.07	255.0	199.85	137.14	156.59
MYO15B	1037.29	2018.8	1498.22	507.46	3349.13	2224.63	5555.65	743.43	2367.9	395.18	3847.29	1991.0	1233.75	1572.76	872.1	1350.18	551.56	4903.87	2303.12	9606.86	1159.07	4038.61	660.68	2627.46	353.59	1519.15	2335.28	3146.52	490.14	848.22	1378.57	1127.35	314.17	532.74	3589.58	6426.31	5147.73	1857.6	638.15	423.61	3847.29	1233.75	785.88	1685.71	2133.97	2163.77	1350.18	3690.52	4358.66	947.83	890.44	974.5	480.04	1963.57	2875.3	642.59	2645.74	3491.39	607.87	329.84	775.05	5555.65	1950.0	1073.91	808.0	339.14	1628.26	4543.8	351.14	5479.15	5041.77	575.03	1199.98	785.88	656.11	3794.3	3257.52	9215.48	5751.61	1397.83	1487.87	688.78	3280.18	764.36	909.17	2875.3	412.0	571.05	500.46	269.6	460.44
MZF1	305.55	587.13	483.38	299.25	660.68	567.1	723.08	414.87	551.56	158.79	796.86	529.06	426.57	660.68	473.41	567.1	373.81	674.59	525.39	860.08	381.68	723.08	293.07	575.03	248.0	423.61	361.04	656.11	293.07	647.07	480.04	351.14	195.72	297.17	638.15	802.41	684.02	559.28	547.75	329.84	547.75	603.67	480.04	540.19	583.07	743.43	457.25	587.13	830.75	371.22	346.29	237.86	329.84	607.87	928.3	395.18	587.13	651.58	299.25	181.28	208.38	764.36	718.08	551.56	336.79	353.59	466.88	532.74	255.0	764.36	603.67	406.31	854.13	379.04	279.14	723.08	587.13	1015.93	896.64	638.15	738.29	273.37	463.65	323.03	309.83	273.37	202.66	217.27	215.77	201.25	202.66
NADSYN1	684.02	1030.12	1059.11	769.69	1467.37	995.0	1794.29	872.1	1225.22	483.38	1259.69	1001.93	878.17	1111.82	1104.13	1208.34	796.86	1467.37	1059.11	1583.71	813.63	1457.23	819.3	1119.56	713.11	995.0	1037.29	1088.92	708.18	830.75	947.83	878.17	603.67	651.58	1191.69	1417.35	1268.46	1183.45	1059.11	921.88	1397.83	1023.0	1008.9	1127.35	1044.52	1498.22	836.53	1407.55	1697.45	733.19	583.07	802.41	753.83	1295.13	1378.57	638.15	1073.91	1225.22	532.74	547.75	684.02	1119.56	1313.23	1008.9	733.19	775.05	743.43	1519.15	733.19	1233.75	961.07	748.61	1268.46	684.02	733.19	1467.37	1437.15	2485.67	1583.71	1250.98	1295.13	698.41	1191.69	830.75	738.29	1096.5	954.43	669.92	563.18	438.59	583.07
NEIL1	329.84	902.89	791.35	258.57	1159.07	684.02	1388.16	332.14	928.3	244.57	1199.98	466.88	559.28	860.08	358.54	791.35	395.18	1250.98	775.05	1936.53	432.53	1250.98	249.73	1059.11	258.57	454.09	612.11	1498.22	265.87	703.28	748.61	500.46	155.5	376.41	1340.84	1467.37	941.27	1407.55	660.68	323.03	1015.93	624.99	738.29	684.02	860.08	1447.15	703.28	928.3	1583.71	293.07	293.07	305.55	285.03	1030.12	1745.2	363.56	884.29	1096.5	432.53	195.72	279.14	1286.18	753.83	909.17	397.93	460.44	460.44	1175.27	267.73	1286.18	1081.39	255.0	1225.22	277.2	204.07	1359.57	1437.15	2739.08	1832.01	928.3	1397.83	267.73	698.41	255.0	289.02	595.34	258.57	214.27	224.97	180.02	80.57
NOXA1	91.41	242.88	312.0	118.43	420.68	217.27	265.87	187.71	265.87	81.14	384.34	185.11	186.4	165.57	190.34	346.29	190.34	332.14	275.28	239.52	178.77	400.71	187.71	256.78	88.26	137.14	277.2	341.51	151.22	209.84	212.78	128.79	43.94	97.36	279.14	525.39	316.37	490.14	312.0	153.34	379.04	406.31	329.84	239.52	260.38	397.93	224.97	242.88	435.55	95.34	148.09	88.88	181.28	255.0	295.11	118.43	178.77	201.25	120.1	46.84	76.17	289.02	329.84	249.73	115.16	186.4	145.02	441.64	109.66	583.07	387.02	75.64	532.74	157.68	161.02	595.34	346.29	486.75	521.76	260.38	255.0	128.79	291.04	205.5	180.02	193.01	131.51	74.58	104.42	88.88	68.07
NPEPL1	325.29	521.76	438.59	348.71	878.17	356.05	981.29	384.34	500.46	307.69	775.05	379.04	507.46	802.41	435.55	567.1	303.44	796.86	1208.34	579.04	217.27	896.64	376.41	579.04	343.89	412.0	392.44	363.56	392.44	571.05	466.88	273.37	265.87	353.59	629.35	796.86	796.86	1286.18	703.28	435.55	775.05	563.18	503.95	890.44	866.07	769.69	470.14	660.68	1233.75	441.64	420.68	409.15	381.68	607.87	753.83	320.8	518.15	612.11	353.59	295.11	299.25	1199.98	769.69	563.18	318.57	426.57	336.79	1081.39	669.92	842.36	684.02	432.53	1081.39	493.56	291.04	884.29	748.61	1191.69	981.29	708.18	748.61	336.79	599.49	457.25	346.29	483.38	341.51	387.02	269.6	267.73	193.01
NPFF	6.94	28.45	71.0	20.11	120.94	10.31	96.01	21.63	153.34	8.51	54.72	31.0	32.36	69.52	26.1	51.71	15.91	59.97	50.63	267.73	33.78	109.66	24.63	48.52	24.99	36.53	73.54	40.07	33.78	27.84	26.28	18.29	3.82	9.34	81.14	63.45	191.67	56.68	58.3	38.4	16.63	26.28	8.06	51.71	41.22	27.25	28.45	71.0	267.73	3.17	9.13	3.11	14.24	84.63	62.56	16.15	111.21	126.12	34.26	2.58	20.41	73.54	91.41	24.11	9.06	20.56	0.0	271.48	3.66	103.69	54.33	5.28	98.73	16.15	23.25	137.14	104.42	409.15	175.07	48.18	47.5	20.26	68.07	19.82	1.06	59.55	26.1	12.45	8.99	10.88	4.39
NPIPB3	612.11	1127.35	1417.35	384.34	2133.97	1225.22	2240.11	559.28	1437.15	361.04	1551.09	915.51	1104.13	1151.06	915.51	1081.39	329.84	1407.55	1268.46	2319.15	642.59	1359.57	403.5	1191.69	356.05	1023.0	988.12	1388.16	532.74	713.11	759.08	708.18	371.22	450.94	1437.15	2816.11	1639.59	2351.53	988.12	665.29	1242.34	1030.12	708.18	1216.75	684.02	2351.53	780.44	1457.23	3303.0	728.11	764.36	555.41	307.69	1081.39	1977.24	733.19	1832.01	1286.18	395.18	447.82	473.41	2502.97	1467.37	921.88	693.58	629.35	728.11	2609.3	575.03	2004.85	1781.89	607.87	2075.59	483.38	361.04	2417.67	1950.0	4152.18	2209.26	1167.14	1498.22	389.72	961.07	642.59	490.14	860.08	381.68	329.84	490.14	205.5	273.37
NRBP2	525.39	723.08	368.65	441.64	1340.84	616.37	1167.14	514.56	836.53	246.28	813.63	665.29	607.87	718.08	332.14	802.41	406.31	1268.46	941.27	836.53	406.31	1015.93	551.56	836.53	314.17	563.18	470.14	733.19	242.88	454.09	595.34	226.54	289.02	412.0	1073.91	1883.54	1143.1	2061.24	336.79	395.18	1023.0	497.0	387.02	995.0	457.25	638.15	575.03	967.76	1199.98	624.99	480.04	543.96	460.44	507.46	759.08	575.03	638.15	802.41	389.72	320.8	521.76	1143.1	698.41	521.76	392.44	351.14	579.04	1159.07	591.22	819.3	1268.46	327.56	866.07	348.71	371.22	785.88	941.27	1561.89	1508.65	559.28	728.11	579.04	995.0	599.49	583.07	848.22	381.68	525.39	559.28	318.57	197.09
NXF1	1427.22	2796.65	2777.33	1407.55	3103.19	2682.69	2319.15	1819.35	3103.19	981.29	2061.24	1896.65	1832.01	2163.77	1540.37	2303.12	1340.84	2816.11	2224.63	2032.85	1721.16	2777.33	1191.69	2240.11	974.5	1733.13	1477.58	3103.19	974.5	1745.2	2224.63	1639.59	759.08	995.0	2701.35	2664.15	2701.35	3303.0	3039.3	1331.57	2417.67	2075.59	1662.49	2271.4	1936.53	2875.3	1870.53	2520.38	2796.65	1397.83	1397.83	1286.18	1340.84	2193.99	2895.31	1721.16	2451.44	2701.35	1388.16	1167.14	1023.0	3372.43	2468.49	3039.3	1159.07	1457.23	1561.89	2645.74	1143.1	2739.08	3901.01	947.83	3303.0	1397.83	1467.37	2997.45	2739.08	3372.43	3303.0	2627.46	1936.53	1651.0	2537.92	1709.26	1331.57	2609.3	1369.04	1259.69	1909.85	1286.18	1378.57
PCED1A	642.59	1066.48	1350.18	595.34	1806.78	1457.23	1487.87	603.67	1151.06	381.68	1427.22	915.51	842.36	1397.83	1008.9	1437.15	1127.35	1167.14	1498.22	2351.53	854.13	1794.29	603.67	1259.69	753.83	551.56	1051.79	1733.13	825.0	961.07	988.12	884.29	400.71	688.78	1709.26	2367.9	1844.76	1467.37	1081.39	713.11	1167.14	1001.93	713.11	1151.06	1216.75	1519.15	902.89	1605.83	1832.01	902.89	693.58	525.39	718.08	1183.45	1259.69	698.41	1322.37	1216.75	830.75	521.76	547.75	1467.37	1733.13	1151.06	607.87	836.53	890.44	2537.92	441.64	1268.46	2163.77	703.28	934.76	1059.11	733.19	1781.89	1991.0	1991.0	2627.46	1295.13	1498.22	764.36	1135.2	587.13	698.41	1304.15	674.59	547.75	423.61	356.05	343.89
PCSK4	35.5	63.89	62.56	37.85	81.14	66.65	114.36	41.81	61.68	19.39	103.69	52.45	57.08	37.32	26.67	112.77	38.67	56.28	53.57	60.39	32.82	138.1	54.72	84.63	23.93	37.85	51.71	65.72	25.35	53.19	37.85	21.63	7.82	24.99	97.36	166.73	69.52	180.02	53.57	19.25	68.55	88.88	43.32	67.59	79.45	66.18	48.87	78.34	91.41	45.85	30.34	21.16	30.78	55.89	51.71	26.28	65.26	63.0	13.52	14.24	39.22	105.89	135.24	36.01	18.56	41.52	35.25	97.36	27.64	90.14	105.15	26.28	114.36	44.89	18.56	148.09	62.12	110.43	136.19	60.39	66.18	29.48	46.84	50.98	20.26	47.17	19.82	47.17	8.0	16.39	21.47
PIDD	185.11	211.31	435.55	173.85	470.14	309.83	575.03	208.38	336.79	92.7	417.77	277.2	307.69	320.8	244.57	341.51	208.38	466.88	332.14	441.64	246.28	493.56	191.67	348.71	103.69	248.0	289.02	432.53	159.9	334.46	279.14	212.78	64.8	128.79	293.07	507.46	323.03	486.75	301.33	177.53	395.18	351.14	255.0	332.14	346.29	547.75	226.54	441.64	748.61	183.82	182.55	218.79	224.97	320.8	473.41	183.82	395.18	400.71	171.45	84.63	78.89	466.88	460.44	339.14	156.59	201.25	258.57	555.41	130.6	432.53	417.77	194.36	521.76	151.22	148.09	616.37	514.56	665.29	587.13	341.51	353.59	143.01	387.02	229.72	134.3	271.48	152.28	166.73	148.09	96.68	82.87
PILRB	389.72	1427.22	848.22	283.05	1651.0	836.53	2591.27	521.76	1397.83	217.27	1977.24	884.29	802.41	1135.2	551.56	1044.52	193.01	2075.59	1015.93	4358.66	669.92	2061.24	361.04	1008.9	231.32	688.78	1119.56	1457.23	231.32	974.5	848.22	500.46	143.01	281.09	1359.57	2004.85	2591.27	1832.01	1073.91	493.56	1313.23	854.13	587.13	1216.75	1183.45	1819.35	902.89	1806.78	2645.74	368.65	358.54	307.69	249.73	1081.39	1977.24	571.05	1135.2	1331.57	314.17	234.57	339.14	1674.06	1313.23	1104.13	379.04	525.39	708.18	2178.83	199.85	1721.16	2591.27	297.17	2240.11	414.87	366.09	2303.12	1832.01	5219.6	3467.27	2047.0	1745.2	329.84	1225.22	373.81	275.28	1066.48	297.17	279.14	441.64	156.59	120.1
PLA2G4B	57.08	122.64	165.57	33.3	299.25	130.6	571.05	81.71	341.51	24.46	438.59	146.03	153.34	198.47	99.43	102.97	22.43	392.44	171.45	543.96	89.51	237.86	43.32	107.38	36.79	142.01	137.14	289.02	73.54	144.01	130.6	107.38	26.67	47.84	187.71	435.55	384.34	197.09	159.9	94.67	237.86	105.89	95.34	127.0	205.5	417.77	175.07	204.07	281.09	58.3	66.65	68.07	68.55	178.77	336.79	77.79	194.36	329.84	35.25	58.3	35.76	242.88	341.51	180.02	61.25	97.36	120.94	397.93	75.11	155.5	265.87	143.01	323.03	59.13	46.18	460.44	414.87	525.39	599.49	232.94	334.46	63.45	316.37	88.26	73.54	229.72	95.34	56.28	67.59	28.04	29.27
PPP2R3B	67.59	154.42	169.07	84.63	239.52	120.1	312.0	94.01	140.04	47.5	170.25	125.24	142.01	115.97	69.52	128.79	70.51	194.36	166.73	269.6	85.82	373.81	100.83	167.9	45.85	87.65	102.97	144.01	76.71	105.89	75.11	68.55	52.08	59.55	185.11	297.17	154.42	267.73	123.5	88.88	157.68	217.27	81.71	138.1	162.14	220.32	102.25	158.79	384.34	71.0	81.14	66.65	100.13	131.51	204.07	81.71	89.51	120.94	53.95	48.87	51.35	211.31	154.42	159.9	86.43	89.51	111.99	305.55	70.01	202.66	246.28	96.68	204.07	61.25	55.1	318.57	165.57	318.57	277.2	129.69	297.17	53.95	151.22	93.35	76.71	144.01	85.22	87.65	68.55	35.25	70.01
PPT2-EGFL8	24.46	38.4	38.12	21.78	93.35	29.27	130.6	30.56	51.71	7.22	90.14	40.93	41.52	80.57	43.02	98.04	18.16	120.94	69.52	90.14	24.28	127.89	18.7	33.54	15.8	27.84	58.3	55.89	16.88	31.9	45.53	20.71	6.78	19.68	63.0	154.42	161.02	152.28	54.33	18.97	73.54	56.28	7.06	97.36	62.12	69.52	57.89	67.12	108.9	15.68	8.45	12.83	24.28	63.0	90.77	19.82	57.08	69.52	15.22	8.0	13.22	123.5	54.33	52.82	18.7	22.26	39.22	87.03	17.13	54.33	88.26	9.93	108.9	22.1	19.39	161.02	94.01	101.54	181.28	75.64	57.89	26.28	106.63	23.76	32.13	64.8	18.16	22.43	10.08	11.04	13.22
PRR22	38.4	115.16	107.38	47.5	194.36	88.88	125.24	54.72	156.59	11.47	126.12	68.55	111.99	63.0	88.88	140.04	45.53	140.04	68.55	141.02	66.18	183.82	63.0	158.79	58.3	65.26	112.77	143.01	55.89	85.82	82.87	56.68	22.59	44.25	165.57	204.07	193.01	234.57	85.82	68.07	112.77	90.77	38.12	85.82	190.34	157.68	75.64	201.25	269.6	48.52	28.86	56.28	55.49	92.7	132.44	26.86	99.43	102.97	49.21	11.47	27.64	110.43	206.94	98.04	28.24	75.64	48.52	186.4	31.0	173.85	212.78	66.65	150.17	49.56	58.3	120.94	175.07	190.34	214.27	146.03	130.6	33.06	144.01	63.89	37.05	77.79	50.27	37.85	43.02	30.78	30.12
RBM6	947.83	1417.35	1417.35	759.08	2148.82	1685.71	2835.7	748.61	2384.37	591.22	2133.97	1331.57	981.29	1844.76	1015.93	1304.15	633.73	2645.74	1617.0	3190.46	909.17	2875.3	684.02	1467.37	551.56	1639.59	1487.87	2335.28	830.75	1096.5	1304.15	1001.93	612.11	866.07	1844.76	3081.75	2047.0	2645.74	1304.15	909.17	2061.24	1167.14	860.08	1605.83	1794.29	2209.26	1304.15	1950.0	2976.74	902.89	884.29	738.29	753.83	1697.45	2875.3	1096.5	1628.26	1781.89	607.87	780.44	1081.39	2935.74	2047.0	1594.73	1001.93	878.17	1135.2	3349.13	684.02	1697.45	3589.58	842.36	1709.26	684.02	764.36	2319.15	2758.13	5791.62	3467.27	1628.26	1781.89	819.3	1457.23	872.1	825.0	1844.76	723.08	698.41	616.37	848.22	460.44
RFNG	934.76	1208.34	1457.23	808.0	2119.22	1023.0	1350.18	1340.84	1233.75	679.29	1051.79	1073.91	1369.04	1151.06	1073.91	1304.15	1295.13	1277.29	1322.37	1745.2	1199.98	1794.29	1030.12	1427.22	854.13	890.44	1159.07	1844.76	928.3	974.5	1073.91	1119.56	603.67	961.07	1617.0	1923.14	1183.45	1697.45	1651.0	1104.13	1008.9	2303.12	1529.73	1313.23	1175.27	2133.97	1143.1	1286.18	1572.76	1331.57	819.3	860.08	995.0	1477.58	1467.37	769.69	1685.71	1467.37	620.67	571.05	748.61	1794.29	1909.85	1081.39	796.86	808.0	1127.35	1733.13	941.27	1242.34	1572.76	1119.56	1709.26	981.29	954.43	1437.15	1551.09	1617.0	1977.24	1322.37	1781.89	896.64	1199.98	1081.39	842.36	1015.93	988.12	866.07	612.11	563.18	595.34
