	TCGA.BT.A2LD.01A.12R.A20F.07	TCGA.XF.A9T2.01A.11R.A42T.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.2F.A9KW.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.AAN2.01A.11R.A42T.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.A8.A07L.01A.11R.A00Z.07	TCGA.C8.A12W.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.W5.AA38.01A.11R.A41I.07	TCGA.W5.AA2X.01A.11R.A41I.07	TCGA.YR.A95A.01A.12R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.AD.6889.01A.11R.1928.07	TCGA.AM.5821.01A.01R.1653.07	TCGA.AD.5900.01A.11R.1653.07	TCGA.A6.5662.01A.01R.1653.07	TCGA.AD.6895.01A.11R.1928.07	GTEX.1399R.2226.SM.5P9JB	GTEX.11TT1.1026.SM.5PNW7	TCGA.B0.5098.01A.01R.1420.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.FV.A3I0.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.ZTPG.1426.SM.51MT3	GTEX.13FTW.1126.SM.5J2NV	GTEX.REY6.1226.SM.48FDR	TCGA.50.5936.01A.11R.1628.07	TCGA.44.7669.01A.21R.2066.07	TCGA.53.7624.01A.11R.2066.07	TCGA.05.4415.01A.22R.1858.07	TCGA.21.1083.01A.01R.0692.07	TCGA.58.8388.01A.11R.2326.07	TCGA.85.6560.01A.11R.1820.07	TCGA.39.5040.01A.21R.2125.07	TCGA.34.5927.01A.11R.1820.07	TCGA.AF.5654.01A.01R.1660.07	TCGA.AF.2693.01A.02R.1736.07	TCGA.AG.3731.01A.11R.1736.07	TCGA.EI.6507.01A.11R.1736.07	TCGA.G5.6233.01A.11R.1736.07	TCGA.CD.5799.01A.11R.1602.13	TCGA.BR.6852.01A.11R.1884.13	TCGA.CG.5720.01A.11R.1602.13	TCGA.HU.A4GN.01A.11R.A251.31	TCGA.BR.8678.01A.11R.2402.13	TCGA.D7.5578.01A.01R.1602.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.B7.A5TK.01A.12R.A36D.31	TCGA.VQ.A8P3.01A.11R.A36D.31	TCGA.BR.7707.01A.11R.2055.13	TCGA.VQ.AA69.01A.11R.A414.31	TCGA.EY.A1GL.01A.11R.A13S.07
SMG1	152.28	178.77	241.19	94.01	241.19	138.1	204.07	136.19	146.03	318.57	412.0	361.04	80.01	256.78	157.68	169.07	211.31	231.32	267.73	291.04	356.05	88.26	255.0	295.11	65.72	62.12	193.01	75.11	76.17	96.01	146.03	33.78	134.3	115.97	96.01	143.01	124.37	108.14	146.03	74.58	62.56	305.55	480.04	348.71	353.59	403.5	503.95	356.05	376.41	351.14	283.05	329.84	409.15	435.55	301.33	205.5	460.44	209.84	532.74	511.0	271.48	260.38	325.29	409.15	167.9	514.56	127.89
SP3	629.35	738.29	343.89	473.41	547.75	521.76	624.99	473.41	480.04	1001.93	825.0	902.89	289.02	703.28	629.35	400.71	543.96	599.49	500.46	674.59	514.56	312.0	638.15	934.76	246.28	248.0	273.37	153.34	239.52	241.19	420.68	155.5	314.17	303.44	303.44	426.57	373.81	285.03	409.15	228.13	267.73	679.29	1073.91	1216.75	1167.14	896.64	1216.75	1073.91	1359.57	1277.29	738.29	775.05	764.36	775.05	603.67	368.65	503.95	301.33	633.73	1183.45	532.74	447.82	638.15	698.41	341.51	1015.93	336.79
SPEN	403.5	934.76	703.28	381.68	384.34	961.07	620.67	769.69	414.87	435.55	642.59	575.03	312.0	429.54	307.69	470.14	444.72	379.04	791.35	320.8	633.73	395.18	651.58	426.57	299.25	258.57	412.0	373.81	237.86	339.14	454.09	195.72	486.75	470.14	353.59	423.61	457.25	366.09	493.56	379.04	244.57	559.28	884.29	638.15	579.04	624.99	1051.79	769.69	988.12	995.0	599.49	486.75	819.3	928.3	642.59	1066.48	830.75	698.41	848.22	884.29	915.51	723.08	463.65	825.0	540.19	1143.1	660.68
SSH1	121.79	218.79	193.01	127.89	115.97	66.65	151.22	63.45	98.04	309.83	283.05	201.25	108.14	135.24	141.02	107.38	139.07	260.38	262.2	100.83	221.86	79.45	142.01	193.01	99.43	64.8	90.14	76.71	99.43	72.01	172.65	71.5	104.42	65.72	67.12	158.79	135.24	57.08	191.67	68.07	71.5	341.51	444.72	204.07	532.74	273.37	493.56	271.48	307.69	218.79	229.72	187.71	435.55	363.56	148.09	197.09	334.46	162.14	262.2	287.01	215.77	169.07	303.44	208.38	145.02	808.0	154.42
STAG1	194.36	260.38	236.21	248.0	215.77	132.44	366.09	153.34	103.69	518.15	305.55	239.52	114.36	229.72	189.02	129.69	161.02	187.71	265.87	242.88	209.84	59.97	275.28	376.41	97.36	77.25	88.26	59.13	46.84	115.97	169.07	54.72	108.9	86.43	95.34	123.5	125.24	84.63	152.28	141.02	71.0	229.72	532.74	289.02	297.17	343.89	371.22	314.17	387.02	503.95	94.67	246.28	260.38	253.23	191.67	194.36	241.19	169.07	265.87	406.31	197.09	220.32	199.85	271.48	209.84	532.74	159.9
TAB2	303.44	381.68	629.35	607.87	547.75	624.99	878.17	529.06	529.06	1359.57	665.29	642.59	165.57	547.75	303.44	603.67	486.75	444.72	438.59	708.18	384.34	463.65	612.11	764.36	334.46	189.02	358.54	144.01	241.19	303.44	283.05	334.46	503.95	559.28	444.72	463.65	563.18	417.77	417.77	470.14	273.37	954.43	825.0	708.18	441.64	723.08	1175.27	1096.5	733.19	1127.35	348.71	397.93	723.08	842.36	389.72	343.89	660.68	480.04	785.88	941.27	514.56	638.15	988.12	414.87	358.54	1295.13	423.61
TAF1	155.5	231.32	211.31	299.25	167.9	164.42	218.79	164.42	113.56	314.17	514.56	318.57	105.89	463.65	172.65	87.03	277.2	141.02	305.55	297.17	316.37	88.88	244.57	312.0	77.25	55.1	61.25	70.51	48.52	49.91	223.41	39.79	94.67	76.71	69.03	128.79	117.6	73.54	116.78	111.99	43.02	297.17	423.61	291.04	291.04	246.28	493.56	406.31	279.14	684.02	403.5	323.03	432.53	371.22	423.61	187.71	224.97	190.34	249.73	389.72	267.73	212.78	299.25	239.52	108.9	521.76	191.67
TAF1A	55.89	136.19	36.01	112.77	65.72	55.49	89.51	105.89	59.55	55.89	115.97	59.97	37.32	197.09	42.41	24.63	134.3	208.38	92.7	180.02	181.28	38.67	92.7	127.89	29.48	75.11	18.7	17.9	48.87	14.89	30.12	15.68	40.36	20.86	31.45	46.5	40.64	20.56	29.06	26.28	28.86	135.24	224.97	141.02	395.18	198.47	239.52	332.14	295.11	236.21	120.94	180.02	223.41	275.28	152.28	96.01	101.54	68.07	226.54	361.04	123.5	149.12	108.9	152.28	111.99	205.5	58.71
TANC1	102.25	361.04	181.28	151.22	162.14	178.77	255.0	420.68	51.71	181.28	218.79	170.25	103.69	435.55	277.2	80.57	287.01	289.02	224.97	224.97	208.38	127.89	269.6	325.29	149.12	58.71	92.7	63.45	62.56	41.22	82.29	49.21	128.79	75.64	129.69	155.5	106.63	92.05	177.53	156.59	98.73	234.57	417.77	258.57	169.07	490.14	460.44	215.77	303.44	583.07	332.14	339.14	497.0	417.77	376.41	175.07	267.73	138.1	518.15	591.22	197.09	231.32	305.55	293.07	180.02	743.43	358.54
TBK1	251.48	236.21	376.41	295.11	1883.54	379.04	529.06	206.94	314.17	486.75	305.55	486.75	273.37	1044.52	269.6	289.02	223.41	518.15	406.31	547.75	314.17	150.17	343.89	414.87	262.2	209.84	262.2	269.6	212.78	177.53	204.07	65.72	279.14	217.27	275.28	232.94	258.57	256.78	389.72	211.31	242.88	371.22	642.59	769.69	503.95	579.04	339.14	384.34	417.77	366.09	353.59	381.68	490.14	395.18	258.57	277.2	368.65	226.54	500.46	435.55	248.0	297.17	543.96	395.18	275.28	514.56	267.73
TBP	256.78	312.0	231.32	167.9	246.28	279.14	423.61	236.21	224.97	320.8	144.01	202.66	125.24	329.84	167.9	141.02	212.78	329.84	249.73	368.65	177.53	232.94	293.07	295.11	199.85	206.94	162.14	158.79	162.14	162.14	152.28	92.05	135.24	117.6	162.14	228.13	149.12	106.63	117.6	115.16	96.01	325.29	435.55	426.57	305.55	305.55	480.04	217.27	397.93	373.81	287.01	248.0	353.59	387.02	206.94	316.37	287.01	307.69	267.73	563.18	325.29	301.33	287.01	291.04	281.09	376.41	211.31
TCF19	249.73	208.38	264.03	346.29	351.14	251.48	878.17	114.36	249.73	559.28	400.71	483.38	182.55	221.86	125.24	14.24	246.28	177.53	232.94	127.89	287.01	346.29	318.57	412.0	22.43	82.87	20.86	14.78	70.01	208.38	78.34	36.27	10.47	7.94	7.57	33.54	18.56	16.88	18.7	166.73	8.25	212.78	470.14	490.14	115.97	269.6	470.14	633.73	293.07	332.14	76.17	587.13	127.0	356.05	376.41	316.37	384.34	334.46	256.78	463.65	273.37	412.0	116.78	206.94	397.93	358.54	99.43
TOPBP1	314.17	353.59	420.68	329.84	529.06	353.59	587.13	371.22	271.48	902.89	341.51	525.39	221.86	579.04	262.2	115.97	346.29	316.37	309.83	389.72	351.14	187.71	353.59	684.02	100.83	97.36	159.9	100.13	92.05	123.5	198.47	41.22	84.04	76.17	75.64	120.94	111.99	95.34	190.34	105.89	64.34	423.61	947.83	647.07	567.1	791.35	1066.48	1457.23	1151.06	1111.82	368.65	536.45	551.56	500.46	387.02	387.02	518.15	297.17	796.86	988.12	486.75	460.44	525.39	511.0	403.5	1191.69	159.9
TRPM7	186.4	186.4	214.27	417.77	229.72	172.65	159.9	88.88	65.26	409.15	325.29	299.25	145.02	297.17	180.02	246.28	109.66	156.59	147.06	320.8	181.28	95.34	281.09	420.68	109.66	85.22	175.07	115.16	176.29	71.0	186.4	46.84	181.28	211.31	218.79	173.85	223.41	127.0	145.02	145.02	118.43	273.37	332.14	450.94	334.46	346.29	400.71	246.28	497.0	532.74	171.45	244.57	273.37	262.2	215.77	154.42	285.03	187.71	312.0	483.38	153.34	249.73	323.03	265.87	108.14	587.13	115.16
TTC21B	45.85	204.07	62.12	39.5	35.5	97.36	73.03	27.05	59.55	299.25	115.97	159.9	54.33	211.31	75.64	77.79	122.64	98.73	104.42	140.04	92.7	42.41	54.72	142.01	47.5	85.82	59.13	47.17	38.67	75.11	119.26	45.53	94.67	57.49	48.18	67.12	81.14	64.8	64.8	52.82	59.97	133.36	147.06	155.5	218.79	228.13	262.2	146.03	226.54	221.86	209.84	123.5	185.11	249.73	133.36	82.87	153.34	41.52	116.78	201.25	57.49	84.63	86.43	95.34	76.17	277.2	71.0
TTF2	226.54	264.03	348.71	190.34	283.05	165.57	295.11	376.41	136.19	500.46	384.34	507.46	162.14	248.0	80.57	56.28	273.37	232.94	366.09	116.78	260.38	226.54	287.01	147.06	37.59	52.82	53.57	49.91	23.59	22.92	64.8	29.48	39.5	15.11	19.68	50.27	31.67	55.49	36.27	86.43	35.25	144.01	669.92	457.25	409.15	796.86	332.14	748.61	381.68	909.17	368.65	738.29	486.75	503.95	384.34	253.23	511.0	289.02	629.35	361.04	387.02	325.29	246.28	301.33	536.45	748.61	99.43
TULP4	90.77	73.03	72.52	64.8	87.03	67.59	111.99	69.03	105.89	239.52	115.16	178.77	76.71	105.15	60.39	28.24	59.55	45.21	74.06	108.14	67.12	53.57	73.54	140.04	30.12	38.95	42.41	26.28	26.28	25.35	63.0	19.97	28.65	19.82	21.32	41.81	38.95	29.06	32.59	48.18	20.26	123.5	145.02	108.9	81.71	136.19	299.25	111.21	100.13	323.03	73.03	45.85	97.36	78.34	64.34	76.17	131.51	70.01	139.07	320.8	58.71	84.63	96.01	82.87	54.72	258.57	100.13
U2SURP	521.76	825.0	1015.93	688.78	1119.56	674.59	974.5	928.3	480.04	1540.37	1023.0	1225.22	575.03	1447.15	872.1	417.77	743.43	1378.57	1081.39	1359.57	1268.46	256.78	796.86	1066.48	332.14	358.54	403.5	279.14	289.02	423.61	503.95	61.25	293.07	260.38	339.14	412.0	305.55	318.57	575.03	226.54	297.17	1487.87	1594.73	1359.57	1896.65	1950.0	2816.11	1540.37	1467.37	2351.53	1051.79	1183.45	1819.35	1781.89	1191.69	884.29	825.0	688.78	1721.16	2133.97	559.28	713.11	1487.87	1540.37	872.1	1437.15	543.96
UBE3D	33.78	157.68	84.63	30.78	50.63	57.89	70.51	77.25	34.26	43.94	68.07	49.56	25.35	111.99	68.07	24.46	51.35	85.82	89.51	150.17	64.8	34.51	52.82	147.06	34.02	45.85	40.07	25.91	34.02	25.72	23.59	28.45	17.77	19.39	27.44	38.95	26.28	29.27	48.18	19.25	30.12	84.63	121.79	39.79	223.41	157.68	49.91	162.14	55.1	90.14	141.02	64.34	132.44	105.89	70.01	99.43	29.7	69.03	65.26	139.07	69.03	63.0	68.07	149.12	75.11	81.14	88.26
UNC119B	211.31	616.37	102.97	38.67	206.94	103.69	75.11	62.56	232.94	490.14	205.5	137.14	275.28	293.07	457.25	62.12	358.54	187.71	420.68	265.87	229.72	281.09	209.84	291.04	48.87	117.6	119.26	218.79	52.82	76.71	441.64	37.32	26.47	25.54	19.82	87.65	154.42	26.1	124.37	107.38	76.71	234.57	251.48	151.22	429.54	476.71	579.04	438.59	366.09	583.07	429.54	275.28	389.72	723.08	157.68	255.0	165.57	325.29	309.83	656.11	299.25	327.56	142.01	162.14	167.9	669.92	366.09
UPF3B	303.44	325.29	244.57	148.09	368.65	139.07	295.11	332.14	106.63	195.72	155.5	130.6	161.02	397.93	363.56	86.43	363.56	353.59	265.87	260.38	341.51	171.45	145.02	264.03	126.12	110.43	163.28	170.25	215.77	107.38	348.71	8.19	120.1	98.73	155.5	117.6	76.71	92.7	161.02	40.36	111.21	199.85	497.0	400.71	244.57	205.5	470.14	507.46	191.67	543.96	587.13	547.75	438.59	387.02	802.41	444.72	176.29	166.73	264.03	633.73	193.01	177.53	417.77	511.0	285.03	265.87	183.82
USP34	1685.71	1477.58	1662.49	954.43	698.41	941.27	954.43	825.0	503.95	1225.22	836.53	890.44	830.75	1594.73	1081.39	738.29	748.61	656.11	780.44	819.3	698.41	647.07	713.11	1417.35	633.73	583.07	575.03	490.14	457.25	438.59	884.29	273.37	583.07	414.87	543.96	703.28	620.67	575.03	713.11	473.41	638.15	1295.13	1111.82	1277.29	1250.98	1487.87	1216.75	1781.89	1605.83	1551.09	1359.57	890.44	1023.0	1143.1	909.17	796.86	1030.12	791.35	1331.57	1551.09	708.18	1104.13	1378.57	1340.84	728.11	1857.6	1159.07
USP37	32.13	26.28	36.27	47.84	42.71	16.15	42.11	11.91	13.52	107.38	267.73	156.59	21.63	55.1	37.59	46.84	63.0	68.55	49.91	40.93	50.98	19.39	50.27	94.01	30.34	12.18	11.04	11.21	9.7	19.68	16.88	4.24	44.57	23.42	22.59	45.21	35.5	22.1	31.0	49.56	19.82	79.45	260.38	80.01	113.56	98.04	159.9	158.79	135.24	123.5	79.45	65.26	73.54	95.34	65.26	40.93	85.22	49.91	124.37	197.09	42.41	49.91	39.79	69.52	59.13	199.85	27.05
USP45	43.32	113.56	102.25	42.11	52.08	63.0	93.35	76.71	35.0	62.56	104.42	96.68	49.21	201.25	74.06	75.11	110.43	193.01	118.43	185.11	154.42	102.97	120.94	202.66	45.53	52.08	92.7	111.21	51.35	74.06	60.82	24.11	106.63	82.87	79.45	61.68	48.18	72.52	74.58	55.1	36.27	205.5	139.07	145.02	123.5	271.48	178.77	128.79	93.35	204.07	171.45	71.0	217.27	246.28	126.12	87.03	141.02	120.94	209.84	242.88	68.55	120.1	246.28	208.38	92.05	176.29	60.82
VPS54	336.79	493.56	1208.34	397.93	473.41	258.57	486.75	271.48	229.72	432.53	198.47	171.45	599.49	567.1	366.09	193.01	353.59	318.57	271.48	511.0	363.56	241.19	260.38	575.03	224.97	262.2	301.33	212.78	237.86	303.44	660.68	80.57	244.57	183.82	185.11	283.05	189.02	198.47	320.8	199.85	339.14	417.77	454.09	547.75	429.54	432.53	521.76	638.15	723.08	660.68	473.41	417.77	454.09	387.02	525.39	279.14	258.57	205.5	325.29	529.06	215.77	316.37	420.68	368.65	267.73	961.07	307.69
WDR3	143.01	189.02	204.07	221.86	283.05	79.45	289.02	217.27	100.83	693.58	463.65	264.03	417.77	176.29	107.38	224.97	135.24	309.83	356.05	154.42	244.57	90.77	460.44	134.3	96.68	82.29	84.63	76.71	48.87	28.86	87.03	158.79	214.27	224.97	117.6	130.6	239.52	119.26	140.04	279.14	52.45	189.02	587.13	262.2	703.28	525.39	361.04	878.17	463.65	1151.06	279.14	497.0	447.82	438.59	197.09	208.38	329.84	356.05	480.04	444.72	389.72	381.68	182.55	241.19	441.64	251.48	138.1
WDR47	41.22	122.64	122.64	82.29	81.14	67.59	94.67	49.56	90.14	220.32	170.25	135.24	42.41	42.71	66.65	34.75	67.12	84.04	77.79	68.55	87.65	36.01	81.14	99.43	40.36	25.91	24.99	23.25	21.16	22.26	52.82	19.25	42.11	23.93	31.45	60.39	50.98	21.94	40.36	20.71	13.03	100.13	147.06	102.25	145.02	124.37	156.59	291.04	87.03	232.94	57.08	113.56	139.07	246.28	67.59	52.82	99.43	59.55	89.51	142.01	75.11	87.65	157.68	63.0	76.17	152.28	80.57
WTAP	884.29	1437.15	651.58	656.11	860.08	830.75	1685.71	1477.58	1519.15	1508.65	808.0	1023.0	848.22	1487.87	555.41	764.36	1407.55	1378.57	1225.22	1447.15	1151.06	1015.93	1322.37	1594.73	909.17	703.28	551.56	551.56	507.46	603.67	503.95	323.03	872.1	698.41	775.05	1037.29	733.19	738.29	1883.54	1242.34	575.03	1407.55	1709.26	1437.15	1277.29	1769.57	2163.77	1487.87	1407.55	1936.53	915.51	785.88	1304.15	1529.73	947.83	1143.1	1242.34	1407.55	1388.16	2335.28	1015.93	1001.93	1745.2	1519.15	915.51	1674.06	1322.37
ZBTB11	105.89	98.04	171.45	191.67	169.07	93.35	186.4	78.34	63.89	318.57	177.53	221.86	66.18	204.07	118.43	106.63	118.43	173.85	133.36	163.28	159.9	61.25	165.57	260.38	91.41	80.01	86.43	55.49	56.28	63.0	78.89	23.25	129.69	83.45	114.36	99.43	97.36	76.71	133.36	90.14	43.02	208.38	264.03	136.19	193.01	231.32	316.37	191.67	316.37	301.33	135.24	202.66	208.38	253.23	148.09	121.79	185.11	110.43	214.27	275.28	140.04	141.02	218.79	187.71	132.44	303.44	98.73
ZBTB39	38.12	69.52	48.52	26.47	74.06	44.89	45.85	48.52	62.12	111.21	48.87	57.08	26.47	76.17	34.02	31.67	63.45	59.55	102.25	149.12	44.89	23.59	41.22	71.0	11.04	16.27	29.91	19.53	15.91	12.64	26.47	15.11	12.27	16.27	14.03	19.53	39.5	16.51	16.27	15.68	9.2	79.45	232.94	115.97	93.35	117.6	146.03	159.9	115.97	256.78	133.36	97.36	155.5	209.84	76.17	55.89	99.43	78.89	91.41	220.32	112.77	66.18	85.22	51.71	61.25	208.38	43.63
ZC3HAV1L	27.84	27.25	17.25	22.92	40.07	7.57	52.82	19.11	8.51	113.56	40.93	57.89	5.32	71.0	19.39	2.43	61.25	61.25	44.57	30.56	33.06	4.06	30.12	101.54	0.0	2.41	0.0	1.97	0.0	0.0	0.62	0.0	6.36	2.43	3.17	7.28	5.11	2.81	14.78	8.58	2.29	74.06	178.77	169.07	170.25	249.73	217.27	79.45	208.38	271.48	152.28	76.17	125.24	186.4	80.57	85.22	82.29	32.59	139.07	166.73	63.0	37.32	61.68	75.11	52.45	186.4	6.84
ZKSCAN8	42.41	131.51	74.06	94.01	76.17	93.35	156.59	82.87	43.02	205.5	146.03	156.59	28.45	275.28	159.9	78.34	102.25	100.83	144.01	208.38	98.04	30.12	66.65	211.31	60.39	35.0	52.08	33.78	30.34	36.01	66.65	24.63	53.19	38.12	59.55	63.0	62.12	44.89	66.65	23.08	35.0	214.27	323.03	234.57	131.51	153.34	444.72	293.07	249.73	395.18	147.06	177.53	271.48	353.59	109.66	73.54	150.17	124.37	171.45	409.15	118.43	109.66	217.27	202.66	100.13	189.02	80.57
ZMYM3	162.14	140.04	241.19	260.38	232.94	264.03	241.19	226.54	260.38	417.77	320.8	332.14	265.87	595.34	536.45	93.35	96.01	173.85	320.8	232.94	171.45	124.37	111.99	656.11	78.89	100.13	141.02	139.07	120.94	551.56	423.61	136.19	75.64	65.72	48.87	140.04	148.09	120.1	122.64	111.99	150.17	450.94	587.13	341.51	466.88	258.57	612.11	656.11	251.48	651.58	414.87	178.77	334.46	532.74	256.78	202.66	239.52	275.28	301.33	441.64	199.85	217.27	334.46	251.48	177.53	825.0	223.41
ZMYM4	265.87	373.81	318.57	373.81	158.79	248.0	299.25	126.12	156.59	490.14	583.07	420.68	209.84	255.0	165.57	193.01	208.38	273.37	293.07	212.78	256.78	108.14	180.02	299.25	105.15	73.03	131.51	84.04	110.43	85.82	202.66	49.91	140.04	93.35	84.04	173.85	153.34	105.15	166.73	157.68	88.26	356.05	583.07	547.75	490.14	423.61	703.28	928.3	529.06	665.29	309.83	191.67	395.18	457.25	172.65	180.02	271.48	253.23	332.14	450.94	242.88	287.01	275.28	441.64	170.25	473.41	260.38
ZMYM5	92.7	202.66	180.02	100.13	244.57	171.45	143.01	92.7	74.58	121.79	117.6	228.13	128.79	159.9	218.79	119.26	202.66	201.25	115.97	529.06	201.25	64.8	116.78	293.07	113.56	56.28	73.03	80.57	84.04	69.03	92.05	25.35	96.01	77.25	98.04	137.14	79.45	97.36	102.25	55.89	119.26	129.69	144.01	215.77	104.42	229.72	155.5	189.02	180.02	260.38	110.43	198.47	171.45	339.14	620.67	78.89	115.16	82.87	85.22	178.77	120.94	106.63	204.07	223.41	70.51	215.77	117.6
ZNF148	127.89	115.16	173.85	318.57	166.73	119.26	186.4	156.59	56.68	603.67	295.11	260.38	83.45	187.71	135.24	88.26	107.38	118.43	120.1	165.57	127.0	61.68	148.09	205.5	61.25	45.21	91.41	52.45	64.34	70.01	89.51	34.26	98.04	61.25	64.8	105.89	105.89	67.12	100.83	66.65	65.26	281.09	343.89	229.72	195.72	320.8	470.14	329.84	299.25	486.75	97.36	183.82	201.25	220.32	100.83	154.42	181.28	148.09	226.54	297.17	255.0	161.02	209.84	177.53	115.16	348.71	73.03
ZNF292	34.75	105.89	127.0	87.65	181.28	151.22	161.02	93.35	18.43	98.04	96.01	108.9	128.79	195.72	136.19	45.85	92.05	73.03	118.43	163.28	107.38	25.54	98.73	180.02	33.78	29.27	38.95	25.35	14.24	15.22	138.1	6.06	62.12	28.86	47.17	81.71	51.35	35.25	167.9	18.84	96.01	143.01	212.78	185.11	100.13	256.78	543.96	167.9	139.07	291.04	86.43	75.11	144.01	224.97	159.9	211.31	122.64	159.9	173.85	480.04	102.97	118.43	258.57	175.07	98.04	384.34	85.22
ZNF512	334.46	563.18	595.34	256.78	164.42	297.17	301.33	454.09	237.86	536.45	438.59	358.54	483.38	563.18	511.0	161.02	312.0	460.44	339.14	603.67	249.73	146.03	131.51	651.58	141.02	148.09	149.12	120.1	139.07	169.07	579.04	82.29	92.7	56.68	67.59	130.6	92.05	85.82	228.13	53.19	75.64	237.86	836.53	480.04	249.73	503.95	884.29	81.71	309.83	941.27	269.6	316.37	332.14	295.11	575.03	180.02	325.29	258.57	289.02	381.68	242.88	293.07	267.73	190.34	162.14	525.39	189.02
ZNF519	24.63	56.28	110.43	25.35	36.01	35.0	69.03	97.36	26.28	131.51	48.18	60.82	36.01	84.63	40.36	6.84	81.71	86.43	52.45	79.45	63.0	21.01	41.22	129.69	16.51	11.91	5.19	10.39	7.57	6.89	25.54	2.84	2.46	2.39	6.73	14.67	6.21	1.64	11.47	4.46	5.73	36.27	61.68	72.52	70.01	136.19	220.32	116.78	153.34	138.1	56.28	50.27	62.12	190.34	126.12	31.67	32.36	18.16	44.89	157.68	50.63	20.56	36.79	62.56	18.97	85.22	6.78
ZNF532	146.03	518.15	155.5	129.69	241.19	142.01	426.57	110.43	129.69	518.15	785.88	325.29	80.57	503.95	159.9	35.76	98.04	525.39	299.25	229.72	217.27	25.72	124.37	647.07	58.71	28.65	25.35	25.72	20.11	19.97	275.28	10.55	68.07	24.11	22.26	70.01	60.39	40.36	164.42	36.01	31.67	647.07	1001.93	470.14	884.29	466.88	1286.18	624.99	743.43	1447.15	85.82	178.77	483.38	507.46	232.94	171.45	540.19	166.73	228.13	1216.75	251.48	194.36	723.08	195.72	153.34	1397.83	212.78
ZNF609	147.06	204.07	186.4	123.5	228.13	169.07	195.72	121.79	77.25	423.61	343.89	435.55	104.42	258.57	126.12	74.06	132.44	144.01	204.07	198.47	187.71	82.87	139.07	281.09	66.18	43.63	78.34	49.56	68.07	80.57	185.11	75.64	107.38	60.82	58.71	106.63	135.24	61.25	112.77	65.26	64.8	358.54	387.02	334.46	395.18	307.69	497.0	397.93	277.2	414.87	187.71	226.54	323.03	325.29	182.55	223.41	291.04	190.34	242.88	435.55	226.54	262.2	198.47	121.79	150.17	536.45	141.02
ZNF674	23.76	48.18	31.0	27.44	22.92	23.59	47.5	21.16	18.97	48.87	29.06	26.1	21.78	33.54	27.05	44.57	29.48	35.25	14.67	44.57	21.32	15.56	25.17	48.87	13.93	28.24	24.81	14.78	15.0	16.63	25.72	13.93	34.02	11.64	20.26	27.25	51.35	33.06	23.59	28.04	29.7	36.53	46.84	27.64	31.45	37.32	54.72	57.08	24.63	81.71	37.32	30.78	40.36	52.45	47.84	31.22	30.78	23.08	33.78	82.29	40.64	16.51	56.28	39.79	16.63	57.89	15.91
ZNF81	54.33	39.5	41.22	33.78	35.5	25.17	51.71	56.28	59.97	74.58	63.45	28.04	18.84	101.54	27.44	38.95	43.32	40.36	33.06	47.84	36.01	43.02	35.76	52.08	20.41	29.06	25.72	29.7	17.64	37.05	43.63	29.91	16.15	19.11	23.42	40.64	7.28	20.56	45.85	13.83	23.25	39.22	86.43	48.87	51.35	30.56	74.58	94.67	30.12	46.84	67.12	41.22	53.57	88.26	78.34	34.75	39.5	26.86	45.21	128.79	52.08	46.5	57.08	28.65	35.25	76.17	26.28
ZSCAN29	105.15	197.09	166.73	96.01	182.55	143.01	198.47	143.01	101.54	381.68	271.48	264.03	67.12	457.25	164.42	104.42	136.19	153.34	197.09	287.01	226.54	98.04	159.9	194.36	48.18	77.79	125.24	67.12	58.71	50.27	92.7	41.22	87.03	55.89	59.55	98.73	101.54	64.8	72.52	125.24	36.79	287.01	392.44	199.85	309.83	218.79	379.04	221.86	232.94	406.31	205.5	265.87	314.17	314.17	234.57	187.71	332.14	194.36	316.37	507.46	224.97	199.85	183.82	271.48	141.02	435.55	148.09
ZUFSP	104.42	183.82	108.14	87.03	132.44	163.28	273.37	172.65	74.58	120.1	107.38	164.42	92.05	334.46	72.01	64.8	127.89	190.34	126.12	202.66	198.47	116.78	253.23	224.97	128.79	138.1	121.79	109.66	78.89	72.01	75.64	21.94	92.05	69.52	104.42	115.16	112.77	102.25	129.69	66.18	70.01	244.57	307.69	197.09	191.67	234.57	154.42	218.79	180.02	256.78	231.32	132.44	223.41	241.19	194.36	131.51	197.09	126.12	209.84	246.28	118.43	140.04	281.09	197.09	110.43	253.23	145.02
