	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.FV.A3I1.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	GTEX.RN64.1826.SM.48FDV	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11EQ9.0226.SM.5A5JX	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.OOBJ.0526.SM.48TDK	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.ZZPT.1326.SM.5E43H	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
HIVEP2	47.5	47.17	35.76	26.86	66.18	39.22	25.72	25.72	31.0	22.1	39.5	25.54	49.91	40.93	36.53	46.5	18.29	24.99	28.45	55.1	41.81	44.57	684.02	248.0	651.58	217.27	224.97	201.25	297.17	173.85	127.89	176.29	314.17	162.14	100.83	88.88	265.87	743.43	170.25	318.57	170.25	260.38	454.09	190.34	177.53	89.51	329.84	583.07	463.65	224.97	181.28	195.72	387.02	172.65	603.67	212.78	166.73	113.56	107.38	191.67	136.19	249.73	351.14	318.57	145.02	529.06	251.48	163.28	291.04	460.44	392.44	384.34	441.64	177.53	170.25	381.68	381.68	125.24	165.57	114.36	316.37	125.24	173.85	616.37	158.79	255.0	738.29	389.72	400.71	559.28	532.74
HNRNPH3	1594.73	1216.75	1397.83	941.27	1757.34	1191.69	753.83	896.64	974.5	1051.79	813.63	1167.14	1340.84	1259.69	1498.22	1457.23	802.41	1216.75	1313.23	1477.58	1191.69	1044.52	7230.1	2835.7	3235.01	1819.35	5219.6	2303.12	3146.52	4769.75	1819.35	3467.27	9344.14	2591.27	2451.44	3303.0	5872.48	3820.7	1617.0	4543.8	3372.43	3665.02	6887.62	2193.99	1991.0	2287.2	7803.01	4152.18	4671.57	3372.43	2835.7	4268.94	6471.02	5479.15	4450.27	2609.3	2537.92	2163.77	2075.59	2835.7	2997.45	2209.26	4388.98	2090.03	2701.35	3467.27	3847.29	2956.17	3564.78	2193.99	3443.31	4388.98	9409.14	1806.78	3325.99	3690.52	2148.82	3325.99	4481.23	2163.77	3614.55	2417.67	3349.13	5954.47	1508.65	3280.18	7081.29	3639.7	4328.55	3874.05	3060.45
HOOK3	70.01	143.01	48.52	131.51	72.52	32.82	36.27	23.93	67.12	58.71	87.65	47.17	55.49	53.19	49.91	52.45	11.73	49.56	63.0	64.8	100.83	73.54	457.25	325.29	563.18	297.17	234.57	140.04	187.71	215.77	170.25	312.0	493.56	214.27	105.15	114.36	163.28	212.78	198.47	209.84	379.04	128.79	463.65	120.1	123.5	173.85	281.09	220.32	253.23	255.0	267.73	164.42	178.77	166.73	142.01	223.41	173.85	187.71	85.22	169.07	137.14	67.12	138.1	529.06	152.28	255.0	197.09	242.88	242.88	161.02	197.09	218.79	429.54	107.38	128.79	463.65	110.43	255.0	224.97	45.21	191.67	148.09	137.14	417.77	265.87	131.51	607.87	205.5	470.14	189.02	275.28
HRH1	4.98	11.38	9.63	16.63	6.21	12.45	6.01	1.5	2.76	9.85	9.48	2.89	7.28	4.82	7.22	7.46	2.39	3.29	3.59	5.68	6.46	5.23	497.0	269.6	271.48	59.55	139.07	90.77	353.59	190.34	46.18	108.14	117.6	108.14	86.43	69.52	205.5	348.71	45.53	381.68	251.48	88.26	447.82	58.71	141.02	62.56	154.42	429.54	221.86	134.3	83.45	146.03	281.09	136.19	447.82	293.07	61.25	44.89	48.52	236.21	63.89	152.28	441.64	108.14	46.18	305.55	205.5	87.65	104.42	295.11	201.25	323.03	361.04	118.43	127.0	389.72	190.34	19.25	190.34	191.67	117.6	24.81	31.67	642.59	76.17	204.07	981.29	249.73	325.29	197.09	389.72
IL1RL1	88.88	6.78	1.93	1.58	6.41	5.02	30.56	0.0	4.62	4.74	4.35	10.16	7.17	1.69	46.5	2.46	79.45	9.2	12.09	1.19	71.5	1.68	2976.74	81.14	8134.41	2682.69	181.28	2163.77	4038.61	1135.2	253.23	928.3	819.3	435.55	316.37	1583.71	3168.41	4298.64	2468.49	140.04	211.31	39.79	232.94	3257.52	169.07	1417.35	511.0	567.1	890.44	226.54	813.63	29.48	132.44	281.09	1059.11	92.7	1030.12	825.0	2451.44	215.77	665.29	1733.13	122.64	316.37	105.89	698.41	2777.33	1519.15	185.11	660.68	3639.7	273.37	1733.13	497.0	77.25	63.89	1909.85	1322.37	111.99	74.58	490.14	1883.54	521.76	1407.55	647.07	134.3	4181.07	1104.13	503.95	4358.66	8134.41
IPO7	429.54	376.41	356.05	226.54	343.89	429.54	217.27	423.61	211.31	312.0	332.14	379.04	368.65	363.56	320.8	423.61	180.02	400.71	392.44	525.39	194.36	248.0	1477.58	684.02	1487.87	808.0	743.43	1073.91	842.36	830.75	775.05	830.75	934.76	426.57	392.44	551.56	1551.09	1709.26	656.11	947.83	733.19	503.95	1167.14	733.19	651.58	684.02	718.08	1199.98	934.76	656.11	1059.11	583.07	1216.75	567.1	1119.56	728.11	563.18	764.36	463.65	728.11	684.02	791.35	669.92	1051.79	543.96	1447.15	1159.07	748.61	503.95	1781.89	928.3	954.43	1757.34	748.61	567.1	1051.79	819.3	616.37	878.17	713.11	423.61	780.44	511.0	1427.22	718.08	934.76	2319.15	791.35	1242.34	1674.06	1896.65
JAK1	866.07	728.11	723.08	470.14	738.29	884.29	423.61	264.03	406.31	708.18	842.36	525.39	825.0	769.69	819.3	753.83	791.35	866.07	669.92	961.07	583.07	599.49	3325.99	1628.26	2537.92	2133.97	1605.83	2895.31	1651.0	2417.67	1628.26	1051.79	1870.53	1242.34	1051.79	860.08	2032.85	4869.99	2240.11	1583.71	1561.89	902.89	2720.15	1259.69	981.29	854.13	1417.35	2816.11	2645.74	1991.0	2682.69	1594.73	1745.2	2451.44	3847.29	1857.6	1617.0	1427.22	1350.18	1340.84	1322.37	1295.13	1721.16	3124.78	693.58	1963.57	1806.78	2303.12	988.12	2224.63	2061.24	1572.76	2537.92	2537.92	995.0	2193.99	1685.71	1540.37	2047.0	1001.93	1819.35	2701.35	1407.55	2739.08	1277.29	1674.06	5831.91	1883.54	3235.01	1617.0	3467.27
JAM3	54.72	126.12	95.34	97.36	94.01	125.24	63.0	20.41	72.01	100.13	88.26	48.18	49.21	39.5	45.85	43.02	32.36	36.27	46.18	50.63	91.41	39.22	1199.98	633.73	703.28	988.12	1277.29	329.84	2178.83	1225.22	723.08	483.38	2417.67	1015.93	1001.93	791.35	884.29	1745.2	438.59	718.08	967.76	1199.98	1950.0	379.04	339.14	351.14	1909.85	1697.45	1340.84	1233.75	599.49	860.08	830.75	547.75	909.17	1268.46	356.05	198.47	599.49	1819.35	842.36	476.71	813.63	1183.45	426.57	1883.54	291.04	414.87	521.76	571.05	854.13	909.17	2777.33	287.01	780.44	1259.69	406.31	785.88	775.05	206.94	1540.37	289.02	336.79	1167.14	961.07	1508.65	3874.05	651.58	1561.89	1407.55	665.29
JDP2	486.75	125.24	248.0	183.82	368.65	193.01	275.28	124.37	231.32	295.11	285.03	253.23	412.0	287.01	514.56	368.65	540.19	361.04	525.39	289.02	587.13	463.65	1757.34	1059.11	2875.3	8538.88	1963.57	2451.44	2835.7	1044.52	2935.74	2090.03	2485.67	796.86	2193.99	2400.97	934.76	3146.52	2997.45	1540.37	1407.55	1781.89	450.94	2739.08	1378.57	3325.99	1051.79	612.11	2609.3	909.17	3190.46	1388.16	921.88	1427.22	1477.58	860.08	3060.45	1259.69	2485.67	1081.39	1617.0	1350.18	1350.18	1119.56	928.3	860.08	2193.99	2384.37	791.35	1191.69	2335.28	642.59	1498.22	1844.76	1167.14	525.39	2163.77	2915.45	1417.35	1322.37	1127.35	3146.52	2682.69	1769.57	2240.11	708.18	3467.27	1008.9	1487.87	2255.7	2400.97
KAT6A	91.41	81.14	46.18	79.45	80.01	40.64	24.63	20.86	42.71	41.52	59.97	75.64	98.73	78.34	75.11	88.88	61.25	89.51	71.5	139.07	55.89	57.89	981.29	423.61	1030.12	463.65	307.69	314.17	529.06	647.07	187.71	264.03	884.29	255.0	224.97	154.42	633.73	1617.0	373.81	647.07	264.03	255.0	791.35	269.6	185.11	226.54	629.35	819.3	708.18	295.11	447.82	339.14	728.11	423.61	674.59	329.84	381.68	215.77	281.09	309.83	273.37	376.41	358.54	540.19	194.36	1073.91	480.04	368.65	325.29	429.54	1030.12	384.34	728.11	256.78	198.47	738.29	616.37	325.29	412.0	147.06	567.1	376.41	237.86	934.76	273.37	480.04	1044.52	591.22	748.61	1225.22	389.72
KCTD10	157.68	253.23	215.77	205.5	218.79	283.05	156.59	94.01	99.43	201.25	204.07	114.36	148.09	111.21	140.04	117.6	140.04	138.1	108.9	152.28	236.21	88.88	1832.01	974.5	1417.35	1378.57	1561.89	884.29	1277.29	1369.04	688.78	954.43	2090.03	961.07	808.0	708.18	954.43	2555.58	1225.22	1159.07	988.12	1340.84	1551.09	878.17	954.43	1001.93	1151.06	2271.4	1639.59	1378.57	902.89	1331.57	1159.07	733.19	1378.57	872.1	1233.75	723.08	961.07	1437.15	921.88	1304.15	1135.2	819.3	693.58	1216.75	988.12	902.89	1191.69	1135.2	1540.37	1286.18	2319.15	860.08	1151.06	1183.45	1359.57	780.44	915.51	961.07	1167.14	1096.5	921.88	2303.12	1127.35	1066.48	2018.8	1051.79	1388.16	1233.75	1313.23
KIAA0247	167.9	180.02	182.55	127.89	177.53	175.07	117.6	111.21	83.45	167.9	176.29	105.15	182.55	133.36	171.45	152.28	124.37	133.36	120.1	190.34	163.28	121.79	2627.46	1151.06	3190.46	1111.82	928.3	738.29	2032.85	1001.93	647.07	836.53	1844.76	896.64	651.58	780.44	1037.29	4328.55	1127.35	1594.73	791.35	836.53	2739.08	808.0	878.17	836.53	1883.54	3847.29	2720.15	638.15	890.44	854.13	2319.15	769.69	3060.45	1350.18	1066.48	633.73	753.83	693.58	896.64	2119.22	1745.2	1519.15	555.41	4419.52	1286.18	896.64	1225.22	2209.26	2777.33	1313.23	1417.35	825.0	743.43	2018.8	2104.58	884.29	819.3	796.86	1216.75	961.07	791.35	2061.24	1183.45	1508.65	3928.15	1857.6	2148.82	2816.11	1259.69
KIAA0355	96.68	112.77	94.67	61.68	97.36	78.34	58.71	32.82	59.55	57.89	78.34	78.89	102.97	73.03	79.45	91.41	66.18	101.54	85.82	113.56	74.06	149.12	438.59	316.37	454.09	684.02	759.08	293.07	802.41	500.46	293.07	334.46	624.99	381.68	466.88	327.56	265.87	748.61	351.14	441.64	503.95	529.06	836.53	303.44	277.2	283.05	764.36	764.36	447.82	447.82	389.72	532.74	536.45	392.44	366.09	532.74	417.77	293.07	260.38	279.14	392.44	249.73	336.79	503.95	183.82	536.45	255.0	379.04	450.94	299.25	532.74	202.66	525.39	190.34	303.44	764.36	293.07	389.72	329.84	175.07	599.49	305.55	269.6	808.0	808.0	543.96	825.0	309.83	1051.79	239.52	373.81
KLF3	486.75	312.0	368.65	169.07	447.82	325.29	267.73	234.57	339.14	194.36	285.03	417.77	460.44	642.59	384.34	529.06	269.6	438.59	426.57	559.28	480.04	392.44	830.75	579.04	679.29	780.44	713.11	551.56	511.0	1250.98	536.45	563.18	1023.0	633.73	854.13	486.75	540.19	759.08	660.68	629.35	688.78	693.58	819.3	511.0	507.46	457.25	490.14	1151.06	753.83	684.02	1216.75	981.29	836.53	607.87	1216.75	728.11	954.43	395.18	486.75	529.06	780.44	775.05	470.14	796.86	603.67	775.05	679.29	684.02	595.34	583.07	486.75	457.25	723.08	514.56	629.35	1127.35	486.75	703.28	633.73	616.37	780.44	381.68	656.11	1008.9	624.99	988.12	1175.27	808.0	1340.84	733.19	575.03
KLF7	98.73	90.77	65.26	32.36	102.97	25.91	25.91	4.58	32.59	30.78	22.75	41.52	32.59	21.32	37.85	44.25	14.67	31.67	60.39	70.01	80.57	27.44	420.68	303.44	543.96	525.39	435.55	162.14	332.14	529.06	111.21	256.78	1037.29	320.8	212.78	217.27	486.75	703.28	147.06	264.03	260.38	559.28	1051.79	190.34	176.29	193.01	759.08	1059.11	728.11	376.41	307.69	334.46	928.3	599.49	540.19	215.77	529.06	205.5	239.52	283.05	303.44	395.18	260.38	775.05	201.25	1096.5	759.08	341.51	660.68	447.82	450.94	202.66	633.73	234.57	215.77	660.68	265.87	323.03	389.72	135.24	441.64	275.28	480.04	395.18	293.07	473.41	902.89	366.09	1066.48	941.27	236.21
LIMS1	205.5	363.56	371.22	164.42	309.83	318.57	119.26	162.14	161.02	221.86	194.36	176.29	299.25	201.25	201.25	241.19	82.87	236.21	199.85	332.14	122.64	146.03	2682.69	1143.1	2400.97	1051.79	1096.5	909.17	961.07	1001.93	813.63	785.88	4181.07	954.43	642.59	684.02	1936.53	3395.89	947.83	1127.35	1216.75	1088.92	1991.0	775.05	1023.0	759.08	967.76	6983.79	1477.58	1991.0	819.3	1111.82	1561.89	785.88	4769.75	967.76	1331.57	679.29	660.68	1111.82	1023.0	1407.55	1529.73	1066.48	775.05	2720.15	1313.23	785.88	1340.84	2119.22	1639.59	1794.29	2520.38	981.29	1051.79	1159.07	1378.57	878.17	1498.22	808.0	1268.46	878.17	738.29	3257.52	813.63	1135.2	3124.78	1304.15	2047.0	2104.58	1540.37
LMCD1	191.67	251.48	289.02	226.54	314.17	536.45	165.57	218.79	217.27	287.01	291.04	120.94	66.65	91.41	126.12	125.24	112.77	66.18	100.83	64.8	194.36	64.34	4358.66	1397.83	3081.75	3303.0	2895.31	1457.23	2997.45	1870.53	1651.0	1225.22	4419.52	1794.29	3540.14	1769.57	4671.57	10368.08	2468.49	2468.49	2855.44	2468.49	2148.82	3257.52	1096.5	1340.84	1111.82	5076.84	2682.69	3257.52	2193.99	3081.75	3395.89	5403.7	6037.61	2627.46	2956.17	1322.37	3467.27	2720.15	1685.71	2119.22	2502.97	1208.34	860.08	4639.29	1457.23	2664.15	1977.24	3742.05	4704.07	1883.54	4543.8	1674.06	1561.89	1359.57	2720.15	1369.04	1781.89	854.13	3955.48	2400.97	2835.7	3639.7	3257.52	3589.58	8479.89	2485.67	3395.89	8363.13	4481.23
MAP1LC3B	460.44	1225.22	1051.79	819.3	785.88	896.64	848.22	441.64	656.11	373.81	748.61	457.25	591.22	571.05	656.11	435.55	476.71	470.14	688.78	457.25	381.68	307.69	2075.59	1519.15	2976.74	1697.45	1359.57	1378.57	1572.76	1819.35	1378.57	1051.79	2075.59	1286.18	1350.18	1208.34	1857.6	2664.15	1233.75	1233.75	2627.46	1457.23	1417.35	1159.07	1233.75	1388.16	1508.65	2335.28	3768.09	1447.15	2047.0	1119.56	1561.89	2224.63	1617.0	1313.23	3235.01	1151.06	1378.57	1781.89	1350.18	1950.0	1242.34	2178.83	1135.2	1662.49	974.5	1313.23	1331.57	1721.16	1119.56	1721.16	2485.67	1427.22	1369.04	1721.16	2178.83	2004.85	1819.35	1529.73	1417.35	961.07	1540.37	1721.16	1508.65	1487.87	2485.67	1583.71	2287.2	3768.09	1529.73
MAP4K4	400.71	624.99	1096.5	466.88	651.58	693.58	343.89	239.52	587.13	620.67	536.45	249.73	343.89	363.56	339.14	373.81	299.25	320.8	327.56	450.94	307.69	403.5	1936.53	890.44	1081.39	521.76	620.67	603.67	884.29	1191.69	395.18	633.73	2956.17	579.04	353.59	218.79	1369.04	1936.53	429.54	866.07	748.61	769.69	2240.11	540.19	420.68	341.51	1340.84	1340.84	866.07	995.0	551.56	872.1	1225.22	1073.91	1540.37	981.29	575.03	356.05	397.93	780.44	426.57	1044.52	1127.35	941.27	514.56	1417.35	780.44	607.87	620.67	961.07	1487.87	941.27	1167.14	366.09	607.87	1709.26	599.49	348.71	1225.22	447.82	723.08	371.22	656.11	890.44	384.34	642.59	2502.97	775.05	988.12	1806.78	1208.34
MARCH5	450.94	470.14	444.72	242.88	409.15	514.56	343.89	295.11	295.11	392.44	463.65	368.65	503.95	435.55	366.09	457.25	417.77	493.56	457.25	559.28	212.78	320.8	1259.69	836.53	967.76	497.0	651.58	563.18	738.29	587.13	583.07	490.14	1407.55	633.73	543.96	343.89	961.07	1340.84	417.77	1119.56	579.04	543.96	1295.13	444.72	343.89	332.14	836.53	708.18	555.41	540.19	460.44	656.11	1183.45	607.87	1242.34	743.43	397.93	392.44	373.81	718.08	412.0	532.74	698.41	941.27	575.03	1044.52	543.96	463.65	551.56	603.67	896.64	753.83	1030.12	334.46	547.75	1378.57	638.15	397.93	890.44	417.77	733.19	368.65	312.0	896.64	356.05	909.17	1745.2	808.0	813.63	1233.75	521.76
MCMBP	341.51	361.04	373.81	269.6	267.73	466.88	269.6	356.05	262.2	346.29	332.14	253.23	309.83	332.14	343.89	305.55	191.67	314.17	316.37	341.51	195.72	157.68	1023.0	603.67	1674.06	836.53	769.69	1088.92	733.19	974.5	884.29	775.05	688.78	454.09	780.44	748.61	607.87	764.36	743.43	674.59	1015.93	599.49	674.59	791.35	854.13	612.11	423.61	733.19	1268.46	684.02	1104.13	656.11	490.14	656.11	866.07	651.58	651.58	665.29	802.41	791.35	921.88	587.13	571.05	836.53	441.64	878.17	1388.16	934.76	497.0	1540.37	669.92	674.59	1322.37	988.12	679.29	748.61	1008.9	423.61	684.02	902.89	595.34	791.35	591.22	1044.52	830.75	633.73	1551.09	947.83	638.15	1104.13	2209.26
MID1	40.36	76.17	46.18	34.51	217.27	50.27	35.76	55.49	28.86	19.82	74.06	19.97	50.63	39.5	35.76	49.56	20.11	27.05	44.89	53.57	40.36	16.39	1081.39	211.31	529.06	307.69	183.82	52.82	246.28	253.23	77.79	204.07	269.6	105.89	143.01	57.08	204.07	579.04	111.99	603.67	157.68	131.51	860.08	154.42	197.09	111.99	379.04	748.61	1508.65	297.17	130.6	244.57	312.0	318.57	111.99	237.86	112.77	98.04	67.12	262.2	115.97	470.14	368.65	189.02	318.57	555.41	368.65	136.19	231.32	579.04	660.68	476.71	323.03	64.8	102.97	563.18	961.07	49.56	176.29	158.79	287.01	173.85	108.14	353.59	100.83	124.37	503.95	483.38	329.84	638.15	178.77
NAA50	514.56	698.41	607.87	406.31	514.56	490.14	269.6	497.0	412.0	395.18	339.14	275.28	633.73	567.1	444.72	583.07	423.61	656.11	414.87	928.3	336.79	409.15	2047.0	1044.52	1769.57	1111.82	1313.23	1135.2	819.3	1096.5	500.46	703.28	1745.2	638.15	314.17	412.0	1923.14	1757.34	624.99	1066.48	1066.48	651.58	1561.89	684.02	872.1	503.95	866.07	1191.69	1199.98	836.53	1519.15	928.3	1304.15	575.03	1639.59	693.58	713.11	555.41	486.75	647.07	890.44	1225.22	1127.35	1286.18	409.15	1540.37	1477.58	1088.92	961.07	3257.52	915.51	1191.69	2224.63	1369.04	988.12	1662.49	738.29	497.0	1059.11	587.13	656.11	764.36	480.04	2384.37	713.11	947.83	4210.15	1331.57	1617.0	2032.85	4239.45
NCOA7	332.14	406.31	656.11	299.25	371.22	447.82	629.35	186.4	414.87	273.37	305.55	329.84	305.55	279.14	450.94	289.02	71.0	420.68	339.14	361.04	307.69	239.52	3928.15	2591.27	12244.81	5555.65	1096.5	1594.73	2451.44	2319.15	1066.48	2816.11	3372.43	860.08	808.0	848.22	1135.2	7130.55	713.11	2739.08	1159.07	1023.0	2400.97	1313.23	1167.14	1001.93	1259.69	1769.57	8718.32	1388.16	1870.53	1295.13	4937.99	1685.71	1175.27	493.56	2739.08	1104.13	463.65	753.83	2090.03	2591.27	2573.36	3467.27	1923.14	3742.05	5403.7	1135.2	1923.14	4358.66	3589.58	8538.88	4575.41	718.08	660.68	4010.71	4639.29	2537.92	1066.48	1896.65	718.08	1583.71	1104.13	4575.41	1313.23	941.27	1844.76	2835.7	2287.2	1651.0	2319.15
NUP98	669.92	571.05	660.68	356.05	507.46	559.28	435.55	497.0	409.15	503.95	529.06	329.84	629.35	379.04	525.39	426.57	500.46	466.88	409.15	583.07	525.39	435.55	1313.23	733.19	2417.67	995.0	902.89	941.27	1331.57	1143.1	902.89	728.11	2032.85	575.03	791.35	665.29	1277.29	1870.53	961.07	1073.91	866.07	802.41	1259.69	825.0	733.19	813.63	981.29	1388.16	2104.58	651.58	629.35	718.08	1378.57	718.08	1651.0	698.41	967.76	703.28	718.08	796.86	848.22	1001.93	1119.56	616.37	693.58	1508.65	1059.11	759.08	819.3	1529.73	1407.55	988.12	1540.37	1044.52	743.43	796.86	1331.57	988.12	836.53	723.08	872.1	1096.5	688.78	1628.26	981.29	830.75	2104.58	1059.11	884.29	2701.35	1709.26
OTUD4	205.5	97.36	124.37	85.22	170.25	125.24	94.67	73.54	66.18	62.56	106.63	148.09	208.38	166.73	129.69	199.85	102.97	193.01	172.65	262.2	129.69	229.72	1051.79	591.22	1030.12	389.72	543.96	403.5	351.14	595.34	269.6	444.72	1015.93	525.39	293.07	253.23	591.22	954.43	291.04	703.28	414.87	309.83	1104.13	307.69	269.6	285.03	486.75	866.07	708.18	463.65	406.31	633.73	775.05	432.53	967.76	603.67	376.41	299.25	212.78	299.25	366.09	460.44	555.41	684.02	356.05	1127.35	432.53	417.77	463.65	909.17	567.1	575.03	612.11	307.69	389.72	1304.15	454.09	262.2	457.25	271.48	575.03	309.83	316.37	780.44	381.68	599.49	1250.98	651.58	599.49	802.41	733.19
PATL1	379.04	400.71	373.81	191.67	336.79	397.93	181.28	231.32	249.73	336.79	204.07	376.41	409.15	314.17	307.69	395.18	291.04	336.79	339.14	507.46	265.87	397.93	791.35	559.28	1199.98	305.55	567.1	555.41	532.74	587.13	420.68	371.22	1127.35	473.41	297.17	190.34	470.14	1417.35	291.04	587.13	395.18	473.41	1037.29	356.05	323.03	220.32	525.39	947.83	656.11	318.57	447.82	521.76	1135.2	511.0	1081.39	454.09	291.04	318.57	297.17	426.57	356.05	587.13	466.88	480.04	368.65	1540.37	575.03	358.54	406.31	808.0	819.3	616.37	748.61	392.44	476.71	1001.93	688.78	232.94	389.72	420.68	480.04	231.32	323.03	954.43	346.29	591.22	1199.98	679.29	669.92	941.27	438.59
PAWR	493.56	297.17	379.04	480.04	599.49	392.44	341.51	246.28	555.41	460.44	221.86	368.65	348.71	518.15	426.57	483.38	194.36	457.25	521.76	305.55	473.41	483.38	1135.2	819.3	679.29	457.25	417.77	403.5	521.76	728.11	389.72	353.59	854.13	432.53	435.55	397.93	563.18	547.75	293.07	961.07	480.04	447.82	780.44	346.29	271.48	224.97	400.71	842.36	503.95	620.67	371.22	529.06	842.36	651.58	909.17	866.07	595.34	301.33	279.14	351.14	312.0	493.56	629.35	884.29	438.59	954.43	379.04	376.41	521.76	860.08	813.63	674.59	854.13	194.36	460.44	1183.45	426.57	332.14	356.05	220.32	974.5	379.04	587.13	866.07	368.65	1119.56	1437.15	603.67	518.15	633.73	466.88
PHF20	99.43	114.36	110.43	94.67	129.69	82.87	65.72	120.94	76.17	73.03	88.26	66.65	107.38	82.29	88.88	98.04	55.89	87.65	96.01	115.97	113.56	75.11	633.73	334.46	775.05	376.41	473.41	293.07	473.41	521.76	209.84	214.27	551.56	218.79	202.66	157.68	466.88	733.19	316.37	483.38	368.65	373.81	412.0	224.97	204.07	241.19	312.0	332.14	791.35	368.65	303.44	242.88	361.04	260.38	234.57	293.07	423.61	226.54	206.94	265.87	269.6	260.38	454.09	595.34	234.57	271.48	323.03	303.44	295.11	343.89	607.87	351.14	536.45	305.55	221.86	351.14	518.15	309.83	271.48	246.28	423.61	244.57	287.01	764.36	285.03	329.84	497.0	532.74	967.76	525.39	379.04
PNPLA8	309.83	291.04	202.66	206.94	182.55	275.28	148.09	211.31	171.45	154.42	251.48	224.97	351.14	258.57	237.86	264.03	76.71	277.2	295.11	283.05	195.72	158.79	961.07	397.93	1487.87	406.31	460.44	420.68	486.75	665.29	353.59	303.44	1159.07	287.01	320.8	366.09	642.59	1088.92	293.07	312.0	463.65	361.04	486.75	384.34	339.14	305.55	387.02	679.29	567.1	395.18	620.67	500.46	536.45	351.14	693.58	221.86	429.54	373.81	358.54	450.94	432.53	363.56	403.5	325.29	358.54	660.68	591.22	412.0	246.28	543.96	429.54	417.77	878.17	389.72	384.34	466.88	607.87	323.03	379.04	463.65	175.07	387.02	229.72	780.44	460.44	260.38	1378.57	435.55	511.0	1208.34	1066.48
