	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.GM.A3NW.01A.21R.A22K.07	TCGA.BH.A0E7.01A.11R.A034.07	TCGA.AC.A2FB.01A.11R.A17B.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.A8.A083.01A.21R.A00Z.07	TCGA.AR.A1AX.01A.11R.A12P.07	TCGA.AR.A0TP.01A.11R.A084.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A8.A0AB.01A.11R.A034.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.A2.A0YK.01A.22R.A109.07	TCGA.A2.A04Q.01A.21R.A034.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.B6.A3ZX.01A.11R.A239.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.EW.A1P7.01A.21R.A144.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.BH.A0W4.01A.11R.A109.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.AC.A2FO.01A.11R.A180.07	TCGA.AN.A0AR.01A.11R.A00Z.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.C8.A26V.01A.11R.A16F.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.BH.A0W5.01A.11R.A109.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.AQ.A04J.01A.02R.A034.07	TCGA.BH.A1FB.01A.11R.A13Q.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E9.A1N8.01A.11R.A144.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.BH.A1EY.01A.11R.A13Q.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.AO.A0J7.01A.11R.A034.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A2.A0EU.01A.22R.A056.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.117YW.0526.SM.5H11C
CD4	1806.78	202.66	444.72	775.05	356.05	224.97	1745.2	698.41	1322.37	441.64	231.32	1662.49	163.28	215.77	693.58	525.39	143.01	256.78	1388.16	791.35	129.69	624.99	490.14	909.17	1427.22	2119.22	214.27	175.07	320.8	277.2	432.53	842.36	202.66	1583.71	507.46	866.07	1572.76	1605.83	525.39	679.29	698.41	368.65	223.41	629.35	249.73	353.59	336.79	135.24	1594.73	872.1	656.11	532.74	180.02	3190.46	153.34	866.07	1936.53	387.02	1111.82	260.38	1259.69	356.05	961.07	214.27	941.27	101.54	379.04	1991.0	764.36	567.1	1437.15	785.88	435.55	595.34	262.2	688.78	244.57	665.29	131.51	1417.35	1143.1	988.12	1697.45	229.72	126.12	339.14	1350.18	1369.04	82.29	217.27	224.97	193.01	1044.52	269.6	223.41	126.12	909.17	1806.78	775.05	529.06	395.18	1250.98	764.36	532.74	866.07	543.96	571.05	314.17	595.34	791.35	802.41	698.41	1073.91	265.87	4450.27	1159.07	575.03	503.95	743.43	316.37	595.34	679.29	1286.18	305.55	237.86	476.71	486.75	273.37	258.57	896.64	329.84	791.35	1662.49	713.11	6935.54	8305.36
CD48	1617.0	64.34	244.57	384.34	255.0	56.28	2209.26	555.41	1191.69	368.65	90.14	1709.26	39.5	262.2	412.0	332.14	41.52	244.57	813.63	363.56	59.55	406.31	309.83	909.17	1977.24	1909.85	116.78	98.73	194.36	185.11	511.0	525.39	41.22	2855.44	244.57	909.17	1709.26	3716.2	153.34	167.9	463.65	269.6	127.89	175.07	96.68	231.32	379.04	85.22	1030.12	329.84	332.14	414.87	70.51	9344.14	63.45	1191.69	1208.34	136.19	928.3	110.43	825.0	287.01	1286.18	109.66	567.1	48.18	122.64	1313.23	332.14	460.44	2417.67	167.9	599.49	629.35	151.22	769.69	164.42	435.55	55.49	1407.55	1233.75	1369.04	559.28	72.52	69.52	305.55	660.68	457.25	32.82	123.5	108.9	82.29	1225.22	262.2	193.01	35.76	265.87	2591.27	224.97	194.36	125.24	748.61	395.18	291.04	221.86	299.25	507.46	194.36	371.22	289.02	775.05	242.88	941.27	323.03	769.69	563.18	483.38	251.48	967.76	249.73	395.18	241.19	463.65	540.19	201.25	221.86	2591.27	293.07	138.1	403.5	748.61	1721.16	708.18	373.81	4268.94	624.99
CD5	289.02	19.39	34.51	39.5	40.64	7.82	400.71	85.82	236.21	70.01	9.7	567.1	4.31	10.47	86.43	76.17	1.81	43.02	181.28	68.55	8.99	124.37	79.45	205.5	336.79	325.29	22.92	11.38	27.64	14.03	57.08	67.12	1.66	764.36	43.94	139.07	339.14	647.07	20.26	6.46	103.69	35.25	21.32	24.11	12.36	18.43	42.41	7.0	193.01	62.12	87.03	124.37	2.32	1073.91	5.06	299.25	149.12	13.03	141.02	9.85	83.45	34.02	260.38	22.75	104.42	3.32	26.67	190.34	74.58	58.3	493.56	13.83	112.77	64.8	6.26	80.57	4.74	87.03	6.41	279.14	279.14	161.02	26.67	11.73	7.0	57.49	167.9	68.07	2.58	4.13	14.78	11.91	260.38	42.71	26.86	4.98	32.13	466.88	28.86	19.97	25.35	62.12	23.76	46.18	31.45	32.36	86.43	18.29	26.28	42.11	86.43	37.05	98.04	47.17	208.38	197.09	67.12	24.46	32.82	12.27	86.43	73.54	189.02	42.41	46.84	19.97	51.35	11.73	8.45	85.22	10.31	55.89	217.27	70.51	187.71	299.25
CD6	208.38	20.56	70.01	54.33	68.55	7.94	403.5	163.28	264.03	108.14	16.03	500.46	37.05	14.78	72.52	114.36	31.45	32.36	202.66	87.65	21.63	204.07	125.24	334.46	389.72	486.75	54.72	17.0	32.59	22.59	77.25	75.64	5.19	1051.79	49.21	154.42	392.44	1008.9	32.82	10.16	197.09	55.1	23.08	50.27	115.97	50.27	71.0	21.78	224.97	68.55	103.69	180.02	16.15	1143.1	8.25	295.11	256.78	11.91	151.22	15.56	111.99	56.68	318.57	96.01	129.69	8.92	27.25	241.19	105.89	48.52	473.41	115.97	229.72	108.14	10.47	122.64	6.46	76.17	14.14	334.46	201.25	226.54	36.53	28.65	12.83	79.45	140.04	80.01	4.58	15.11	22.92	24.46	318.57	62.56	26.28	16.03	49.56	571.05	37.05	28.86	31.9	88.26	33.06	45.53	46.5	48.18	100.13	37.85	18.7	67.59	102.25	65.72	114.36	111.99	182.55	236.21	155.5	60.39	88.26	28.24	111.21	85.22	190.34	65.72	59.55	33.78	65.72	70.51	34.51	70.01	29.06	113.56	249.73	73.03	295.11	417.77
CIITA	497.0	111.21	98.73	119.26	75.11	47.84	460.44	223.41	320.8	224.97	38.12	620.67	21.78	45.53	131.51	363.56	21.78	66.65	361.04	441.64	42.11	262.2	98.04	339.14	620.67	775.05	167.9	41.52	96.01	87.65	172.65	159.9	138.1	921.88	206.94	285.03	368.65	872.1	170.25	107.38	493.56	120.1	32.82	221.86	36.79	28.86	111.21	53.19	426.57	126.12	279.14	218.79	40.64	1594.73	20.41	327.56	403.5	114.36	414.87	94.01	218.79	105.15	224.97	39.79	435.55	35.5	169.07	214.27	417.77	164.42	547.75	120.94	124.37	102.25	88.26	157.68	36.27	106.63	37.85	351.14	660.68	320.8	353.59	53.95	90.14	81.14	251.48	161.02	35.5	22.1	21.78	39.22	202.66	94.67	40.07	25.17	178.77	1135.2	94.67	208.38	143.01	341.51	155.5	289.02	89.51	242.88	193.01	129.69	146.03	214.27	162.14	148.09	232.94	199.85	420.68	493.56	144.01	100.83	211.31	40.36	327.56	305.55	253.23	518.15	76.17	58.71	48.87	77.25	68.55	295.11	96.68	450.94	463.65	400.71	376.41	2537.92
CRTAM	76.17	3.72	7.57	19.25	7.69	3.63	120.1	11.73	50.98	15.45	9.34	79.45	1.39	7.17	36.53	20.71	4.06	9.78	38.95	25.72	2.73	23.93	10.79	63.89	102.25	67.59	8.0	4.31	6.31	9.85	11.64	26.1	3.66	92.7	6.41	31.67	52.45	82.87	8.65	9.27	33.06	13.42	4.94	26.28	2.73	11.82	8.32	3.06	46.5	14.35	16.39	19.53	5.87	281.09	2.18	40.07	27.25	11.55	53.95	5.96	21.78	16.88	55.49	3.56	38.67	1.89	7.88	59.13	12.45	15.8	48.52	12.18	18.03	22.1	5.02	31.22	4.21	20.41	6.46	55.1	43.02	63.0	18.56	3.2	8.85	20.56	23.25	11.04	1.64	2.73	3.63	3.79	38.67	16.27	3.89	0.0	19.97	126.12	12.64	3.99	5.41	39.22	7.28	9.93	11.55	7.69	26.1	5.32	13.22	15.68	12.27	6.67	33.54	4.62	66.65	3.35	22.59	8.51	8.38	4.13	23.25	12.93	10.08	22.43	19.68	8.78	36.01	0.0	13.42	15.8	28.04	19.11	45.53	15.45	208.38	105.89
CSF2RB	244.57	33.06	35.0	69.52	55.49	33.78	511.0	119.26	214.27	148.09	13.52	381.68	19.11	34.75	71.5	115.16	34.26	101.54	161.02	65.26	24.46	80.57	53.19	197.09	381.68	285.03	85.82	26.86	35.5	52.08	127.0	102.97	12.27	348.71	64.8	226.54	241.19	518.15	30.34	45.53	249.73	52.45	38.12	57.49	175.07	25.35	94.01	57.49	236.21	111.21	87.03	124.37	26.28	759.08	8.92	264.03	244.57	35.0	167.9	59.13	90.14	46.5	223.41	17.25	172.65	14.89	23.76	153.34	85.22	113.56	341.51	144.01	113.56	69.03	33.54	135.24	45.53	76.71	13.42	260.38	312.0	220.32	728.11	18.03	20.26	87.65	121.79	78.89	12.27	26.86	18.43	22.1	171.45	29.06	62.56	14.67	96.68	559.28	76.71	98.73	64.8	220.32	102.25	129.69	54.33	101.54	70.51	52.08	158.79	81.14	157.68	31.9	127.0	94.67	201.25	217.27	54.72	77.25	256.78	26.47	133.36	199.85	102.97	103.69	54.33	38.67	49.56	73.03	67.59	232.94	92.05	102.25	366.09	96.01	336.79	928.3
CXCR3	144.01	16.27	63.0	38.4	60.39	4.43	460.44	65.26	195.72	89.51	6.62	361.04	2.68	20.11	68.55	95.34	1.66	12.18	176.29	55.49	3.23	158.79	126.12	221.86	403.5	417.77	59.55	10.39	16.75	18.16	59.97	62.56	3.86	599.49	41.52	94.67	255.0	500.46	29.7	3.06	135.24	45.21	7.82	21.94	12.18	25.54	54.33	17.77	167.9	62.12	53.19	111.21	0.92	947.83	2.63	135.24	152.28	13.72	181.28	18.43	92.05	18.56	128.79	25.17	111.99	5.77	27.05	147.06	40.64	53.57	392.44	18.84	88.26	75.64	10.96	119.26	13.93	53.57	5.73	107.38	166.73	297.17	53.19	12.55	14.45	39.22	161.02	58.3	4.21	2.07	15.0	7.0	155.5	38.4	25.91	2.51	36.53	277.2	18.43	21.32	15.45	55.1	31.0	26.67	11.73	23.08	59.55	29.91	17.0	33.78	47.17	7.06	167.9	17.38	63.45	15.34	32.82	36.27	32.13	35.0	86.43	9.2	12.18	61.68	7.17	9.56	264.03	3.66	4.7	6.62	69.52	149.12	205.5	24.28	115.97	115.97
CYTH4	341.51	99.43	137.14	143.01	81.71	85.82	343.89	205.5	426.57	242.88	59.55	420.68	67.12	78.34	165.57	172.65	53.19	57.49	237.86	126.12	40.64	134.3	138.1	256.78	361.04	376.41	115.16	48.18	82.29	85.22	158.79	215.77	67.59	629.35	57.08	239.52	323.03	647.07	142.01	251.48	291.04	87.65	44.25	159.9	63.89	81.71	152.28	64.34	397.93	189.02	144.01	140.04	45.85	1088.92	60.39	275.28	547.75	113.56	229.72	65.72	277.2	94.67	287.01	61.68	273.37	28.45	102.97	624.99	198.47	137.14	423.61	123.5	152.28	119.26	84.04	232.94	31.0	100.13	37.59	262.2	309.83	291.04	540.19	62.12	57.08	96.01	209.84	303.44	22.26	45.21	72.01	44.57	241.19	53.57	53.19	71.0	155.5	559.28	111.99	153.34	80.57	301.33	145.02	205.5	91.41	158.79	133.36	93.35	115.97	215.77	325.29	47.17	334.46	181.28	656.11	234.57	189.02	166.73	201.25	187.71	150.17	167.9	234.57	244.57	114.36	265.87	177.53	218.79	88.88	105.89	125.24	305.55	301.33	256.78	503.95	571.05
DOCK2	567.1	43.02	104.42	158.79	90.14	69.03	555.41	215.77	420.68	187.71	42.41	587.13	41.22	62.12	172.65	171.45	40.07	74.58	363.56	397.93	54.72	206.94	142.01	325.29	525.39	493.56	84.04	45.53	80.57	88.88	134.3	269.6	76.71	733.19	134.3	285.03	435.55	808.0	140.04	191.67	255.0	135.24	70.51	209.84	56.28	108.14	107.38	45.21	454.09	253.23	223.41	221.86	72.01	1594.73	35.76	332.14	392.44	105.89	343.89	75.11	379.04	130.6	363.56	63.45	277.2	22.1	85.82	532.74	173.85	161.02	612.11	138.1	155.5	201.25	63.89	212.78	37.32	185.11	33.3	379.04	406.31	287.01	423.61	40.36	20.71	127.89	312.0	314.17	33.06	59.55	76.17	57.08	309.83	71.5	59.97	47.84	159.9	928.3	143.01	131.51	64.34	301.33	147.06	139.07	103.69	193.01	144.01	82.29	154.42	190.34	242.88	156.59	279.14	128.79	409.15	224.97	244.57	148.09	73.54	114.36	293.07	78.89	265.87	141.02	88.26	118.43	105.15	82.29	59.13	155.5	128.79	624.99	301.33	197.09	713.11	1066.48
EOMES	114.36	4.13	6.62	11.64	9.7	1.3	155.5	20.86	76.71	29.27	3.53	146.03	1.11	4.74	38.95	37.32	7.57	9.34	76.71	30.56	3.44	30.56	21.94	108.9	193.01	81.14	5.73	3.2	7.94	6.06	10.31	35.76	21.63	256.78	5.96	40.93	74.06	148.09	5.28	1.97	53.95	16.27	1.64	6.67	4.35	5.63	9.13	2.14	82.29	15.56	20.11	37.59	1.33	460.44	0.88	53.19	37.05	3.06	60.82	6.78	34.51	18.43	65.72	3.66	34.02	6.11	6.57	63.89	9.2	18.03	142.01	2.71	12.0	12.0	6.84	22.1	6.89	20.86	3.06	45.21	65.26	62.56	35.76	8.13	3.2	14.03	36.53	14.45	0.33	0.67	3.76	2.94	82.87	8.71	13.03	0.42	14.24	197.09	2.53	11.04	5.87	26.28	10.71	10.16	15.34	4.21	27.44	2.78	14.78	13.32	8.25	18.03	46.5	23.42	59.55	22.26	52.08	31.0	5.02	1.89	66.65	5.5	48.18	9.27	43.02	8.99	23.25	14.03	17.38	12.09	8.32	22.92	79.45	33.3	36.79	100.83
FAM78A	183.82	35.0	54.72	64.8	44.57	27.25	206.94	115.16	173.85	76.71	33.06	217.27	15.0	20.41	50.63	105.15	26.28	24.63	119.26	66.65	20.56	69.52	67.59	159.9	265.87	205.5	46.18	24.99	40.93	38.67	67.12	91.41	39.5	441.64	45.21	139.07	167.9	271.48	61.25	108.9	115.16	43.94	22.26	73.54	26.67	28.45	64.8	31.9	165.57	97.36	105.15	66.65	25.17	579.04	19.82	128.79	176.29	67.12	125.24	33.54	90.77	44.89	118.43	34.75	120.94	13.03	38.12	199.85	63.0	60.39	271.48	34.51	84.63	59.13	35.0	116.78	13.12	63.89	16.88	126.12	136.19	135.24	131.51	16.88	26.47	90.77	139.07	82.87	9.34	14.78	20.86	22.1	137.14	24.28	27.05	17.13	56.28	341.51	27.84	50.27	28.86	115.97	49.56	48.52	41.52	53.95	78.34	32.82	29.27	76.71	46.84	47.5	104.42	24.63	108.14	63.0	62.12	59.55	12.64	26.67	125.24	29.7	142.01	80.57	17.51	10.71	56.28	21.63	30.12	24.11	47.17	155.5	62.56	94.01	193.01	234.57
FCRL5	85.22	4.35	10.63	8.25	5.45	0.73	40.93	37.05	35.5	46.18	0.39	138.1	0.0	4.62	28.04	13.93	2.61	14.45	18.7	18.43	2.66	21.94	66.18	34.51	161.02	316.37	41.22	6.62	4.24	12.83	5.63	18.16	0.4	679.29	6.26	38.4	22.1	435.55	31.67	0.41	40.07	9.27	14.03	10.16	28.86	1.46	39.79	0.8	85.22	3.2	3.82	59.55	2.07	753.83	0.0	149.12	150.17	1.81	67.59	9.2	45.21	8.13	85.82	6.57	109.66	1.41	6.57	105.15	10.63	65.26	309.83	1.81	43.02	37.32	9.93	20.26	11.3	14.56	15.22	143.01	87.65	157.68	13.62	1.45	1.07	6.84	5.45	12.09	0.37	1.06	7.11	1.43	63.89	0.41	8.32	3.59	32.13	642.59	18.43	18.16	20.41	82.29	32.36	19.39	32.82	30.78	22.59	8.32	94.01	63.45	163.28	15.45	70.01	8.13	3.03	129.69	75.11	133.36	5.06	18.43	101.54	2.03	23.76	85.82	15.0	17.25	130.6	11.47	7.28	13.62	10.0	80.01	43.32	16.88	111.99	57.08
FMNL1	703.28	244.57	361.04	299.25	208.38	115.97	915.51	547.75	753.83	423.61	177.53	981.29	85.82	126.12	269.6	529.06	204.07	127.89	748.61	224.97	182.55	525.39	397.93	836.53	954.43	941.27	241.19	271.48	202.66	242.88	312.0	457.25	217.27	1561.89	309.83	480.04	1051.79	1457.23	248.0	426.57	559.28	318.57	211.31	343.89	229.72	202.66	269.6	111.21	896.64	412.0	429.54	620.67	56.28	3060.45	81.71	796.86	780.44	234.57	503.95	224.97	567.1	277.2	518.15	194.36	547.75	186.4	217.27	928.3	470.14	293.07	1066.48	417.77	571.05	429.54	187.71	400.71	120.1	260.38	58.71	571.05	647.07	684.02	642.59	145.02	185.11	406.31	514.56	575.03	151.22	197.09	234.57	152.28	483.38	189.02	147.06	127.0	406.31	1277.29	366.09	303.44	232.94	473.41	334.46	351.14	251.48	497.0	291.04	212.78	265.87	339.14	403.5	291.04	432.53	332.14	665.29	1096.5	796.86	341.51	228.13	208.38	460.44	450.94	981.29	591.22	182.55	463.65	229.72	228.13	164.42	215.77	166.73	595.34	486.75	395.18	1175.27	2555.58
FYB	616.37	11.73	17.64	148.09	49.91	51.71	595.34	165.57	429.54	138.1	40.93	791.35	19.53	57.89	295.11	112.77	82.87	80.57	603.67	217.27	43.94	126.12	47.5	223.41	567.1	444.72	28.65	47.5	28.65	26.1	50.98	234.57	34.26	567.1	135.24	229.72	403.5	518.15	92.05	224.97	223.41	81.71	47.84	163.28	211.31	59.13	56.68	37.85	543.96	214.27	153.34	139.07	132.44	1467.37	10.79	128.79	180.02	77.25	334.46	35.0	271.48	185.11	281.09	13.12	447.82	22.43	72.52	229.72	262.2	119.26	620.67	176.29	74.58	102.97	33.78	95.34	48.52	183.82	42.71	373.81	497.0	239.52	441.64	68.07	17.13	74.58	312.0	132.44	58.3	49.56	36.53	21.94	336.79	56.28	47.17	30.78	176.29	759.08	66.65	143.01	53.95	226.54	111.21	163.28	81.14	144.01	153.34	73.03	181.28	138.1	237.86	171.45	381.68	92.05	368.65	353.59	139.07	80.01	103.69	38.12	348.71	69.52	289.02	104.42	94.67	82.87	66.65	169.07	48.18	180.02	88.88	253.23	339.14	376.41	208.38	204.07
GBP5	466.88	17.77	68.55	92.7	47.17	24.99	872.1	119.26	503.95	111.99	33.06	830.75	13.12	60.39	395.18	102.25	38.4	72.01	2104.58	532.74	7.4	255.0	120.1	346.29	543.96	1529.73	44.25	30.12	21.01	22.75	105.15	98.04	10.71	536.45	150.17	117.6	432.53	764.36	60.39	31.0	193.01	158.79	21.63	81.14	68.55	191.67	65.72	40.36	450.94	187.71	186.4	251.48	12.27	1340.84	13.32	185.11	124.37	52.82	454.09	26.67	305.55	70.51	299.25	70.01	674.59	15.34	147.06	379.04	802.41	41.52	441.64	191.67	208.38	400.71	12.09	400.71	21.47	71.5	57.89	189.02	543.96	1369.04	86.43	75.64	25.54	61.25	373.81	94.67	146.03	10.0	38.4	24.99	237.86	107.38	63.0	9.34	47.5	612.11	29.06	25.91	17.9	82.29	39.22	109.66	37.32	60.39	62.56	32.13	64.8	45.21	48.18	67.12	154.42	183.82	267.73	190.34	82.87	116.78	18.56	13.93	195.72	42.11	148.09	43.02	34.26	12.83	15.91	33.3	18.43	144.01	38.4	27.05	423.61	147.06	2609.3	1551.09
GZMA	642.59	46.18	113.56	113.56	118.43	20.86	1259.69	121.79	547.75	190.34	76.71	723.08	8.51	105.89	291.04	194.36	8.71	99.43	351.14	307.69	19.25	256.78	186.4	420.68	1037.29	1467.37	81.14	35.5	68.55	72.52	186.4	256.78	22.92	961.07	52.08	329.84	536.45	1111.82	55.89	19.68	312.0	93.35	35.0	105.15	51.35	221.86	112.77	46.84	579.04	170.25	120.1	297.17	12.45	3018.3	19.97	389.72	275.28	24.99	620.67	62.12	262.2	82.87	753.83	45.21	281.09	11.55	105.89	872.1	101.54	244.57	473.41	55.1	164.42	260.38	62.56	368.65	47.5	217.27	71.0	432.53	318.57	1191.69	3794.3	34.02	47.5	132.44	346.29	94.01	11.04	18.97	57.89	47.84	575.03	157.68	100.83	13.52	104.42	775.05	64.8	209.84	33.06	291.04	154.42	129.69	119.26	98.04	177.53	60.39	177.53	120.94	244.57	38.4	713.11	237.86	1277.29	229.72	277.2	110.43	209.84	86.43	387.02	120.1	260.38	242.88	124.37	13.42	1111.82	76.17	26.67	100.83	186.4	299.25	1001.93	332.14	638.15	532.74
GZMK	567.1	12.27	97.36	105.89	123.5	9.63	1104.13	113.56	395.18	111.21	20.71	830.75	4.31	55.49	212.78	127.89	1.46	79.45	187.71	112.77	8.38	206.94	170.25	551.56	1051.79	473.41	50.63	15.34	53.95	34.02	96.68	229.72	1.01	1143.1	52.45	332.14	511.0	1167.14	56.68	6.46	242.88	82.87	32.82	27.05	16.63	30.78	76.71	14.14	457.25	87.65	89.51	234.57	8.32	4639.29	9.48	470.14	253.23	17.51	387.02	25.35	194.36	67.12	669.92	24.28	152.28	2.97	8.45	587.13	53.57	116.78	872.1	14.14	139.07	167.9	18.29	215.77	37.59	248.0	22.59	389.72	332.14	486.75	341.51	15.91	7.94	221.86	221.86	91.41	0.0	10.24	57.89	35.5	476.71	75.64	90.14	5.73	32.36	780.44	15.11	57.49	14.78	158.79	34.75	50.27	85.22	17.9	137.14	17.64	125.24	54.72	107.38	42.11	476.71	106.63	277.2	44.25	127.0	82.29	236.21	16.51	872.1	43.63	82.87	36.79	201.25	32.59	748.61	1.1	6.62	49.56	256.78	242.88	878.17	239.52	769.69	351.14
IKZF1	392.44	24.99	36.27	81.14	61.25	22.26	466.88	114.36	236.21	92.05	15.0	454.09	11.64	37.85	105.15	138.1	43.94	46.18	255.0	103.69	22.59	82.87	58.3	218.79	490.14	366.09	38.95	24.63	31.67	47.84	85.22	144.01	44.57	612.11	59.55	181.28	397.93	536.45	47.5	115.16	170.25	56.68	26.67	93.35	50.98	63.45	70.01	23.93	285.03	85.22	91.41	161.02	22.92	1883.54	11.13	173.85	206.94	37.05	171.45	31.0	170.25	61.68	260.38	24.63	142.01	9.63	32.36	212.78	105.89	106.63	551.56	49.56	96.01	82.29	28.65	92.7	50.27	151.22	13.32	412.0	371.22	221.86	206.94	18.29	13.83	75.64	178.77	147.06	33.78	24.81	24.11	14.56	256.78	63.0	37.59	53.57	106.63	808.0	80.01	93.35	44.89	164.42	120.94	88.88	68.07	100.83	115.16	47.84	125.24	106.63	156.59	76.71	242.88	29.91	181.28	237.86	108.9	242.88	36.53	144.01	307.69	42.41	171.45	77.25	84.63	50.27	58.3	96.01	77.79	52.45	64.8	400.71	198.47	135.24	392.44	332.14
