	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.CJ.4644.01A.02R.1325.07	TCGA.DV.5569.01A.01R.1541.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.BP.5177.01A.01R.1426.07	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.CJ.4874.01A.01R.1305.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.BP.4762.01A.02R.1289.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4341.01A.01R.1289.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.BP.4355.01A.01R.1289.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4335.01A.01R.1289.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.BP.4807.01A.01R.1305.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.B0.5096.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.B8.5549.01A.01R.1541.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.BP.5196.01A.01R.1426.07	GTEX.ZQG8.2126.SM.4YCF1
SEC31B	28.04	120.94	19.68	47.84	9.56	20.71	35.25	6.36	50.98	41.81	23.59	156.59	599.49	17.64	39.22	10.71	123.5	11.47	73.54	218.79	16.75	48.87	8.19	12.45	13.03	23.76	8.32	39.79	94.01	21.32	50.27	161.02	241.19	176.29	49.56	153.34	129.69	21.47	101.54	279.14	206.94	7.22	176.29	85.22	8.25	5.96	212.78	28.45	17.0	92.7	173.85	287.01	128.79	89.51	36.79	4.31	26.67	13.72	147.06	17.64	140.04	361.04	432.53	30.56	102.97	137.14	27.64	18.43	177.53	12.74	155.5	34.26	202.66	9.41	15.22	156.59	50.27	159.9	397.93	18.56	81.14	26.47	72.01	1.19
SELO	403.5	543.96	194.36	353.59	191.67	234.57	301.33	289.02	379.04	406.31	248.0	529.06	915.51	301.33	406.31	228.13	500.46	208.38	389.72	796.86	279.14	267.73	392.44	312.0	100.83	412.0	316.37	412.0	329.84	361.04	684.02	500.46	656.11	591.22	346.29	500.46	599.49	297.17	420.68	493.56	591.22	363.56	473.41	591.22	215.77	201.25	490.14	244.57	228.13	409.15	532.74	450.94	395.18	684.02	293.07	170.25	228.13	318.57	483.38	175.07	536.45	775.05	633.73	305.55	406.31	497.0	140.04	146.03	454.09	283.05	703.28	447.82	529.06	260.38	283.05	432.53	275.28	529.06	532.74	218.79	486.75	376.41	320.8	202.66
SFI1	255.0	500.46	145.02	163.28	105.89	141.02	221.86	97.36	283.05	221.86	186.4	387.02	2075.59	163.28	217.27	108.14	500.46	101.54	346.29	713.11	120.1	141.02	110.43	102.97	40.93	194.36	122.64	202.66	327.56	135.24	363.56	414.87	665.29	486.75	217.27	507.46	473.41	123.5	291.04	703.28	518.15	142.01	457.25	514.56	99.43	127.89	540.19	105.15	102.97	283.05	417.77	915.51	423.61	432.53	157.68	141.02	169.07	153.34	571.05	100.13	435.55	1167.14	785.88	177.53	348.71	490.14	136.19	96.68	441.64	114.36	656.11	220.32	525.39	103.69	158.79	688.78	165.57	412.0	896.64	95.34	435.55	248.0	262.2	19.53
SFSWAP	336.79	629.35	332.14	420.68	157.68	414.87	403.5	346.29	493.56	529.06	368.65	684.02	1313.23	358.54	381.68	285.03	679.29	205.5	420.68	802.41	429.54	215.77	275.28	256.78	166.73	409.15	253.23	275.28	503.95	429.54	457.25	579.04	842.36	591.22	486.75	595.34	698.41	363.56	579.04	872.1	723.08	277.2	934.76	551.56	346.29	258.57	1233.75	376.41	241.19	525.39	796.86	780.44	607.87	713.11	447.82	256.78	366.09	356.05	521.76	432.53	642.59	1119.56	842.36	395.18	616.37	521.76	339.14	215.77	669.92	255.0	748.61	444.72	842.36	258.57	389.72	688.78	395.18	595.34	1225.22	260.38	599.49	466.88	674.59	162.14
SH2B1	444.72	796.86	379.04	563.18	381.68	441.64	708.18	417.77	713.11	748.61	438.59	848.22	1594.73	497.0	579.04	323.03	688.78	379.04	583.07	1216.75	358.54	348.71	426.57	175.07	191.67	490.14	543.96	483.38	698.41	555.41	713.11	769.69	1008.9	896.64	575.03	909.17	981.29	529.06	785.88	909.17	1081.39	532.74	1191.69	928.3	339.14	363.56	775.05	373.81	336.79	708.18	921.88	1286.18	842.36	791.35	423.61	447.82	470.14	503.95	928.3	316.37	902.89	1250.98	1277.29	688.78	748.61	633.73	273.37	356.05	1066.48	363.56	1304.15	514.56	1350.18	395.18	567.1	1015.93	669.92	753.83	684.02	490.14	1073.91	642.59	872.1	176.29
SIRT6	802.41	529.06	255.0	373.81	281.09	303.44	406.31	232.94	371.22	412.0	363.56	435.55	718.08	368.65	417.77	237.86	642.59	303.44	551.56	698.41	271.48	336.79	293.07	232.94	236.21	363.56	395.18	314.17	412.0	409.15	595.34	529.06	503.95	591.22	379.04	470.14	473.41	376.41	483.38	470.14	525.39	406.31	525.39	497.0	353.59	214.27	480.04	371.22	279.14	476.71	490.14	595.34	426.57	563.18	460.44	172.65	460.44	387.02	490.14	279.14	733.19	647.07	559.28	417.77	412.0	447.82	260.38	260.38	551.56	318.57	599.49	432.53	551.56	239.52	301.33	563.18	305.55	567.1	507.46	262.2	403.5	361.04	454.09	253.23
SPSB3	1721.16	1119.56	493.56	981.29	480.04	493.56	854.13	796.86	703.28	866.07	759.08	1119.56	1697.45	954.43	703.28	587.13	1066.48	785.88	848.22	1572.76	748.61	909.17	450.94	669.92	423.61	571.05	1313.23	748.61	825.0	563.18	1199.98	1159.07	1322.37	1540.37	1159.07	1111.82	1437.15	878.17	995.0	1233.75	1313.23	896.64	1286.18	1340.84	665.29	819.3	1447.15	563.18	665.29	1242.34	1111.82	1225.22	1044.52	1388.16	713.11	291.04	612.11	791.35	995.0	808.0	1498.22	1350.18	1639.59	1175.27	896.64	1030.12	341.51	309.83	1199.98	738.29	1487.87	1059.11	1540.37	624.99	1008.9	915.51	1350.18	954.43	1529.73	629.35	1015.93	909.17	1096.5	429.54
SUV420H2	221.86	130.6	40.93	106.63	39.5	89.51	87.65	50.27	84.63	80.57	60.82	127.89	463.65	82.87	90.14	40.36	316.37	47.84	155.5	271.48	54.33	60.82	45.21	53.95	43.94	100.83	67.12	69.03	119.26	90.14	115.97	186.4	208.38	256.78	92.7	171.45	134.3	73.54	134.3	191.67	239.52	66.18	246.28	241.19	65.26	22.59	256.78	112.77	78.89	118.43	164.42	239.52	131.51	220.32	92.7	30.12	84.04	70.01	181.28	75.64	191.67	334.46	307.69	98.04	118.43	127.89	67.12	51.35	185.11	38.12	214.27	137.14	236.21	46.84	62.56	244.57	66.65	149.12	314.17	74.06	241.19	88.26	127.0	22.26
TAF1C	237.86	651.58	392.44	395.18	205.5	307.69	389.72	262.2	387.02	395.18	255.0	748.61	3039.3	289.02	293.07	198.47	813.63	260.38	567.1	1001.93	339.14	334.46	279.14	281.09	102.25	454.09	226.54	307.69	567.1	303.44	583.07	753.83	1397.83	1208.34	457.25	674.59	1199.98	353.59	368.65	860.08	780.44	289.02	884.29	703.28	295.11	159.9	1104.13	403.5	237.86	587.13	934.76	1001.93	796.86	647.07	329.84	175.07	358.54	429.54	470.14	265.87	825.0	1745.2	1242.34	420.68	521.76	1001.93	291.04	241.19	1051.79	295.11	647.07	325.29	915.51	295.11	339.14	941.27	341.51	915.51	1175.27	251.48	457.25	480.04	514.56	96.68
TAZ	414.87	551.56	343.89	366.09	325.29	303.44	368.65	327.56	620.67	441.64	336.79	651.58	1733.13	463.65	392.44	346.29	723.08	239.52	813.63	1259.69	229.72	412.0	244.57	224.97	363.56	679.29	339.14	376.41	441.64	366.09	543.96	660.68	884.29	842.36	647.07	791.35	684.02	343.89	587.13	1096.5	836.53	376.41	1183.45	785.88	353.59	332.14	567.1	595.34	251.48	656.11	902.89	915.51	540.19	543.96	332.14	211.31	376.41	303.44	629.35	336.79	688.78	1159.07	1286.18	470.14	493.56	571.05	432.53	190.34	995.0	277.2	1001.93	429.54	836.53	271.48	242.88	769.69	483.38	802.41	988.12	329.84	1044.52	368.65	503.95	104.42
TBC1D17	543.96	1023.0	698.41	1037.29	466.88	532.74	860.08	748.61	808.0	896.64	802.41	974.5	1119.56	718.08	1066.48	603.67	1066.48	703.28	967.76	1304.15	825.0	748.61	638.15	343.89	258.57	507.46	808.0	808.0	947.83	693.58	1233.75	902.89	1250.98	1119.56	1127.35	1216.75	934.76	860.08	954.43	1044.52	1286.18	909.17	1794.29	836.53	688.78	830.75	1015.93	366.09	532.74	954.43	1286.18	1059.11	866.07	928.3	563.18	587.13	693.58	854.13	825.0	830.75	1191.69	1447.15	1286.18	866.07	1135.2	915.51	540.19	684.02	1208.34	629.35	1051.79	669.92	1819.35	638.15	878.17	1295.13	1167.14	954.43	961.07	825.0	1617.0	915.51	1104.13	417.77
TELO2	571.05	693.58	229.72	351.14	248.0	283.05	414.87	327.56	387.02	444.72	273.37	563.18	1331.57	293.07	363.56	229.72	624.99	256.78	571.05	1216.75	242.88	248.0	316.37	253.23	177.53	420.68	356.05	267.73	470.14	435.55	563.18	595.34	620.67	941.27	406.31	616.37	743.43	307.69	454.09	764.36	674.59	283.05	753.83	753.83	260.38	175.07	642.59	423.61	232.94	595.34	708.18	1143.1	500.46	563.18	414.87	187.71	387.02	299.25	480.04	201.25	591.22	819.3	1081.39	432.53	346.29	583.07	293.07	265.87	1001.93	267.73	769.69	473.41	995.0	241.19	269.6	909.17	291.04	703.28	723.08	267.73	603.67	346.29	563.18	221.86
TESK1	176.29	718.08	536.45	633.73	351.14	599.49	447.82	420.68	511.0	848.22	540.19	780.44	1167.14	536.45	728.11	361.04	1216.75	356.05	656.11	1183.45	392.44	406.31	665.29	392.44	253.23	599.49	764.36	660.68	651.58	540.19	713.11	1073.91	1059.11	753.83	775.05	808.0	819.3	595.34	836.53	848.22	860.08	507.46	854.13	624.99	563.18	435.55	612.11	660.68	432.53	759.08	1111.82	974.5	660.68	947.83	836.53	409.15	595.34	813.63	607.87	406.31	995.0	688.78	981.29	698.41	497.0	620.67	470.14	271.48	830.75	426.57	796.86	728.11	872.1	314.17	599.49	1015.93	587.13	819.3	595.34	346.29	591.22	620.67	693.58	140.04
THAP3	339.14	441.64	327.56	376.41	363.56	316.37	587.13	239.52	567.1	543.96	395.18	486.75	518.15	379.04	429.54	339.14	511.0	323.03	376.41	607.87	381.68	438.59	403.5	151.22	199.85	346.29	525.39	368.65	397.93	595.34	480.04	283.05	579.04	417.77	633.73	457.25	417.77	384.34	466.88	497.0	559.28	387.02	607.87	563.18	320.8	447.82	518.15	376.41	368.65	507.46	454.09	389.72	480.04	571.05	435.55	172.65	457.25	379.04	432.53	414.87	713.11	435.55	612.11	400.71	483.38	423.61	217.27	307.69	500.46	314.17	693.58	412.0	733.19	295.11	309.83	532.74	599.49	493.56	780.44	323.03	679.29	299.25	612.11	191.67
TMEM175	283.05	607.87	444.72	529.06	450.94	366.09	470.14	348.71	497.0	796.86	450.94	764.36	1322.37	529.06	688.78	444.72	660.68	403.5	441.64	656.11	409.15	232.94	559.28	353.59	363.56	547.75	480.04	638.15	500.46	647.07	698.41	547.75	642.59	728.11	540.19	660.68	854.13	423.61	684.02	836.53	890.44	518.15	575.03	748.61	454.09	221.86	518.15	595.34	395.18	497.0	819.3	928.3	607.87	591.22	536.45	466.88	669.92	480.04	718.08	158.79	723.08	796.86	785.88	441.64	435.55	493.56	463.65	271.48	647.07	466.88	813.63	412.0	579.04	384.34	518.15	878.17	540.19	669.92	934.76	353.59	854.13	460.44	587.13	146.03
TOP3B	221.86	258.57	161.02	214.27	100.13	126.12	145.02	150.17	176.29	171.45	148.09	271.48	1111.82	157.68	191.67	107.38	389.72	115.16	194.36	420.68	125.24	111.99	158.79	73.54	69.52	135.24	114.36	144.01	217.27	214.27	182.55	265.87	435.55	395.18	226.54	325.29	297.17	148.09	164.42	423.61	341.51	108.14	341.51	211.31	111.21	49.21	395.18	136.19	120.1	218.79	403.5	486.75	265.87	299.25	146.03	154.42	100.13	183.82	209.84	111.21	281.09	656.11	536.45	198.47	217.27	363.56	101.54	101.54	299.25	122.64	271.48	171.45	256.78	131.51	147.06	389.72	125.24	316.37	373.81	99.43	171.45	158.79	178.77	67.59
TRMT1	251.48	674.59	289.02	444.72	299.25	406.31	470.14	309.83	426.57	493.56	325.29	660.68	1781.89	327.56	395.18	277.2	775.05	363.56	848.22	1104.13	395.18	371.22	285.03	267.73	215.77	373.81	486.75	336.79	591.22	341.51	748.61	896.64	1059.11	830.75	444.72	647.07	769.69	346.29	555.41	890.44	967.76	366.09	995.0	688.78	395.18	332.14	878.17	470.14	348.71	563.18	848.22	791.35	612.11	684.02	438.59	248.0	429.54	412.0	669.92	438.59	785.88	1111.82	1015.93	543.96	536.45	688.78	162.14	312.0	954.43	285.03	981.29	450.94	995.0	327.56	412.0	698.41	441.64	884.29	915.51	312.0	521.76	371.22	536.45	279.14
TRMT2A	379.04	988.12	384.34	547.75	397.93	466.88	753.83	480.04	688.78	813.63	503.95	878.17	1832.01	486.75	642.59	395.18	981.29	438.59	769.69	1378.57	348.71	493.56	529.06	518.15	336.79	571.05	587.13	521.76	703.28	808.0	813.63	1104.13	1191.69	1427.22	842.36	1081.39	1111.82	500.46	1008.9	1127.35	1059.11	607.87	1023.0	1030.12	397.93	325.29	915.51	551.56	454.09	836.53	878.17	1359.57	791.35	1023.0	612.11	343.89	660.68	503.95	1529.73	241.19	1023.0	1313.23	1447.15	624.99	1044.52	1037.29	289.02	432.53	1119.56	327.56	1378.57	620.67	1561.89	366.09	435.55	1417.35	836.53	1233.75	1628.26	400.71	854.13	559.28	909.17	303.44
TTLL3	226.54	547.75	115.97	195.72	125.24	111.99	206.94	94.01	332.14	231.32	135.24	432.53	2777.33	118.43	151.22	92.7	571.05	106.63	441.64	1096.5	102.97	237.86	85.82	72.52	76.71	208.38	88.88	123.5	438.59	134.3	358.54	497.0	1313.23	660.68	295.11	603.67	426.57	148.09	348.71	988.12	764.36	84.63	967.76	397.93	77.25	148.09	713.11	325.29	93.35	460.44	733.19	819.3	521.76	316.37	176.29	87.65	187.71	88.26	603.67	176.29	703.28	1639.59	1350.18	163.28	429.54	633.73	279.14	191.67	1313.23	67.59	620.67	133.36	808.0	80.57	120.1	1030.12	191.67	543.96	928.3	109.66	698.41	193.01	435.55	11.3
TUBGCP6	140.04	638.15	224.97	329.84	123.5	262.2	371.22	142.01	429.54	420.68	256.78	624.99	1991.0	249.73	269.6	155.5	669.92	165.57	500.46	995.0	209.84	208.38	205.5	102.25	60.39	239.52	220.32	267.73	551.56	212.78	392.44	595.34	890.44	825.0	353.59	612.11	656.11	248.0	497.0	825.0	961.07	161.02	947.83	738.29	206.94	150.17	866.07	211.31	206.94	450.94	759.08	753.83	529.06	656.11	258.57	105.15	269.6	237.86	563.18	126.12	665.29	1359.57	1295.13	291.04	497.0	583.07	132.44	106.63	718.08	176.29	921.88	273.37	967.76	183.82	229.72	679.29	224.97	703.28	1143.1	163.28	450.94	341.51	358.54	65.26
TUT1	358.54	466.88	260.38	332.14	267.73	281.09	358.54	182.55	358.54	363.56	320.8	406.31	490.14	406.31	303.44	277.2	389.72	236.21	493.56	536.45	255.0	244.57	215.77	197.09	127.0	314.17	293.07	256.78	376.41	226.54	473.41	366.09	463.65	435.55	368.65	403.5	476.71	316.37	293.07	397.93	521.76	273.37	463.65	514.56	277.2	251.48	441.64	275.28	224.97	316.37	444.72	476.71	353.59	406.31	236.21	149.12	299.25	327.56	334.46	231.32	463.65	493.56	493.56	312.0	307.69	341.51	169.07	189.02	343.89	255.0	480.04	320.8	511.0	285.03	368.65	358.54	209.84	373.81	500.46	248.0	318.57	384.34	336.79	110.43
UBAP1L	26.28	56.28	10.71	42.71	8.65	10.79	19.68	11.13	32.13	25.17	21.16	52.08	144.01	12.74	18.84	5.82	90.14	7.75	29.48	111.21	22.1	19.97	4.43	5.73	8.25	13.12	13.03	26.67	31.45	14.78	42.71	54.72	132.44	69.03	31.45	74.06	56.68	21.78	43.63	105.89	137.14	8.06	102.97	50.63	5.02	15.45	96.68	20.56	16.27	35.76	100.13	48.18	57.49	66.65	27.44	4.54	12.93	10.16	35.25	19.68	72.52	139.07	108.9	21.63	63.0	46.5	12.55	8.13	57.08	9.48	115.97	17.77	127.0	9.2	21.47	58.3	5.96	56.28	110.43	11.13	55.89	17.77	31.67	1.11
USP20	320.8	403.5	291.04	336.79	232.94	212.78	180.02	199.85	191.67	363.56	239.52	334.46	830.75	256.78	283.05	231.32	460.44	229.72	299.25	583.07	260.38	205.5	334.46	178.77	167.9	177.53	297.17	267.73	409.15	191.67	536.45	387.02	466.88	457.25	334.46	463.65	397.93	231.32	329.84	463.65	426.57	185.11	397.93	444.72	273.37	229.72	417.77	363.56	249.73	441.64	318.57	603.67	341.51	429.54	262.2	161.02	244.57	318.57	281.09	220.32	473.41	339.14	493.56	371.22	242.88	323.03	164.42	151.22	406.31	239.52	486.75	273.37	483.38	170.25	299.25	470.14	154.42	426.57	248.0	178.77	343.89	305.55	314.17	117.6
WASH4P	275.28	366.09	80.01	244.57	99.43	145.02	246.28	158.79	224.97	273.37	126.12	532.74	1508.65	180.02	269.6	141.02	674.59	103.69	529.06	842.36	142.01	178.77	90.14	135.24	78.89	220.32	102.97	137.14	341.51	258.57	293.07	423.61	796.86	500.46	265.87	536.45	379.04	161.02	265.87	780.44	642.59	182.55	713.11	341.51	112.77	90.14	629.35	260.38	147.06	299.25	753.83	748.61	476.71	563.18	269.6	138.1	138.1	108.14	246.28	128.79	511.0	1159.07	1135.2	251.48	253.23	444.72	151.22	57.08	954.43	115.16	423.61	161.02	559.28	116.78	147.06	529.06	201.25	395.18	1096.5	162.14	591.22	152.28	307.69	30.12
WDR27	339.14	684.02	63.89	156.59	33.06	117.6	195.72	50.63	65.26	178.77	91.41	406.31	1119.56	119.26	121.79	68.07	457.25	49.56	173.85	819.3	115.97	191.67	35.25	31.45	74.06	38.4	105.89	108.14	351.14	102.25	262.2	353.59	718.08	457.25	140.04	332.14	450.94	113.56	237.86	764.36	470.14	44.89	764.36	312.0	81.71	65.26	764.36	193.01	88.26	224.97	551.56	476.71	551.56	412.0	124.37	32.36	101.54	44.57	323.03	69.03	303.44	1397.83	595.34	156.59	339.14	507.46	67.59	73.03	624.99	46.84	490.14	137.14	599.49	95.34	90.77	295.11	89.51	295.11	603.67	66.18	307.69	244.57	228.13	19.82
WDR83	78.34	312.0	158.79	273.37	275.28	256.78	368.65	182.55	256.78	387.02	291.04	329.84	529.06	305.55	346.29	239.52	543.96	251.48	450.94	563.18	275.28	260.38	191.67	163.28	144.01	356.05	346.29	190.34	346.29	281.09	417.77	314.17	381.68	356.05	493.56	336.79	507.46	325.29	432.53	371.22	368.65	361.04	466.88	351.14	209.84	204.07	279.14	232.94	246.28	303.44	435.55	507.46	373.81	387.02	299.25	102.97	339.14	397.93	392.44	236.21	629.35	409.15	483.38	392.44	366.09	314.17	141.02	173.85	441.64	248.0	503.95	255.0	629.35	194.36	327.56	441.64	214.27	341.51	301.33	277.2	248.0	241.19	346.29	107.38
WDR90	316.37	708.18	246.28	379.04	178.77	305.55	426.57	223.41	698.41	279.14	289.02	723.08	1572.76	229.72	376.41	178.77	753.83	193.01	616.37	934.76	204.07	303.44	239.52	204.07	80.01	314.17	218.79	291.04	525.39	368.65	332.14	555.41	785.88	1119.56	500.46	642.59	563.18	258.57	466.88	1088.92	825.0	198.47	1037.29	915.51	187.71	112.77	961.07	153.34	301.33	595.34	791.35	1331.57	665.29	808.0	435.55	170.25	265.87	320.8	830.75	202.66	612.11	1457.23	1135.2	480.04	559.28	713.11	134.3	176.29	1001.93	170.25	633.73	237.86	1119.56	220.32	244.57	947.83	228.13	571.05	1066.48	208.38	1066.48	384.34	518.15	29.06
XAB2	460.44	1119.56	460.44	830.75	532.74	698.41	915.51	521.76	486.75	995.0	753.83	947.83	1044.52	796.86	665.29	555.41	1159.07	633.73	902.89	1250.98	738.29	563.18	555.41	575.03	486.75	447.82	915.51	547.75	802.41	607.87	988.12	872.1	981.29	921.88	848.22	825.0	1001.93	753.83	854.13	878.17	1143.1	651.58	1030.12	759.08	775.05	769.69	961.07	384.34	624.99	819.3	842.36	866.07	791.35	921.88	607.87	320.8	555.41	902.89	595.34	599.49	1259.69	941.27	884.29	848.22	860.08	660.68	409.15	387.02	961.07	656.11	1059.11	708.18	1208.34	693.58	764.36	866.07	679.29	693.58	791.35	563.18	1096.5	819.3	848.22	253.23
YJEFN3	33.06	40.07	10.47	29.91	17.0	21.63	20.26	8.38	25.91	45.53	18.84	116.78	438.59	20.11	37.59	14.56	69.52	24.46	62.56	162.14	14.24	37.85	15.68	18.29	12.09	22.26	23.93	20.11	40.93	26.1	53.57	64.8	178.77	122.64	36.27	99.43	54.33	20.26	44.57	99.43	148.09	17.64	173.85	57.89	13.12	5.87	67.12	64.34	19.82	48.18	151.22	131.51	93.35	53.95	21.47	5.36	21.16	12.09	84.04	16.15	151.22	312.0	183.82	30.34	60.39	78.34	20.11	22.43	84.63	13.42	75.64	34.51	173.85	10.08	27.25	153.34	35.5	96.68	206.94	31.0	72.01	18.03	50.98	3.26
ZBTB17	759.08	563.18	281.09	329.84	265.87	325.29	457.25	217.27	339.14	460.44	332.14	660.68	1662.49	381.68	316.37	246.28	647.07	242.88	500.46	1030.12	323.03	287.01	339.14	175.07	155.5	293.07	327.56	271.48	379.04	371.22	575.03	848.22	791.35	703.28	406.31	616.37	665.29	295.11	612.11	934.76	753.83	309.83	743.43	616.37	239.52	314.17	591.22	397.93	249.73	591.22	660.68	748.61	514.56	543.96	409.15	135.24	346.29	339.14	500.46	297.17	708.18	813.63	872.1	420.68	480.04	599.49	341.51	348.71	1015.93	232.94	753.83	409.15	928.3	211.31	353.59	743.43	348.71	825.0	743.43	287.01	540.19	466.88	532.74	190.34
ZBTB48	928.3	698.41	327.56	483.38	260.38	373.81	447.82	269.6	409.15	571.05	395.18	567.1	947.83	521.76	423.61	323.03	620.67	341.51	559.28	921.88	334.46	500.46	297.17	199.85	88.26	293.07	392.44	444.72	518.15	518.15	769.69	743.43	684.02	698.41	473.41	629.35	733.19	412.0	684.02	642.59	738.29	323.03	884.29	743.43	466.88	460.44	629.35	351.14	339.14	429.54	583.07	753.83	551.56	638.15	248.0	151.22	295.11	435.55	420.68	301.33	785.88	718.08	866.07	423.61	575.03	532.74	271.48	214.27	909.17	283.05	896.64	540.19	759.08	258.57	414.87	703.28	361.04	536.45	947.83	217.27	703.28	669.92	414.87	194.36
ZNF276	420.68	444.72	178.77	220.32	79.45	182.55	226.54	94.01	307.69	237.86	194.36	444.72	1407.55	242.88	176.29	81.71	381.68	92.7	251.48	703.28	109.66	185.11	139.07	86.43	63.45	181.28	114.36	139.07	353.59	193.01	295.11	497.0	785.88	466.88	281.09	503.95	463.65	152.28	327.56	713.11	575.03	132.44	454.09	583.07	128.79	72.01	579.04	212.78	93.35	346.29	486.75	825.0	400.71	397.93	204.07	89.51	158.79	159.9	307.69	107.38	432.53	559.28	780.44	224.97	327.56	460.44	101.54	117.6	660.68	115.97	603.67	228.13	571.05	169.07	120.1	563.18	231.32	423.61	543.96	123.5	473.41	291.04	297.17	82.87
ZNF335	119.26	246.28	141.02	156.59	76.17	150.17	154.42	102.97	164.42	197.09	130.6	236.21	368.65	159.9	163.28	76.71	262.2	71.5	221.86	293.07	125.24	100.83	133.36	128.79	49.21	136.19	95.34	124.37	198.47	143.01	205.5	251.48	320.8	232.94	157.68	224.97	258.57	115.16	204.07	277.2	281.09	90.14	334.46	215.77	82.29	95.34	316.37	212.78	88.88	181.28	289.02	339.14	195.72	212.78	151.22	95.34	146.03	108.9	193.01	141.02	255.0	275.28	341.51	127.89	206.94	262.2	181.28	101.54	265.87	72.52	251.48	176.29	312.0	105.89	127.89	293.07	96.01	248.0	215.77	86.43	232.94	176.29	231.32	77.25
ZNF414	301.33	595.34	291.04	348.71	172.65	336.79	426.57	318.57	251.48	563.18	450.94	679.29	470.14	403.5	384.34	241.19	656.11	211.31	563.18	753.83	303.44	323.03	438.59	269.6	108.14	320.8	438.59	343.89	289.02	457.25	551.56	518.15	543.96	575.03	397.93	551.56	656.11	454.09	454.09	379.04	579.04	412.0	450.94	387.02	332.14	231.32	532.74	264.03	255.0	376.41	490.14	563.18	432.53	583.07	397.93	242.88	353.59	503.95	480.04	255.0	764.36	547.75	476.71	343.89	361.04	409.15	154.42	228.13	525.39	248.0	599.49	454.09	575.03	277.2	497.0	563.18	325.29	521.76	423.61	246.28	718.08	493.56	547.75	334.46
