	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.VS.A9V3.01A.11R.A42T.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.C5.A7CJ.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.UC.A7PG.01A.11R.A42S.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.90.A4ED.01A.31R.A24Z.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
RP11-552F3.12	4.62	16.27	1.95	21.32	14.35	18.7	5.63	15.45	31.0	10.31	19.11	41.52	16.03	20.56	13.93	22.1	0.0	10.31	56.68	14.67	30.34	88.88	19.82	5.5	76.17	53.57	44.57	42.71	0.0	3.0	9.93	2.14	3.99	0.99	2.86	12.93	10.08	3.2	5.82	8.25	2.05	8.45	7.69	13.22	13.42	3.2	8.38	6.11	5.73	2.56	1.53	5.68	6.73	0.97	2.76	7.22	10.55	10.47	14.45	5.19	1.73	3.11	6.78	6.06	28.65	8.65	5.59
RP4-583P15.15	31.45	24.81	10.88	41.22	52.45	52.08	105.89	72.01	77.25	86.43	72.01	55.1	95.34	47.5	96.01	93.35	55.1	58.71	164.42	43.63	85.82	107.38	148.09	78.89	152.28	106.63	56.68	88.88	2.58	5.59	67.12	11.73	29.91	7.57	8.51	96.68	8.58	31.45	36.79	21.78	17.9	15.22	19.97	15.8	13.83	17.38	31.0	19.82	23.59	13.93	11.91	28.65	23.42	9.7	16.51	8.51	32.36	65.26	14.67	12.36	25.54	34.02	15.45	11.91	262.2	21.63	20.71
SEC31B	12.93	22.43	13.62	28.04	112.77	130.6	94.01	116.78	123.5	90.77	127.89	104.42	123.5	85.82	86.43	65.26	54.33	125.24	493.56	120.94	64.8	159.9	80.01	239.52	567.1	728.11	52.82	180.02	10.08	2.92	72.01	14.89	20.56	3.29	8.13	56.68	9.27	26.86	49.91	70.51	16.39	21.63	35.5	18.03	8.51	24.99	61.68	15.56	24.81	10.08	3.2	59.97	19.39	15.22	6.16	11.82	47.5	30.34	6.06	9.27	12.45	27.44	15.68	9.63	332.14	15.68	8.85
SENP7	94.01	43.94	92.05	26.67	271.48	170.25	232.94	98.04	99.43	121.79	212.78	223.41	65.26	206.94	159.9	75.11	167.9	73.54	122.64	57.49	83.45	145.02	129.69	149.12	212.78	334.46	124.37	194.36	38.4	37.05	87.03	45.85	39.5	37.05	29.27	109.66	34.26	75.64	58.3	50.63	90.14	47.84	44.25	57.49	39.5	69.03	74.06	79.45	32.13	82.29	41.81	106.63	78.89	76.71	66.65	46.84	62.12	38.12	45.85	56.68	58.3	45.21	48.52	44.89	234.57	58.3	20.41
SFI1	170.25	211.31	127.89	255.0	638.15	647.07	532.74	713.11	291.04	503.95	525.39	493.56	256.78	460.44	363.56	307.69	341.51	218.79	633.73	226.54	540.19	620.67	376.41	1135.2	928.3	915.51	447.82	872.1	45.53	57.08	211.31	65.72	116.78	65.26	51.35	414.87	111.21	116.78	204.07	164.42	118.43	157.68	135.24	116.78	93.35	102.97	172.65	126.12	147.06	54.33	111.99	204.07	113.56	93.35	99.43	78.34	242.88	125.24	128.79	43.02	116.78	107.38	147.06	72.52	738.29	85.82	122.64
SREK1	470.14	281.09	397.93	269.6	954.43	813.63	1594.73	579.04	813.63	780.44	961.07	1216.75	555.41	629.35	995.0	902.89	669.92	684.02	1519.15	503.95	432.53	733.19	796.86	1721.16	1359.57	825.0	607.87	1066.48	218.79	297.17	507.46	420.68	291.04	242.88	358.54	400.71	314.17	384.34	444.72	642.59	426.57	387.02	368.65	279.14	351.14	341.51	460.44	363.56	356.05	406.31	403.5	547.75	406.31	314.17	376.41	368.65	237.86	444.72	253.23	242.88	441.64	348.71	267.73	281.09	1250.98	223.41	334.46
SRSF10	1119.56	896.64	1242.34	764.36	1268.46	2090.03	2555.58	1662.49	1685.71	1508.65	1977.24	2739.08	1135.2	1909.85	1540.37	1529.73	1427.22	1225.22	2976.74	1242.34	1487.87	1991.0	1059.11	2148.82	2047.0	2627.46	1583.71	2384.37	1242.34	915.51	1096.5	1119.56	1233.75	555.41	1388.16	1127.35	738.29	1242.34	603.67	1015.93	1199.98	947.83	981.29	1143.1	1066.48	693.58	1044.52	1259.69	947.83	1059.11	1183.45	1304.15	947.83	1096.5	1199.98	1111.82	764.36	842.36	1023.0	669.92	1143.1	1191.69	1059.11	1073.91	988.12	842.36	878.17
STXBP3	665.29	454.09	444.72	264.03	813.63	748.61	988.12	595.34	371.22	791.35	819.3	1250.98	660.68	647.07	698.41	256.78	341.51	769.69	872.1	551.56	642.59	988.12	860.08	1159.07	647.07	947.83	540.19	1066.48	486.75	376.41	567.1	420.68	295.11	291.04	353.59	500.46	426.57	575.03	616.37	563.18	341.51	358.54	543.96	547.75	463.65	536.45	497.0	454.09	226.54	363.56	384.34	599.49	387.02	346.29	420.68	486.75	397.93	346.29	307.69	358.54	563.18	397.93	567.1	514.56	616.37	353.59	334.46
TAOK2	460.44	444.72	153.34	303.44	642.59	514.56	620.67	723.08	551.56	723.08	532.74	660.68	551.56	529.06	718.08	669.92	571.05	403.5	679.29	525.39	525.39	633.73	466.88	713.11	713.11	718.08	395.18	616.37	158.79	297.17	529.06	514.56	371.22	277.2	291.04	483.38	358.54	723.08	366.09	307.69	400.71	397.93	339.14	371.22	473.41	373.81	400.71	563.18	305.55	214.27	277.2	563.18	497.0	366.09	325.29	373.81	285.03	511.0	384.34	346.29	363.56	412.0	387.02	361.04	684.02	381.68	275.28
TARBP1	303.44	483.38	332.14	379.04	660.68	500.46	785.88	759.08	567.1	651.58	934.76	490.14	599.49	620.67	947.83	896.64	441.64	723.08	1639.59	165.57	878.17	1617.0	420.68	1583.71	473.41	1143.1	753.83	738.29	265.87	212.78	417.77	293.07	264.03	121.79	193.01	633.73	234.57	361.04	297.17	329.84	299.25	285.03	356.05	262.2	161.02	329.84	329.84	277.2	260.38	147.06	182.55	392.44	199.85	176.29	255.0	256.78	318.57	327.56	187.71	198.47	361.04	403.5	500.46	334.46	2627.46	115.97	122.64
TCERG1	665.29	591.22	426.57	368.65	567.1	995.0	1159.07	842.36	1030.12	909.17	1322.37	1104.13	808.0	860.08	1081.39	974.5	909.17	1199.98	1950.0	769.69	708.18	1088.92	1030.12	1709.26	1923.14	1417.35	759.08	1685.71	242.88	417.77	595.34	532.74	723.08	435.55	591.22	624.99	409.15	435.55	688.78	1059.11	457.25	713.11	503.95	559.28	595.34	825.0	633.73	583.07	583.07	616.37	579.04	713.11	480.04	536.45	571.05	518.15	595.34	961.07	320.8	521.76	616.37	743.43	507.46	438.59	1119.56	587.13	909.17
TIA1	507.46	389.72	412.0	295.11	2047.0	1259.69	1870.53	1044.52	1119.56	1745.2	1437.15	1709.26	713.11	1111.82	848.22	1477.58	967.76	1044.52	3847.29	616.37	1111.82	1540.37	1073.91	2224.63	2555.58	3303.0	1037.29	1662.49	265.87	205.5	567.1	341.51	303.44	299.25	236.21	620.67	178.77	476.71	450.94	435.55	656.11	368.65	392.44	229.72	395.18	336.79	511.0	412.0	285.03	271.48	156.59	860.08	343.89	486.75	389.72	363.56	323.03	336.79	209.84	236.21	473.41	384.34	289.02	269.6	2255.7	217.27	163.28
TIGD1	59.55	111.99	77.79	30.56	96.01	139.07	69.03	111.99	63.0	82.29	121.79	82.87	57.89	98.73	53.57	84.04	96.68	105.89	226.54	63.0	61.25	181.28	127.89	130.6	122.64	130.6	136.19	166.73	25.17	17.51	57.49	14.03	88.88	18.43	22.26	146.03	29.91	76.17	14.03	16.51	41.81	41.81	31.67	38.67	59.13	26.67	28.65	48.18	65.26	43.63	78.34	74.06	31.0	16.63	27.44	17.0	82.29	61.25	39.22	15.34	34.51	23.08	26.47	27.44	143.01	23.59	28.04
TIGD7	161.02	178.77	34.51	16.15	281.09	119.26	135.24	175.07	27.44	182.55	100.13	101.54	137.14	164.42	112.77	27.84	119.26	131.51	124.37	12.45	125.24	147.06	98.04	103.69	267.73	136.19	127.0	237.86	30.78	13.03	13.42	5.54	61.25	23.08	23.93	115.97	6.94	71.0	4.43	2.84	14.14	43.32	33.3	43.94	79.45	9.78	9.56	15.11	81.71	21.63	57.49	68.55	32.59	4.98	10.0	47.84	54.33	45.53	15.45	14.24	25.54	13.03	20.26	17.51	144.01	30.78	38.95
TMEM243	511.0	198.47	231.32	470.14	1883.54	669.92	642.59	236.21	312.0	476.71	647.07	371.22	145.02	438.59	336.79	255.0	368.65	185.11	647.07	255.0	392.44	473.41	1175.27	373.81	457.25	521.76	595.34	629.35	206.94	171.45	214.27	136.19	152.28	144.01	301.33	403.5	148.09	258.57	119.26	403.5	309.83	466.88	183.82	151.22	149.12	295.11	189.02	269.6	217.27	88.88	283.05	309.83	116.78	202.66	231.32	180.02	363.56	234.57	158.79	166.73	267.73	327.56	320.8	205.5	507.46	212.78	271.48
TRIM52	48.87	90.77	94.01	102.97	334.46	191.67	301.33	140.04	150.17	234.57	307.69	167.9	146.03	101.54	143.01	195.72	142.01	202.66	435.55	75.11	118.43	167.9	173.85	381.68	521.76	212.78	103.69	189.02	40.07	28.24	76.17	54.33	66.18	35.0	21.94	81.71	36.79	50.98	63.89	105.89	56.68	58.3	33.54	29.91	75.64	39.5	59.55	64.8	66.18	36.27	21.63	177.53	67.59	36.79	36.53	40.07	98.04	102.97	48.87	22.1	61.25	83.45	53.19	43.02	463.65	28.86	37.05
TRMT13	125.24	105.89	64.34	96.68	201.25	201.25	366.09	182.55	141.02	264.03	246.28	291.04	127.89	229.72	285.03	120.94	152.28	224.97	457.25	118.43	146.03	283.05	181.28	339.14	212.78	400.71	173.85	320.8	128.79	84.04	157.68	96.01	101.54	50.27	96.01	142.01	80.01	253.23	84.63	131.51	84.63	85.82	98.73	129.69	108.9	94.01	151.22	133.36	93.35	81.14	125.24	177.53	159.9	132.44	100.83	132.44	118.43	67.59	76.71	43.94	130.6	98.04	118.43	116.78	285.03	90.77	75.64
TTC18	5.36	14.56	5.41	94.67	1617.0	15.0	41.22	36.79	12.93	20.11	20.86	10.63	32.82	8.06	13.42	22.1	2.16	35.76	111.99	10.63	33.54	33.06	19.68	8.45	49.21	47.5	26.1	28.86	2.23	2.56	4.28	29.27	8.25	1.36	2.71	13.93	3.63	10.0	12.27	19.11	4.78	7.11	7.51	3.06	7.34	8.38	5.06	8.51	7.17	10.55	2.81	10.08	4.39	5.28	3.38	5.59	14.56	72.52	3.29	2.1	36.27	1.62	3.5	10.08	105.89	8.99	1.64
TTC21B	68.55	44.89	102.97	81.14	279.14	117.6	191.67	104.42	69.03	191.67	145.02	156.59	92.7	129.69	90.77	76.17	79.45	100.13	289.02	56.28	82.29	197.09	82.87	137.14	125.24	318.57	145.02	190.34	63.45	26.1	40.64	47.17	56.28	47.5	71.0	61.68	29.06	40.64	18.16	30.34	46.18	37.59	43.63	40.93	33.54	35.76	43.32	60.39	37.05	43.63	59.55	93.35	46.5	63.0	65.26	53.19	56.68	41.22	38.95	21.94	47.84	39.22	26.47	44.89	206.94	43.02	65.26
TTLL3	73.54	108.14	78.89	226.54	1674.06	511.0	320.8	122.64	295.11	511.0	351.14	339.14	181.28	231.32	248.0	307.69	172.65	215.77	878.17	143.01	412.0	351.14	389.72	521.76	1487.87	748.61	249.73	454.09	30.78	38.95	143.01	135.24	53.57	48.52	15.91	253.23	44.57	90.77	193.01	127.0	104.42	82.87	110.43	36.27	36.27	85.22	109.66	58.71	56.68	42.71	13.12	198.47	58.71	29.06	50.27	12.27	176.29	142.01	24.81	52.08	186.4	94.67	72.01	63.45	1529.73	80.57	37.85
USP49	15.91	16.51	13.83	15.22	53.95	57.49	83.45	40.93	42.71	30.12	81.14	49.91	29.91	51.35	47.84	34.26	54.72	31.9	103.69	34.75	63.0	68.07	58.3	103.69	83.45	121.79	47.17	117.6	7.63	12.93	29.7	9.34	13.62	9.2	11.13	37.59	10.79	17.25	18.16	19.97	20.41	14.78	16.15	11.64	10.55	14.24	19.11	24.99	12.83	10.63	12.27	31.45	18.56	14.35	13.03	10.88	24.11	22.1	10.08	8.38	12.64	12.93	10.0	9.06	120.1	10.55	31.67
WASH4P	133.36	241.19	224.97	275.28	567.1	423.61	583.07	395.18	483.38	417.77	1023.0	426.57	551.56	356.05	507.46	532.74	373.81	429.54	669.92	249.73	409.15	366.09	529.06	909.17	890.44	769.69	432.53	507.46	98.04	120.1	376.41	119.26	353.59	111.99	100.13	356.05	85.82	191.67	473.41	162.14	157.68	185.11	170.25	146.03	52.45	120.94	236.21	134.3	145.02	145.02	100.83	293.07	218.79	149.12	96.68	102.97	164.42	295.11	185.11	103.69	154.42	138.1	136.19	98.04	1540.37	75.64	120.94
ZFC3H1	256.78	135.24	368.65	500.46	483.38	525.39	642.59	432.53	460.44	753.83	1208.34	665.29	473.41	457.25	674.59	423.61	273.37	591.22	947.83	500.46	595.34	660.68	884.29	1457.23	2193.99	1175.27	303.44	1127.35	95.34	124.37	389.72	191.67	217.27	189.02	158.79	490.14	153.34	305.55	409.15	543.96	150.17	285.03	218.79	161.02	170.25	195.72	470.14	170.25	239.52	167.9	153.34	532.74	228.13	224.97	138.1	154.42	368.65	291.04	130.6	217.27	194.36	236.21	157.68	218.79	2193.99	283.05	265.87
ZNF10	45.85	77.25	26.67	33.54	258.57	120.1	173.85	176.29	134.3	133.36	217.27	127.0	117.6	228.13	117.6	144.01	99.43	197.09	201.25	49.91	113.56	162.14	23.25	153.34	400.71	166.73	99.43	265.87	17.51	14.35	68.55	9.63	72.52	23.08	7.06	107.38	20.71	46.84	24.81	9.2	10.88	26.86	36.79	27.84	18.84	23.08	62.56	17.13	86.43	36.27	22.1	54.72	35.0	19.39	12.64	48.52	52.45	52.82	18.56	21.01	16.03	22.75	26.86	35.0	120.1	16.75	36.53
ZNF248	32.13	24.46	47.5	66.65	264.03	102.97	120.1	173.85	93.35	137.14	140.04	113.56	106.63	120.1	109.66	92.7	115.16	142.01	214.27	63.0	76.17	135.24	67.59	121.79	118.43	198.47	111.21	88.26	55.89	32.36	59.97	49.56	67.12	30.12	57.49	89.51	31.67	61.25	41.22	53.95	53.19	43.94	43.32	28.04	21.63	21.94	59.55	47.17	35.5	26.86	28.04	80.01	37.59	56.68	52.45	43.94	42.41	48.18	66.18	44.57	52.82	59.55	33.06	45.53	269.6	40.64	13.72
ZNF354B	79.45	70.01	55.1	91.41	323.03	248.0	248.0	152.28	121.79	224.97	223.41	236.21	100.83	115.16	191.67	141.02	128.79	146.03	595.34	146.03	119.26	155.5	255.0	236.21	412.0	228.13	127.0	289.02	34.75	18.16	134.3	57.08	63.0	36.53	25.91	183.82	34.02	66.18	83.45	137.14	42.41	76.17	59.13	47.17	42.41	55.49	92.7	40.64	59.13	57.49	21.63	223.41	49.56	49.91	20.41	42.11	70.51	167.9	15.91	42.71	40.36	61.25	66.65	29.27	271.48	59.13	78.34
ZNF354C	25.17	22.75	18.29	1.01	55.89	44.89	98.04	40.36	25.35	68.07	52.82	69.03	17.25	55.49	32.59	11.73	36.79	18.16	90.77	6.67	18.16	15.22	18.7	42.11	57.08	39.5	24.28	50.27	7.11	5.02	10.39	1.85	2.94	12.0	2.29	5.87	3.08	8.65	2.14	2.56	13.52	19.39	4.43	0.88	1.68	1.1	6.78	6.21	14.14	1.45	0.92	28.86	1.79	8.78	4.03	15.68	4.21	16.75	0.84	8.25	6.67	3.23	19.11	7.69	70.01	7.63	5.82
ZNF397	112.77	74.06	141.02	180.02	255.0	198.47	221.86	205.5	166.73	234.57	297.17	264.03	157.68	223.41	212.78	134.3	185.11	143.01	305.55	165.57	149.12	258.57	137.14	197.09	325.29	356.05	232.94	172.65	78.89	82.29	135.24	133.36	157.68	64.34	77.79	135.24	90.77	139.07	75.11	102.97	158.79	100.83	71.0	81.71	57.08	92.7	165.57	159.9	59.13	89.51	98.73	215.77	95.34	173.85	100.83	72.01	80.01	96.68	76.17	76.17	144.01	91.41	169.07	106.63	299.25	111.21	110.43
ZNF529	44.57	68.07	26.28	12.09	163.28	88.26	104.42	136.19	89.51	85.82	156.59	90.14	73.54	177.53	68.07	123.5	91.41	88.26	236.21	48.18	100.13	161.02	101.54	138.1	169.07	142.01	85.82	186.4	15.0	26.28	40.93	36.01	39.22	35.25	31.9	43.94	21.16	49.21	23.25	7.75	42.11	33.06	47.17	43.02	41.52	18.43	35.76	40.36	26.28	36.53	31.45	72.52	27.05	8.13	16.27	29.48	68.55	39.79	18.84	24.63	22.43	20.71	24.11	30.78	332.14	43.02	57.08
ZNF566	44.57	86.43	21.16	28.65	127.0	100.83	78.34	120.94	77.79	132.44	83.45	79.45	78.34	191.67	116.78	107.38	72.01	85.82	150.17	10.63	65.26	90.77	56.68	59.55	98.04	89.51	71.0	133.36	8.32	34.26	42.41	5.11	45.21	18.84	0.54	25.91	13.22	26.28	4.06	2.94	31.45	27.25	24.28	45.85	31.45	7.28	15.91	37.32	19.11	6.31	17.0	63.0	21.47	19.11	7.75	33.54	35.5	29.7	14.67	19.53	5.87	9.48	25.91	27.84	154.42	23.42	35.25
ZNF596	24.63	8.0	18.56	65.26	121.79	46.84	76.17	55.1	71.5	63.0	90.77	58.71	26.86	54.33	57.08	41.81	38.4	27.25	249.73	65.26	138.1	113.56	50.27	92.7	119.26	93.35	100.83	126.12	14.14	18.03	81.71	19.53	25.35	31.67	43.32	66.65	20.26	42.11	29.48	34.02	36.27	36.27	18.84	16.27	10.71	31.9	42.41	29.7	13.72	14.56	28.45	49.21	15.11	25.54	18.29	26.1	19.53	38.67	34.51	31.9	33.54	32.59	19.68	24.28	193.01	17.51	24.28
ZNF599	47.5	49.56	29.06	28.24	251.48	120.94	109.66	38.4	53.95	73.03	68.07	50.63	59.13	105.89	67.59	88.26	81.14	78.89	258.57	74.06	91.41	148.09	65.72	76.71	121.79	138.1	159.9	118.43	42.41	27.05	54.33	36.53	50.63	31.67	86.43	89.51	27.25	63.89	15.68	9.7	82.87	28.04	32.13	42.11	15.0	15.11	37.05	54.33	36.53	27.25	55.89	64.34	28.45	43.02	48.87	39.5	190.34	54.72	69.03	31.0	26.67	59.97	41.81	36.79	152.28	25.72	26.47
ZNF605	75.11	39.5	41.22	35.25	124.37	77.25	120.94	84.63	138.1	138.1	141.02	103.69	70.01	101.54	81.14	77.25	69.03	73.03	157.68	29.27	105.89	126.12	75.11	157.68	215.77	164.42	78.34	130.6	7.46	27.64	57.08	3.0	59.97	32.59	2.94	83.45	31.67	38.4	28.45	6.26	14.35	33.54	26.47	19.68	15.8	13.62	37.85	43.63	22.1	28.86	27.44	73.03	32.36	23.25	16.51	25.91	47.5	28.24	18.7	23.42	37.32	23.76	18.84	18.84	190.34	7.94	34.02
ZNF692	361.04	981.29	529.06	555.41	1037.29	674.59	1617.0	1295.13	1159.07	1447.15	2682.69	1651.0	842.36	1295.13	1594.73	884.29	1111.82	1111.82	2609.3	860.08	1378.57	1923.14	1340.84	5076.84	1844.76	2468.49	1561.89	2271.4	124.37	105.89	642.59	325.29	514.56	92.05	215.77	1331.57	191.67	299.25	698.41	376.41	214.27	343.89	366.09	514.56	100.13	500.46	733.19	232.94	616.37	224.97	234.57	579.04	246.28	228.13	191.67	152.28	384.34	836.53	303.44	131.51	241.19	361.04	329.84	236.21	2627.46	327.56	176.29
ZNF75A	305.55	218.79	79.45	199.85	389.72	368.65	325.29	444.72	162.14	392.44	244.57	267.73	366.09	373.81	301.33	111.21	194.36	470.14	432.53	145.02	400.71	371.22	279.14	521.76	656.11	403.5	307.69	480.04	90.14	65.26	190.34	78.89	215.77	75.64	107.38	205.5	75.11	218.79	54.33	87.65	94.67	167.9	115.16	158.79	269.6	86.43	102.97	194.36	153.34	78.34	115.97	256.78	172.65	111.21	63.89	163.28	127.89	191.67	103.69	94.01	122.64	105.89	112.77	60.82	511.0	58.3	148.09
ZNF789	112.77	118.43	39.5	111.21	249.73	239.52	291.04	153.34	249.73	305.55	205.5	165.57	96.01	232.94	260.38	253.23	165.57	166.73	503.95	99.43	181.28	293.07	117.6	248.0	423.61	616.37	262.2	253.23	37.85	41.22	76.17	55.89	115.16	45.21	63.0	158.79	45.53	112.77	76.17	133.36	88.88	133.36	59.97	44.89	57.89	92.7	70.51	52.08	62.56	19.82	50.63	102.97	50.63	85.22	43.94	28.04	139.07	86.43	77.79	44.89	82.29	64.8	47.5	47.5	684.02	43.02	53.57
ZNF879	10.96	29.06	4.28	25.91	43.63	67.59	133.36	67.12	31.22	130.6	75.11	94.67	28.24	70.01	52.45	31.67	52.82	33.3	80.57	13.22	25.91	14.89	16.03	30.56	50.63	25.72	13.22	40.64	4.98	16.15	28.04	0.97	5.45	9.56	1.53	23.25	2.51	16.27	8.45	0.93	18.03	22.1	7.11	4.13	1.95	1.48	8.13	4.46	7.06	1.38	0.0	59.97	10.31	4.39	1.68	24.11	14.89	17.25	3.92	17.9	3.35	8.85	9.85	11.82	54.72	78.89	45.21
ZNF891	13.03	28.65	21.01	15.91	23.76	28.65	28.45	23.76	18.16	54.33	36.27	26.28	36.53	81.71	33.78	17.25	21.32	42.71	38.67	17.64	38.67	32.82	14.24	35.25	64.8	49.21	41.22	72.52	4.62	10.0	17.51	0.56	23.42	8.85	3.56	25.91	8.06	14.67	3.47	2.1	8.25	15.11	7.57	12.83	3.38	8.85	13.32	11.47	10.71	6.62	13.62	20.26	12.64	8.19	4.28	11.91	47.84	14.67	14.35	11.04	11.21	9.7	6.73	14.14	32.59	31.45	14.14
ZRANB2	490.14	543.96	575.03	432.53	1023.0	872.1	1991.0	884.29	1015.93	902.89	1551.09	1295.13	591.22	941.27	1001.93	612.11	624.99	669.92	2555.58	1104.13	796.86	1135.2	1477.58	2645.74	2090.03	2090.03	902.89	1397.83	547.75	329.84	753.83	547.75	473.41	309.83	529.06	753.83	373.81	693.58	669.92	769.69	438.59	624.99	409.15	460.44	341.51	511.0	748.61	738.29	486.75	429.54	656.11	738.29	507.46	397.93	351.14	486.75	651.58	476.71	441.64	307.69	599.49	497.0	551.56	323.03	2004.85	305.55	429.54
ZSCAN30	70.51	52.82	113.56	108.14	217.27	123.5	180.02	154.42	98.73	223.41	305.55	178.77	83.45	293.07	111.99	107.38	223.41	99.43	287.01	94.01	120.94	139.07	123.5	175.07	497.0	381.68	94.01	187.71	36.01	52.82	75.11	75.11	89.51	45.53	52.08	94.01	51.35	99.43	77.79	43.02	78.89	85.22	50.98	53.19	57.49	46.5	111.21	75.11	47.5	77.25	58.3	145.02	80.01	90.77	27.44	41.52	43.94	47.84	32.36	36.79	71.0	52.82	53.95	56.68	384.34	43.63	37.85
