	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	TCGA.B2.5639.01A.01R.1541.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.B0.5701.01A.11R.1541.07	TCGA.CZ.4859.01A.02R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.BQ.5893.01A.11R.1592.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.BQ.5890.01A.11R.1592.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SN.01A.11R.A355.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.F9.A8NY.01A.11R.A36F.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9K0.01A.11R.A42S.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.7584.01A.11R.2139.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AL.3468.01A.02R.1351.07	TCGA.AT.A5NU.01A.11R.A28H.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.UZ.A9PS.01A.11R.A42S.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.2Z.A9JM.01A.12R.A42S.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.A4.A4ZT.01A.11R.A26U.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.1399T.0126.SM.5KM15	GTEX.OXRO.1226.SM.48TDL	GTEX.132AR.1526.SM.5KM1L
AGAP8	28.65	53.95	115.16	36.01	90.14	4.1	18.56	7.34	23.76	30.12	34.26	69.52	88.88	167.9	43.94	80.57	3.0	190.34	265.87	36.27	100.13	65.72	198.47	82.29	87.03	18.7	42.41	211.31	173.85	74.58	201.25	43.02	423.61	291.04	293.07	104.42	205.5	71.5	24.63	117.6	49.91	214.27	860.08	215.77	50.63	343.89	33.54	132.44	199.85	107.38	103.69	29.06	43.63	36.27	176.29	381.68	332.14	122.64	172.65	178.77	38.12	447.82	11.3	156.59	26.1	164.42	120.94	13.42	47.84	84.63	133.36	68.07	463.65	318.57	332.14	134.3	37.85	339.14	267.73	13.22	44.89	237.86	158.79	47.5	30.12	226.54	66.18	37.59	348.71	80.01	122.64	86.43	177.53	72.01	148.09	6.57	15.0	111.99	17.38	36.01	12.74	28.65	20.26	117.6	35.5	83.45	96.01	130.6	85.22	127.89	205.5	397.93	830.75	212.78	148.09	150.17	24.63	47.5	32.13	215.77	35.0	195.72	21.63	51.35	38.95	63.0	309.83	145.02	123.5	23.25	57.08	432.53	46.5	74.06	236.21	2.97	23.42	25.35	23.42	26.67	129.69	117.6	31.45
AGAP9	8.45	38.95	38.12	15.56	38.4	6.62	7.28	18.97	10.16	7.34	14.67	5.96	35.5	206.94	20.11	0.0	15.0	92.7	202.66	22.43	94.01	8.65	169.07	60.39	71.0	0.0	20.56	35.0	33.78	21.32	60.39	2.32	135.24	265.87	91.41	13.72	165.57	43.63	18.84	77.79	74.58	91.41	423.61	149.12	36.27	127.0	17.9	22.92	17.25	82.87	73.54	15.11	27.05	6.26	34.51	135.24	37.59	60.82	106.63	154.42	35.5	116.78	0.0	51.35	24.28	173.85	41.81	12.64	35.5	53.19	90.14	29.27	150.17	100.83	221.86	19.53	16.75	248.0	87.03	0.0	24.99	171.45	120.1	15.22	12.18	79.45	7.11	18.03	90.77	49.56	84.63	25.91	95.34	52.82	29.91	3.53	14.56	124.37	7.88	68.55	0.0	13.72	16.03	42.71	0.0	88.88	115.16	127.89	74.06	84.04	113.56	198.47	305.55	48.87	41.22	65.72	22.59	0.0	2.56	19.53	6.31	55.89	21.16	25.17	10.31	44.25	50.27	96.68	62.56	44.25	20.86	118.43	21.32	32.36	103.69	9.34	0.0	13.22	14.78	26.67	96.68	35.76	10.71
AGBL2	1.73	8.13	5.06	5.92	5.11	3.06	2.1	42.11	36.53	31.67	51.35	7.69	19.97	140.04	20.86	25.54	19.25	13.62	323.03	38.4	141.02	54.33	148.09	85.82	111.21	31.0	28.86	341.51	87.03	55.89	267.73	34.75	253.23	271.48	316.37	152.28	198.47	126.12	77.79	182.55	161.02	186.4	587.13	371.22	92.05	460.44	108.14	91.41	120.94	136.19	186.4	46.5	57.08	21.94	150.17	130.6	58.3	169.07	175.07	221.86	149.12	195.72	26.47	74.06	67.59	137.14	214.27	37.05	231.32	132.44	248.0	117.6	307.69	127.89	441.64	140.04	37.59	162.14	392.44	20.41	148.09	281.09	389.72	28.24	39.5	145.02	64.34	59.13	336.79	100.83	202.66	129.69	204.07	96.68	256.78	2.71	17.38	118.43	53.95	47.17	13.03	19.68	14.35	73.03	52.08	88.26	269.6	226.54	63.0	217.27	197.09	409.15	183.82	92.7	127.89	186.4	47.5	6.41	27.25	201.25	18.16	99.43	54.72	40.64	53.95	77.25	256.78	208.38	92.7	102.25	73.03	366.09	26.1	12.36	260.38	3.89	7.75	10.79	31.0	21.16	108.14	57.08	108.14
AHSA2	116.78	414.87	212.78	97.36	228.13	114.36	72.52	177.53	76.17	120.1	493.56	575.03	221.86	1991.0	151.22	205.5	136.19	231.32	3190.46	197.09	1369.04	412.0	438.59	490.14	780.44	231.32	389.72	1721.16	1135.2	521.76	2468.49	253.23	1427.22	1936.53	2287.2	848.22	1794.29	1001.93	279.14	780.44	1096.5	1963.57	5006.93	2319.15	728.11	3018.3	220.32	780.44	1096.5	1225.22	1313.23	381.68	323.03	172.65	1617.0	1191.69	1037.29	1487.87	1268.46	1923.14	620.67	1572.76	162.14	796.86	167.9	4010.71	642.59	172.65	1369.04	1001.93	1991.0	563.18	2417.67	1277.29	3928.15	1037.29	339.14	1745.2	2287.2	131.51	361.04	3303.0	1819.35	400.71	363.56	1119.56	441.64	131.51	2835.7	830.75	1030.12	483.38	1286.18	540.19	836.53	67.59	193.01	1081.39	221.86	536.45	117.6	125.24	62.56	532.74	327.56	591.22	1896.65	1923.14	698.41	1685.71	1457.23	1617.0	2739.08	1447.15	974.5	1709.26	314.17	104.42	88.88	1135.2	148.09	890.44	217.27	178.77	836.53	363.56	1977.24	1286.18	967.76	579.04	567.1	2664.15	287.01	409.15	1617.0	4.94	143.01	144.01	143.01	90.14	1806.78	2796.65	1037.29
AKAP5	1.66	17.0	15.34	3.06	3.72	8.06	2.51	10.88	21.16	26.67	25.91	4.21	9.2	27.25	4.94	21.94	3.99	27.64	90.77	72.52	71.0	22.43	108.14	5.59	57.49	6.84	21.47	214.27	57.89	102.97	59.13	37.85	147.06	49.91	73.03	162.14	63.0	94.67	25.72	58.3	100.13	112.77	70.51	89.51	4.24	94.67	52.08	35.25	67.12	43.63	153.34	8.85	66.18	33.54	26.1	52.08	11.64	56.68	60.82	94.67	39.5	76.71	4.21	88.26	34.51	42.41	70.51	7.0	98.73	69.03	113.56	37.85	52.45	57.49	214.27	88.26	32.82	52.08	148.09	2.68	35.76	72.52	103.69	7.0	43.63	57.89	11.21	39.79	31.0	24.63	69.03	80.57	71.0	21.94	85.82	1.1	7.57	61.25	73.03	19.97	3.99	4.31	5.45	27.05	22.26	51.71	193.01	105.15	30.56	103.69	70.51	158.79	27.44	21.78	55.1	74.06	14.24	14.24	43.02	90.77	8.51	64.34	4.54	23.42	21.16	50.98	143.01	65.72	60.39	33.54	32.59	110.43	6.62	18.84	201.25	1.43	7.0	4.9	8.0	9.2	17.13	20.26	25.54
AL162407.1	26.28	104.42	249.73	70.51	125.24	102.97	129.69	130.6	127.89	157.68	127.89	206.94	224.97	183.82	100.13	158.79	130.6	134.3	256.78	124.37	312.0	133.36	299.25	202.66	191.67	84.04	104.42	460.44	185.11	220.32	260.38	150.17	262.2	368.65	246.28	183.82	239.52	262.2	242.88	339.14	197.09	253.23	381.68	409.15	214.27	262.2	146.03	211.31	223.41	226.54	256.78	161.02	155.5	109.66	209.84	309.83	307.69	197.09	224.97	332.14	126.12	332.14	85.82	205.5	178.77	327.56	164.42	81.71	167.9	228.13	171.45	158.79	470.14	218.79	432.53	314.17	81.14	248.0	275.28	77.79	99.43	291.04	339.14	88.88	88.26	172.65	126.12	106.63	301.33	334.46	182.55	177.53	305.55	193.01	264.03	38.67	82.29	209.84	66.18	182.55	147.06	30.12	40.93	190.34	100.83	175.07	318.57	256.78	156.59	271.48	229.72	429.54	336.79	176.29	159.9	267.73	158.79	119.26	97.36	285.03	61.25	307.69	96.68	108.14	152.28	178.77	275.28	232.94	214.27	176.29	106.63	327.56	115.16	165.57	295.11	21.16	63.89	100.83	65.26	123.5	165.57	232.94	309.83
AMY2B	493.56	54.72	285.03	125.24	193.01	149.12	137.14	96.68	29.91	38.67	139.07	909.17	52.08	409.15	59.55	25.72	32.13	35.25	708.18	55.1	616.37	173.85	173.85	395.18	536.45	43.02	98.04	1008.9	214.27	237.86	860.08	96.68	723.08	669.92	629.35	417.77	483.38	346.29	97.36	42.71	285.03	423.61	521.76	764.36	88.26	791.35	100.83	406.31	202.66	295.11	444.72	62.12	43.94	37.32	460.44	688.78	97.36	281.09	228.13	708.18	204.07	842.36	46.84	543.96	74.06	1304.15	144.01	64.34	351.14	299.25	420.68	141.02	514.56	688.78	1651.0	384.34	111.21	620.67	409.15	23.93	102.97	1233.75	460.44	197.09	85.22	406.31	155.5	19.53	595.34	167.9	111.99	118.43	363.56	127.89	214.27	45.21	61.25	301.33	58.71	161.02	44.25	65.72	38.67	332.14	37.05	110.43	684.02	271.48	123.5	656.11	318.57	928.3	1096.5	819.3	896.64	660.68	90.77	21.63	53.95	450.94	45.21	684.02	75.11	78.89	426.57	120.1	830.75	620.67	297.17	193.01	127.0	1001.93	41.52	111.99	571.05	3.69	176.29	381.68	70.51	175.07	813.63	507.46	97.36
ANKZF1	258.57	336.79	332.14	146.03	273.37	279.14	283.05	220.32	151.22	441.64	503.95	320.8	435.55	1407.55	256.78	587.13	343.89	759.08	1447.15	395.18	1001.93	536.45	409.15	575.03	1037.29	325.29	551.56	1151.06	473.41	490.14	1151.06	529.06	884.29	1295.13	1151.06	819.3	872.1	684.02	327.56	497.0	624.99	1037.29	2178.83	1313.23	460.44	1313.23	571.05	947.83	629.35	808.0	802.41	258.57	503.95	460.44	866.07	1008.9	921.88	753.83	748.61	1159.07	785.88	921.88	212.78	612.11	289.02	2032.85	376.41	239.52	769.69	688.78	1044.52	529.06	896.64	1023.0	1175.27	1096.5	262.2	1268.46	941.27	297.17	543.96	1529.73	934.76	289.02	312.0	1030.12	297.17	406.31	1806.78	409.15	633.73	460.44	620.67	493.56	759.08	215.77	409.15	808.0	395.18	536.45	214.27	312.0	316.37	476.71	325.29	571.05	974.5	878.17	392.44	1037.29	981.29	1199.98	1529.73	860.08	941.27	1233.75	368.65	176.29	253.23	1059.11	211.31	679.29	220.32	329.84	373.81	441.64	780.44	915.51	575.03	493.56	587.13	1369.04	334.46	412.0	780.44	83.45	251.48	258.57	353.59	226.54	819.3	703.28	842.36
AP003068.6	2.53	13.42	6.11	2.63	3.96	2.23	1.73	3.56	3.38	2.23	12.0	5.54	8.13	20.11	4.21	3.38	1.99	3.56	23.76	4.54	23.42	9.7	12.74	12.45	9.56	4.28	9.93	34.51	5.92	12.27	24.63	4.86	14.14	28.24	25.72	11.04	16.75	13.22	4.82	12.36	15.22	22.43	22.1	24.28	9.7	37.32	6.73	14.67	6.46	12.45	11.82	5.73	2.12	7.28	15.56	17.0	12.27	16.15	16.15	21.16	8.0	21.32	7.63	19.25	4.9	41.22	10.31	3.0	14.35	12.27	23.93	7.57	43.94	16.39	27.25	11.64	6.11	31.22	23.08	5.63	4.82	21.16	23.59	5.23	4.46	8.25	3.11	3.11	24.28	29.27	13.03	5.23	10.79	11.73	10.71	2.34	5.36	15.56	2.86	7.06	3.32	3.89	3.86	8.45	5.06	8.19	14.78	14.35	9.85	20.11	13.42	27.25	33.54	18.03	10.79	12.74	5.59	4.17	2.51	12.36	2.12	16.39	4.82	5.73	5.32	7.88	13.72	13.03	13.83	6.06	3.14	26.1	4.31	13.42	11.73	0.0	2.18	4.54	3.92	1.99	13.93	28.86	37.05
AP4M1	226.54	307.69	165.57	229.72	246.28	228.13	279.14	297.17	285.03	660.68	603.67	186.4	454.09	441.64	483.38	612.11	277.2	403.5	1242.34	336.79	848.22	480.04	540.19	532.74	743.43	267.73	379.04	1127.35	403.5	529.06	743.43	228.13	679.29	825.0	813.63	412.0	921.88	808.0	480.04	543.96	567.1	1023.0	629.35	1519.15	356.05	988.12	384.34	314.17	866.07	473.41	836.53	511.0	518.15	633.73	796.86	575.03	381.68	579.04	759.08	878.17	518.15	723.08	301.33	723.08	334.46	389.72	753.83	414.87	759.08	684.02	624.99	703.28	642.59	748.61	1427.22	974.5	255.0	693.58	656.11	291.04	503.95	947.83	1151.06	279.14	511.0	497.0	358.54	371.22	896.64	480.04	480.04	559.28	780.44	563.18	909.17	384.34	343.89	759.08	301.33	483.38	264.03	244.57	351.14	490.14	412.0	674.59	718.08	848.22	441.64	1059.11	988.12	954.43	981.29	743.43	476.71	490.14	470.14	241.19	384.34	753.83	395.18	995.0	351.14	309.83	363.56	723.08	995.0	860.08	819.3	591.22	353.59	961.07	426.57	351.14	728.11	228.13	395.18	221.86	303.44	336.79	503.95	239.52	693.58
APBB3	141.02	400.71	226.54	155.5	267.73	195.72	218.79	244.57	220.32	205.5	384.34	295.11	92.05	764.36	115.16	111.99	161.02	426.57	1159.07	158.79	638.15	299.25	214.27	490.14	269.6	165.57	232.94	775.05	599.49	423.61	1088.92	107.38	638.15	679.29	808.0	884.29	947.83	373.81	363.56	195.72	595.34	616.37	1081.39	525.39	269.6	1467.37	287.01	155.5	295.11	438.59	518.15	295.11	264.03	248.0	638.15	540.19	403.5	616.37	356.05	819.3	343.89	764.36	351.14	616.37	194.36	1662.49	148.09	165.57	620.67	500.46	896.64	417.77	665.29	490.14	1397.83	612.11	175.07	497.0	624.99	423.61	242.88	674.59	708.18	291.04	251.48	409.15	301.33	63.0	1135.2	406.31	244.57	228.13	571.05	248.0	406.31	172.65	260.38	503.95	1135.2	343.89	134.3	358.54	297.17	679.29	159.9	236.21	738.29	651.58	521.76	651.58	748.61	713.11	1697.45	651.58	651.58	595.34	267.73	241.19	130.6	543.96	202.66	432.53	154.42	320.8	346.29	323.03	679.29	429.54	379.04	231.32	218.79	872.1	307.69	312.0	684.02	29.7	114.36	148.09	214.27	189.02	1508.65	753.83	947.83
ATG16L2	76.17	197.09	297.17	102.97	303.44	101.54	82.29	142.01	59.55	144.01	281.09	215.77	142.01	769.69	111.21	86.43	94.67	301.33	1037.29	151.22	769.69	381.68	287.01	389.72	346.29	107.38	177.53	830.75	423.61	616.37	713.11	77.25	947.83	842.36	647.07	417.77	808.0	555.41	190.34	246.28	599.49	723.08	759.08	698.41	307.69	1015.93	239.52	248.0	381.68	460.44	665.29	197.09	145.02	281.09	688.78	603.67	353.59	563.18	363.56	743.43	403.5	954.43	251.48	327.56	205.5	483.38	299.25	218.79	532.74	583.07	703.28	293.07	674.59	476.71	974.5	642.59	167.9	536.45	728.11	204.07	177.53	679.29	1233.75	199.85	273.37	412.0	159.9	89.51	674.59	571.05	651.58	221.86	457.25	432.53	447.82	175.07	107.38	525.39	138.1	379.04	143.01	132.44	237.86	466.88	305.55	297.17	738.29	536.45	343.89	660.68	748.61	981.29	748.61	872.1	493.56	728.11	241.19	116.78	187.71	703.28	127.0	579.04	177.53	341.51	226.54	371.22	555.41	450.94	507.46	376.41	208.38	1135.2	241.19	291.04	733.19	182.55	176.29	108.9	1044.52	157.68	599.49	473.41	356.05
ATHL1	33.3	68.07	248.0	87.03	109.66	69.52	68.07	232.94	65.26	189.02	1551.09	58.3	226.54	7280.4	108.9	220.32	146.03	500.46	20881.4	921.88	7081.29	571.05	2682.69	1119.56	4123.49	764.36	384.34	13492.72	258.57	3742.05	1923.14	87.65	1088.92	13306.94	19082.0	12329.98	9673.69	4543.8	170.25	327.56	5183.54	14065.74	15824.9	4268.94	211.31	26067.14	947.83	466.88	3280.18	12502.12	3372.43	1304.15	457.25	633.73	9088.59	7589.61	503.95	7749.1	4298.64	1883.54	1350.18	18950.18	2193.99	5255.91	102.97	620.67	3039.3	52.45	3614.55	8363.13	10225.32	3190.46	6079.61	13215.02	38697.77	5517.27	95.34	17437.64	18950.18	171.45	4298.64	11992.79	18304.63	612.11	902.89	7589.61	316.37	395.18	17804.06	450.94	4802.93	4066.71	10659.59	231.32	6079.61	123.5	718.08	8840.04	902.89	2468.49	343.89	1304.15	209.84	483.38	1088.92	1883.54	9673.69	14867.79	77.25	9151.82	11504.21	16157.44	1427.22	830.75	244.57	42054.3	1883.54	49.21	435.55	8901.53	47.84	5872.48	854.13	532.74	1883.54	1417.35	15824.9	7589.61	507.46	1769.57	414.87	36357.37	120.94	1963.57	12853.63	8.71	80.57	234.57	147.06	149.12	1936.53	2178.83	3146.52
ATR	114.36	490.14	612.11	218.79	348.71	271.48	153.34	361.04	223.41	253.23	463.65	872.1	447.82	684.02	532.74	460.44	241.19	299.25	854.13	429.54	633.73	616.37	780.44	307.69	753.83	457.25	341.51	759.08	332.14	547.75	802.41	256.78	423.61	1111.82	808.0	511.0	525.39	547.75	514.56	660.68	620.67	728.11	813.63	703.28	733.19	995.0	497.0	366.09	1030.12	438.59	438.59	389.72	438.59	463.65	612.11	802.41	723.08	473.41	713.11	796.86	540.19	743.43	432.53	825.0	309.83	802.41	543.96	473.41	587.13	884.29	748.61	444.72	1096.5	947.83	669.92	713.11	389.72	693.58	718.08	392.44	356.05	872.1	624.99	583.07	547.75	486.75	460.44	336.79	1030.12	819.3	607.87	595.34	660.68	511.0	454.09	142.01	660.68	656.11	540.19	559.28	500.46	454.09	289.02	713.11	341.51	599.49	389.72	463.65	480.04	743.43	607.87	532.74	1051.79	836.53	954.43	796.86	660.68	305.55	336.79	915.51	392.44	780.44	660.68	624.99	591.22	366.09	493.56	769.69	571.05	1051.79	249.73	842.36	269.6	759.08	503.95	164.42	529.06	182.55	255.0	193.01	536.45	848.22	1008.9
ATXN7L2	169.07	140.04	60.82	75.64	115.97	53.57	55.49	175.07	55.49	43.63	141.02	96.01	99.43	87.03	55.1	106.63	20.41	28.86	346.29	38.67	156.59	81.71	189.02	220.32	162.14	44.25	62.12	236.21	136.19	118.43	299.25	46.5	301.33	346.29	316.37	123.5	246.28	140.04	93.35	81.14	135.24	258.57	420.68	218.79	85.22	373.81	40.07	105.15	241.19	134.3	102.97	88.88	80.01	29.7	194.36	371.22	113.56	157.68	197.09	283.05	113.56	521.76	29.48	169.07	53.19	289.02	27.44	37.05	161.02	153.34	218.79	89.51	150.17	301.33	429.54	162.14	53.19	587.13	332.14	66.65	65.72	466.88	470.14	64.8	57.08	162.14	77.25	31.45	320.8	55.49	71.5	93.35	180.02	64.34	141.02	37.59	83.45	279.14	81.71	91.41	63.45	65.26	42.11	57.49	69.03	95.34	193.01	291.04	128.79	164.42	208.38	417.77	536.45	126.12	163.28	381.68	52.82	31.0	47.84	217.27	81.14	161.02	39.22	40.64	97.36	80.57	159.9	275.28	144.01	125.24	85.22	368.65	53.95	64.8	175.07	59.13	341.51	157.68	124.37	206.94	256.78	463.65	248.0
BTAF1	126.12	186.4	232.94	142.01	111.21	123.5	99.43	134.3	94.01	133.36	133.36	109.66	107.38	460.44	111.99	145.02	226.54	211.31	242.88	78.89	759.08	96.01	165.57	212.78	59.55	62.56	181.28	529.06	120.1	251.48	409.15	90.77	231.32	432.53	361.04	283.05	158.79	76.71	39.79	343.89	158.79	165.57	624.99	629.35	114.36	473.41	97.36	153.34	122.64	202.66	358.54	43.02	73.54	45.53	170.25	457.25	457.25	214.27	157.68	555.41	127.0	241.19	50.27	187.71	76.17	209.84	124.37	164.42	231.32	198.47	316.37	143.01	220.32	139.07	753.83	273.37	180.02	435.55	189.02	66.18	191.67	209.84	341.51	101.54	128.79	199.85	136.19	90.14	420.68	201.25	358.54	170.25	157.68	124.37	154.42	34.51	68.07	114.36	141.02	63.45	55.89	60.82	96.68	138.1	92.05	110.43	493.56	307.69	134.3	447.82	242.88	291.04	503.95	185.11	267.73	251.48	48.52	63.45	122.64	218.79	152.28	204.07	106.63	175.07	109.66	158.79	387.02	197.09	97.36	46.84	35.5	189.02	127.89	77.79	277.2	88.26	343.89	212.78	108.14	226.54	368.65	197.09	82.29
BTBD19	16.27	75.11	77.79	34.02	35.25	28.65	30.34	69.52	57.08	94.01	153.34	175.07	112.77	137.14	33.06	169.07	53.19	72.01	202.66	170.25	77.79	88.88	58.71	145.02	126.12	29.48	145.02	260.38	137.14	134.3	198.47	97.36	251.48	480.04	395.18	161.02	198.47	106.63	82.29	94.01	246.28	165.57	988.12	281.09	31.0	111.99	45.53	28.04	255.0	470.14	173.85	158.79	55.89	35.5	208.38	438.59	162.14	185.11	248.0	389.72	109.66	248.0	59.97	121.79	52.08	532.74	93.35	54.33	193.01	215.77	251.48	120.1	182.55	241.19	656.11	214.27	163.28	273.37	251.48	112.77	58.71	214.27	346.29	23.25	87.65	309.83	152.28	63.0	341.51	90.14	105.89	100.13	221.86	81.14	204.07	47.5	56.68	241.19	116.78	82.87	101.54	128.79	93.35	127.0	77.25	152.28	211.31	181.28	212.78	226.54	314.17	231.32	591.22	173.85	156.59	161.02	90.77	111.21	91.41	135.24	325.29	134.3	138.1	64.34	320.8	152.28	151.22	239.52	125.24	108.14	16.27	106.63	75.11	110.43	159.9	18.97	37.59	67.12	64.34	73.03	208.38	66.18	156.59
