	TCGA.A7.A26I.01A.11R.A169.07.1	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	TCGA.BK.A26L.01A.11R.A277.07
MAGEF1	698.41	780.44	0.0	0.84	674.59	1250.98	785.88	1819.35	1378.57	967.76	941.27	1295.13	866.07	1030.12	733.19	1073.91	1151.06	1242.34	785.88	684.02	1304.15	1883.54	981.29	819.3	1617.0	988.12	915.51	1819.35	1167.14	1143.1	1295.13	1583.71	928.3	1540.37	1277.29	1268.46	1001.93	954.43	1199.98	1127.35	1477.58	1322.37	1259.69	947.83	1477.58	866.07	1199.98	1313.23	1447.15	934.76	1359.57	1088.92	1199.98	1359.57	1561.89	647.07	1427.22	1151.06	1388.16	1104.13	1407.55	1304.15	1359.57	995.0	1651.0	1208.34	1628.26	1191.69	1350.18	921.88	967.76	1088.92	1857.6	1250.98	1268.46	1477.58	1721.16	1519.15	909.17	1295.13	1529.73	848.22	1572.76	1295.13	1397.83	723.08	1088.92	1143.1	1127.35	909.17	1745.2	1295.13	1104.13	1233.75	1111.82	1096.5	1407.55	1359.57	967.76	759.08	1104.13	947.83	1135.2	1199.98	1225.22	1023.0	1628.26	1135.2	1051.79	1008.9	954.43	1268.46	738.29	1167.14	1167.14	1216.75	1277.29	1073.91	1233.75	1350.18	1015.93	1313.23	1191.69	1250.98	1350.18	1259.69	759.08	1268.46	1151.06	660.68	1096.5	1088.92	1073.91	1135.2	1104.13	1111.82	1066.48	848.22	1135.2	1159.07	1044.52	1015.93	1295.13	981.29	1151.06	813.63
MBLAC1	48.18	10.39	0.0	0.22	71.0	68.55	54.33	273.37	381.68	118.43	37.85	137.14	36.79	87.03	68.55	102.97	171.45	87.03	133.36	46.5	84.04	99.43	100.83	48.87	88.26	67.12	62.12	132.44	98.73	61.25	96.01	111.99	93.35	106.63	139.07	212.78	232.94	76.17	130.6	145.02	153.34	113.56	139.07	59.97	106.63	40.93	153.34	79.45	91.41	164.42	163.28	127.89	118.43	122.64	169.07	89.51	56.68	79.45	287.01	103.69	183.82	126.12	129.69	78.34	275.28	185.11	151.22	164.42	145.02	91.41	42.41	173.85	153.34	144.01	83.45	120.1	305.55	123.5	157.68	145.02	117.6	92.7	90.14	100.13	164.42	69.52	100.13	145.02	54.33	101.54	72.01	67.12	162.14	98.04	48.87	170.25	149.12	186.4	91.41	55.89	73.03	95.34	97.36	162.14	78.34	88.26	151.22	104.42	50.98	157.68	58.3	141.02	44.89	183.82	119.26	70.01	124.37	100.83	96.01	102.97	96.01	132.44	129.69	164.42	159.9	102.25	63.45	249.73	79.45	142.01	100.83	63.45	123.5	73.54	81.71	111.99	101.54	124.37	85.22	106.63	73.03	132.44	103.69	138.1	82.87	15.34
MCAT	129.69	155.5	0.0	0.0	483.38	414.87	473.41	1073.91	909.17	629.35	314.17	624.99	384.34	612.11	348.71	825.0	808.0	551.56	607.87	339.14	665.29	961.07	547.75	403.5	796.86	432.53	543.96	629.35	543.96	466.88	693.58	679.29	511.0	483.38	848.22	684.02	866.07	476.71	543.96	674.59	656.11	532.74	713.11	348.71	551.56	177.53	713.11	647.07	486.75	503.95	665.29	679.29	620.67	529.06	813.63	463.65	470.14	503.95	743.43	575.03	693.58	476.71	603.67	934.76	780.44	954.43	409.15	679.29	974.5	447.82	371.22	819.3	780.44	575.03	575.03	629.35	1081.39	718.08	825.0	525.39	301.33	384.34	466.88	587.13	518.15	559.28	571.05	660.68	503.95	629.35	723.08	529.06	591.22	660.68	236.21	854.13	647.07	785.88	547.75	441.64	387.02	358.54	426.57	836.53	559.28	674.59	961.07	669.92	417.77	669.92	420.68	633.73	497.0	860.08	599.49	507.46	848.22	490.14	738.29	743.43	490.14	575.03	532.74	723.08	559.28	791.35	532.74	674.59	728.11	748.61	417.77	341.51	486.75	336.79	460.44	497.0	332.14	466.88	417.77	447.82	368.65	559.28	733.19	356.05	381.68	260.38
MEIS3	202.66	127.89	0.0	0.72	231.32	497.0	92.7	872.1	595.34	703.28	163.28	698.41	239.52	591.22	231.32	733.19	536.45	507.46	947.83	224.97	688.78	651.58	400.71	193.01	748.61	175.07	71.0	397.93	571.05	231.32	872.1	842.36	447.82	536.45	688.78	878.17	941.27	251.48	688.78	753.83	860.08	791.35	514.56	866.07	559.28	59.97	301.33	555.41	435.55	665.29	842.36	842.36	351.14	514.56	813.63	84.63	255.0	638.15	371.22	647.07	780.44	463.65	743.43	152.28	896.64	136.19	665.29	567.1	860.08	130.6	255.0	142.01	748.61	813.63	141.02	660.68	723.08	785.88	264.03	221.86	819.3	66.18	825.0	684.02	567.1	111.21	102.25	414.87	211.31	209.84	74.58	40.07	435.55	400.71	571.05	698.41	775.05	802.41	55.49	249.73	463.65	529.06	226.54	483.38	665.29	591.22	723.08	158.79	169.07	41.22	277.2	759.08	140.04	1030.12	738.29	500.46	921.88	567.1	703.28	438.59	775.05	638.15	547.75	733.19	947.83	825.0	102.97	612.11	121.79	87.03	480.04	400.71	514.56	361.04	454.09	669.92	497.0	825.0	447.82	693.58	450.94	1096.5	450.94	466.88	583.07	163.28
MESP1	58.3	14.67	0.0	0.0	303.44	3372.43	400.71	12676.65	4543.8	4268.94	1127.35	6983.79	248.0	6561.36	651.58	2935.74	9215.48	1909.85	1991.0	295.11	7433.4	5831.91	842.36	915.51	6337.83	507.46	934.76	4543.8	4095.0	780.44	6652.97	7081.29	1794.29	8901.53	4419.52	4038.61	6207.38	1561.89	7911.95	5594.3	3146.52	2720.15	6079.61	1322.37	5831.91	748.61	9540.5	2434.5	1135.2	3349.13	5594.3	6935.54	1397.83	9088.59	4512.4	1208.34	5006.93	2384.37	10296.45	4095.0	4512.4	1487.87	6294.04	17927.91	10512.82	3325.99	2976.74	11345.82	7180.15	1008.9	507.46	1806.78	7331.05	5672.41	1259.69	5219.6	9215.48	9215.48	2209.26	3395.89	6471.02	679.29	6792.79	3742.05	3257.52	1909.85	1594.73	2193.99	4358.66	854.13	6745.86	7749.1	1487.87	2468.49	6037.61	9740.98	4123.49	8134.41	1096.5	363.56	1806.78	1135.2	2555.58	5479.15	2664.15	1096.5	11664.82	2956.17	1030.12	6840.04	336.79	3372.43	264.03	10440.2	5292.48	9344.14	10959.3	3168.41	3419.52	1119.56	9279.58	2090.03	1605.83	8305.36	8421.31	5219.6	595.34	4736.79	2417.67	1135.2	4388.98	624.99	2303.12	620.67	2178.83	2178.83	1051.79	2758.13	2997.45	1015.93	1250.98	3665.02	3955.48	748.61	1487.87	11.73
MFSD12	860.08	703.28	0.0	0.87	954.43	1313.23	819.3	1685.71	2224.63	723.08	698.41	1519.15	698.41	1447.15	616.37	3443.31	1487.87	1044.52	1397.83	409.15	1806.78	1088.92	830.75	1242.34	1407.55	1268.46	954.43	2997.45	1313.23	947.83	1551.09	1104.13	974.5	1111.82	2915.45	1806.78	4769.75	1233.75	1167.14	1183.45	2956.17	647.07	1313.23	802.41	1639.59	813.63	1407.55	1322.37	1096.5	1143.1	1331.57	1447.15	769.69	1183.45	1216.75	1313.23	656.11	1268.46	1617.0	1832.01	1313.23	1151.06	1709.26	1674.06	1781.89	1561.89	1685.71	1322.37	1662.49	890.44	808.0	1143.1	1242.34	866.07	1208.34	1331.57	1437.15	1286.18	1605.83	947.83	1044.52	928.3	813.63	1662.49	1159.07	902.89	1151.06	1208.34	1104.13	1277.29	1322.37	1250.98	698.41	2193.99	896.64	1540.37	1295.13	2384.37	872.1	656.11	669.92	988.12	884.29	1233.75	1250.98	1378.57	1769.57	947.83	890.44	785.88	587.13	988.12	1111.82	1733.13	928.3	1350.18	2004.85	1225.22	1529.73	1143.1	1340.84	1081.39	1151.06	1199.98	2104.58	1529.73	753.83	1208.34	1295.13	1286.18	532.74	825.0	642.59	802.41	872.1	896.64	713.11	612.11	842.36	693.58	769.69	507.46	796.86	540.19	555.41	293.07
MFSD5	363.56	684.02	0.0	0.0	493.56	733.19	414.87	1015.93	813.63	836.53	521.76	738.29	500.46	629.35	529.06	743.43	1225.22	902.89	669.92	503.95	775.05	728.11	679.29	616.37	961.07	559.28	503.95	791.35	808.0	486.75	872.1	638.15	674.59	591.22	954.43	738.29	802.41	555.41	808.0	559.28	728.11	1015.93	743.43	603.67	764.36	555.41	563.18	802.41	607.87	647.07	981.29	698.41	679.29	490.14	674.59	595.34	660.68	825.0	651.58	429.54	591.22	616.37	974.5	656.11	830.75	1119.56	988.12	723.08	830.75	417.77	486.75	414.87	1008.9	830.75	718.08	896.64	1322.37	872.1	842.36	656.11	842.36	503.95	587.13	791.35	642.59	532.74	607.87	559.28	743.43	599.49	713.11	599.49	743.43	954.43	647.07	708.18	595.34	1044.52	473.41	490.14	830.75	909.17	665.29	947.83	775.05	884.29	854.13	651.58	612.11	638.15	599.49	748.61	718.08	974.5	896.64	708.18	1001.93	743.43	995.0	633.73	961.07	928.3	728.11	808.0	947.83	1008.9	483.38	688.78	665.29	591.22	759.08	529.06	808.0	743.43	769.69	723.08	674.59	819.3	848.22	796.86	638.15	872.1	1066.48	679.29	738.29	277.2
MPST	429.54	353.59	0.0	0.43	1250.98	1417.35	1447.15	2739.08	3060.45	2148.82	842.36	1963.57	743.43	1936.53	1088.92	3443.31	3515.68	1757.34	2047.0	669.92	1936.53	2047.0	1551.09	1008.9	2319.15	1350.18	1242.34	3564.78	2255.7	1104.13	2485.67	2178.83	1199.98	1369.04	3280.18	3146.52	6037.61	1350.18	1709.26	2335.28	2875.3	1950.0	2451.44	941.27	2573.36	563.18	3146.52	2018.8	1208.34	2104.58	2520.38	2997.45	1388.16	1561.89	2193.99	2119.22	1088.92	1378.57	2485.67	1295.13	2255.7	1617.0	2061.24	2720.15	2104.58	3235.01	2400.97	4481.23	2434.5	1551.09	884.29	2032.85	2163.77	1857.6	1883.54	1757.34	3395.89	1304.15	2895.31	1769.57	1806.78	1233.75	1286.18	2855.44	1883.54	1378.57	2004.85	2224.63	1104.13	1457.23	1870.53	2520.38	1685.71	3589.58	967.76	2645.74	2004.85	3103.19	2090.03	836.53	915.51	934.76	1529.73	2451.44	1561.89	2335.28	3168.41	1651.0	1175.27	2287.2	1008.9	1685.71	743.43	3018.3	1991.0	2451.44	2032.85	967.76	2303.12	2061.24	1709.26	1697.45	1674.06	3235.01	2956.17	2502.97	2287.2	2133.97	2075.59	2271.4	1250.98	961.07	1628.26	1066.48	1757.34	1199.98	1225.22	1572.76	1340.84	1322.37	909.17	1331.57	1769.57	961.07	1286.18	177.53
MRPL22	435.55	802.41	0.0	0.79	642.59	764.36	713.11	988.12	1030.12	693.58	802.41	819.3	780.44	819.3	723.08	583.07	1487.87	813.63	808.0	693.58	743.43	1081.39	866.07	633.73	988.12	819.3	599.49	1030.12	791.35	785.88	703.28	1066.48	769.69	884.29	1008.9	954.43	723.08	780.44	599.49	909.17	796.86	656.11	813.63	674.59	878.17	713.11	1008.9	713.11	954.43	748.61	909.17	866.07	830.75	1111.82	1081.39	753.83	819.3	775.05	819.3	854.13	854.13	819.3	836.53	1135.2	872.1	1175.27	1030.12	1437.15	928.3	718.08	698.41	1259.69	1037.29	759.08	738.29	802.41	1378.57	921.88	1059.11	759.08	884.29	669.92	941.27	698.41	723.08	796.86	802.41	854.13	688.78	1066.48	1437.15	802.41	713.11	785.88	638.15	890.44	796.86	974.5	854.13	813.63	753.83	612.11	825.0	1059.11	759.08	813.63	1051.79	1008.9	796.86	872.1	642.59	848.22	825.0	1111.82	780.44	642.59	974.5	718.08	854.13	947.83	723.08	738.29	660.68	1023.0	884.29	909.17	872.1	656.11	974.5	1037.29	753.83	647.07	638.15	718.08	872.1	753.83	759.08	665.29	738.29	693.58	791.35	830.75	819.3	796.86	679.29	521.76
MRPL41	275.28	244.57	0.0	0.51	813.63	1909.85	1233.75	7081.29	5403.7	1216.75	896.64	3257.52	1135.2	3820.7	819.3	4671.57	4358.66	1733.13	2417.67	981.29	2573.36	2956.17	2075.59	1233.75	3847.29	1295.13	1572.76	3039.3	2209.26	1096.5	2485.67	3589.58	2319.15	2701.35	4095.0	3874.05	5831.91	1167.14	2835.7	3690.52	4038.61	2777.33	2855.44	674.59	3103.19	1388.16	5913.33	2520.38	1340.84	2645.74	5112.16	4388.98	1745.2	6516.03	4210.15	1331.57	1001.93	1583.71	4328.55	5292.48	6294.04	2609.3	5517.27	4358.66	4575.41	5441.3	3060.45	3491.39	2915.45	1487.87	1111.82	2777.33	3564.78	3235.01	2303.12	3081.75	9409.14	2335.28	4066.71	3146.52	3794.3	1467.37	2090.03	2720.15	3443.31	1551.09	2004.85	4181.07	1870.53	1561.89	5112.16	2816.11	2485.67	3928.15	1159.07	5076.84	5366.37	3372.43	1662.49	571.05	872.1	1304.15	1781.89	5329.3	1857.6	3060.45	6337.83	1950.0	1519.15	4181.07	825.0	3372.43	651.58	5872.48	2777.33	3589.58	4358.66	1378.57	3168.41	4543.8	2451.44	3820.7	2032.85	4937.99	5872.48	3564.78	1447.15	5555.65	2816.11	3124.78	1304.15	1199.98	2319.15	1295.13	1369.04	2875.3	1487.87	2335.28	1508.65	2018.8	1268.46	1819.35	1769.57	1295.13	1508.65	66.18
MRPL43	1304.15	1066.48	0.0	0.58	2178.83	2090.03	1175.27	3146.52	3794.3	3124.78	1757.34	3018.3	1572.76	3168.41	1844.76	3103.19	3928.15	3768.09	2271.4	1781.89	2875.3	2895.31	2485.67	1977.24	3103.19	2255.7	2209.26	2417.67	2701.35	1883.54	3060.45	1870.53	2682.69	2997.45	3349.13	3212.66	2591.27	1977.24	2645.74	2895.31	2875.3	3081.75	3039.3	2032.85	2502.97	1572.76	2609.3	2367.9	2351.53	2520.38	2997.45	3257.52	2271.4	3168.41	2835.7	2319.15	2351.53	2255.7	2627.46	1350.18	2796.65	2287.2	3443.31	3419.52	3081.75	3103.19	2935.74	3742.05	3665.02	3039.3	1923.14	2384.37	3395.89	2434.5	3212.66	3039.3	4358.66	3491.39	3146.52	2739.08	2555.58	1857.6	2178.83	2895.31	2591.27	2384.37	2367.9	2976.74	2591.27	2555.58	2224.63	2335.28	3212.66	2997.45	2047.0	2816.11	2796.65	2915.45	2520.38	1199.98	2240.11	1909.85	2287.2	2976.74	2148.82	2591.27	3349.13	2664.15	1936.53	2555.58	1991.0	2855.44	1896.65	2997.45	3190.46	3443.31	2956.17	2434.5	3564.78	1685.71	2645.74	2915.45	2178.83	2701.35	2835.7	3372.43	2664.15	2468.49	2520.38	3103.19	2835.7	2047.0	2591.27	2591.27	3168.41	2895.31	2682.69	2739.08	2609.3	2997.45	2303.12	3124.78	3103.19	2627.46	2555.58	679.29
MRPL53	872.1	395.18	0.0	0.6	1674.06	1936.53	1286.18	3847.29	3212.66	2468.49	1151.06	2609.3	1159.07	2956.17	1208.34	2875.3	3820.7	2537.92	2682.69	1167.14	2468.49	2739.08	2271.4	1781.89	2816.11	1286.18	2004.85	3639.7	2367.9	1350.18	2935.74	2956.17	1909.85	2485.67	4388.98	3280.18	2835.7	1709.26	2303.12	3190.46	3303.0	2520.38	2645.74	1030.12	2835.7	1388.16	2915.45	2193.99	1651.0	2645.74	2976.74	3235.01	1883.54	2609.3	3515.68	2004.85	1286.18	1628.26	3190.46	3124.78	2119.22	2209.26	3018.3	2367.9	3168.41	4038.61	3491.39	4704.07	2816.11	1963.57	1397.83	2591.27	4152.18	2090.03	2351.53	2119.22	2075.59	3901.01	3103.19	1991.0	2303.12	1457.23	1794.29	2915.45	3190.46	1697.45	2335.28	2664.15	1936.53	1977.24	2018.8	2701.35	2555.58	2303.12	1991.0	2935.74	3168.41	3794.3	2739.08	830.75	1081.39	1397.83	1977.24	3103.19	2163.77	2148.82	4152.18	2032.85	1487.87	2502.97	1175.27	2047.0	995.0	3515.68	2796.65	3614.55	3589.58	1242.34	2609.3	2178.83	1936.53	2451.44	2224.63	3419.52	2520.38	3018.3	1417.35	2855.44	2502.97	2701.35	2739.08	1487.87	2417.67	1832.01	2720.15	2047.0	2075.59	1819.35	2271.4	2555.58	1477.58	1529.73	2645.74	1909.85	2061.24	289.02
MTX1	848.22	587.13	0.0	0.52	941.27	934.76	1015.93	1923.14	1757.34	1467.37	802.41	1369.04	825.0	1388.16	902.89	1467.37	2047.0	1572.76	1304.15	896.64	1457.23	1540.37	1030.12	928.3	1769.57	1208.34	974.5	1216.75	1304.15	934.76	1487.87	1508.65	1119.56	1378.57	1594.73	1781.89	1628.26	1008.9	1369.04	1427.22	1331.57	1313.23	1369.04	866.07	1477.58	1001.93	1540.37	1268.46	974.5	1135.2	1662.49	1457.23	1259.69	1417.35	1697.45	1183.45	1119.56	1096.5	1359.57	1037.29	1286.18	981.29	1572.76	1639.59	2018.8	1769.57	1519.15	1844.76	1709.26	796.86	802.41	1447.15	1709.26	1268.46	1340.84	1199.98	2075.59	1757.34	1769.57	1286.18	1119.56	1044.52	1286.18	1427.22	1199.98	1088.92	1191.69	1242.34	1233.75	1127.35	1135.2	1208.34	1175.27	1540.37	1001.93	1540.37	1015.93	1745.2	1159.07	836.53	981.29	988.12	1167.14	1498.22	1015.93	1250.98	1781.89	1397.83	1015.93	1467.37	802.41	1175.27	872.1	1721.16	1295.13	1447.15	1551.09	1127.35	1540.37	1477.58	1008.9	1233.75	1183.45	1467.37	1191.69	1651.0	1073.91	1250.98	1268.46	1397.83	1119.56	791.35	1044.52	884.29	1191.69	1191.69	988.12	1340.84	1081.39	1044.52	902.89	1397.83	1417.35	974.5	1015.93	679.29
MVB12A	173.85	698.41	0.0	0.67	796.86	854.13	753.83	1191.69	1388.16	1127.35	406.31	1388.16	629.35	954.43	571.05	1519.15	1135.2	1277.29	633.73	547.75	1143.1	1242.34	854.13	616.37	1143.1	713.11	698.41	909.17	1268.46	603.67	1369.04	1159.07	866.07	802.41	974.5	1295.13	1242.34	860.08	1127.35	1143.1	1369.04	1216.75	1135.2	435.55	928.3	713.11	1250.98	813.63	947.83	954.43	1023.0	1277.29	921.88	1388.16	1242.34	525.39	642.59	909.17	1295.13	1001.93	1477.58	915.51	1175.27	733.19	1508.65	995.0	1233.75	896.64	1191.69	660.68	660.68	836.53	1447.15	988.12	884.29	1023.0	1551.09	543.96	1359.57	902.89	1127.35	718.08	759.08	1199.98	1119.56	688.78	780.44	1088.92	872.1	723.08	703.28	1277.29	836.53	1051.79	693.58	1233.75	1151.06	1023.0	426.57	397.93	460.44	473.41	974.5	1175.27	1167.14	830.75	974.5	808.0	629.35	713.11	684.02	954.43	698.41	1135.2	1066.48	1088.92	1135.2	748.61	1044.52	884.29	1059.11	1030.12	981.29	1277.29	915.51	848.22	854.13	872.1	1127.35	836.53	928.3	988.12	961.07	638.15	947.83	995.0	934.76	813.63	842.36	941.27	981.29	915.51	1104.13	836.53	1081.39	511.0
MYL5	198.47	92.05	0.0	0.69	493.56	796.86	551.56	1896.65	1277.29	819.3	423.61	915.51	486.75	1551.09	525.39	3124.78	1340.84	551.56	1030.12	547.75	1259.69	1096.5	638.15	483.38	954.43	591.22	753.83	1721.16	878.17	400.71	1733.13	967.76	723.08	1143.1	1286.18	1259.69	1277.29	674.59	1322.37	1331.57	1167.14	688.78	1340.84	718.08	1127.35	320.8	1551.09	1001.93	785.88	1008.9	1277.29	1794.29	703.28	1844.76	1529.73	813.63	802.41	603.67	1781.89	543.96	1286.18	651.58	1001.93	2537.92	1066.48	1519.15	1540.37	1857.6	1594.73	1001.93	435.55	878.17	836.53	941.27	684.02	967.76	1044.52	1295.13	842.36	808.0	1081.39	583.07	928.3	1135.2	1250.98	366.09	1119.56	819.3	703.28	808.0	1208.34	928.3	713.11	1923.14	454.09	1437.15	1427.22	1127.35	988.12	366.09	450.94	316.37	429.54	1030.12	607.87	813.63	1583.71	1135.2	368.65	1417.35	441.64	1001.93	473.41	2682.69	1081.39	2224.63	1628.26	808.0	1001.93	1081.39	884.29	551.56	1030.12	1936.53	1119.56	1388.16	563.18	1037.29	1104.13	1781.89	559.28	334.46	791.35	368.65	665.29	500.46	547.75	708.18	483.38	518.15	363.56	902.89	1051.79	473.41	417.77	77.79
