	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.HC.A48F.01A.11R.A250.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.YL.A8SC.01A.11R.A37L.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5506.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07
GPR107	77.79	318.57	241.19	351.14	133.36	164.42	129.69	507.46	854.13	1073.91	947.83	981.29	769.69	633.73	1216.75	669.92	607.87	928.3	915.51	674.59	536.45	748.61	759.08	819.3	466.88	1233.75	808.0	521.76	698.41	693.58	579.04	607.87	624.99	759.08	1088.92	1487.87	438.59	679.29	733.19	563.18	575.03	921.88	693.58	616.37	521.76	738.29	830.75	395.18	414.87	1023.0	1023.0	616.37	486.75	1001.93	540.19	651.58	656.11	796.86	607.87	486.75	764.36	830.75	708.18	753.83	698.41	624.99	780.44	988.12	1427.22	684.02	718.08	518.15	974.5	555.41	703.28	759.08	555.41	738.29	748.61	1151.06	854.13	921.88	463.65	753.83	480.04	460.44	591.22	620.67	718.08	769.69	518.15	559.28	490.14	769.69	373.81	728.11	780.44
GRB2	575.03	941.27	674.59	1008.9	540.19	791.35	679.29	995.0	1388.16	1378.57	1286.18	1529.73	1199.98	1037.29	1551.09	896.64	954.43	1806.78	1447.15	1331.57	1037.29	1417.35	1519.15	1498.22	995.0	1467.37	1216.75	1216.75	1030.12	1457.23	1191.69	808.0	1437.15	1143.1	1233.75	1572.76	775.05	1427.22	1127.35	1259.69	769.69	1295.13	1191.69	1242.34	967.76	1127.35	1073.91	703.28	603.67	1832.01	1340.84	1369.04	796.86	1605.83	934.76	954.43	1498.22	1250.98	1135.2	780.44	1242.34	1685.71	1167.14	981.29	1191.69	1119.56	1883.54	1388.16	1487.87	981.29	1199.98	902.89	1540.37	995.0	1295.13	1051.79	830.75	1167.14	830.75	1674.06	1151.06	1674.06	928.3	981.29	1277.29	909.17	1183.45	981.29	1159.07	1183.45	854.13	941.27	921.88	1340.84	1096.5	1359.57	1313.23
GTF2E1	82.29	111.21	65.26	85.22	87.03	47.17	60.82	101.54	170.25	186.4	166.73	246.28	82.87	112.77	171.45	151.22	85.22	180.02	133.36	117.6	145.02	125.24	175.07	189.02	109.66	153.34	164.42	114.36	94.67	82.87	111.99	108.14	117.6	120.1	142.01	139.07	79.45	128.79	114.36	106.63	102.97	155.5	106.63	81.71	92.05	45.53	106.63	88.88	88.26	130.6	189.02	98.73	124.37	194.36	134.3	92.7	170.25	159.9	128.79	94.67	125.24	173.85	149.12	105.15	95.34	99.43	191.67	140.04	167.9	123.5	111.21	115.16	197.09	96.01	142.01	118.43	94.01	121.79	139.07	194.36	147.06	187.71	107.38	100.13	90.77	98.73	109.66	114.36	108.14	120.94	91.41	148.09	114.36	137.14	178.77	87.65	105.89
GTF2I	1662.49	1561.89	2163.77	1794.29	1572.76	1388.16	1111.82	2468.49	4639.29	3955.48	5292.48	4268.94	2555.58	3257.52	3847.29	3039.3	2956.17	4095.0	4512.4	3212.66	3039.3	3820.7	5219.6	4239.45	2855.44	3901.01	6121.9	3235.01	4268.94	2720.15	3325.99	2701.35	3443.31	3235.01	4903.87	4607.24	3395.89	3212.66	3280.18	3768.09	3081.75	3443.31	3491.39	2664.15	2796.65	3794.3	4095.0	1674.06	3039.3	4210.15	4671.57	2502.97	2090.03	4575.41	3742.05	2875.3	3564.78	3257.52	3235.01	3257.52	3081.75	4769.75	3564.78	2555.58	2609.3	3820.7	4704.07	3901.01	4095.0	2835.7	3820.7	3768.09	5711.87	3515.68	2976.74	3419.52	2682.69	2915.45	4328.55	5292.48	3716.2	3847.29	3742.05	3212.66	2537.92	3212.66	3901.01	3018.3	4038.61	3372.43	3395.89	2976.74	3639.7	2855.44	1977.24	3325.99	3146.52
GTF3C4	22.1	37.85	26.1	36.53	47.5	41.52	36.01	92.7	248.0	279.14	248.0	248.0	127.0	115.97	241.19	165.57	143.01	264.03	273.37	131.51	118.43	167.9	221.86	249.73	109.66	237.86	265.87	146.03	123.5	157.68	129.69	117.6	143.01	149.12	264.03	248.0	112.77	154.42	152.28	140.04	111.99	224.97	156.59	120.94	116.78	142.01	237.86	90.77	78.34	226.54	371.22	147.06	87.65	264.03	127.0	103.69	149.12	133.36	126.12	110.43	178.77	211.31	183.82	134.3	140.04	136.19	244.57	194.36	271.48	119.26	149.12	146.03	279.14	111.21	145.02	148.09	82.29	134.3	170.25	232.94	267.73	277.2	100.83	138.1	99.43	116.78	108.14	127.89	155.5	167.9	88.26	113.56	118.43	145.02	102.25	138.1	145.02
HERPUD2	351.14	248.0	229.72	253.23	191.67	299.25	152.28	182.55	559.28	417.77	571.05	395.18	212.78	220.32	389.72	291.04	303.44	387.02	514.56	343.89	283.05	332.14	376.41	376.41	271.48	248.0	723.08	287.01	262.2	303.44	285.03	180.02	318.57	285.03	497.0	420.68	246.28	224.97	316.37	279.14	295.11	305.55	273.37	299.25	231.32	329.84	376.41	166.73	204.07	466.88	647.07	289.02	248.0	423.61	293.07	221.86	312.0	307.69	249.73	239.52	387.02	366.09	281.09	260.38	226.54	325.29	353.59	466.88	307.69	265.87	267.73	291.04	454.09	336.79	267.73	283.05	220.32	264.03	295.11	316.37	417.77	511.0	277.2	295.11	223.41	258.57	236.21	283.05	339.14	356.05	309.83	293.07	275.28	429.54	356.05	271.48	293.07
HS2ST1	159.9	110.43	204.07	131.51	167.9	133.36	164.42	195.72	547.75	796.86	260.38	860.08	291.04	177.53	842.36	125.24	187.71	713.11	409.15	226.54	172.65	212.78	256.78	532.74	199.85	121.79	366.09	217.27	237.86	325.29	198.47	273.37	228.13	825.0	500.46	178.77	198.47	167.9	320.8	371.22	205.5	223.41	325.29	229.72	173.85	229.72	202.66	180.02	139.07	583.07	583.07	387.02	169.07	624.99	239.52	116.78	204.07	387.02	223.41	153.34	237.86	285.03	493.56	559.28	199.85	176.29	708.18	323.03	507.46	208.38	221.86	376.41	591.22	178.77	775.05	343.89	104.42	237.86	169.07	476.71	358.54	323.03	151.22	171.45	275.28	265.87	165.57	186.4	158.79	241.19	171.45	279.14	281.09	273.37	212.78	202.66	214.27
IKBKAP	118.43	228.13	264.03	256.78	389.72	195.72	206.94	384.34	454.09	450.94	417.77	518.15	348.71	314.17	660.68	351.14	320.8	409.15	400.71	336.79	271.48	503.95	629.35	525.39	444.72	775.05	579.04	379.04	283.05	400.71	381.68	262.2	341.51	450.94	579.04	753.83	299.25	291.04	323.03	435.55	466.88	447.82	389.72	303.44	316.37	426.57	438.59	353.59	314.17	444.72	497.0	325.29	285.03	497.0	279.14	327.56	379.04	480.04	409.15	368.65	348.71	466.88	480.04	387.02	397.93	376.41	547.75	525.39	808.0	334.46	384.34	420.68	463.65	358.54	341.51	426.57	307.69	387.02	579.04	743.43	384.34	486.75	312.0	387.02	301.33	309.83	346.29	371.22	387.02	371.22	285.03	441.64	470.14	323.03	201.25	231.32	438.59
INVS	53.19	99.43	75.11	82.29	53.19	141.02	100.13	81.14	256.78	190.34	211.31	221.86	118.43	133.36	297.17	194.36	153.34	234.57	228.13	137.14	108.9	212.78	211.31	285.03	153.34	201.25	215.77	123.5	88.26	121.79	140.04	78.89	164.42	173.85	221.86	231.32	115.16	125.24	132.44	158.79	87.65	191.67	176.29	111.21	109.66	128.79	204.07	100.83	97.36	201.25	241.19	135.24	104.42	202.66	99.43	105.15	177.53	180.02	161.02	82.87	177.53	190.34	169.07	172.65	144.01	122.64	187.71	236.21	283.05	113.56	155.5	103.69	162.14	88.88	155.5	143.01	114.36	162.14	161.02	285.03	180.02	232.94	100.13	150.17	108.14	125.24	181.28	120.94	181.28	152.28	119.26	137.14	117.6	172.65	127.89	107.38	150.17
IQCE	76.17	111.21	77.79	89.51	47.5	60.39	52.45	141.02	341.51	327.56	447.82	226.54	164.42	255.0	412.0	297.17	151.22	204.07	244.57	244.57	206.94	164.42	187.71	262.2	100.83	291.04	518.15	172.65	457.25	150.17	167.9	111.99	195.72	301.33	454.09	303.44	127.89	140.04	189.02	133.36	178.77	220.32	173.85	277.2	166.73	159.9	271.48	167.9	102.97	318.57	470.14	195.72	116.78	215.77	218.79	142.01	264.03	231.32	156.59	237.86	281.09	178.77	193.01	239.52	255.0	332.14	500.46	202.66	376.41	193.01	318.57	105.15	279.14	215.77	242.88	169.07	183.82	162.14	309.83	260.38	242.88	297.17	211.31	256.78	94.67	149.12	178.77	198.47	239.52	197.09	202.66	215.77	275.28	204.07	80.57	198.47	137.14
JARID2	40.07	28.65	31.22	65.72	52.45	40.36	34.51	57.49	273.37	267.73	253.23	189.02	94.01	88.88	155.5	129.69	100.83	146.03	249.73	146.03	96.01	165.57	217.27	231.32	118.43	144.01	215.77	139.07	205.5	115.16	127.89	69.03	137.14	132.44	271.48	260.38	120.1	121.79	171.45	123.5	108.9	186.4	105.89	171.45	92.7	112.77	223.41	70.01	79.45	255.0	164.42	130.6	73.03	173.85	108.14	79.45	165.57	111.99	108.14	111.99	140.04	133.36	146.03	131.51	108.9	157.68	191.67	121.79	220.32	108.9	114.36	111.99	182.55	98.73	129.69	147.06	66.18	135.24	183.82	129.69	325.29	209.84	87.65	124.37	88.88	110.43	156.59	120.94	134.3	129.69	116.78	131.51	122.64	105.15	41.81	78.34	120.94
KDM4C	60.39	112.77	88.88	106.63	96.01	118.43	74.06	193.01	379.04	339.14	267.73	305.55	279.14	289.02	314.17	221.86	221.86	281.09	351.14	262.2	186.4	358.54	291.04	332.14	193.01	409.15	297.17	260.38	287.01	297.17	289.02	260.38	293.07	381.68	135.24	325.29	229.72	209.84	343.89	258.57	301.33	334.46	260.38	265.87	214.27	460.44	262.2	182.55	150.17	323.03	295.11	267.73	206.94	314.17	217.27	185.11	229.72	255.0	258.57	217.27	236.21	314.17	301.33	224.97	246.28	356.05	466.88	281.09	212.78	228.13	226.54	356.05	253.23	215.77	358.54	273.37	195.72	279.14	301.33	307.69	371.22	356.05	224.97	267.73	165.57	260.38	287.01	229.72	275.28	265.87	237.86	303.44	246.28	246.28	142.01	189.02	249.73
KIAA0368	293.07	759.08	348.71	647.07	309.83	490.14	226.54	1417.35	2178.83	2047.0	1457.23	2075.59	1397.83	1508.65	2255.7	1909.85	1135.2	1674.06	1844.76	1388.16	854.13	1781.89	1832.01	2319.15	1268.46	3018.3	2018.8	1250.98	1242.34	1407.55	1407.55	1313.23	1208.34	1977.24	1709.26	3124.78	1225.22	1191.69	1242.34	1104.13	1023.0	1781.89	1286.18	1104.13	1508.65	1233.75	1477.58	1388.16	1151.06	1628.26	2434.5	1508.65	1313.23	1685.71	1697.45	1286.18	1225.22	1781.89	1447.15	1096.5	1407.55	1651.0	1331.57	2555.58	1529.73	1794.29	1709.26	1662.49	2434.5	1233.75	1583.71	1359.57	2032.85	1286.18	1561.89	1397.83	1369.04	1498.22	2193.99	2224.63	2004.85	1572.76	1175.27	1096.5	878.17	1417.35	1286.18	967.76	1417.35	1457.23	1304.15	1457.23	1896.65	902.89	473.41	884.29	915.51
KIAA0895	33.3	38.95	19.39	25.91	35.76	36.79	32.59	73.03	137.14	138.1	149.12	137.14	101.54	100.83	158.79	134.3	113.56	157.68	117.6	80.01	87.65	98.73	127.89	159.9	119.26	163.28	186.4	98.73	112.77	104.42	79.45	17.9	66.65	122.64	217.27	180.02	99.43	75.64	84.04	94.67	102.25	85.82	97.36	81.71	111.21	35.5	150.17	61.25	52.82	138.1	244.57	105.89	61.68	140.04	102.25	68.55	118.43	175.07	126.12	71.0	74.06	99.43	158.79	88.26	75.11	63.0	176.29	186.4	124.37	55.49	118.43	126.12	137.14	58.71	130.6	99.43	75.64	87.03	123.5	87.03	105.89	171.45	67.59	71.5	62.12	94.67	40.93	110.43	84.04	95.34	86.43	82.29	92.7	115.16	101.54	84.04	61.68
KIAA0947	85.82	62.12	50.63	85.22	71.5	66.18	29.7	85.82	301.33	291.04	262.2	287.01	149.12	129.69	206.94	153.34	185.11	246.28	277.2	154.42	116.78	171.45	242.88	262.2	114.36	193.01	368.65	149.12	147.06	156.59	141.02	98.04	173.85	163.28	212.78	264.03	111.21	124.37	186.4	139.07	132.44	234.57	153.34	162.14	125.24	156.59	190.34	98.04	88.26	285.03	387.02	162.14	96.01	497.0	132.44	102.25	191.67	154.42	126.12	113.56	193.01	258.57	187.71	161.02	156.59	142.01	224.97	271.48	190.34	129.69	159.9	137.14	271.48	134.3	150.17	165.57	96.68	161.02	202.66	157.68	253.23	256.78	102.25	164.42	112.77	117.6	141.02	145.02	161.02	183.82	118.43	124.37	128.79	191.67	115.16	155.5	185.11
KIDINS220	82.87	121.79	108.14	100.83	78.34	151.22	76.17	231.32	825.0	571.05	595.34	748.61	329.84	299.25	633.73	289.02	366.09	612.11	708.18	353.59	320.8	454.09	603.67	624.99	371.22	470.14	660.68	339.14	323.03	493.56	403.5	231.32	392.44	420.68	555.41	684.02	283.05	327.56	432.53	387.02	316.37	642.59	397.93	400.71	341.51	638.15	514.56	129.69	191.67	703.28	684.02	412.0	231.32	684.02	351.14	218.79	400.71	356.05	371.22	273.37	466.88	679.29	426.57	395.18	358.54	447.82	698.41	656.11	603.67	320.8	356.05	343.89	718.08	228.13	400.71	397.93	231.32	353.59	384.34	412.0	575.03	603.67	244.57	371.22	291.04	348.71	435.55	341.51	457.25	438.59	353.59	267.73	303.44	414.87	186.4	395.18	454.09
KIF21A	151.22	339.14	223.41	202.66	181.28	198.47	122.64	133.36	1023.0	796.86	490.14	529.06	381.68	275.28	1498.22	251.48	312.0	698.41	525.39	320.8	195.72	368.65	486.75	665.29	182.55	460.44	486.75	320.8	150.17	368.65	285.03	182.55	206.94	954.43	612.11	603.67	206.94	329.84	256.78	279.14	397.93	674.59	244.57	285.03	253.23	409.15	381.68	229.72	171.45	400.71	651.58	269.6	275.28	1051.79	265.87	264.03	283.05	529.06	139.07	244.57	323.03	591.22	656.11	412.0	279.14	329.84	1159.07	454.09	759.08	260.38	232.94	529.06	909.17	234.57	536.45	460.44	212.78	423.61	307.69	1008.9	444.72	575.03	194.36	287.01	164.42	234.57	271.48	314.17	256.78	363.56	291.04	403.5	279.14	329.84	232.94	258.57	397.93
KLK2	1.55	0.0	3.29	3.82	1.58	0.0	0.0	520665.48	93325.55	163620.18	148488.36	116501.39	391864.76	244588.0	132900.7	280957.98	288856.81	174152.51	96616.71	329517.51	284880.02	353168.2	184082.4	191899.64	249727.34	204252.32	167058.21	324980.94	309589.14	350728.68	378516.38	99333.0	241220.67	353168.2	175363.84	229795.93	334117.42	341137.96	311742.51	378516.38	383800.28	153724.82	288856.81	244588.0	280957.98	386469.83	360589.03	341137.96	443937.41	182810.84	93325.55	292889.12	338781.54	131982.68	279017.26	269512.87	294926.33	311742.51	363097.14	324980.94	294926.33	142439.51	329517.51	373305.21	316094.29	303217.87	116501.39	320506.81	301123.38	419990.32	345900.08	334117.42	177811.84	311742.51	331809.5	324980.94	279017.26	355624.68	437825.58	290865.98	195931.88	119776.72	265802.39	331809.5	244588.0	375901.76	389157.95	299043.36	365622.68	279017.26	299043.36	383800.28	402881.61	284880.02	322736.12	284880.02	370726.6
KRIT1	204.07	163.28	114.36	180.02	139.07	202.66	57.89	195.72	651.58	406.31	607.87	500.46	269.6	256.78	540.19	336.79	327.56	435.55	579.04	327.56	258.57	312.0	366.09	486.75	273.37	366.09	791.35	348.71	320.8	283.05	348.71	211.31	358.54	368.65	444.72	599.49	265.87	180.02	387.02	269.6	316.37	473.41	325.29	255.0	258.57	406.31	395.18	246.28	166.73	500.46	728.11	358.54	265.87	543.96	353.59	239.52	346.29	329.84	341.51	260.38	371.22	493.56	366.09	368.65	267.73	285.03	514.56	423.61	435.55	283.05	334.46	332.14	529.06	248.0	457.25	346.29	228.13	351.14	389.72	379.04	500.46	480.04	316.37	346.29	217.27	244.57	316.37	279.14	397.93	368.65	279.14	275.28	279.14	493.56	376.41	269.6	438.59
KRR1	400.71	291.04	204.07	241.19	289.02	220.32	82.87	325.29	836.53	764.36	624.99	954.43	473.41	417.77	854.13	629.35	476.71	896.64	743.43	567.1	420.68	629.35	769.69	981.29	466.88	540.19	620.67	423.61	348.71	555.41	551.56	435.55	480.04	441.64	651.58	878.17	397.93	490.14	493.56	395.18	473.41	656.11	571.05	417.77	480.04	435.55	536.45	444.72	346.29	559.28	698.41	753.83	429.54	733.19	669.92	447.82	612.11	444.72	1447.15	389.72	493.56	860.08	684.02	616.37	339.14	412.0	802.41	785.88	1051.79	366.09	651.58	525.39	884.29	423.61	563.18	450.94	457.25	529.06	497.0	532.74	547.75	1199.98	432.53	521.76	361.04	429.54	551.56	423.61	575.03	497.0	414.87	514.56	507.46	647.07	616.37	327.56	555.41
LMTK2	71.5	86.43	83.45	100.13	42.41	82.87	63.89	117.6	277.2	293.07	323.03	287.01	226.54	183.82	223.41	205.5	147.06	206.94	262.2	164.42	181.28	217.27	249.73	297.17	144.01	228.13	395.18	165.57	236.21	186.4	120.94	89.51	147.06	267.73	384.34	223.41	128.79	187.71	186.4	149.12	123.5	208.38	155.5	182.55	193.01	180.02	215.77	114.36	106.63	341.51	323.03	198.47	122.64	262.2	173.85	111.99	198.47	193.01	145.02	118.43	205.5	226.54	242.88	220.32	189.02	147.06	291.04	283.05	348.71	142.01	209.84	154.42	283.05	115.16	211.31	221.86	127.0	166.73	269.6	191.67	253.23	236.21	136.19	178.77	150.17	105.15	182.55	145.02	181.28	223.41	177.53	169.07	147.06	152.28	55.1	134.3	115.16
LRIG2	35.76	20.26	29.27	27.44	40.36	37.59	13.22	39.79	164.42	92.7	120.94	127.0	88.26	62.56	134.3	68.55	100.13	96.68	147.06	111.99	91.41	125.24	159.9	131.51	84.63	116.78	108.9	112.77	88.26	84.04	77.79	51.35	94.01	103.69	113.56	131.51	53.57	87.65	142.01	103.69	80.01	125.24	130.6	88.88	106.63	171.45	92.05	63.0	55.89	154.42	151.22	129.69	78.34	154.42	83.45	69.52	108.14	94.01	88.26	82.29	92.05	149.12	115.16	103.69	63.89	133.36	197.09	111.21	169.07	90.77	87.03	66.18	131.51	87.65	133.36	112.77	54.33	93.35	137.14	106.63	197.09	178.77	84.04	103.69	50.63	110.43	205.5	90.77	147.06	88.88	86.43	94.67	68.55	117.6	94.67	92.05	139.07
MASTL	53.57	27.64	40.07	46.84	52.08	51.35	12.0	54.72	108.9	49.21	75.11	118.43	82.87	74.06	111.99	53.95	59.97	95.34	114.36	100.83	67.59	70.01	105.15	79.45	92.7	142.01	71.5	50.98	55.89	73.03	80.01	52.82	84.04	93.35	72.01	96.68	75.11	66.18	92.05	72.52	69.03	100.83	76.17	63.0	84.04	90.77	61.25	102.97	62.56	85.22	96.68	74.58	68.55	107.38	74.06	63.89	88.88	69.52	66.18	55.49	84.63	120.1	90.14	85.22	57.49	46.18	97.36	118.43	92.7	59.13	85.22	76.17	91.41	58.71	100.83	47.84	52.45	108.9	63.45	124.37	89.51	108.9	69.03	88.26	63.45	53.95	61.25	67.12	66.65	67.12	57.89	54.33	69.03	82.29	54.72	56.68	106.63
MED13L	58.71	67.12	43.63	48.52	40.07	102.25	49.91	87.03	791.35	674.59	620.67	620.67	155.5	199.85	323.03	242.88	251.48	525.39	571.05	277.2	208.38	312.0	547.75	500.46	208.38	376.41	587.13	223.41	327.56	264.03	256.78	122.64	264.03	339.14	406.31	748.61	291.04	237.86	314.17	241.19	169.07	412.0	285.03	336.79	197.09	432.53	444.72	78.89	90.14	674.59	728.11	305.55	127.0	543.96	267.73	139.07	348.71	277.2	309.83	166.73	395.18	529.06	356.05	403.5	217.27	265.87	579.04	620.67	559.28	167.9	234.57	218.79	547.75	154.42	379.04	303.44	137.14	218.79	348.71	463.65	599.49	738.29	169.07	260.38	153.34	211.31	318.57	217.27	368.65	325.29	217.27	182.55	246.28	334.46	109.66	323.03	267.73
MED14	151.22	111.21	92.7	111.99	126.12	146.03	129.69	172.65	708.18	521.76	426.57	563.18	191.67	183.82	591.22	312.0	269.6	460.44	669.92	271.48	234.57	366.09	454.09	620.67	229.72	403.5	500.46	226.54	165.57	332.14	279.14	218.79	265.87	466.88	420.68	830.75	205.5	316.37	297.17	249.73	208.38	529.06	320.8	229.72	201.25	473.41	503.95	253.23	186.4	395.18	466.88	277.2	167.9	518.15	301.33	218.79	307.69	343.89	327.56	211.31	339.14	660.68	366.09	470.14	218.79	389.72	525.39	450.94	423.61	191.67	228.13	318.57	514.56	258.57	571.05	320.8	201.25	356.05	403.5	511.0	521.76	373.81	208.38	264.03	217.27	204.07	334.46	249.73	389.72	264.03	246.28	226.54	314.17	389.72	215.77	269.6	283.05
MED17	237.86	171.45	195.72	214.27	356.05	239.52	94.01	381.68	854.13	728.11	563.18	928.3	389.72	426.57	633.73	616.37	583.07	825.0	813.63	470.14	463.65	616.37	884.29	559.28	612.11	802.41	796.86	525.39	348.71	406.31	493.56	426.57	555.41	444.72	1081.39	775.05	339.14	379.04	555.41	444.72	460.44	607.87	579.04	387.02	536.45	848.22	909.17	429.54	371.22	536.45	954.43	728.11	339.14	848.22	651.58	567.1	551.56	555.41	532.74	438.59	500.46	764.36	642.59	587.13	329.84	536.45	890.44	769.69	638.15	389.72	470.14	497.0	915.51	525.39	603.67	473.41	447.82	599.49	854.13	753.83	825.0	848.22	417.77	507.46	406.31	423.61	532.74	420.68	607.87	571.05	567.1	547.75	607.87	493.56	432.53	368.65	651.58
MGA	22.92	21.63	28.24	30.34	30.34	36.79	16.63	68.07	368.65	295.11	197.09	256.78	105.15	100.83	221.86	126.12	113.56	229.72	318.57	127.89	105.89	121.79	228.13	293.07	74.06	149.12	297.17	119.26	120.94	141.02	98.73	100.83	136.19	140.04	147.06	279.14	63.89	109.66	161.02	111.99	90.77	232.94	151.22	123.5	105.89	180.02	161.02	61.68	54.72	305.55	289.02	147.06	72.52	273.37	108.14	69.03	132.44	105.89	90.77	82.29	178.77	229.72	170.25	141.02	113.56	132.44	301.33	281.09	208.38	115.16	123.5	121.79	273.37	81.14	142.01	149.12	73.03	138.1	135.24	145.02	241.19	260.38	81.14	129.69	78.89	83.45	139.07	94.01	139.07	139.07	97.36	100.83	108.14	154.42	81.71	134.3	134.3
NBPF10	144.01	195.72	181.28	273.37	239.52	327.56	80.57	224.97	915.51	651.58	638.15	753.83	273.37	400.71	669.92	438.59	551.56	507.46	444.72	500.46	376.41	532.74	483.38	540.19	366.09	483.38	507.46	353.59	503.95	301.33	275.28	307.69	417.77	607.87	511.0	802.41	271.48	314.17	412.0	253.23	521.76	480.04	397.93	543.96	332.14	476.71	802.41	256.78	295.11	463.65	660.68	417.77	285.03	575.03	480.04	389.72	514.56	466.88	242.88	693.58	476.71	583.07	500.46	493.56	575.03	743.43	599.49	518.15	579.04	371.22	532.74	444.72	555.41	551.56	429.54	450.94	395.18	547.75	743.43	785.88	358.54	660.68	503.95	660.68	262.2	429.54	368.65	493.56	493.56	476.71	441.64	529.06	679.29	295.11	129.69	299.25	447.82
