	TCGA.B2.5641.01A.01R.1541.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.B0.4848.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4871.01A.01R.1305.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.YF7O.0626.SM.4W21R	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.12584.1426.SM.5EGJ9	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QXCU.0626.SM.2TC69	GTEX.13OVH.1026.SM.5J2NP	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13PVQ.0926.SM.5IJFD	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.ZDXO.1326.SM.57WBS	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.PX3G.0526.SM.2I3EM	GTEX.OHPL.0526.SM.3NM8U	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
PLEK2	323.03	264.03	167.9	255.0	181.28	251.48	423.61	316.37	441.64	450.94	647.07	728.11	293.07	341.51	148.09	511.0	444.72	98.73	457.25	708.18	236.21	218.79	117.6	403.5	551.56	167.9	111.99	297.17	363.56	387.02	723.08	166.73	239.52	81.71	24.99	62.12	146.03	74.06	120.1	14.89	232.94	36.01	123.5	32.59	45.53	15.11	56.28	223.41	169.07	48.18	110.43	28.86	128.79	150.17	38.95	80.01	58.71	67.59	28.24	53.57	80.57	60.39	22.43	26.67	447.82	20.26	198.47	69.52	182.55	26.28	14.56	45.53	26.86	9.41	21.32	32.82	47.84	134.3	115.97	58.71	246.28	102.97	825.0	151.22	87.03	111.21	26.47	86.43	414.87	30.78	47.5	23.76	77.79	15.11	177.53	42.71	13.22	87.03	15.11	130.6
PMS2	291.04	285.03	293.07	244.57	289.02	273.37	392.44	327.56	301.33	170.25	217.27	206.94	159.9	190.34	279.14	264.03	138.1	269.6	215.77	132.44	170.25	283.05	277.2	173.85	175.07	159.9	215.77	191.67	303.44	158.79	295.11	318.57	169.07	47.5	58.3	103.69	108.9	148.09	85.82	37.85	69.52	99.43	106.63	22.59	88.26	56.28	40.93	157.68	141.02	128.79	56.68	50.27	57.08	115.97	42.71	135.24	34.26	82.29	67.59	34.51	47.84	205.5	94.01	94.01	31.9	56.28	129.69	146.03	115.97	77.25	65.72	72.01	65.26	59.55	76.71	45.21	105.89	102.97	158.79	64.8	111.21	81.71	193.01	77.25	132.44	120.94	183.82	137.14	118.43	83.45	128.79	135.24	37.32	29.27	52.08	18.7	100.83	55.49	60.82	51.71
PNPO	1119.56	473.41	693.58	738.29	571.05	591.22	567.1	624.99	902.89	343.89	583.07	423.61	780.44	450.94	532.74	748.61	473.41	679.29	466.88	361.04	860.08	679.29	733.19	583.07	334.46	414.87	361.04	559.28	497.0	417.77	769.69	486.75	579.04	353.59	103.69	447.82	231.32	303.44	287.01	131.51	325.29	273.37	211.31	101.54	291.04	114.36	249.73	287.01	273.37	358.54	316.37	119.26	363.56	429.54	198.47	314.17	202.66	289.02	169.07	178.77	135.24	341.51	246.28	146.03	57.89	373.81	463.65	432.53	181.28	287.01	143.01	371.22	251.48	199.85	275.28	155.5	429.54	242.88	432.53	269.6	379.04	339.14	262.2	265.87	293.07	287.01	521.76	521.76	256.78	389.72	356.05	148.09	136.19	99.43	201.25	100.83	307.69	208.38	249.73	145.02
PRKAG1	1268.46	1662.49	1594.73	1151.06	1378.57	1639.59	1832.01	1819.35	1617.0	1286.18	1551.09	1322.37	1208.34	1175.27	1277.29	1167.14	1259.69	1651.0	1277.29	1081.39	1286.18	1477.58	1467.37	1781.89	1151.06	1350.18	1233.75	1183.45	1369.04	1023.0	1175.27	1498.22	1508.65	775.05	348.71	1378.57	753.83	1191.69	947.83	503.95	808.0	896.64	1066.48	269.6	1143.1	743.43	567.1	1159.07	1127.35	1378.57	890.44	567.1	928.3	1378.57	536.45	1151.06	457.25	1015.93	878.17	389.72	785.88	1457.23	723.08	497.0	239.52	723.08	1662.49	1397.83	1044.52	669.92	629.35	830.75	909.17	651.58	759.08	438.59	1250.98	1015.93	1225.22	733.19	1233.75	684.02	1697.45	679.29	1208.34	941.27	1437.15	2193.99	1167.14	1175.27	1359.57	728.11	603.67	587.13	607.87	264.03	896.64	688.78	629.35	525.39
PSPH	277.2	397.93	802.41	269.6	476.71	612.11	536.45	1199.98	368.65	237.86	551.56	241.19	262.2	454.09	307.69	293.07	172.65	339.14	190.34	265.87	320.8	346.29	703.28	173.85	176.29	237.86	223.41	503.95	281.09	262.2	334.46	239.52	381.68	113.56	55.49	138.1	85.22	138.1	97.36	47.5	71.0	140.04	149.12	36.79	130.6	21.63	31.45	119.26	215.77	130.6	173.85	98.73	135.24	151.22	96.01	173.85	30.12	45.85	29.48	76.17	82.87	95.34	16.03	44.57	39.22	70.01	248.0	301.33	64.34	56.28	32.13	87.03	68.55	109.66	121.79	79.45	148.09	87.65	414.87	23.76	218.79	283.05	142.01	59.97	202.66	197.09	195.72	283.05	183.82	154.42	169.07	95.34	77.25	59.13	48.52	53.95	54.33	28.45	59.55	90.77
PTCD2	126.12	157.68	146.03	74.06	99.43	128.79	127.0	105.89	111.21	66.18	95.34	82.29	64.8	81.14	96.68	141.02	88.26	153.34	69.03	83.45	115.97	127.0	145.02	152.28	84.04	88.88	94.67	74.58	92.7	83.45	71.0	164.42	94.01	36.27	22.26	70.51	47.5	74.58	38.95	14.78	41.52	59.97	74.06	29.91	65.72	30.56	26.1	82.87	90.77	51.35	42.71	26.28	44.89	90.77	31.9	89.51	25.17	40.36	58.71	11.64	28.45	83.45	35.0	30.56	13.52	22.75	86.43	105.15	55.49	22.43	31.0	42.11	29.48	30.78	33.54	18.84	73.03	49.91	118.43	42.71	98.73	37.05	96.68	25.17	87.03	83.45	72.01	94.01	88.88	63.45	52.82	55.49	32.36	24.46	38.95	15.45	48.52	31.67	32.13	18.97
PWP1	842.36	941.27	902.89	738.29	674.59	1111.82	1073.91	1388.16	1119.56	830.75	1119.56	1051.79	642.59	693.58	708.18	915.51	902.89	995.0	854.13	728.11	995.0	825.0	941.27	1208.34	860.08	796.86	684.02	616.37	1066.48	718.08	890.44	825.0	854.13	511.0	346.29	941.27	518.15	571.05	647.07	403.5	532.74	511.0	733.19	289.02	647.07	571.05	381.68	624.99	651.58	665.29	941.27	336.79	842.36	674.59	303.44	647.07	341.51	595.34	872.1	205.5	514.56	884.29	353.59	285.03	265.87	392.44	848.22	967.76	536.45	341.51	403.5	435.55	624.99	460.44	476.71	258.57	660.68	486.75	536.45	941.27	651.58	563.18	759.08	312.0	775.05	571.05	633.73	954.43	591.22	848.22	718.08	373.81	291.04	426.57	316.37	348.71	470.14	518.15	403.5	351.14
RFC5	303.44	256.78	271.48	195.72	320.8	412.0	293.07	603.67	368.65	309.83	348.71	397.93	199.85	297.17	281.09	237.86	229.72	339.14	223.41	214.27	351.14	329.84	500.46	406.31	258.57	334.46	251.48	198.47	351.14	218.79	265.87	285.03	221.86	104.42	85.82	162.14	98.73	229.72	152.28	43.63	93.35	217.27	287.01	64.8	161.02	99.43	54.72	297.17	255.0	215.77	97.36	71.5	107.38	189.02	66.18	291.04	67.59	132.44	114.36	42.11	75.64	260.38	105.89	94.01	29.91	68.55	403.5	215.77	204.07	71.0	57.89	90.77	71.0	84.63	114.36	57.49	187.71	120.94	325.29	103.69	199.85	115.16	312.0	128.79	353.59	228.13	218.79	220.32	260.38	162.14	182.55	193.01	75.11	58.71	73.03	35.76	108.14	82.87	82.29	72.52
RMND1	392.44	738.29	679.29	688.78	532.74	329.84	819.3	470.14	426.57	713.11	397.93	371.22	571.05	473.41	295.11	1457.23	332.14	1030.12	872.1	500.46	297.17	348.71	457.25	366.09	753.83	591.22	395.18	480.04	497.0	493.56	583.07	366.09	529.06	131.51	125.24	392.44	164.42	403.5	258.57	72.01	214.27	291.04	205.5	90.77	277.2	115.97	147.06	320.8	325.29	255.0	156.59	153.34	217.27	307.69	127.0	262.2	110.43	166.73	177.53	98.73	173.85	323.03	231.32	158.79	59.97	152.28	387.02	334.46	236.21	183.82	110.43	273.37	172.65	126.12	195.72	62.56	305.55	291.04	327.56	281.09	265.87	193.01	540.19	189.02	366.09	373.81	279.14	417.77	363.56	204.07	323.03	214.27	152.28	111.99	162.14	87.65	248.0	136.19	201.25	159.9
RNF135	769.69	679.29	802.41	902.89	698.41	819.3	802.41	902.89	723.08	698.41	819.3	656.11	884.29	665.29	575.03	954.43	753.83	743.43	860.08	753.83	759.08	769.69	480.04	620.67	791.35	848.22	708.18	995.0	791.35	872.1	947.83	860.08	583.07	223.41	140.04	547.75	438.59	616.37	638.15	267.73	403.5	267.73	271.48	102.97	532.74	305.55	305.55	371.22	571.05	624.99	267.73	201.25	336.79	796.86	197.09	647.07	208.38	466.88	297.17	135.24	151.22	921.88	223.41	303.44	93.35	283.05	780.44	567.1	332.14	379.04	256.78	343.89	450.94	285.03	251.48	182.55	629.35	403.5	633.73	336.79	389.72	309.83	723.08	392.44	466.88	473.41	559.28	775.05	490.14	518.15	819.3	301.33	180.02	113.56	236.21	112.77	466.88	332.14	166.73	120.94
SAP30	733.19	718.08	796.86	521.76	406.31	718.08	490.14	842.36	738.29	289.02	1096.5	693.58	802.41	1051.79	563.18	988.12	607.87	363.56	780.44	633.73	397.93	507.46	301.33	525.39	624.99	665.29	642.59	665.29	660.68	651.58	842.36	733.19	1159.07	73.03	96.68	229.72	75.11	119.26	148.09	249.73	111.99	169.07	212.78	105.89	769.69	173.85	172.65	115.16	173.85	229.72	74.06	119.26	177.53	267.73	124.37	400.71	63.45	115.16	212.78	100.83	115.16	303.44	105.89	81.14	102.25	305.55	167.9	406.31	166.73	830.75	155.5	121.79	75.64	73.03	163.28	51.35	154.42	127.0	156.59	89.51	167.9	149.12	178.77	94.67	163.28	251.48	295.11	80.01	120.94	133.36	406.31	145.02	79.45	92.05	131.51	92.05	748.61	88.26	162.14	232.94
SERINC2	4937.99	3443.31	2319.15	2555.58	1733.13	2796.65	3168.41	3820.7	6699.25	2997.45	7803.01	4512.4	3665.02	2935.74	1008.9	3982.99	2915.45	1295.13	1286.18	3103.19	3665.02	2520.38	503.95	3168.41	4388.98	1008.9	1175.27	6121.9	1417.35	2193.99	4152.18	896.64	4328.55	536.45	400.71	1023.0	1066.48	915.51	1250.98	543.96	1159.07	567.1	435.55	540.19	1487.87	638.15	947.83	547.75	155.5	1350.18	1832.01	638.15	1143.1	583.07	629.35	713.11	728.11	555.41	490.14	620.67	493.56	934.76	329.84	363.56	518.15	708.18	1191.69	1104.13	248.0	708.18	571.05	1277.29	1159.07	305.55	981.29	173.85	988.12	486.75	559.28	1407.55	1572.76	1733.13	1143.1	669.92	329.84	1183.45	1030.12	665.29	387.02	511.0	1322.37	358.54	540.19	466.88	441.64	381.68	769.69	928.3	551.56	830.75
SFXN4	836.53	1081.39	1250.98	947.83	387.02	551.56	688.78	607.87	665.29	395.18	723.08	934.76	674.59	603.67	503.95	587.13	536.45	708.18	764.36	587.13	397.93	656.11	547.75	389.72	688.78	785.88	376.41	934.76	406.31	486.75	860.08	563.18	848.22	246.28	131.51	314.17	234.57	305.55	267.73	146.03	271.48	153.34	218.79	91.41	346.29	87.65	220.32	454.09	281.09	228.13	312.0	149.12	305.55	529.06	155.5	490.14	90.14	228.13	166.73	105.15	108.14	320.8	185.11	178.77	114.36	170.25	454.09	423.61	199.85	191.67	135.24	115.97	145.02	148.09	118.43	99.43	500.46	187.71	348.71	305.55	414.87	232.94	267.73	143.01	444.72	289.02	273.37	463.65	221.86	373.81	403.5	206.94	110.43	144.01	100.13	84.63	293.07	123.5	120.1	120.1
SIRT4	71.0	71.5	59.97	61.25	37.05	54.33	105.89	25.91	54.72	57.89	113.56	70.51	43.63	63.0	17.64	73.03	44.57	41.22	43.32	43.94	28.86	56.28	16.03	19.53	49.91	33.06	18.7	87.03	37.85	27.05	59.55	33.3	50.27	13.42	18.56	56.28	47.5	71.5	21.94	0.0	9.48	40.64	37.85	7.34	20.41	10.0	12.83	73.54	80.57	74.06	8.19	34.75	13.72	53.19	11.3	60.82	3.99	17.9	19.82	10.88	10.96	45.85	11.82	11.04	11.47	7.88	96.68	53.57	35.25	34.02	9.63	21.32	7.88	24.63	34.51	7.22	63.45	18.84	76.17	11.64	41.52	12.64	79.45	0.0	52.45	62.12	55.89	69.03	28.24	50.98	58.3	52.82	14.67	7.69	32.59	13.52	24.46	30.78	11.38	22.43
SLC15A4	1199.98	738.29	1167.14	607.87	1159.07	2104.58	1340.84	1674.06	1977.24	1088.92	1745.2	1008.9	1111.82	1498.22	915.51	1991.0	1088.92	599.49	988.12	967.76	1628.26	808.0	764.36	1447.15	1151.06	1388.16	1250.98	890.44	1104.13	1268.46	748.61	884.29	1685.71	400.71	500.46	406.31	529.06	339.14	212.78	775.05	447.82	417.77	473.41	348.71	392.44	406.31	253.23	450.94	583.07	356.05	316.37	381.68	483.38	379.04	318.57	392.44	336.79	287.01	466.88	587.13	384.34	543.96	309.83	312.0	486.75	287.01	325.29	429.54	336.79	277.2	591.22	334.46	273.37	285.03	379.04	371.22	480.04	279.14	299.25	389.72	307.69	269.6	642.59	466.88	420.68	466.88	376.41	403.5	450.94	389.72	395.18	511.0	525.39	339.14	363.56	559.28	435.55	480.04	473.41	221.86
SLC4A1AP	429.54	490.14	444.72	444.72	403.5	511.0	599.49	551.56	438.59	392.44	536.45	397.93	423.61	406.31	406.31	521.76	420.68	595.34	450.94	457.25	420.68	486.75	460.44	447.82	406.31	438.59	392.44	320.8	579.04	406.31	395.18	536.45	343.89	281.09	204.07	406.31	293.07	412.0	334.46	191.67	316.37	332.14	397.93	180.02	381.68	267.73	224.97	387.02	406.31	351.14	285.03	202.66	403.5	409.15	260.38	438.59	214.27	289.02	353.59	180.02	273.37	514.56	201.25	221.86	96.68	204.07	379.04	417.77	373.81	281.09	262.2	277.2	241.19	228.13	220.32	186.4	412.0	343.89	414.87	291.04	379.04	356.05	507.46	309.83	497.0	381.68	387.02	384.34	403.5	361.04	395.18	242.88	249.73	215.77	194.36	155.5	325.29	267.73	212.78	201.25
SMG8	318.57	244.57	285.03	157.68	218.79	269.6	271.48	241.19	255.0	143.01	273.37	224.97	220.32	201.25	226.54	265.87	187.71	301.33	178.77	171.45	271.48	212.78	289.02	297.17	166.73	136.19	232.94	142.01	281.09	136.19	209.84	307.69	202.66	55.1	65.72	246.28	87.03	212.78	105.15	68.55	107.38	120.94	114.36	28.04	125.24	115.16	64.8	182.55	193.01	234.57	100.83	60.82	143.01	220.32	59.13	232.94	65.72	60.39	155.5	47.84	82.87	199.85	90.77	59.55	54.33	89.51	264.03	229.72	108.14	76.71	86.43	108.9	60.82	73.54	110.43	41.52	223.41	115.97	262.2	118.43	183.82	83.45	217.27	55.49	191.67	185.11	232.94	285.03	167.9	169.07	215.77	102.25	57.08	52.82	77.79	61.25	115.16	77.25	52.08	77.79
SMIM15	1259.69	1508.65	1551.09	961.07	1088.92	1721.16	1508.65	1350.18	1594.73	836.53	1477.58	1369.04	1199.98	981.29	1059.11	1427.22	1233.75	1457.23	974.5	1066.48	1340.84	1457.23	1583.71	1819.35	934.76	679.29	854.13	995.0	1322.37	1059.11	1051.79	1561.89	1127.35	493.56	409.15	1304.15	713.11	808.0	679.29	595.34	1008.9	813.63	708.18	312.0	825.0	651.58	454.09	884.29	1051.79	753.83	1044.52	332.14	620.67	995.0	389.72	753.83	406.31	503.95	738.29	183.82	583.07	1096.5	307.69	376.41	205.5	642.59	698.41	988.12	532.74	327.56	518.15	529.06	603.67	403.5	525.39	267.73	1208.34	551.56	854.13	1073.91	693.58	830.75	1199.98	389.72	1250.98	954.43	890.44	1378.57	890.44	660.68	759.08	403.5	336.79	486.75	397.93	395.18	457.25	432.53	521.76	483.38
SNX7	981.29	878.17	819.3	708.18	825.0	896.64	954.43	890.44	1059.11	497.0	1059.11	791.35	616.37	769.69	551.56	1001.93	629.35	616.37	693.58	769.69	583.07	785.88	441.64	1151.06	684.02	387.02	723.08	525.39	660.68	511.0	836.53	802.41	1216.75	236.21	143.01	460.44	417.77	199.85	454.09	149.12	228.13	438.59	301.33	157.68	507.46	156.59	111.21	441.64	583.07	318.57	279.14	318.57	262.2	334.46	232.94	603.67	105.15	221.86	285.03	140.04	186.4	473.41	239.52	108.14	95.34	197.09	551.56	575.03	125.24	226.54	127.0	463.65	183.82	325.29	420.68	98.73	327.56	236.21	279.14	255.0	587.13	571.05	1417.35	136.19	638.15	642.59	356.05	988.12	493.56	397.93	334.46	366.09	130.6	316.37	231.32	116.78	112.77	239.52	248.0	332.14
STAMBP	753.83	915.51	665.29	921.88	775.05	728.11	915.51	988.12	854.13	551.56	813.63	665.29	599.49	708.18	703.28	738.29	698.41	872.1	723.08	703.28	974.5	830.75	830.75	866.07	748.61	708.18	753.83	629.35	921.88	780.44	559.28	693.58	698.41	314.17	228.13	579.04	571.05	532.74	497.0	224.97	587.13	571.05	633.73	149.12	660.68	256.78	223.41	591.22	642.59	547.75	277.2	291.04	412.0	688.78	361.04	684.02	283.05	389.72	403.5	209.84	336.79	703.28	285.03	329.84	169.07	423.61	575.03	656.11	642.59	387.02	258.57	444.72	299.25	444.72	532.74	260.38	669.92	470.14	620.67	320.8	571.05	373.81	808.0	325.29	785.88	679.29	698.41	819.3	521.76	414.87	651.58	379.04	366.09	318.57	414.87	139.07	381.68	373.81	320.8	395.18
TACO1	575.03	656.11	507.46	848.22	457.25	473.41	500.46	532.74	616.37	521.76	575.03	429.54	633.73	426.57	361.04	521.76	406.31	836.53	514.56	591.22	466.88	567.1	454.09	507.46	473.41	688.78	299.25	728.11	575.03	669.92	733.19	392.44	316.37	199.85	110.43	420.68	231.32	381.68	299.25	129.69	223.41	258.57	339.14	79.45	299.25	256.78	170.25	384.34	327.56	397.93	228.13	129.69	325.29	447.82	162.14	373.81	124.37	242.88	295.11	95.34	182.55	389.72	157.68	131.51	94.01	202.66	532.74	368.65	312.0	158.79	175.07	214.27	242.88	157.68	171.45	107.38	409.15	256.78	400.71	289.02	406.31	262.2	336.79	150.17	409.15	381.68	389.72	457.25	351.14	376.41	403.5	212.78	128.79	118.43	163.28	85.22	209.84	211.31	117.6	127.0
TCTN2	575.03	241.19	327.56	295.11	540.19	753.83	612.11	612.11	587.13	417.77	587.13	417.77	743.43	426.57	406.31	567.1	279.14	607.87	563.18	490.14	432.53	400.71	493.56	493.56	547.75	466.88	417.77	299.25	460.44	368.65	559.28	500.46	426.57	182.55	169.07	185.11	249.73	267.73	555.41	303.44	171.45	232.94	334.46	186.4	297.17	202.66	84.63	473.41	341.51	208.38	191.67	314.17	108.14	277.2	190.34	400.71	204.07	220.32	176.29	341.51	144.01	403.5	279.14	220.32	112.77	116.78	323.03	145.02	242.88	314.17	178.77	387.02	204.07	110.43	457.25	84.04	291.04	269.6	271.48	141.02	384.34	660.68	417.77	236.21	450.94	265.87	363.56	224.97	314.17	224.97	269.6	400.71	185.11	244.57	176.29	100.13	146.03	220.32	180.02	336.79
THNSL1	148.09	205.5	191.67	104.42	120.1	90.77	106.63	142.01	189.02	74.06	205.5	136.19	189.02	135.24	94.67	164.42	73.03	126.12	148.09	135.24	53.95	148.09	127.0	89.51	91.41	122.64	109.66	112.77	146.03	120.94	182.55	115.97	173.85	14.56	17.64	52.08	28.24	55.1	27.25	14.78	22.43	32.13	37.85	13.12	28.86	6.94	17.64	65.26	51.35	31.22	26.67	22.43	23.93	59.13	16.75	61.25	17.64	11.82	19.82	14.14	16.15	50.98	12.36	16.27	12.0	19.97	72.52	59.13	37.59	16.88	14.89	29.06	18.7	25.17	22.75	22.92	65.26	19.68	92.7	22.26	74.58	31.45	51.71	13.22	66.18	58.71	45.21	82.29	48.52	39.5	49.21	32.13	18.56	13.93	29.27	15.0	15.22	17.77	16.88	18.16
TMEM177	412.0	190.34	162.14	463.65	264.03	273.37	295.11	363.56	325.29	164.42	281.09	256.78	334.46	346.29	143.01	234.57	127.89	293.07	244.57	231.32	176.29	271.48	133.36	156.59	229.72	318.57	109.66	323.03	226.54	389.72	269.6	249.73	161.02	84.04	29.7	121.79	90.14	100.13	90.14	85.82	102.25	74.06	74.58	24.81	82.29	41.22	53.95	113.56	100.83	108.9	103.69	39.79	120.1	122.64	52.45	127.0	43.32	79.45	90.77	40.93	57.49	104.42	40.93	51.35	16.15	55.1	173.85	162.14	76.17	68.07	44.25	84.63	80.57	87.03	64.8	28.45	100.83	77.79	102.97	150.17	116.78	102.25	112.77	48.52	96.68	113.56	127.0	133.36	85.22	98.04	115.97	72.52	49.91	40.07	64.34	23.42	80.01	59.97	43.32	53.57
TMEM182	177.53	100.13	101.54	92.7	49.91	109.66	158.79	218.79	143.01	57.49	155.5	47.17	85.22	56.28	73.54	104.42	59.13	121.79	68.07	60.39	82.87	48.18	76.71	76.71	67.12	34.51	59.97	36.79	70.01	56.28	70.01	87.65	89.51	37.32	36.79	45.53	60.82	51.35	29.91	20.86	23.08	43.02	31.45	23.93	64.34	30.56	13.52	67.59	38.67	24.99	39.22	20.71	17.64	59.97	35.76	57.49	32.82	44.57	28.86	20.86	28.24	42.41	32.36	47.17	7.4	12.27	53.95	63.89	51.35	13.32	17.77	17.51	33.78	12.27	37.59	32.82	37.32	19.25	77.25	27.84	87.03	53.19	70.51	31.45	49.21	74.58	25.91	57.49	30.78	38.12	30.56	23.59	42.11	36.27	21.32	23.76	33.78	10.16	37.85	54.33
TMEM209	363.56	244.57	314.17	206.94	244.57	327.56	341.51	536.45	229.72	186.4	293.07	231.32	228.13	193.01	231.32	307.69	236.21	412.0	178.77	187.71	351.14	303.44	466.88	397.93	249.73	208.38	563.18	153.34	312.0	204.07	215.77	303.44	260.38	136.19	65.72	305.55	125.24	202.66	171.45	96.68	146.03	170.25	177.53	73.54	171.45	132.44	79.45	242.88	248.0	209.84	152.28	66.65	151.22	170.25	95.34	223.41	128.79	152.28	177.53	53.95	104.42	246.28	144.01	130.6	34.51	127.89	194.36	265.87	176.29	138.1	97.36	162.14	146.03	77.79	128.79	84.04	209.84	182.55	217.27	186.4	229.72	199.85	281.09	135.24	244.57	173.85	316.37	305.55	191.67	248.0	249.73	138.1	108.14	90.14	127.89	52.08	166.73	111.99	98.73	102.97
TMEM5	463.65	285.03	450.94	265.87	269.6	432.53	412.0	629.35	476.71	341.51	387.02	417.77	320.8	279.14	246.28	403.5	351.14	460.44	275.28	318.57	363.56	366.09	400.71	432.53	277.2	258.57	287.01	283.05	334.46	277.2	228.13	348.71	287.01	202.66	129.69	301.33	148.09	287.01	189.02	186.4	251.48	208.38	182.55	111.21	258.57	158.79	120.94	366.09	414.87	156.59	220.32	96.68	195.72	353.59	170.25	327.56	139.07	246.28	214.27	61.68	197.09	283.05	176.29	175.07	74.58	156.59	253.23	371.22	164.42	102.25	96.01	165.57	217.27	221.86	130.6	102.97	289.02	180.02	318.57	246.28	208.38	281.09	329.84	136.19	341.51	260.38	181.28	395.18	392.44	273.37	246.28	166.73	87.03	130.6	194.36	83.45	111.99	152.28	115.16	109.66
TMEM69	579.04	466.88	660.68	521.76	684.02	620.67	567.1	633.73	555.41	559.28	842.36	507.46	612.11	854.13	486.75	733.19	607.87	444.72	603.67	511.0	647.07	642.59	713.11	551.56	497.0	547.75	616.37	638.15	638.15	420.68	532.74	400.71	463.65	217.27	194.36	532.74	373.81	480.04	320.8	151.22	318.57	348.71	332.14	123.5	532.74	92.7	271.48	551.56	447.82	271.48	392.44	163.28	384.34	503.95	267.73	454.09	125.24	299.25	105.15	197.09	190.34	500.46	197.09	387.02	187.71	182.55	563.18	503.95	379.04	171.45	164.42	260.38	295.11	289.02	295.11	189.02	555.41	248.0	444.72	299.25	353.59	223.41	759.08	255.0	525.39	503.95	368.65	713.11	361.04	293.07	460.44	301.33	204.07	181.28	260.38	122.64	197.09	232.94	190.34	172.65
