	TCGA.BQ.7058.01A.11R.1965.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.2Z.A9J7.01A.11R.A38C.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.ZY6K.0326.SM.5SIBB	GTEX.13FTX.0326.SM.5J2NG	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.D1.A2G0.01A.11R.A32Y.07	TCGA.EY.A548.01A.11R.A27V.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.AX.A3G3.01A.11R.A213.07	TCGA.BK.A13B.01A.51R.A22K.07	TCGA.5S.A9Q8.01A.11R.A40A.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07
TMEM71	8.0	9.13	12.74	45.53	64.34	5.23	8.71	4.58	84.04	47.84	32.82	15.68	46.5	79.45	100.13	34.75	93.35	85.82	85.82	67.59	119.26	33.54	138.1	75.11	119.26	78.34	26.86	72.01	138.1	173.85	33.3	77.79	70.01	93.35	94.01	40.93	71.0	102.97	166.73	92.05	94.01	104.42	15.45	32.59	13.72	7.46	8.85	7.75	10.71	12.55	7.46	14.14	22.43
TMOD3	336.79	242.88	186.4	204.07	248.0	189.02	176.29	162.14	1167.14	961.07	1030.12	679.29	612.11	928.3	738.29	791.35	713.11	1015.93	1059.11	884.29	703.28	866.07	698.41	1199.98	1662.49	620.67	579.04	884.29	878.17	921.88	825.0	967.76	728.11	743.43	764.36	1242.34	954.43	693.58	1225.22	1199.98	612.11	1437.15	134.3	169.07	316.37	301.33	323.03	226.54	275.28	493.56	366.09	152.28	323.03
TRAK2	236.21	103.69	189.02	291.04	293.07	71.0	73.54	81.14	463.65	1159.07	684.02	215.77	435.55	555.41	497.0	384.34	543.96	511.0	265.87	595.34	409.15	414.87	642.59	1127.35	1037.29	305.55	454.09	341.51	417.77	669.92	376.41	872.1	503.95	376.41	738.29	466.88	743.43	480.04	825.0	1350.18	327.56	629.35	182.55	121.79	105.89	120.94	136.19	144.01	100.13	125.24	228.13	74.06	114.36
UBL3	199.85	361.04	281.09	217.27	132.44	214.27	119.26	94.01	2061.24	1467.37	1819.35	1111.82	1159.07	1498.22	796.86	1350.18	934.76	1199.98	665.29	1268.46	1044.52	753.83	802.41	1819.35	4123.49	1119.56	902.89	1286.18	753.83	1662.49	1313.23	1617.0	1104.13	507.46	848.22	2209.26	1340.84	616.37	2061.24	1909.85	1417.35	1963.57	366.09	84.63	211.31	167.9	327.56	144.01	119.26	447.82	162.14	87.03	101.54
VCL	438.59	287.01	417.77	301.33	624.99	432.53	384.34	141.02	1674.06	2075.59	1909.85	928.3	1745.2	1081.39	1037.29	1498.22	2178.83	2104.58	1096.5	2573.36	1322.37	2720.15	2537.92	2319.15	5831.91	1561.89	1119.56	1104.13	1378.57	2485.67	2178.83	1806.78	1023.0	1015.93	1628.26	1540.37	3124.78	934.76	2502.97	1721.16	1639.59	2609.3	291.04	255.0	518.15	579.04	397.93	819.3	575.03	454.09	251.48	241.19	189.02
VKORC1L1	134.3	163.28	325.29	146.03	208.38	140.04	239.52	228.13	775.05	764.36	1242.34	503.95	785.88	688.78	559.28	651.58	934.76	860.08	909.17	896.64	723.08	603.67	651.58	1250.98	1191.69	457.25	728.11	698.41	555.41	624.99	616.37	896.64	620.67	514.56	624.99	961.07	1008.9	551.56	896.64	988.12	518.15	961.07	208.38	211.31	206.94	265.87	244.57	295.11	316.37	248.0	181.28	251.48	336.79
WDR44	66.18	68.07	67.59	64.34	73.54	47.17	28.65	62.12	329.84	121.79	187.71	112.77	135.24	191.67	269.6	158.79	162.14	197.09	127.89	392.44	231.32	148.09	132.44	267.73	379.04	128.79	177.53	173.85	255.0	237.86	186.4	231.32	154.42	149.12	228.13	376.41	397.93	187.71	336.79	314.17	146.03	339.14	48.87	30.34	40.36	27.44	87.65	36.79	72.01	80.57	54.33	50.63	72.52
ZMYND11	381.68	540.19	460.44	325.29	381.68	356.05	291.04	198.47	1059.11	1225.22	1359.57	854.13	1081.39	1159.07	866.07	974.5	743.43	1051.79	656.11	1104.13	830.75	743.43	974.5	1781.89	2875.3	775.05	947.83	1023.0	723.08	1191.69	1081.39	1340.84	1088.92	591.22	836.53	1477.58	1605.83	796.86	1427.22	1651.0	753.83	1331.57	813.63	281.09	389.72	194.36	583.07	441.64	283.05	473.41	441.64	269.6	279.14
ZNF106	265.87	102.97	91.41	78.34	111.21	77.25	67.59	51.35	1359.57	988.12	1806.78	525.39	1119.56	698.41	748.61	620.67	1073.91	967.76	273.37	896.64	674.59	466.88	921.88	1175.27	1832.01	366.09	791.35	521.76	616.37	1498.22	1397.83	1159.07	1268.46	429.54	890.44	708.18	954.43	796.86	1594.73	928.3	348.71	1427.22	91.41	75.64	111.99	147.06	136.19	86.43	91.41	100.13	97.36	53.19	71.5
ZNF778	14.45	18.97	35.5	19.39	32.59	59.13	49.21	53.57	267.73	76.71	83.45	190.34	41.52	80.01	90.77	110.43	212.78	71.0	75.64	100.13	100.83	83.45	125.24	104.42	46.18	58.3	62.56	71.5	98.73	136.19	131.51	79.45	104.42	147.06	99.43	88.88	72.01	88.26	85.82	94.01	42.71	96.01	43.63	18.16	43.63	78.89	15.34	46.84	51.71	29.91	38.67	21.94	10.24
