	TCGA.DM.A28G.01A.11R.A16W.07	GTEX.13111.0726.SM.5DUVE	GTEX.Y9LG.1526.SM.4WWDR	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.1399S.1926.SM.5J2M5	GTEX.1211K.1726.SM.5FQUJ	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.13O21.2426.SM.5MR4A	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5083.01A.02R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.145LU.1326.SM.5LU9N	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.13112.1426.SM.5EGH8	TCGA.R5.A7O7.01A.11R.A33Y.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.HU.A4H2.01A.11R.A251.31	TCGA.BR.8483.01A.31R.2402.13	GTEX.VJYA.1026.SM.4KL21	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
MKI67	56.68	379.04	432.53	307.69	447.82	351.14	214.27	309.83	329.84	748.61	480.04	265.87	587.13	457.25	339.14	397.93	389.72	500.46	486.75	679.29	490.14	148.09	8.51	21.16	6.11	12.18	49.56	35.0	14.35	39.22	23.76	30.56	22.1	5.19	12.55	58.71	33.06	65.26	20.86	14.89	15.91	31.9	25.91	68.55	66.18	260.38	6.52	1.89	6.26	5.63	4.03	9.06	5.36	16.39	3.17	6.16	521.76	486.75	435.55	813.63	295.11	91.41	33.78	70.01	15.8
MND1	199.85	110.43	108.14	91.41	91.41	55.49	57.49	77.25	53.19	103.69	115.97	61.68	111.21	111.21	64.8	120.94	78.89	156.59	147.06	180.02	109.66	85.22	16.03	43.63	19.68	31.22	86.43	88.88	34.26	64.8	125.24	139.07	24.63	5.59	36.53	74.58	13.52	48.87	20.41	5.41	37.32	13.93	43.94	79.45	90.14	36.79	36.53	7.46	21.47	5.82	6.52	4.7	12.27	7.88	6.57	7.06	217.27	87.65	267.73	151.22	95.34	48.18	47.5	118.43	90.14
MT-CO2	2201414.44	2082664.91	3028138.0	1916442.45	2864793.06	1838374.44	2171106.91	1703415.74	3651352.71	2392353.91	1715263.94	2710259.32	2082664.91	1751305.3	2493947.08	1668359.93	1751305.3	1916442.45	1851161.35	1751305.3	1578364.61	2171106.91	3651352.71	4312220.94	3007221.12	2359417.65	2442622.37	2864793.06	2825352.59	2599854.48	2748093.15	3651352.71	2476720.12	2359417.65	2564061.5	2884719.27	3728075.41	2375828.71	2126426.15	2201414.44	2617937.91	2375828.71	2672946.37	2805836.45	2710259.32	2599854.48	1943195.01	1877002.62	2025714.3	2599854.48	1788103.97	1997825.68	2691538.19	2186208.16	1956711.0	2279047.19	1890058.21	2326934.84	1838374.44	1751305.3	2186208.16	2528761.3	3091765.64	3406832.48	5650706.18
MTFR2	52.82	112.77	109.66	65.72	78.89	65.72	36.01	56.68	74.06	130.6	94.01	59.97	110.43	80.57	80.57	80.01	70.51	82.87	95.34	126.12	87.03	57.49	21.63	8.71	9.48	10.24	12.45	15.22	3.96	22.92	13.42	15.56	10.24	21.32	20.11	11.13	16.15	33.06	7.75	22.26	27.64	15.91	23.76	22.26	9.93	32.59	4.78	8.19	2.89	1.64	1.73	1.64	2.25	2.27	7.46	0.91	473.41	131.51	316.37	291.04	183.82	45.21	14.03	30.78	28.65
MTPAP	271.48	166.73	249.73	202.66	232.94	178.77	221.86	211.31	239.52	228.13	185.11	228.13	221.86	229.72	223.41	211.31	228.13	215.77	220.32	262.2	221.86	201.25	133.36	105.15	118.43	107.38	63.89	118.43	194.36	155.5	82.87	100.83	109.66	281.09	115.16	146.03	115.16	161.02	178.77	153.34	152.28	120.1	118.43	208.38	185.11	232.94	147.06	88.88	108.9	126.12	130.6	65.72	139.07	79.45	100.83	135.24	426.57	379.04	536.45	267.73	299.25	105.89	339.14	169.07	154.42
NCAPD2	466.88	480.04	571.05	460.44	483.38	426.57	460.44	463.65	532.74	791.35	595.34	387.02	642.59	507.46	536.45	547.75	612.11	521.76	591.22	825.0	587.13	253.23	291.04	162.14	134.3	232.94	417.77	246.28	351.14	392.44	348.71	285.03	358.54	253.23	260.38	246.28	149.12	223.41	202.66	239.52	181.28	150.17	224.97	146.03	118.43	187.71	94.67	60.39	113.56	53.57	105.89	157.68	80.01	77.25	29.27	76.17	591.22	638.15	1104.13	854.13	603.67	392.44	173.85	232.94	167.9
NCAPG	53.19	139.07	164.42	84.63	120.94	108.14	60.39	78.89	92.7	229.72	118.43	100.83	170.25	161.02	93.35	98.73	143.01	136.19	173.85	195.72	129.69	60.39	5.82	10.63	4.7	7.75	23.59	20.86	9.13	22.43	18.03	14.03	13.22	5.23	6.26	36.27	24.63	30.12	14.03	5.87	13.12	15.8	25.54	40.64	33.54	40.36	9.2	0.0	1.28	4.31	4.78	3.35	3.2	12.18	3.11	7.22	334.46	120.1	318.57	234.57	120.1	24.11	8.78	24.46	14.24
NCAPG2	251.48	204.07	218.79	138.1	209.84	157.68	107.38	129.69	138.1	206.94	206.94	136.19	264.03	206.94	150.17	214.27	138.1	185.11	205.5	521.76	201.25	102.97	53.19	42.11	88.88	57.89	77.79	80.57	65.26	150.17	136.19	96.01	94.01	115.16	107.38	132.44	76.71	117.6	92.05	45.53	98.04	59.55	145.02	161.02	167.9	77.25	81.71	50.27	72.01	29.27	49.91	54.33	46.18	25.91	26.1	35.0	389.72	351.14	802.41	293.07	493.56	102.97	88.88	77.25	102.97
NDC1	260.38	314.17	318.57	287.01	267.73	206.94	202.66	239.52	221.86	384.34	291.04	224.97	371.22	295.11	226.54	305.55	303.44	366.09	316.37	423.61	303.44	226.54	70.51	59.13	45.53	52.45	76.17	68.07	81.14	115.97	76.71	64.34	141.02	153.34	181.28	134.3	76.17	85.82	120.1	137.14	108.14	70.51	117.6	95.34	147.06	113.56	141.02	85.82	124.37	85.22	89.51	65.72	55.1	55.89	81.71	80.57	669.92	473.41	921.88	507.46	186.4	167.9	136.19	88.26	70.01
NDC80	108.9	183.82	264.03	137.14	141.02	173.85	77.79	116.78	105.89	314.17	178.77	135.24	239.52	189.02	127.0	144.01	187.71	181.28	236.21	305.55	172.65	85.22	8.19	26.67	10.0	15.22	39.79	34.75	14.45	28.24	24.81	38.95	22.26	6.11	6.78	47.84	21.32	15.22	16.39	3.69	16.51	23.25	22.26	61.25	32.59	64.34	9.7	2.92	6.46	3.5	10.39	2.12	6.46	11.3	2.43	7.75	665.29	138.1	376.41	264.03	262.2	42.11	25.91	112.77	41.22
NEIL3	14.56	42.71	37.85	30.34	26.47	27.64	19.97	23.25	20.41	59.55	38.4	22.43	50.98	38.12	36.79	27.84	32.36	38.67	54.33	56.68	34.75	17.13	1.81	2.89	0.95	0.83	8.38	3.79	0.88	8.38	3.35	5.36	1.35	0.82	3.35	13.72	9.06	26.86	13.22	18.97	10.79	12.64	4.82	20.56	3.35	26.47	2.94	0.0	1.77	0.0	0.84	0.8	1.57	0.0	2.46	1.64	62.12	20.41	92.05	41.22	38.12	10.88	2.61	7.34	6.41
NEK2	33.78	209.84	316.37	178.77	217.27	129.69	127.89	154.42	156.59	435.55	267.73	187.71	332.14	255.0	205.5	218.79	241.19	246.28	305.55	432.53	232.94	86.43	3.99	8.58	5.11	1.6	12.27	14.56	5.59	19.82	14.56	10.08	6.11	5.96	9.13	25.91	31.0	37.59	27.64	7.63	16.63	21.47	55.49	88.88	80.01	32.59	9.2	0.0	3.32	2.86	2.61	6.31	2.14	4.13	0.0	1.57	432.53	167.9	470.14	463.65	351.14	40.36	9.48	17.13	13.93
NUF2	57.08	149.12	218.79	115.97	105.15	88.88	48.52	110.43	133.36	241.19	159.9	113.56	201.25	190.34	113.56	135.24	109.66	156.59	135.24	220.32	159.9	57.08	6.73	9.63	4.24	6.11	15.22	19.39	2.63	21.16	9.56	11.64	6.67	6.01	1.69	26.47	30.56	42.41	15.0	3.63	10.0	19.39	17.77	77.25	80.57	48.87	4.28	0.0	7.69	2.12	4.78	1.39	2.53	0.91	1.73	3.17	363.56	136.19	693.58	599.49	470.14	34.02	7.88	41.52	13.93
NUSAP1	277.2	571.05	693.58	420.68	599.49	395.18	307.69	406.31	460.44	909.17	595.34	414.87	674.59	633.73	371.22	518.15	603.67	591.22	713.11	974.5	624.99	244.57	21.63	35.76	28.45	30.34	71.0	59.55	30.56	103.69	70.01	72.52	48.87	40.64	47.5	131.51	141.02	191.67	131.51	50.98	73.03	116.78	123.5	381.68	209.84	220.32	36.79	24.63	56.28	26.67	93.35	17.9	66.65	77.79	67.12	44.25	1127.35	684.02	2240.11	836.53	525.39	165.57	42.41	170.25	60.82
PARPBP	138.1	128.79	130.6	111.21	142.01	92.7	53.95	73.03	103.69	186.4	114.36	105.89	156.59	122.64	104.42	118.43	111.21	109.66	136.19	190.34	126.12	53.57	36.01	13.93	14.45	23.42	40.36	24.81	37.05	64.34	57.89	97.36	34.75	55.1	72.01	78.89	25.35	49.56	40.64	28.24	16.27	38.95	51.71	82.29	30.56	38.67	11.21	3.17	7.94	3.41	6.89	0.77	3.72	7.46	5.19	7.11	204.07	130.6	361.04	255.0	120.94	38.67	25.72	34.26	35.5
PLEKHG1	105.15	106.63	162.14	142.01	120.1	103.69	105.15	175.07	121.79	112.77	105.15	126.12	94.67	132.44	147.06	108.9	190.34	135.24	101.54	167.9	129.69	78.89	78.34	18.84	24.11	59.13	24.46	96.01	32.13	74.06	29.06	57.49	71.0	67.12	34.51	120.94	11.64	28.65	22.59	21.78	22.75	34.26	61.68	33.54	46.5	151.22	43.02	24.46	58.71	23.25	40.64	36.27	38.67	34.26	53.95	52.08	197.09	224.97	111.99	52.82	148.09	74.58	146.03	295.11	114.36
PLK1	198.47	723.08	748.61	583.07	961.07	629.35	441.64	371.22	599.49	1023.0	728.11	559.28	743.43	842.36	555.41	728.11	563.18	759.08	674.59	872.1	624.99	460.44	16.63	49.21	26.1	19.25	107.38	33.06	16.51	60.82	32.13	36.79	12.36	24.28	57.49	72.01	91.41	115.16	44.57	32.82	47.84	45.53	44.25	92.7	84.63	115.97	13.83	5.11	11.91	28.86	5.41	36.79	10.71	47.17	13.93	24.63	3325.99	435.55	1313.23	2090.03	723.08	293.07	40.07	52.45	60.82
PLK4	94.01	135.24	171.45	120.1	146.03	102.97	80.01	121.79	109.66	199.85	194.36	110.43	154.42	165.57	142.01	124.37	144.01	150.17	126.12	220.32	150.17	80.01	27.25	27.84	18.84	11.04	30.78	39.79	36.53	40.07	29.91	18.43	18.16	22.1	15.91	33.54	15.11	50.63	31.67	25.35	24.28	23.42	67.12	36.27	16.39	36.27	8.65	5.36	26.67	4.58	7.88	6.78	5.36	9.78	6.36	22.26	246.28	151.22	406.31	244.57	128.79	53.57	27.84	44.57	18.56
POLE2	123.5	158.79	217.27	153.34	120.1	167.9	108.14	97.36	190.34	145.02	121.79	149.12	134.3	176.29	104.42	150.17	105.89	152.28	163.28	100.13	157.68	85.82	18.43	28.65	20.86	24.11	31.45	50.27	35.5	30.34	46.5	35.76	34.26	20.56	25.72	43.94	33.3	62.12	40.07	24.63	57.08	36.27	72.52	90.77	120.1	71.0	67.12	31.9	29.27	58.71	73.03	40.64	23.59	50.27	36.79	27.05	525.39	229.72	511.0	237.86	220.32	67.12	127.89	155.5	57.49
POLQ	24.63	55.89	60.39	42.71	37.59	39.22	30.34	29.91	50.98	59.97	54.33	33.78	38.67	56.28	54.33	40.07	39.22	59.13	55.1	73.03	64.34	28.65	2.25	0.97	0.96	1.64	4.43	5.23	0.88	6.84	3.35	3.92	1.35	1.62	0.85	5.77	4.03	5.59	3.0	0.92	2.41	4.1	1.95	14.56	5.23	10.39	1.87	0.64	1.38	0.09	0.82	4.31	0.07	5.02	0.01	0.93	77.25	70.01	96.68	153.34	84.04	18.56	4.31	4.94	4.13
POP1	92.7	63.0	62.56	61.68	100.13	45.21	92.05	55.89	81.14	61.68	46.84	85.22	49.56	76.71	33.06	58.3	40.36	92.7	50.63	50.27	65.72	51.35	21.78	29.7	29.06	34.02	26.28	28.24	35.0	32.36	20.86	41.22	49.91	34.02	26.28	50.27	36.53	32.36	34.75	53.19	29.91	33.78	35.0	42.11	16.27	153.34	19.11	14.67	21.94	29.27	13.03	21.94	20.41	34.51	27.05	18.29	76.71	75.64	258.57	73.03	92.7	36.53	44.57	15.8	28.86
PPP1R36	125.24	490.14	563.18	429.54	346.29	314.17	616.37	607.87	258.57	532.74	441.64	555.41	406.31	454.09	507.46	358.54	460.44	397.93	363.56	514.56	476.71	358.54	37.85	72.01	236.21	30.78	16.75	45.53	23.59	36.53	33.3	11.38	21.94	381.68	23.59	54.33	0.99	2.34	2.92	3.11	21.32	0.88	11.73	0.0	2.05	17.0	5.68	2.34	7.51	6.73	5.11	0.0	4.66	11.38	3.17	13.62	73.54	175.07	148.09	38.95	108.14	185.11	7.06	20.86	13.32
PPP2R2A	466.88	738.29	595.34	629.35	559.28	698.41	579.04	575.03	457.25	723.08	669.92	555.41	656.11	555.41	718.08	688.78	571.05	698.41	603.67	521.76	555.41	848.22	457.25	358.54	346.29	447.82	454.09	423.61	432.53	583.07	260.38	493.56	647.07	420.68	429.54	595.34	214.27	438.59	507.46	514.56	295.11	493.56	343.89	190.34	325.29	381.68	242.88	202.66	358.54	277.2	438.59	273.37	358.54	358.54	389.72	406.31	825.0	1037.29	1819.35	733.19	743.43	503.95	665.29	665.29	500.46
PRC1	629.35	698.41	866.07	470.14	674.59	669.92	536.45	525.39	536.45	1037.29	743.43	642.59	791.35	934.76	583.07	723.08	616.37	759.08	808.0	1096.5	775.05	420.68	96.01	106.63	151.22	94.01	312.0	162.14	111.21	177.53	215.77	185.11	96.68	47.84	148.09	295.11	186.4	273.37	133.36	58.3	98.73	140.04	241.19	336.79	275.28	281.09	78.89	29.06	40.64	31.9	27.44	32.59	62.56	24.99	27.84	19.11	2835.7	753.83	1721.16	1923.14	660.68	231.32	130.6	279.14	109.66
PRIM2	111.21	86.43	75.11	63.0	63.89	48.87	40.07	98.04	46.18	101.54	115.97	76.17	105.15	77.25	74.06	105.15	82.29	74.58	101.54	96.01	77.25	74.58	31.22	36.01	28.04	38.67	22.26	49.91	29.48	63.45	46.18	48.18	74.06	51.71	84.63	45.53	31.0	81.71	75.64	53.95	56.28	55.1	71.5	84.63	98.04	87.03	21.32	41.52	39.22	9.7	13.62	9.2	23.76	38.12	12.36	16.03	128.79	121.79	190.34	139.07	139.07	68.07	47.17	81.14	47.5
PRR11	80.57	100.83	143.01	111.21	90.77	64.34	46.5	74.58	87.65	198.47	115.16	73.03	187.71	124.37	57.89	126.12	92.05	145.02	151.22	283.05	139.07	36.27	13.72	8.06	6.06	10.88	17.38	15.45	6.46	53.19	14.56	12.0	29.27	24.46	23.08	23.59	28.24	39.22	24.46	28.65	14.24	45.85	32.13	25.72	40.64	26.47	8.92	3.99	12.36	4.66	4.13	14.35	2.01	3.92	1.06	3.76	603.67	170.25	507.46	915.51	201.25	81.71	11.47	32.36	12.93
PTBP1	3874.05	5006.93	4736.79	4575.41	5041.77	4704.07	4802.93	4769.75	4328.55	5219.6	4543.8	4575.41	4450.27	4903.87	4575.41	4972.34	4419.52	5403.7	4123.49	4181.07	5255.91	4066.71	3190.46	2591.27	2384.37	2976.74	3349.13	2816.11	3060.45	3280.18	3124.78	2739.08	2915.45	2468.49	3303.0	3690.52	2915.45	4038.61	2609.3	3018.3	2895.31	3190.46	3589.58	3303.0	3325.99	4066.71	1467.37	2255.7	2335.28	1857.6	2367.9	2835.7	2417.67	2915.45	2502.97	2163.77	6337.83	4736.79	5006.93	5006.93	5006.93	4210.15	2758.13	2935.74	3419.52
PTBP3	703.28	780.44	733.19	802.41	638.15	656.11	629.35	808.0	540.19	808.0	743.43	718.08	848.22	698.41	819.3	738.29	813.63	738.29	620.67	884.29	713.11	743.43	423.61	476.71	138.1	591.22	237.86	674.59	346.29	514.56	733.19	525.39	718.08	381.68	607.87	438.59	269.6	470.14	373.81	265.87	316.37	301.33	540.19	295.11	145.02	265.87	94.67	57.49	163.28	44.89	277.2	94.01	171.45	106.63	239.52	228.13	595.34	713.11	2032.85	595.34	500.46	660.68	202.66	341.51	181.28
PTP4A2	2956.17	3716.2	3039.3	3742.05	2417.67	3564.78	2119.22	3146.52	2133.97	3190.46	3060.45	2520.38	3794.3	2609.3	3419.52	3768.09	3395.89	3212.66	2796.65	3515.68	2816.11	4298.64	1651.0	2997.45	1340.84	2351.53	2090.03	3325.99	1378.57	2976.74	2032.85	2148.82	3716.2	2018.8	2777.33	2855.44	1331.57	1540.37	1369.04	2047.0	2417.67	2224.63	2855.44	1447.15	1605.83	3768.09	1883.54	896.64	1651.0	866.07	1427.22	995.0	1617.0	1225.22	2148.82	1277.29	6887.62	7180.15	5672.41	3820.7	2664.15	2367.9	5672.41	4419.52	3491.39
RACGAP1	412.0	329.84	429.54	289.02	314.17	215.77	189.02	255.0	316.37	547.75	384.34	264.03	483.38	371.22	273.37	363.56	343.89	400.71	454.09	638.15	435.55	195.72	87.03	79.45	103.69	67.12	279.14	224.97	50.63	123.5	332.14	279.14	180.02	175.07	830.75	220.32	87.65	189.02	161.02	159.9	107.38	99.43	201.25	135.24	104.42	142.01	40.64	43.94	44.25	10.47	23.08	14.35	23.08	36.79	17.13	25.91	703.28	429.54	1030.12	603.67	435.55	177.53	57.89	92.05	68.07
RAD51AP1	136.19	205.5	285.03	164.42	177.53	143.01	100.13	176.29	111.21	236.21	187.71	163.28	198.47	177.53	167.9	191.67	189.02	260.38	223.41	283.05	212.78	118.43	34.51	17.13	12.09	36.27	39.22	39.22	23.59	71.0	43.32	34.51	62.56	44.25	24.81	72.01	32.13	70.51	49.91	21.94	38.95	40.93	59.13	74.06	37.59	42.41	30.56	6.78	27.64	18.84	11.82	8.99	17.51	14.24	2.78	8.51	152.28	224.97	473.41	140.04	187.71	64.34	43.94	35.76	47.84
RCOR1	277.2	384.34	293.07	358.54	400.71	339.14	339.14	368.65	269.6	414.87	309.83	414.87	368.65	351.14	392.44	363.56	395.18	432.53	339.14	320.8	295.11	384.34	164.42	177.53	202.66	140.04	241.19	191.67	209.84	258.57	173.85	185.11	165.57	136.19	138.1	273.37	67.12	117.6	156.59	105.15	96.01	67.12	91.41	183.82	127.89	169.07	84.04	72.52	128.79	116.78	253.23	124.37	146.03	143.01	134.3	149.12	361.04	483.38	483.38	384.34	157.68	271.48	215.77	129.69	182.55
RFC3	273.37	202.66	223.41	144.01	127.89	111.99	89.51	148.09	108.14	194.36	177.53	129.69	193.01	150.17	111.21	136.19	140.04	206.94	220.32	299.25	226.54	84.04	60.39	18.84	32.36	45.85	40.36	53.57	32.36	115.97	49.91	89.51	78.89	149.12	123.5	116.78	56.68	134.3	112.77	75.11	86.43	78.89	132.44	96.01	165.57	118.43	68.55	64.8	59.97	54.72	57.49	34.51	59.97	50.63	37.85	58.71	507.46	361.04	723.08	334.46	525.39	101.54	71.0	139.07	80.01
RFC4	591.22	283.05	426.57	226.54	267.73	260.38	182.55	217.27	392.44	325.29	275.28	161.02	301.33	373.81	297.17	273.37	287.01	361.04	389.72	320.8	466.88	137.14	148.09	202.66	72.52	135.24	198.47	185.11	118.43	287.01	255.0	255.0	187.71	417.77	190.34	277.2	169.07	301.33	256.78	208.38	314.17	172.65	497.0	305.55	303.44	309.83	186.4	105.89	142.01	99.43	60.39	190.34	61.68	228.13	124.37	102.25	1096.5	698.41	1159.07	830.75	693.58	307.69	406.31	251.48	348.71
RNF168	163.28	180.02	182.55	185.11	144.01	120.1	114.36	140.04	124.37	158.79	175.07	133.36	175.07	134.3	176.29	205.5	130.6	141.02	133.36	198.47	231.32	144.01	75.11	131.51	59.97	74.06	79.45	106.63	114.36	132.44	94.67	108.14	130.6	135.24	81.14	96.01	38.67	62.12	57.08	49.21	68.07	60.82	98.73	106.63	95.34	87.03	64.8	55.49	98.73	91.41	142.01	119.26	118.43	92.05	187.71	129.69	253.23	159.9	144.01	191.67	126.12	82.29	126.12	98.04	81.14
RRM1	669.92	775.05	713.11	529.06	518.15	381.68	417.77	426.57	463.65	743.43	698.41	470.14	830.75	543.96	483.38	620.67	532.74	693.58	878.17	934.76	674.59	376.41	406.31	269.6	521.76	318.57	291.04	583.07	339.14	567.1	543.96	525.39	738.29	429.54	397.93	429.54	214.27	435.55	466.88	256.78	438.59	293.07	444.72	414.87	384.34	293.07	447.82	260.38	301.33	281.09	217.27	170.25	162.14	161.02	147.06	181.28	728.11	454.09	1199.98	674.59	638.15	543.96	642.59	400.71	336.79
SERINC5	156.59	476.71	417.77	620.67	414.87	693.58	540.19	941.27	392.44	575.03	665.29	454.09	738.29	473.41	1073.91	543.96	703.28	503.95	525.39	693.58	543.96	215.77	26.67	63.45	28.86	43.63	12.93	54.72	24.99	152.28	82.29	66.65	87.65	104.42	353.59	253.23	13.83	43.63	35.5	39.79	11.38	28.24	23.59	194.36	612.11	91.41	212.78	186.4	373.81	130.6	226.54	163.28	267.73	249.73	49.56	255.0	178.77	264.03	483.38	231.32	283.05	486.75	30.34	98.73	28.86
SFMBT1	124.37	199.85	157.68	255.0	145.02	253.23	152.28	228.13	211.31	129.69	229.72	209.84	173.85	181.28	220.32	262.2	251.48	211.31	191.67	217.27	241.19	175.07	85.22	115.16	65.72	73.54	106.63	104.42	130.6	158.79	98.04	88.26	97.36	159.9	120.1	173.85	60.82	41.81	65.72	56.28	70.51	47.84	120.1	112.77	116.78	42.71	77.79	75.11	133.36	60.82	236.21	85.82	193.01	75.11	90.14	98.73	202.66	157.68	277.2	323.03	201.25	226.54	102.97	57.89	69.03
SGOL1	21.01	67.12	57.49	50.27	72.01	41.81	20.71	60.39	75.11	109.66	76.17	46.84	72.52	82.87	47.17	45.53	48.52	81.71	87.65	120.94	75.64	32.82	4.9	9.06	1.87	4.86	8.71	12.18	3.89	15.91	8.0	7.22	9.63	4.39	2.89	22.75	10.96	27.64	7.63	3.14	7.51	11.64	25.17	31.45	37.59	22.92	6.01	2.71	6.73	1.13	2.73	3.56	6.89	3.5	5.59	13.22	759.08	78.89	264.03	693.58	148.09	28.45	7.63	20.26	10.16
SGOL2	47.5	65.26	66.18	43.32	55.89	53.95	34.26	38.4	43.94	90.14	72.52	40.93	74.06	54.33	48.18	44.89	53.57	61.68	70.01	101.54	59.13	31.0	6.16	7.11	6.01	8.0	7.11	11.64	3.86	18.97	7.0	13.83	10.47	26.86	2.48	17.9	12.83	15.22	21.01	4.46	8.65	12.0	6.16	30.34	20.56	33.3	8.13	0.58	7.06	5.36	2.1	6.16	8.06	2.97	5.73	7.17	158.79	96.68	150.17	223.41	120.1	26.1	11.21	24.11	13.62
SKA3	43.94	97.36	126.12	64.8	92.7	56.68	38.12	54.33	72.52	123.5	82.87	53.19	97.36	109.66	71.0	70.01	65.26	100.83	118.43	146.03	111.99	43.94	4.43	4.31	2.81	4.86	9.13	7.51	2.58	11.55	8.51	6.78	5.73	13.93	3.32	20.26	22.92	29.27	24.11	5.41	11.47	19.25	28.24	23.08	25.35	22.26	4.35	1.83	3.38	1.5	5.59	12.18	0.0	0.0	0.0	8.32	665.29	139.07	438.59	295.11	348.71	58.3	4.7	21.47	17.51
SMC4	571.05	454.09	559.28	616.37	483.38	559.28	460.44	473.41	454.09	647.07	612.11	414.87	575.03	521.76	665.29	599.49	503.95	660.68	497.0	884.29	633.73	309.83	269.6	339.14	96.01	136.19	267.73	457.25	256.78	497.0	212.78	423.61	325.29	118.43	22.43	361.04	103.69	180.02	116.78	26.1	79.45	156.59	103.69	417.77	305.55	320.8	170.25	32.36	124.37	50.27	154.42	81.71	96.01	161.02	141.02	139.07	2224.63	860.08	1268.46	2875.3	2018.8	435.55	314.17	872.1	256.78
SPC25	42.71	177.53	197.09	151.22	220.32	113.56	138.1	109.66	120.94	197.09	177.53	102.97	211.31	194.36	149.12	115.16	111.21	226.54	251.48	220.32	180.02	80.01	3.17	6.31	5.68	7.82	6.06	19.53	10.08	22.59	14.78	21.47	4.46	3.66	10.55	25.35	23.25	26.86	24.99	10.0	32.13	16.75	23.76	47.5	30.12	31.45	5.02	3.29	7.63	0.0	4.43	0.0	2.12	7.17	4.46	11.21	277.2	220.32	529.06	480.04	366.09	41.81	28.04	25.35	21.32
SPDEF	120.94	2367.9	1268.46	2855.44	3982.99	3443.31	1923.14	1674.06	1572.76	2855.44	1909.85	2061.24	2796.65	3060.45	1757.34	2997.45	2468.49	3614.55	3168.41	2271.4	2240.11	2104.58	2.27	0.51	1.91	1.25	1.62	0.49	8.71	3.63	1.93	3.92	2.25	0.42	1.69	1.36	10.0	0.42	0.88	1.85	1.22	4.54	2.43	463.65	0.0	9.2	1.1	1.85	0.62	1.03	0.03	9.85	5.06	0.0	3.86	1.01	466.88	339.14	1467.37	988.12	674.59	441.64	0.0	2.34	3.14
STIL	60.39	119.26	95.34	111.21	163.28	109.66	71.0	78.34	111.21	153.34	112.77	93.35	115.97	124.37	120.1	118.43	106.63	111.99	108.14	156.59	129.69	94.67	8.92	10.08	9.41	9.34	10.39	9.93	7.82	16.39	9.06	14.56	11.91	9.2	16.27	23.42	12.0	14.24	22.92	16.27	15.56	8.99	15.34	18.7	17.51	21.01	9.93	2.58	6.26	3.38	2.81	10.08	12.18	2.94	1.71	4.21	244.57	142.01	429.54	255.0	88.26	56.68	12.74	20.26	14.03
SUV39H2	173.85	86.43	69.03	80.01	87.65	45.85	70.01	69.52	67.12	73.54	124.37	59.13	91.41	109.66	89.51	105.89	78.34	151.22	129.69	98.73	90.77	36.01	48.87	26.28	47.5	48.52	30.12	42.41	54.72	38.12	29.7	37.05	57.49	93.35	30.78	43.94	13.52	65.26	75.11	38.67	68.55	55.1	74.58	135.24	48.87	152.28	48.52	38.67	62.12	30.56	37.59	25.54	36.01	20.56	112.77	52.45	441.64	218.79	507.46	277.2	307.69	75.64	101.54	88.88	46.18
