	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.T5JC.1526.SM.4DM68	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	TCGA.B8.4621.01A.01R.1503.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6132.11A.01R.1965.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.1211K.0726.SM.5FQUW
ELMOD2	447.82	191.67	201.25	47.5	231.32	281.09	256.78	587.13	295.11	318.57	305.55	234.57	273.37	239.52	232.94	271.48	205.5	303.44	293.07	119.26	258.57	217.27	371.22	384.34	447.82	629.35	262.2	241.19	293.07	241.19	279.14	303.44	358.54	316.37	297.17	301.33	291.04	312.0	403.5	291.04	395.18	295.11	303.44	348.71	358.54	303.44	486.75	368.65	353.59	295.11	429.54	339.14	603.67	353.59	389.72	363.56	435.55	616.37	642.59	361.04	684.02	387.02	473.41	599.49	351.14	486.75	397.93	435.55	403.5	420.68	373.81	444.72	295.11	262.2	256.78	262.2	223.41	275.28	194.36	273.37	242.88	301.33	251.48	281.09	237.86	249.73	255.0	260.38	0.0	0.32	376.41	339.14	260.38
ELOVL7	204.07	20.26	21.01	177.53	320.8	11.73	78.89	54.33	397.93	81.71	392.44	395.18	379.04	457.25	423.61	575.03	563.18	397.93	376.41	77.25	493.56	376.41	1023.0	400.71	884.29	854.13	426.57	532.74	693.58	387.02	514.56	457.25	403.5	466.88	466.88	429.54	454.09	314.17	507.46	447.82	447.82	536.45	547.75	514.56	414.87	480.04	406.31	503.95	629.35	392.44	518.15	387.02	688.78	1066.48	902.89	583.07	1135.2	1001.93	713.11	551.56	612.11	651.58	836.53	1143.1	1096.5	848.22	698.41	703.28	1008.9	1417.35	674.59	854.13	336.79	444.72	389.72	457.25	368.65	429.54	503.95	376.41	389.72	307.69	473.41	460.44	403.5	432.53	363.56	384.34	0.0	0.2	234.57	271.48	381.68
EMP3	753.83	77.79	234.57	476.71	444.72	500.46	1191.69	92.05	571.05	603.67	921.88	842.36	703.28	1088.92	1191.69	890.44	591.22	753.83	483.38	334.46	854.13	341.51	417.77	1259.69	2119.22	2367.9	536.45	395.18	1519.15	878.17	1216.75	1119.56	934.76	591.22	638.15	679.29	679.29	796.86	463.65	769.69	665.29	743.43	688.78	1015.93	665.29	607.87	1572.76	1457.23	866.07	1561.89	1023.0	1127.35	2976.74	3820.7	2915.45	3235.01	1794.29	2209.26	1832.01	1936.53	1662.49	5633.22	2133.97	3081.75	2520.38	1199.98	1977.24	3146.52	3235.01	1745.2	2287.2	1498.22	1259.69	836.53	1277.29	559.28	753.83	679.29	988.12	921.88	503.95	2520.38	638.15	483.38	1008.9	1437.15	743.43	733.19	0.0	0.85	301.33	836.53	309.83
EPB41L1	2075.59	1175.27	1242.34	1268.46	1733.13	1572.76	1167.14	1769.57	2796.65	1551.09	2758.13	2367.9	1088.92	2997.45	2485.67	1896.65	3515.68	2193.99	1304.15	2875.3	1769.57	1350.18	2090.03	4298.64	3103.19	1991.0	2047.0	2193.99	2451.44	3018.3	2193.99	1709.26	2133.97	2520.38	2032.85	1977.24	2451.44	1769.57	4152.18	3103.19	2520.38	2319.15	2351.53	2178.83	1936.53	3794.3	1745.2	2816.11	1950.0	1832.01	2018.8	2502.97	1794.29	3794.3	3039.3	4038.61	3901.01	4419.52	4239.45	4543.8	5672.41	2400.97	2178.83	1583.71	2777.33	4937.99	3280.18	2485.67	3491.39	3794.3	2004.85	7280.4	1286.18	2255.7	2367.9	1819.35	2075.59	2956.17	2451.44	2956.17	2075.59	2976.74	2682.69	3081.75	2645.74	2609.3	2255.7	2627.46	356.05	802.41	669.92	633.73	603.67
EVC2	11.3	43.63	47.5	7.06	7.75	6.94	7.88	0.93	12.64	17.51	65.26	61.25	22.59	52.45	55.49	31.9	37.32	27.44	42.41	13.93	29.48	24.63	57.89	63.0	73.03	18.43	38.4	61.25	44.57	51.35	55.1	74.06	37.85	63.0	59.55	59.55	61.68	36.79	67.59	56.68	48.52	57.49	68.07	71.0	38.95	74.58	36.27	90.14	58.3	63.0	59.55	66.18	150.17	68.55	127.0	202.66	147.06	163.28	77.79	220.32	125.24	78.89	143.01	150.17	41.81	141.02	197.09	108.14	154.42	197.09	103.69	218.79	47.17	42.71	70.51	43.32	51.71	55.1	49.91	62.12	39.22	72.52	56.28	52.82	59.97	54.33	73.03	49.56	0.0	0.4	111.99	130.6	120.1
FADD	435.55	612.11	444.72	271.48	301.33	289.02	460.44	353.59	327.56	314.17	447.82	343.89	384.34	493.56	361.04	414.87	277.2	500.46	279.14	387.02	267.73	249.73	536.45	486.75	483.38	642.59	493.56	363.56	297.17	323.03	336.79	435.55	417.77	249.73	366.09	348.71	327.56	454.09	269.6	371.22	381.68	312.0	327.56	366.09	361.04	368.65	435.55	500.46	348.71	412.0	353.59	406.31	555.41	629.35	536.45	591.22	486.75	532.74	629.35	633.73	466.88	579.04	540.19	738.29	327.56	579.04	414.87	660.68	559.28	665.29	698.41	518.15	336.79	366.09	376.41	329.84	325.29	389.72	397.93	341.51	426.57	473.41	325.29	381.68	351.14	414.87	463.65	444.72	0.0	0.27	123.5	381.68	279.14
FAIM	309.83	476.71	802.41	314.17	612.11	329.84	363.56	684.02	463.65	466.88	343.89	334.46	329.84	389.72	460.44	460.44	358.54	406.31	127.89	878.17	457.25	329.84	397.93	743.43	1073.91	281.09	226.54	277.2	325.29	301.33	414.87	543.96	409.15	414.87	532.74	429.54	454.09	371.22	417.77	341.51	395.18	312.0	447.82	463.65	316.37	339.14	503.95	674.59	429.54	490.14	559.28	486.75	2163.77	2224.63	1322.37	995.0	2875.3	1697.45	1208.34	1175.27	1519.15	1583.71	583.07	860.08	599.49	1674.06	1721.16	1870.53	2701.35	1183.45	1417.35	2915.45	551.56	312.0	426.57	301.33	312.0	343.89	343.89	299.25	242.88	525.39	312.0	237.86	348.71	275.28	255.0	293.07	0.0	0.0	429.54	579.04	483.38
FAM189A1	13.22	31.67	1.62	6.67	0.39	4.74	18.97	0.62	46.5	83.45	41.52	34.51	18.03	50.98	39.22	23.59	67.12	54.33	62.56	4.39	177.53	39.22	34.51	20.26	223.41	43.02	38.4	39.22	37.32	63.45	34.75	49.56	44.57	26.47	41.52	43.32	34.51	31.67	54.72	44.57	45.53	34.26	46.18	45.53	25.91	45.85	38.4	76.71	33.54	54.33	56.28	52.08	438.59	334.46	400.71	297.17	265.87	341.51	223.41	490.14	563.18	438.59	249.73	316.37	281.09	595.34	420.68	206.94	400.71	262.2	432.53	928.3	21.63	54.33	85.22	55.1	33.78	29.91	59.13	87.03	71.0	113.56	59.55	63.89	75.11	75.64	65.26	64.8	0.0	0.09	51.35	236.21	29.27
FANK1	80.57	142.01	154.42	133.36	9.27	105.15	32.13	74.06	172.65	83.45	163.28	175.07	152.28	169.07	185.11	154.42	215.77	262.2	244.57	48.18	285.03	112.77	122.64	297.17	228.13	237.86	105.89	135.24	125.24	159.9	149.12	138.1	133.36	117.6	156.59	125.24	140.04	117.6	120.1	149.12	129.69	133.36	108.9	175.07	136.19	111.21	162.14	201.25	105.89	197.09	167.9	151.22	559.28	346.29	363.56	567.1	395.18	457.25	575.03	454.09	444.72	381.68	463.65	583.07	277.2	441.64	521.76	684.02	420.68	379.04	435.55	447.82	185.11	133.36	148.09	141.02	134.3	102.25	185.11	135.24	107.38	234.57	149.12	113.56	158.79	148.09	88.88	115.97	0.0	0.0	476.71	327.56	297.17
FAS	77.79	35.0	73.03	49.21	131.51	111.99	49.56	34.51	81.71	122.64	264.03	155.5	164.42	305.55	343.89	262.2	101.54	117.6	204.07	33.06	177.53	150.17	193.01	193.01	507.46	1183.45	208.38	113.56	147.06	309.83	244.57	271.48	397.93	191.67	193.01	155.5	128.79	264.03	493.56	186.4	228.13	162.14	209.84	334.46	316.37	185.11	616.37	507.46	221.86	371.22	466.88	303.44	312.0	660.68	1073.91	1015.93	878.17	583.07	366.09	842.36	1268.46	575.03	1225.22	860.08	674.59	1183.45	684.02	612.11	503.95	473.41	825.0	753.83	205.5	169.07	414.87	180.02	111.21	177.53	197.09	229.72	183.82	460.44	215.77	248.0	244.57	387.02	144.01	305.55	0.0	0.64	249.73	206.94	81.14
FAT1	651.58	3742.05	1628.26	825.0	2193.99	2520.38	624.99	2816.11	1757.34	2148.82	2367.9	1745.2	830.75	2417.67	1417.35	941.27	967.76	3982.99	2468.49	353.59	1529.73	2739.08	3955.48	3794.3	5831.91	2520.38	1487.87	1832.01	2004.85	2271.4	2303.12	2047.0	2075.59	2163.77	1745.2	1769.57	2047.0	1359.57	2627.46	2240.11	2367.9	2061.24	2240.11	1991.0	1498.22	2209.26	2061.24	3349.13	1832.01	2502.97	2133.97	2148.82	7589.61	6164.49	7280.4	6250.56	7966.99	6294.04	8363.13	5076.84	5112.16	4836.35	7230.1	5791.62	4736.79	7130.55	4543.8	5711.87	6516.03	5913.33	4937.99	4575.41	1397.83	1794.29	2271.4	1806.78	2004.85	1950.0	2351.53	2485.67	2018.8	3190.46	1950.0	2148.82	1721.16	2609.3	2178.83	2090.03	1350.18	223.41	314.17	728.11	497.0
FBXL16	164.42	3.14	6.06	612.11	29.06	7.63	22.59	7.17	45.85	351.14	373.81	312.0	121.79	126.12	532.74	206.94	486.75	165.57	85.82	118.43	218.79	348.71	80.01	221.86	954.43	154.42	78.89	87.65	193.01	241.19	127.0	106.63	172.65	178.77	217.27	93.35	239.52	123.5	205.5	363.56	251.48	126.12	312.0	208.38	273.37	149.12	205.5	190.34	191.67	187.71	212.78	249.73	2627.46	3168.41	1896.65	5633.22	1950.0	208.38	376.41	3589.58	1685.71	2303.12	2335.28	187.71	3124.78	1950.0	775.05	1662.49	1617.0	2319.15	2855.44	3690.52	409.15	214.27	154.42	116.78	307.69	318.57	343.89	336.79	70.51	669.92	105.15	115.16	299.25	269.6	220.32	148.09	0.0	0.16	301.33	312.0	1096.5
FBXL7	44.57	11.55	5.77	37.59	37.05	63.89	38.67	4.24	53.57	85.22	102.25	77.25	28.65	60.82	70.01	52.82	52.45	37.05	31.0	54.72	120.94	37.59	46.5	82.87	143.01	68.07	59.13	90.77	116.78	125.24	96.01	96.68	78.34	131.51	81.14	84.63	119.26	48.52	82.29	92.05	76.17	120.1	85.22	70.51	59.55	78.34	71.5	82.29	71.5	140.04	77.25	85.82	119.26	139.07	128.79	74.58	145.02	75.64	127.0	209.84	94.67	135.24	124.37	185.11	197.09	94.01	194.36	65.72	181.28	248.0	153.34	173.85	55.89	69.52	117.6	61.25	74.58	64.8	83.45	81.71	72.01	115.16	53.95	86.43	69.03	67.59	57.08	60.82	0.0	0.52	104.42	93.35	55.49
FER	50.27	30.78	45.21	44.89	46.84	13.22	44.89	24.63	48.52	50.63	108.14	62.56	41.22	65.26	59.55	42.71	80.01	49.56	52.82	90.14	101.54	39.22	80.57	84.63	114.36	54.72	53.95	89.51	89.51	80.57	94.67	101.54	73.03	111.21	87.65	59.13	93.35	60.82	101.54	89.51	103.69	104.42	98.04	80.01	68.55	88.26	114.36	93.35	87.65	96.01	98.73	101.54	67.12	75.64	67.59	82.87	100.13	131.51	87.03	102.25	98.73	60.39	64.34	187.71	53.19	89.51	123.5	70.51	84.63	248.0	57.49	92.7	32.59	57.08	69.03	62.56	65.72	58.71	88.88	73.03	63.0	88.88	58.3	65.72	61.68	90.77	53.57	62.56	0.0	0.24	198.47	116.78	121.79
FMNL2	139.07	94.01	89.51	51.71	62.56	70.01	50.98	212.78	269.6	46.18	392.44	260.38	158.79	346.29	341.51	262.2	155.5	361.04	371.22	92.05	271.48	232.94	400.71	318.57	642.59	351.14	236.21	320.8	348.71	387.02	299.25	392.44	291.04	320.8	327.56	279.14	363.56	223.41	348.71	295.11	301.33	325.29	316.37	358.54	285.03	267.73	269.6	363.56	264.03	379.04	316.37	329.84	684.02	941.27	543.96	1191.69	738.29	1359.57	536.45	723.08	775.05	540.19	915.51	819.3	679.29	620.67	679.29	909.17	620.67	733.19	665.29	571.05	253.23	231.32	381.68	248.0	189.02	256.78	318.57	267.73	223.41	423.61	248.0	277.2	329.84	341.51	198.47	232.94	0.0	0.57	1407.55	493.56	438.59
FUT11	214.27	249.73	262.2	343.89	269.6	327.56	189.02	275.28	256.78	183.82	376.41	273.37	127.89	269.6	299.25	177.53	81.71	208.38	684.02	47.5	226.54	490.14	262.2	281.09	612.11	1037.29	228.13	275.28	373.81	334.46	346.29	441.64	251.48	258.57	293.07	265.87	305.55	187.71	325.29	309.83	307.69	368.65	397.93	361.04	253.23	295.11	242.88	438.59	314.17	438.59	283.05	429.54	500.46	764.36	896.64	684.02	1059.11	647.07	379.04	961.07	825.0	679.29	981.29	567.1	802.41	896.64	848.22	493.56	1167.14	921.88	713.11	854.13	314.17	291.04	384.34	265.87	291.04	309.83	414.87	351.14	277.2	555.41	246.28	273.37	312.0	353.59	291.04	295.11	0.0	0.48	183.82	289.02	244.57
FZD1	87.03	132.44	46.84	733.19	94.01	95.34	85.82	217.27	201.25	269.6	674.59	444.72	170.25	543.96	441.64	323.03	150.17	476.71	229.72	87.03	255.0	108.9	629.35	738.29	2104.58	928.3	373.81	409.15	312.0	417.77	587.13	620.67	536.45	429.54	387.02	651.58	470.14	346.29	693.58	571.05	629.35	454.09	521.76	599.49	447.82	571.05	698.41	764.36	543.96	575.03	723.08	612.11	3081.75	1936.53	2555.58	1225.22	3325.99	1295.13	1397.83	2915.45	2915.45	1977.24	2133.97	2956.17	4937.99	3081.75	2645.74	2682.69	1781.89	1991.0	2555.58	3060.45	353.59	343.89	769.69	346.29	435.55	743.43	346.29	603.67	435.55	1044.52	529.06	414.87	497.0	660.68	616.37	624.99	0.0	0.37	941.27	2875.3	1467.37
GALNT14	13.52	438.59	236.21	6.41	1111.82	497.0	470.14	447.82	94.67	145.02	2303.12	2502.97	1923.14	3190.46	1806.78	2664.15	1135.2	3820.7	4210.15	1540.37	2193.99	2271.4	5872.48	5672.41	3103.19	5403.7	2502.97	1662.49	1088.92	1457.23	1769.57	2468.49	2645.74	2855.44	1662.49	2451.44	2224.63	2303.12	3280.18	2335.28	1870.53	1583.71	1697.45	2255.7	2682.69	2682.69	2032.85	2976.74	1896.65	1487.87	2004.85	1909.85	3928.15	4181.07	5292.48	8840.04	4769.75	2875.3	4769.75	11345.82	3955.48	3491.39	10959.3	4802.93	6164.49	6121.9	6607.01	2400.97	7537.18	7382.04	5006.93	3124.78	2451.44	1991.0	2061.24	2451.44	2090.03	2303.12	1331.57	1806.78	2555.58	2163.77	2609.3	2855.44	1977.24	1963.57	2609.3	2739.08	0.0	0.72	47.84	21.78	24.63
GDAP1L1	1.71	3.38	0.33	1.48	0.0	0.0	2.71	0.0	3.14	3.69	0.72	1.01	1.07	1.73	2.29	1.97	0.93	1.11	0.0	0.0	1.11	0.0	1.38	4.9	14.24	0.0	2.01	1.77	16.63	1.0	0.93	2.29	2.89	0.0	0.38	1.48	0.0	0.0	0.78	1.16	2.27	0.41	0.78	0.74	1.19	0.0	2.03	10.08	1.5	0.8	1.17	0.4	8.92	12.64	9.06	5.73	2.56	13.32	37.32	3.26	34.02	6.11	2.23	7.63	15.56	35.25	1.97	14.56	35.76	39.79	11.73	37.32	2.32	1.07	0.0	1.89	0.8	0.0	1.1	1.58	0.0	2.05	1.19	2.29	1.83	1.87	2.01	1.2	0.0	0.14	6.62	14.45	7.69
GLRB	15.34	14.89	0.67	11.82	10.96	19.11	7.82	0.0	265.87	75.11	119.26	142.01	98.04	62.56	101.54	144.01	55.89	14.89	18.03	121.79	38.95	14.24	67.59	334.46	327.56	152.28	69.03	95.34	104.42	91.41	80.57	106.63	102.97	154.42	103.69	131.51	176.29	78.89	91.41	148.09	111.21	162.14	91.41	98.04	98.04	128.79	133.36	92.05	105.89	92.7	127.89	96.01	733.19	595.34	540.19	341.51	603.67	607.87	890.44	271.48	329.84	420.68	591.22	303.44	223.41	373.81	738.29	571.05	551.56	728.11	348.71	387.02	189.02	101.54	60.82	92.05	144.01	132.44	74.58	90.14	69.52	105.15	73.03	87.03	96.68	94.01	36.27	73.03	0.0	0.28	10.0	75.11	9.48
GPC4	99.43	334.46	116.78	57.89	60.39	122.64	214.27	126.12	176.29	108.9	1216.75	802.41	429.54	1487.87	1088.92	780.44	384.34	2758.13	353.59	117.6	289.02	343.89	1369.04	3928.15	2520.38	1242.34	785.88	684.02	536.45	674.59	1208.34	1378.57	1340.84	842.36	954.43	848.22	825.0	802.41	988.12	1135.2	1135.2	878.17	947.83	1191.69	708.18	825.0	1175.27	2720.15	1151.06	1277.29	1286.18	866.07	2835.7	2591.27	3190.46	1709.26	5147.73	1991.0	2303.12	2417.67	1551.09	1977.24	2997.45	2451.44	2047.0	2591.27	3614.55	2287.2	2061.24	3103.19	2573.36	2303.12	620.67	679.29	1417.35	872.1	775.05	872.1	629.35	884.29	808.0	1757.34	995.0	791.35	743.43	1417.35	743.43	1001.93	0.0	0.57	205.5	246.28	283.05
GPR125	199.85	395.18	273.37	36.01	15.68	29.48	162.14	450.94	201.25	198.47	339.14	269.6	139.07	249.73	228.13	180.02	147.06	318.57	161.02	98.73	271.48	204.07	384.34	457.25	674.59	231.32	212.78	253.23	262.2	244.57	264.03	341.51	301.33	291.04	267.73	249.73	334.46	194.36	336.79	283.05	309.83	242.88	281.09	242.88	221.86	312.0	279.14	356.05	269.6	241.19	323.03	295.11	1216.75	848.22	866.07	728.11	1208.34	1322.37	1233.75	1096.5	954.43	802.41	791.35	500.46	728.11	896.64	1407.55	836.53	1030.12	490.14	540.19	1225.22	223.41	226.54	295.11	256.78	241.19	293.07	182.55	271.48	265.87	366.09	285.03	325.29	249.73	323.03	297.17	241.19	0.0	0.62	713.11	1487.87	733.19
GPX3	135693.24	483.38	198.47	265.87	187.71	728.11	738.29	241.19	130165.62	1030.12	353168.2	239554.43	783730.52	391864.76	191899.64	394590.4	417089.23	327241.36	305326.92	215898.44	237899.7	215898.44	378516.38	182810.84	63742.91	492579.5	736332.6	434801.29	334117.42	434801.29	450134.56	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	517068.97	482442.34	311742.51	322736.12	296977.71	305326.92	299043.36	561916.97	318292.9	320506.81	104996.83	400098.69	383800.28	389157.95	472513.8	2240.11	30361.44	6699.25	36106.23	10512.82	4512.4	2895.31	22072.07	3303.0	3168.41	27745.15	1135.2	3103.19	6471.02	12329.98	3395.89	6207.38	1417.35	5112.16	1870.53	267651.2	389157.95	453265.5	772940.66	358098.26	422911.59	254974.66	378516.38	711250.37	107948.72	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	0.0	1.17	546551.29	499455.67	513497.31
GPX8	228.13	518.15	28.45	94.01	76.17	169.07	186.4	21.16	348.71	490.14	279.14	208.38	147.06	186.4	224.97	253.23	297.17	115.16	209.84	159.9	228.13	100.13	130.6	325.29	1096.5	1519.15	135.24	161.02	312.0	215.77	279.14	293.07	197.09	194.36	214.27	211.31	175.07	197.09	191.67	220.32	214.27	265.87	211.31	241.19	265.87	165.57	493.56	361.04	175.07	403.5	423.61	279.14	473.41	808.0	463.65	633.73	432.53	595.34	1286.18	575.03	878.17	412.0	518.15	808.0	323.03	728.11	441.64	633.73	753.83	780.44	651.58	854.13	193.01	135.24	289.02	118.43	170.25	169.07	167.9	153.34	122.64	387.02	146.03	140.04	169.07	262.2	137.14	151.22	0.0	0.35	363.56	395.18	447.82
HSPB2	64.34	7.51	7.06	48.87	21.16	84.63	77.25	13.42	51.35	47.84	185.11	172.65	206.94	215.77	312.0	289.02	63.0	647.07	117.6	134.3	63.45	40.07	693.58	353.59	599.49	1096.5	90.77	96.68	92.05	128.79	116.78	136.19	208.38	64.34	146.03	136.19	87.65	129.69	75.64	110.43	108.14	118.43	119.26	170.25	264.03	98.73	264.03	325.29	118.43	260.38	166.73	145.02	1721.16	1066.48	1023.0	1457.23	825.0	616.37	688.78	395.18	967.76	802.41	947.83	860.08	878.17	629.35	435.55	1242.34	624.99	995.0	555.41	921.88	232.94	156.59	237.86	120.94	125.24	181.28	218.79	141.02	139.07	339.14	134.3	98.04	182.55	201.25	133.36	162.14	0.0	0.41	193.01	260.38	137.14
HYDIN	23.76	7.17	8.58	2.63	8.78	2.94	1.75	34.75	10.31	9.48	80.01	61.68	24.81	66.65	67.59	36.01	24.99	84.04	43.32	156.59	94.01	23.25	28.04	95.34	163.28	129.69	46.5	58.71	42.11	48.52	53.57	73.54	73.54	77.25	58.3	48.52	72.52	36.27	90.77	88.88	69.52	74.58	68.55	66.65	61.25	79.45	51.35	96.01	53.19	77.25	54.72	85.82	262.2	170.25	143.01	314.17	166.73	249.73	264.03	218.79	361.04	175.07	314.17	444.72	237.86	255.0	180.02	299.25	202.66	438.59	256.78	260.38	47.17	49.91	75.64	42.11	51.35	69.52	66.65	67.12	49.21	94.01	52.08	52.82	55.49	69.52	41.52	51.71	0.0	0.04	158.79	67.12	65.72
IL17RD	8.92	34.26	4.78	7.4	32.36	6.57	24.63	44.89	6.31	9.41	167.9	138.1	61.25	162.14	128.79	77.79	189.02	129.69	53.95	110.43	126.12	167.9	100.83	264.03	115.97	33.06	156.59	161.02	136.19	153.34	156.59	166.73	177.53	208.38	161.02	148.09	231.32	129.69	264.03	193.01	256.78	177.53	195.72	202.66	152.28	224.97	136.19	162.14	154.42	152.28	182.55	258.57	253.23	218.79	139.07	223.41	336.79	217.27	265.87	656.11	647.07	246.28	269.6	339.14	202.66	476.71	320.8	185.11	579.04	656.11	444.72	473.41	83.45	153.34	187.71	127.0	154.42	183.82	131.51	132.44	209.84	255.0	142.01	167.9	140.04	218.79	176.29	189.02	0.0	0.1	34.51	11.64	12.55
ILK	1407.55	579.04	2178.83	2303.12	1322.37	1304.15	2104.58	651.58	1794.29	1844.76	2758.13	2855.44	3419.52	2739.08	3168.41	3515.68	2193.99	2502.97	3168.41	2351.53	1769.57	1896.65	2935.74	3257.52	2502.97	2895.31	2645.74	2061.24	2193.99	2627.46	2609.3	3103.19	3039.3	2240.11	2645.74	2627.46	2319.15	2682.69	2319.15	2400.97	2367.9	2434.5	2434.5	2997.45	3190.46	2400.97	2935.74	3303.0	2351.53	3146.52	2875.3	2720.15	2816.11	2835.7	3190.46	4010.71	3467.27	2591.27	3589.58	4836.35	2956.17	2895.31	3325.99	4419.52	2758.13	3039.3	3467.27	2895.31	3564.78	4066.71	3103.19	3303.0	2935.74	2758.13	2875.3	2573.36	2609.3	2609.3	2645.74	2627.46	2627.46	3955.48	2591.27	2609.3	3039.3	3018.3	2400.97	2739.08	0.0	0.77	2645.74	2739.08	1950.0
IQCE	187.71	57.49	102.97	102.25	127.89	92.7	87.03	27.64	92.05	81.71	255.0	191.67	77.79	206.94	183.82	125.24	140.04	194.36	173.85	128.79	163.28	161.02	246.28	182.55	363.56	217.27	169.07	182.55	172.65	199.85	158.79	171.45	113.56	195.72	195.72	167.9	177.53	105.89	198.47	267.73	197.09	215.77	206.94	175.07	163.28	258.57	98.04	265.87	147.06	169.07	178.77	256.78	521.76	376.41	457.25	249.73	361.04	591.22	239.52	353.59	490.14	336.79	255.0	460.44	693.58	514.56	551.56	392.44	297.17	397.93	493.56	441.64	127.0	209.84	264.03	183.82	193.01	221.86	214.27	279.14	234.57	307.69	185.11	220.32	194.36	236.21	223.41	209.84	0.0	0.54	275.28	332.14	305.55
