	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.5665.11A.01R.1653.07	TCGA.A6.2684.11A.01R.A32Z.07	TCGA.AA.3516.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13OVG.1426.SM.5K7VP	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.ZTSS.1126.SM.5985O	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.QEL4.1926.SM.4R1JI	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.139T6.0826.SM.5J1O2	GTEX.13111.1126.SM.5GCMZ	GTEX.13FTW.1926.SM.5K7Y4	GTEX.WH7G.1026.SM.4LVML	GTEX.12WSJ.0726.SM.5GCN6	GTEX.1122O.1626.SM.5N9CX	GTEX.YEC3.1926.SM.4WWF5	GTEX.W5WG.1526.SM.4LMIG	GTEX.RM2N.0626.SM.48FD6	GTEX.ZDYS.0926.SM.4WWCS	GTEX.ZZPU.1826.SM.5E43L	GTEX.OIZI.1326.SM.3NB1B	GTEX.ZVT2.1226.SM.5GU5H	GTEX.11EQ9.0826.SM.5986Y	GTEX.11P82.0626.SM.5PNYK	GTEX.11DXX.1026.SM.5H11E
MRPS35	854.13	1044.52	1233.75	669.92	1923.14	1857.6	1832.01	2303.12	2047.0	1936.53	1561.89	1529.73	1685.71	1857.6	2335.28	2287.2	2163.77	2133.97	2502.97	1508.65	1844.76	1059.11	1159.07	1923.14	1407.55	1225.22	1936.53	2502.97	1963.57	884.29	1572.76	2047.0	2255.7	1697.45	2133.97	2271.4	2047.0	1427.22	1331.57	1572.76	1685.71	1572.76	1487.87	2255.7	1709.26	2384.37	1697.45	2384.37	2148.82	2133.97	2502.97	1857.6	1923.14	2047.0	2119.22	1397.83	1617.0	1561.89	2004.85	1870.53	1733.13	1322.37	1870.53	2287.2	1757.34	1651.0	2240.11	1369.04	1757.34	1551.09	1216.75	2537.92	1427.22	1605.83	1331.57	2163.77	1617.0	2367.9	1447.15	1605.83	2148.82	1561.89	1950.0	669.92	638.15	738.29	860.08	780.44	909.17	769.69	748.61	808.0	780.44	1023.0	1066.48	954.43	854.13	718.08	896.64	1030.12
MRPS9	341.51	529.06	728.11	417.77	1015.93	890.44	1059.11	1304.15	967.76	1001.93	748.61	896.64	995.0	915.51	884.29	961.07	1030.12	872.1	1359.57	693.58	884.29	802.41	642.59	967.76	813.63	629.35	902.89	1233.75	1159.07	547.75	878.17	1073.91	1183.45	961.07	995.0	884.29	813.63	860.08	684.02	802.41	764.36	981.29	665.29	967.76	802.41	1242.34	785.88	802.41	967.76	848.22	1143.1	934.76	890.44	860.08	941.27	674.59	854.13	796.86	909.17	866.07	785.88	642.59	967.76	1073.91	860.08	866.07	915.51	842.36	967.76	791.35	860.08	1369.04	733.19	785.88	629.35	1059.11	909.17	1313.23	860.08	1008.9	890.44	733.19	878.17	583.07	759.08	693.58	540.19	674.59	656.11	575.03	633.73	684.02	665.29	603.67	647.07	738.29	563.18	567.1	775.05	743.43
NDUFA10	2451.44	5147.73	6607.01	2976.74	6887.62	6079.61	7803.01	7382.04	5255.91	6381.92	5403.7	6079.61	7180.15	6294.04	6652.97	6250.56	6607.01	5831.91	6699.25	4543.8	6652.97	4298.64	6164.49	6381.92	5041.77	3901.01	7230.1	7485.11	7130.55	3303.0	5672.41	7230.1	8247.98	5555.65	7081.29	5441.3	6887.62	4512.4	4802.93	5329.3	6037.61	4704.07	5594.3	5954.47	4704.07	7642.41	5076.84	6935.54	7130.55	6840.04	7589.61	6887.62	5076.84	6294.04	5517.27	5633.22	5831.91	5112.16	6337.83	6745.86	5292.48	4543.8	5441.3	7180.15	6250.56	5711.87	6935.54	5555.65	6840.04	6337.83	3794.3	7081.29	5219.6	5219.6	5751.61	6983.79	5555.65	8421.31	4972.34	4769.75	5112.16	5219.6	8191.0	2335.28	3124.78	2976.74	3257.52	2451.44	4181.07	3303.0	3039.3	4010.71	3103.19	3874.05	2855.44	2997.45	3212.66	3589.58	3280.18	3564.78
NDUFA9	1208.34	1936.53	3467.27	2148.82	4181.07	3564.78	3874.05	5711.87	3928.15	3443.31	4239.45	3847.29	4671.57	4123.49	4210.15	5147.73	5366.37	4388.98	5913.33	2720.15	4298.64	2816.11	3768.09	4769.75	3039.3	2682.69	4802.93	4010.71	6207.38	1225.22	4123.49	5041.77	4937.99	4298.64	5255.91	4388.98	3639.7	3212.66	3982.99	3081.75	3716.2	3060.45	3443.31	3742.05	2895.31	4607.24	3103.19	4937.99	4038.61	4210.15	4704.07	3768.09	3874.05	4328.55	4298.64	3716.2	3794.3	3190.46	4388.98	4239.45	3614.55	2956.17	5292.48	4937.99	4639.29	3901.01	5076.84	3395.89	4239.45	3794.3	2645.74	5711.87	2720.15	3060.45	3443.31	4481.23	4152.18	5112.16	3372.43	2796.65	4298.64	3395.89	5403.7	1191.69	1044.52	961.07	981.29	1111.82	1350.18	1208.34	1295.13	1561.89	1135.2	1304.15	1447.15	1369.04	1104.13	1519.15	1551.09	1167.14
NDUFS2	2119.22	3928.15	3820.7	2895.31	4152.18	3614.55	4210.15	4802.93	4639.29	4010.71	3690.52	4152.18	4903.87	3820.7	3690.52	4388.98	4575.41	4298.64	3901.01	3060.45	3901.01	3212.66	2997.45	4328.55	3303.0	3124.78	3820.7	4419.52	4671.57	2451.44	3928.15	4639.29	3847.29	4152.18	4450.27	4010.71	3982.99	3589.58	3325.99	3235.01	3395.89	3039.3	3639.7	3955.48	3190.46	4328.55	3146.52	3955.48	3639.7	4512.4	4869.99	4066.71	3768.09	4038.61	3372.43	3491.39	3690.52	3146.52	4358.66	3614.55	3443.31	3443.31	4298.64	3794.3	4298.64	4152.18	4704.07	3190.46	3847.29	4123.49	3018.3	4639.29	3190.46	3146.52	3901.01	3982.99	4038.61	4388.98	2997.45	4152.18	3665.02	3742.05	4095.0	2047.0	2720.15	2682.69	2400.97	2520.38	2075.59	2133.97	2148.82	2796.65	2627.46	2537.92	2384.37	2956.17	2271.4	2271.4	3235.01	2485.67
NDUFS3	1991.0	3443.31	5112.16	3190.46	5633.22	5006.93	6164.49	7032.37	5672.41	5441.3	4802.93	5329.3	6207.38	5633.22	5076.84	7032.37	7280.4	5441.3	5954.47	3955.48	5403.7	4358.66	5479.15	6079.61	4481.23	3847.29	6426.31	6207.38	6983.79	2400.97	5329.3	5872.48	5913.33	6207.38	7485.11	5006.93	5183.54	5006.93	4639.29	4802.93	4836.35	4181.07	4268.94	5255.91	4239.45	6037.61	4066.71	5555.65	5441.3	6207.38	5672.41	5076.84	5366.37	5076.84	4836.35	4802.93	4639.29	3794.3	5183.54	5555.65	4512.4	3955.48	6792.79	5555.65	5954.47	4972.34	6337.83	4607.24	5255.91	5183.54	3768.09	7180.15	3820.7	4481.23	4328.55	5872.48	5292.48	7032.37	4328.55	5147.73	4802.93	4152.18	6792.79	1378.57	1977.24	1519.15	2104.58	1709.26	2287.2	1639.59	1909.85	2319.15	1857.6	2133.97	1991.0	1540.37	1467.37	2004.85	2255.7	2271.4
NIPSNAP1	343.89	587.13	775.05	289.02	1313.23	1037.29	1437.15	1397.83	1583.71	1617.0	1159.07	1096.5	1191.69	1242.34	1066.48	1340.84	1685.71	1529.73	1936.53	575.03	941.27	848.22	723.08	1151.06	866.07	511.0	1286.18	1572.76	1794.29	438.59	1088.92	1286.18	1388.16	981.29	1529.73	1551.09	1909.85	1191.69	1023.0	775.05	1191.69	1044.52	1295.13	1250.98	759.08	1857.6	915.51	1397.83	1519.15	1467.37	1639.59	1135.2	1268.46	1304.15	1208.34	1044.52	836.53	1044.52	1233.75	1295.13	1199.98	780.44	1674.06	1457.23	1216.75	1119.56	1617.0	791.35	1322.37	848.22	603.67	1757.34	860.08	825.0	753.83	1467.37	1225.22	1794.29	1073.91	830.75	1096.5	921.88	1119.56	127.0	291.04	366.09	244.57	283.05	297.17	185.11	228.13	285.03	232.94	255.0	285.03	260.38	202.66	220.32	356.05	256.78
OS9	5112.16	5183.54	5366.37	5711.87	6745.86	6037.61	8778.97	6607.01	5751.61	6426.31	5711.87	5711.87	6699.25	6983.79	5517.27	5995.9	6471.02	5995.9	5995.9	5995.9	6121.9	4481.23	6207.38	6699.25	6079.61	4972.34	7589.61	6516.03	6983.79	5517.27	6983.79	6983.79	6699.25	6561.36	6792.79	5329.3	5791.62	5872.48	7180.15	5633.22	6516.03	4388.98	6652.97	6516.03	5183.54	6121.9	5517.27	6426.31	6164.49	6983.79	7331.05	6516.03	6207.38	7382.04	6164.49	7382.04	5872.48	5329.3	6983.79	6337.83	5255.91	5517.27	7130.55	6652.97	6381.92	7130.55	6471.02	6037.61	7537.18	6516.03	4671.57	7130.55	5751.61	5219.6	5711.87	8022.41	7130.55	6699.25	5517.27	6250.56	6652.97	6607.01	7433.4	2537.92	3349.13	3018.3	3280.18	2956.17	3235.01	3303.0	2976.74	3955.48	3395.89	3820.7	3018.3	2468.49	2384.37	3124.78	3491.39	2895.31
PCCA	1225.22	1066.48	1001.93	780.44	2163.77	3955.48	3665.02	2956.17	2682.69	2502.97	1350.18	2682.69	2335.28	1883.54	3443.31	1369.04	2148.82	2976.74	2537.92	1015.93	2163.77	1023.0	1437.15	2758.13	1540.37	947.83	2255.7	3794.3	3303.0	529.06	2645.74	3847.29	2875.3	2485.67	2855.44	2075.59	3190.46	1977.24	1378.57	1977.24	2032.85	2240.11	974.5	1963.57	2018.8	5366.37	1709.26	3372.43	3901.01	1304.15	2915.45	2400.97	3690.52	2645.74	2915.45	1909.85	3060.45	1745.2	2119.22	1991.0	2224.63	1191.69	1225.22	2627.46	1909.85	1733.13	2796.65	1561.89	2104.58	2502.97	603.67	5366.37	995.0	1127.35	1350.18	3303.0	2119.22	3614.55	981.29	1529.73	1359.57	2609.3	2976.74	463.65	518.15	796.86	1001.93	1081.39	909.17	583.07	769.69	974.5	896.64	848.22	698.41	518.15	587.13	713.11	825.0	813.63
PCCB	397.93	764.36	836.53	493.56	1605.83	1081.39	1639.59	1709.26	1175.27	1167.14	1268.46	1277.29	1651.0	1167.14	1407.55	1594.73	1674.06	1322.37	1769.57	674.59	902.89	693.58	647.07	1277.29	1104.13	780.44	1030.12	1508.65	2018.8	438.59	1111.82	1417.35	1551.09	1096.5	1583.71	928.3	1923.14	1008.9	796.86	836.53	961.07	947.83	1066.48	1529.73	733.19	1685.71	1104.13	1457.23	928.3	1313.23	1551.09	1340.84	1369.04	1388.16	1135.2	836.53	921.88	872.1	1467.37	1295.13	1313.23	860.08	1277.29	1977.24	1417.35	1051.79	1437.15	988.12	1081.39	934.76	909.17	2224.63	808.0	1135.2	759.08	1417.35	1015.93	1769.57	988.12	934.76	1259.69	642.59	1096.5	463.65	444.72	748.61	483.38	603.67	406.31	351.14	457.25	409.15	525.39	738.29	547.75	591.22	791.35	490.14	486.75	470.14
PCTP	371.22	616.37	775.05	518.15	802.41	967.76	941.27	1081.39	796.86	921.88	896.64	764.36	902.89	872.1	1066.48	872.1	934.76	878.17	848.22	525.39	878.17	607.87	728.11	775.05	842.36	532.74	947.83	1313.23	1037.29	511.0	842.36	981.29	1081.39	733.19	1044.52	813.63	915.51	961.07	633.73	764.36	915.51	591.22	583.07	848.22	785.88	941.27	669.92	1059.11	981.29	1037.29	981.29	896.64	796.86	890.44	921.88	748.61	890.44	738.29	1119.56	624.99	796.86	587.13	660.68	961.07	836.53	890.44	854.13	587.13	934.76	647.07	1073.91	1008.9	629.35	583.07	660.68	1059.11	1183.45	1268.46	579.04	860.08	490.14	764.36	854.13	176.29	334.46	198.47	226.54	156.59	361.04	221.86	228.13	275.28	249.73	309.83	232.94	339.14	138.1	198.47	273.37	165.57
PDHA1	2287.2	5366.37	5594.3	4066.71	8658.09	7485.11	9279.58	8598.28	8840.04	7857.29	8078.22	8078.22	9606.86	8840.04	7433.4	9673.69	9215.48	8479.89	9808.75	5366.37	7966.99	5076.84	6294.04	9279.58	8022.41	5006.93	9409.14	9474.59	10585.95	2502.97	8363.13	11035.54	7642.41	7433.4	8479.89	8901.53	8718.32	6745.86	6337.83	6652.97	7695.57	5112.16	6983.79	8363.13	5954.47	9740.98	6561.36	10733.74	9088.59	8191.0	10225.32	8078.22	8538.88	8247.98	7485.11	7911.95	7642.41	5791.62	8840.04	8963.45	7130.55	5954.47	8658.09	8901.53	8247.98	7695.57	11035.54	7032.37	7130.55	7642.41	5292.48	10733.74	6935.54	5711.87	7180.15	8778.97	7382.04	8901.53	6079.61	7280.4	8963.45	7642.41	10084.54	3639.7	4010.71	3874.05	3540.14	4575.41	4836.35	3955.48	4937.99	6079.61	4123.49	5831.91	4903.87	4937.99	4802.93	4937.99	5147.73	5751.61
PDSS1	88.88	277.2	220.32	154.42	733.19	583.07	607.87	669.92	698.41	669.92	547.75	514.56	624.99	743.43	830.75	921.88	642.59	674.59	848.22	435.55	507.46	438.59	563.18	713.11	353.59	285.03	638.15	728.11	780.44	169.07	450.94	591.22	642.59	669.92	830.75	642.59	698.41	493.56	603.67	438.59	507.46	463.65	540.19	718.08	551.56	684.02	521.76	591.22	808.0	555.41	759.08	540.19	476.71	616.37	674.59	503.95	376.41	417.77	579.04	497.0	486.75	323.03	642.59	660.68	656.11	575.03	647.07	473.41	543.96	555.41	232.94	813.63	423.61	406.31	454.09	703.28	607.87	723.08	409.15	466.88	571.05	551.56	738.29	66.18	73.03	30.12	55.1	71.5	64.34	43.02	80.01	92.7	67.12	96.01	68.07	101.54	63.89	71.0	59.97	76.71
PHGR1	783730.52	61146.25	472513.8	49322.93	269512.87	386469.83	313910.86	492579.5	329517.51	260332.24	273275.14	273275.14	338781.54	348306.01	355624.68	193234.41	301123.38	271387.49	248002.34	174152.51	288856.81	175363.84	509950.32	271387.49	126606.21	138544.47	320506.81	234624.45	299043.36	48982.22	229795.93	253213.41	437825.58	414208.18	311742.51	341137.96	267651.2	228208.61	279017.26	225066.78	301123.38	119776.72	256748.15	237899.7	220434.95	290865.98	239554.43	271387.49	249727.34	279017.26	313910.86	271387.49	338781.54	194578.47	185362.8	307450.64	174152.51	140478.49	284880.02	303217.87	248002.34	148488.36	378516.38	221968.2	370726.6	239554.43	322736.12	389157.95	209994.66	269512.87	42641.37	400098.69	117311.73	114103.8	184082.4	167058.21	244588.0	419990.32	135693.24	253213.41	263966.36	288856.81	294926.33	1.11	5.41	0.0	0.0	1651.0	0.0	28.86	30.12	25.35	0.0	24.46	21.78	10.31	44.89	94.01	0.0	151.22
PIK3R2	1.46	34.26	171.45	49.91	332.14	341.51	414.87	293.07	400.71	361.04	368.65	320.8	228.13	271.48	253.23	343.89	376.41	346.29	260.38	363.56	167.9	0.0	236.21	444.72	234.57	122.64	320.8	190.34	454.09	92.05	353.59	220.32	191.67	220.32	253.23	267.73	371.22	119.26	420.68	264.03	409.15	172.65	339.14	193.01	226.54	285.03	281.09	392.44	316.37	211.31	441.64	444.72	353.59	412.0	193.01	193.01	318.57	229.72	229.72	291.04	269.6	211.31	264.03	376.41	363.56	387.02	397.93	198.47	361.04	341.51	0.0	305.55	299.25	248.0	218.79	397.93	285.03	305.55	267.73	186.4	348.71	293.07	351.14	0.0	30.78	53.19	0.0	0.0	4.35	0.0	0.0	0.0	6.94	10.08	2.16	0.0	10.55	0.0	16.63	3.38
PLA2G12A	175.07	503.95	647.07	420.68	511.0	1191.69	872.1	902.89	1015.93	909.17	698.41	878.17	878.17	684.02	1015.93	825.0	896.64	1030.12	791.35	567.1	890.44	703.28	503.95	1073.91	679.29	703.28	872.1	995.0	1096.5	775.05	813.63	934.76	819.3	567.1	780.44	915.51	813.63	633.73	665.29	941.27	703.28	595.34	928.3	780.44	860.08	1340.84	961.07	1225.22	1044.52	854.13	1242.34	1191.69	723.08	884.29	753.83	866.07	1023.0	612.11	775.05	848.22	878.17	679.29	884.29	1081.39	785.88	813.63	1044.52	547.75	708.18	698.41	420.68	1167.14	684.02	555.41	642.59	791.35	769.69	1242.34	1066.48	830.75	791.35	808.0	909.17	595.34	529.06	507.46	591.22	336.79	633.73	563.18	476.71	447.82	728.11	651.58	575.03	567.1	490.14	547.75	555.41	802.41
PPA2	1477.58	2645.74	2287.2	1896.65	4123.49	2485.67	3303.0	4152.18	3742.05	3419.52	3018.3	3467.27	3847.29	3303.0	4095.0	3955.48	3081.75	3515.68	3901.01	2209.26	3564.78	2271.4	2367.9	3168.41	2351.53	2384.37	3039.3	3491.39	4010.71	1540.37	2701.35	3467.27	4095.0	3081.75	3235.01	2935.74	4010.71	2701.35	2004.85	2537.92	2816.11	3467.27	2451.44	3443.31	2502.97	3982.99	3124.78	3419.52	3690.52	3901.01	3589.58	3235.01	2895.31	3146.52	4038.61	2555.58	2240.11	2739.08	4066.71	2835.7	2758.13	2701.35	2915.45	3540.14	3372.43	2956.17	3103.19	2451.44	3280.18	2720.15	3039.3	5041.77	2240.11	3325.99	2664.15	3018.3	2895.31	4903.87	2537.92	2434.5	2835.7	2075.59	3235.01	1427.22	1674.06	1757.34	1794.29	1605.83	1769.57	1447.15	2075.59	1662.49	1457.23	1950.0	1709.26	1950.0	1639.59	1242.34	1498.22	1437.15
PREP	872.1	743.43	878.17	642.59	1477.58	1498.22	1487.87	1697.45	1745.2	1498.22	1457.23	1417.35	1551.09	1437.15	1721.16	1651.0	1397.83	1617.0	1819.35	1242.34	1583.71	1159.07	1044.52	1572.76	1088.92	988.12	1605.83	1617.0	1745.2	684.02	1407.55	1745.2	1551.09	1313.23	1651.0	1594.73	1733.13	1304.15	1427.22	1183.45	1378.57	1081.39	1208.34	1685.71	1397.83	1781.89	1286.18	1487.87	1359.57	1617.0	1844.76	1583.71	1745.2	1639.59	1561.89	1322.37	1242.34	1183.45	1806.78	1447.15	1572.76	921.88	1467.37	1583.71	1529.73	1508.65	1551.09	1225.22	1487.87	1340.84	759.08	1832.01	1127.35	1081.39	1096.5	1733.13	1359.57	1757.34	1135.2	1427.22	1508.65	1447.15	1369.04	417.77	417.77	412.0	563.18	599.49	514.56	591.22	457.25	575.03	642.59	703.28	624.99	836.53	620.67	470.14	529.06	529.06
PTPN18	2133.97	1295.13	1529.73	1044.52	2520.38	1936.53	2434.5	2451.44	2682.69	2075.59	2255.7	2417.67	1991.0	2351.53	2573.36	2240.11	2485.67	2485.67	2224.63	1447.15	2163.77	2018.8	2075.59	2485.67	1794.29	1378.57	2319.15	2451.44	2796.65	1447.15	2319.15	2502.97	3081.75	1745.2	2485.67	2400.97	2133.97	2287.2	2573.36	1794.29	2271.4	1477.58	2303.12	2627.46	1883.54	2875.3	1923.14	2451.44	2367.9	2485.67	2303.12	2701.35	2468.49	2573.36	2451.44	2384.37	1757.34	1857.6	2701.35	2303.12	2351.53	1340.84	2319.15	2367.9	2287.2	2591.27	2163.77	2434.5	2816.11	2451.44	1208.34	2209.26	1991.0	1721.16	1769.57	2816.11	2816.11	1950.0	1936.53	2271.4	2384.37	2434.5	2224.63	743.43	759.08	878.17	1225.22	1001.93	1127.35	1081.39	1340.84	1159.07	1322.37	1208.34	1225.22	1151.06	1119.56	842.36	1277.29	995.0
RNASET2	1605.83	1583.71	2417.67	1909.85	3419.52	2915.45	4328.55	3467.27	4481.23	3820.7	2855.44	3190.46	2367.9	3768.09	3768.09	3395.89	3257.52	3665.02	3060.45	2485.67	3982.99	2816.11	2555.58	3928.15	2664.15	1950.0	4512.4	4066.71	4095.0	1044.52	3794.3	4450.27	4450.27	4481.23	2956.17	2664.15	3847.29	3168.41	3467.27	2816.11	4358.66	2163.77	4095.0	3847.29	2664.15	4512.4	3665.02	4239.45	3690.52	3639.7	4123.49	4210.15	3928.15	3874.05	3955.48	3467.27	3146.52	2609.3	4769.75	4066.71	4066.71	1844.76	3081.75	3325.99	3349.13	3768.09	3349.13	3665.02	4836.35	4095.0	1745.2	4095.0	3168.41	2537.92	3039.3	4298.64	5041.77	3874.05	3168.41	2739.08	5006.93	3768.09	3665.02	256.78	466.88	1135.2	450.94	429.54	339.14	186.4	532.74	480.04	647.07	511.0	363.56	356.05	297.17	320.8	848.22	507.46
RTN4IP1	77.25	172.65	236.21	154.42	417.77	273.37	265.87	450.94	289.02	301.33	309.83	271.48	392.44	295.11	368.65	387.02	336.79	368.65	420.68	239.52	301.33	223.41	255.0	301.33	193.01	164.42	289.02	381.68	397.93	111.21	281.09	381.68	373.81	314.17	392.44	264.03	381.68	231.32	229.72	211.31	232.94	273.37	283.05	356.05	251.48	409.15	249.73	312.0	358.54	285.03	320.8	285.03	371.22	320.8	293.07	236.21	190.34	293.07	332.14	279.14	289.02	221.86	358.54	389.72	361.04	267.73	348.71	279.14	325.29	273.37	189.02	480.04	218.79	246.28	262.2	332.14	253.23	438.59	281.09	234.57	318.57	248.0	412.0	63.89	90.77	158.79	102.97	75.11	88.26	100.13	90.14	115.97	100.13	108.9	116.78	90.14	100.83	84.04	137.14	105.89
SAMM50	638.15	947.83	1199.98	791.35	1427.22	967.76	1427.22	1628.26	1286.18	1529.73	1407.55	1322.37	1487.87	1250.98	1417.35	1594.73	1628.26	1250.98	1685.71	1044.52	1304.15	842.36	825.0	1208.34	872.1	995.0	1477.58	1508.65	1685.71	1096.5	1388.16	1447.15	1561.89	1175.27	1572.76	1277.29	1322.37	1143.1	928.3	1295.13	1242.34	1111.82	1250.98	1397.83	934.76	1447.15	1216.75	1295.13	1369.04	1304.15	1369.04	1259.69	1498.22	1322.37	1350.18	1037.29	1216.75	1225.22	1417.35	1295.13	1119.56	1051.79	1697.45	1417.35	1250.98	1175.27	1340.84	1277.29	1407.55	1081.39	1286.18	1487.87	1044.52	1167.14	1151.06	1407.55	1397.83	1551.09	1277.29	1073.91	1277.29	1143.1	1617.0	642.59	693.58	848.22	785.88	902.89	775.05	607.87	791.35	878.17	733.19	836.53	872.1	896.64	860.08	769.69	878.17	915.51
SDHC	1909.85	2664.15	3325.99	2451.44	4239.45	4239.45	4095.0	5219.6	3614.55	3665.02	3716.2	3982.99	4328.55	3847.29	4298.64	4639.29	4328.55	3794.3	5041.77	3018.3	3928.15	2835.7	2997.45	3847.29	3325.99	3280.18	3467.27	4512.4	4512.4	2956.17	3639.7	4298.64	4388.98	3443.31	5041.77	3768.09	4450.27	3419.52	2720.15	3280.18	3716.2	3146.52	3443.31	4543.8	3018.3	4328.55	3349.13	4869.99	3820.7	4450.27	4736.79	3443.31	3443.31	4239.45	3690.52	3146.52	3589.58	3280.18	3820.7	3419.52	3665.02	3820.7	4704.07	4671.57	3690.52	3564.78	4210.15	3060.45	4010.71	2915.45	3419.52	5076.84	2915.45	3639.7	2895.31	4328.55	3742.05	4575.41	3491.39	3257.52	3716.2	2956.17	3589.58	2090.03	1991.0	2400.97	2384.37	2417.67	2502.97	2178.83	2193.99	2240.11	2351.53	2739.08	2502.97	3039.3	2451.44	2047.0	2520.38	2061.24
SEL1L3	1896.65	708.18	555.41	651.58	2090.03	2240.11	2468.49	1819.35	2148.82	2075.59	1745.2	1745.2	1529.73	2119.22	2209.26	2485.67	2075.59	1844.76	1769.57	1617.0	2209.26	1183.45	2178.83	2400.97	1250.98	1225.22	2061.24	2384.37	2367.9	518.15	1819.35	2520.38	2384.37	1733.13	1923.14	2104.58	2032.85	1628.26	2163.77	1519.15	2319.15	780.44	2240.11	2178.83	1617.0	2163.77	1781.89	2351.53	2133.97	2224.63	2417.67	2915.45	2193.99	2816.11	2627.46	2384.37	1909.85	1259.69	2319.15	2287.2	1909.85	1175.27	2224.63	2148.82	2018.8	1819.35	2090.03	1977.24	2240.11	2047.0	551.56	2075.59	1529.73	1233.75	1561.89	2417.67	2004.85	1870.53	1572.76	2032.85	2835.7	2367.9	1977.24	36.27	88.26	123.5	137.14	40.93	48.87	45.21	78.34	67.59	178.77	114.36	73.54	68.07	78.89	111.99	93.35	100.83
