	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13S86.0826.SM.5SI6J	GTEX.11ONC.1526.SM.5GU6S	GTEX.ZZPT.1426.SM.5N9C5	GTEX.R45C.1226.SM.48FEE	GTEX.XK95.1026.SM.4GIDV	GTEX.WVLH.1426.SM.4MVNX	GTEX.139TU.1226.SM.5J2NL	GTEX.Y5V6.1026.SM.4VBS2	GTEX.UPK5.1226.SM.4IHL8	GTEX.QDVN.1026.SM.48TZA	GTEX.11DZ1.2026.SM.5A5KG	GTEX.RN64.1026.SM.48FDX	GTEX.ZPCL.1426.SM.57WEC	GTEX.U3ZH.1026.SM.4DXUZ	GTEX.S33H.0826.SM.4AD5Y	TCGA.CV.7261.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7424.11A.01R.2081.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.6935.11A.01R.1915.07	GTEX.12WSM.1826.SM.5BC64	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8462.11A.01R.2343.13	GTEX.11NUK.2426.SM.5BC4U
KCND1	22.43	14.35	25.72	17.51	16.88	17.77	21.32	41.52	26.1	88.88	50.98	40.93	18.16	38.95	23.59	39.79	29.7	49.56	17.25	27.44	35.5	36.53	8.0	11.73	2.01	8.58	5.45	6.67	4.13	1.93	9.13	4.21	2.27	2.86	15.45	13.12
KCTD13	175.07	363.56	486.75	575.03	384.34	395.18	356.05	470.14	363.56	988.12	884.29	536.45	480.04	579.04	343.89	571.05	389.72	651.58	595.34	587.13	435.55	507.46	217.27	181.28	116.78	223.41	191.67	159.9	96.01	56.68	166.73	109.66	94.01	96.68	279.14	89.51
KRI1	612.11	764.36	723.08	909.17	587.13	607.87	607.87	842.36	575.03	1519.15	1277.29	884.29	743.43	866.07	529.06	836.53	583.07	1259.69	595.34	559.28	532.74	642.59	409.15	480.04	132.44	571.05	406.31	497.0	327.56	151.22	438.59	500.46	381.68	473.41	327.56	120.94
LEAP2	32.59	39.79	25.35	45.85	37.32	24.11	36.27	67.12	69.52	301.33	232.94	170.25	110.43	161.02	64.8	120.94	54.33	194.36	91.41	100.13	94.01	158.79	13.32	6.67	15.8	19.97	9.2	6.06	12.0	0.33	2.2	4.54	2.81	2.61	23.08	12.64
LYG1	3.2	12.64	16.03	23.76	23.08	36.79	14.78	47.17	28.65	194.36	77.79	69.52	11.21	43.63	36.53	46.84	19.97	96.68	17.0	36.53	10.39	57.08	4.13	1.85	6.21	16.51	6.94	0.0	2.56	1.0	0.0	0.79	0.96	3.63	11.55	1.58
MDN1	297.17	629.35	460.44	571.05	403.5	423.61	351.14	599.49	665.29	902.89	1001.93	928.3	587.13	684.02	460.44	463.65	414.87	1044.52	575.03	521.76	429.54	563.18	346.29	246.28	92.7	435.55	295.11	241.19	212.78	132.44	295.11	191.67	361.04	307.69	249.73	63.45
MICALL2	1127.35	921.88	660.68	988.12	532.74	1781.89	500.46	1073.91	1685.71	3614.55	2520.38	1340.84	1806.78	2303.12	703.28	1832.01	1001.93	2537.92	1259.69	1617.0	1059.11	1769.57	269.6	336.79	172.65	463.65	567.1	262.2	262.2	59.13	363.56	164.42	115.16	134.3	483.38	500.46
MIR3654	47.5	32.36	49.56	48.52	47.17	50.27	60.82	57.08	84.04	70.01	82.29	77.79	69.03	91.41	57.89	84.04	47.84	105.15	72.01	108.14	73.03	94.01	23.93	21.47	18.97	34.26	34.51	20.86	38.4	19.53	28.04	12.93	19.25	14.03	29.48	10.31
MORC2	190.34	409.15	563.18	796.86	403.5	525.39	373.81	540.19	460.44	525.39	599.49	679.29	529.06	567.1	447.82	473.41	303.44	759.08	476.71	336.79	269.6	414.87	336.79	358.54	117.6	397.93	363.56	348.71	239.52	193.01	193.01	316.37	301.33	423.61	309.83	172.65
MSS51	7.22	15.0	27.64	35.25	25.17	20.26	19.39	42.11	27.64	72.01	88.26	77.79	25.17	53.19	32.13	65.72	24.81	43.94	46.18	34.75	68.07	47.84	3.99	4.74	2.68	6.89	8.58	3.72	11.21	2.03	3.47	6.89	3.89	5.82	8.19	4.35
MUM1	356.05	417.77	633.73	583.07	432.53	483.38	579.04	764.36	480.04	1135.2	967.76	674.59	507.46	738.29	583.07	819.3	470.14	1030.12	540.19	723.08	748.61	587.13	303.44	299.25	132.44	429.54	361.04	199.85	244.57	108.9	199.85	145.02	212.78	126.12	395.18	185.11
MUS81	412.0	679.29	759.08	1388.16	607.87	830.75	693.58	738.29	698.41	1519.15	1378.57	1001.93	995.0	1208.34	738.29	1044.52	743.43	1216.75	866.07	896.64	813.63	1051.79	420.68	373.81	395.18	490.14	429.54	361.04	387.02	295.11	323.03	285.03	246.28	226.54	563.18	384.34
MUTYH	361.04	341.51	376.41	463.65	265.87	738.29	379.04	368.65	318.57	1159.07	759.08	493.56	521.76	607.87	291.04	748.61	287.01	995.0	417.77	432.53	466.88	470.14	171.45	181.28	162.14	183.82	206.94	138.1	189.02	87.03	125.24	106.63	103.69	88.88	224.97	139.07
NAT9	281.09	599.49	633.73	718.08	435.55	813.63	497.0	703.28	624.99	1268.46	954.43	915.51	551.56	718.08	417.77	775.05	563.18	1242.34	466.88	753.83	518.15	624.99	260.38	265.87	156.59	353.59	281.09	260.38	318.57	129.69	116.78	145.02	147.06	111.99	229.72	246.28
NPIPA1	417.77	941.27	1909.85	2287.2	1896.65	1313.23	1378.57	2018.8	2367.9	5366.37	4123.49	2720.15	1806.78	3103.19	1617.0	2739.08	1487.87	4481.23	1832.01	3665.02	2032.85	2997.45	435.55	397.93	127.0	780.44	511.0	231.32	363.56	76.17	392.44	212.78	182.55	305.55	547.75	153.34
PABPC1L	113.56	141.02	587.13	656.11	454.09	392.44	329.84	780.44	591.22	1733.13	1135.2	620.67	620.67	866.07	500.46	1119.56	497.0	1745.2	503.95	995.0	669.92	1015.93	61.25	48.52	32.36	122.64	111.21	24.63	42.41	3.56	15.34	26.67	25.17	15.34	295.11	74.58
PDCD7	521.76	361.04	387.02	409.15	403.5	392.44	420.68	463.65	532.74	490.14	642.59	543.96	607.87	583.07	395.18	444.72	381.68	603.67	514.56	358.54	429.54	587.13	376.41	299.25	232.94	384.34	309.83	295.11	234.57	279.14	341.51	265.87	228.13	323.03	285.03	86.43
