	TCGA.FJ.A871.01A.11R.A352.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.38.4625.01A.01R.1206.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.T6MO.0226.SM.32QOL	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C	TCGA.N9.A4Q7.01A.11R.A28V.07
PDCD10	854.13	476.71	277.2	0.0	1059.11	915.51	1286.18	1378.57	723.08	775.05	928.3	967.76	915.51	866.07	860.08	872.1	733.19	748.61	738.29	1015.93	848.22	896.64
PDIK1L	26.1	58.3	46.18	0.0	256.78	249.73	361.04	363.56	176.29	173.85	299.25	231.32	314.17	155.5	181.28	248.0	211.31	447.82	167.9	232.94	214.27	44.57
PECR	96.68	113.56	242.88	0.0	476.71	457.25	460.44	647.07	289.02	262.2	444.72	316.37	791.35	256.78	327.56	343.89	320.8	529.06	279.14	460.44	450.94	239.52
PEX1	111.99	157.68	105.89	0.0	497.0	435.55	620.67	473.41	316.37	409.15	432.53	497.0	470.14	353.59	493.56	379.04	346.29	460.44	371.22	406.31	460.44	133.36
PHLPP2	45.21	23.76	28.65	0.0	182.55	187.71	148.09	209.84	118.43	75.64	92.7	165.57	185.11	80.57	143.01	100.83	140.04	209.84	113.56	120.1	143.01	13.03
PPP1R3B	47.84	138.1	135.24	0.0	567.1	483.38	400.71	587.13	242.88	202.66	281.09	438.59	728.11	189.02	77.25	109.66	198.47	607.87	208.38	190.34	180.02	41.81
PPP2CB	1015.93	1015.93	1519.15	0.0	3467.27	3589.58	4268.94	4328.55	2609.3	2664.15	2816.11	3419.52	3874.05	2351.53	2701.35	3491.39	2573.36	3768.09	2287.2	3742.05	3395.89	599.49
PPP2R5C	1561.89	1167.14	825.0	1832.01	2224.63	2287.2	2209.26	2485.67	1583.71	1685.71	2018.8	2104.58	2061.24	1540.37	1561.89	1583.71	1551.09	2004.85	1857.6	1819.35	2739.08	1127.35
PRDM5	13.22	19.25	17.64	0.0	223.41	165.57	237.86	143.01	145.02	162.14	193.01	176.29	248.0	185.11	152.28	135.24	185.11	158.79	150.17	169.07	221.86	17.25
PRKCI	218.79	128.79	180.02	283.05	961.07	854.13	1151.06	1183.45	423.61	633.73	808.0	616.37	764.36	447.82	642.59	775.05	587.13	1015.93	559.28	780.44	728.11	309.83
