	TCGA.AA.3489.11A.01R.1839.07	GTEX.12WSJ.0826.SM.5PNWV	GTEX.13O61.1226.SM.5KM21	TCGA.35.4122.01A.01R.1107.07	TCGA.50.5066.01A.01R.1628.07	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.33.4589.01A.01R.1443.07	TCGA.18.3421.01A.01R.0980.07	TCGA.37.4133.01A.01R.1100.07	TCGA.66.2778.01A.02R.0851.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.34.5234.01A.01R.1635.07	TCGA.37.3783.01A.01R.1201.07	TCGA.AG.3725.11A.01R.1736.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.BR.8367.01A.11R.2343.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8373.01A.11R.2343.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
NOP9	208.38	170.25	258.57	65.72	101.54	406.31	104.42	133.36	49.91	148.09	49.91	105.89	57.08	134.3	312.0	232.94	392.44	334.46	358.54	220.32	264.03	172.65	242.88	287.01	423.61	202.66	264.03	295.11	237.86	279.14	173.85	199.85	166.73	66.18	220.32	177.53
NSD1	146.03	68.07	211.31	90.77	72.52	295.11	32.82	58.3	68.55	66.65	68.55	74.06	100.13	100.83	447.82	363.56	507.46	426.57	339.14	441.64	351.14	231.32	579.04	547.75	507.46	194.36	265.87	373.81	303.44	265.87	220.32	234.57	177.53	69.52	220.32	175.07
PFKFB2	141.02	35.0	121.79	45.21	73.54	884.29	35.5	75.11	109.66	82.29	109.66	118.43	132.44	146.03	954.43	299.25	748.61	1015.93	441.64	423.61	277.2	301.33	325.29	447.82	559.28	153.34	525.39	316.37	271.48	638.15	167.9	190.34	255.0	84.63	447.82	103.69
PGC	9.06	6.46	8046889.67	669.92	269.6	2729110.67	0.48	106.63	21.78	144.01	21.78	368.65	15.0	28.86	57448.23	2310861.52	13492.72	2310861.52	2310861.52	3200796.55	1916442.45	1.011504819E7	2209.26	163620.18	5128124.01	1851161.35	1956711.0	2068278.89	5690009.96	2025714.3	2025714.3	2126426.15	851707.37	1634025.56	4885245.74	2654482.97
POLR2A	480.04	316.37	1023.0	173.85	134.3	2627.46	221.86	381.68	275.28	267.73	275.28	255.0	204.07	366.09	2335.28	1508.65	1781.89	1151.06	1304.15	808.0	1191.69	941.27	1572.76	1936.53	1417.35	1015.93	1081.39	995.0	1030.12	981.29	802.41	1225.22	616.37	131.51	791.35	723.08
PPP1R26	94.01	65.72	229.72	73.54	44.57	551.56	8.25	25.54	60.39	23.42	60.39	52.08	28.24	100.13	242.88	215.77	341.51	358.54	228.13	387.02	323.03	273.37	532.74	218.79	454.09	242.88	262.2	381.68	281.09	202.66	152.28	236.21	150.17	70.51	198.47	123.5
PPP3CA	215.77	234.57	353.59	244.57	226.54	748.61	258.57	389.72	246.28	232.94	246.28	275.28	258.57	177.53	543.96	669.92	808.0	723.08	480.04	444.72	638.15	379.04	915.51	616.37	934.76	511.0	301.33	381.68	563.18	384.34	397.93	392.44	343.89	343.89	444.72	299.25
PRR14L	82.87	72.52	157.68	47.17	64.8	237.86	67.59	120.1	104.42	64.34	104.42	69.03	106.63	69.52	435.55	329.84	518.15	336.79	251.48	242.88	269.6	172.65	612.11	285.03	316.37	206.94	279.14	379.04	289.02	295.11	164.42	166.73	137.14	66.65	187.71	139.07
PSD3	48.87	31.22	72.52	59.55	74.58	96.01	33.06	97.36	67.12	76.71	67.12	52.82	29.48	59.55	255.0	281.09	170.25	206.94	183.82	119.26	187.71	49.21	253.23	379.04	150.17	144.01	126.12	226.54	221.86	157.68	84.04	169.07	135.24	116.78	133.36	96.68
PTPRF	543.96	441.64	1199.98	500.46	389.72	2573.36	813.63	1721.16	974.5	1417.35	974.5	651.58	872.1	599.49	2816.11	1104.13	2367.9	2351.53	1781.89	1896.65	854.13	1561.89	4358.66	3395.89	2664.15	1896.65	2502.97	3103.19	1936.53	3212.66	612.11	1286.18	1073.91	713.11	1167.14	486.75
