	TCGA.BT.A20U.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZVP2.1326.SM.57WCE	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.14E6E.0726.SM.5S2R3	GTEX.13FTX.0526.SM.5IFGS	GTEX.WRHK.0526.SM.4MVOF	GTEX.ZXES.1126.SM.5GZXN	GTEX.QESD.0826.SM.47J4G	GTEX.14ICL.0526.SM.5RQJ6	GTEX.14H4A.1626.SM.5SI69	GTEX.Y5LM.1026.SM.4VDSQ	GTEX.ZPU1.1426.SM.4WWFU	GTEX.139T6.0626.SM.5IFF9	GTEX.13FH7.0526.SM.5IJF8	GTEX.1211K.0926.SM.5FQTL	GTEX.14BMU.0926.SM.5S2QB	GTEX.U4B1.0826.SM.4DXTW	GTEX.13OVI.2626.SM.5KM4T	GTEX.S95S.0426.SM.4B64I	GTEX.W5WG.1626.SM.4LMKG	GTEX.ZT9W.1326.SM.51MTB	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.ZVT2.1326.SM.5E45H	GTEX.11P81.0826.SM.5P9GR	GTEX.131XG.1026.SM.5GCMX	GTEX.ZDYS.0826.SM.4WWCR	GTEX.1122O.1726.SM.5GICM	GTEX.QV44.1126.SM.4R1KO	GTEX.XMK1.1326.SM.4B65Q	GTEX.ZZ64.0226.SM.5E44X	GTEX.QLQ7.0926.SM.447BC	GTEX.YEC3.2526.SM.4YCDN	GTEX.PWCY.0726.SM.48TCS	GTEX.WFON.0826.SM.4LVMI	GTEX.P4PQ.0626.SM.3NMCU	GTEX.11DXX.1126.SM.5GZZK	GTEX.13RTK.0526.SM.5S2QF	GTEX.13PVR.1826.SM.5Q5CC	GTEX.1399S.1326.SM.5P9GH	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.145LU.1326.SM.5LU9N	GTEX.139TS.1426.SM.5IFJD	GTEX.XBEC.1526.SM.4AT68	GTEX.13SLX.1226.SM.5S2Q6	GTEX.132NY.0926.SM.5P9G3	GTEX.REY6.1226.SM.48FDR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
RLIM	165.57	309.83	239.52	212.78	202.66	339.14	373.81	171.45	232.94	275.28	234.57	198.47	264.03	190.34	198.47	205.5	156.59	220.32	275.28	224.97	201.25	140.04	231.32	249.73	305.55	191.67	239.52	201.25	269.6	258.57	417.77	277.2	190.34	199.85	193.01	182.55	169.07	209.84	202.66	260.38	256.78	303.44	150.17	255.0	146.03	297.17	226.54	218.79	220.32	191.67	229.72	226.54	414.87	129.69	137.14	248.0	138.1	59.13	56.68	69.03	80.01	70.01	90.77	51.35	73.54	78.89	75.11	87.03	60.82	82.87	59.97	75.64	98.73	208.38	201.25	371.22	180.02	191.67	161.02	170.25	262.2
RP11-468E2.2	2.81	0.04	6.84	13.42	8.65	17.51	3.72	14.56	15.0	4.7	6.62	9.27	9.93	14.78	8.06	17.51	4.78	12.74	11.73	20.26	35.25	2.68	11.73	18.84	22.75	6.73	19.68	17.64	31.0	25.91	33.78	23.08	18.7	8.0	28.24	26.67	18.97	16.03	27.64	15.91	35.76	6.67	4.13	24.99	6.26	45.21	4.5	8.25	20.26	12.93	5.63	50.98	18.29	26.67	17.9	13.72	4.78	0.0	4.58	0.0	0.0	6.26	0.0	3.59	2.46	0.0	0.0	1.45	0.38	0.0	0.97	3.41	2.12	0.51	6.46	1.17	0.0	6.84	1.77	1.48	42.41
RPUSD4	249.73	198.47	273.37	346.29	406.31	318.57	339.14	363.56	314.17	376.41	307.69	316.37	248.0	379.04	395.18	536.45	441.64	376.41	547.75	423.61	450.94	397.93	532.74	417.77	432.53	444.72	521.76	638.15	571.05	518.15	500.46	571.05	412.0	414.87	457.25	429.54	441.64	420.68	507.46	555.41	460.44	559.28	376.41	412.0	420.68	529.06	599.49	435.55	470.14	466.88	432.53	575.03	514.56	389.72	417.77	476.71	463.65	110.43	194.36	275.28	265.87	403.5	293.07	361.04	336.79	267.73	325.29	353.59	237.86	301.33	406.31	486.75	249.73	507.46	368.65	457.25	384.34	397.93	426.57	299.25	351.14
SDE2	166.73	232.94	262.2	165.57	172.65	289.02	208.38	133.36	275.28	279.14	139.07	193.01	236.21	135.24	171.45	189.02	150.17	163.28	277.2	226.54	232.94	139.07	255.0	283.05	269.6	158.79	244.57	267.73	265.87	231.32	400.71	158.79	187.71	152.28	218.79	158.79	199.85	172.65	195.72	297.17	260.38	301.33	169.07	205.5	134.3	267.73	267.73	223.41	190.34	206.94	224.97	264.03	466.88	178.77	169.07	332.14	183.82	97.36	120.94	72.01	148.09	125.24	109.66	120.94	140.04	181.28	131.51	119.26	169.07	67.59	136.19	86.43	111.99	297.17	351.14	389.72	220.32	249.73	287.01	217.27	185.11
SELRC1	226.54	149.12	109.66	133.36	289.02	215.77	130.6	202.66	277.2	167.9	78.89	180.02	134.3	134.3	172.65	177.53	96.68	69.03	273.37	202.66	176.29	146.03	281.09	295.11	234.57	181.28	199.85	218.79	264.03	267.73	297.17	297.17	128.79	156.59	177.53	138.1	99.43	159.9	139.07	267.73	186.4	237.86	140.04	140.04	156.59	258.57	202.66	201.25	221.86	180.02	195.72	353.59	246.28	169.07	149.12	258.57	232.94	90.77	107.38	141.02	75.64	109.66	96.01	120.1	86.43	140.04	96.68	57.08	107.38	115.97	139.07	97.36	86.43	476.71	316.37	507.46	279.14	229.72	303.44	241.19	98.04
SGMS2	151.22	198.47	218.79	285.03	241.19	371.22	620.67	223.41	251.48	199.85	204.07	323.03	808.0	314.17	305.55	379.04	231.32	231.32	281.09	307.69	291.04	189.02	457.25	403.5	373.81	295.11	327.56	373.81	384.34	444.72	780.44	432.53	229.72	198.47	229.72	217.27	180.02	204.07	329.84	371.22	373.81	373.81	220.32	329.84	161.02	575.03	356.05	429.54	341.51	351.14	223.41	470.14	612.11	253.23	223.41	423.61	204.07	53.19	62.56	51.71	67.59	92.7	104.42	51.71	77.25	76.17	108.9	132.44	95.34	95.34	113.56	126.12	226.54	547.75	563.18	5329.3	412.0	185.11	277.2	241.19	273.37
SMNDC1	444.72	679.29	633.73	466.88	518.15	647.07	866.07	339.14	612.11	738.29	435.55	571.05	860.08	381.68	521.76	567.1	447.82	457.25	693.58	507.46	447.82	412.0	559.28	454.09	620.67	420.68	473.41	476.71	660.68	583.07	718.08	529.06	441.64	409.15	438.59	397.93	507.46	547.75	463.65	642.59	480.04	624.99	432.53	529.06	417.77	656.11	536.45	583.07	493.56	429.54	457.25	591.22	674.59	450.94	395.18	620.67	490.14	140.04	177.53	119.26	178.77	228.13	182.55	137.14	218.79	224.97	206.94	97.36	157.68	173.85	253.23	198.47	111.99	633.73	575.03	825.0	642.59	486.75	493.56	486.75	403.5
SNX30	92.05	63.0	141.02	106.63	122.64	173.85	96.68	74.58	127.89	92.7	95.34	122.64	117.6	77.79	100.13	98.73	60.39	122.64	144.01	81.14	111.99	90.14	108.9	111.21	119.26	80.01	143.01	163.28	148.09	130.6	105.15	149.12	134.3	71.0	141.02	96.01	128.79	72.01	124.37	149.12	147.06	124.37	102.97	84.63	88.88	140.04	103.69	141.02	109.66	144.01	82.29	135.24	177.53	74.06	63.45	92.05	36.53	26.86	28.04	28.04	33.06	52.08	47.5	39.5	60.39	32.59	34.75	57.08	29.7	61.25	13.93	34.51	35.25	55.49	51.35	51.71	68.07	55.89	73.03	47.84	84.04
SOCS7	29.91	58.3	34.75	169.07	71.5	75.64	34.51	64.34	82.29	98.73	54.33	88.88	61.68	94.01	162.14	74.06	120.94	92.05	204.07	189.02	74.58	38.67	120.94	140.04	165.57	55.89	99.43	186.4	162.14	167.9	115.16	127.89	139.07	78.34	175.07	53.95	74.06	107.38	146.03	156.59	214.27	157.68	68.07	106.63	42.41	156.59	197.09	155.5	180.02	154.42	135.24	204.07	156.59	73.54	108.9	171.45	48.87	2.29	8.58	7.34	9.48	5.63	5.54	7.94	9.85	4.43	6.41	9.06	2.84	15.0	2.14	6.11	24.46	19.11	177.53	139.07	117.6	133.36	31.67	40.93	76.71
SP2	271.48	343.89	312.0	387.02	295.11	387.02	567.1	312.0	336.79	356.05	358.54	426.57	336.79	351.14	303.44	395.18	379.04	351.14	387.02	397.93	525.39	441.64	403.5	373.81	454.09	316.37	460.44	450.94	457.25	480.04	423.61	409.15	348.71	323.03	373.81	336.79	346.29	371.22	417.77	432.53	435.55	426.57	384.34	351.14	323.03	476.71	444.72	397.93	379.04	397.93	384.34	507.46	480.04	318.57	363.56	435.55	140.04	30.34	105.15	139.07	94.01	115.97	152.28	158.79	121.79	119.26	114.36	183.82	127.89	141.02	105.15	126.12	123.5	287.01	409.15	195.72	406.31	409.15	323.03	256.78	363.56
STAG1	211.31	171.45	134.3	237.86	224.97	323.03	281.09	205.5	273.37	361.04	239.52	232.94	253.23	211.31	202.66	217.27	197.09	127.89	318.57	305.55	267.73	161.02	312.0	244.57	223.41	193.01	249.73	314.17	287.01	253.23	251.48	269.6	206.94	121.79	253.23	175.07	194.36	189.02	228.13	295.11	273.37	403.5	163.28	231.32	189.02	273.37	237.86	314.17	221.86	242.88	199.85	320.8	264.03	193.01	178.77	297.17	155.5	19.53	46.84	115.97	63.89	100.83	78.89	54.72	95.34	87.65	66.18	114.36	41.22	108.9	79.45	84.63	71.0	232.94	229.72	137.14	248.0	125.24	154.42	146.03	232.94
SUPT6H	587.13	624.99	703.28	981.29	819.3	1051.79	1088.92	836.53	921.88	802.41	808.0	954.43	1066.48	808.0	624.99	854.13	642.59	612.11	743.43	780.44	674.59	860.08	1167.14	802.41	909.17	674.59	1096.5	1044.52	921.88	1088.92	872.1	785.88	808.0	896.64	703.28	669.92	723.08	703.28	890.44	902.89	941.27	1066.48	780.44	703.28	518.15	1001.93	848.22	808.0	708.18	921.88	679.29	825.0	954.43	543.96	813.63	836.53	248.0	47.84	414.87	403.5	473.41	450.94	536.45	438.59	463.65	403.5	483.38	563.18	384.34	708.18	361.04	591.22	438.59	309.83	674.59	536.45	684.02	860.08	660.68	579.04	656.11
TAF2	163.28	161.02	314.17	356.05	381.68	457.25	470.14	287.01	466.88	466.88	325.29	351.14	318.57	271.48	277.2	329.84	181.28	199.85	379.04	358.54	334.46	206.94	438.59	346.29	371.22	332.14	368.65	412.0	406.31	420.68	389.72	341.51	285.03	275.28	316.37	303.44	246.28	273.37	346.29	435.55	379.04	366.09	269.6	299.25	265.87	371.22	363.56	323.03	285.03	275.28	291.04	392.44	403.5	204.07	234.57	301.33	212.78	38.12	124.37	44.25	77.25	82.87	73.03	46.18	97.36	78.89	106.63	63.89	70.01	98.73	49.91	137.14	61.68	267.73	309.83	277.2	242.88	209.84	185.11	202.66	361.04
TBC1D25	155.5	147.06	251.48	384.34	343.89	384.34	327.56	389.72	332.14	387.02	343.89	318.57	265.87	366.09	251.48	348.71	289.02	226.54	281.09	198.47	316.37	291.04	236.21	289.02	271.48	217.27	281.09	303.44	271.48	262.2	206.94	279.14	231.32	212.78	232.94	277.2	231.32	202.66	303.44	220.32	358.54	305.55	343.89	228.13	162.14	277.2	312.0	314.17	251.48	269.6	195.72	214.27	480.04	251.48	262.2	264.03	154.42	62.56	120.94	129.69	82.29	100.83	124.37	118.43	108.14	73.03	132.44	71.5	131.51	209.84	145.02	94.01	150.17	224.97	384.34	314.17	341.51	289.02	267.73	379.04	281.09
TGFBRAP1	115.16	154.42	140.04	166.73	141.02	159.9	127.89	143.01	149.12	249.73	116.78	146.03	119.26	148.09	193.01	194.36	180.02	137.14	234.57	180.02	248.0	190.34	244.57	251.48	180.02	140.04	297.17	251.48	229.72	220.32	183.82	287.01	228.13	144.01	180.02	145.02	182.55	156.59	193.01	234.57	251.48	241.19	157.68	176.29	157.68	209.84	191.67	221.86	194.36	255.0	176.29	224.97	251.48	182.55	180.02	229.72	62.12	15.45	47.17	23.08	45.21	58.3	59.97	53.57	50.27	43.94	45.85	56.68	31.22	88.88	27.44	36.53	31.9	197.09	140.04	93.35	191.67	158.79	175.07	115.97	193.01
TRAF3IP1	164.42	64.34	325.29	159.9	262.2	376.41	195.72	130.6	242.88	303.44	76.17	167.9	264.03	93.35	120.1	177.53	166.73	131.51	165.57	142.01	195.72	106.63	170.25	212.78	211.31	100.13	165.57	258.57	220.32	224.97	150.17	153.34	152.28	113.56	125.24	165.57	137.14	149.12	170.25	185.11	236.21	223.41	132.44	166.73	112.77	265.87	197.09	159.9	152.28	157.68	120.94	199.85	187.71	133.36	152.28	161.02	78.89	14.35	64.34	83.45	95.34	99.43	102.97	57.89	76.71	120.94	91.41	122.64	94.01	85.82	70.51	103.69	90.14	161.02	185.11	183.82	175.07	93.35	120.1	163.28	153.34
UBAP2L	2061.24	1350.18	2739.08	2720.15	2468.49	2682.69	2417.67	2591.27	2816.11	3491.39	2645.74	2417.67	2004.85	2240.11	1551.09	2240.11	1447.15	1561.89	2287.2	2075.59	1896.65	1721.16	2591.27	2104.58	2255.7	1594.73	2335.28	2384.37	2417.67	2609.3	2682.69	2075.59	1991.0	1605.83	1806.78	1487.87	1733.13	1651.0	1950.0	2609.3	1844.76	2935.74	1819.35	1733.13	1709.26	2271.4	2061.24	2163.77	1870.53	2090.03	1883.54	2178.83	2163.77	1447.15	1617.0	2335.28	872.1	358.54	1286.18	1051.79	915.51	551.56	896.64	525.39	616.37	728.11	595.34	1030.12	587.13	954.43	1015.93	802.41	483.38	1081.39	2720.15	1769.57	1909.85	1674.06	1551.09	1322.37	2104.58
UBP1	599.49	507.46	703.28	769.69	633.73	1096.5	884.29	688.78	723.08	819.3	698.41	769.69	961.07	647.07	679.29	656.11	595.34	651.58	802.41	718.08	684.02	587.13	1001.93	769.69	693.58	503.95	928.3	808.0	872.1	974.5	802.41	802.41	629.35	583.07	708.18	591.22	607.87	638.15	718.08	748.61	878.17	1037.29	559.28	599.49	587.13	791.35	708.18	825.0	603.67	703.28	633.73	878.17	748.61	559.28	563.18	785.88	389.72	111.21	432.53	441.64	303.44	334.46	351.14	255.0	295.11	387.02	327.56	463.65	297.17	420.68	514.56	312.0	228.13	693.58	860.08	575.03	493.56	438.59	466.88	521.76	575.03
URB2	63.0	42.71	80.57	102.25	100.83	176.29	84.04	90.14	111.21	152.28	52.08	74.06	79.45	78.34	70.01	173.85	42.71	69.52	120.1	114.36	92.7	73.03	138.1	127.0	150.17	86.43	113.56	89.51	113.56	125.24	199.85	153.34	58.71	117.6	99.43	91.41	75.11	84.63	100.83	139.07	93.35	116.78	79.45	78.34	75.64	129.69	144.01	126.12	125.24	112.77	98.04	173.85	187.71	82.29	97.36	155.5	45.85	10.31	31.45	16.75	19.53	17.9	35.0	23.25	12.64	26.28	24.81	23.76	30.34	32.82	20.26	35.0	25.17	94.01	120.1	339.14	78.89	80.57	115.16	66.18	48.87
USP42	74.58	53.57	164.42	138.1	120.94	197.09	208.38	115.97	167.9	185.11	101.54	161.02	205.5	96.01	83.45	139.07	100.13	68.07	145.02	88.88	127.0	83.45	113.56	124.37	100.83	66.65	99.43	135.24	131.51	111.21	126.12	120.1	97.36	75.11	85.82	100.13	75.64	80.01	96.01	102.97	117.6	106.63	80.01	85.82	59.97	143.01	140.04	100.83	105.89	100.83	85.22	132.44	191.67	89.51	78.89	128.79	44.57	28.65	37.05	33.78	45.53	43.32	52.82	38.67	36.01	50.98	53.57	61.68	43.94	60.82	73.03	37.05	37.85	55.89	77.25	153.34	80.01	75.11	74.06	75.64	81.14
USP45	126.12	34.75	220.32	115.16	121.79	194.36	138.1	92.7	165.57	154.42	96.68	118.43	120.1	92.7	126.12	129.69	88.88	103.69	161.02	140.04	145.02	90.14	144.01	258.57	108.9	127.0	105.15	136.19	79.45	117.6	195.72	122.64	105.89	115.97	161.02	75.64	108.9	102.25	148.09	126.12	146.03	95.34	71.5	105.89	111.99	226.54	107.38	130.6	84.63	137.14	116.78	136.19	102.97	73.03	76.17	105.15	131.51	124.37	51.35	74.06	64.34	61.25	57.49	24.11	49.21	59.13	61.25	70.01	49.91	48.18	46.84	49.21	36.27	102.97	83.45	108.9	55.89	61.25	87.03	55.89	126.12
UTP3	595.34	674.59	426.57	406.31	698.41	395.18	384.34	293.07	543.96	551.56	384.34	457.25	551.56	348.71	480.04	708.18	444.72	312.0	599.49	607.87	514.56	559.28	567.1	638.15	733.19	500.46	563.18	555.41	591.22	607.87	981.29	629.35	507.46	473.41	532.74	507.46	463.65	529.06	493.56	688.78	555.41	642.59	525.39	450.94	511.0	723.08	559.28	616.37	555.41	587.13	583.07	688.78	698.41	493.56	460.44	842.36	253.23	234.57	327.56	356.05	334.46	341.51	403.5	177.53	336.79	303.44	387.02	332.14	403.5	325.29	218.79	341.51	332.14	974.5	802.41	1605.83	728.11	802.41	796.86	819.3	450.94
VPRBP	269.6	316.37	291.04	403.5	381.68	507.46	473.41	341.51	397.93	426.57	332.14	368.65	420.68	400.71	379.04	376.41	314.17	291.04	607.87	432.53	400.71	264.03	490.14	412.0	470.14	269.6	500.46	518.15	525.39	511.0	559.28	525.39	346.29	279.14	348.71	293.07	305.55	361.04	368.65	536.45	444.72	525.39	323.03	476.71	217.27	497.0	426.57	463.65	400.71	438.59	351.14	567.1	480.04	287.01	329.84	480.04	140.04	81.71	110.43	120.94	154.42	165.57	146.03	139.07	163.28	176.29	177.53	166.73	137.14	165.57	140.04	170.25	127.0	251.48	348.71	339.14	379.04	253.23	307.69	256.78	312.0
WDR43	392.44	356.05	389.72	616.37	764.36	769.69	698.41	463.65	599.49	753.83	287.01	381.68	447.82	417.77	403.5	769.69	327.56	281.09	642.59	450.94	579.04	346.29	629.35	660.68	703.28	376.41	587.13	647.07	703.28	665.29	988.12	785.88	312.0	387.02	417.77	432.53	334.46	363.56	400.71	587.13	493.56	703.28	363.56	392.44	358.54	688.78	603.67	571.05	460.44	511.0	463.65	775.05	884.29	368.65	361.04	813.63	511.0	42.71	125.24	120.1	148.09	178.77	171.45	115.97	158.79	209.84	187.71	149.12	154.42	127.89	127.89	197.09	172.65	775.05	785.88	1340.84	532.74	595.34	547.75	656.11	334.46
XPO4	69.03	49.91	172.65	135.24	148.09	169.07	183.82	119.26	185.11	135.24	112.77	135.24	123.5	101.54	102.97	88.26	71.0	81.14	194.36	127.89	150.17	71.0	173.85	171.45	133.36	101.54	144.01	169.07	177.53	201.25	215.77	182.55	111.21	80.57	140.04	71.0	113.56	85.22	127.89	167.9	145.02	223.41	88.26	106.63	88.88	193.01	129.69	149.12	121.79	104.42	140.04	209.84	171.45	80.01	79.45	183.82	51.35	42.41	34.51	31.0	34.02	37.32	35.5	37.32	37.85	35.25	32.82	43.63	24.11	35.25	19.39	51.35	28.45	143.01	131.51	123.5	154.42	63.89	94.67	65.72	115.16
ZBED6	20.86	54.72	94.67	115.97	95.34	228.13	137.14	72.01	156.59	140.04	108.14	100.83	110.43	99.43	171.45	115.16	104.42	102.97	150.17	172.65	75.11	8.65	180.02	114.36	193.01	41.81	157.68	161.02	136.19	161.02	111.99	152.28	146.03	64.8	113.56	36.01	121.79	156.59	171.45	138.1	303.44	151.22	112.77	226.54	10.39	156.59	167.9	171.45	149.12	180.02	88.88	151.22	170.25	59.13	105.15	150.17	38.67	0.4	2.12	1.0	38.12	16.63	5.92	6.67	21.16	15.68	10.08	11.64	8.38	13.72	17.13	23.93	10.16	31.0	67.59	36.01	62.56	43.63	34.51	8.25	108.14
ZBTB24	54.72	57.08	72.52	61.68	64.34	92.7	88.88	59.55	92.05	126.12	58.71	55.1	64.34	63.0	61.25	79.45	49.56	50.98	95.34	73.03	101.54	56.68	114.36	125.24	81.14	74.58	100.83	96.68	104.42	115.16	105.15	95.34	57.08	63.89	85.22	70.01	57.89	57.89	76.71	105.89	89.51	118.43	61.25	64.34	74.06	98.73	73.54	66.65	79.45	65.26	84.04	111.99	112.77	63.89	51.35	102.25	43.32	12.64	24.63	20.86	29.06	27.44	31.9	17.77	22.92	27.25	27.05	27.84	22.92	31.67	23.42	31.9	15.91	111.21	71.5	41.52	73.54	67.12	56.68	70.51	75.64
ZFP91	457.25	507.46	543.96	591.22	583.07	1066.48	733.19	432.53	961.07	669.92	486.75	532.74	728.11	490.14	540.19	607.87	497.0	409.15	713.11	575.03	688.78	429.54	813.63	708.18	684.02	432.53	748.61	764.36	748.61	738.29	785.88	703.28	536.45	420.68	511.0	454.09	400.71	490.14	595.34	651.58	759.08	723.08	497.0	486.75	400.71	775.05	629.35	674.59	579.04	579.04	454.09	780.44	866.07	470.14	500.46	802.41	429.54	140.04	190.34	228.13	178.77	234.57	228.13	212.78	221.86	239.52	256.78	242.88	214.27	241.19	221.86	246.28	234.57	872.1	830.75	759.08	638.15	728.11	665.29	733.19	547.75
ZFYVE20	141.02	93.35	128.79	199.85	153.34	202.66	162.14	157.68	167.9	180.02	177.53	167.9	191.67	205.5	167.9	161.02	173.85	146.03	214.27	205.5	212.78	158.79	223.41	214.27	201.25	150.17	221.86	220.32	236.21	204.07	151.22	253.23	180.02	180.02	177.53	165.57	182.55	162.14	178.77	190.34	224.97	212.78	153.34	144.01	140.04	221.86	181.28	195.72	190.34	206.94	186.4	202.66	194.36	171.45	143.01	220.32	105.15	36.53	68.07	88.26	90.77	99.43	109.66	69.03	102.97	73.03	82.87	82.29	80.57	75.11	52.08	117.6	164.42	147.06	211.31	129.69	135.24	181.28	127.89	141.02	185.11
ZNF778	32.82	46.5	40.64	70.51	40.93	41.81	38.12	110.43	61.68	47.84	60.39	41.52	34.02	96.01	61.68	114.36	92.05	60.82	80.57	128.79	79.45	50.27	138.1	85.22	144.01	40.64	69.03	122.64	78.89	80.01	128.79	115.16	133.36	69.52	88.88	72.52	143.01	139.07	67.12	88.26	127.89	112.77	135.24	58.3	25.17	89.51	110.43	119.26	88.88	108.9	76.71	66.18	114.36	63.45	71.5	96.01	31.45	15.68	40.07	17.51	9.93	16.63	22.1	27.44	34.26	30.34	26.47	13.72	21.63	27.44	18.7	21.32	18.56	32.82	40.07	72.01	42.11	79.45	31.0	21.32	48.87
