	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.T5JC.1526.SM.4DM68	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.12WSG.0826.SM.5EQ5A	TCGA.B2.5641.01A.01R.1541.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5088.01A.01R.1334.07	TCGA.B0.5075.01A.01R.1334.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5102.01A.01R.1420.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CW.5581.01A.02R.1541.07	TCGA.CW.5587.01A.01R.1541.07	TCGA.CZ.5985.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.CJ.4897.01A.03R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4814.01A.01R.1277.07	TCGA.B0.5077.01A.01R.1334.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B0.5697.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.13YAN.1026.SM.5O9CF	GTEX.ZZPT.1326.SM.5E43H	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.S4Q7.0326.SM.3K2B1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.U3ZM.0126.SM.3DB8M	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11LCK.0526.SM.5A5M9	GTEX.ZTPG.0826.SM.5DUVC	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S
SASH3	135.24	61.68	25.17	111.21	87.65	54.72	5.92	71.0	46.5	55.1	7.28	29.91	6.52	42.71	106.63	32.59	759.08	476.71	493.56	684.02	173.85	206.94	497.0	525.39	206.94	177.53	209.84	153.34	224.97	785.88	579.04	381.68	197.09	128.79	197.09	336.79	45.53	13.93	57.49	50.27	177.53	51.71	109.66	18.16	145.02	69.03	19.25	35.0	47.17	41.52	89.51	25.17	50.27	46.5	28.24	56.68	63.45	53.57	29.48	177.53	89.51	137.14	137.14	132.44	406.31	595.34	1286.18	679.29	269.6	224.97	1044.52	217.27	493.56	191.67	50.27	27.84	412.0	31.0	23.42	64.34	49.21	46.18	19.68	58.3	27.25	55.1	258.57	81.71	48.18	500.46	470.14	246.28	108.9	100.13	470.14	18.03	117.6	15.11	61.25	150.17	30.12	34.26	73.03	88.88	22.43	77.79	167.9	122.64	11.3	29.91	133.36	113.56	42.41	96.68	53.57	20.26
SELPLG	202.66	90.77	31.67	198.47	140.04	80.01	29.91	138.1	115.97	98.73	10.79	36.53	19.53	98.73	199.85	46.84	728.11	872.1	718.08	684.02	241.19	366.09	607.87	836.53	325.29	379.04	373.81	231.32	336.79	738.29	733.19	420.68	265.87	265.87	258.57	381.68	90.14	35.76	84.04	111.99	279.14	87.03	163.28	32.82	251.48	118.43	64.8	72.01	94.67	61.68	181.28	45.85	94.01	88.26	58.3	92.05	107.38	87.65	66.65	358.54	183.82	285.03	194.36	226.54	438.59	802.41	1977.24	1304.15	463.65	273.37	1001.93	373.81	902.89	607.87	93.35	55.49	579.04	73.03	58.3	101.54	81.14	65.26	51.35	112.77	53.57	92.05	373.81	100.83	100.83	909.17	1233.75	791.35	123.5	159.9	476.71	13.72	140.04	47.17	63.0	244.57	44.89	37.32	43.94	120.1	14.14	162.14	189.02	115.16	26.28	45.53	211.31	132.44	57.49	140.04	73.03	34.02
SIGLEC7	27.44	12.83	6.46	37.59	20.11	17.51	0.0	25.17	30.78	19.68	9.27	5.82	5.02	18.29	47.84	9.56	191.67	161.02	211.31	293.07	2367.9	94.01	104.42	172.65	55.49	48.52	69.52	46.5	37.85	220.32	209.84	87.65	43.32	26.47	43.94	108.14	12.93	8.51	17.13	17.0	28.65	13.03	14.78	20.41	35.25	26.67	8.51	12.27	8.85	11.3	22.75	10.79	13.83	16.63	15.91	14.78	11.82	29.06	12.55	44.89	19.97	31.0	36.27	23.08	71.5	309.83	738.29	438.59	127.89	166.73	612.11	121.79	283.05	55.1	17.25	6.41	81.14	3.41	9.13	9.7	10.24	12.36	5.54	15.45	8.78	13.22	33.3	10.08	6.84	529.06	50.98	86.43	115.16	8.99	46.84	6.36	26.67	3.66	7.51	34.26	41.81	20.86	18.16	19.82	3.63	9.78	18.84	20.71	10.55	16.03	24.99	40.64	6.52	28.24	12.93	4.35
SIGLEC8	2.84	1.68	0.37	3.82	2.29	1.64	0.0	4.94	0.0	0.58	0.0	0.0	0.0	0.0	4.03	0.0	336.79	232.94	267.73	514.56	26.86	80.01	79.45	435.55	39.22	61.68	20.86	31.45	44.57	212.78	303.44	70.51	34.02	52.45	26.1	69.03	2.01	0.0	1.62	1.23	3.96	1.0	1.38	1.16	4.21	6.21	2.23	2.23	1.48	0.4	4.17	0.39	1.14	2.27	0.41	1.55	3.32	3.56	2.73	17.77	3.76	7.88	8.92	4.74	303.44	665.29	656.11	698.41	166.73	54.72	808.0	130.6	463.65	38.67	1.99	1.07	19.68	0.0	0.4	3.47	3.29	3.56	0.38	2.36	0.77	2.18	13.72	2.41	1.2	22.75	22.92	17.38	7.17	1.11	25.54	0.0	2.14	0.0	8.78	16.03	0.0	4.62	0.0	9.56	0.6	4.13	11.04	3.63	1.07	1.01	20.86	5.92	4.43	0.58	0.0	3.06
SIGLEC9	32.82	9.56	4.7	24.81	16.27	18.97	4.24	30.78	12.55	21.63	2.41	4.31	3.32	19.11	54.72	5.45	191.67	190.34	149.12	242.88	285.03	82.87	119.26	166.73	42.71	46.5	60.82	39.79	33.78	169.07	221.86	94.01	50.63	26.67	57.08	81.71	19.97	8.58	18.43	12.55	30.78	12.09	17.64	9.7	38.67	27.25	8.58	17.51	20.11	9.41	23.59	6.62	9.27	13.72	10.31	12.55	12.64	19.68	10.63	55.49	20.11	34.75	31.67	28.04	97.36	208.38	457.25	414.87	102.97	122.64	339.14	124.37	178.77	74.06	11.38	10.08	64.8	9.13	8.0	13.22	16.88	14.45	10.79	22.75	12.36	19.97	52.82	11.73	12.93	226.54	48.52	94.67	19.25	21.63	69.52	5.96	24.11	1.46	12.09	47.84	20.41	16.03	4.28	22.92	8.45	35.76	17.25	30.34	13.03	9.78	24.99	38.12	14.24	32.59	11.64	2.32
SLC15A3	693.58	493.56	202.66	748.61	603.67	384.34	493.56	389.72	314.17	309.83	301.33	1175.27	116.78	325.29	688.78	299.25	3742.05	2485.67	4010.71	5954.47	802.41	1936.53	1745.2	4298.64	1037.29	1277.29	961.07	1037.29	1030.12	3768.09	3874.05	2287.2	1540.37	2047.0	1081.39	1697.45	297.17	299.25	547.75	486.75	780.44	620.67	718.08	392.44	595.34	420.68	417.77	343.89	583.07	356.05	358.54	289.02	454.09	679.29	511.0	503.95	514.56	373.81	373.81	825.0	529.06	866.07	571.05	647.07	3665.02	7966.99	13872.08	8778.97	2178.83	2119.22	8479.89	1857.6	6607.01	1183.45	595.34	400.71	1369.04	309.83	563.18	470.14	599.49	547.75	341.51	466.88	363.56	470.14	842.36	571.05	429.54	1674.06	3349.13	2047.0	753.83	275.28	854.13	157.68	669.92	155.5	323.03	514.56	299.25	251.48	444.72	236.21	318.57	143.01	426.57	409.15	157.68	224.97	307.69	400.71	420.68	316.37	255.0	204.07
SNX20	40.36	13.42	4.66	55.49	21.63	11.47	2.92	20.41	17.13	15.68	2.76	6.78	0.49	16.39	27.05	5.02	363.56	173.85	144.01	195.72	71.5	77.25	172.65	194.36	61.25	55.89	55.1	57.08	84.63	297.17	201.25	167.9	63.89	23.59	60.39	87.65	8.85	4.9	17.38	11.13	75.11	21.47	36.27	4.98	49.56	20.26	8.0	8.51	13.62	8.06	30.12	10.0	20.26	20.41	9.78	21.16	22.43	16.63	13.62	77.79	34.51	44.57	59.97	63.45	111.21	134.3	392.44	102.25	88.88	63.0	190.34	57.89	125.24	64.34	14.24	4.98	133.36	6.78	5.15	21.47	14.24	10.31	4.78	16.63	6.11	18.29	71.0	30.34	19.97	86.43	86.43	36.79	33.54	17.13	251.48	8.92	47.84	4.21	12.0	47.5	27.25	9.2	8.92	34.02	10.16	22.26	61.68	13.62	4.9	12.18	47.84	40.36	9.7	29.06	10.24	2.48
SPI1	301.33	138.1	91.41	314.17	217.27	208.38	30.12	215.77	170.25	159.9	20.56	39.5	52.08	166.73	341.51	124.37	1561.89	1561.89	1651.0	1870.53	529.06	647.07	1304.15	1369.04	420.68	579.04	543.96	299.25	387.02	1427.22	1143.1	813.63	470.14	358.54	507.46	738.29	156.59	49.21	147.06	104.42	312.0	158.79	198.47	65.72	279.14	198.47	70.01	79.45	138.1	90.77	205.5	48.52	133.36	126.12	88.88	135.24	159.9	197.09	94.67	397.93	212.78	327.56	201.25	255.0	1250.98	2240.11	4836.35	3081.75	947.83	872.1	2609.3	1104.13	1870.53	703.28	148.09	84.63	743.43	119.26	86.43	151.22	135.24	108.9	116.78	131.51	59.55	144.01	497.0	165.57	138.1	1832.01	3103.19	1923.14	217.27	85.82	830.75	96.01	258.57	37.32	148.09	525.39	117.6	161.02	102.25	189.02	90.77	139.07	348.71	305.55	29.91	76.17	361.04	450.94	136.19	144.01	98.73	85.82
TLR2	84.04	43.63	39.22	91.41	66.65	56.68	13.03	94.67	51.71	70.01	6.84	25.17	39.22	77.25	117.6	54.72	483.38	435.55	204.07	281.09	115.97	126.12	232.94	336.79	197.09	153.34	102.97	217.27	99.43	325.29	343.89	336.79	105.89	56.68	96.01	108.14	64.34	45.53	46.84	38.67	135.24	48.18	69.03	36.27	114.36	122.64	59.97	63.89	55.89	50.63	85.22	53.95	47.17	77.79	40.07	38.95	72.01	50.98	42.71	173.85	74.58	109.66	100.13	82.29	249.73	303.44	412.0	339.14	177.53	123.5	293.07	214.27	237.86	112.77	58.71	44.89	121.79	58.71	40.64	62.56	70.01	53.57	31.22	64.8	46.18	57.89	101.54	42.41	53.57	281.09	1008.9	1001.93	47.84	27.25	253.23	111.21	62.56	43.94	56.28	145.02	93.35	45.85	30.78	72.01	57.49	47.5	88.88	56.28	28.86	21.01	99.43	73.03	100.83	60.82	34.02	31.22
TNFAIP8L2	84.63	28.04	15.56	57.08	38.95	42.11	0.0	59.13	39.5	39.79	14.35	7.06	0.0	44.57	94.01	33.06	381.68	329.84	384.34	305.55	96.01	165.57	346.29	318.57	108.9	166.73	106.63	99.43	92.05	373.81	248.0	236.21	115.16	95.34	129.69	131.51	26.47	9.7	38.4	7.75	106.63	44.89	64.34	12.93	96.01	47.5	15.0	29.7	42.41	18.84	59.97	15.22	35.0	36.01	19.39	31.45	36.27	55.1	25.54	153.34	43.32	105.15	96.01	92.7	301.33	325.29	813.63	329.84	208.38	149.12	414.87	156.59	339.14	206.94	36.79	19.39	148.09	18.29	10.96	34.02	31.22	31.67	15.34	35.0	7.51	37.85	96.68	39.79	33.78	299.25	119.26	127.0	46.5	42.41	186.4	10.88	80.57	10.0	36.79	126.12	53.95	26.28	14.24	46.84	8.65	53.57	91.41	48.52	18.29	38.4	73.54	61.25	23.42	49.21	37.05	23.59
TREM2	53.95	34.02	7.75	87.03	58.3	37.59	5.11	52.08	44.57	41.22	0.0	9.56	5.23	47.5	104.42	41.22	2090.03	2133.97	1519.15	3235.01	612.11	441.64	1051.79	1857.6	194.36	1127.35	693.58	406.31	348.71	830.75	2224.63	1001.93	423.61	1127.35	490.14	684.02	25.54	4.86	28.65	15.56	49.56	18.84	34.75	20.56	39.5	46.18	18.16	18.29	26.67	17.25	88.88	12.18	26.86	7.11	11.3	25.35	42.71	42.11	19.39	265.87	30.12	97.36	56.28	79.45	1457.23	2739.08	6207.38	2701.35	1304.15	1295.13	2451.44	2417.67	2976.74	1447.15	52.08	13.72	98.04	13.83	8.99	24.46	29.27	40.64	12.09	29.48	12.83	48.52	91.41	33.3	28.04	98.04	665.29	693.58	80.01	40.93	536.45	9.13	77.79	6.52	74.58	145.02	41.52	34.02	43.32	39.22	7.88	51.71	152.28	73.03	19.68	42.11	129.69	444.72	24.63	43.32	21.47	18.56
VAV1	80.57	31.45	12.55	57.08	45.21	26.1	6.01	34.02	31.45	31.45	3.26	8.51	7.57	22.43	48.18	13.72	412.0	325.29	212.78	334.46	87.65	103.69	267.73	206.94	99.43	103.69	115.16	69.03	102.25	435.55	291.04	223.41	86.43	45.85	84.04	136.19	23.59	5.82	26.1	65.72	99.43	38.67	39.79	8.92	71.5	52.08	23.76	23.42	34.02	17.51	46.18	30.56	27.64	31.45	15.56	33.78	32.13	27.05	24.28	104.42	49.91	71.0	66.18	78.89	177.53	301.33	825.0	376.41	161.02	151.22	540.19	162.14	271.48	97.36	29.91	13.22	209.84	18.16	13.12	38.4	22.43	21.63	18.16	38.95	19.53	29.06	147.06	40.64	28.04	229.72	161.02	281.09	60.39	34.51	202.66	18.03	40.36	2.56	21.47	111.99	24.63	22.1	23.08	45.85	6.52	68.07	126.12	49.91	3.44	19.11	76.17	50.63	28.86	37.59	23.76	10.47
WAS	136.19	73.54	62.56	182.55	105.89	84.63	31.22	104.42	92.7	73.54	8.78	43.63	22.75	59.13	136.19	42.11	769.69	486.75	529.06	514.56	195.72	229.72	476.71	480.04	211.31	226.54	186.4	149.12	206.94	748.61	409.15	275.28	201.25	133.36	228.13	232.94	88.88	40.93	76.17	100.83	186.4	63.0	90.77	37.59	169.07	99.43	38.67	67.12	69.03	52.08	130.6	34.26	65.26	103.69	48.18	73.54	76.71	74.58	51.71	208.38	120.1	162.14	119.26	152.28	414.87	603.67	1104.13	723.08	318.57	224.97	743.43	244.57	511.0	234.57	76.71	59.97	400.71	86.43	52.08	89.51	78.34	62.56	53.95	88.26	52.08	83.45	279.14	80.01	61.25	450.94	450.94	323.03	94.67	77.25	629.35	50.98	98.73	16.88	66.65	165.57	30.12	31.45	32.13	107.38	48.87	43.94	154.42	55.89	16.88	22.1	163.28	97.36	42.11	100.83	59.97	49.56
