	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.55.8208.01A.11R.2241.07	TCGA.69.8255.01A.11R.2287.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.7660.01A.11R.2066.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.PWOO.0726.SM.2I3EB	TCGA.60.2709.01A.21R.1820.07	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.90.7964.01A.21R.2187.07	TCGA.66.2737.01A.01R.0980.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07	TCGA.MX.A666.01A.11R.A31P.31	TCGA.D7.8570.01A.11R.2343.13
PTPN13	175.07	180.02	187.71	97.36	8.25	5.28	2.48	4.98	1.07	1.16	4.62	4.9	15.8	0.93	3.76	2.14	3.26	3.66	1.83	0.0	1.64	16.51	5.32	1.68	31.9	12.27	20.11	5.87	9.93	2.29	29.06	9.85	2.71	5.82	101.54	60.39	400.71	17.0	118.43	15.56	117.6	269.6	366.09	178.77	126.12	287.01	241.19	142.01	40.93	334.46	116.78	36.01
RAB34	1457.23	1936.53	2895.31	1733.13	325.29	260.38	115.97	269.6	71.5	674.59	208.38	176.29	195.72	1104.13	890.44	1073.91	802.41	267.73	186.4	86.43	84.63	397.93	144.01	23.93	211.31	67.12	154.42	103.69	148.09	55.1	22.59	187.71	63.0	77.79	3212.66	4419.52	2451.44	6699.25	1277.29	2075.59	2303.12	1583.71	1794.29	3395.89	2591.27	1977.24	2502.97	3018.3	2609.3	2319.15	2148.82	470.14
RADIL	49.21	33.3	8.92	14.78	8.51	4.7	4.1	4.5	3.72	0.62	2.32	2.89	4.06	3.47	42.11	3.38	2.18	11.38	3.89	1.39	1.62	7.06	1.68	6.21	0.71	4.28	3.23	7.28	6.41	2.56	0.37	5.06	8.13	6.41	25.72	64.34	125.24	8.58	16.63	38.95	7.82	102.25	32.36	40.93	61.68	87.03	13.22	20.86	34.51	70.01	14.67	7.51
RAP1GAP2	113.56	71.5	175.07	115.16	39.5	72.01	13.83	8.92	5.68	7.82	63.45	56.68	40.36	3.96	31.45	73.03	49.21	12.18	14.89	76.71	61.68	27.64	10.16	144.01	37.32	30.78	21.94	3.03	30.12	1.27	2.78	10.71	14.67	6.78	75.64	309.83	140.04	231.32	314.17	51.35	239.52	59.97	65.72	48.87	117.6	264.03	66.65	133.36	34.51	50.63	928.3	258.57
RCC2	2148.82	1397.83	836.53	866.07	579.04	293.07	511.0	559.28	301.33	217.27	389.72	285.03	693.58	414.87	438.59	291.04	248.0	309.83	320.8	753.83	309.83	438.59	128.79	287.01	669.92	114.36	363.56	155.5	193.01	237.86	172.65	144.01	91.41	116.78	1369.04	1457.23	1066.48	1208.34	2287.2	1199.98	1388.16	624.99	1639.59	1340.84	1572.76	2400.97	2758.13	1111.82	1963.57	679.29	2645.74	2255.7
RHNO1	890.44	703.28	583.07	493.56	269.6	237.86	265.87	262.2	327.56	237.86	218.79	163.28	376.41	236.21	343.89	291.04	88.26	197.09	223.41	138.1	214.27	195.72	70.01	104.42	47.5	58.71	336.79	67.12	124.37	197.09	32.36	123.5	128.79	145.02	616.37	830.75	379.04	540.19	1051.79	587.13	1286.18	409.15	575.03	507.46	995.0	1135.2	890.44	915.51	1191.69	563.18	376.41	791.35
RNF114	1733.13	995.0	1709.26	1268.46	674.59	954.43	866.07	791.35	785.88	890.44	791.35	563.18	1467.37	791.35	902.89	1572.76	713.11	1167.14	723.08	713.11	842.36	764.36	642.59	1277.29	1135.2	728.11	808.0	647.07	718.08	819.3	1001.93	808.0	642.59	1051.79	1286.18	1286.18	967.76	1111.82	2047.0	1216.75	2739.08	1225.22	1135.2	665.29	1143.1	1340.84	1030.12	934.76	1508.65	1159.07	1857.6	1175.27
RP11-192H23.4	18.03	19.82	36.27	21.32	21.78	18.29	33.06	14.24	19.25	49.91	31.22	15.8	46.5	41.81	31.0	40.64	12.55	22.75	16.27	12.0	20.71	11.38	1.68	34.75	20.56	17.64	24.63	12.09	18.97	11.91	18.16	8.19	8.45	8.58	62.12	108.14	84.04	43.63	105.15	72.52	73.54	17.9	43.94	83.45	46.5	66.65	84.63	51.71	52.45	31.22	301.33	60.82
RP11-552F3.12	5.45	3.5	12.27	1.73	2.36	0.0	8.32	2.46	1.73	2.41	3.17	1.97	2.18	0.0	8.85	5.73	2.97	0.0	5.92	1.27	2.29	1.79	3.08	5.45	0.0	3.23	5.19	0.34	3.0	3.92	9.06	3.47	1.64	0.77	22.92	40.36	10.31	5.96	23.25	9.41	13.83	11.64	8.78	8.51	10.55	21.16	11.13	8.0	22.75	9.78	20.26	7.82
SENP1	177.53	198.47	72.52	84.04	78.89	58.3	84.63	66.65	56.28	82.29	53.57	50.98	164.42	64.8	52.08	65.26	70.01	45.85	36.01	36.27	82.29	67.12	22.59	41.22	35.76	34.51	71.5	26.86	38.95	40.36	31.9	37.59	24.81	44.25	176.29	183.82	100.13	208.38	267.73	107.38	246.28	120.94	153.34	90.77	202.66	334.46	129.69	226.54	170.25	111.21	363.56	202.66
SFPQ	4543.8	3690.52	3280.18	2417.67	2573.36	1832.01	2935.74	2609.3	1733.13	1857.6	2627.46	1697.45	3901.01	2664.15	2537.92	2119.22	1857.6	2209.26	2061.24	4239.45	2935.74	2573.36	723.08	3190.46	2758.13	2075.59	2520.38	1551.09	2178.83	2319.15	1561.89	1397.83	1167.14	1175.27	4512.4	6294.04	4802.93	2720.15	22535.88	4268.94	3901.01	2163.77	2777.33	2119.22	4575.41	10440.2	6745.86	3467.27	5292.48	2739.08	6516.03	3564.78
SGK494	36.53	49.56	105.15	28.24	51.35	23.59	116.78	30.12	28.04	108.14	35.76	14.78	70.01	71.0	53.57	54.72	20.56	40.64	12.27	8.58	23.08	38.95	3.76	63.89	15.45	25.54	72.52	18.56	26.86	23.25	13.52	25.35	5.73	21.47	303.44	301.33	258.57	163.28	332.14	218.79	305.55	17.77	74.06	135.24	139.07	309.83	260.38	212.78	127.0	70.51	563.18	110.43
SH3BP1	575.03	579.04	293.07	575.03	186.4	72.01	81.14	123.5	92.7	463.65	107.38	183.82	389.72	26.28	231.32	133.36	36.27	82.87	85.22	47.5	57.49	101.54	61.68	27.44	15.8	39.79	101.54	36.79	45.21	66.65	25.91	92.05	19.25	57.49	703.28	660.68	366.09	441.64	480.04	195.72	616.37	260.38	830.75	595.34	860.08	454.09	638.15	785.88	759.08	417.77	466.88	555.41
SLC16A5	171.45	236.21	124.37	195.72	43.02	40.36	19.53	17.0	25.17	31.22	24.46	15.56	24.28	9.06	27.05	13.72	33.54	33.3	29.91	16.03	7.22	39.79	46.84	20.41	18.03	31.0	31.0	22.43	12.93	22.1	7.82	52.45	100.13	49.91	228.13	532.74	921.88	305.55	679.29	2271.4	540.19	518.15	325.29	1857.6	334.46	444.72	525.39	171.45	212.78	802.41	674.59	234.57
SLC25A19	567.1	503.95	656.11	698.41	205.5	205.5	332.14	111.21	127.89	182.55	176.29	119.26	339.14	187.71	353.59	249.73	133.36	149.12	217.27	384.34	199.85	131.51	104.42	209.84	205.5	90.14	246.28	87.03	114.36	170.25	236.21	78.89	97.36	68.07	723.08	1008.9	1104.13	392.44	483.38	395.18	429.54	525.39	575.03	1023.0	417.77	629.35	327.56	368.65	555.41	651.58	503.95	521.76
SLC25A6	3847.29	4869.99	3589.58	9215.48	2240.11	1963.57	1111.82	2720.15	2193.99	1662.49	3325.99	2720.15	1936.53	2104.58	1721.16	2193.99	1322.37	1135.2	1883.54	2075.59	5751.61	2609.3	1551.09	1551.09	2148.82	1417.35	3639.7	1674.06	1066.48	988.12	995.0	764.36	3103.19	775.05	3146.52	14262.1	3742.05	2133.97	3103.19	2701.35	2739.08	4836.35	4152.18	6037.61	5329.3	2739.08	7081.29	4802.93	4481.23	4575.41	2758.13	4450.27
SLC36A4	190.34	223.41	108.14	155.5	61.25	67.59	166.73	65.26	17.13	63.45	55.89	54.33	103.69	70.01	33.3	65.72	112.77	27.25	70.51	120.1	74.06	84.04	29.48	72.01	87.03	46.5	75.11	45.85	53.19	81.14	35.25	57.89	120.94	152.28	204.07	500.46	161.02	269.6	147.06	185.11	121.79	151.22	83.45	73.54	171.45	161.02	221.86	232.94	169.07	186.4	159.9	95.34
SLC7A1	320.8	279.14	81.14	269.6	72.52	12.93	57.49	60.39	28.04	14.67	28.86	48.87	58.71	20.41	56.68	3.66	18.29	20.86	17.25	1.23	63.0	22.43	6.89	100.83	73.03	2.05	52.45	4.46	3.44	39.22	4.31	5.77	24.28	7.22	190.34	228.13	101.54	148.09	665.29	563.18	346.29	100.83	158.79	104.42	265.87	241.19	202.66	381.68	152.28	77.79	547.75	343.89
SLMO1	81.14	86.43	72.52	92.7	16.88	10.71	8.13	4.31	1.87	1.45	11.55	9.63	6.11	5.63	29.27	2.63	8.71	2.94	8.13	12.09	7.63	46.18	4.17	8.32	0.0	5.68	5.87	4.03	7.94	3.11	0.84	10.88	4.24	0.54	70.51	170.25	86.43	70.51	150.17	109.66	98.04	60.39	82.29	29.91	120.94	193.01	85.82	94.01	90.14	76.71	137.14	91.41
SMARCC2	674.59	748.61	748.61	559.28	454.09	312.0	397.93	246.28	490.14	327.56	208.38	171.45	559.28	279.14	426.57	373.81	423.61	287.01	260.38	143.01	450.94	341.51	275.28	277.2	279.14	371.22	358.54	234.57	157.68	441.64	81.14	351.14	127.89	441.64	698.41	1159.07	791.35	638.15	1135.2	563.18	1457.23	420.68	624.99	551.56	947.83	1119.56	718.08	769.69	748.61	540.19	1583.71	1081.39
SMIM22	1233.75	1950.0	37.59	64.34	2.53	49.21	43.63	164.42	0.0	0.0	4.74	4.31	13.72	21.94	480.04	6.26	30.78	12.18	11.82	49.91	0.0	6.73	10.08	49.91	25.17	24.99	162.14	90.77	69.52	7.17	0.09	23.76	29.27	24.99	1447.15	3901.01	1369.04	14262.1	2351.53	4639.29	5292.48	1467.37	854.13	11267.44	114.36	1639.59	2895.31	684.02	2997.45	1594.73	1685.71	2367.9
SNPH	43.32	44.25	118.43	49.56	8.78	8.99	13.12	3.2	2.18	2.84	5.19	26.28	13.93	1.85	10.71	4.06	18.56	5.92	4.62	22.75	1.46	15.22	1.77	0.99	1.89	2.92	10.63	1.19	4.28	1.91	0.06	5.15	2.66	5.96	36.27	124.37	44.89	38.4	24.28	5.87	24.63	19.68	146.03	162.14	34.26	32.13	17.0	29.06	16.03	37.05	78.89	29.27
SNRNP200	1757.34	2133.97	1757.34	1757.34	1250.98	1378.57	1781.89	1540.37	1639.59	1857.6	1119.56	1551.09	2434.5	1857.6	1662.49	1583.71	1268.46	819.3	1295.13	1167.14	1685.71	1175.27	1151.06	1191.69	1191.69	1437.15	1467.37	1081.39	878.17	1259.69	490.14	1437.15	679.29	1088.92	2178.83	3018.3	1819.35	1896.65	3515.68	3146.52	2855.44	1151.06	1467.37	2193.99	2739.08	2434.5	2485.67	1950.0	2271.4	1159.07	4210.15	1963.57
SNRNP40	1073.91	981.29	470.14	493.56	420.68	267.73	518.15	476.71	373.81	267.73	529.06	299.25	718.08	575.03	343.89	248.0	316.37	301.33	389.72	813.63	381.68	426.57	255.0	339.14	376.41	343.89	579.04	277.2	287.01	438.59	297.17	341.51	229.72	314.17	941.27	1397.83	708.18	1757.34	934.76	669.92	836.53	718.08	1030.12	854.13	813.63	1096.5	1529.73	934.76	759.08	866.07	1015.93	902.89
SSRP1	2104.58	2319.15	1073.91	1397.83	1096.5	733.19	1369.04	1498.22	1143.1	1397.83	921.88	878.17	1304.15	1143.1	974.5	1397.83	995.0	684.02	928.3	1651.0	1551.09	785.88	698.41	967.76	808.0	866.07	1242.34	836.53	547.75	1051.79	500.46	967.76	651.58	1059.11	2119.22	3982.99	1242.34	1991.0	3212.66	2758.13	2739.08	1044.52	1407.55	1757.34	2645.74	2915.45	2434.5	2193.99	1529.73	1183.45	2720.15	1561.89
SUPT6H	674.59	860.08	748.61	638.15	525.39	500.46	660.68	483.38	769.69	540.19	476.71	480.04	748.61	703.28	698.41	688.78	532.74	403.5	738.29	406.31	633.73	525.39	438.59	660.68	713.11	480.04	567.1	384.34	384.34	529.06	348.71	540.19	438.59	460.44	947.83	1457.23	981.29	603.67	693.58	954.43	1175.27	466.88	703.28	825.0	1015.93	909.17	884.29	629.35	642.59	525.39	1977.24	1044.52
SYCP2L	21.16	1.99	6.78	2.61	1.28	2.27	2.89	1.55	0.0	1.85	6.06	3.29	10.96	0.62	3.06	0.66	1.11	14.14	4.46	0.56	0.62	26.28	0.0	1.89	0.31	3.35	0.0	17.51	0.31	0.56	7.22	0.75	6.01	0.0	62.56	61.25	22.43	7.94	22.43	66.18	70.51	8.0	3.0	2.81	12.83	26.47	15.68	42.11	7.69	15.34	46.18	7.88
TANC2	205.5	162.14	131.51	125.24	24.81	25.91	18.56	10.79	6.41	2.92	21.47	3.86	36.53	2.36	69.03	3.99	7.28	6.06	6.06	10.08	71.5	20.56	15.22	21.63	12.93	14.24	9.63	0.19	32.82	12.0	75.64	8.0	0.0	5.5	275.28	384.34	244.57	55.1	334.46	102.97	473.41	139.07	295.11	629.35	295.11	316.37	514.56	267.73	112.77	217.27	173.85	99.43
TAS2R20	4.43	9.34	7.17	3.03	2.81	5.36	9.78	1.89	2.03	9.06	7.57	0.0	13.62	3.96	6.21	7.69	0.0	0.0	1.95	1.17	10.71	8.78	0.0	2.68	3.66	2.71	12.64	2.14	0.0	3.32	1.93	1.41	5.73	0.74	23.42	31.45	17.25	4.98	7.94	18.56	53.57	4.74	14.78	5.63	8.19	20.86	22.92	11.82	27.84	9.48	19.53	5.92
TBC1D30	100.13	89.51	37.85	41.81	31.0	11.73	111.21	69.52	9.27	28.65	22.43	18.43	75.11	143.01	23.76	16.63	166.73	15.8	19.25	82.87	12.45	30.56	55.49	79.45	73.03	0.21	13.83	2.32	18.43	33.3	9.27	14.67	120.1	27.84	118.43	389.72	120.1	99.43	178.77	237.86	297.17	75.64	54.72	128.79	109.66	98.04	136.19	118.43	103.69	95.34	336.79	119.26
TCERG1	490.14	633.73	514.56	237.86	490.14	277.2	497.0	334.46	289.02	620.67	343.89	363.56	583.07	381.68	563.18	563.18	295.11	343.89	293.07	454.09	507.46	450.94	39.5	332.14	414.87	212.78	441.64	116.78	142.01	138.1	169.07	98.73	163.28	83.45	665.29	1059.11	769.69	346.29	954.43	423.61	698.41	307.69	660.68	525.39	633.73	915.51	651.58	624.99	1001.93	429.54	2119.22	819.3
TFE3	866.07	934.76	890.44	1233.75	703.28	802.41	521.76	684.02	591.22	775.05	947.83	629.35	688.78	848.22	638.15	559.28	514.56	688.78	536.45	403.5	878.17	1051.79	303.44	616.37	423.61	209.84	343.89	285.03	551.56	540.19	595.34	387.02	470.14	579.04	921.88	1963.57	884.29	780.44	698.41	693.58	1242.34	884.29	1037.29	723.08	974.5	791.35	848.22	941.27	842.36	902.89	703.28	616.37
TICRR	55.89	43.02	7.17	6.06	15.0	8.0	19.25	16.03	25.91	17.64	15.8	6.94	39.79	9.34	24.99	24.46	3.69	14.14	7.4	24.28	4.82	8.13	0.96	0.0	3.99	0.0	28.24	0.69	0.6	11.21	0.65	2.51	0.0	0.6	44.25	186.4	12.74	54.72	99.43	55.49	93.35	2.36	59.55	77.25	115.16	180.02	88.88	90.77	204.07	14.24	314.17	105.89
TMEM194A	144.01	146.03	98.73	87.65	62.56	53.95	125.24	53.95	107.38	75.64	55.49	30.12	170.25	68.07	82.87	62.12	52.45	50.63	44.25	71.0	46.5	59.13	47.17	52.08	52.08	104.42	89.51	77.25	26.1	94.01	15.34	47.17	45.21	59.13	242.88	255.0	148.09	221.86	323.03	229.72	343.89	92.7	92.7	72.52	212.78	368.65	185.11	255.0	450.94	83.45	432.53	241.19
TRIM65	341.51	379.04	336.79	307.69	149.12	96.68	146.03	108.14	50.63	101.54	108.14	67.12	164.42	229.72	167.9	116.78	92.7	151.22	204.07	231.32	175.07	140.04	61.68	69.52	52.82	70.51	93.35	65.26	75.11	92.05	94.67	86.43	54.33	64.8	323.03	819.3	387.02	190.34	291.04	150.17	351.14	262.2	547.75	325.29	283.05	334.46	371.22	281.09	423.61	307.69	529.06	341.51
TRRAP	305.55	236.21	301.33	181.28	137.14	121.79	177.53	114.36	125.24	131.51	87.65	90.77	206.94	116.78	120.1	73.03	118.43	111.21	83.45	92.7	115.16	85.82	73.03	61.68	68.07	61.68	155.5	63.0	60.39	116.78	52.08	139.07	56.28	195.72	218.79	403.5	181.28	170.25	327.56	351.14	466.88	85.22	186.4	132.44	320.8	289.02	246.28	186.4	172.65	117.6	483.38	389.72
TXLNB	44.25	37.59	20.71	17.9	5.92	4.94	20.11	3.66	0.93	23.42	4.35	3.92	28.04	0.44	0.49	3.03	1.6	2.61	0.88	12.45	2.78	5.82	2.39	2.01	0.89	0.49	4.46	0.4	4.39	0.36	18.16	4.86	1.2	8.06	25.54	88.26	14.45	18.97	29.48	1.97	38.12	10.63	14.78	11.04	13.83	21.63	12.09	13.62	20.11	19.82	14.56	9.56
U2SURP	842.36	890.44	476.71	264.03	521.76	361.04	748.61	514.56	262.2	665.29	483.38	403.5	825.0	409.15	518.15	575.03	466.88	361.04	366.09	780.44	555.41	397.93	61.25	361.04	346.29	283.05	397.93	242.88	189.02	217.27	366.09	201.25	297.17	163.28	1159.07	3515.68	748.61	1030.12	2367.9	1519.15	1745.2	450.94	651.58	248.0	1617.0	1529.73	1388.16	2032.85	1313.23	571.05	1977.24	1819.35
UBE2V1	2915.45	2855.44	2417.67	2287.2	1369.04	2075.59	1857.6	1769.57	1340.84	2287.2	1757.34	1457.23	2119.22	1233.75	2148.82	2502.97	1572.76	1909.85	1407.55	1467.37	2367.9	1477.58	1407.55	1286.18	1350.18	1437.15	1487.87	1268.46	1519.15	1457.23	947.83	1883.54	1427.22	1844.76	2739.08	3103.19	2133.97	1757.34	2777.33	1923.14	1950.0	1936.53	2061.24	1781.89	2351.53	2627.46	2193.99	1991.0	2384.37	2163.77	4388.98	2384.37
USP39	1104.13	896.64	642.59	718.08	591.22	420.68	669.92	563.18	476.71	769.69	603.67	536.45	764.36	503.95	579.04	647.07	518.15	486.75	493.56	511.0	629.35	503.95	363.56	356.05	316.37	417.77	693.58	351.14	309.83	503.95	260.38	412.0	166.73	373.81	1008.9	1277.29	836.53	2032.85	934.76	1447.15	1378.57	995.0	759.08	612.11	1662.49	1437.15	988.12	1540.37	1127.35	995.0	1073.91	967.76
UTP20	153.34	148.09	98.73	74.58	58.71	49.21	80.01	44.25	70.01	41.52	54.33	50.63	94.01	43.32	42.41	43.02	54.33	50.27	32.36	43.94	61.68	43.94	20.11	46.84	37.32	29.06	58.3	38.12	20.41	40.64	27.25	36.53	25.17	59.13	115.16	287.01	87.65	101.54	273.37	97.36	144.01	50.98	113.56	76.71	93.35	127.0	109.66	105.89	75.11	80.57	368.65	159.9
UTP6	1508.65	1286.18	1225.22	967.76	967.76	808.0	1427.22	780.44	406.31	780.44	1008.9	1088.92	1561.89	974.5	1023.0	1304.15	995.0	620.67	1233.75	1081.39	1119.56	836.53	486.75	909.17	591.22	656.11	928.3	624.99	693.58	543.96	743.43	473.41	612.11	432.53	1870.53	2032.85	1242.34	2555.58	1059.11	3018.3	1628.26	1030.12	1159.07	753.83	961.07	1477.58	1277.29	1350.18	1781.89	1216.75	2627.46	947.83
VAV3	988.12	457.25	392.44	186.4	21.47	29.7	12.18	14.89	15.8	15.0	14.24	9.56	105.89	3.63	6.46	8.06	10.96	15.56	30.34	6.67	8.78	28.04	13.62	8.06	5.87	13.52	22.26	3.96	27.64	14.14	3.2	67.12	53.57	11.04	105.89	246.28	105.89	599.49	620.67	275.28	172.65	144.01	86.43	21.01	62.56	111.99	703.28	329.84	121.79	100.83	248.0	59.55
WHSC1	371.22	540.19	164.42	191.67	167.9	149.12	248.0	166.73	113.56	277.2	120.94	118.43	435.55	164.42	232.94	209.84	273.37	171.45	115.97	143.01	147.06	133.36	50.98	78.89	85.22	63.0	314.17	60.39	66.65	260.38	37.59	109.66	31.9	148.09	420.68	733.19	406.31	587.13	624.99	223.41	656.11	176.29	547.75	450.94	486.75	860.08	493.56	387.02	698.41	275.28	1001.93	444.72
XRCC2	47.17	29.91	5.5	2.53	12.83	10.16	33.06	13.72	14.35	19.82	12.27	5.59	39.79	11.64	27.05	7.82	5.77	12.55	5.54	21.32	6.84	6.11	0.66	0.2	0.0	0.74	29.27	2.29	4.74	20.26	1.79	3.29	2.56	0.95	23.76	260.38	13.12	80.01	130.6	65.26	20.71	5.63	28.24	29.06	94.67	81.71	58.3	126.12	133.36	9.48	183.82	107.38
YEATS2	483.38	312.0	229.72	199.85	145.02	98.73	206.94	117.6	71.0	134.3	102.25	94.01	162.14	104.42	126.12	187.71	90.77	80.01	98.73	138.1	120.94	120.94	29.48	32.59	33.54	24.11	105.89	40.93	40.36	73.03	47.17	38.95	74.06	64.8	559.28	258.57	327.56	166.73	796.86	275.28	1059.11	147.06	291.04	551.56	500.46	612.11	703.28	1059.11	825.0	224.97	511.0	384.34
ZBTB40	177.53	144.01	105.89	92.05	100.83	73.54	146.03	64.34	76.17	101.54	58.3	43.32	149.12	104.42	84.04	82.29	57.08	66.18	68.55	103.69	78.34	73.03	15.68	39.79	13.22	35.76	24.99	27.05	30.56	42.41	28.65	26.1	24.63	36.27	178.77	246.28	234.57	43.32	119.26	90.14	187.71	80.57	142.01	197.09	100.83	204.07	126.12	88.26	145.02	105.15	325.29	165.57
ZNF182	66.65	85.22	66.65	48.52	62.12	55.1	45.21	13.52	24.11	49.21	54.72	58.71	81.71	90.77	36.27	61.68	50.63	36.01	40.07	28.24	50.63	82.29	8.71	48.52	37.32	33.78	44.89	34.02	43.32	41.81	37.59	29.27	42.41	23.42	111.21	297.17	105.89	109.66	100.13	68.55	120.94	53.95	90.14	60.39	78.89	125.24	51.35	120.1	88.26	67.12	176.29	80.01
ZNF239	102.25	96.01	58.71	55.89	9.27	4.66	49.56	16.39	2.36	36.79	81.14	6.89	4.5	7.46	48.52	24.46	44.25	3.0	7.34	30.56	82.87	20.41	4.82	67.12	3.2	13.93	24.99	5.06	2.89	5.82	4.46	7.06	11.3	16.51	132.44	136.19	40.64	135.24	251.48	65.26	17.51	37.85	118.43	69.03	28.04	132.44	35.25	63.45	56.68	56.68	316.37	163.28
ZNF273	153.34	67.12	70.51	63.0	24.81	17.77	34.51	35.5	10.08	51.71	24.99	14.56	71.5	19.68	10.0	45.85	18.7	19.68	9.93	15.34	18.56	19.39	7.22	8.25	17.9	17.13	52.45	22.92	8.19	10.16	21.94	16.15	17.13	10.47	119.26	366.09	75.11	397.93	162.14	162.14	98.04	65.72	77.79	46.18	96.68	149.12	120.1	139.07	206.94	77.79	151.22	96.68
ZNF280B	12.27	7.46	24.63	13.22	0.89	0.46	0.0	0.77	0.45	0.0	0.83	0.4	4.06	0.0	2.58	0.41	0.41	1.27	0.43	0.34	0.0	1.68	0.0	1.03	0.0	1.35	1.75	0.0	1.08	0.0	0.29	1.5	0.89	0.27	52.45	35.5	6.73	31.22	39.79	57.08	49.91	7.11	36.79	4.9	35.76	26.1	7.57	2.51	17.38	4.82	43.32	17.9
ZNF589	273.37	172.65	214.27	162.14	72.52	58.3	80.01	65.72	19.68	62.12	46.84	44.57	91.41	100.13	49.91	74.06	40.36	40.64	43.02	67.59	92.7	78.89	14.45	28.24	7.88	27.25	64.34	34.02	25.72	47.17	34.26	32.82	22.43	29.27	231.32	297.17	514.56	31.22	197.09	46.84	143.01	114.36	218.79	166.73	265.87	480.04	124.37	126.12	208.38	152.28	353.59	171.45
ZNF736	128.79	103.69	113.56	45.21	27.64	33.06	52.45	34.02	30.12	51.71	24.99	12.18	73.54	71.0	9.63	33.06	34.51	14.78	28.86	36.01	41.52	20.26	8.06	16.03	15.0	10.47	58.3	18.56	26.86	19.97	15.91	16.03	4.39	17.25	97.36	356.05	107.38	151.22	191.67	120.1	112.77	64.8	105.89	37.32	58.71	190.34	18.7	92.7	176.29	67.59	251.48	47.5
ZNF783	158.79	111.21	161.02	111.21	61.68	25.17	148.09	80.57	15.34	96.68	69.03	30.34	87.65	109.66	143.01	53.95	88.26	44.57	29.06	69.52	88.26	96.01	12.45	23.93	23.93	29.48	46.18	33.54	27.44	21.16	6.46	30.56	36.27	15.91	144.01	224.97	218.79	88.88	336.79	161.02	242.88	60.39	176.29	129.69	148.09	201.25	206.94	172.65	152.28	146.03	363.56	258.57
ZNF789	212.78	106.63	218.79	94.67	178.77	116.78	320.8	129.69	121.79	197.09	100.83	80.01	218.79	318.57	120.94	177.53	69.03	100.83	109.66	204.07	164.42	111.99	47.84	115.97	80.57	105.15	154.42	108.9	83.45	69.03	76.17	42.11	69.03	31.45	221.86	642.59	329.84	232.94	457.25	267.73	256.78	96.68	251.48	169.07	279.14	336.79	223.41	329.84	262.2	206.94	748.61	265.87
ZNF81	48.87	55.89	45.85	47.5	36.79	55.89	22.43	30.78	32.59	15.68	84.63	14.45	49.21	36.79	40.36	10.08	27.05	12.45	17.25	21.94	15.34	32.36	29.91	27.25	27.84	23.42	37.32	17.9	10.24	20.11	25.54	3.96	23.25	21.78	48.87	146.03	42.41	123.5	75.11	39.5	76.71	27.25	74.58	53.57	38.95	68.55	27.64	92.7	54.72	31.67	109.66	50.27
