	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.A8.A08O.01A.21R.A056.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.BH.A0HB.01A.11R.A056.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.AR.A2LO.01A.31R.A18M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AR.A0TV.01A.21R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E2.A15D.01A.11R.A115.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.AR.A24K.01A.11R.A169.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A2.A4S0.01A.21R.A266.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.D8.A1JC.01A.11R.A13Q.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.BH.A0E2.01A.11R.A056.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A18N.01A.11R.A12D.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15H.01A.11R.A12D.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.AK.3447.01A.01R.1766.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.REY6.1226.SM.48FDR
PPP1R9A	0.38	28.04	103.69	139.07	131.51	92.05	105.89	48.52	62.12	171.45	105.15	26.28	128.79	25.91	117.6	25.72	21.32	21.63	145.02	148.09	164.42	110.43	53.57	164.42	128.79	116.78	229.72	105.15	75.11	136.19	14.03	42.71	63.89	123.5	58.71	172.65	33.3	36.79	105.15	79.45	65.26	47.5	73.03	81.14	99.43	97.36	156.59	33.3	86.43	111.21	46.5	48.52	85.82	108.14	17.25	82.29	50.98	111.21	53.19	170.25	127.89	96.01	206.94	128.79	108.14	63.0	100.13	155.5	178.77	97.36	53.95	103.69	127.0	220.32	81.14	503.95	31.9	36.27	102.97	71.0	38.4	55.1	65.72	48.52	83.45	79.45	108.9	90.14	29.7	108.14	129.69	87.65	87.03	50.27	121.79	52.82	25.35	71.5	41.22	59.13	8.0	96.01	177.53	65.26	66.65	68.07	108.14	75.64	307.69	26.67	118.43	73.54	92.7	72.52	94.01	43.02	44.25	20.71	2.58	9.48	1.08	1.83	3.06	25.72	4.03	5.92	1.41	10.08	0.66	1.83	10.47	2.81	7.22	2.71	1.97	16.63	0.56	2.16	1.48	1.64	2.16	5.11	6.11	1.25	1.69	3.79	12.09	7.46	10.71	4.5	0.74	0.48	1.01	0.87
PRRC2B	389.72	384.34	1119.56	2434.5	1350.18	3372.43	1127.35	1225.22	764.36	2555.58	3467.27	1183.45	1950.0	1073.91	825.0	921.88	890.44	1417.35	2119.22	2701.35	1030.12	1250.98	1159.07	2303.12	2209.26	2004.85	1781.89	2004.85	1781.89	1769.57	780.44	1540.37	1519.15	3443.31	1104.13	2875.3	2148.82	1127.35	1127.35	1143.1	1991.0	1605.83	1883.54	813.63	2240.11	1757.34	738.29	1572.76	1295.13	2090.03	2004.85	854.13	1417.35	2287.2	2537.92	1662.49	1605.83	1844.76	1605.83	1832.01	2434.5	1572.76	3190.46	2271.4	1397.83	2240.11	2351.53	2163.77	2075.59	2004.85	1378.57	1709.26	1733.13	2384.37	1519.15	1407.55	1388.16	620.67	988.12	1242.34	1781.89	1250.98	1977.24	1561.89	1781.89	1709.26	1832.01	1340.84	1104.13	2075.59	1378.57	3928.15	1250.98	947.83	1674.06	1628.26	2119.22	1397.83	1304.15	1844.76	1242.34	1733.13	1427.22	2018.8	796.86	1870.53	2240.11	1781.89	2468.49	1572.76	2047.0	1127.35	1127.35	1457.23	1008.9	698.41	1051.79	127.89	854.13	346.29	409.15	536.45	497.0	679.29	848.22	500.46	529.06	457.25	587.13	563.18	785.88	490.14	480.04	607.87	607.87	540.19	497.0	884.29	547.75	616.37	438.59	493.56	802.41	620.67	325.29	318.57	305.55	299.25	409.15	291.04	373.81	143.01	480.04	297.17
PURB	234.57	189.02	444.72	309.83	470.14	616.37	316.37	299.25	358.54	529.06	759.08	285.03	217.27	231.32	287.01	242.88	281.09	231.32	497.0	381.68	438.59	320.8	166.73	447.82	256.78	371.22	406.31	409.15	273.37	303.44	255.0	293.07	400.71	665.29	255.0	368.65	371.22	191.67	417.77	295.11	389.72	343.89	303.44	242.88	406.31	497.0	242.88	239.52	249.73	376.41	473.41	327.56	224.97	387.02	312.0	329.84	262.2	329.84	366.09	463.65	743.43	291.04	490.14	351.14	366.09	607.87	325.29	447.82	397.93	371.22	460.44	314.17	599.49	507.46	253.23	583.07	177.53	348.71	251.48	218.79	206.94	223.41	412.0	336.79	161.02	353.59	255.0	320.8	358.54	514.56	358.54	348.71	420.68	571.05	403.5	332.14	432.53	305.55	215.77	164.42	220.32	281.09	303.44	269.6	371.22	307.69	457.25	260.38	571.05	186.4	314.17	312.0	312.0	159.9	395.18	255.0	124.37	33.3	152.28	120.94	82.29	101.54	71.5	148.09	94.67	85.82	75.11	96.01	57.49	93.35	123.5	90.77	64.8	76.71	105.15	98.04	100.83	78.89	127.89	85.22	81.71	57.49	145.02	102.25	37.32	87.65	105.15	93.35	115.16	104.42	45.21	38.12	119.26	58.3
R3HDM2	555.41	511.0	884.29	796.86	688.78	764.36	579.04	583.07	780.44	928.3	1167.14	698.41	1369.04	414.87	633.73	497.0	633.73	260.38	780.44	748.61	836.53	507.46	363.56	708.18	693.58	1199.98	967.76	616.37	830.75	796.86	348.71	651.58	1015.93	1119.56	769.69	854.13	1159.07	728.11	642.59	417.77	896.64	748.61	603.67	543.96	866.07	909.17	571.05	842.36	559.28	1030.12	1199.98	684.02	642.59	890.44	647.07	728.11	647.07	708.18	753.83	1023.0	1044.52	780.44	1104.13	693.58	1044.52	1233.75	579.04	769.69	860.08	595.34	591.22	723.08	1242.34	848.22	444.72	819.3	796.86	339.14	563.18	536.45	529.06	547.75	769.69	802.41	473.41	743.43	813.63	713.11	780.44	1322.37	679.29	1104.13	486.75	723.08	733.19	1605.83	802.41	587.13	842.36	688.78	483.38	713.11	836.53	441.64	679.29	1001.93	1104.13	551.56	1059.11	1295.13	669.92	497.0	454.09	693.58	620.67	796.86	373.81	52.82	780.44	403.5	540.19	323.03	473.41	175.07	587.13	327.56	277.2	327.56	339.14	529.06	241.19	318.57	454.09	514.56	559.28	409.15	155.5	438.59	555.41	457.25	371.22	575.03	420.68	532.74	414.87	395.18	438.59	476.71	447.82	470.14	575.03	612.11	232.94	420.68
RABGEF1	325.29	764.36	466.88	384.34	438.59	368.65	412.0	409.15	218.79	587.13	483.38	395.18	293.07	323.03	348.71	395.18	334.46	264.03	591.22	323.03	426.57	356.05	211.31	361.04	409.15	325.29	555.41	392.44	334.46	334.46	417.77	339.14	414.87	525.39	353.59	384.34	226.54	353.59	473.41	503.95	599.49	269.6	429.54	409.15	368.65	514.56	320.8	316.37	392.44	363.56	412.0	176.29	273.37	371.22	438.59	400.71	384.34	314.17	414.87	438.59	511.0	400.71	242.88	295.11	420.68	387.02	260.38	587.13	395.18	432.53	368.65	343.89	336.79	466.88	463.65	438.59	269.6	301.33	371.22	327.56	348.71	373.81	376.41	447.82	271.48	346.29	435.55	381.68	318.57	351.14	511.0	295.11	384.34	500.46	361.04	476.71	607.87	366.09	567.1	426.57	318.57	226.54	287.01	476.71	457.25	356.05	454.09	307.69	723.08	316.37	363.56	507.46	260.38	343.89	341.51	346.29	262.2	258.57	206.94	185.11	155.5	214.27	123.5	229.72	248.0	279.14	166.73	180.02	132.44	206.94	202.66	208.38	143.01	152.28	143.01	332.14	248.0	161.02	260.38	202.66	260.38	161.02	256.78	212.78	185.11	244.57	241.19	198.47	253.23	228.13	185.11	186.4	283.05	212.78
RBAK	56.28	72.01	248.0	124.37	211.31	217.27	104.42	111.21	171.45	220.32	178.77	158.79	105.89	92.05	80.01	137.14	111.21	115.97	124.37	202.66	147.06	121.79	42.41	178.77	108.9	281.09	147.06	143.01	117.6	162.14	120.94	133.36	198.47	232.94	113.56	133.36	88.26	67.59	141.02	139.07	164.42	73.03	158.79	105.89	162.14	140.04	100.83	104.42	115.16	165.57	132.44	218.79	120.94	163.28	156.59	115.97	120.94	133.36	134.3	229.72	353.59	122.64	172.65	166.73	205.5	214.27	120.1	220.32	236.21	146.03	158.79	164.42	159.9	194.36	111.21	223.41	142.01	165.57	111.99	119.26	92.05	85.82	224.97	114.36	91.41	122.64	114.36	151.22	167.9	208.38	127.89	150.17	111.21	173.85	175.07	193.01	144.01	140.04	70.01	68.55	127.89	115.16	133.36	123.5	119.26	93.35	180.02	117.6	224.97	98.04	152.28	166.73	159.9	77.25	140.04	109.66	40.36	8.19	65.26	61.25	42.41	46.84	54.72	36.53	62.56	57.08	47.5	57.08	36.79	58.3	53.57	38.67	34.02	31.9	39.5	48.52	39.22	37.85	71.0	66.18	44.89	57.08	67.12	57.89	12.36	67.12	74.06	51.35	56.28	50.98	47.84	25.91	105.15	63.89
RBM48	83.45	113.56	307.69	163.28	229.72	258.57	190.34	166.73	105.15	334.46	303.44	201.25	166.73	190.34	226.54	194.36	221.86	193.01	316.37	269.6	145.02	249.73	149.12	246.28	212.78	312.0	169.07	193.01	138.1	234.57	193.01	212.78	244.57	281.09	187.71	309.83	106.63	202.66	229.72	195.72	253.23	94.67	202.66	202.66	202.66	271.48	131.51	147.06	186.4	194.36	190.34	105.89	157.68	189.02	214.27	199.85	176.29	212.78	151.22	275.28	258.57	199.85	133.36	221.86	151.22	283.05	175.07	309.83	265.87	198.47	199.85	212.78	208.38	373.81	260.38	444.72	234.57	139.07	151.22	187.71	103.69	197.09	387.02	157.68	215.77	131.51	220.32	167.9	260.38	202.66	256.78	236.21	277.2	271.48	277.2	228.13	224.97	314.17	131.51	136.19	205.5	190.34	172.65	224.97	167.9	249.73	189.02	180.02	283.05	201.25	267.73	293.07	131.51	140.04	206.94	197.09	251.48	102.97	147.06	100.83	94.01	98.73	91.41	80.01	127.89	128.79	81.14	113.56	92.05	100.83	99.43	92.05	81.14	102.25	112.77	122.64	88.26	150.17	140.04	96.68	110.43	109.66	127.89	112.77	54.72	107.38	83.45	123.5	116.78	90.77	93.35	56.28	66.18	100.83
RFX7	46.84	98.04	191.67	143.01	154.42	97.36	62.56	96.01	143.01	211.31	232.94	80.57	81.14	57.49	88.26	90.77	119.26	105.89	255.0	120.94	135.24	82.29	43.94	236.21	92.7	244.57	163.28	139.07	117.6	269.6	114.36	124.37	170.25	220.32	119.26	220.32	228.13	85.82	187.71	121.79	105.15	103.69	114.36	66.18	190.34	176.29	159.9	138.1	140.04	267.73	157.68	135.24	117.6	236.21	100.83	189.02	115.16	228.13	151.22	244.57	358.54	126.12	195.72	226.54	125.24	100.13	120.1	206.94	197.09	153.34	79.45	134.3	208.38	144.01	73.03	231.32	88.26	108.9	97.36	115.97	88.88	53.95	147.06	135.24	55.89	100.13	124.37	89.51	144.01	223.41	167.9	125.24	108.9	169.07	194.36	140.04	84.04	76.71	54.72	88.26	75.11	193.01	193.01	128.79	139.07	94.01	144.01	102.97	180.02	171.45	131.51	115.97	163.28	65.72	134.3	96.68	67.12	12.27	45.21	20.86	9.27	34.75	20.11	28.24	28.45	37.59	29.7	27.84	18.29	22.92	29.91	19.97	25.72	19.97	30.12	26.67	18.03	28.04	53.95	50.27	23.93	22.75	67.12	36.53	17.51	10.47	11.64	33.3	21.78	18.7	16.88	16.15	6.94	17.51
RLIM	92.7	178.77	395.18	309.83	336.79	264.03	181.28	281.09	255.0	432.53	753.83	218.79	158.79	205.5	209.84	253.23	221.86	283.05	361.04	376.41	287.01	181.28	115.16	476.71	226.54	432.53	307.69	397.93	301.33	397.93	271.48	260.38	336.79	587.13	206.94	307.69	314.17	198.47	307.69	226.54	409.15	309.83	289.02	182.55	353.59	358.54	226.54	329.84	234.57	277.2	339.14	211.31	234.57	429.54	318.57	256.78	248.0	334.46	305.55	450.94	679.29	175.07	438.59	507.46	343.89	334.46	234.57	287.01	384.34	450.94	242.88	307.69	791.35	447.82	246.28	490.14	273.37	466.88	217.27	281.09	205.5	131.51	583.07	228.13	234.57	248.0	244.57	438.59	265.87	420.68	343.89	312.0	353.59	395.18	435.55	417.77	271.48	293.07	267.73	195.72	239.52	318.57	275.28	409.15	244.57	199.85	269.6	253.23	417.77	325.29	346.29	323.03	563.18	173.85	358.54	215.77	119.26	59.13	129.69	115.97	63.89	84.04	88.26	98.04	177.53	91.41	81.71	101.54	63.0	104.42	81.71	143.01	56.68	48.52	84.04	74.58	47.84	77.25	112.77	120.1	57.49	78.89	104.42	64.8	51.35	110.43	130.6	78.89	132.44	98.04	90.14	63.0	193.01	98.73
RNF216	106.63	161.02	616.37	420.68	343.89	457.25	348.71	291.04	384.34	507.46	575.03	358.54	271.48	246.28	239.52	285.03	287.01	191.67	314.17	470.14	397.93	429.54	198.47	381.68	323.03	529.06	525.39	392.44	297.17	376.41	234.57	323.03	389.72	587.13	376.41	476.71	256.78	223.41	368.65	334.46	420.68	260.38	361.04	336.79	444.72	435.55	305.55	264.03	275.28	423.61	181.28	583.07	432.53	334.46	363.56	339.14	343.89	441.64	343.89	490.14	341.51	327.56	473.41	417.77	571.05	551.56	295.11	547.75	473.41	346.29	441.64	253.23	450.94	463.65	297.17	397.93	384.34	264.03	299.25	381.68	325.29	293.07	318.57	287.01	314.17	366.09	316.37	348.71	327.56	525.39	447.82	371.22	381.68	376.41	295.11	348.71	532.74	336.79	376.41	314.17	256.78	329.84	403.5	323.03	351.14	307.69	466.88	264.03	624.99	348.71	289.02	316.37	312.0	329.84	283.05	232.94	299.25	52.08	309.83	146.03	136.19	244.57	149.12	376.41	217.27	248.0	201.25	120.1	166.73	171.45	248.0	287.01	133.36	170.25	202.66	214.27	217.27	171.45	169.07	204.07	214.27	126.12	271.48	197.09	159.9	126.12	116.78	106.63	114.36	103.69	109.66	100.13	122.64	131.51
RSBN1L	112.77	96.68	567.1	318.57	376.41	351.14	242.88	231.32	183.82	395.18	575.03	191.67	190.34	236.21	309.83	343.89	279.14	193.01	591.22	447.82	356.05	400.71	166.73	358.54	305.55	423.61	483.38	612.11	205.5	376.41	275.28	275.28	309.83	447.82	301.33	450.94	264.03	253.23	279.14	403.5	376.41	199.85	353.59	236.21	363.56	368.65	251.48	273.37	234.57	420.68	273.37	224.97	228.13	299.25	497.0	400.71	239.52	348.71	279.14	423.61	444.72	273.37	242.88	406.31	540.19	343.89	187.71	500.46	316.37	412.0	212.78	417.77	438.59	493.56	269.6	647.07	198.47	260.38	190.34	329.84	149.12	197.09	473.41	309.83	281.09	244.57	346.29	348.71	287.01	429.54	289.02	381.68	339.14	583.07	493.56	287.01	262.2	395.18	239.52	242.88	246.28	303.44	336.79	234.57	329.84	206.94	387.02	309.83	669.92	285.03	435.55	366.09	226.54	221.86	303.44	206.94	170.25	99.43	129.69	126.12	64.34	105.15	70.51	105.15	108.14	98.73	82.87	110.43	63.89	75.64	92.05	75.64	87.03	64.8	73.03	99.43	88.88	76.17	125.24	96.01	103.69	111.21	147.06	100.13	32.59	83.45	151.22	108.9	89.51	93.35	148.09	64.8	89.51	140.04
SERINC4	2.32	1.13	26.1	17.9	23.93	6.62	20.56	7.17	8.45	5.06	33.78	9.78	10.0	2.71	14.45	14.89	9.27	6.89	11.55	7.46	15.68	20.71	9.41	8.32	7.69	18.43	25.35	4.28	2.68	11.55	20.41	13.93	60.39	32.36	12.64	8.0	22.26	4.82	24.63	11.47	26.67	27.64	20.11	11.82	7.94	10.39	11.91	9.13	6.21	20.26	10.47	6.73	7.57	11.04	14.35	18.56	8.99	35.25	5.36	29.27	55.49	3.32	4.13	3.17	3.92	12.93	41.22	21.16	17.51	21.16	8.06	9.34	30.78	24.99	18.84	5.82	10.71	5.5	16.88	10.79	12.27	8.92	44.57	11.21	23.93	6.94	24.28	15.45	10.16	25.72	20.26	27.05	36.27	15.8	26.47	14.45	30.34	10.63	2.46	18.16	3.41	18.03	16.75	17.25	7.75	9.85	12.09	15.8	18.43	17.64	18.03	11.82	9.27	21.01	12.09	4.7	2.23	5.73	2.01	3.56	4.35	4.58	1.06	8.06	9.13	4.98	3.29	3.66	2.61	3.72	4.39	1.22	6.94	3.92	3.63	4.21	1.68	0.46	3.89	2.94	4.54	5.36	5.68	4.21	6.84	2.89	3.59	8.32	13.52	4.82	1.85	2.03	3.76	1.43
SETD1B	113.56	100.13	237.86	281.09	169.07	409.15	239.52	137.14	191.67	289.02	336.79	236.21	242.88	177.53	197.09	150.17	171.45	146.03	327.56	218.79	255.0	124.37	149.12	273.37	231.32	251.48	248.0	194.36	316.37	183.82	177.53	299.25	157.68	392.44	161.02	283.05	341.51	173.85	145.02	162.14	343.89	191.67	260.38	155.5	242.88	301.33	163.28	161.02	156.59	242.88	275.28	201.25	215.77	241.19	191.67	155.5	211.31	204.07	217.27	185.11	236.21	194.36	429.54	289.02	299.25	307.69	183.82	228.13	366.09	253.23	229.72	181.28	148.09	265.87	199.85	204.07	232.94	201.25	198.47	150.17	176.29	201.25	144.01	157.68	112.77	327.56	389.72	197.09	226.54	279.14	273.37	307.69	191.67	241.19	176.29	148.09	490.14	256.78	236.21	234.57	112.77	154.42	264.03	215.77	202.66	249.73	249.73	283.05	368.65	332.14	206.94	255.0	260.38	224.97	301.33	186.4	102.25	19.39	173.85	72.52	53.57	120.94	68.55	137.14	164.42	139.07	115.97	74.06	102.97	129.69	111.99	131.51	102.25	88.26	102.25	97.36	80.01	124.37	118.43	129.69	94.01	255.0	138.1	139.07	62.56	108.14	85.82	111.99	81.71	48.87	76.71	45.53	42.41	51.71
SIN3A	312.0	303.44	842.36	848.22	995.0	559.28	656.11	460.44	759.08	872.1	1407.55	525.39	703.28	450.94	674.59	651.58	563.18	497.0	1051.79	878.17	688.78	329.84	343.89	941.27	624.99	921.88	981.29	915.51	555.41	738.29	532.74	688.78	785.88	1519.15	624.99	842.36	909.17	620.67	738.29	567.1	884.29	483.38	583.07	438.59	934.76	928.3	825.0	890.44	599.49	1127.35	723.08	802.41	620.67	1104.13	616.37	769.69	684.02	848.22	665.29	860.08	878.17	1096.5	1081.39	791.35	660.68	842.36	1001.93	1151.06	791.35	1001.93	435.55	591.22	909.17	728.11	476.71	1015.93	599.49	466.88	629.35	567.1	518.15	376.41	703.28	595.34	444.72	497.0	563.18	435.55	642.59	1127.35	543.96	819.3	642.59	1191.69	612.11	703.28	703.28	629.35	713.11	450.94	511.0	567.1	1001.93	612.11	967.76	2061.24	915.51	733.19	947.83	684.02	536.45	819.3	796.86	429.54	785.88	718.08	366.09	72.01	187.71	187.71	115.16	201.25	139.07	150.17	246.28	129.69	181.28	171.45	94.01	191.67	205.5	109.66	123.5	186.4	221.86	224.97	84.63	133.36	356.05	169.07	109.66	217.27	189.02	155.5	122.64	234.57	202.66	176.29	159.9	155.5	151.22	256.78	175.07	163.28
SMARCAD1	81.71	157.68	511.0	289.02	473.41	500.46	214.27	265.87	176.29	543.96	381.68	217.27	303.44	206.94	297.17	195.72	195.72	223.41	195.72	312.0	314.17	205.5	159.9	486.75	201.25	466.88	373.81	175.07	251.48	400.71	246.28	325.29	414.87	543.96	223.41	450.94	267.73	244.57	409.15	194.36	301.33	231.32	172.65	171.45	547.75	336.79	198.47	285.03	221.86	450.94	361.04	149.12	409.15	327.56	320.8	381.68	318.57	307.69	256.78	575.03	728.11	329.84	376.41	351.14	191.67	353.59	329.84	376.41	303.44	264.03	228.13	351.14	547.75	381.68	237.86	447.82	309.83	277.2	177.53	212.78	169.07	176.29	466.88	217.27	189.02	376.41	255.0	187.71	305.55	376.41	320.8	228.13	287.01	316.37	423.61	303.44	231.32	204.07	220.32	144.01	209.84	253.23	403.5	277.2	239.52	314.17	260.38	262.2	441.64	244.57	307.69	379.04	246.28	246.28	265.87	239.52	202.66	82.87	70.01	65.72	37.85	74.58	60.39	55.1	95.34	63.45	70.51	73.03	36.27	50.27	75.64	103.69	67.12	40.36	67.12	76.71	26.47	64.8	147.06	100.83	67.12	76.71	102.25	64.34	34.26	72.52	81.14	98.04	97.36	80.57	90.77	18.43	63.45	113.56
SP1	447.82	323.03	988.12	974.5	796.86	830.75	728.11	511.0	656.11	1044.52	1313.23	785.88	514.56	525.39	825.0	551.56	529.06	395.18	1111.82	791.35	764.36	336.79	460.44	967.76	521.76	1096.5	836.53	579.04	796.86	947.83	607.87	896.64	915.51	1572.76	603.67	848.22	909.17	688.78	808.0	555.41	718.08	633.73	813.63	438.59	860.08	1008.9	825.0	616.37	698.41	1066.48	616.37	669.92	878.17	921.88	480.04	753.83	759.08	872.1	830.75	1127.35	1183.45	674.59	961.07	896.64	819.3	928.3	830.75	836.53	660.68	974.5	651.58	674.59	954.43	791.35	423.61	981.29	638.15	500.46	629.35	708.18	629.35	476.71	514.56	733.19	435.55	540.19	612.11	679.29	941.27	1159.07	808.0	928.3	656.11	878.17	796.86	285.03	607.87	759.08	579.04	346.29	384.34	703.28	941.27	656.11	708.18	500.46	764.36	775.05	854.13	1051.79	563.18	353.59	679.29	435.55	775.05	669.92	363.56	68.55	248.0	187.71	143.01	226.54	185.11	193.01	246.28	183.82	167.9	232.94	127.0	185.11	223.41	194.36	154.42	189.02	221.86	271.48	144.01	204.07	379.04	237.86	183.82	297.17	314.17	197.09	142.01	214.27	218.79	229.72	253.23	178.77	154.42	183.82	138.1	223.41
