	TCGA.K4.A3WV.11A.21R.A22U.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.BH.A1FU.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZX.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.BH.A1FH.11B.42R.A13Q.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.Y5V5.2126.SM.4WWFO	GTEX.1399U.1826.SM.5PNZ1	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	GTEX.S4UY.1426.SM.4AD6Y	TCGA.V1.A9ZR.01A.11R.A41O.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.FL.A1YT.11A.12R.A32Y.07	TCGA.FL.A1YL.11A.11R.A16F.07	TCGA.FL.A1YN.11A.11R.A32Y.07	TCGA.FL.A1YV.11A.12R.A32Y.07	TCGA.AJ.A3NH.11A.11R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.UPIC.1526.SM.4IHLU	GTEX.13U4I.1926.SM.5LU39	GTEX.1117F.2426.SM.5EGGH	GTEX.12WSK.2026.SM.5CVNB	GTEX.Q734.1626.SM.48U1B	GTEX.XYKS.1626.SM.4BRUQ
NIN	190.34	620.67	256.78	129.69	301.33	660.68	429.54	226.54	91.41	262.2	595.34	234.57	249.73	116.78	450.94	195.72	262.2	234.57	201.25	476.71	329.84	373.81	514.56	547.75	329.84	281.09	169.07	248.0	616.37	293.07	379.04	291.04	242.88	264.03	332.14	154.42	198.47	397.93	320.8	94.67	379.04	260.38	182.55	356.05	173.85	171.45	224.97	417.77	255.0	316.37	363.56	379.04	182.55	269.6	327.56	287.01	169.07	237.86	251.48	305.55	206.94	323.03	334.46	273.37	361.04	441.64	358.54	665.29	201.25	441.64	112.77	303.44	441.64	135.24	403.5	329.84	212.78	314.17	246.28	339.14	81.14	339.14	162.14	480.04	150.17	423.61	180.02	209.84	68.07	153.34	142.01	141.02	120.94	201.25	164.42	236.21	76.17	173.85	289.02	147.06	100.13	114.36
NRAS	256.78	842.36	256.78	231.32	1088.92	363.56	423.61	334.46	543.96	738.29	884.29	603.67	759.08	417.77	547.75	262.2	480.04	293.07	409.15	536.45	555.41	543.96	307.69	620.67	190.34	368.65	483.38	262.2	884.29	341.51	529.06	307.69	518.15	483.38	842.36	406.31	373.81	603.67	457.25	157.68	616.37	221.86	483.38	483.38	343.89	397.93	463.65	684.02	417.77	620.67	500.46	738.29	373.81	525.39	518.15	529.06	271.48	454.09	620.67	514.56	503.95	412.0	866.07	323.03	320.8	497.0	395.18	447.82	339.14	503.95	334.46	189.02	346.29	412.0	866.07	412.0	211.31	173.85	470.14	361.04	224.97	733.19	234.57	166.73	409.15	753.83	264.03	244.57	139.07	231.32	218.79	236.21	193.01	214.27	603.67	265.87	232.94	244.57	264.03	204.07	204.07	295.11
OPA1	366.09	1331.57	318.57	264.03	1806.78	1119.56	1159.07	514.56	486.75	842.36	3491.39	1216.75	836.53	316.37	490.14	356.05	775.05	316.37	327.56	1159.07	490.14	693.58	921.88	1350.18	559.28	1378.57	460.44	693.58	2271.4	414.87	1066.48	896.64	571.05	503.95	961.07	412.0	518.15	915.51	830.75	181.28	1225.22	460.44	603.67	1001.93	379.04	708.18	656.11	2061.24	587.13	718.08	941.27	1242.34	607.87	878.17	1350.18	753.83	368.65	825.0	500.46	796.86	620.67	961.07	981.29	540.19	1457.23	1498.22	1447.15	2075.59	878.17	1044.52	507.46	665.29	896.64	1191.69	1697.45	1378.57	563.18	954.43	665.29	1127.35	361.04	1268.46	193.01	995.0	351.14	1242.34	291.04	297.17	185.11	366.09	323.03	323.03	325.29	314.17	251.48	438.59	165.57	320.8	212.78	325.29	277.2	171.45
PDK3	123.5	457.25	127.0	256.78	303.44	435.55	149.12	186.4	193.01	295.11	620.67	327.56	341.51	171.45	379.04	88.88	211.31	185.11	178.77	307.69	309.83	206.94	647.07	2090.03	299.25	432.53	234.57	447.82	426.57	185.11	173.85	426.57	244.57	228.13	612.11	155.5	251.48	244.57	409.15	82.87	463.65	43.32	417.77	267.73	223.41	293.07	244.57	379.04	169.07	258.57	249.73	497.0	241.19	429.54	275.28	320.8	147.06	231.32	256.78	267.73	316.37	226.54	387.02	265.87	660.68	476.71	248.0	163.28	353.59	163.28	170.25	211.31	169.07	149.12	420.68	279.14	147.06	201.25	269.6	262.2	283.05	480.04	152.28	208.38	307.69	289.02	103.69	59.55	24.46	55.89	66.65	47.5	48.52	54.72	480.04	61.68	28.24	38.95	82.29	43.32	48.52	45.21
PHC3	209.84	769.69	130.6	70.51	909.17	303.44	417.77	262.2	170.25	395.18	698.41	397.93	212.78	93.35	162.14	251.48	356.05	182.55	161.02	363.56	181.28	318.57	532.74	540.19	262.2	599.49	159.9	262.2	616.37	205.5	314.17	264.03	150.17	231.32	281.09	61.25	189.02	514.56	269.6	55.49	447.82	159.9	189.02	547.75	88.26	145.02	175.07	866.07	186.4	269.6	503.95	1015.93	198.47	379.04	536.45	429.54	84.04	309.83	201.25	329.84	283.05	591.22	551.56	143.01	830.75	540.19	305.55	563.18	540.19	423.61	185.11	229.72	379.04	150.17	1721.16	366.09	320.8	368.65	283.05	470.14	113.56	1216.75	170.25	612.11	130.6	483.38	189.02	124.37	47.17	146.03	162.14	139.07	127.89	125.24	49.56	314.17	100.83	147.06	152.28	122.64	111.21	78.34
PPP2R5E	314.17	620.67	214.27	185.11	1096.5	830.75	420.68	293.07	368.65	463.65	579.04	435.55	267.73	248.0	444.72	182.55	444.72	208.38	244.57	483.38	271.48	435.55	392.44	633.73	334.46	575.03	267.73	348.71	423.61	239.52	429.54	457.25	314.17	409.15	309.83	144.01	392.44	460.44	595.34	86.43	536.45	239.52	287.01	536.45	269.6	299.25	366.09	575.03	358.54	435.55	438.59	708.18	381.68	497.0	460.44	447.82	218.79	358.54	395.18	414.87	397.93	551.56	642.59	327.56	490.14	551.56	381.68	441.64	567.1	808.0	255.0	285.03	358.54	381.68	507.46	454.09	264.03	353.59	447.82	559.28	177.53	718.08	148.09	260.38	295.11	540.19	271.48	194.36	145.02	293.07	297.17	271.48	236.21	198.47	297.17	229.72	189.02	239.52	234.57	209.84	156.59	228.13
PRPF40A	791.35	1721.16	796.86	285.03	2384.37	1733.13	1233.75	902.89	954.43	1175.27	1651.0	1259.69	1457.23	684.02	842.36	974.5	802.41	836.53	733.19	1697.45	995.0	995.0	1199.98	1427.22	967.76	1583.71	1127.35	866.07	1208.34	764.36	1427.22	1059.11	1001.93	1030.12	1216.75	679.29	785.88	1151.06	1104.13	457.25	1216.75	708.18	1183.45	1268.46	921.88	1096.5	961.07	1551.09	808.0	1081.39	1096.5	1437.15	759.08	909.17	1277.29	1044.52	532.74	1037.29	1008.9	1208.34	878.17	1059.11	1322.37	1051.79	1268.46	1447.15	1096.5	1359.57	1081.39	1135.2	825.0	1015.93	1044.52	921.88	1628.26	947.83	728.11	1417.35	1073.91	1268.46	486.75	866.07	595.34	1225.22	703.28	1388.16	547.75	638.15	583.07	660.68	693.58	555.41	591.22	854.13	708.18	551.56	587.13	915.51	629.35	507.46	624.99	878.17
PRRC2C	1498.22	2224.63	1111.82	802.41	2796.65	2451.44	1685.71	1183.45	854.13	2148.82	2303.12	2915.45	1477.58	1030.12	1583.71	1529.73	2335.28	967.76	947.83	1407.55	1135.2	1572.76	1143.1	2119.22	988.12	1467.37	967.76	1628.26	1991.0	1378.57	1832.01	2018.8	941.27	1340.84	1540.37	1151.06	1529.73	1697.45	1331.57	684.02	1721.16	1030.12	1628.26	1721.16	842.36	1104.13	1250.98	2555.58	1259.69	1340.84	1685.71	2485.67	1508.65	1529.73	1963.57	1721.16	909.17	1605.83	1208.34	1529.73	1369.04	1832.01	1781.89	1175.27	2224.63	1519.15	1322.37	1757.34	1781.89	1397.83	1051.79	1447.15	1721.16	909.17	2537.92	1572.76	1183.45	1617.0	1088.92	1857.6	444.72	1407.55	819.3	1628.26	753.83	1529.73	1350.18	802.41	341.51	947.83	1015.93	967.76	866.07	954.43	703.28	595.34	728.11	954.43	1151.06	775.05	708.18	567.1
RABL3	283.05	780.44	265.87	178.77	521.76	447.82	559.28	503.95	483.38	563.18	223.41	547.75	409.15	275.28	336.79	214.27	575.03	371.22	234.57	1088.92	249.73	536.45	348.71	934.76	490.14	1059.11	713.11	483.38	356.05	301.33	307.69	336.79	444.72	406.31	229.72	165.57	441.64	525.39	346.29	129.69	1015.93	299.25	255.0	629.35	248.0	420.68	403.5	713.11	463.65	511.0	511.0	555.41	348.71	536.45	441.64	497.0	376.41	587.13	432.53	567.1	547.75	575.03	738.29	447.82	351.14	607.87	723.08	607.87	503.95	733.19	314.17	514.56	532.74	420.68	642.59	435.55	423.61	642.59	669.92	1088.92	232.94	884.29	157.68	486.75	429.54	748.61	234.57	285.03	178.77	190.34	244.57	220.32	303.44	258.57	193.01	241.19	142.01	218.79	114.36	146.03	124.37	205.5
RAD23B	2004.85	3665.02	1561.89	1498.22	6079.61	3103.19	2664.15	2119.22	4095.0	3018.3	4607.24	6381.92	2777.33	2720.15	2319.15	2004.85	2335.28	1909.85	1896.65	4239.45	2520.38	2609.3	3847.29	4450.27	1697.45	3742.05	2255.7	3467.27	5633.22	2701.35	4543.8	3168.41	2816.11	2485.67	2351.53	1529.73	2627.46	2895.31	2319.15	1498.22	3716.2	2090.03	2061.24	2796.65	2240.11	2935.74	2468.49	3395.89	2664.15	2739.08	2701.35	3212.66	2351.53	2758.13	2835.7	2645.74	2178.83	2796.65	2555.58	2627.46	2835.7	3235.01	3146.52	2061.24	2591.27	3257.52	1583.71	3060.45	3190.46	5112.16	2682.69	1697.45	2351.53	1551.09	2796.65	2609.3	1407.55	2104.58	3419.52	3190.46	1950.0	3955.48	1605.83	1870.53	2351.53	2997.45	1709.26	2090.03	961.07	1662.49	1617.0	1617.0	1340.84	1697.45	1628.26	1909.85	1447.15	1388.16	1359.57	2119.22	1286.18	1870.53
RAPH1	171.45	693.58	177.53	87.03	1286.18	511.0	299.25	248.0	218.79	395.18	279.14	128.79	275.28	135.24	237.86	139.07	279.14	256.78	218.79	271.48	363.56	253.23	131.51	420.68	153.34	514.56	164.42	236.21	381.68	206.94	151.22	480.04	208.38	460.44	587.13	122.64	264.03	571.05	447.82	78.89	497.0	61.68	450.94	551.56	150.17	209.84	239.52	514.56	206.94	289.02	438.59	507.46	173.85	297.17	490.14	379.04	70.01	303.44	248.0	336.79	312.0	423.61	567.1	193.01	397.93	301.33	332.14	511.0	414.87	228.13	162.14	366.09	633.73	131.51	463.65	303.44	395.18	825.0	591.22	241.19	81.71	620.67	104.42	1628.26	183.82	540.19	143.01	126.12	166.73	81.71	84.63	110.43	42.11	26.67	75.64	72.01	90.77	42.11	50.98	23.25	28.65	74.58
RBM12	591.22	1037.29	318.57	379.04	1250.98	1073.91	764.36	674.59	571.05	988.12	688.78	890.44	679.29	412.0	738.29	486.75	1081.39	476.71	438.59	743.43	738.29	633.73	713.11	1242.34	412.0	866.07	438.59	647.07	1662.49	629.35	981.29	612.11	441.64	819.3	603.67	486.75	620.67	921.88	616.37	285.03	915.51	417.77	723.08	836.53	587.13	872.1	988.12	1127.35	595.34	718.08	1127.35	1662.49	769.69	830.75	1322.37	1096.5	397.93	842.36	769.69	941.27	848.22	1295.13	1350.18	540.19	764.36	1277.29	616.37	1104.13	1081.39	995.0	780.44	780.44	753.83	571.05	1208.34	854.13	728.11	775.05	532.74	947.83	497.0	728.11	603.67	1001.93	518.15	934.76	525.39	518.15	141.02	503.95	603.67	463.65	463.65	470.14	327.56	599.49	397.93	651.58	389.72	392.44	563.18	595.34
REL	86.43	387.02	43.32	18.84	217.27	100.83	177.53	76.17	99.43	143.01	148.09	93.35	47.5	14.89	96.01	64.34	85.82	50.63	33.06	293.07	64.8	129.69	239.52	124.37	68.55	193.01	33.3	75.11	258.57	76.17	96.68	161.02	34.26	48.87	99.43	50.63	81.71	140.04	120.94	18.16	212.78	17.13	117.6	193.01	20.41	45.21	57.49	242.88	65.26	70.01	177.53	295.11	78.34	103.69	198.47	173.85	25.72	100.13	82.29	141.02	100.13	155.5	232.94	47.17	223.41	228.13	85.82	217.27	265.87	142.01	45.21	76.17	115.97	34.75	289.02	121.79	69.52	97.36	103.69	117.6	35.25	205.5	35.76	417.77	28.24	239.52	14.35	19.39	5.96	29.91	34.51	32.59	22.1	21.94	7.17	19.82	8.13	38.95	37.85	4.17	21.01	24.63
RMDN1	665.29	1088.92	738.29	629.35	1359.57	1199.98	607.87	599.49	2351.53	2090.03	909.17	1745.2	2061.24	802.41	708.18	466.88	934.76	703.28	612.11	743.43	551.56	718.08	638.15	1001.93	674.59	1023.0	780.44	665.29	1096.5	543.96	698.41	753.83	1295.13	703.28	748.61	1096.5	733.19	698.41	587.13	363.56	934.76	571.05	595.34	954.43	629.35	1104.13	599.49	1208.34	808.0	842.36	836.53	1199.98	591.22	934.76	738.29	819.3	669.92	854.13	909.17	738.29	785.88	748.61	1447.15	599.49	1233.75	1119.56	1001.93	954.43	1407.55	896.64	525.39	660.68	902.89	507.46	1175.27	1008.9	1111.82	1081.39	373.81	1015.93	381.68	2004.85	591.22	802.41	830.75	1001.93	825.0	575.03	848.22	457.25	447.82	466.88	450.94	599.49	780.44	607.87	400.71	503.95	432.53	444.72	264.03	332.14
RP11-159G9.5	41.81	314.17	22.59	10.71	384.34	159.9	113.56	90.77	54.33	170.25	127.89	239.52	57.89	9.48	48.52	55.1	85.82	39.79	25.35	164.42	65.72	138.1	164.42	217.27	40.36	109.66	53.19	87.65	164.42	53.95	77.79	129.69	37.05	76.17	104.42	43.02	74.58	165.57	138.1	10.96	181.28	27.84	60.39	226.54	20.86	85.82	63.0	356.05	88.26	126.12	164.42	356.05	98.04	166.73	214.27	197.09	17.77	109.66	53.19	165.57	120.1	241.19	253.23	47.17	241.19	373.81	93.35	256.78	152.28	447.82	87.65	177.53	120.1	57.08	511.0	177.53	52.82	63.0	147.06	212.78	55.49	79.45	44.25	85.22	22.75	307.69	23.93	35.5	5.23	54.72	46.84	49.56	65.26	25.35	3.0	16.88	23.42	87.03	21.47	27.25	26.28	28.65
RREB1	199.85	395.18	242.88	106.63	379.04	412.0	279.14	358.54	267.73	265.87	206.94	211.31	273.37	191.67	289.02	371.22	303.44	325.29	262.2	403.5	195.72	293.07	301.33	343.89	329.84	258.57	229.72	264.03	150.17	346.29	253.23	229.72	185.11	271.48	113.56	139.07	312.0	348.71	251.48	181.28	387.02	334.46	277.2	343.89	215.77	223.41	255.0	447.82	242.88	239.52	348.71	325.29	264.03	265.87	373.81	314.17	178.77	258.57	205.5	303.44	303.44	314.17	277.2	251.48	450.94	336.79	507.46	486.75	389.72	366.09	223.41	339.14	403.5	116.78	493.56	221.86	341.51	366.09	204.07	400.71	110.43	397.93	194.36	384.34	122.64	403.5	214.27	152.28	126.12	214.27	202.66	204.07	166.73	223.41	124.37	231.32	262.2	241.19	167.9	125.24	165.57	182.55
SCYL2	232.94	860.08	312.0	126.12	1331.57	555.41	529.06	447.82	457.25	559.28	647.07	775.05	607.87	297.17	395.18	258.57	624.99	293.07	323.03	551.56	466.88	503.95	438.59	547.75	281.09	693.58	325.29	450.94	775.05	323.03	551.56	400.71	318.57	497.0	403.5	255.0	454.09	450.94	633.73	112.77	493.56	237.86	373.81	669.92	267.73	341.51	336.79	638.15	341.51	473.41	532.74	872.1	381.68	486.75	599.49	599.49	180.02	368.65	353.59	532.74	503.95	674.59	738.29	327.56	819.3	500.46	684.02	555.41	825.0	441.64	318.57	441.64	525.39	389.72	819.3	447.82	291.04	536.45	379.04	571.05	289.02	921.88	204.07	733.19	312.0	708.18	387.02	249.73	193.01	289.02	291.04	256.78	214.27	281.09	178.77	287.01	178.77	314.17	275.28	165.57	155.5	170.25
SEC23IP	457.25	743.43	358.54	406.31	587.13	819.3	571.05	563.18	633.73	447.82	684.02	599.49	759.08	473.41	780.44	395.18	612.11	463.65	447.82	1081.39	532.74	775.05	532.74	780.44	507.46	521.76	551.56	854.13	1447.15	591.22	802.41	642.59	620.67	708.18	381.68	237.86	748.61	629.35	480.04	182.55	902.89	500.46	775.05	708.18	497.0	429.54	500.46	995.0	493.56	612.11	660.68	825.0	397.93	511.0	651.58	567.1	320.8	525.39	507.46	571.05	603.67	764.36	819.3	476.71	684.02	555.41	769.69	759.08	872.1	633.73	363.56	555.41	493.56	575.03	872.1	571.05	368.65	769.69	878.17	723.08	320.8	1111.82	346.29	665.29	438.59	1104.13	397.93	500.46	242.88	412.0	406.31	341.51	358.54	368.65	303.44	400.71	312.0	493.56	269.6	371.22	251.48	366.09
SEC24A	109.66	497.0	129.69	70.01	684.02	387.02	249.73	202.66	206.94	518.15	473.41	518.15	189.02	151.22	206.94	124.37	279.14	115.16	164.42	307.69	217.27	351.14	255.0	258.57	125.24	389.72	199.85	244.57	423.61	204.07	299.25	400.71	218.79	248.0	206.94	96.01	169.07	265.87	351.14	40.64	269.6	186.4	126.12	361.04	117.6	142.01	185.11	480.04	195.72	255.0	279.14	497.0	170.25	239.52	269.6	265.87	58.71	190.34	212.78	265.87	202.66	323.03	480.04	129.69	208.38	529.06	214.27	447.82	267.73	389.72	110.43	125.24	267.73	217.27	470.14	371.22	142.01	165.57	332.14	181.28	138.1	603.67	121.79	172.65	132.44	368.65	137.14	142.01	90.14	112.77	127.89	117.6	98.73	99.43	154.42	152.28	50.98	98.04	108.9	85.82	115.97	121.79
SLC30A6	198.47	412.0	176.29	91.41	848.22	312.0	327.56	217.27	341.51	373.81	403.5	348.71	260.38	193.01	137.14	172.65	303.44	198.47	226.54	435.55	287.01	269.6	265.87	368.65	180.02	403.5	229.72	224.97	575.03	186.4	267.73	316.37	220.32	353.59	316.37	264.03	241.19	318.57	305.55	89.51	429.54	209.84	223.41	384.34	190.34	248.0	229.72	420.68	275.28	299.25	334.46	493.56	273.37	325.29	275.28	281.09	201.25	255.0	295.11	346.29	314.17	309.83	463.65	214.27	339.14	366.09	351.14	356.05	291.04	392.44	208.38	204.07	384.34	441.64	480.04	414.87	255.0	283.05	312.0	373.81	153.34	587.13	132.44	255.0	217.27	379.04	178.77	102.25	98.04	211.31	208.38	205.5	204.07	193.01	145.02	165.57	125.24	221.86	208.38	122.64	157.68	166.73
SOCS4	84.04	267.73	110.43	74.58	283.05	221.86	217.27	134.3	122.64	158.79	162.14	171.45	76.17	70.51	206.94	88.88	163.28	96.01	102.97	212.78	120.1	198.47	129.69	167.9	81.71	299.25	120.1	164.42	406.31	82.87	131.51	202.66	118.43	172.65	158.79	130.6	146.03	202.66	173.85	31.0	195.72	60.39	124.37	260.38	85.82	110.43	170.25	289.02	128.79	201.25	197.09	246.28	120.1	191.67	138.1	287.01	63.89	146.03	208.38	195.72	208.38	205.5	318.57	111.99	194.36	186.4	193.01	172.65	164.42	148.09	108.14	76.17	199.85	186.4	325.29	175.07	102.97	90.77	155.5	182.55	94.67	181.28	128.79	99.43	143.01	183.82	183.82	66.18	72.01	94.01	120.1	109.66	85.82	111.99	108.14	154.42	81.71	78.34	126.12	75.11	96.68	127.89
SPTY2D1	141.02	435.55	148.09	180.02	518.15	397.93	297.17	301.33	409.15	480.04	381.68	493.56	323.03	127.0	285.03	185.11	612.11	223.41	201.25	713.11	327.56	269.6	460.44	423.61	167.9	368.65	221.86	334.46	441.64	260.38	283.05	334.46	241.19	291.04	303.44	151.22	239.52	387.02	327.56	110.43	450.94	167.9	269.6	339.14	173.85	348.71	285.03	595.34	241.19	325.29	379.04	470.14	242.88	301.33	444.72	379.04	140.04	269.6	309.83	397.93	356.05	387.02	409.15	208.38	187.71	493.56	376.41	511.0	389.72	392.44	295.11	178.77	279.14	221.86	547.75	406.31	228.13	189.02	170.25	351.14	190.34	444.72	151.22	267.73	217.27	567.1	152.28	154.42	59.13	180.02	186.4	158.79	144.01	178.77	120.94	209.84	180.02	159.9	172.65	119.26	171.45	205.5
STRN	114.36	392.44	129.69	70.01	312.0	307.69	226.54	194.36	162.14	420.68	221.86	392.44	269.6	107.38	146.03	158.79	249.73	155.5	135.24	320.8	201.25	234.57	249.73	285.03	136.19	305.55	193.01	244.57	575.03	171.45	190.34	226.54	144.01	221.86	287.01	232.94	158.79	269.6	269.6	64.8	299.25	114.36	224.97	358.54	129.69	193.01	181.28	447.82	205.5	258.57	283.05	470.14	217.27	283.05	363.56	309.83	105.15	221.86	220.32	281.09	237.86	346.29	423.61	151.22	454.09	336.79	285.03	346.29	463.65	379.04	126.12	231.32	285.03	229.72	387.02	339.14	221.86	228.13	199.85	339.14	98.04	583.07	113.56	368.65	153.34	493.56	120.94	88.26	44.89	108.9	107.38	120.94	86.43	105.89	71.5	98.04	79.45	120.94	116.78	90.77	103.69	86.43
SYNRG	283.05	642.59	152.28	77.25	397.93	473.41	406.31	371.22	269.6	406.31	486.75	358.54	145.02	208.38	264.03	256.78	457.25	209.84	241.19	376.41	202.66	376.41	323.03	713.11	159.9	190.34	209.84	417.77	397.93	283.05	915.51	318.57	253.23	384.34	193.01	165.57	271.48	371.22	353.59	129.69	267.73	217.27	176.29	473.41	195.72	323.03	260.38	775.05	305.55	366.09	426.57	638.15	224.97	363.56	514.56	400.71	209.84	265.87	281.09	417.77	309.83	441.64	476.71	246.28	444.72	583.07	348.71	1051.79	490.14	466.88	269.6	343.89	460.44	211.31	733.19	414.87	525.39	490.14	232.94	470.14	144.01	441.64	164.42	819.3	115.97	579.04	237.86	232.94	128.79	198.47	228.13	190.34	183.82	205.5	145.02	181.28	194.36	201.25	104.42	120.94	212.78	183.82
TFAM	329.84	674.59	327.56	195.72	1104.13	954.43	612.11	507.46	460.44	518.15	1183.45	638.15	688.78	429.54	417.77	466.88	540.19	460.44	476.71	775.05	483.38	480.04	587.13	647.07	318.57	376.41	438.59	463.65	1313.23	450.94	540.19	532.74	432.53	603.67	884.29	258.57	620.67	583.07	457.25	131.51	532.74	332.14	361.04	775.05	460.44	497.0	426.57	961.07	480.04	738.29	698.41	1111.82	567.1	633.73	896.64	642.59	215.77	638.15	567.1	769.69	693.58	738.29	819.3	420.68	591.22	860.08	503.95	638.15	775.05	791.35	679.29	392.44	463.65	403.5	860.08	571.05	441.64	473.41	642.59	769.69	583.07	915.51	381.68	521.76	884.29	854.13	309.83	353.59	178.77	299.25	387.02	341.51	403.5	444.72	242.88	305.55	312.0	318.57	262.2	289.02	353.59	540.19
TMEM135	159.9	660.68	348.71	305.55	1167.14	679.29	381.68	414.87	1008.9	780.44	540.19	1242.34	974.5	185.11	166.73	281.09	490.14	312.0	327.56	358.54	503.95	532.74	426.57	336.79	244.57	346.29	460.44	543.96	429.54	915.51	684.02	780.44	248.0	679.29	239.52	74.06	316.37	466.88	258.57	52.45	563.18	301.33	616.37	708.18	353.59	371.22	463.65	447.82	438.59	536.45	579.04	607.87	239.52	521.76	497.0	400.71	351.14	518.15	500.46	733.19	571.05	563.18	669.92	334.46	514.56	660.68	503.95	825.0	242.88	1030.12	185.11	423.61	624.99	417.77	536.45	457.25	473.41	599.49	260.38	674.59	214.27	1143.1	164.42	1008.9	450.94	1135.2	264.03	441.64	143.01	165.57	214.27	205.5	183.82	211.31	117.6	104.42	163.28	607.87	162.14	175.07	171.45	125.24
TNPO1	327.56	1745.2	299.25	255.0	1313.23	1023.0	775.05	612.11	323.03	974.5	1023.0	1359.57	473.41	281.09	368.65	366.09	791.35	363.56	409.15	743.43	665.29	738.29	902.89	1397.83	429.54	836.53	384.34	638.15	1498.22	438.59	780.44	830.75	406.31	543.96	536.45	217.27	525.39	802.41	947.83	106.63	1073.91	503.95	591.22	1167.14	376.41	423.61	414.87	1733.13	500.46	775.05	836.53	1322.37	480.04	902.89	780.44	679.29	277.2	567.1	397.93	769.69	684.02	909.17	1073.91	435.55	1268.46	1498.22	884.29	1199.98	961.07	961.07	297.17	486.75	928.3	429.54	1572.76	802.41	764.36	728.11	669.92	866.07	176.29	1088.92	237.86	738.29	287.01	1844.76	444.72	426.57	301.33	400.71	441.64	389.72	343.89	318.57	466.88	447.82	234.57	470.14	389.72	312.0	320.8	500.46
