	TCGA.G4.6321.01A.11R.1723.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XUJ4.2026.SM.4BOOW	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.WQUQ.2626.SM.4MVNP	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.1128S.1626.SM.5H12O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.11EQ9.1526.SM.5PNY7	GTEX.1122O.1526.SM.5N9CL	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.12KS4.2426.SM.5LU8P	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.V955.1626.SM.4JBHJ	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.13NYB.1326.SM.5K7Y1	GTEX.11DYG.1926.SM.5H12I	GTEX.13OW6.1626.SM.5IJD5	GTEX.11O72.1926.SM.5PNW1
RHOQ	183.82	1437.15	476.71	277.2	403.5	279.14	167.9	336.79	423.61	514.56	361.04	303.44	414.87	224.97	361.04	275.28	353.59	836.53	301.33	175.07	647.07	684.02	299.25	241.19	283.05	248.0	480.04	217.27	323.03	295.11	1073.91	249.73	336.79	511.0	718.08	341.51	521.76	241.19	194.36	198.47	389.72	995.0	312.0	518.15	432.53	723.08	202.66	718.08	295.11	384.34	836.53	205.5	647.07	242.88	928.3	273.37	480.04	414.87	297.17	791.35	961.07	262.2	591.22	277.2	665.29	854.13	532.74	753.83	974.5	346.29	214.27	2384.37	2287.2	2417.67	2468.49
RORA	21.63	140.04	80.57	31.67	43.32	40.64	16.03	29.06	52.82	54.72	31.67	32.36	64.8	35.5	40.36	20.11	34.02	88.88	23.59	15.22	100.13	111.99	14.45	15.91	56.28	16.39	31.9	19.53	26.67	21.63	74.58	43.63	30.12	58.71	60.39	30.78	63.0	17.64	13.42	20.26	34.75	128.79	40.93	45.85	42.11	99.43	22.59	71.0	22.75	62.12	134.3	30.12	61.68	28.04	128.79	29.48	47.5	49.21	34.26	72.01	112.77	38.4	82.87	34.75	72.01	145.02	81.14	63.0	148.09	52.82	16.75	190.34	299.25	651.58	273.37
SETD5	514.56	1628.26	642.59	518.15	514.56	384.34	228.13	587.13	669.92	599.49	540.19	435.55	559.28	438.59	511.0	447.82	591.22	693.58	460.44	253.23	651.58	769.69	356.05	497.0	447.82	400.71	332.14	483.38	521.76	547.75	688.78	493.56	423.61	571.05	651.58	503.95	532.74	387.02	356.05	571.05	599.49	660.68	567.1	563.18	728.11	813.63	473.41	656.11	486.75	514.56	825.0	460.44	738.29	547.75	961.07	620.67	624.99	656.11	353.59	785.88	1059.11	490.14	708.18	435.55	684.02	825.0	743.43	791.35	753.83	579.04	316.37	1277.29	1427.22	1977.24	1844.76
SKI	327.56	1030.12	624.99	373.81	384.34	255.0	195.72	283.05	403.5	473.41	287.01	229.72	395.18	251.48	351.14	265.87	361.04	571.05	297.17	157.68	603.67	620.67	253.23	269.6	253.23	256.78	320.8	242.88	283.05	312.0	688.78	277.2	295.11	400.71	400.71	325.29	457.25	242.88	228.13	186.4	327.56	813.63	277.2	441.64	392.44	656.11	237.86	684.02	295.11	358.54	713.11	264.03	490.14	260.38	624.99	275.28	490.14	309.83	303.44	669.92	698.41	281.09	514.56	297.17	713.11	738.29	457.25	547.75	764.36	279.14	199.85	1378.57	1250.98	1286.18	1119.56
SLC25A28	1059.11	1304.15	1304.15	890.44	780.44	830.75	698.41	836.53	995.0	884.29	764.36	802.41	961.07	599.49	947.83	808.0	842.36	1572.76	669.92	785.88	1216.75	1183.45	624.99	890.44	703.28	688.78	1304.15	616.37	733.19	674.59	1487.87	743.43	669.92	1127.35	1259.69	796.86	836.53	764.36	713.11	733.19	728.11	1407.55	660.68	1143.1	698.41	1233.75	629.35	813.63	769.69	1066.48	1277.29	603.67	1001.93	802.41	1268.46	808.0	934.76	878.17	954.43	1015.93	1295.13	808.0	1059.11	753.83	1081.39	1498.22	1199.98	1268.46	1477.58	1001.93	860.08	1572.76	1909.85	1806.78	2720.15
SLC41A1	79.45	947.83	148.09	68.55	96.68	49.56	44.89	80.57	109.66	123.5	93.35	69.52	100.83	53.57	75.64	80.01	76.17	175.07	72.52	24.63	211.31	226.54	77.25	59.55	59.55	49.56	125.24	55.49	64.8	70.01	214.27	60.82	74.58	125.24	147.06	76.71	97.36	57.08	59.13	36.01	111.21	195.72	60.82	118.43	106.63	228.13	57.89	182.55	54.33	100.13	281.09	66.18	128.79	70.01	187.71	94.67	117.6	89.51	59.13	165.57	195.72	53.57	201.25	66.65	153.34	182.55	140.04	178.77	251.48	84.04	49.21	420.68	397.93	463.65	748.61
SPCS3	842.36	1295.13	909.17	791.35	674.59	532.74	525.39	599.49	723.08	884.29	595.34	616.37	830.75	1015.93	591.22	660.68	723.08	1225.22	764.36	547.75	1015.93	1268.46	603.67	703.28	791.35	791.35	764.36	642.59	718.08	723.08	1457.23	476.71	753.83	808.0	967.76	764.36	915.51	718.08	450.94	480.04	941.27	967.76	713.11	842.36	909.17	1111.82	518.15	1963.57	769.69	954.43	1242.34	660.68	1225.22	629.35	1457.23	575.03	884.29	660.68	748.61	1447.15	1286.18	638.15	909.17	684.02	1322.37	1662.49	1225.22	1151.06	1331.57	748.61	518.15	988.12	796.86	1119.56	1135.2
SPG20	71.5	392.44	285.03	169.07	214.27	97.36	43.02	133.36	258.57	265.87	131.51	107.38	189.02	82.29	142.01	85.82	190.34	651.58	153.34	57.08	555.41	674.59	105.15	92.05	75.64	79.45	273.37	64.34	175.07	86.43	718.08	103.69	122.64	277.2	301.33	128.79	339.14	66.65	73.03	44.25	142.01	575.03	139.07	256.78	260.38	629.35	64.34	450.94	88.26	209.84	842.36	75.64	435.55	88.26	320.8	125.24	223.41	156.59	86.43	587.13	599.49	71.0	493.56	143.01	366.09	447.82	361.04	555.41	981.29	143.01	46.5	1437.15	1066.48	1437.15	1088.92
ST3GAL6	8.0	155.5	85.82	61.68	64.8	76.17	22.26	44.57	48.87	52.45	43.63	39.5	94.01	40.07	21.01	17.25	42.41	99.43	46.5	12.45	53.19	55.1	73.03	35.5	33.3	56.68	69.52	15.91	52.45	35.5	98.04	28.04	60.39	64.34	65.72	36.79	50.27	39.22	20.11	20.56	36.53	273.37	41.52	45.53	49.91	114.36	31.22	79.45	40.93	43.63	62.12	35.25	81.71	37.85	89.51	31.0	88.88	43.02	34.26	77.25	133.36	36.01	59.97	40.07	106.63	119.26	92.05	70.51	95.34	25.35	25.17	260.38	265.87	221.86	242.88
STAT5B	432.53	1447.15	629.35	450.94	503.95	395.18	255.0	426.57	571.05	607.87	514.56	376.41	571.05	373.81	518.15	403.5	521.76	748.61	417.77	244.57	723.08	981.29	361.04	389.72	406.31	387.02	450.94	348.71	343.89	363.56	743.43	441.64	447.82	642.59	607.87	460.44	607.87	397.93	395.18	353.59	480.04	813.63	486.75	551.56	476.71	866.07	412.0	660.68	429.54	493.56	872.1	341.51	728.11	414.87	713.11	444.72	599.49	532.74	341.51	802.41	878.17	438.59	679.29	400.71	698.41	802.41	633.73	733.19	921.88	497.0	305.55	934.76	1119.56	1104.13	1208.34
SWAP70	529.06	656.11	273.37	248.0	283.05	206.94	123.5	212.78	228.13	253.23	180.02	206.94	277.2	251.48	271.48	201.25	195.72	312.0	201.25	218.79	307.69	312.0	202.66	151.22	209.84	156.59	208.38	195.72	295.11	239.52	361.04	205.5	269.6	215.77	397.93	260.38	293.07	146.03	229.72	158.79	258.57	718.08	199.85	205.5	305.55	400.71	218.79	384.34	190.34	198.47	392.44	265.87	221.86	191.67	559.28	221.86	224.97	295.11	138.1	507.46	507.46	199.85	309.83	231.32	305.55	381.68	346.29	343.89	395.18	265.87	158.79	703.28	607.87	490.14	684.02
TBC1D15	486.75	748.61	381.68	450.94	483.38	417.77	231.32	457.25	470.14	414.87	409.15	403.5	536.45	403.5	438.59	258.57	438.59	567.1	371.22	271.48	470.14	529.06	373.81	366.09	417.77	406.31	389.72	348.71	470.14	351.14	525.39	351.14	358.54	397.93	575.03	432.53	457.25	381.68	387.02	457.25	389.72	603.67	361.04	368.65	490.14	493.56	395.18	450.94	358.54	483.38	603.67	323.03	483.38	358.54	748.61	387.02	480.04	438.59	329.84	529.06	718.08	417.77	470.14	353.59	414.87	529.06	543.96	476.71	607.87	490.14	348.71	954.43	743.43	775.05	974.5
TCF4	43.63	638.15	177.53	137.14	141.02	93.35	35.5	81.14	170.25	194.36	101.54	73.03	153.34	102.97	83.45	78.34	88.26	256.78	80.01	23.93	260.38	358.54	71.5	42.11	80.57	55.49	94.01	59.97	122.64	112.77	318.57	48.87	118.43	172.65	305.55	84.04	186.4	74.58	56.68	43.94	177.53	718.08	76.17	122.64	253.23	376.41	47.84	341.51	68.07	92.7	301.33	91.41	183.82	55.49	327.56	68.07	169.07	129.69	49.91	348.71	603.67	67.59	149.12	100.83	373.81	412.0	273.37	277.2	295.11	81.14	38.4	1088.92	603.67	587.13	928.3
UBAP2L	988.12	4239.45	1359.57	1135.2	1233.75	974.5	860.08	1159.07	1242.34	1233.75	1088.92	1199.98	1331.57	1096.5	1331.57	1111.82	1369.04	1378.57	896.64	483.38	1662.49	1437.15	995.0	1143.1	1015.93	988.12	1051.79	1167.14	1159.07	1208.34	1268.46	1183.45	1081.39	1397.83	1561.89	954.43	1233.75	1015.93	947.83	1135.2	1233.75	1561.89	1127.35	1331.57	1437.15	1697.45	1044.52	1477.58	1111.82	1340.84	1617.0	1051.79	1250.98	1225.22	1963.57	1167.14	995.0	1233.75	1159.07	1529.73	1963.57	1208.34	1417.35	1073.91	1594.73	1540.37	1437.15	1529.73	1572.76	1111.82	1015.93	2209.26	2075.59	2645.74	2119.22
UIMC1	314.17	764.36	406.31	341.51	325.29	301.33	301.33	409.15	336.79	400.71	384.34	392.44	384.34	277.2	381.68	320.8	341.51	470.14	285.03	253.23	409.15	444.72	343.89	283.05	327.56	281.09	414.87	305.55	417.77	339.14	521.76	387.02	356.05	454.09	483.38	343.89	361.04	341.51	279.14	275.28	323.03	575.03	295.11	320.8	379.04	435.55	371.22	403.5	351.14	316.37	476.71	281.09	420.68	341.51	563.18	368.65	307.69	389.72	358.54	406.31	547.75	379.04	466.88	273.37	435.55	486.75	490.14	447.82	595.34	376.41	325.29	842.36	947.83	961.07	813.63
USP4	529.06	1008.9	718.08	728.11	543.96	543.96	476.71	521.76	764.36	607.87	547.75	616.37	629.35	518.15	656.11	620.67	583.07	830.75	547.75	417.77	842.36	854.13	514.56	543.96	607.87	470.14	514.56	595.34	536.45	638.15	723.08	563.18	511.0	688.78	802.41	536.45	551.56	414.87	457.25	518.15	713.11	1088.92	591.22	607.87	679.29	780.44	503.95	819.3	713.11	698.41	603.67	503.95	743.43	543.96	995.0	507.46	669.92	660.68	599.49	941.27	995.0	579.04	693.58	571.05	854.13	934.76	791.35	775.05	842.36	708.18	493.56	1001.93	1583.71	1008.9	1167.14
VWCE	7.17	182.55	16.03	5.28	8.65	6.31	1.58	5.73	8.85	5.41	7.11	2.01	8.0	0.78	15.0	2.36	27.84	91.41	0.88	1.73	11.64	9.06	14.35	4.13	0.79	5.28	7.11	1.79	0.89	2.2	29.27	11.91	1.91	15.56	15.68	7.46	9.34	2.73	6.52	1.27	1.04	19.11	12.18	5.87	17.9	22.59	2.51	15.11	5.87	10.08	22.26	5.92	13.12	2.63	35.0	6.41	12.27	6.01	2.36	17.38	15.11	4.1	13.42	8.51	8.58	12.74	10.39	10.88	18.43	2.73	3.92	43.94	53.95	38.95	30.78
ZBTB4	234.57	743.43	412.0	336.79	363.56	234.57	149.12	273.37	429.54	473.41	305.55	186.4	289.02	202.66	255.0	242.88	323.03	743.43	277.2	120.94	624.99	708.18	209.84	173.85	217.27	195.72	312.0	156.59	246.28	275.28	759.08	226.54	269.6	400.71	420.68	283.05	444.72	202.66	211.31	163.28	320.8	791.35	209.84	358.54	351.14	728.11	180.02	651.58	236.21	332.14	723.08	205.5	483.38	177.53	318.57	255.0	454.09	273.37	170.25	728.11	753.83	253.23	470.14	281.09	651.58	660.68	470.14	688.78	947.83	277.2	169.07	1388.16	1304.15	1561.89	1286.18
ZBTB49	38.12	152.28	55.1	48.52	43.63	58.3	28.65	48.18	50.63	61.25	52.45	33.78	62.12	55.49	70.01	41.52	54.72	68.07	51.35	38.4	60.82	56.68	52.45	49.21	52.45	59.13	54.72	45.21	59.55	63.45	91.41	40.64	44.57	69.52	69.03	42.11	56.28	58.3	45.85	35.25	53.95	90.77	59.55	48.87	61.25	74.58	50.27	85.22	54.72	55.49	70.51	29.91	70.51	66.65	86.43	60.82	65.26	58.3	34.75	85.22	78.34	50.63	62.12	48.18	74.58	71.0	70.51	59.55	76.17	50.27	38.67	69.03	147.06	96.68	54.72
