	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.12WSK.2226.SM.5GCO5	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	GTEX.OHPM.0526.SM.2YUMJ	GTEX.P4QT.1526.SM.3NMCT	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EM.A3AI.01A.11R.A206.07	GTEX.Y111.1926.SM.4SOIS	GTEX.W5X1.0426.SM.3GILB	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.11NUK.1026.SM.5HL5J	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.13FTW.0626.SM.5IFEX
NTHL1	260.38	199.85	118.43	171.45	346.29	178.77	239.52	872.1	669.92	376.41	303.44	246.28	334.46	366.09	500.46	571.05	336.79	470.14	215.77	536.45	316.37	264.03	197.09	629.35	389.72	497.0	384.34	438.59	327.56	473.41	189.02	316.37	353.59	262.2	567.1	518.15	559.28	332.14	555.41	457.25	226.54	400.71	325.29	454.09	432.53	420.68	521.76	271.48	329.84	490.14	384.34	559.28	371.22	211.31	373.81	356.05	195.72	327.56	368.65	246.28	656.11	591.22	547.75	356.05	497.0	607.87	277.2	447.82	518.15	371.22	181.28	607.87	454.09	559.28	329.84
NUDT14	59.13	141.02	244.57	567.1	738.29	178.77	748.61	1551.09	2224.63	981.29	796.86	967.76	1225.22	988.12	1378.57	1199.98	1167.14	1088.92	1015.93	1977.24	466.88	947.83	665.29	1651.0	1572.76	1529.73	1008.9	928.3	1175.27	1832.01	884.29	1096.5	1350.18	947.83	1950.0	1794.29	1819.35	1594.73	1191.69	1963.57	967.76	1721.16	753.83	1487.87	1295.13	1519.15	1001.93	713.11	1697.45	1519.15	830.75	1427.22	1001.93	819.3	1073.91	884.29	802.41	802.41	961.07	1199.98	1605.83	1617.0	1073.91	1369.04	1628.26	1183.45	1250.98	848.22	1304.15	1457.23	974.5	1896.65	974.5	1143.1	860.08
OGFOD2	107.38	72.01	126.12	158.79	142.01	96.68	376.41	967.76	591.22	567.1	444.72	361.04	403.5	309.83	595.34	669.92	341.51	348.71	318.57	599.49	299.25	346.29	490.14	587.13	444.72	612.11	341.51	490.14	529.06	460.44	303.44	400.71	441.64	260.38	559.28	616.37	748.61	406.31	441.64	447.82	420.68	733.19	366.09	603.67	486.75	389.72	603.67	327.56	567.1	403.5	466.88	660.68	470.14	316.37	463.65	414.87	265.87	389.72	373.81	417.77	616.37	567.1	400.71	476.71	514.56	575.03	441.64	540.19	497.0	397.93	255.0	575.03	389.72	466.88	316.37
OSBPL7	36.27	46.18	76.71	87.03	57.08	80.01	246.28	555.41	420.68	376.41	248.0	231.32	248.0	242.88	334.46	381.68	231.32	297.17	277.2	423.61	206.94	131.51	265.87	417.77	211.31	289.02	232.94	204.07	291.04	287.01	183.82	228.13	246.28	171.45	466.88	525.39	503.95	323.03	314.17	363.56	220.32	373.81	129.69	511.0	234.57	341.51	497.0	172.65	318.57	194.36	346.29	493.56	273.37	133.36	403.5	267.73	159.9	273.37	221.86	251.48	473.41	480.04	224.97	221.86	403.5	361.04	271.48	281.09	351.14	348.71	237.86	341.51	191.67	441.64	214.27
PCED1A	186.4	220.32	231.32	336.79	334.46	265.87	1119.56	2997.45	2384.37	1437.15	1313.23	1008.9	1167.14	941.27	1769.57	2319.15	1151.06	1437.15	1498.22	2240.11	802.41	802.41	1331.57	2178.83	1111.82	1561.89	830.75	1104.13	753.83	1388.16	836.53	1073.91	1216.75	884.29	2090.03	2287.2	2061.24	2163.77	1487.87	1651.0	1216.75	2303.12	1073.91	1806.78	1191.69	1030.12	1896.65	1088.92	1268.46	1437.15	1111.82	1923.14	1369.04	896.64	1457.23	1143.1	733.19	1030.12	1081.39	808.0	1909.85	2209.26	1199.98	1477.58	1844.76	1651.0	1023.0	1529.73	1407.55	1583.71	1059.11	2090.03	1008.9	2224.63	836.53
PCSK4	10.24	6.36	12.83	20.11	8.92	13.72	74.06	220.32	224.97	175.07	130.6	49.56	96.68	69.03	215.77	269.6	73.54	128.79	150.17	256.78	63.45	71.5	120.1	275.28	120.94	234.57	65.26	85.22	30.12	162.14	63.0	115.16	127.0	23.76	273.37	289.02	154.42	316.37	132.44	183.82	118.43	295.11	87.65	127.0	156.59	48.52	295.11	99.43	182.55	166.73	59.13	232.94	112.77	46.84	167.9	54.72	38.12	73.03	107.38	84.04	229.72	307.69	69.52	182.55	224.97	256.78	96.01	153.34	183.82	120.94	96.68	136.19	100.83	195.72	49.21
PLA2G4B	35.0	35.0	16.39	23.08	20.71	42.41	128.79	269.6	698.41	251.48	158.79	108.9	197.09	122.64	551.56	486.75	205.5	271.48	228.13	647.07	130.6	54.33	172.65	511.0	232.94	218.79	178.77	217.27	117.6	285.03	92.05	214.27	126.12	95.34	493.56	507.46	587.13	450.94	226.54	336.79	141.02	376.41	109.66	518.15	204.07	237.86	674.59	170.25	248.0	314.17	155.5	567.1	173.85	128.79	373.81	147.06	96.68	175.07	258.57	140.04	444.72	733.19	175.07	248.0	480.04	384.34	162.14	381.68	314.17	271.48	256.78	476.71	145.02	665.29	117.6
PNMA3	0.89	8.45	1.48	16.51	0.0	1.03	12.93	65.72	62.12	137.14	18.43	17.0	13.12	44.89	108.14	82.29	8.19	31.45	10.71	110.43	18.56	13.12	34.26	104.42	27.64	32.82	13.03	11.55	31.9	113.56	8.58	47.17	22.75	7.57	126.12	44.89	75.64	176.29	11.47	73.54	25.72	55.1	21.16	82.29	26.28	11.38	195.72	64.34	39.79	14.89	17.13	86.43	52.08	19.39	85.22	31.0	33.78	25.72	26.47	16.51	48.87	108.9	5.59	46.18	89.51	56.28	56.68	65.26	139.07	29.91	18.56	271.48	18.84	39.5	67.12
POLL	309.83	438.59	260.38	327.56	277.2	256.78	647.07	791.35	825.0	909.17	723.08	607.87	656.11	559.28	941.27	941.27	708.18	540.19	583.07	1104.13	567.1	503.95	808.0	842.36	848.22	802.41	575.03	802.41	521.76	759.08	511.0	656.11	669.92	470.14	947.83	1030.12	1037.29	884.29	674.59	703.28	660.68	830.75	490.14	961.07	796.86	629.35	848.22	612.11	902.89	674.59	656.11	928.3	651.58	563.18	759.08	543.96	536.45	559.28	571.05	674.59	825.0	921.88	599.49	775.05	915.51	967.76	575.03	928.3	878.17	603.67	669.92	896.64	555.41	728.11	503.95
PPOX	241.19	202.66	153.34	239.52	108.9	159.9	366.09	860.08	733.19	902.89	543.96	441.64	476.71	423.61	836.53	995.0	518.15	486.75	486.75	934.76	395.18	358.54	733.19	854.13	669.92	624.99	392.44	486.75	366.09	612.11	343.89	511.0	507.46	285.03	738.29	941.27	825.0	842.36	457.25	579.04	463.65	785.88	358.54	802.41	511.0	579.04	934.76	435.55	679.29	521.76	435.55	909.17	551.56	457.25	764.36	444.72	353.59	507.46	470.14	521.76	981.29	1127.35	420.68	559.28	780.44	775.05	454.09	764.36	595.34	612.11	518.15	791.35	470.14	665.29	392.44
PPP1R3E	163.28	102.97	102.97	149.12	92.7	54.72	387.02	1359.57	665.29	1001.93	490.14	229.72	511.0	291.04	688.78	854.13	642.59	583.07	348.71	825.0	429.54	291.04	571.05	1066.48	511.0	540.19	279.14	435.55	299.25	503.95	217.27	438.59	426.57	177.53	872.1	1015.93	934.76	1044.52	543.96	633.73	361.04	780.44	241.19	723.08	529.06	325.29	854.13	336.79	563.18	432.53	327.56	769.69	417.77	353.59	603.67	417.77	264.03	429.54	361.04	392.44	854.13	1151.06	295.11	620.67	656.11	616.37	299.25	733.19	638.15	559.28	603.67	860.08	329.84	674.59	256.78
PRKRIP1	336.79	291.04	197.09	343.89	206.94	277.2	624.99	1583.71	988.12	866.07	813.63	603.67	651.58	651.58	718.08	921.88	785.88	616.37	728.11	896.64	476.71	476.71	698.41	1073.91	656.11	679.29	525.39	791.35	583.07	612.11	507.46	599.49	802.41	503.95	947.83	902.89	1081.39	842.36	624.99	791.35	688.78	842.36	532.74	961.07	575.03	693.58	947.83	693.58	738.29	599.49	785.88	1001.93	743.43	529.06	620.67	669.92	444.72	660.68	693.58	579.04	633.73	1051.79	559.28	753.83	872.1	842.36	764.36	595.34	928.3	743.43	713.11	1008.9	647.07	1286.18	497.0
PRMT7	503.95	708.18	473.41	490.14	363.56	417.77	688.78	1066.48	961.07	1008.9	921.88	665.29	669.92	764.36	1051.79	928.3	802.41	651.58	486.75	1199.98	688.78	684.02	802.41	1073.91	1044.52	860.08	808.0	1030.12	785.88	775.05	540.19	988.12	974.5	521.76	1331.57	1191.69	1407.55	638.15	909.17	981.29	708.18	1143.1	775.05	947.83	921.88	633.73	981.29	769.69	896.64	543.96	660.68	1044.52	934.76	559.28	748.61	878.17	536.45	583.07	525.39	866.07	1127.35	854.13	718.08	555.41	954.43	1066.48	507.46	679.29	1066.48	532.74	563.18	866.07	555.41	759.08	967.76
PRRT1	96.01	113.56	98.04	71.5	36.79	129.69	127.0	536.45	511.0	305.55	191.67	175.07	151.22	195.72	314.17	237.86	144.01	297.17	153.34	363.56	136.19	127.89	183.82	409.15	209.84	277.2	169.07	155.5	90.14	135.24	113.56	199.85	269.6	60.39	476.71	438.59	314.17	356.05	325.29	162.14	155.5	287.01	98.73	371.22	183.82	171.45	514.56	94.67	78.34	202.66	211.31	289.02	133.36	96.01	249.73	171.45	73.03	181.28	118.43	119.26	497.0	466.88	204.07	131.51	336.79	387.02	132.44	197.09	224.97	228.13	241.19	327.56	136.19	320.8	70.01
QTRT1	571.05	246.28	236.21	417.77	403.5	466.88	1119.56	3742.05	2758.13	2271.4	1457.23	1030.12	1159.07	1096.5	3280.18	2682.69	1437.15	1709.26	1745.2	3349.13	915.51	941.27	1508.65	2976.74	1561.89	1896.65	1096.5	1322.37	1304.15	1119.56	1037.29	1304.15	1498.22	974.5	2701.35	3491.39	2367.9	2777.33	2090.03	2090.03	1551.09	1870.53	1183.45	2956.17	1233.75	1583.71	3124.78	1151.06	1477.58	1540.37	1313.23	2645.74	1551.09	1023.0	2451.44	2133.97	872.1	1159.07	1001.93	1001.93	3060.45	3349.13	1467.37	1417.35	2682.69	2485.67	1277.29	1674.06	2816.11	1639.59	1896.65	2193.99	1167.14	2895.31	1088.92
RECQL5	106.63	195.72	493.56	353.59	140.04	248.0	1477.58	2915.45	2075.59	2271.4	2240.11	1487.87	2032.85	1417.35	2627.46	2895.31	2193.99	1477.58	1519.15	3212.66	1369.04	1059.11	1340.84	1977.24	2209.26	1529.73	1127.35	2104.58	1617.0	2133.97	1437.15	1322.37	1628.26	848.22	1963.57	2240.11	1977.24	2271.4	1369.04	1991.0	1407.55	1662.49	1340.84	3103.19	1477.58	2303.12	3491.39	1794.29	1674.06	2240.11	2163.77	2417.67	1628.26	1208.34	1950.0	1250.98	1259.69	1745.2	1832.01	1477.58	1977.24	2240.11	1208.34	1896.65	1977.24	1977.24	2303.12	2855.44	2075.59	1832.01	1583.71	2520.38	1407.55	2400.97	1378.57
RFNG	571.05	616.37	251.48	353.59	341.51	813.63	669.92	1216.75	1199.98	921.88	902.89	866.07	830.75	718.08	947.83	1073.91	660.68	848.22	928.3	1286.18	599.49	759.08	878.17	1023.0	808.0	1073.91	813.63	836.53	703.28	988.12	684.02	866.07	796.86	583.07	1313.23	1199.98	1151.06	1167.14	830.75	1096.5	733.19	1104.13	753.83	1015.93	902.89	775.05	1119.56	796.86	928.3	860.08	723.08	1104.13	902.89	775.05	1001.93	878.17	647.07	753.83	819.3	775.05	1175.27	1044.52	961.07	928.3	1208.34	1096.5	713.11	1008.9	988.12	1073.91	928.3	1119.56	759.08	1104.13	612.11
RILPL1	244.57	232.94	119.26	167.9	150.17	305.55	444.72	813.63	1417.35	693.58	934.76	563.18	376.41	371.22	1051.79	733.19	579.04	848.22	941.27	1151.06	341.51	358.54	555.41	1143.1	316.37	612.11	476.71	521.76	348.71	915.51	412.0	579.04	563.18	336.79	1216.75	872.1	688.78	1191.69	974.5	974.5	587.13	674.59	444.72	860.08	409.15	660.68	1096.5	796.86	703.28	1135.2	346.29	1066.48	723.08	450.94	764.36	684.02	486.75	769.69	902.89	320.8	934.76	1073.91	612.11	642.59	1175.27	1135.2	480.04	595.34	775.05	703.28	540.19	1088.92	387.02	1295.13	414.87
RP11-159D12.5	26.47	62.56	16.63	6.89	7.06	11.13	0.0	103.69	93.35	118.43	49.21	35.0	30.12	28.45	70.51	52.82	43.63	66.65	38.67	101.54	7.63	38.95	75.11	103.69	28.86	98.73	20.71	12.74	25.91	42.11	32.13	68.55	28.24	25.35	80.57	152.28	75.64	81.71	32.59	65.26	39.5	82.29	19.82	69.03	21.32	49.56	106.63	28.04	70.51	35.0	15.45	99.43	43.02	44.89	52.82	53.19	37.85	22.26	31.22	33.78	91.41	191.67	16.75	20.11	110.43	76.17	14.67	75.11	42.71	58.71	38.67	84.04	39.22	90.14	2.27
SARS2	186.4	143.01	249.73	293.07	189.02	159.9	647.07	1096.5	684.02	647.07	802.41	500.46	748.61	620.67	961.07	854.13	748.61	575.03	559.28	1023.0	559.28	511.0	708.18	872.1	607.87	743.43	647.07	753.83	866.07	743.43	579.04	633.73	825.0	503.95	638.15	819.3	830.75	713.11	780.44	819.3	738.29	974.5	612.11	1015.93	708.18	1001.93	915.51	764.36	665.29	902.89	703.28	836.53	490.14	518.15	866.07	728.11	583.07	679.29	890.44	547.75	866.07	896.64	591.22	860.08	791.35	819.3	796.86	785.88	842.36	583.07	500.46	954.43	665.29	830.75	583.07
SCNN1D	33.3	6.78	3.06	2.73	6.16	47.84	17.25	143.01	114.36	69.03	69.52	20.56	76.17	37.32	86.43	144.01	20.11	55.89	40.07	151.22	30.34	31.0	75.64	109.66	74.58	53.95	16.75	39.5	19.11	68.55	17.51	44.25	42.11	14.24	169.07	139.07	124.37	123.5	31.22	83.45	64.34	215.77	37.32	69.52	54.72	42.41	82.87	27.05	49.21	44.89	18.43	79.45	37.59	19.68	81.71	21.63	13.83	20.86	23.59	26.67	104.42	172.65	31.45	39.5	96.68	109.66	21.63	57.89	119.26	46.18	55.1	98.04	24.81	78.89	23.25
SCRN2	518.15	320.8	318.57	1015.93	242.88	312.0	1697.45	3372.43	1936.53	1733.13	1757.34	1407.55	1733.13	1216.75	1733.13	2287.2	995.0	1709.26	1909.85	2075.59	1001.93	1295.13	1662.49	2303.12	1857.6	2104.58	1159.07	1870.53	1477.58	1721.16	1259.69	2163.77	1781.89	995.0	2178.83	2400.97	2240.11	1977.24	1617.0	1870.53	1651.0	2664.15	1359.57	2075.59	1781.89	1572.76	2193.99	1437.15	1781.89	1397.83	1417.35	2384.37	1963.57	1437.15	1757.34	1322.37	954.43	1639.59	1662.49	1233.75	2061.24	2209.26	1628.26	2032.85	2047.0	1857.6	1225.22	1936.53	1781.89	1697.45	1397.83	2090.03	1369.04	2148.82	1208.34
SH2B1	563.18	450.94	273.37	327.56	426.57	376.41	1088.92	2193.99	2451.44	1551.09	1529.73	1322.37	1477.58	1340.84	1639.59	2502.97	1467.37	1397.83	1191.69	1605.83	974.5	1030.12	1225.22	2400.97	1583.71	1832.01	1225.22	1397.83	1313.23	1467.37	947.83	1313.23	1199.98	1015.93	2367.9	2739.08	2335.28	1923.14	1529.73	1857.6	1378.57	2004.85	1159.07	2133.97	1437.15	1674.06	1950.0	1242.34	1806.78	1268.46	1369.04	2417.67	1662.49	1037.29	1350.18	1572.76	947.83	1175.27	1051.79	1225.22	2224.63	2303.12	1359.57	1407.55	1909.85	2047.0	1519.15	1697.45	1870.53	1709.26	1277.29	2351.53	1135.2	2400.97	1073.91
SLC25A29	127.0	339.14	348.71	361.04	309.83	417.77	6337.83	11745.96	17437.64	25530.66	5147.73	5292.48	7433.4	3146.52	25354.3	19348.38	17804.06	13968.57	19348.38	22380.2	2468.49	4481.23	4010.71	26067.14	13123.73	16843.62	6935.54	5219.6	8363.13	5112.16	3235.01	4704.07	10733.74	1991.0	16727.26	18052.61	18304.63	23656.34	14461.21	15607.02	9215.48	15075.35	2935.74	33688.23	6164.49	7130.55	18431.96	3372.43	8778.97	4704.07	9151.82	22692.63	11267.44	5076.84	20451.65	11189.6	4704.07	3419.52	2555.58	4239.45	32315.87	24153.43	9151.82	4512.4	23656.34	23656.34	3303.0	5041.77	22072.07	11424.74	13033.07	10154.69	4512.4	20030.74	2777.33
SLC25A45	57.89	60.82	34.26	85.82	89.51	59.55	473.41	796.86	836.53	890.44	748.61	567.1	775.05	400.71	896.64	1388.16	1268.46	551.56	703.28	1159.07	323.03	483.38	587.13	909.17	785.88	753.83	529.06	444.72	688.78	607.87	486.75	603.67	842.36	255.0	651.58	1233.75	967.76	866.07	780.44	703.28	796.86	941.27	547.75	1051.79	444.72	733.19	1159.07	620.67	656.11	703.28	830.75	902.89	599.49	457.25	819.3	775.05	587.13	591.22	543.96	511.0	813.63	1104.13	679.29	693.58	738.29	733.19	555.41	1015.93	703.28	660.68	420.68	890.44	454.09	1001.93	503.95
SLC26A6	39.79	64.34	57.89	98.04	82.87	83.45	155.5	318.57	208.38	194.36	140.04	99.43	170.25	157.68	226.54	287.01	148.09	162.14	65.26	307.69	131.51	81.14	143.01	251.48	177.53	164.42	171.45	217.27	153.34	117.6	100.13	152.28	180.02	77.79	226.54	251.48	275.28	172.65	197.09	172.65	110.43	271.48	120.1	244.57	199.85	180.02	267.73	128.79	224.97	142.01	194.36	236.21	155.5	90.77	214.27	138.1	93.35	163.28	126.12	156.59	244.57	267.73	139.07	149.12	215.77	211.31	125.24	175.07	185.11	194.36	163.28	246.28	158.79	244.57	98.73
SLC27A5	281.09	180.02	142.01	232.94	170.25	336.79	234.57	473.41	603.67	463.65	551.56	232.94	297.17	384.34	551.56	624.99	281.09	363.56	325.29	651.58	242.88	256.78	346.29	629.35	429.54	307.69	275.28	351.14	303.44	358.54	212.78	346.29	547.75	236.21	497.0	543.96	575.03	638.15	339.14	536.45	314.17	490.14	323.03	460.44	316.37	426.57	463.65	295.11	376.41	432.53	384.34	363.56	417.77	241.19	470.14	325.29	231.32	316.37	387.02	249.73	607.87	460.44	384.34	395.18	503.95	493.56	361.04	379.04	470.14	351.14	273.37	503.95	279.14	703.28	397.93
SLC39A5	0.0	0.0	0.79	1457.23	0.53	0.22	7.11	15.45	9.93	22.26	3.63	3.35	2.46	2.43	15.22	18.43	4.94	4.66	1.43	12.45	1.43	8.51	10.16	13.42	7.57	6.94	2.56	5.28	8.71	2.32	6.57	8.65	5.73	0.0	10.96	15.0	20.41	11.55	13.62	5.28	6.78	9.85	3.17	12.36	10.24	5.92	12.93	9.41	9.2	1.31	2.58	12.09	7.4	7.34	10.55	8.19	6.31	5.59	12.45	6.46	13.72	10.16	2.92	7.82	18.97	14.78	1.2	5.68	20.56	12.45	4.1	10.88	9.85	14.45	7.22
SMPD3	3.11	6.62	14.78	6.62	10.88	14.14	21.63	25.72	81.14	34.51	29.48	15.34	15.68	19.25	65.72	56.28	15.0	35.5	18.29	70.01	11.3	10.55	30.78	78.34	25.54	28.45	25.54	32.13	10.79	27.64	11.47	31.67	19.68	9.2	63.89	68.07	79.45	43.32	42.41	36.27	22.43	43.94	15.45	50.27	23.08	15.68	47.5	20.86	25.72	15.34	14.35	71.0	27.64	7.11	56.28	14.78	15.56	14.56	11.38	14.14	78.89	74.58	23.08	20.26	49.21	58.3	9.34	37.59	36.79	23.59	38.67	41.81	16.88	53.95	15.34
SMPD4	483.38	409.15	373.81	463.65	473.41	775.05	860.08	1104.13	1183.45	921.88	1119.56	825.0	1037.29	974.5	1378.57	1551.09	884.29	1030.12	1104.13	1721.16	878.17	802.41	1059.11	1388.16	1023.0	1259.69	890.44	1233.75	921.88	1233.75	928.3	941.27	974.5	759.08	1159.07	1322.37	1369.04	1143.1	1127.35	1167.14	1242.34	1437.15	854.13	1685.71	974.5	1037.29	1583.71	1088.92	1059.11	1233.75	1119.56	1457.23	995.0	890.44	1331.57	1088.92	878.17	1073.91	1242.34	1008.9	1397.83	1561.89	961.07	1073.91	1073.91	1350.18	1044.52	1199.98	1199.98	1119.56	1119.56	1378.57	872.1	1477.58	775.05
SPEF1	2.18	5.87	21.16	35.25	5.73	5.96	38.95	178.77	221.86	48.52	100.13	56.68	42.11	29.7	158.79	165.57	27.84	140.04	68.55	163.28	57.49	34.75	35.0	108.9	39.5	49.56	22.59	78.34	44.89	67.12	24.99	42.41	81.14	29.06	93.35	149.12	105.89	99.43	59.55	75.64	36.01	96.01	80.01	209.84	96.01	41.22	67.12	63.45	31.45	83.45	30.12	97.36	34.02	38.4	120.94	34.02	33.54	31.45	41.81	25.72	191.67	139.07	108.9	45.21	110.43	224.97	66.18	43.32	121.79	42.71	52.82	162.14	59.13	182.55	53.95
SPNS1	373.81	470.14	339.14	514.56	642.59	346.29	486.75	967.76	802.41	660.68	733.19	503.95	612.11	595.34	728.11	848.22	536.45	669.92	587.13	743.43	493.56	543.96	579.04	753.83	669.92	769.69	529.06	656.11	507.46	620.67	514.56	518.15	607.87	497.0	934.76	866.07	854.13	748.61	591.22	738.29	647.07	1044.52	500.46	728.11	753.83	571.05	791.35	633.73	651.58	536.45	444.72	836.53	629.35	529.06	665.29	583.07	447.82	450.94	607.87	511.0	813.63	684.02	669.92	651.58	633.73	802.41	532.74	703.28	713.11	607.87	521.76	728.11	507.46	688.78	454.09
SPRN	14.45	6.26	15.56	23.25	18.29	11.73	20.71	59.97	71.0	49.56	48.18	38.4	90.77	52.08	81.71	105.89	55.1	52.08	26.28	85.22	58.71	17.0	37.59	75.11	46.84	65.26	65.72	82.29	78.89	48.87	26.1	43.32	66.65	34.26	80.57	72.52	64.34	52.45	64.34	49.91	39.5	108.14	41.81	95.34	61.68	89.51	67.59	37.85	64.34	79.45	92.05	64.34	33.78	31.0	63.89	73.03	42.71	69.03	75.64	47.84	63.45	76.71	52.08	51.71	66.18	76.17	67.59	88.88	57.49	60.82	57.49	59.55	49.56	85.82	47.17
SPSB3	454.09	878.17	325.29	395.18	379.04	656.11	842.36	2163.77	1583.71	954.43	1508.65	1030.12	1175.27	974.5	1594.73	1437.15	866.07	866.07	813.63	1757.34	723.08	1030.12	1467.37	1447.15	1427.22	1594.73	961.07	1233.75	703.28	995.0	1008.9	1175.27	1143.1	718.08	1259.69	1561.89	1519.15	1498.22	1059.11	1151.06	1350.18	1769.57	974.5	1183.45	1388.16	1159.07	1508.65	1175.27	1359.57	1313.23	1030.12	1806.78	1437.15	1111.82	1208.34	1191.69	733.19	941.27	1331.57	1119.56	1529.73	1685.71	1208.34	1594.73	1397.83	1331.57	854.13	1709.26	1259.69	1111.82	1044.52	1477.58	1030.12	1225.22	688.78
STK25	1378.57	1295.13	1044.52	1745.2	1467.37	2468.49	2468.49	3768.09	4298.64	3372.43	4239.45	3820.7	4328.55	2875.3	5076.84	4869.99	4481.23	2935.74	4298.64	4450.27	2287.2	2701.35	3372.43	3901.01	4481.23	5517.27	3257.52	3820.7	2915.45	3124.78	3257.52	3257.52	4210.15	2796.65	3820.7	4769.75	4836.35	4328.55	4152.18	3982.99	3639.7	5594.3	3060.45	4358.66	3820.7	5076.84	4481.23	3794.3	3257.52	3235.01	2796.65	3928.15	3564.78	2627.46	3716.2	3716.2	2591.27	3443.31	2303.12	3325.99	4010.71	3794.3	3564.78	3639.7	4358.66	3690.52	3257.52	4639.29	4210.15	4704.07	3639.7	4450.27	3874.05	4210.15	2855.44
STRC	0.0	0.89	2.61	0.79	1.16	0.87	24.99	14.45	38.12	21.01	20.11	16.88	13.12	10.79	27.05	15.68	9.2	11.64	19.25	15.56	7.0	12.45	10.24	18.29	2.63	28.65	7.0	9.34	10.88	24.63	5.11	14.35	12.45	7.63	21.47	24.81	25.54	17.25	4.39	26.1	14.45	27.44	2.23	35.25	30.78	10.31	35.5	21.01	15.0	30.12	17.9	34.26	14.56	12.74	13.72	23.93	13.62	57.49	10.16	10.31	31.67	37.85	11.04	8.65	29.48	53.57	15.45	23.76	27.44	10.88	17.77	19.25	11.3	16.27	12.09
SUGP2	457.25	420.68	432.53	497.0	177.53	595.34	1208.34	1498.22	1651.0	1529.73	1832.01	1096.5	1857.6	1286.18	2255.7	2193.99	1639.59	1605.83	2090.03	2758.13	1127.35	902.89	1806.78	2303.12	1457.23	1457.23	1259.69	2119.22	1540.37	1498.22	1135.2	1225.22	1378.57	819.3	1896.65	1508.65	1685.71	2451.44	1605.83	1498.22	1529.73	2193.99	988.12	2664.15	1487.87	1685.71	2061.24	1617.0	1551.09	1991.0	1806.78	1963.57	1119.56	1259.69	2133.97	1447.15	1096.5	1819.35	2090.03	1369.04	2119.22	2609.3	1216.75	1143.1	1844.76	2163.77	1794.29	1721.16	1963.57	2018.8	1769.57	2148.82	1628.26	2148.82	961.07
