	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.E2.A1L9.01A.11R.A13Q.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.A2.A0T7.01A.21R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.A2.A0YD.01A.11R.A109.07	TCGA.4H.AAAK.01A.12R.A41B.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A18M.01A.11R.A12D.07	TCGA.EW.A1OW.01A.21R.A144.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.A7.A6VV.01A.22R.A33J.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A27I.01A.11R.A16F.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.AN.A0XN.01A.21R.A109.07	TCGA.AC.A23E.01A.11R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.E2.A15L.01A.11R.A12D.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A2LN.01A.21R.A18M.07	TCGA.E9.A1R3.01A.31R.A14M.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.BH.A0AV.01A.31R.A115.07	TCGA.D8.A141.01A.11R.A115.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A18I.01A.11R.A12D.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.UF.A7JD.01A.11R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CQ.7072.01A.21R.A30B.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.B0.4696.01A.01R.1277.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.44.6774.01A.21R.1858.07	GTEX.QV44.0926.SM.2S1RH	GTEX.XQ3S.0926.SM.4BOPI	TCGA.85.6175.01A.11R.1820.07	TCGA.56.6545.01A.11R.1820.07	TCGA.N5.A4RF.01A.11R.A28V.07	TCGA.QN.A5NN.01A.11R.A28V.07	GTEX.POMQ.1226.SM.3P61F
LMLN	27.64	59.97	25.54	66.18	147.06	187.71	105.89	131.51	96.01	110.43	163.28	153.34	91.41	119.26	75.11	112.77	73.54	135.24	101.54	68.55	61.25	49.21	166.73	128.79	100.13	82.87	76.17	72.01	145.02	204.07	147.06	35.25	120.94	63.89	163.28	162.14	120.94	96.01	128.79	66.65	84.04	138.1	161.02	129.69	83.45	108.9	108.14	162.14	126.12	127.89	35.76	130.6	120.1	66.18	124.37	65.72	80.57	156.59	61.25	66.65	120.1	66.18	73.03	40.64	55.1	176.29	57.08	70.01	78.89	95.34	115.97	72.52	70.51	82.87	49.21	88.88	104.42	23.59	30.56	19.68
LNPEP	41.81	104.42	83.45	77.25	178.77	293.07	151.22	234.57	334.46	223.41	400.71	258.57	81.71	237.86	194.36	299.25	149.12	429.54	307.69	155.5	102.97	96.01	353.59	287.01	166.73	223.41	194.36	244.57	171.45	289.02	244.57	52.45	228.13	167.9	289.02	171.45	332.14	293.07	329.84	180.02	150.17	215.77	279.14	289.02	133.36	334.46	267.73	273.37	161.02	381.68	194.36	241.19	220.32	185.11	329.84	89.51	224.97	246.28	177.53	91.41	187.71	178.77	175.07	82.29	98.04	90.14	55.1	145.02	164.42	131.51	211.31	199.85	133.36	78.89	87.03	212.78	137.14	46.84	113.56	91.41
LNX1	35.5	144.01	447.82	122.64	273.37	281.09	169.07	258.57	111.99	198.47	159.9	204.07	135.24	256.78	130.6	316.37	87.03	255.0	258.57	320.8	147.06	199.85	466.88	258.57	185.11	165.57	226.54	99.43	136.19	161.02	163.28	89.51	267.73	140.04	229.72	97.36	121.79	154.42	246.28	217.27	35.25	217.27	185.11	209.84	92.7	309.83	195.72	206.94	101.54	244.57	75.11	117.6	208.38	163.28	214.27	142.01	114.36	194.36	205.5	29.91	46.84	108.9	53.57	58.71	134.3	135.24	41.81	20.26	100.13	120.1	708.18	82.87	92.7	28.86	28.65	78.34	164.42	64.34	53.19	64.34
LRBA	164.42	414.87	409.15	447.82	854.13	1697.45	921.88	1628.26	1030.12	961.07	872.1	890.44	1073.91	1143.1	1001.93	1015.93	400.71	2739.08	1651.0	483.38	698.41	323.03	1059.11	981.29	1001.93	872.1	2720.15	688.78	599.49	1572.76	1104.13	118.43	1388.16	902.89	1639.59	941.27	854.13	1286.18	1721.16	830.75	236.21	1167.14	759.08	909.17	583.07	866.07	830.75	1896.65	483.38	1639.59	414.87	733.19	854.13	514.56	1340.84	830.75	808.0	1923.14	988.12	325.29	412.0	599.49	392.44	264.03	423.61	486.75	166.73	301.33	460.44	303.44	299.25	334.46	555.41	246.28	703.28	503.95	409.15	204.07	248.0	275.28
MAATS1	14.78	19.68	18.29	1.51	57.89	255.0	49.56	172.65	76.17	98.73	136.19	98.73	100.83	53.95	17.9	45.53	9.41	16.03	140.04	20.26	46.18	4.1	218.79	92.05	76.71	39.5	7.22	59.97	69.52	267.73	10.16	12.36	88.26	78.89	130.6	44.89	41.52	37.32	14.14	7.46	12.18	115.97	130.6	81.14	35.0	38.12	9.34	111.21	17.64	106.63	1.69	25.54	36.27	30.56	105.15	103.69	23.93	85.22	6.16	16.03	6.36	4.28	3.26	21.94	4.98	36.79	2.81	0.0	7.82	1.13	55.89	36.27	14.56	18.03	62.56	12.36	6.46	14.35	8.13	42.71
MAP9	36.27	38.95	1.93	22.26	169.07	358.54	107.38	176.29	158.79	163.28	251.48	177.53	103.69	251.48	65.26	228.13	79.45	66.65	267.73	94.01	82.87	23.76	265.87	124.37	128.79	185.11	155.5	92.05	107.38	212.78	205.5	30.56	191.67	81.71	218.79	204.07	104.42	48.52	35.25	191.67	96.01	223.41	126.12	173.85	132.44	144.01	50.27	217.27	59.55	229.72	43.94	143.01	127.89	88.88	271.48	137.14	124.37	239.52	208.38	94.67	88.26	38.67	26.86	24.11	32.13	205.5	10.31	40.07	47.17	84.04	126.12	86.43	119.26	293.07	20.71	92.05	102.97	59.13	76.17	125.24
MBLAC2	19.82	47.17	21.94	40.93	78.89	92.7	83.45	84.63	108.14	76.71	98.04	64.34	73.03	127.0	73.54	116.78	48.18	115.16	125.24	47.84	35.76	23.76	120.94	146.03	60.82	90.77	75.64	89.51	55.49	87.65	78.34	43.94	90.14	56.68	80.57	59.97	65.26	128.79	90.14	70.01	77.79	127.0	114.36	97.36	45.85	91.41	94.67	120.1	45.21	92.05	43.63	70.01	98.73	70.51	110.43	51.35	91.41	204.07	142.01	107.38	58.71	40.07	33.54	22.43	54.72	26.28	29.7	38.95	37.85	22.43	85.82	70.51	52.45	58.71	21.16	63.0	17.9	28.45	29.48	78.34
MDH1B	7.75	5.15	2.2	3.66	32.13	104.42	37.32	63.89	27.84	48.52	93.35	59.97	63.0	25.72	13.62	75.11	37.05	39.5	74.58	6.16	24.63	4.06	107.38	72.01	70.01	54.72	8.58	34.75	39.5	60.82	19.68	18.03	36.27	21.94	21.01	115.16	32.36	21.47	51.35	37.59	10.24	108.9	63.0	48.87	15.45	64.34	14.24	75.64	323.03	69.52	9.48	52.08	27.25	28.04	27.84	87.65	30.12	91.41	59.13	29.27	4.43	5.96	3.59	2.68	7.94	11.38	3.23	3.17	4.9	3.47	16.88	25.72	6.78	13.83	13.32	7.57	10.16	13.72	3.26	15.8
METTL14	94.67	169.07	202.66	139.07	376.41	392.44	267.73	346.29	379.04	348.71	423.61	348.71	269.6	406.31	299.25	368.65	305.55	591.22	387.02	220.32	218.79	150.17	309.83	371.22	251.48	379.04	307.69	236.21	264.03	447.82	332.14	88.26	483.38	314.17	417.77	314.17	403.5	371.22	329.84	234.57	226.54	432.53	283.05	366.09	275.28	363.56	281.09	503.95	204.07	363.56	226.54	285.03	325.29	543.96	384.34	208.38	339.14	595.34	327.56	287.01	186.4	262.2	165.57	170.25	113.56	142.01	100.13	201.25	212.78	224.97	198.47	194.36	194.36	177.53	105.15	224.97	212.78	143.01	119.26	211.31
MKL2	111.99	133.36	155.5	87.65	316.37	1051.79	387.02	738.29	486.75	262.2	896.64	669.92	267.73	808.0	231.32	769.69	264.03	981.29	665.29	239.52	126.12	162.14	988.12	688.78	432.53	379.04	607.87	423.61	323.03	1769.57	476.71	63.45	529.06	503.95	559.28	275.28	536.45	612.11	444.72	194.36	131.51	866.07	521.76	642.59	148.09	624.99	503.95	483.38	224.97	616.37	197.09	351.14	759.08	463.65	947.83	267.73	279.14	830.75	255.0	162.14	518.15	198.47	166.73	122.64	107.38	115.16	69.03	223.41	279.14	157.68	150.17	208.38	212.78	107.38	189.02	275.28	191.67	38.67	67.12	226.54
MREG	11.73	65.72	99.43	125.24	1008.9	902.89	738.29	1023.0	371.22	314.17	651.58	466.88	674.59	366.09	262.2	813.63	214.27	1561.89	813.63	241.19	518.15	217.27	483.38	612.11	476.71	679.29	204.07	244.57	791.35	1151.06	688.78	115.97	665.29	191.67	780.44	934.76	909.17	748.61	1233.75	285.03	121.79	551.56	647.07	934.76	205.5	647.07	403.5	738.29	470.14	480.04	127.0	660.68	273.37	460.44	591.22	728.11	332.14	915.51	713.11	28.24	36.79	156.59	212.78	197.09	43.32	24.81	43.32	185.11	130.6	175.07	53.57	57.49	129.69	253.23	283.05	303.44	346.29	24.28	80.01	37.32
NBR1	547.75	961.07	775.05	620.67	1208.34	1950.0	1277.29	1594.73	1628.26	1832.01	1519.15	1594.73	1477.58	1781.89	1350.18	1605.83	995.0	1733.13	1794.29	1119.56	684.02	567.1	1844.76	1628.26	1250.98	1617.0	1259.69	1208.34	995.0	1721.16	1844.76	620.67	1832.01	1685.71	1697.45	1427.22	1378.57	1617.0	1745.2	1322.37	934.76	1685.71	1073.91	1477.58	1096.5	1844.76	1529.73	2367.9	854.13	2047.0	1008.9	1259.69	1340.84	1427.22	1388.16	1216.75	1331.57	2701.35	616.37	1540.37	1127.35	1628.26	1250.98	842.36	819.3	848.22	780.44	941.27	1388.16	836.53	813.63	1073.91	1159.07	1008.9	693.58	1286.18	1159.07	532.74	607.87	1977.24
NCBP2L	0.0	0.0	0.0	2.18	7.11	60.82	4.31	4.5	0.91	37.59	37.85	15.45	5.11	18.97	0.0	7.88	0.0	11.91	4.74	2.39	3.82	0.0	2.56	6.62	3.11	18.84	10.16	8.71	3.41	9.06	5.63	0.0	3.86	36.01	10.08	0.0	5.87	10.55	17.25	9.78	0.0	8.78	3.99	12.09	8.13	6.16	3.66	12.27	8.38	7.94	0.0	23.42	0.0	14.03	6.62	4.58	10.39	37.05	0.0	0.0	0.0	0.0	5.68	6.06	0.0	0.0	0.0	0.0	1.85	1.28	0.0	0.0	0.0	0.0	0.0	4.43	0.0	0.0	0.0	0.0
NEK1	88.88	128.79	152.28	80.01	102.97	258.57	151.22	182.55	116.78	152.28	248.0	178.77	144.01	260.38	119.26	175.07	65.72	283.05	212.78	155.5	137.14	72.01	140.04	187.71	132.44	165.57	224.97	124.37	120.1	221.86	163.28	63.0	206.94	152.28	215.77	151.22	170.25	206.94	180.02	138.1	108.14	176.29	124.37	170.25	133.36	212.78	105.89	187.71	139.07	181.28	77.79	149.12	199.85	118.43	183.82	152.28	157.68	269.6	144.01	195.72	145.02	117.6	78.89	68.07	53.19	114.36	98.04	84.04	152.28	57.08	199.85	80.57	108.9	101.54	52.08	137.14	88.88	49.91	60.82	93.35
NPHP1	77.79	96.68	64.34	108.14	133.36	353.59	120.1	146.03	172.65	78.89	214.27	156.59	111.99	144.01	102.97	138.1	69.52	244.57	189.02	71.5	87.03	52.82	353.59	176.29	193.01	177.53	100.13	133.36	138.1	229.72	91.41	120.1	156.59	128.79	185.11	176.29	155.5	146.03	163.28	115.16	115.16	143.01	154.42	204.07	163.28	108.9	151.22	189.02	109.66	150.17	90.77	119.26	71.0	121.79	172.65	173.85	144.01	275.28	139.07	99.43	64.34	150.17	42.71	102.97	53.19	105.89	98.04	68.55	57.08	40.64	57.49	106.63	99.43	129.69	89.51	70.51	88.26	66.65	125.24	242.88
NSF	241.19	381.68	529.06	307.69	599.49	921.88	521.76	791.35	759.08	842.36	896.64	967.76	551.56	785.88	463.65	693.58	738.29	915.51	780.44	536.45	299.25	429.54	1088.92	775.05	525.39	656.11	540.19	536.45	612.11	595.34	1015.93	384.34	775.05	813.63	947.83	684.02	842.36	1023.0	909.17	540.19	384.34	665.29	679.29	713.11	728.11	684.02	961.07	1359.57	521.76	902.89	483.38	638.15	825.0	743.43	674.59	476.71	583.07	1008.9	457.25	490.14	624.99	514.56	336.79	305.55	301.33	260.38	336.79	366.09	341.51	343.89	902.89	438.59	915.51	836.53	392.44	567.1	466.88	363.56	543.96	356.05
NUBPL	76.17	96.01	98.73	115.97	185.11	309.83	166.73	220.32	181.28	165.57	169.07	157.68	218.79	221.86	183.82	218.79	121.79	287.01	231.32	392.44	142.01	75.11	269.6	204.07	178.77	228.13	205.5	151.22	115.16	181.28	177.53	73.54	209.84	172.65	175.07	325.29	269.6	348.71	258.57	260.38	115.97	220.32	150.17	226.54	151.22	166.73	153.34	277.2	105.89	221.86	159.9	205.5	153.34	147.06	224.97	201.25	153.34	420.68	212.78	211.31	120.94	164.42	100.83	187.71	96.68	64.8	128.79	131.51	208.38	75.11	244.57	162.14	121.79	115.97	121.79	136.19	165.57	149.12	118.43	116.78
PACRGL	161.02	209.84	204.07	253.23	271.48	400.71	291.04	204.07	277.2	271.48	356.05	332.14	412.0	389.72	215.77	348.71	171.45	414.87	303.44	190.34	193.01	104.42	312.0	358.54	279.14	329.84	221.86	264.03	242.88	339.14	241.19	260.38	400.71	262.2	301.33	295.11	255.0	305.55	242.88	297.17	339.14	361.04	241.19	341.51	197.09	371.22	242.88	381.68	199.85	384.34	384.34	312.0	318.57	148.09	361.04	323.03	269.6	511.0	275.28	231.32	277.2	198.47	155.5	264.03	127.89	248.0	172.65	229.72	178.77	148.09	236.21	218.79	206.94	101.54	102.25	220.32	208.38	146.03	237.86	244.57
PCF11	237.86	293.07	511.0	269.6	543.96	571.05	392.44	656.11	426.57	361.04	497.0	497.0	616.37	698.41	314.17	514.56	305.55	733.19	389.72	285.03	540.19	381.68	567.1	547.75	438.59	599.49	361.04	371.22	403.5	808.0	329.84	197.09	679.29	314.17	830.75	339.14	384.34	507.46	412.0	297.17	376.41	521.76	575.03	547.75	351.14	759.08	460.44	642.59	470.14	587.13	403.5	547.75	406.31	403.5	764.36	660.68	435.55	890.44	507.46	403.5	490.14	334.46	244.57	476.71	217.27	143.01	139.07	318.57	234.57	83.45	172.65	325.29	343.89	460.44	909.17	395.18	373.81	115.97	316.37	269.6
PDE12	156.59	93.35	108.9	146.03	190.34	246.28	197.09	253.23	314.17	134.3	217.27	269.6	178.77	232.94	111.99	260.38	173.85	295.11	223.41	127.0	128.79	131.51	316.37	244.57	131.51	264.03	151.22	185.11	142.01	287.01	145.02	75.64	177.53	198.47	142.01	161.02	206.94	277.2	202.66	149.12	151.22	246.28	255.0	246.28	152.28	220.32	260.38	264.03	128.79	291.04	159.9	198.47	246.28	132.44	271.48	143.01	204.07	224.97	246.28	152.28	176.29	142.01	84.04	134.3	74.06	107.38	59.55	110.43	68.07	116.78	104.42	138.1	177.53	234.57	81.14	151.22	142.01	74.58	149.12	132.44
PDIK1L	23.76	84.63	127.89	96.68	176.29	318.57	166.73	223.41	234.57	154.42	218.79	214.27	167.9	273.37	175.07	211.31	99.43	371.22	283.05	151.22	177.53	171.45	248.0	186.4	170.25	211.31	312.0	101.54	133.36	361.04	162.14	94.67	214.27	159.9	253.23	111.21	205.5	305.55	281.09	108.9	90.14	329.84	183.82	234.57	145.02	232.94	202.66	301.33	148.09	281.09	127.0	176.29	185.11	169.07	403.5	112.77	150.17	348.71	178.77	114.36	98.73	45.21	51.35	40.93	49.56	23.93	60.39	48.18	48.18	46.18	82.87	108.9	161.02	84.04	72.52	78.34	75.11	79.45	68.07	82.29
PEX12	61.25	102.97	109.66	131.51	195.72	198.47	137.14	226.54	119.26	199.85	158.79	130.6	150.17	244.57	205.5	157.68	166.73	249.73	189.02	123.5	74.58	74.06	231.32	175.07	204.07	180.02	125.24	108.9	129.69	267.73	190.34	99.43	236.21	157.68	205.5	152.28	182.55	166.73	176.29	148.09	102.25	231.32	301.33	153.34	141.02	183.82	211.31	384.34	129.69	143.01	129.69	153.34	159.9	157.68	190.34	87.03	171.45	400.71	103.69	199.85	95.34	78.89	88.88	78.34	81.14	63.45	103.69	71.0	111.21	63.89	129.69	100.83	112.77	128.79	38.4	105.15	105.89	46.5	49.56	144.01
PGGT1B	161.02	166.73	145.02	136.19	511.0	476.71	299.25	460.44	412.0	480.04	438.59	476.71	336.79	406.31	181.28	599.49	211.31	698.41	412.0	281.09	249.73	228.13	638.15	525.39	336.79	511.0	379.04	332.14	307.69	447.82	435.55	139.07	599.49	412.0	511.0	332.14	412.0	518.15	567.1	361.04	262.2	595.34	444.72	507.46	217.27	435.55	591.22	583.07	224.97	587.13	309.83	376.41	397.93	463.65	503.95	312.0	381.68	571.05	339.14	229.72	255.0	185.11	201.25	156.59	161.02	126.12	131.51	228.13	198.47	165.57	249.73	281.09	170.25	287.01	87.65	258.57	228.13	120.1	217.27	183.82
PHF20	387.02	312.0	206.94	195.72	373.81	796.86	392.44	438.59	708.18	361.04	764.36	563.18	412.0	412.0	346.29	529.06	303.44	684.02	775.05	361.04	299.25	246.28	684.02	603.67	371.22	480.04	591.22	406.31	551.56	665.29	555.41	209.84	579.04	429.54	466.88	503.95	603.67	909.17	463.65	320.8	279.14	802.41	525.39	540.19	318.57	567.1	567.1	500.46	323.03	679.29	353.59	412.0	497.0	490.14	521.76	389.72	366.09	612.11	190.34	273.37	381.68	429.54	305.55	231.32	173.85	197.09	242.88	366.09	409.15	183.82	299.25	251.48	323.03	205.5	208.38	432.53	303.44	251.48	185.11	258.57
PHF8	89.51	167.9	348.71	336.79	224.97	373.81	486.75	412.0	366.09	220.32	314.17	356.05	303.44	389.72	309.83	323.03	251.48	497.0	603.67	224.97	242.88	141.02	332.14	395.18	249.73	303.44	441.64	269.6	466.88	567.1	293.07	117.6	376.41	293.07	366.09	341.51	480.04	406.31	332.14	361.04	171.45	318.57	403.5	277.2	218.79	470.14	384.34	497.0	373.81	438.59	295.11	371.22	307.69	277.2	438.59	249.73	232.94	441.64	195.72	134.3	351.14	320.8	180.02	149.12	185.11	161.02	167.9	197.09	185.11	177.53	780.44	206.94	343.89	178.77	199.85	264.03	379.04	82.29	289.02	183.82
PLA2G12A	423.61	450.94	463.65	457.25	954.43	1073.91	775.05	981.29	872.1	1044.52	1277.29	967.76	1135.2	1159.07	753.83	1199.98	1127.35	1950.0	995.0	802.41	825.0	361.04	759.08	1259.69	1088.92	1143.1	1008.9	830.75	603.67	890.44	1417.35	507.46	1135.2	884.29	1167.14	1417.35	1151.06	1304.15	1529.73	708.18	497.0	1199.98	780.44	1242.34	748.61	656.11	808.0	1529.73	813.63	1594.73	599.49	1015.93	703.28	1051.79	1037.29	808.0	819.3	1159.07	409.15	638.15	728.11	521.76	543.96	423.61	796.86	339.14	493.56	595.34	463.65	551.56	514.56	540.19	934.76	642.59	571.05	830.75	432.53	536.45	1073.91	642.59
POLI	142.01	224.97	152.28	208.38	616.37	674.59	438.59	567.1	400.71	341.51	633.73	473.41	438.59	629.35	262.2	587.13	373.81	579.04	543.96	260.38	332.14	165.57	358.54	547.75	559.28	651.58	529.06	260.38	536.45	981.29	426.57	146.03	629.35	454.09	551.56	339.14	447.82	320.8	514.56	297.17	232.94	607.87	435.55	460.44	277.2	463.65	616.37	902.89	381.68	438.59	409.15	555.41	483.38	346.29	420.68	293.07	420.68	1250.98	447.82	271.48	312.0	260.38	126.12	131.51	229.72	164.42	85.82	127.0	316.37	84.04	253.23	299.25	253.23	271.48	143.01	255.0	223.41	220.32	127.89	180.02
PPWD1	305.55	291.04	325.29	269.6	480.04	536.45	470.14	320.8	457.25	356.05	575.03	470.14	358.54	483.38	307.69	536.45	305.55	575.03	493.56	376.41	490.14	320.8	579.04	612.11	432.53	551.56	303.44	320.8	366.09	599.49	281.09	435.55	447.82	363.56	728.11	379.04	376.41	460.44	536.45	460.44	490.14	559.28	497.0	441.64	366.09	620.67	500.46	723.08	373.81	490.14	267.73	503.95	486.75	457.25	529.06	457.25	540.19	1008.9	642.59	525.39	521.76	470.14	226.54	332.14	376.41	403.5	229.72	277.2	420.68	175.07	780.44	412.0	287.01	490.14	283.05	457.25	334.46	262.2	507.46	279.14
PREPL	161.02	314.17	336.79	275.28	660.68	836.53	624.99	796.86	708.18	647.07	587.13	802.41	423.61	921.88	529.06	791.35	334.46	1304.15	890.44	490.14	285.03	248.0	1233.75	842.36	490.14	866.07	769.69	441.64	551.56	1030.12	551.56	223.41	775.05	651.58	915.51	733.19	669.92	884.29	878.17	567.1	327.56	902.89	693.58	848.22	579.04	780.44	934.76	775.05	579.04	854.13	753.83	647.07	733.19	587.13	802.41	473.41	603.67	1088.92	629.35	780.44	493.56	336.79	435.55	397.93	221.86	450.94	195.72	323.03	348.71	173.85	336.79	529.06	536.45	371.22	412.0	466.88	334.46	187.71	299.25	332.14
PTGR2	52.08	45.53	100.83	112.77	441.64	289.02	198.47	251.48	237.86	115.16	269.6	211.31	291.04	197.09	130.6	406.31	180.02	343.89	363.56	115.16	142.01	96.68	532.74	265.87	339.14	209.84	246.28	204.07	218.79	429.54	358.54	73.03	463.65	208.38	195.72	138.1	295.11	291.04	341.51	400.71	66.18	450.94	285.03	217.27	124.37	236.21	392.44	500.46	395.18	251.48	122.64	185.11	244.57	170.25	403.5	269.6	262.2	674.59	187.71	228.13	77.25	122.64	91.41	43.02	244.57	46.5	96.01	71.5	85.82	67.12	151.22	100.83	151.22	161.02	141.02	115.97	176.29	98.73	61.68	60.82
RAD17	141.02	269.6	265.87	214.27	409.15	480.04	397.93	423.61	457.25	395.18	490.14	406.31	409.15	563.18	285.03	543.96	285.03	624.99	575.03	312.0	351.14	285.03	651.58	547.75	400.71	466.88	403.5	336.79	368.65	656.11	361.04	314.17	463.65	353.59	497.0	346.29	397.93	620.67	769.69	389.72	303.44	599.49	426.57	476.71	297.17	400.71	551.56	620.67	366.09	595.34	339.14	395.18	361.04	483.38	435.55	336.79	395.18	743.43	490.14	343.89	334.46	341.51	260.38	248.0	215.77	305.55	220.32	271.48	269.6	149.12	392.44	325.29	262.2	299.25	255.0	332.14	228.13	241.19	356.05	277.2
RAD50	133.36	228.13	134.3	167.9	551.56	698.41	400.71	599.49	497.0	543.96	759.08	599.49	457.25	555.41	248.0	941.27	228.13	928.3	463.65	295.11	242.88	150.17	909.17	698.41	429.54	476.71	454.09	384.34	387.02	764.36	454.09	199.85	651.58	379.04	723.08	353.59	698.41	674.59	507.46	371.22	323.03	1023.0	693.58	688.78	320.8	507.46	603.67	775.05	438.59	665.29	279.14	525.39	532.74	486.75	595.34	312.0	379.04	808.0	500.46	205.5	329.84	412.0	291.04	239.52	264.03	111.21	180.02	279.14	279.14	198.47	186.4	255.0	301.33	271.48	131.51	358.54	226.54	178.77	262.2	220.32
RAPGEF6	35.25	41.52	38.95	37.85	131.51	195.72	130.6	173.85	136.19	127.0	236.21	143.01	100.83	194.36	72.01	242.88	75.11	279.14	144.01	71.0	73.54	73.54	392.44	163.28	95.34	146.03	177.53	112.77	139.07	190.34	140.04	36.79	248.0	81.14	180.02	116.78	138.1	241.19	97.36	95.34	72.01	205.5	201.25	166.73	57.08	182.55	138.1	165.57	110.43	229.72	94.67	139.07	137.14	125.24	193.01	102.97	107.38	232.94	78.89	69.52	94.67	84.63	50.63	55.1	44.25	25.54	31.67	64.8	60.82	31.67	31.45	90.77	81.14	69.03	36.27	105.15	90.77	28.04	63.0	43.63
RASEF	1.6	44.89	1.91	116.78	262.2	486.75	403.5	435.55	460.44	185.11	507.46	567.1	299.25	387.02	133.36	303.44	30.12	698.41	860.08	65.72	140.04	111.21	1233.75	507.46	309.83	674.59	684.02	146.03	164.42	896.64	379.04	5.77	802.41	379.04	420.68	256.78	723.08	764.36	842.36	161.02	60.82	660.68	571.05	733.19	228.13	536.45	738.29	688.78	155.5	660.68	159.9	329.84	397.93	273.37	1104.13	518.15	285.03	500.46	366.09	24.63	40.64	112.77	52.45	4.21	48.87	11.64	32.82	44.57	15.45	33.06	1.93	31.67	104.42	76.17	83.45	87.03	36.27	27.84	7.46	12.27
REST	109.66	170.25	158.79	145.02	264.03	463.65	234.57	444.72	363.56	248.0	384.34	358.54	256.78	438.59	187.71	303.44	226.54	518.15	351.14	285.03	189.02	312.0	271.48	305.55	239.52	316.37	450.94	198.47	231.32	511.0	265.87	119.26	403.5	218.79	409.15	329.84	287.01	406.31	314.17	277.2	258.57	423.61	265.87	251.48	218.79	341.51	305.55	409.15	198.47	339.14	265.87	318.57	289.02	182.55	356.05	336.79	332.14	587.13	351.14	199.85	293.07	226.54	190.34	173.85	129.69	211.31	100.83	299.25	195.72	189.02	180.02	224.97	229.72	242.88	51.71	291.04	228.13	139.07	104.42	223.41
RGPD6	57.08	136.19	126.12	128.79	185.11	249.73	195.72	176.29	211.31	244.57	128.79	260.38	162.14	363.56	201.25	187.71	153.34	403.5	231.32	242.88	195.72	137.14	332.14	236.21	205.5	346.29	271.48	84.04	177.53	409.15	201.25	72.52	242.88	156.59	336.79	101.54	234.57	205.5	373.81	144.01	173.85	211.31	153.34	158.79	159.9	287.01	115.16	228.13	126.12	299.25	241.19	206.94	283.05	137.14	208.38	204.07	305.55	262.2	267.73	166.73	341.51	211.31	113.56	180.02	66.65	140.04	105.15	121.79	279.14	57.89	224.97	140.04	231.32	193.01	318.57	218.79	141.02	157.68	120.94	88.26
