	TCGA.44.2668.11A.01R.1758.07	TCGA.50.5933.11A.01R.1755.07	TCGA.44.6145.11A.01R.1858.07	TCGA.44.6147.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.11DXX.0626.SM.5Q5AG	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.ZYY3.0926.SM.5E454	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.11GSP.0726.SM.5986L	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.145MF.0726.SM.5Q5BT	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T	GTEX.OHPM.0526.SM.2YUMJ	GTEX.131XH.0426.SM.5DUWU	TCGA.60.2709.11A.01R.1820.07	TCGA.56.8082.11A.01R.2247.07	TCGA.43.6771.11A.01R.1820.07	TCGA.56.7731.11A.01R.2125.07
RDH10	854.13	1909.85	974.5	830.75	934.76	414.87	1572.76	1233.75	309.83	2047.0	521.76	2796.65	3103.19	693.58	244.57	830.75	353.59	297.17	967.76	226.54	1286.18	567.1	2520.38	366.09	470.14	209.84	599.49	7803.01	237.86	1044.52	1594.73	884.29	214.27	346.29	373.81	4095.0	500.46	2163.77	412.0	1331.57	1397.83	332.14	7589.61	518.15	551.56	221.86	271.48	2271.4	166.73	796.86	285.03	2573.36	295.11	423.61	255.0	199.85	241.19	293.07	346.29	769.69	1977.24	299.25	583.07	759.08	1051.79	1457.23	1651.0	660.68	1199.98	1388.16	1191.69
RELA	2335.28	3325.99	1844.76	3325.99	2075.59	1350.18	1407.55	1745.2	1378.57	2875.3	1794.29	2739.08	2520.38	1963.57	1572.76	2485.67	1487.87	1225.22	2468.49	1268.46	3325.99	1628.26	2061.24	2061.24	1304.15	1417.35	1628.26	2739.08	1331.57	1407.55	2335.28	2417.67	1304.15	1313.23	1268.46	2468.49	1697.45	1909.85	1572.76	2032.85	1572.76	1870.53	2485.67	1388.16	2061.24	1457.23	1295.13	2178.83	1457.23	1498.22	1388.16	1769.57	1295.13	1685.71	1674.06	1037.29	1617.0	1477.58	1313.23	1769.57	1709.26	1417.35	1745.2	1709.26	1674.06	2163.77	3614.55	2537.92	4736.79	2816.11	3103.19
RELB	890.44	2119.22	624.99	1674.06	825.0	199.85	332.14	842.36	165.57	1769.57	177.53	1617.0	1001.93	463.65	334.46	1832.01	381.68	236.21	1096.5	239.52	1561.89	224.97	1369.04	890.44	223.41	153.34	297.17	1583.71	208.38	162.14	1044.52	848.22	202.66	183.82	147.06	1216.75	384.34	1127.35	275.28	947.83	808.0	514.56	1697.45	139.07	400.71	316.37	180.02	1250.98	183.82	603.67	368.65	830.75	212.78	426.57	470.14	208.38	228.13	124.37	234.57	211.31	718.08	150.17	412.0	297.17	368.65	981.29	1674.06	1397.83	3039.3	2004.85	2104.58
RUNX1	915.51	1870.53	825.0	1037.29	1111.82	368.65	521.76	688.78	283.05	1081.39	316.37	1950.0	954.43	679.29	303.44	1407.55	511.0	423.61	1359.57	320.8	1639.59	392.44	1151.06	616.37	470.14	307.69	379.04	2061.24	246.28	371.22	738.29	638.15	289.02	429.54	325.29	1096.5	884.29	988.12	551.56	775.05	389.72	500.46	848.22	356.05	567.1	366.09	312.0	967.76	289.02	775.05	356.05	1498.22	376.41	384.34	518.15	356.05	571.05	332.14	483.38	454.09	1359.57	420.68	583.07	400.71	555.41	503.95	1199.98	902.89	1127.35	1081.39	780.44
SBNO2	2758.13	2351.53	1674.06	2956.17	1923.14	543.96	450.94	1183.45	595.34	3768.09	532.74	2739.08	2224.63	878.17	339.14	2384.37	575.03	521.76	2384.37	500.46	3639.7	796.86	1697.45	1991.0	438.59	503.95	575.03	3982.99	518.15	514.56	2032.85	1208.34	291.04	536.45	361.04	3303.0	909.17	1909.85	599.49	1540.37	1208.34	551.56	2796.65	603.67	1467.37	708.18	540.19	1991.0	503.95	974.5	733.19	1023.0	511.0	819.3	785.88	343.89	902.89	486.75	473.41	791.35	1259.69	466.88	638.15	616.37	759.08	1208.34	1923.14	1674.06	3665.02	3690.52	3491.39
SDCBP	7803.01	10512.82	6294.04	9088.59	6561.36	5041.77	8479.89	2682.69	4123.49	20030.74	3564.78	14971.21	5292.48	6337.83	4671.57	8538.88	4328.55	6935.54	12943.04	4512.4	15392.14	3212.66	8840.04	5791.62	5751.61	3874.05	6250.56	8778.97	4704.07	4095.0	9215.48	8901.53	6381.92	2855.44	3515.68	14461.21	5255.91	6935.54	4181.07	5292.48	4358.66	7642.41	5913.33	2976.74	4152.18	5255.91	6164.49	9540.5	4038.61	6079.61	5366.37	8134.41	4639.29	4123.49	7130.55	5329.3	3515.68	3515.68	5954.47	6887.62	10585.95	4802.93	4937.99	4575.41	7537.18	9945.68	11584.24	8247.98	9808.75	8479.89	9151.82
SERPINB1	6607.01	14163.58	6381.92	12943.04	13306.94	2004.85	2855.44	3768.09	2104.58	34635.37	2537.92	14971.21	10225.32	5441.3	1519.15	13215.02	4869.99	2384.37	5711.87	2520.38	32994.92	2520.38	14867.79	11267.44	3018.3	2224.63	3190.46	7911.95	2739.08	1745.2	12676.65	9740.98	2777.33	2119.22	1417.35	10733.74	2555.58	6792.79	2720.15	9740.98	4869.99	4836.35	27174.14	2384.37	5255.91	3349.13	2609.3	35363.15	2485.67	3540.14	3690.52	10512.82	2075.59	2645.74	5041.77	2468.49	2573.36	1417.35	2502.97	3060.45	13492.72	2178.83	2758.13	2520.38	5183.54	8363.13	11267.44	11909.94	14461.21	8598.28	13776.25
SERPINE1	5555.65	13399.51	2209.26	23330.64	8538.88	490.14	567.1	2609.3	332.14	12764.83	3982.99	24153.43	3419.52	947.83	579.04	14361.31	629.35	718.08	15285.81	563.18	15715.58	536.45	7081.29	2209.26	718.08	738.29	842.36	19214.73	454.09	536.45	4095.0	11992.79	1015.93	518.15	224.97	6079.61	830.75	941.27	693.58	1857.6	2224.63	884.29	3303.0	728.11	4358.66	728.11	395.18	5751.61	656.11	2720.15	780.44	3190.46	269.6	1066.48	748.61	223.41	4210.15	642.59	503.95	1583.71	10084.54	490.14	2090.03	854.13	2148.82	5517.27	9740.98	13306.94	24321.43	10659.59	18304.63
SFTPC	1204496.53	1034138.94	1432396.03	1116072.03	2.880867455E7	2.051249903E7	5.882801313E7	1.748967224E7	2.18328924E7	830.75	7.92550749E7	303217.87	3.402283342E7	4.811555286E7	3.174442598E7	5650706.18	3.003205688E7	2.706640506E7	4372417.31	4.188702152E7	24153.43	3.130739107E7	2.4225111E7	1.501602794E7	2.880867455E7	2.542950323E7	2.260282772E7	36864.92	2.339991475E7	5.761735011E7	1.927195942E7	1.36273329E7	3.801327429E7	1.470700253E7	2.260282772E7	181548.07	4.878722096E7	9635979.21	1.848689914E7	3.72309724E7	1.470700253E7	2.405777593E7	1.194579786E7	1.887534821E7	2.49061716E7	2.123587078E7	2.276004283E7	1.450452687E7	1.874496665E7	2.138357795E7	1.410789979E7	1.289224244E7	2.706640506E7	2.525384881E7	5.228884881E7	2.198475218E7	1.0826562323E8	1.954098596E7	2.037080884E7	2.560637942E7	7053949.4	3.109113511E7	6.17527469E7	2.578448588E7	1.66613263E7	1.835920079E7	1956711.0	938500.81	414208.18	912837.43	863596.77
SLC39A14	819.3	669.92	595.34	723.08	547.75	123.5	246.28	543.96	253.23	1397.83	146.03	2434.5	954.43	277.2	159.9	1286.18	123.5	157.68	1111.82	83.45	1259.69	145.02	928.3	366.09	194.36	117.6	178.77	500.46	132.44	334.46	438.59	947.83	151.22	81.14	161.02	921.88	211.31	441.64	191.67	616.37	529.06	366.09	684.02	403.5	237.86	157.68	139.07	490.14	181.28	181.28	246.28	253.23	166.73	226.54	166.73	183.82	169.07	143.01	155.5	346.29	669.92	158.79	155.5	186.4	307.69	921.88	848.22	417.77	1674.06	1059.11	1674.06
SLC7A5	395.18	656.11	438.59	543.96	555.41	348.71	256.78	3103.19	90.14	460.44	122.64	1250.98	432.53	447.82	63.0	447.82	49.91	128.79	665.29	65.72	223.41	260.38	1008.9	334.46	95.34	77.25	58.71	529.06	63.0	201.25	281.09	642.59	114.36	106.63	44.25	551.56	50.63	915.51	92.05	246.28	624.99	139.07	629.35	336.79	231.32	43.32	165.57	212.78	199.85	358.54	253.23	463.65	81.71	303.44	63.45	112.77	381.68	195.72	316.37	269.6	688.78	113.56	177.53	194.36	208.38	571.05	334.46	336.79	748.61	579.04	559.28
SOD2	15499.21	58655.36	12676.65	23656.34	15180.22	6207.38	6607.01	14065.74	3419.52	50359.33	6337.83	73730.83	23656.34	11827.67	3742.05	41188.81	4575.41	6607.01	23656.34	2777.33	38966.94	4358.66	51417.5	6561.36	4512.4	3060.45	6745.86	12676.65	3847.29	3955.48	19754.96	31432.17	3768.09	2434.5	3443.31	22692.63	7485.11	12244.81	7230.1	19348.38	14361.31	6516.03	30361.44	5403.7	5594.3	4268.94	3955.48	21919.61	4268.94	9151.82	5555.65	10883.59	3847.29	4066.71	6652.97	3928.15	7331.05	3928.15	5711.87	7280.4	16383.0	3540.14	3901.01	4358.66	7331.05	23169.48	38164.99	25179.16	47974.16	39237.98	57051.4
SPHK1	567.1	723.08	423.61	1651.0	500.46	81.14	119.26	525.39	51.71	1340.84	109.66	2148.82	366.09	124.37	329.84	1143.1	348.71	84.63	1721.16	186.4	884.29	108.9	988.12	802.41	70.01	75.64	79.45	3372.43	67.12	37.85	591.22	679.29	251.48	103.69	49.21	785.88	127.0	371.22	119.26	470.14	221.86	104.42	1151.06	159.9	371.22	88.26	29.48	1008.9	53.19	353.59	212.78	525.39	62.12	215.77	108.9	122.64	59.55	97.36	85.22	104.42	961.07	38.12	149.12	171.45	204.07	928.3	780.44	688.78	1794.29	1015.93	1088.92
SPSB1	1322.37	2537.92	1561.89	3303.0	3168.41	476.71	583.07	808.0	397.93	1378.57	429.54	2682.69	1733.13	547.75	368.65	1008.9	249.73	414.87	1519.15	237.86	2664.15	348.71	1378.57	928.3	246.28	244.57	361.04	7382.04	341.51	503.95	934.76	981.29	279.14	256.78	279.14	1806.78	366.09	1135.2	275.28	633.73	1088.92	559.28	1199.98	409.15	780.44	303.44	743.43	981.29	435.55	423.61	409.15	759.08	466.88	511.0	444.72	341.51	463.65	356.05	454.09	571.05	1096.5	429.54	237.86	318.57	555.41	1191.69	896.64	1923.14	3491.39	3467.27	2075.59
SSH1	536.45	866.07	543.96	1001.93	624.99	231.32	229.72	316.37	325.29	1242.34	267.73	1159.07	830.75	341.51	234.57	995.0	271.48	228.13	713.11	193.01	1857.6	246.28	633.73	591.22	231.32	231.32	269.6	872.1	265.87	267.73	532.74	612.11	229.72	208.38	221.86	1143.1	291.04	503.95	242.88	583.07	339.14	417.77	791.35	236.21	361.04	299.25	244.57	780.44	249.73	232.94	273.37	624.99	258.57	291.04	271.48	169.07	271.48	265.87	241.19	291.04	708.18	214.27	281.09	320.8	305.55	607.87	1001.93	579.04	1242.34	941.27	921.88
STAT3	4239.45	6561.36	3794.3	5633.22	5831.91	2682.69	2645.74	4512.4	2502.97	8363.13	3280.18	7331.05	8022.41	3614.55	1857.6	4704.07	2271.4	2287.2	4836.35	1721.16	7230.1	2976.74	7081.29	3955.48	2502.97	2255.7	3168.41	5219.6	2468.49	2400.97	4543.8	5403.7	2178.83	1950.0	1950.0	5479.15	3235.01	4450.27	3081.75	5441.3	4358.66	3589.58	7911.95	3589.58	3768.09	2520.38	2255.7	5292.48	2537.92	3124.78	2976.74	4038.61	2075.59	2997.45	3168.41	1963.57	2609.3	3146.52	2468.49	3589.58	4639.29	2090.03	2720.15	3212.66	4388.98	6037.61	5517.27	3540.14	5255.91	4358.66	5041.77
STC1	283.05	563.18	334.46	909.17	307.69	271.48	190.34	134.3	95.34	934.76	71.5	4152.18	1295.13	403.5	18.03	665.29	109.66	50.63	909.17	59.97	660.68	35.76	567.1	96.01	43.02	72.01	52.08	329.84	46.84	186.4	153.34	211.31	31.45	40.93	57.08	371.22	119.26	153.34	103.69	674.59	78.34	178.77	3564.78	53.57	25.54	74.06	103.69	1540.37	61.25	98.04	84.63	764.36	104.42	161.02	98.04	39.5	301.33	76.71	87.65	106.63	503.95	51.35	256.78	74.58	199.85	486.75	1832.01	974.5	514.56	941.27	612.11
STX4	1519.15	1242.34	1561.89	1350.18	1119.56	995.0	1023.0	1199.98	878.17	2255.7	825.0	2255.7	1519.15	1519.15	1081.39	2468.49	1359.57	1250.98	1437.15	1313.23	1923.14	1059.11	1561.89	1313.23	928.3	836.53	764.36	2502.97	1111.82	1104.13	1159.07	1427.22	633.73	1191.69	819.3	2119.22	1639.59	1286.18	915.51	1561.89	1044.52	1322.37	1286.18	928.3	1216.75	954.43	1159.07	1508.65	866.07	1605.83	1030.12	1551.09	1242.34	1111.82	1096.5	995.0	1359.57	780.44	1233.75	825.0	1350.18	1487.87	2075.59	1191.69	928.3	902.89	2178.83	1487.87	1896.65	2061.24	1605.83
SYNJ2	127.0	100.13	74.58	172.65	69.52	36.53	33.3	69.52	45.85	142.01	28.04	212.78	124.37	43.02	31.45	120.1	33.78	36.79	114.36	28.04	172.65	38.4	187.71	79.45	32.13	30.12	40.93	194.36	25.72	42.11	52.08	83.45	38.67	32.82	28.24	198.47	46.84	70.01	34.02	148.09	56.28	61.25	143.01	50.98	45.85	28.24	40.93	121.79	31.45	52.08	55.1	129.69	36.79	46.5	39.79	30.12	28.86	22.92	44.57	51.35	171.45	33.54	47.5	39.5	78.34	93.35	101.54	119.26	115.16	156.59	89.51
TLE3	825.0	1127.35	521.76	961.07	791.35	486.75	361.04	473.41	412.0	1781.89	435.55	1583.71	872.1	555.41	305.55	1066.48	540.19	444.72	1250.98	320.8	1277.29	454.09	775.05	633.73	255.0	447.82	384.34	1143.1	327.56	460.44	802.41	551.56	264.03	363.56	277.2	1037.29	384.34	728.11	493.56	571.05	444.72	329.84	1175.27	395.18	463.65	466.88	341.51	587.13	432.53	497.0	473.41	547.75	423.61	457.25	409.15	281.09	403.5	463.65	295.11	547.75	819.3	281.09	543.96	336.79	463.65	656.11	848.22	703.28	1295.13	1008.9	848.22
TMEM217	113.56	169.07	134.3	483.38	151.22	21.01	59.97	64.8	23.76	124.37	15.34	190.34	185.11	51.35	20.26	66.65	31.22	41.52	193.01	10.47	181.28	46.84	348.71	101.54	18.16	10.24	38.67	540.19	24.81	20.11	77.25	50.63	31.9	22.43	7.11	166.73	22.26	162.14	27.25	94.01	39.79	42.11	420.68	30.34	59.97	24.63	17.51	214.27	16.03	27.05	59.13	51.35	14.56	27.44	23.25	19.11	19.25	24.99	23.59	54.33	90.14	26.47	29.48	29.7	31.45	166.73	45.53	189.02	314.17	212.78	170.25
TMEM70	780.44	1225.22	967.76	1008.9	587.13	329.84	1037.29	612.11	532.74	1277.29	241.19	1023.0	808.0	1350.18	665.29	575.03	363.56	665.29	2193.99	429.54	2090.03	307.69	500.46	902.89	454.09	450.94	616.37	3190.46	307.69	785.88	493.56	753.83	540.19	343.89	457.25	1923.14	279.14	1191.69	555.41	412.0	808.0	417.77	1250.98	447.82	555.41	559.28	287.01	1008.9	463.65	521.76	429.54	1457.23	500.46	575.03	381.68	813.63	232.94	303.44	476.71	1104.13	961.07	429.54	387.02	412.0	476.71	583.07	723.08	1143.1	1051.79	1594.73	902.89
TNFRSF10A	258.57	301.33	232.94	309.83	327.56	127.0	165.57	229.72	102.25	395.18	189.02	447.82	295.11	143.01	57.89	226.54	171.45	115.16	281.09	78.89	417.77	131.51	441.64	204.07	102.25	94.67	157.68	356.05	103.69	93.35	312.0	307.69	161.02	103.69	90.14	165.57	223.41	215.77	190.34	283.05	218.79	187.71	291.04	92.7	80.57	122.64	87.65	400.71	92.7	220.32	138.1	289.02	64.8	129.69	185.11	44.89	171.45	121.79	74.58	285.03	423.61	113.56	176.29	120.1	152.28	283.05	406.31	314.17	429.54	384.34	339.14
TNFRSF21	764.36	967.76	733.19	1059.11	872.1	620.67	285.03	426.57	368.65	1001.93	441.64	723.08	429.54	325.29	211.31	376.41	275.28	450.94	967.76	223.41	961.07	191.67	3874.05	1051.79	348.71	244.57	395.18	1447.15	232.94	214.27	547.75	500.46	339.14	232.94	187.71	1277.29	381.68	743.43	183.82	775.05	665.29	457.25	1721.16	260.38	708.18	194.36	316.37	2367.9	249.73	921.88	381.68	1923.14	221.86	218.79	373.81	309.83	115.97	376.41	567.1	412.0	2682.69	223.41	423.61	217.27	595.34	2417.67	603.67	679.29	981.29	961.07	1051.79
TNFRSF6B	1340.84	483.38	256.78	563.18	201.25	99.43	66.18	447.82	38.4	1529.73	13.03	651.58	112.77	44.89	32.13	1844.76	30.56	51.35	363.56	45.21	559.28	104.42	587.13	124.37	34.75	52.08	38.4	1628.26	56.28	22.1	277.2	1477.58	9.85	36.01	32.36	1350.18	60.39	299.25	20.71	540.19	194.36	0.53	575.03	46.5	78.89	76.17	38.95	297.17	74.58	297.17	41.81	595.34	17.77	140.04	78.89	61.25	26.47	26.86	189.02	11.55	780.44	31.67	21.16	11.64	88.88	181.28	660.68	497.0	1447.15	1331.57	1896.65
TNFRSF9	29.06	85.22	16.75	20.86	8.85	8.92	7.34	37.32	4.28	44.25	1.69	119.26	25.91	17.51	2.89	22.43	16.51	3.2	15.45	5.06	66.18	18.97	129.69	17.25	4.46	2.32	5.82	112.77	12.83	15.56	44.89	31.0	5.06	12.64	4.39	96.68	5.45	29.27	9.78	27.05	12.18	44.25	52.45	10.08	16.88	9.78	3.72	148.09	5.02	37.05	17.0	65.26	5.92	17.51	9.85	5.36	17.77	13.22	3.06	15.22	249.73	0.0	12.09	0.0	3.76	18.43	24.63	34.75	48.52	82.29	31.45
TRIM47	1331.57	1277.29	1199.98	1350.18	511.0	309.83	500.46	1340.84	346.29	2148.82	287.01	1651.0	974.5	571.05	387.02	1199.98	525.39	457.25	1143.1	234.57	1936.53	185.11	1617.0	713.11	277.2	314.17	420.68	2502.97	260.38	656.11	379.04	444.72	265.87	332.14	444.72	1268.46	674.59	1015.93	170.25	656.11	819.3	1051.79	454.09	373.81	896.64	262.2	267.73	1183.45	490.14	607.87	460.44	974.5	603.67	743.43	483.38	669.92	339.14	293.07	332.14	395.18	575.03	423.61	743.43	166.73	316.37	802.41	830.75	802.41	1991.0	1745.2	1721.16
UAP1	1447.15	2664.15	1923.14	3124.78	1407.55	450.94	1175.27	842.36	540.19	1896.65	591.22	2555.58	2384.37	1044.52	669.92	2367.9	490.14	660.68	2875.3	409.15	1639.59	406.31	1216.75	1340.84	674.59	483.38	791.35	3060.45	579.04	1467.37	1037.29	2075.59	587.13	412.0	638.15	2240.11	684.02	1127.35	599.49	1529.73	1359.57	796.86	1216.75	674.59	759.08	417.77	603.67	1407.55	490.14	743.43	651.58	1331.57	633.73	738.29	660.68	656.11	713.11	500.46	647.07	1359.57	1551.09	447.82	713.11	514.56	1051.79	1572.76	2075.59	2240.11	2520.38	2400.97	2609.3
UBE2D3	5831.91	7857.29	5403.7	8022.41	6840.04	4450.27	5183.54	4328.55	4123.49	11267.44	4512.4	9945.68	8840.04	7130.55	4639.29	6164.49	4123.49	4038.61	9606.86	3614.55	12415.75	4358.66	7081.29	5672.41	4239.45	3847.29	4869.99	7537.18	3820.7	4038.61	6079.61	7589.61	4639.29	3467.27	3443.31	7749.1	4388.98	5594.3	4419.52	5403.7	4704.07	5292.48	6745.86	3742.05	4736.79	4066.71	4210.15	7331.05	4210.15	3716.2	4328.55	6250.56	3614.55	4328.55	4512.4	4671.57	4836.35	3874.05	4769.75	6121.9	8963.45	3794.3	3614.55	4268.94	5831.91	7130.55	8598.28	9279.58	8078.22	6164.49	6652.97
UGCG	921.88	1977.24	974.5	1806.78	961.07	325.29	503.95	656.11	397.93	2061.24	361.04	2367.9	1208.34	708.18	441.64	1183.45	426.57	371.22	2224.63	409.15	2835.7	267.73	1447.15	819.3	423.61	336.79	503.95	1745.2	392.44	381.68	860.08	921.88	493.56	384.34	289.02	1745.2	612.11	1151.06	518.15	928.3	854.13	738.29	1498.22	379.04	616.37	387.02	339.14	1388.16	361.04	896.64	400.71	1628.26	361.04	476.71	426.57	334.46	403.5	339.14	480.04	796.86	1819.35	426.57	441.64	423.61	591.22	819.3	2018.8	2004.85	2609.3	1977.24	1417.35
YBX3	8963.45	12764.83	9808.75	16611.71	11189.6	3665.02	4903.87	9945.68	3614.55	27174.14	5751.61	26986.43	15392.14	11745.96	4607.24	17437.64	3372.43	3742.05	23492.92	3443.31	21919.61	3491.39	21172.91	7695.57	3235.01	3742.05	4736.79	11992.79	4239.45	4836.35	8718.32	14163.58	3018.3	3665.02	3395.89	18178.19	6250.56	7642.41	5791.62	15392.14	8078.22	5633.22	22380.2	5555.65	7230.1	3257.52	3395.89	13399.51	4388.98	5255.91	3794.3	11112.3	3372.43	4972.34	4639.29	3303.0	5329.3	3768.09	4038.61	6250.56	11189.6	3982.99	3540.14	3665.02	6561.36	12589.08	17197.56	10368.08	14361.31	12943.04	13306.94
ZC3H12A	848.22	6840.04	769.69	1781.89	1066.48	332.14	414.87	967.76	248.0	4937.99	1030.12	4736.79	1487.87	1427.22	255.0	4095.0	417.77	463.65	748.61	293.07	3212.66	353.59	5594.3	493.56	205.5	305.55	444.72	1447.15	253.23	511.0	967.76	3103.19	171.45	249.73	189.02	2351.53	603.67	830.75	571.05	1477.58	915.51	669.92	1769.57	232.94	830.75	187.71	262.2	1519.15	248.0	1617.0	339.14	1923.14	295.11	483.38	366.09	246.28	1407.55	281.09	395.18	409.15	1135.2	334.46	571.05	384.34	603.67	457.25	6792.79	3190.46	4419.52	2367.9	3124.78
