	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.OOBK.0526.SM.2HMJJ	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.U8T8.2226.SM.3DB95	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.111CU.0326.SM.5GZXO	GTEX.13O61.0726.SM.5J2MD	GTEX.111FC.1126.SM.5GZWU	GTEX.QDVJ.0926.SM.2I5FU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13YAN.1026.SM.5O9CF	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11EMC.0126.SM.5EGKV	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.13N2G.0826.SM.5IJE6	GTEX.1497J.0326.SM.5Q5CN	GTEX.P4QS.0526.SM.2I3ET	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZUA1.1026.SM.4YCEA	GTEX.146FQ.0926.SM.5LUAV	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.OIZH.0526.SM.2HMKV	GTEX.11WQK.1226.SM.5GU5Z	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.1399U.0826.SM.5KM1P	GTEX.RUSQ.0626.SM.2TF5V	GTEX.X4EP.0526.SM.3P5YW	GTEX.11OF3.1126.SM.5986C	GTEX.RM2N.0426.SM.2TF4T	GTEX.144GO.0226.SM.5LUB1
IRAK1BP1	0.0	0.0	70.51	91.41	57.49	212.78	61.68	58.71	111.21	21.63	77.79	71.5	96.01	78.34	93.35	88.26	23.42	55.1	49.56	66.65	32.13	98.73	88.26	109.66	74.58	54.72	35.5	94.01	125.24	24.99	71.0	183.82	101.54	72.52	88.26	89.51	162.14	130.6	218.79	41.81	249.73	66.18	106.63	62.12	71.5	97.36	111.99	149.12	102.97	104.42	123.5	110.43	29.27	118.43	129.69	193.01	63.45	68.07	159.9	49.91	43.32	10.79	68.07	14.14
KCNRG	0.0	0.0	57.08	106.63	361.04	954.43	206.94	262.2	202.66	29.48	228.13	299.25	480.04	181.28	307.69	149.12	25.35	162.14	277.2	117.6	20.41	100.83	190.34	189.02	325.29	79.45	75.11	201.25	229.72	21.78	283.05	371.22	171.45	287.01	76.71	348.71	267.73	105.89	575.03	46.5	769.69	39.79	109.66	127.0	214.27	336.79	279.14	665.29	320.8	599.49	161.02	92.7	3.76	241.19	466.88	595.34	201.25	214.27	149.12	29.27	34.26	14.89	45.21	41.81
KIAA0319	0.0	0.21	20.86	37.05	44.25	738.29	44.89	103.69	9.93	0.0	85.22	165.57	135.24	62.12	204.07	58.71	4.66	35.25	76.71	77.25	6.78	98.04	83.45	46.84	103.69	2.43	5.77	21.47	75.11	13.42	76.17	115.97	70.01	118.43	36.27	154.42	149.12	34.02	353.59	9.41	497.0	6.84	8.32	33.54	301.33	166.73	89.51	813.63	195.72	303.44	45.53	38.67	10.63	145.02	323.03	260.38	51.35	37.05	79.45	12.93	8.78	21.16	26.28	23.76
KIAA1009	0.0	0.15	211.31	60.39	113.56	351.14	59.13	181.28	94.67	49.91	133.36	178.77	190.34	229.72	129.69	206.94	18.7	48.18	117.6	198.47	49.91	110.43	199.85	96.01	217.27	87.65	61.25	150.17	146.03	38.67	88.26	172.65	105.89	147.06	99.43	151.22	144.01	120.94	169.07	56.28	417.77	54.72	118.43	94.67	143.01	153.34	138.1	133.36	138.1	202.66	118.43	94.01	62.56	169.07	241.19	183.82	86.43	124.37	139.07	93.35	86.43	34.26	107.38	46.5
KIAA1161	27.25	53.19	72.52	140.04	137.14	271.48	46.18	105.89	114.36	22.1	223.41	41.22	163.28	86.43	145.02	98.04	60.39	149.12	54.33	140.04	59.55	150.17	108.14	204.07	145.02	226.54	31.0	157.68	151.22	58.3	84.04	123.5	110.43	120.94	127.89	173.85	239.52	33.3	249.73	190.34	111.99	64.8	301.33	76.71	187.71	255.0	239.52	343.89	90.77	204.07	161.02	164.42	19.97	131.51	139.07	432.53	173.85	108.9	90.77	56.28	48.87	88.26	126.12	41.52
KIAA1407	0.0	0.29	128.79	78.34	214.27	769.69	242.88	371.22	80.57	31.0	190.34	234.57	293.07	343.89	429.54	182.55	31.9	100.13	265.87	117.6	14.78	164.42	395.18	84.63	297.17	118.43	101.54	183.82	185.11	37.85	318.57	291.04	173.85	231.32	47.5	251.48	239.52	205.5	441.64	40.36	647.07	59.55	91.41	139.07	351.14	248.0	251.48	444.72	423.61	339.14	153.34	69.52	38.95	426.57	373.81	389.72	102.25	98.73	220.32	72.01	58.3	21.16	81.14	37.05
KIAA1671	154.42	37.85	438.59	291.04	320.8	1388.16	163.28	521.76	447.82	148.09	718.08	507.46	612.11	532.74	529.06	543.96	96.68	351.14	273.37	351.14	35.5	525.39	941.27	297.17	532.74	264.03	438.59	366.09	624.99	283.05	540.19	583.07	813.63	603.67	234.57	571.05	796.86	540.19	1066.48	152.28	638.15	351.14	629.35	470.14	995.0	332.14	543.96	854.13	295.11	909.17	409.15	514.56	101.54	723.08	579.04	1417.35	253.23	258.57	389.72	358.54	89.51	149.12	551.56	102.97
KIAA1841	212.78	307.69	343.89	169.07	435.55	896.64	236.21	457.25	376.41	124.37	412.0	563.18	454.09	624.99	438.59	587.13	181.28	144.01	409.15	406.31	85.82	307.69	624.99	305.55	457.25	221.86	116.78	334.46	343.89	63.45	387.02	536.45	397.93	307.69	163.28	400.71	521.76	483.38	493.56	132.44	848.22	167.9	348.71	193.01	543.96	429.54	336.79	356.05	688.78	713.11	329.84	332.14	88.26	616.37	603.67	460.44	195.72	466.88	432.53	273.37	211.31	136.19	136.19	154.42
LCA5L	0.0	0.0	57.89	54.33	122.64	490.14	98.04	145.02	76.17	8.58	97.36	208.38	224.97	98.04	173.85	132.44	31.0	68.07	113.56	101.54	19.97	76.71	128.79	55.49	187.71	37.85	36.53	96.01	158.79	23.25	115.16	199.85	61.68	197.09	55.89	191.67	198.47	123.5	387.02	85.22	429.54	28.24	55.49	137.14	183.82	155.5	106.63	358.54	164.42	320.8	107.38	27.44	9.85	190.34	262.2	246.28	113.56	96.68	163.28	40.64	27.25	18.03	40.36	51.35
LRTOMT	49.21	318.57	493.56	371.22	808.0	2193.99	454.09	563.18	559.28	90.77	642.59	921.88	1059.11	583.07	703.28	738.29	129.69	397.93	656.11	575.03	156.59	473.41	764.36	532.74	796.86	275.28	303.44	547.75	463.65	115.97	674.59	1059.11	603.67	723.08	279.14	819.3	830.75	563.18	1745.2	186.4	1467.37	228.13	511.0	532.74	961.07	723.08	713.11	1709.26	842.36	1216.75	620.67	470.14	128.79	656.11	1359.57	1175.27	563.18	387.02	642.59	395.18	199.85	117.6	320.8	190.34
LYPD6B	0.0	0.33	25.72	9.78	201.25	2018.8	293.07	299.25	154.42	0.79	178.77	830.75	185.11	348.71	156.59	108.14	2.86	64.8	158.79	120.94	5.11	51.71	444.72	52.82	275.28	316.37	0.0	149.12	161.02	43.32	285.03	153.34	118.43	40.36	61.25	277.2	93.35	511.0	595.34	20.56	1757.34	7.28	16.51	151.22	769.69	37.05	366.09	1857.6	201.25	2720.15	46.18	13.83	14.89	825.0	189.02	521.76	173.85	409.15	177.53	33.54	92.7	44.89	1.85	7.63
MAGIX	0.0	0.14	92.05	253.23	208.38	884.29	141.02	201.25	397.93	52.08	514.56	271.48	571.05	295.11	275.28	368.65	40.64	193.01	221.86	246.28	102.97	376.41	273.37	389.72	316.37	111.99	47.17	124.37	256.78	90.14	152.28	500.46	307.69	262.2	234.57	376.41	547.75	82.87	769.69	110.43	981.29	205.5	195.72	376.41	490.14	307.69	454.09	638.15	303.44	688.78	293.07	329.84	48.52	195.72	463.65	376.41	293.07	253.23	356.05	155.5	54.33	33.3	153.34	31.0
MAPK10	0.0	0.37	567.1	94.67	674.59	2895.31	599.49	638.15	327.56	14.35	733.19	536.45	1369.04	532.74	684.02	638.15	171.45	111.99	409.15	287.01	57.49	312.0	1350.18	132.44	769.69	143.01	181.28	361.04	599.49	101.54	463.65	769.69	348.71	341.51	147.06	961.07	733.19	412.0	1769.57	65.72	2520.38	191.67	193.01	708.18	1806.78	934.76	1143.1	1757.34	902.89	2047.0	255.0	215.77	2.73	1259.69	866.07	2193.99	277.2	98.73	848.22	105.15	39.5	204.07	414.87	100.13
MKS1	0.0	0.0	271.48	231.32	363.56	733.19	242.88	353.59	297.17	102.25	381.68	521.76	503.95	441.64	454.09	336.79	71.0	165.57	406.31	336.79	148.09	339.14	426.57	264.03	466.88	127.89	197.09	371.22	351.14	96.01	476.71	490.14	346.29	417.77	215.77	361.04	316.37	320.8	486.75	163.28	595.34	253.23	279.14	281.09	368.65	420.68	361.04	563.18	432.53	514.56	336.79	244.57	170.25	490.14	583.07	540.19	316.37	301.33	379.04	212.78	206.94	29.48	177.53	94.67
MORN4	0.0	0.25	87.03	157.68	76.17	389.72	81.14	189.02	202.66	28.65	176.29	148.09	201.25	146.03	217.27	262.2	50.63	61.25	127.0	88.88	43.32	220.32	211.31	148.09	343.89	41.81	128.79	202.66	170.25	72.52	142.01	332.14	123.5	220.32	161.02	301.33	146.03	164.42	206.94	67.12	463.65	122.64	218.79	98.73	159.9	206.94	285.03	120.94	279.14	417.77	140.04	209.84	81.14	232.94	253.23	156.59	189.02	148.09	120.1	231.32	153.34	33.06	129.69	33.78
MPV17L	0.0	0.14	5.54	52.82	12.27	182.55	63.45	19.68	46.84	4.43	44.57	42.41	138.1	12.45	27.84	28.04	9.13	15.45	21.01	21.63	18.56	51.71	55.89	38.95	92.05	41.22	20.86	57.89	47.84	23.93	17.25	108.14	12.55	38.4	54.33	121.79	92.05	24.28	111.21	134.3	140.04	63.89	37.85	128.79	30.78	36.27	34.51	30.12	11.91	109.66	55.49	25.17	2.14	74.58	61.68	221.86	137.14	17.77	68.07	12.27	13.32	1.91	21.78	3.17
MRPL43	0.0	0.58	2367.9	1628.26	2075.59	3081.75	612.11	2468.49	3639.7	836.53	2468.49	2573.36	2178.83	2701.35	2520.38	3614.55	638.15	1175.27	1651.0	1991.0	1397.83	2255.7	3146.52	1467.37	2209.26	796.86	2004.85	2400.97	1936.53	1216.75	1594.73	2451.44	1870.53	2758.13	1540.37	2895.31	2367.9	2701.35	3955.48	1437.15	5006.93	2209.26	1447.15	2335.28	1617.0	2451.44	2502.97	1651.0	2351.53	3018.3	2209.26	2178.83	1447.15	2303.12	3190.46	1963.57	1769.57	3146.52	2193.99	1388.16	1769.57	529.06	1745.2	665.29
MRPS31	0.0	0.09	830.75	381.68	536.45	1331.57	312.0	514.56	629.35	211.31	660.68	743.43	674.59	656.11	571.05	620.67	118.43	246.28	450.94	748.61	318.57	429.54	808.0	447.82	743.43	281.09	228.13	460.44	607.87	305.55	507.46	612.11	361.04	607.87	379.04	514.56	620.67	551.56	872.1	285.03	1359.57	297.17	450.94	301.33	698.41	603.67	567.1	713.11	660.68	796.86	500.46	414.87	397.93	480.04	1015.93	728.11	532.74	660.68	543.96	466.88	379.04	186.4	454.09	138.1
N6AMT1	0.0	0.09	89.51	96.68	57.89	269.6	56.68	141.02	127.89	31.0	193.01	123.5	140.04	236.21	191.67	134.3	35.0	60.82	177.53	131.51	69.52	170.25	173.85	91.41	176.29	71.0	90.14	118.43	145.02	37.85	239.52	204.07	113.56	185.11	75.11	150.17	155.5	208.38	164.42	69.03	283.05	86.43	124.37	74.58	92.05	169.07	139.07	153.34	172.65	199.85	165.57	125.24	127.89	190.34	291.04	176.29	81.71	170.25	126.12	163.28	90.14	18.7	108.14	35.76
NEK1	0.0	0.27	128.79	90.14	98.04	336.79	130.6	159.9	100.13	23.93	147.06	180.02	175.07	246.28	180.02	98.04	84.04	82.29	137.14	159.9	35.5	121.79	180.02	75.64	180.02	79.45	131.51	119.26	183.82	42.11	215.77	118.43	105.89	151.22	75.64	157.68	129.69	154.42	151.22	40.07	267.73	59.55	120.1	101.54	251.48	123.5	138.1	277.2	283.05	217.27	101.54	115.16	43.94	180.02	289.02	241.19	104.42	96.68	97.36	55.49	60.82	93.35	115.97	41.52
NOVA1	0.0	0.38	37.32	33.06	69.52	220.32	36.01	17.9	5.92	23.08	9.78	59.97	49.21	107.38	229.72	15.68	29.27	19.68	24.28	120.94	0.52	24.81	64.8	8.0	31.45	0.33	11.3	336.79	98.73	10.31	128.79	66.65	73.54	61.68	8.19	34.75	29.7	5.73	132.44	13.22	151.22	15.45	31.0	14.03	106.63	56.28	44.57	144.01	171.45	94.67	24.63	6.31	20.56	217.27	175.07	36.01	17.64	22.26	11.38	6.89	31.9	28.45	26.28	42.11
NUDT7	0.0	0.06	371.22	135.24	246.28	791.35	97.36	241.19	387.02	14.56	346.29	301.33	384.34	199.85	204.07	473.41	40.07	77.25	172.65	229.72	88.26	320.8	536.45	205.5	529.06	24.28	121.79	323.03	275.28	120.94	145.02	579.04	301.33	325.29	137.14	320.8	400.71	262.2	483.38	40.36	738.29	195.72	172.65	150.17	251.48	353.59	312.0	389.72	267.73	525.39	356.05	260.38	94.67	285.03	336.79	503.95	232.94	183.82	343.89	68.55	109.66	42.41	242.88	31.67
OGN	0.0	0.09	435.55	77.79	830.75	3349.13	336.79	463.65	571.05	199.85	159.9	358.54	318.57	1313.23	1225.22	218.79	332.14	80.01	180.02	1397.83	48.87	49.56	607.87	171.45	921.88	633.73	738.29	2032.85	429.54	220.32	791.35	248.0	358.54	325.29	47.5	507.46	172.65	136.19	1119.56	314.17	2133.97	181.28	1378.57	353.59	2224.63	454.09	563.18	187.71	1304.15	417.77	323.03	43.94	15.34	1167.14	336.79	848.22	688.78	78.89	68.07	61.25	56.28	262.2	105.15	33.54
P4HTM	0.0	0.72	928.3	1001.93	1487.87	5711.87	941.27	1417.35	1199.98	423.61	1350.18	1721.16	2997.45	1313.23	2555.58	1721.16	204.07	684.02	1639.59	1175.27	229.72	1286.18	1519.15	718.08	2468.49	473.41	813.63	728.11	525.39	651.58	1617.0	2018.8	1417.35	1417.35	780.44	1407.55	1745.2	1167.14	4937.99	269.6	5076.84	353.59	884.29	2351.53	2209.26	1167.14	1991.0	2555.58	2682.69	3018.3	1447.15	884.29	161.02	2367.9	2720.15	2061.24	665.29	974.5	1561.89	1030.12	642.59	191.67	616.37	373.81
PERP	2875.3	802.41	1350.18	348.71	2255.7	7280.4	854.13	454.09	2104.58	176.29	2104.58	1350.18	1685.71	1350.18	2148.82	1617.0	629.35	1388.16	591.22	1104.13	301.33	1073.91	1508.65	2240.11	802.41	1073.91	476.71	825.0	2319.15	1044.52	796.86	2193.99	3235.01	1487.87	412.0	1605.83	1769.57	1407.55	5594.3	563.18	6516.03	780.44	339.14	1199.98	5831.91	1199.98	1628.26	11584.24	1757.34	6887.62	1844.76	813.63	624.99	934.76	2758.13	6381.92	1233.75	802.41	1662.49	830.75	239.52	947.83	1427.22	967.76
PIN1	0.0	0.75	1487.87	1896.65	1819.35	3690.52	785.88	2104.58	2573.36	1151.06	1721.16	2271.4	2417.67	2047.0	2047.0	3060.45	432.53	981.29	988.12	2018.8	1051.79	2384.37	1909.85	1733.13	2417.67	836.53	1233.75	1844.76	954.43	1104.13	1427.22	2104.58	1369.04	1697.45	1806.78	1617.0	1963.57	2090.03	3146.52	974.5	4123.49	1757.34	1628.26	2287.2	1551.09	2255.7	2451.44	1697.45	1617.0	2224.63	1991.0	1806.78	780.44	1551.09	2739.08	1819.35	2451.44	1594.73	1923.14	1674.06	1498.22	414.87	1313.23	583.07
PINLYP	0.0	0.56	217.27	199.85	209.84	1639.59	86.43	366.09	353.59	104.42	147.06	353.59	208.38	551.56	490.14	728.11	34.51	85.22	80.01	269.6	73.03	414.87	514.56	218.79	466.88	11.55	73.03	82.87	172.65	71.5	426.57	368.65	305.55	142.01	339.14	234.57	283.05	470.14	921.88	20.41	1001.93	158.79	202.66	135.24	435.55	718.08	165.57	343.89	473.41	521.76	400.71	669.92	57.08	273.37	483.38	265.87	457.25	125.24	191.67	273.37	253.23	124.37	109.66	137.14
PLEKHS1	0.0	0.0	381.68	135.24	1498.22	4937.99	1286.18	1104.13	651.58	6.41	547.75	1628.26	2758.13	1051.79	1304.15	318.57	19.39	291.04	1199.98	1322.37	15.56	189.02	507.46	543.96	1259.69	97.36	71.5	743.43	2351.53	6.41	224.97	981.29	599.49	473.41	138.1	607.87	708.18	387.02	4095.0	67.12	5255.91	46.5	309.83	384.34	1781.89	703.28	1175.27	2209.26	1313.23	4419.52	366.09	291.04	5.54	1605.83	1936.53	3639.7	1001.93	764.36	988.12	102.97	48.52	10.63	48.87	52.08
PTCH2	0.0	0.33	31.0	23.42	14.14	90.14	17.9	37.32	23.42	10.08	17.51	36.79	40.93	36.01	48.18	24.63	4.54	15.91	17.64	38.12	14.78	10.08	29.7	13.93	61.25	7.69	10.88	29.91	15.8	4.74	19.11	28.65	22.1	22.26	7.4	28.04	23.76	20.86	44.25	8.06	55.49	7.4	22.59	34.02	32.13	25.72	38.12	19.25	50.63	40.07	29.27	10.79	6.16	33.78	32.82	24.81	13.32	23.25	25.91	17.51	6.06	8.19	5.23	8.71
PTPRN2	0.0	0.21	346.29	38.4	438.59	4038.61	153.34	339.14	412.0	12.27	507.46	334.46	848.22	536.45	339.14	1066.48	21.01	69.03	59.97	291.04	24.63	215.77	1583.71	153.34	567.1	163.28	171.45	262.2	153.34	30.34	163.28	400.71	173.85	115.16	75.11	698.41	295.11	307.69	928.3	30.78	1628.26	58.3	82.29	123.5	802.41	209.84	351.14	902.89	244.57	1225.22	229.72	139.07	30.56	221.86	748.61	1427.22	242.88	114.36	301.33	34.26	96.68	37.85	93.35	9.48
RAB28	0.0	0.53	264.03	297.17	486.75	954.43	473.41	529.06	503.95	297.17	334.46	518.15	348.71	647.07	525.39	651.58	289.02	356.05	392.44	490.14	199.85	532.74	728.11	256.78	381.68	376.41	246.28	518.15	559.28	384.34	397.93	473.41	368.65	559.28	281.09	480.04	490.14	571.05	616.37	265.87	796.86	309.83	293.07	447.82	497.0	435.55	493.56	688.78	579.04	848.22	412.0	392.44	277.2	688.78	665.29	438.59	305.55	392.44	476.71	397.93	285.03	273.37	571.05	199.85
RBBP8NL	0.0	0.0	22.1	3.86	9.48	44.25	2.41	18.56	17.77	2.41	43.94	5.23	40.93	11.3	9.2	37.85	0.0	2.41	0.0	19.82	2.36	15.11	18.43	13.22	50.27	0.0	3.92	11.64	9.34	0.0	17.64	35.25	29.48	8.19	8.71	23.08	29.48	10.24	32.59	4.46	53.19	3.08	14.03	13.83	34.02	22.1	19.97	6.84	13.22	30.12	14.89	12.27	0.0	17.64	26.28	36.01	5.96	5.68	19.53	5.15	3.08	0.0	7.51	0.0
RHEBL1	0.0	0.11	69.52	36.79	59.97	191.67	55.1	66.65	69.03	6.21	49.91	65.26	96.68	68.07	78.34	76.17	22.59	21.01	71.5	94.67	19.39	43.94	75.64	57.89	86.43	9.2	30.78	40.93	24.28	17.9	66.18	42.71	34.02	50.63	35.25	78.34	47.17	55.49	96.01	22.26	145.02	18.43	50.98	30.12	107.38	68.55	41.52	171.45	92.7	47.17	59.97	40.36	16.75	87.65	73.54	73.03	40.07	49.56	43.63	46.5	44.89	42.11	41.81	12.27
RP11-723O4.6	0.0	0.05	11.21	33.06	41.81	255.0	50.27	47.5	24.81	1.1	68.07	73.54	115.97	43.63	98.04	87.03	4.82	15.22	17.25	19.25	13.03	29.06	74.58	14.03	28.65	3.03	7.82	67.12	30.12	0.92	29.27	115.97	39.5	86.43	18.16	108.14	15.8	27.05	120.94	8.45	199.85	4.66	29.27	18.84	105.15	34.02	63.45	126.12	80.01	158.79	32.82	24.63	15.11	138.1	96.68	94.01	17.9	37.59	33.3	14.56	18.43	9.78	3.03	11.55
RSPH10B2	0.0	0.0	37.05	82.29	150.17	540.19	172.65	126.12	57.49	5.82	88.26	199.85	242.88	100.83	176.29	131.51	5.45	94.67	115.16	87.03	8.0	57.49	128.79	78.89	122.64	56.28	32.13	65.26	120.94	1.97	127.89	142.01	120.1	223.41	61.68	157.68	115.16	65.72	309.83	61.68	583.07	24.63	40.36	46.5	177.53	172.65	113.56	329.84	164.42	228.13	145.02	24.63	5.63	152.28	148.09	303.44	98.73	103.69	80.57	63.89	21.78	11.55	30.12	45.21
SCGB1A1	0.0	0.0	1273174.62	489177.0	3336720.86	845824.19	2581895.97	1063212.58	1813064.98	536.45	1212874.47	706337.4	2141216.62	731246.37	3178687.03	2343119.96	65082.31	2068278.89	1739208.14	834179.46	6840.04	1131651.83	1041331.96	711250.37	3156730.23	509950.32	845824.19	985160.01	971597.0	183.82	2691538.19	3178687.03	794671.01	1556634.79	472513.8	3091765.64	1229805.58	828417.36	3968052.37	1155430.26	3134925.09	524287.0	1290947.48	1212874.47	2392353.91	998912.34	2082664.91	2825352.59	1246973.04	2691538.19	1943195.01	482442.34	111755.56	998912.34	1255646.43	3070409.25	811368.76	938500.81	1374046.07	668235.84	41763.8	4802.93	589853.66	284880.02
SEPT5	0.0	0.91	915.51	229.72	356.05	2816.11	285.03	813.63	312.0	118.43	275.28	470.14	775.05	295.11	967.76	629.35	281.09	154.42	660.68	316.37	28.65	269.6	665.29	334.46	547.75	139.07	571.05	373.81	281.09	195.72	1044.52	470.14	379.04	525.39	327.56	599.49	392.44	595.34	1037.29	38.95	1963.57	191.67	660.68	309.83	1685.71	769.69	1322.37	395.18	1175.27	1340.84	435.55	314.17	144.01	543.96	928.3	764.36	178.77	271.48	244.57	500.46	624.99	224.97	228.13	89.51
SLC25A14	0.0	0.25	229.72	211.31	229.72	693.58	255.0	412.0	327.56	113.56	287.01	334.46	567.1	486.75	400.71	395.18	92.05	244.57	323.03	361.04	193.01	368.65	417.77	206.94	503.95	295.11	212.78	297.17	334.46	129.69	275.28	392.44	209.84	400.71	218.79	329.84	397.93	262.2	583.07	279.14	743.43	218.79	341.51	348.71	309.83	379.04	387.02	325.29	316.37	483.38	366.09	220.32	141.02	392.44	507.46	490.14	320.8	242.88	414.87	242.88	151.22	87.03	348.71	82.87
SLC52A1	0.0	0.0	15.91	34.51	84.63	769.69	34.26	82.87	32.82	2.36	68.55	194.36	169.07	116.78	83.45	75.11	1.79	13.32	107.38	66.65	2.27	62.56	68.07	57.08	229.72	1.75	11.13	48.87	54.72	7.22	69.03	138.1	50.27	79.45	26.86	115.16	81.14	30.34	341.51	6.16	343.89	15.45	34.51	63.89	118.43	99.43	133.36	146.03	84.63	287.01	71.5	29.27	5.5	105.15	117.6	191.67	48.87	29.91	80.01	14.78	10.96	1.71	11.21	0.0
SMIM22	0.0	0.42	1697.45	5791.62	15715.58	42937.97	2835.7	6164.49	6607.01	567.1	5872.48	8247.98	18560.17	6516.03	12329.98	7857.29	111.99	7280.4	12853.63	3325.99	1151.06	6164.49	3491.39	9876.98	10084.54	363.56	518.15	1709.26	2739.08	1529.73	4358.66	13968.57	7857.29	6471.02	5076.84	5954.47	8134.41	842.36	20170.07	1551.09	51775.15	599.49	3982.99	5006.93	21768.19	8191.0	11909.94	36357.37	7230.1	21320.18	4972.34	2335.28	457.25	7433.4	13681.08	9088.59	9808.75	4575.41	8421.31	4419.52	314.17	17.13	921.88	1304.15
SMIM5	0.0	0.39	111.21	96.01	114.36	1561.89	260.38	412.0	65.72	111.99	154.42	547.75	264.03	136.19	348.71	281.09	52.45	107.38	271.48	129.69	57.08	215.77	314.17	77.79	332.14	155.5	47.84	98.73	70.51	74.58	260.38	260.38	183.82	169.07	47.84	212.78	141.02	70.01	896.64	85.82	1487.87	13.93	90.14	255.0	309.83	146.03	181.28	343.89	532.74	351.14	226.54	52.82	12.55	366.09	450.94	435.55	88.88	116.78	181.28	107.38	80.01	22.59	58.71	43.63
SMYD2	0.0	0.25	819.3	830.75	866.07	2573.36	547.75	1051.79	1135.2	239.52	1467.37	928.3	1259.69	1259.69	1088.92	1417.35	351.14	684.02	466.88	1216.75	361.04	1001.93	988.12	1073.91	1277.29	684.02	543.96	718.08	1417.35	353.59	703.28	1540.37	866.07	1250.98	759.08	1519.15	1167.14	967.76	1832.01	444.72	2119.22	713.11	915.51	1066.48	1628.26	1322.37	1250.98	1883.54	830.75	1605.83	1225.22	1151.06	246.28	1199.98	1651.0	1896.65	915.51	669.92	967.76	693.58	403.5	518.15	954.43	381.68
SPATA33	0.0	0.23	170.25	208.38	237.86	1008.9	194.36	327.56	232.94	88.88	236.21	387.02	567.1	204.07	307.69	339.14	89.51	202.66	397.93	293.07	108.14	214.27	244.57	237.86	287.01	60.82	120.1	273.37	187.71	57.49	283.05	348.71	182.55	336.79	195.72	348.71	351.14	255.0	616.37	205.5	603.67	87.03	314.17	211.31	301.33	371.22	277.2	309.83	305.55	483.38	384.34	198.47	84.63	265.87	381.68	417.77	246.28	273.37	262.2	177.53	145.02	169.07	112.77	115.97
STPG1	0.0	0.0	299.25	253.23	309.83	954.43	191.67	256.78	255.0	102.97	309.83	346.29	403.5	353.59	260.38	403.5	78.34	248.0	209.84	269.6	66.18	275.28	343.89	273.37	312.0	78.34	108.14	180.02	251.48	115.97	258.57	356.05	273.37	371.22	249.73	363.56	392.44	275.28	647.07	148.09	638.15	149.12	237.86	312.0	381.68	379.04	368.65	518.15	309.83	371.22	279.14	312.0	119.26	473.41	532.74	463.65	273.37	277.2	267.73	262.2	190.34	49.56	231.32	74.06
TCTN1	0.0	0.39	813.63	723.08	1233.75	4010.71	1175.27	1135.2	708.18	275.28	896.64	1359.57	2193.99	1295.13	1909.85	1268.46	320.8	708.18	1208.34	791.35	215.77	836.53	1295.13	713.11	1745.2	497.0	403.5	928.3	988.12	275.28	1331.57	1498.22	780.44	1286.18	718.08	1572.76	1378.57	860.08	3060.45	500.46	2417.67	379.04	785.88	836.53	2351.53	1437.15	1313.23	2255.7	1417.35	2335.28	872.1	665.29	195.72	1519.15	1733.13	2104.58	780.44	583.07	1073.91	620.67	334.46	166.73	540.19	264.03
TCTN2	105.89	246.28	409.15	178.77	555.41	1023.0	303.44	334.46	341.51	84.63	403.5	551.56	503.95	473.41	620.67	559.28	154.42	191.67	412.0	303.44	48.18	325.29	529.06	325.29	400.71	176.29	361.04	403.5	291.04	116.78	420.68	426.57	387.02	454.09	204.07	387.02	559.28	253.23	780.44	193.01	854.13	148.09	285.03	316.37	547.75	336.79	384.34	660.68	651.58	743.43	314.17	318.57	176.29	674.59	429.54	759.08	305.55	214.27	420.68	204.07	177.53	100.13	271.48	159.9
