	TCGA.A7.A426.01A.22R.A24H.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.WRHU.0326.SM.3MJFY	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13OVG.1426.SM.5K7VP	TCGA.44.6147.01A.11R.1755.07	TCGA.93.A4JP.01A.11R.A24X.07	TCGA.49.AARR.01A.11R.A41B.07	GTEX.X5EB.0426.SM.46MVY	GTEX.XMD2.1026.SM.4WWE8	GTEX.ZE7O.0826.SM.57WCP	TCGA.98.A53H.01A.12R.A262.07	TCGA.56.8628.01A.11R.2403.07
TMEM178A	91.41	764.36	59.13	55.49	92.7	154.42	29.27	113.56	50.63	47.84	108.9	41.22	56.28	91.41	206.94	49.21	71.5	87.65	75.11	81.71	40.07	52.45	148.09	19.68	97.36	532.74	514.56	28.86	5.41	36.53	152.28	85.22	94.01	38.67	86.43	226.54	279.14	167.9	525.39	1208.34	190.34	153.34
TMEM63B	769.69	842.36	244.57	316.37	476.71	323.03	297.17	264.03	283.05	309.83	417.77	325.29	341.51	314.17	381.68	323.03	325.29	438.59	287.01	392.44	320.8	314.17	555.41	185.11	480.04	483.38	486.75	314.17	289.02	248.0	193.01	281.09	612.11	647.07	1088.92	1529.73	1001.93	1242.34	854.13	1883.54	872.1	1447.15
TNFAIP8L1	248.0	279.14	185.11	151.22	204.07	152.28	126.12	96.01	76.71	87.03	125.24	120.1	142.01	106.63	157.68	131.51	136.19	76.17	119.26	177.53	149.12	139.07	295.11	119.26	113.56	149.12	140.04	81.14	55.1	137.14	153.34	166.73	215.77	139.07	473.41	242.88	1313.23	665.29	332.14	698.41	825.0	289.02
TOR2A	599.49	466.88	189.02	144.01	275.28	303.44	110.43	84.04	106.63	140.04	242.88	113.56	151.22	118.43	141.02	171.45	133.36	136.19	155.5	159.9	131.51	108.14	186.4	121.79	275.28	128.79	150.17	173.85	191.67	199.85	140.04	336.79	397.93	447.82	555.41	435.55	412.0	567.1	323.03	387.02	450.94	361.04
TP53I11	2434.5	4481.23	860.08	947.83	1540.37	1819.35	547.75	967.76	819.3	665.29	1769.57	748.61	1259.69	890.44	1268.46	1457.23	830.75	1572.76	733.19	995.0	733.19	884.29	1277.29	830.75	1437.15	1023.0	1447.15	1651.0	896.64	860.08	205.5	2240.11	3395.89	3847.29	1540.37	1977.24	1437.15	1378.57	1350.18	1143.1	1208.34	1397.83
TP53INP1	514.56	825.0	226.54	279.14	295.11	409.15	262.2	312.0	312.0	176.29	265.87	248.0	279.14	361.04	400.71	223.41	318.57	583.07	575.03	373.81	343.89	305.55	346.29	129.69	265.87	583.07	358.54	120.94	111.99	177.53	563.18	137.14	406.31	312.0	1467.37	392.44	775.05	607.87	733.19	392.44	571.05	563.18
TRIM3	1191.69	848.22	223.41	231.32	316.37	521.76	187.71	171.45	264.03	218.79	287.01	212.78	289.02	236.21	316.37	283.05	234.57	314.17	206.94	314.17	209.84	265.87	258.57	98.04	441.64	303.44	438.59	232.94	102.25	63.89	138.1	206.94	497.0	480.04	480.04	902.89	656.11	555.41	555.41	616.37	483.38	289.02
TRIM7	77.25	693.58	50.98	44.25	72.52	59.97	36.53	70.01	63.45	62.56	24.46	63.0	76.71	62.12	26.67	71.5	43.02	69.03	40.07	58.71	30.78	71.0	38.67	21.01	45.85	22.43	105.89	97.36	67.59	23.08	4.5	144.01	114.36	177.53	40.07	71.5	81.14	157.68	607.87	70.51	339.14	73.54
TSTA3	4802.93	2351.53	909.17	688.78	1388.16	1183.45	674.59	470.14	525.39	629.35	1216.75	759.08	575.03	769.69	693.58	743.43	599.49	1104.13	669.92	902.89	559.28	642.59	420.68	961.07	1127.35	1369.04	1023.0	555.41	890.44	878.17	1963.57	1250.98	1350.18	1857.6	3257.52	2018.8	2148.82	2816.11	2758.13	1208.34	2032.85	3081.75
TXNRD2	612.11	563.18	253.23	224.97	514.56	412.0	262.2	159.9	190.34	293.07	460.44	211.31	297.17	279.14	325.29	301.33	287.01	334.46	199.85	236.21	214.27	256.78	193.01	169.07	376.41	269.6	332.14	237.86	111.99	198.47	157.68	214.27	153.34	334.46	633.73	693.58	497.0	1111.82	379.04	808.0	463.65	555.41
VSIG8	2.66	2.56	0.0	0.0	1.22	1.51	0.51	0.89	0.0	0.0	3.79	0.0	0.0	0.96	0.48	1.2	0.91	0.85	0.53	0.46	0.0	1.31	2.66	0.48	2.86	1.93	2.1	1.0	0.04	0.0	0.0	0.01	1.25	0.89	8.78	5.5	43.02	18.29	7.46	43.94	18.43	5.87
VSTM2L	57.08	175.07	14.78	5.02	58.71	40.36	1.75	2.05	17.51	8.19	4.66	5.54	14.03	11.38	3.26	11.47	10.24	12.27	1.81	9.56	0.91	0.45	6.26	8.19	15.0	43.32	11.55	3.47	28.65	5.28	1.45	1.16	2.23	12.27	2875.3	1721.16	1369.04	3982.99	239.52	4543.8	733.19	155.5
WBSCR27	110.43	334.46	33.3	25.35	88.88	78.89	20.86	9.27	38.4	16.88	124.37	55.89	24.81	40.07	25.54	44.89	77.25	22.26	70.01	35.0	41.22	104.42	26.86	83.45	17.9	66.18	78.89	71.0	3.5	14.14	3.03	106.63	45.53	117.6	323.03	71.0	647.07	255.0	248.0	1233.75	116.78	71.5
WRAP73	599.49	483.38	309.83	297.17	332.14	366.09	309.83	204.07	241.19	236.21	473.41	246.28	341.51	309.83	318.57	295.11	223.41	258.57	289.02	327.56	303.44	279.14	420.68	212.78	373.81	307.69	414.87	397.93	249.73	197.09	191.67	490.14	262.2	346.29	473.41	563.18	409.15	733.19	500.46	457.25	536.45	647.07
XK	3.89	149.12	1.43	3.66	3.96	15.34	2.51	1.19	1.57	1.95	16.75	1.19	2.29	3.35	9.56	3.89	3.89	14.35	9.63	4.5	3.32	5.41	13.62	14.24	0.05	8.78	81.14	2.94	0.43	5.11	1.08	5.54	15.45	47.84	69.03	24.46	20.56	34.51	99.43	47.17	18.43	12.55
ZNF599	262.2	180.02	96.01	101.54	156.59	134.3	96.68	84.04	85.82	82.87	98.04	73.03	81.71	111.21	112.77	76.71	84.63	92.7	137.14	115.97	81.14	76.71	92.05	77.25	140.04	100.13	199.85	92.7	30.34	53.95	76.17	92.7	129.69	81.71	139.07	189.02	277.2	198.47	244.57	518.15	163.28	163.28
ZNF707	642.59	253.23	103.69	85.22	182.55	185.11	87.65	77.79	55.89	95.34	236.21	93.35	149.12	131.51	145.02	183.82	114.36	228.13	110.43	110.43	56.68	128.79	120.94	107.38	143.01	153.34	231.32	114.36	121.79	82.29	81.71	121.79	135.24	120.1	420.68	454.09	237.86	435.55	275.28	215.77	262.2	441.64
