	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
ERLIN2	493.56	269.6	450.94	616.37	403.5	595.34	381.68	665.29	480.04	432.53	358.54	567.1	454.09	490.14	473.41	368.65	674.59	575.03	518.15	379.04	438.59	563.18	341.51	587.13	723.08	753.83	759.08	476.71	669.92	325.29	514.56	723.08	703.28	470.14	441.64	387.02	961.07	1135.2	1388.16	1583.71	981.29	1044.52	1066.48	1572.76	1259.69	723.08	1359.57	748.61	854.13	1304.15	1030.12	1167.14	748.61	1051.79	848.22	915.51	1081.39	1015.93	1008.9	909.17	1369.04	1322.37	1015.93	909.17	1286.18	1088.92	1159.07	1447.15	896.64	1208.34	1191.69	1407.55	1359.57	890.44	1233.75	1044.52	1832.01	1104.13	802.41	1331.57	921.88	1369.04	854.13	896.64	967.76	1183.45	860.08	954.43	974.5	1081.39	1313.23	693.58	1030.12	947.83	1277.29	988.12	954.43	860.08	743.43	934.76	1651.0	1037.29	1030.12	1183.45
EVC	104.42	87.03	120.1	136.19	100.83	132.44	106.63	173.85	133.36	89.51	105.89	123.5	102.25	99.43	101.54	90.77	58.71	63.0	78.34	73.54	108.14	105.89	101.54	47.84	76.17	100.83	136.19	75.64	135.24	87.03	53.95	95.34	137.14	107.38	65.26	76.17	195.72	346.29	356.05	341.51	202.66	165.57	194.36	334.46	244.57	72.52	323.03	201.25	312.0	255.0	149.12	249.73	251.48	379.04	139.07	236.21	312.0	147.06	325.29	140.04	450.94	295.11	193.01	175.07	346.29	543.96	387.02	503.95	316.37	493.56	265.87	409.15	316.37	157.68	379.04	220.32	363.56	463.65	111.21	441.64	229.72	412.0	265.87	108.9	368.65	134.3	267.73	195.72	260.38	241.19	190.34	104.42	142.01	187.71	232.94	194.36	231.32	167.9	262.2	303.44	353.59	190.34	351.14	320.8
FAM13B	171.45	59.55	153.34	237.86	113.56	187.71	191.67	205.5	223.41	195.72	133.36	156.59	173.85	181.28	164.42	165.57	128.79	220.32	202.66	146.03	154.42	187.71	153.34	117.6	226.54	215.77	215.77	198.47	249.73	119.26	159.9	181.28	241.19	193.01	152.28	146.03	432.53	718.08	395.18	466.88	373.81	361.04	323.03	318.57	381.68	348.71	403.5	281.09	289.02	493.56	269.6	429.54	356.05	343.89	224.97	228.13	521.76	336.79	291.04	202.66	409.15	289.02	353.59	361.04	435.55	343.89	536.45	486.75	323.03	343.89	373.81	277.2	463.65	299.25	438.59	295.11	674.59	575.03	202.66	327.56	351.14	490.14	555.41	242.88	503.95	392.44	339.14	301.33	417.77	447.82	314.17	194.36	325.29	232.94	373.81	414.87	327.56	229.72	273.37	373.81	376.41	307.69	532.74	353.59
FAM188B	142.01	119.26	65.26	180.02	75.11	123.5	124.37	136.19	129.69	140.04	131.51	117.6	135.24	90.14	156.59	104.42	119.26	141.02	115.97	111.99	172.65	175.07	177.53	105.15	133.36	146.03	78.34	140.04	195.72	77.79	166.73	156.59	117.6	129.69	103.69	205.5	271.48	309.83	241.19	152.28	241.19	171.45	121.79	273.37	231.32	138.1	202.66	137.14	251.48	289.02	130.6	248.0	136.19	190.34	131.51	237.86	159.9	134.3	264.03	195.72	397.93	309.83	208.38	251.48	232.94	220.32	279.14	351.14	147.06	258.57	217.27	244.57	242.88	133.36	218.79	148.09	209.84	262.2	146.03	305.55	223.41	234.57	173.85	88.26	162.14	155.5	165.57	193.01	229.72	204.07	129.69	153.34	120.94	253.23	255.0	149.12	303.44	181.28	197.09	249.73	293.07	197.09	281.09	295.11
FAM220A	217.27	190.34	195.72	244.57	237.86	183.82	169.07	260.38	244.57	212.78	193.01	236.21	226.54	182.55	246.28	197.09	258.57	251.48	323.03	187.71	199.85	229.72	183.82	262.2	228.13	283.05	234.57	199.85	264.03	161.02	255.0	256.78	232.94	242.88	199.85	312.0	400.71	514.56	543.96	638.15	368.65	343.89	297.17	514.56	358.54	242.88	497.0	351.14	400.71	595.34	366.09	320.8	503.95	518.15	279.14	336.79	575.03	435.55	341.51	241.19	532.74	387.02	343.89	309.83	376.41	389.72	429.54	450.94	307.69	381.68	476.71	417.77	432.53	312.0	497.0	289.02	480.04	457.25	239.52	389.72	325.29	532.74	466.88	332.14	409.15	312.0	323.03	307.69	406.31	295.11	387.02	289.02	376.41	353.59	293.07	325.29	376.41	366.09	327.56	450.94	463.65	358.54	563.18	490.14
FAM63B	98.73	31.45	61.68	102.25	72.01	141.02	81.71	104.42	141.02	99.43	46.18	82.87	75.11	58.71	106.63	72.52	52.82	82.87	85.82	67.59	85.22	102.97	77.79	87.03	76.71	114.36	170.25	103.69	114.36	68.55	63.89	114.36	138.1	80.57	89.51	43.32	214.27	260.38	194.36	295.11	195.72	123.5	166.73	244.57	141.02	135.24	336.79	75.64	214.27	329.84	115.16	183.82	194.36	201.25	140.04	155.5	279.14	228.13	131.51	101.54	242.88	186.4	217.27	130.6	215.77	194.36	241.19	283.05	166.73	214.27	180.02	229.72	180.02	138.1	239.52	129.69	316.37	291.04	120.1	234.57	133.36	255.0	299.25	145.02	234.57	127.89	148.09	133.36	190.34	158.79	147.06	120.94	172.65	100.13	176.29	152.28	206.94	183.82	204.07	157.68	242.88	141.02	220.32	217.27
FBXO48	15.8	6.52	11.3	20.26	10.63	16.03	22.59	13.03	21.94	17.25	10.79	15.68	13.83	23.59	19.53	17.25	17.25	21.63	15.45	10.71	11.3	20.71	9.56	8.71	13.03	12.09	12.27	15.91	17.51	13.22	12.93	19.25	18.56	14.67	13.42	11.13	29.48	35.76	22.43	30.34	23.76	21.63	24.63	18.97	28.45	20.41	25.17	16.63	28.24	43.63	17.13	24.11	33.78	27.64	35.5	17.25	27.44	20.86	21.63	22.1	28.86	20.26	29.06	25.91	33.06	30.12	29.06	28.86	19.82	23.59	27.05	32.36	25.17	21.01	38.95	18.56	27.84	40.07	15.8	24.99	19.53	42.71	28.86	25.35	23.08	25.35	25.91	18.43	20.56	18.84	23.76	17.77	28.24	17.64	15.45	20.41	18.7	21.47	26.28	30.12	17.9	16.51	24.99	32.82
FCF1	507.46	341.51	555.41	595.34	395.18	555.41	423.61	708.18	599.49	454.09	470.14	698.41	529.06	423.61	438.59	281.09	463.65	414.87	599.49	432.53	483.38	607.87	460.44	435.55	514.56	638.15	679.29	460.44	669.92	356.05	460.44	703.28	660.68	486.75	457.25	426.57	1286.18	1208.34	890.44	1295.13	1159.07	1135.2	947.83	1259.69	1378.57	785.88	1233.75	769.69	1096.5	1950.0	1111.82	1250.98	860.08	679.29	921.88	854.13	967.76	1044.52	842.36	921.88	1143.1	872.1	1001.93	1104.13	1081.39	819.3	1127.35	1143.1	819.3	967.76	1119.56	1059.11	1295.13	974.5	1119.56	1175.27	1628.26	1183.45	660.68	848.22	1135.2	878.17	1104.13	813.63	1008.9	921.88	995.0	1001.93	974.5	1159.07	928.3	713.11	967.76	915.51	1259.69	1104.13	981.29	669.92	819.3	796.86	1199.98	1183.45	909.17	988.12
GABPA	229.72	72.01	249.73	283.05	156.59	291.04	236.21	287.01	267.73	273.37	125.24	224.97	193.01	178.77	264.03	209.84	215.77	269.6	256.78	205.5	212.78	277.2	135.24	191.67	215.77	251.48	309.83	297.17	299.25	183.82	307.69	309.83	303.44	236.21	229.72	146.03	629.35	563.18	341.51	624.99	500.46	323.03	371.22	441.64	432.53	329.84	476.71	231.32	400.71	866.07	329.84	403.5	423.61	381.68	309.83	368.65	514.56	480.04	293.07	262.2	447.82	376.41	435.55	323.03	435.55	301.33	540.19	444.72	246.28	314.17	435.55	376.41	490.14	406.31	466.88	343.89	780.44	429.54	271.48	389.72	341.51	507.46	612.11	309.83	463.65	293.07	366.09	334.46	414.87	417.77	486.75	258.57	329.84	343.89	447.82	346.29	438.59	262.2	320.8	373.81	476.71	392.44	470.14	500.46
GALC	232.94	141.02	361.04	293.07	176.29	246.28	275.28	392.44	299.25	248.0	195.72	323.03	237.86	271.48	236.21	199.85	208.38	226.54	339.14	199.85	246.28	327.56	194.36	371.22	299.25	336.79	343.89	283.05	339.14	167.9	209.84	303.44	351.14	241.19	234.57	244.57	571.05	579.04	559.28	647.07	493.56	358.54	417.77	633.73	466.88	395.18	674.59	363.56	480.04	665.29	387.02	470.14	343.89	540.19	341.51	480.04	551.56	521.76	507.46	356.05	567.1	435.55	420.68	432.53	684.02	435.55	656.11	669.92	363.56	559.28	638.15	511.0	651.58	420.68	603.67	373.81	884.29	603.67	285.03	603.67	470.14	723.08	638.15	406.31	713.11	379.04	450.94	493.56	583.07	521.76	480.04	381.68	417.77	406.31	503.95	371.22	432.53	348.71	358.54	470.14	708.18	518.15	532.74	607.87
GCA	460.44	426.57	316.37	314.17	323.03	441.64	373.81	463.65	387.02	423.61	384.34	417.77	343.89	316.37	486.75	454.09	271.48	368.65	336.79	373.81	444.72	511.0	205.5	307.69	246.28	406.31	397.93	441.64	441.64	460.44	336.79	351.14	406.31	400.71	358.54	323.03	698.41	669.92	518.15	684.02	536.45	426.57	466.88	563.18	536.45	518.15	698.41	314.17	616.37	764.36	470.14	708.18	540.19	473.41	387.02	373.81	490.14	536.45	559.28	379.04	473.41	480.04	529.06	420.68	612.11	417.77	518.15	571.05	507.46	457.25	536.45	503.95	507.46	463.65	579.04	555.41	860.08	536.45	389.72	583.07	470.14	547.75	571.05	473.41	500.46	679.29	583.07	571.05	486.75	748.61	665.29	444.72	457.25	607.87	518.15	540.19	441.64	470.14	713.11	521.76	587.13	486.75	579.04	591.22
GLTSCR1L	134.3	100.83	147.06	199.85	104.42	141.02	153.34	201.25	141.02	152.28	94.01	141.02	128.79	90.77	157.68	120.1	107.38	121.79	143.01	115.97	119.26	155.5	115.97	126.12	158.79	157.68	215.77	150.17	215.77	111.99	141.02	194.36	237.86	150.17	153.34	88.26	320.8	381.68	297.17	366.09	251.48	199.85	241.19	291.04	246.28	220.32	285.03	132.44	226.54	341.51	220.32	273.37	283.05	267.73	217.27	239.52	351.14	229.72	204.07	151.22	314.17	260.38	262.2	217.27	314.17	260.38	432.53	316.37	187.71	275.28	341.51	217.27	341.51	220.32	334.46	214.27	361.04	309.83	167.9	256.78	248.0	301.33	320.8	176.29	339.14	176.29	220.32	223.41	248.0	228.13	224.97	144.01	214.27	234.57	262.2	205.5	234.57	164.42	167.9	248.0	281.09	239.52	332.14	287.01
GOLGA7	624.99	599.49	607.87	651.58	454.09	651.58	463.65	536.45	753.83	567.1	432.53	633.73	551.56	551.56	567.1	543.96	723.08	775.05	547.75	543.96	563.18	599.49	587.13	884.29	713.11	547.75	591.22	547.75	656.11	547.75	511.0	579.04	591.22	591.22	529.06	435.55	842.36	836.53	775.05	1015.93	693.58	638.15	616.37	974.5	791.35	698.41	954.43	500.46	733.19	1059.11	723.08	718.08	718.08	733.19	616.37	599.49	802.41	748.61	647.07	540.19	1023.0	764.36	791.35	684.02	813.63	743.43	1015.93	921.88	708.18	854.13	947.83	848.22	896.64	698.41	878.17	723.08	1030.12	896.64	555.41	902.89	633.73	1037.29	890.44	718.08	708.18	743.43	802.41	679.29	624.99	848.22	638.15	616.37	674.59	830.75	842.36	796.86	693.58	616.37	915.51	738.29	878.17	703.28	813.63	848.22
GPM6A	38.4	12.45	60.39	40.64	22.43	191.67	103.69	51.71	32.82	52.08	15.45	52.08	81.14	52.45	17.13	16.27	16.63	45.21	26.1	25.91	84.63	27.44	13.42	27.44	37.05	77.79	85.82	53.19	57.89	4.82	16.15	71.5	19.53	87.65	52.08	73.54	616.37	486.75	343.89	1127.35	228.13	83.45	115.16	299.25	358.54	10.47	1119.56	187.71	98.04	612.11	318.57	94.01	603.67	450.94	262.2	147.06	532.74	118.43	802.41	113.56	1199.98	356.05	285.03	368.65	403.5	884.29	791.35	1407.55	336.79	713.11	262.2	318.57	791.35	329.84	967.76	329.84	1936.53	674.59	20.41	743.43	514.56	591.22	713.11	320.8	884.29	91.41	490.14	420.68	395.18	457.25	236.21	444.72	170.25	96.01	373.81	400.71	217.27	163.28	76.71	579.04	753.83	236.21	409.15	819.3
GPR125	198.47	112.77	198.47	414.87	136.19	283.05	248.0	366.09	256.78	339.14	111.99	420.68	177.53	229.72	253.23	202.66	323.03	480.04	343.89	153.34	205.5	432.53	239.52	241.19	309.83	262.2	166.73	291.04	403.5	155.5	543.96	307.69	327.56	356.05	191.67	244.57	1923.14	1540.37	698.41	1242.34	1605.83	368.65	743.43	995.0	921.88	185.11	1159.07	559.28	651.58	2209.26	381.68	647.07	1477.58	974.5	769.69	703.28	1250.98	738.29	988.12	532.74	703.28	974.5	890.44	575.03	1059.11	878.17	1037.29	1023.0	842.36	825.0	872.1	884.29	813.63	988.12	961.07	967.76	1794.29	1250.98	480.04	785.88	1088.92	1225.22	759.08	896.64	872.1	476.71	819.3	728.11	921.88	616.37	1225.22	629.35	591.22	507.46	854.13	836.53	575.03	559.28	373.81	1295.13	753.83	555.41	981.29	1008.9
GPR63	4.7	2.39	6.46	7.22	1.99	5.15	5.96	6.84	5.82	6.62	3.79	5.96	3.03	6.21	2.51	4.24	3.23	6.67	8.0	3.17	3.99	4.17	1.57	3.96	8.25	5.54	8.25	5.06	4.94	3.26	1.2	4.54	4.28	6.89	2.84	3.08	18.16	14.24	11.91	17.25	7.75	11.82	17.13	12.64	6.36	6.62	12.93	6.21	7.82	22.59	8.32	11.73	13.52	23.76	12.93	13.42	17.64	17.51	15.45	12.09	18.43	9.85	17.38	12.18	20.71	13.22	10.96	8.06	5.59	15.56	22.26	16.15	25.72	7.22	15.68	13.52	23.25	19.39	4.86	10.63	9.63	2.32	17.9	13.12	13.22	8.51	7.06	8.13	13.62	7.34	13.93	6.11	8.0	3.41	7.63	16.88	14.67	6.36	5.54	14.03	8.0	9.56	13.52	18.16
GSPT2	127.0	85.82	110.43	105.15	56.68	45.21	112.77	154.42	162.14	110.43	105.15	91.41	92.7	87.03	49.56	96.68	52.45	100.83	114.36	71.5	119.26	132.44	143.01	101.54	92.7	105.89	154.42	87.03	131.51	100.13	73.03	97.36	133.36	82.87	108.9	70.51	218.79	190.34	154.42	193.01	156.59	159.9	153.34	115.97	191.67	130.6	105.15	84.63	93.35	246.28	162.14	202.66	122.64	146.03	112.77	155.5	197.09	177.53	156.59	163.28	127.0	191.67	164.42	186.4	208.38	144.01	150.17	142.01	130.6	90.77	232.94	114.36	289.02	165.57	161.02	186.4	208.38	169.07	119.26	158.79	159.9	185.11	165.57	159.9	148.09	162.14	204.07	167.9	107.38	169.07	149.12	145.02	154.42	162.14	176.29	191.67	144.01	96.01	113.56	169.07	144.01	181.28	156.59	187.71
GULP1	145.02	116.78	57.89	23.25	126.12	64.34	38.4	37.05	25.35	49.56	53.95	84.63	48.52	24.11	50.27	44.89	36.53	122.64	37.85	61.68	47.5	31.0	55.1	17.51	47.84	40.64	30.78	68.07	50.98	223.41	23.42	62.12	35.0	66.65	20.26	33.54	567.1	303.44	244.57	934.76	599.49	48.87	139.07	293.07	209.84	11.13	791.35	63.0	262.2	902.89	141.02	297.17	521.76	728.11	178.77	181.28	241.19	220.32	397.93	107.38	429.54	226.54	444.72	189.02	403.5	450.94	842.36	583.07	177.53	616.37	209.84	275.28	651.58	248.0	438.59	339.14	796.86	738.29	40.36	392.44	241.19	429.54	1277.29	158.79	480.04	145.02	154.42	228.13	500.46	135.24	281.09	81.14	164.42	119.26	199.85	237.86	305.55	146.03	115.16	253.23	532.74	139.07	220.32	490.14
HACE1	98.73	47.84	77.25	94.01	78.89	94.67	128.79	97.36	140.04	89.51	74.58	96.68	69.03	85.22	121.79	80.01	81.14	84.04	86.43	66.18	81.71	87.65	61.68	49.91	115.97	82.87	139.07	83.45	113.56	84.63	40.64	73.03	140.04	81.14	71.5	28.04	181.28	215.77	113.56	177.53	152.28	75.64	84.63	141.02	137.14	129.69	148.09	91.41	161.02	193.01	104.42	144.01	208.38	186.4	134.3	132.44	194.36	143.01	115.97	82.29	145.02	108.14	185.11	112.77	171.45	176.29	181.28	173.85	147.06	169.07	107.38	131.51	177.53	111.99	161.02	113.56	229.72	190.34	90.77	139.07	127.0	176.29	198.47	107.38	190.34	92.05	114.36	121.79	164.42	113.56	106.63	80.57	103.69	93.35	173.85	100.83	165.57	108.9	156.59	134.3	136.19	112.77	142.01	178.77
HIRA	1286.18	616.37	1135.2	1487.87	647.07	1051.79	836.53	3742.05	638.15	518.15	1135.2	1096.5	1096.5	921.88	348.71	808.0	1286.18	1331.57	1487.87	1628.26	1001.93	1651.0	896.64	961.07	909.17	1781.89	1769.57	1277.29	1111.82	825.0	1059.11	1685.71	1628.26	1369.04	1066.48	723.08	2224.63	1508.65	2591.27	3395.89	2976.74	2468.49	1936.53	1757.34	1883.54	1651.0	3540.14	2997.45	1487.87	2855.44	2061.24	1127.35	2119.22	3874.05	1733.13	3690.52	3443.31	2104.58	3257.52	2758.13	4802.93	2240.11	2047.0	2163.77	2976.74	2935.74	1844.76	2915.45	3589.58	3303.0	3190.46	1936.53	2090.03	3235.01	3212.66	2591.27	2758.13	1977.24	1870.53	3794.3	3716.2	3060.45	2303.12	2018.8	2701.35	1529.73	3060.45	1745.2	3325.99	1991.0	2758.13	1844.76	2682.69	1950.0	1781.89	2502.97	1721.16	2682.69	1015.93	2502.97	2573.36	3081.75	3639.7	2777.33
HNRNPM	2485.67	2148.82	2061.24	2591.27	1572.76	2119.22	1832.01	3018.3	1963.57	2400.97	1950.0	2434.5	2573.36	1583.71	1733.13	1605.83	2271.4	2018.8	1909.85	2816.11	2835.7	2555.58	3820.7	2090.03	1963.57	2384.37	2555.58	1870.53	3146.52	1617.0	2047.0	2573.36	3081.75	2976.74	2209.26	2645.74	3665.02	3419.52	3467.27	3443.31	3665.02	3639.7	3419.52	4802.93	4358.66	3467.27	3794.3	3742.05	3928.15	3146.52	3874.05	3874.05	2664.15	3515.68	2777.33	3190.46	4450.27	3515.68	3716.2	4038.61	3639.7	3372.43	3124.78	3168.41	3303.0	3768.09	3614.55	3847.29	3325.99	4095.0	3690.52	3190.46	3349.13	3540.14	2875.3	4328.55	4358.66	2701.35	2956.17	3614.55	4268.94	3081.75	3491.39	2591.27	3794.3	3794.3	3665.02	3124.78	3820.7	3982.99	2997.45	3349.13	2758.13	3257.52	3564.78	3325.99	4010.71	2777.33	3639.7	3820.7	4123.49	3794.3	4575.41	4095.0
ID4	2609.3	1073.91	2351.53	3665.02	1819.35	3874.05	1923.14	3419.52	1832.01	2758.13	1340.84	3982.99	2502.97	1350.18	2816.11	2485.67	4010.71	4152.18	2777.33	4836.35	3081.75	4328.55	2271.4	2417.67	4268.94	2287.2	1378.57	4268.94	3124.78	1794.29	7180.15	3103.19	2627.46	4123.49	2895.31	5006.93	12853.63	9474.59	32540.65	22535.88	8305.36	6935.54	8363.13	18689.27	9088.59	3665.02	12502.12	7180.15	10808.41	6887.62	6983.79	7966.99	7130.55	12676.65	6840.04	5995.9	13776.25	7966.99	4704.07	4450.27	11035.54	6983.79	6607.01	7857.29	10084.54	6381.92	11909.94	10659.59	5872.48	7966.99	7749.1	9673.69	7695.57	8718.32	7130.55	10733.74	17804.06	7966.99	9215.48	14561.8	7032.37	18950.18	12244.81	8901.53	28328.16	5751.61	6381.92	9344.14	13776.25	5041.77	8191.0	8078.22	9279.58	7081.29	8363.13	6935.54	9025.81	5913.33	3103.19	9344.14	16045.82	10883.59	12415.75	16157.44
INO80	204.07	193.01	205.5	248.0	151.22	183.82	187.71	265.87	226.54	173.85	172.65	212.78	195.72	137.14	167.9	163.28	129.69	208.38	204.07	187.71	194.36	211.31	241.19	123.5	223.41	242.88	297.17	191.67	305.55	170.25	131.51	215.77	221.86	180.02	175.07	150.17	361.04	409.15	387.02	301.33	267.73	334.46	316.37	334.46	312.0	283.05	305.55	255.0	423.61	237.86	379.04	279.14	303.44	397.93	265.87	291.04	320.8	301.33	483.38	258.57	346.29	244.57	255.0	339.14	248.0	457.25	236.21	307.69	397.93	387.02	312.0	334.46	253.23	305.55	339.14	287.01	301.33	314.17	199.85	420.68	336.79	323.03	336.79	178.77	361.04	231.32	307.69	379.04	348.71	341.51	327.56	232.94	221.86	205.5	249.73	299.25	316.37	220.32	325.29	323.03	353.59	271.48	379.04	312.0
JRKL	115.97	77.79	117.6	161.02	105.89	127.0	114.36	147.06	146.03	129.69	94.67	107.38	105.15	81.71	150.17	147.06	88.26	92.7	175.07	105.15	110.43	185.11	100.83	78.89	105.15	143.01	155.5	166.73	189.02	112.77	124.37	194.36	181.28	133.36	107.38	57.89	229.72	283.05	195.72	262.2	211.31	231.32	199.85	163.28	198.47	209.84	152.28	170.25	253.23	309.83	141.02	246.28	178.77	180.02	141.02	229.72	246.28	248.0	172.65	197.09	201.25	195.72	214.27	193.01	281.09	214.27	197.09	204.07	176.29	173.85	236.21	177.53	289.02	169.07	229.72	155.5	307.69	271.48	140.04	191.67	143.01	244.57	275.28	236.21	186.4	224.97	181.28	198.47	173.85	206.94	226.54	127.89	226.54	201.25	206.94	190.34	180.02	163.28	197.09	223.41	201.25	183.82	183.82	269.6
KCNIP4	5.45	3.76	5.23	7.94	5.02	11.55	9.56	7.63	15.56	7.88	7.69	8.32	8.25	3.11	6.36	7.22	9.48	11.73	8.25	5.73	9.56	7.82	17.64	13.62	7.57	7.51	18.29	23.93	19.68	3.92	29.48	8.06	10.0	25.72	13.32	67.12	127.89	183.82	356.05	432.53	137.14	127.0	93.35	493.56	80.57	14.03	532.74	150.17	205.5	256.78	69.03	97.36	178.77	170.25	58.71	58.3	329.84	85.82	149.12	41.81	373.81	136.19	85.82	73.54	202.66	206.94	154.42	287.01	229.72	190.34	123.5	181.28	176.29	67.12	295.11	99.43	595.34	232.94	24.63	223.41	150.17	444.72	490.14	189.02	255.0	42.11	149.12	97.36	137.14	57.08	145.02	120.94	148.09	75.64	146.03	189.02	167.9	57.49	28.04	242.88	279.14	114.36	208.38	307.69
KIF20B	17.38	21.16	15.91	29.7	16.88	20.56	25.54	29.48	24.99	34.02	19.53	19.82	31.9	19.25	44.25	33.3	10.31	28.04	50.63	21.63	23.25	19.97	14.89	8.85	24.63	13.22	14.89	30.78	30.12	31.0	13.93	36.27	42.71	18.97	27.25	13.93	78.34	82.87	39.79	70.51	81.14	29.48	45.21	98.04	69.03	27.64	37.32	14.56	31.9	91.41	52.45	55.49	58.71	65.72	38.12	31.22	59.97	38.12	35.76	26.67	63.45	58.71	73.03	42.71	64.8	74.06	76.17	50.98	30.78	44.89	52.08	74.58	50.63	47.84	80.01	52.08	100.13	98.04	29.91	45.53	47.5	73.03	46.5	34.02	56.28	32.82	43.02	49.21	45.85	64.8	24.46	31.67	59.97	29.7	77.79	52.08	69.52	40.93	37.32	63.45	74.58	32.82	57.08	71.5
