	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.KK.A8II.01A.11R.A36G.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.A76X.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.KK.A7AP.01A.12R.A33R.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07
NT5E	0.0	0.45	189.02	37.05	144.01	26.1	63.0	87.03	14.89	14.24	170.25	112.77	165.57	85.22	87.65	109.66	7.94	111.99	69.52	127.0	72.01	147.06	194.36	202.66	26.1	84.04	57.08	38.95	32.13	76.71	55.89	64.8	64.8	38.67	149.12	7.82	77.79	140.04	89.51	64.8	92.05	90.77	59.97	180.02	249.73	124.37	15.22	43.02	78.34	83.45	92.7	110.43	143.01	54.72	65.26	73.03	121.79	24.28	13.83	64.8	34.75	63.0	38.4	44.89	15.56	185.11	38.95	96.01	38.12	65.72	28.24	60.82	154.42	117.6	59.97	104.42	32.59	78.34	77.79	205.5	11.21	130.6	112.77	197.09	129.69	22.59	35.0	18.56	43.32	271.48	154.42	295.11	224.97	197.09	150.17	299.25	221.86	248.0	309.83
NTRK1	0.0	0.2	26.86	4.7	15.22	5.11	4.24	20.26	1.75	2.89	25.54	40.36	20.71	10.96	15.11	30.78	2.12	11.91	12.55	18.97	7.28	36.01	57.89	19.11	3.0	7.57	4.58	5.54	2.58	5.41	23.76	5.41	5.77	11.13	18.84	2.86	11.73	23.76	6.01	1.19	27.64	10.0	6.31	17.13	14.67	10.16	0.8	5.96	17.9	88.26	15.11	22.75	37.32	16.88	12.27	11.82	18.16	4.06	3.38	7.94	4.17	8.92	2.23	6.26	1.55	26.47	7.57	14.67	10.96	5.36	1.69	11.38	23.76	12.0	2.66	9.85	4.43	5.63	4.58	13.93	3.56	0.83	9.41	23.93	26.67	3.99	15.91	3.79	13.12	19.11	10.0	67.12	13.42	14.35	10.55	41.22	59.13	21.78	65.26
OLFML3	0.0	0.6	1030.12	241.19	796.86	197.09	1037.29	813.63	89.51	70.51	1208.34	529.06	684.02	420.68	688.78	860.08	89.51	656.11	457.25	866.07	529.06	934.76	848.22	738.29	171.45	559.28	208.38	363.56	336.79	525.39	221.86	426.57	343.89	295.11	961.07	13.12	802.41	633.73	463.65	77.25	1529.73	642.59	379.04	713.11	1268.46	656.11	78.89	299.25	480.04	915.51	395.18	656.11	1023.0	291.04	748.61	297.17	703.28	206.94	98.73	181.28	287.01	429.54	320.8	201.25	68.55	1487.87	199.85	684.02	325.29	420.68	134.3	153.34	679.29	759.08	1199.98	713.11	137.14	679.29	1135.2	775.05	105.15	269.6	934.76	738.29	1051.79	148.09	163.28	638.15	325.29	748.61	441.64	1397.83	909.17	1225.22	629.35	1066.48	1023.0	466.88	2178.83
PDE7B	0.0	0.09	58.71	9.63	41.81	9.27	13.93	43.94	9.56	9.41	38.95	39.79	42.41	36.01	38.95	37.59	2.12	34.51	28.45	34.75	21.94	44.89	55.49	46.84	7.06	27.84	11.82	17.25	34.26	26.1	19.68	18.16	53.95	17.0	44.57	8.0	23.25	47.5	19.68	5.36	21.16	32.82	14.56	38.67	65.72	44.25	6.73	18.7	73.03	80.01	21.16	35.76	29.7	22.26	26.47	22.92	43.02	6.57	6.78	16.51	11.38	14.45	33.78	12.45	9.56	56.68	16.15	34.26	19.11	34.02	92.7	9.41	42.71	27.84	29.7	29.48	16.51	12.74	16.03	41.81	62.12	26.67	31.0	59.97	32.59	48.52	14.89	6.89	16.51	48.87	36.79	72.01	69.03	61.25	46.5	88.26	86.43	36.01	102.25
PGM5	0.0	0.33	1963.57	132.44	1331.57	229.72	170.25	2434.5	107.38	85.82	1709.26	1225.22	3235.01	2004.85	1088.92	1844.76	120.1	1151.06	934.76	1733.13	262.2	2240.11	1991.0	4450.27	111.21	1059.11	187.71	212.78	178.77	1104.13	738.29	647.07	289.02	414.87	2537.92	9.78	1350.18	1498.22	444.72	134.3	902.89	988.12	587.13	1127.35	3280.18	796.86	38.12	175.07	915.51	500.46	1594.73	2104.58	1277.29	599.49	759.08	363.56	1008.9	69.03	65.72	136.19	281.09	738.29	438.59	232.94	96.01	2468.49	214.27	915.51	295.11	974.5	199.85	241.19	1757.34	1081.39	426.57	1119.56	267.73	563.18	713.11	3303.0	38.67	223.41	1870.53	2645.74	1233.75	135.24	224.97	79.45	633.73	2032.85	3212.66	4358.66	3303.0	5403.7	2720.15	4869.99	3212.66	1909.85	4802.93
PGR	0.0	0.12	54.72	3.63	28.04	3.59	9.93	27.05	4.94	2.56	46.84	16.75	50.98	21.01	23.08	34.26	1.25	20.26	15.45	21.78	14.67	34.75	36.53	44.57	5.41	24.11	9.7	6.67	8.13	10.16	9.85	10.47	12.36	10.31	51.71	0.52	9.63	40.64	7.22	4.13	11.55	15.68	9.06	55.1	53.95	25.72	0.54	8.25	16.03	18.03	15.34	26.47	21.47	11.04	17.64	14.56	39.5	2.48	4.54	5.73	6.52	14.03	8.25	5.19	2.73	70.01	9.27	42.11	5.59	14.45	5.5	6.36	33.78	23.25	15.0	26.47	5.19	12.09	13.52	43.94	1.16	8.38	18.7	38.4	25.35	3.79	6.62	4.94	10.39	32.82	29.48	43.02	37.05	59.55	31.67	75.11	36.79	19.39	90.14
PPP1R3B	0.0	0.53	591.22	111.21	204.07	220.32	185.11	514.56	189.02	281.09	514.56	221.86	426.57	307.69	246.28	389.72	84.63	131.51	387.02	334.46	129.69	529.06	376.41	473.41	412.0	314.17	457.25	283.05	318.57	231.32	529.06	406.31	277.2	251.48	638.15	265.87	199.85	327.56	267.73	126.12	269.6	289.02	248.0	444.72	529.06	291.04	109.66	212.78	198.47	189.02	343.89	305.55	283.05	293.07	267.73	202.66	343.89	115.97	98.73	341.51	87.03	320.8	181.28	358.54	260.38	575.03	320.8	327.56	202.66	279.14	251.48	132.44	500.46	366.09	198.47	204.07	316.37	273.37	387.02	624.99	256.78	303.44	353.59	381.68	438.59	176.29	423.61	162.14	229.72	444.72	339.14	547.75	309.83	830.75	497.0	713.11	490.14	307.69	728.11
PRDM6	0.0	0.42	33.3	10.16	34.26	10.71	8.45	44.25	1.53	4.03	30.56	23.42	60.39	28.86	16.39	46.5	6.57	32.13	12.83	15.8	8.25	66.65	45.53	37.32	1.81	25.17	15.0	10.88	6.26	7.57	25.54	8.58	11.64	10.55	39.5	0.0	26.86	15.0	11.38	6.57	40.93	21.94	11.38	31.67	37.85	31.45	1.46	6.06	21.78	17.0	45.21	45.21	34.26	8.0	20.11	8.58	8.0	6.78	3.59	7.75	16.75	19.53	18.56	1.85	2.25	48.87	3.23	31.0	11.04	14.14	3.56	15.68	28.65	28.86	5.06	14.67	20.26	7.88	9.85	56.28	2.27	5.28	17.38	39.79	42.41	5.02	9.56	2.41	13.93	16.63	32.82	24.11	60.82	47.84	53.57	65.26	80.57	26.47	31.45
PSTPIP2	0.0	0.68	228.13	76.17	150.17	46.84	118.43	194.36	71.5	111.21	229.72	165.57	204.07	164.42	140.04	86.43	41.22	82.29	120.94	154.42	180.02	173.85	125.24	186.4	78.89	182.55	63.0	76.71	214.27	94.67	115.16	120.94	105.15	102.25	85.82	53.95	87.03	128.79	102.97	72.01	221.86	103.69	70.51	136.19	208.38	249.73	67.12	211.31	159.9	85.82	163.28	76.71	234.57	153.34	126.12	96.01	182.55	108.9	79.45	77.79	81.71	175.07	55.49	120.1	92.05	251.48	111.21	111.21	65.72	105.89	111.99	100.13	132.44	115.16	48.18	112.77	121.79	127.0	237.86	176.29	67.12	176.29	125.24	249.73	264.03	25.54	71.0	54.72	95.34	223.41	199.85	279.14	167.9	159.9	166.73	224.97	224.97	167.9	264.03
PTHLH	0.0	0.62	63.45	20.11	37.85	11.13	34.02	85.82	13.03	4.94	40.36	9.48	28.45	42.71	49.21	148.09	8.92	34.75	50.98	61.68	27.84	165.57	25.54	33.3	24.28	9.06	20.71	40.07	45.21	17.25	34.51	43.32	57.49	22.59	20.41	4.86	16.88	52.45	24.63	11.38	137.14	18.43	24.63	36.27	70.01	69.03	4.54	22.92	70.01	87.03	26.1	21.47	31.67	14.14	28.04	12.55	13.42	17.38	22.1	17.38	16.88	60.82	25.91	3.38	20.11	75.11	23.76	57.49	8.25	8.85	15.56	12.0	61.68	27.44	16.15	19.82	21.16	23.59	19.97	155.5	5.82	20.11	122.64	23.42	106.63	18.29	22.92	21.63	16.27	75.11	68.55	25.35	20.11	68.55	99.43	43.63	105.15	61.68	76.71
RASL12	0.0	0.56	591.22	69.03	426.57	143.01	103.69	769.69	50.98	54.72	435.55	412.0	928.3	693.58	483.38	785.88	72.52	444.72	423.61	490.14	170.25	981.29	796.86	1322.37	59.97	267.73	90.77	117.6	80.57	379.04	253.23	198.47	120.1	185.11	733.19	39.79	486.75	444.72	218.79	46.84	389.72	470.14	297.17	423.61	1225.22	307.69	31.22	85.82	397.93	299.25	536.45	476.71	579.04	211.31	194.36	121.79	444.72	80.57	33.78	71.5	156.59	289.02	165.57	90.77	42.11	890.44	156.59	406.31	152.28	312.0	82.29	107.38	575.03	441.64	206.94	417.77	116.78	260.38	193.01	941.27	31.45	82.29	698.41	713.11	638.15	80.57	133.36	86.43	239.52	791.35	988.12	2335.28	860.08	1697.45	718.08	2004.85	1277.29	718.08	1583.71
RNASE4	0.0	0.51	3467.27	1008.9	1540.37	379.04	518.15	2777.33	229.72	674.59	2303.12	2895.31	1662.49	1519.15	2224.63	1388.16	135.24	536.45	2758.13	1794.29	1225.22	2240.11	1806.78	2835.7	1175.27	988.12	293.07	1088.92	738.29	1540.37	921.88	1477.58	351.14	785.88	3168.41	339.14	1023.0	1551.09	521.76	1119.56	2133.97	457.25	1572.76	2417.67	2224.63	860.08	571.05	693.58	1628.26	679.29	1498.22	1104.13	1540.37	414.87	1167.14	1259.69	2148.82	642.59	171.45	684.02	890.44	1340.84	244.57	1159.07	540.19	2303.12	432.53	808.0	981.29	836.53	58.71	633.73	3303.0	1745.2	1015.93	1030.12	642.59	1286.18	1721.16	2384.37	301.33	2224.63	1733.13	2224.63	1697.45	90.77	351.14	669.92	802.41	3303.0	3081.75	4481.23	2573.36	2855.44	2645.74	2032.85	3491.39	2367.9	4937.99
RP11-122A3.2	0.0	0.46	146.03	16.03	151.22	30.34	18.84	181.28	5.41	13.32	148.09	167.9	221.86	162.14	114.36	133.36	5.82	87.65	69.03	120.1	20.56	154.42	131.51	224.97	8.38	87.03	20.56	25.17	16.75	64.8	60.82	33.78	30.78	34.26	142.01	4.28	74.58	93.35	47.5	13.93	74.06	120.1	37.85	74.06	253.23	76.71	7.75	13.12	85.22	45.21	109.66	133.36	109.66	31.45	44.89	36.53	97.36	28.45	4.35	12.0	27.64	50.98	44.25	26.28	19.68	186.4	25.72	58.3	33.06	85.82	11.47	14.35	201.25	73.54	39.5	94.67	13.83	57.89	41.22	217.27	6.21	19.68	111.21	291.04	129.69	19.97	27.64	10.08	57.89	253.23	221.86	547.75	417.77	363.56	291.04	503.95	346.29	158.79	426.57
SBDS	0.0	0.53	2119.22	1508.65	2417.67	1407.55	1487.87	1870.53	1350.18	1870.53	1832.01	1674.06	2104.58	1963.57	1844.76	1832.01	1295.13	1721.16	1617.0	1769.57	1088.92	2384.37	1977.24	2240.11	1268.46	1487.87	1628.26	1857.6	1295.13	1498.22	1909.85	1388.16	1477.58	1313.23	2485.67	1313.23	1359.57	1936.53	1183.45	1242.34	2047.0	1572.76	1651.0	2090.03	2537.92	1617.0	1769.57	1407.55	1519.15	1844.76	1605.83	1769.57	2451.44	1208.34	1378.57	1467.37	1857.6	1233.75	1313.23	2224.63	1457.23	1388.16	1651.0	1781.89	2417.67	2351.53	1540.37	1519.15	1242.34	1467.37	1529.73	1487.87	2400.97	1745.2	1769.57	1896.65	1388.16	1950.0	1651.0	2287.2	1417.35	1572.76	2502.97	2133.97	1769.57	1733.13	1350.18	1304.15	1467.37	2645.74	2384.37	3665.02	2367.9	2682.69	2451.44	2855.44	2935.74	2004.85	2758.13
SLC1A3	0.0	0.57	99.43	50.27	47.84	38.12	36.01	56.28	12.74	32.13	163.28	47.84	61.68	45.53	73.54	32.59	11.91	47.5	39.79	90.14	33.54	92.05	64.34	97.36	12.83	170.25	43.02	50.27	40.07	53.95	36.79	34.02	37.85	24.46	46.18	9.41	36.53	65.72	21.47	22.26	143.01	19.39	31.0	63.45	120.94	98.04	42.11	58.3	52.08	24.46	32.82	43.32	44.25	27.05	61.68	19.53	65.26	24.28	13.42	18.43	18.97	37.59	24.28	50.98	23.25	85.82	38.67	48.52	45.21	23.42	34.02	12.45	71.5	38.12	55.49	59.55	29.27	38.95	96.68	133.36	7.94	29.06	60.82	142.01	70.51	17.0	45.21	38.4	27.05	120.1	112.77	108.9	49.91	91.41	62.12	106.63	56.28	82.29	133.36
SLC8A1	0.0	0.24	384.34	9.13	155.5	23.08	36.53	277.2	22.1	8.06	318.57	120.94	361.04	165.57	129.69	260.38	7.82	109.66	106.63	165.57	68.55	258.57	228.13	381.68	21.63	124.37	57.08	26.28	111.21	102.97	63.45	63.45	86.43	71.5	351.14	1.36	61.68	221.86	61.68	28.24	90.14	130.6	43.63	353.59	361.04	148.09	6.11	118.43	87.65	70.01	111.99	157.68	189.02	63.89	92.7	52.45	187.71	16.03	12.45	18.56	43.94	92.7	84.04	32.82	19.39	460.44	37.59	224.97	23.93	92.7	28.24	36.27	273.37	209.84	99.43	148.09	34.75	71.0	102.25	417.77	14.67	36.79	138.1	262.2	244.57	32.59	23.08	24.28	43.32	246.28	366.09	325.29	297.17	334.46	297.17	688.78	332.14	122.64	674.59
SMIM10	0.0	0.43	129.69	35.76	143.01	23.59	36.53	169.07	17.64	15.56	126.12	97.36	221.86	125.24	106.63	146.03	16.27	110.43	85.82	120.94	40.07	215.77	260.38	275.28	26.47	77.79	29.27	50.98	30.12	74.06	75.11	72.01	46.84	51.35	186.4	8.99	125.24	98.04	30.78	20.86	185.11	105.15	72.01	171.45	271.48	102.25	8.78	28.86	101.54	101.54	154.42	120.94	142.01	63.45	62.12	55.1	79.45	23.08	11.91	31.45	57.89	80.01	50.98	31.0	26.86	195.72	49.91	74.06	52.45	69.03	30.12	48.52	125.24	69.03	57.49	105.89	48.18	70.01	70.01	246.28	15.11	37.59	182.55	273.37	127.0	27.25	58.71	29.06	70.01	264.03	248.0	466.88	271.48	287.01	198.47	293.07	323.03	221.86	279.14
SV2A	0.0	0.61	67.59	8.85	34.75	9.48	14.78	59.55	11.3	2.97	50.98	19.68	50.98	44.89	34.51	40.64	7.17	36.27	40.07	26.1	14.14	68.55	51.71	59.97	11.13	15.91	17.77	11.64	26.86	19.97	24.28	17.38	28.04	14.35	45.85	3.99	28.45	42.41	21.16	22.1	31.0	21.32	13.32	47.17	101.54	43.02	3.47	14.67	37.05	51.71	29.06	35.0	53.95	17.0	24.99	15.22	55.89	13.42	6.41	12.18	16.88	38.4	14.45	6.57	7.22	84.04	20.56	47.84	15.91	11.04	5.77	12.09	45.53	40.07	28.86	43.63	18.29	28.65	16.63	66.65	9.85	55.89	36.01	69.03	52.08	10.31	14.35	13.32	21.16	62.12	80.57	85.22	34.75	59.13	57.08	127.0	90.77	36.01	130.6
SYDE1	0.0	0.72	220.32	56.28	137.14	53.57	63.89	221.86	39.5	18.84	165.57	119.26	279.14	156.59	169.07	208.38	37.05	191.67	117.6	190.34	65.26	228.13	291.04	279.14	52.45	97.36	55.1	45.53	66.65	103.69	75.64	74.58	115.97	97.36	120.94	25.35	162.14	138.1	96.68	25.72	127.89	141.02	105.15	149.12	327.56	180.02	21.47	67.12	145.02	183.82	156.59	170.25	159.9	76.17	87.03	52.82	100.13	60.39	22.43	44.89	63.89	130.6	74.06	35.25	32.36	329.84	66.18	153.34	79.45	77.25	49.56	43.32	171.45	150.17	127.0	137.14	65.72	90.14	69.03	305.55	35.5	56.68	161.02	267.73	214.27	54.33	80.57	56.68	81.14	249.73	199.85	260.38	285.03	239.52	206.94	356.05	218.79	115.97	332.14
TCF7L1	0.0	0.78	205.5	80.01	156.59	43.63	44.57	323.03	43.94	31.22	204.07	166.73	277.2	193.01	157.68	170.25	40.07	175.07	158.79	152.28	61.25	271.48	253.23	334.46	56.28	97.36	62.56	75.11	114.36	102.97	100.13	90.14	85.22	98.73	126.12	33.54	149.12	126.12	115.16	52.08	172.65	126.12	93.35	135.24	412.0	182.55	14.45	52.45	150.17	178.77	173.85	157.68	158.79	73.03	72.01	75.11	94.01	59.97	31.67	65.26	67.59	135.24	82.29	34.02	26.86	265.87	86.43	127.0	85.22	72.52	28.86	67.12	149.12	101.54	119.26	110.43	86.43	118.43	88.88	351.14	63.0	66.65	177.53	299.25	239.52	52.45	105.89	49.56	89.51	265.87	314.17	299.25	371.22	480.04	246.28	361.04	316.37	217.27	438.59
TMEM109	0.0	0.84	2271.4	1819.35	2163.77	1233.75	1769.57	3515.68	1806.78	1674.06	2796.65	2537.92	2303.12	2451.44	2997.45	2816.11	1844.76	2193.99	2796.65	2193.99	2163.77	2835.7	2287.2	3874.05	1617.0	2400.97	1572.76	1896.65	1685.71	2956.17	2271.4	2271.4	1651.0	1832.01	2915.45	2004.85	2997.45	2520.38	1857.6	1104.13	2224.63	1583.71	3146.52	2271.4	2855.44	2367.9	1781.89	2047.0	2287.2	2335.28	2400.97	2178.83	2739.08	1519.15	2777.33	1477.58	2287.2	1991.0	2148.82	1605.83	1745.2	2209.26	1572.76	1806.78	2119.22	2645.74	1605.83	1832.01	2032.85	2047.0	1467.37	2004.85	2417.67	2816.11	2335.28	3060.45	1378.57	2573.36	2104.58	3716.2	1685.71	2090.03	3168.41	2935.74	2367.9	2209.26	2664.15	2701.35	2090.03	2485.67	3060.45	2739.08	3614.55	3716.2	2915.45	2976.74	3190.46	3395.89	3395.89
TMLHE	0.0	0.65	115.16	17.13	57.89	15.11	16.15	105.89	9.63	7.0	125.24	57.89	98.04	95.34	50.98	55.49	8.25	40.93	33.54	28.45	26.1	96.01	66.65	129.69	19.82	125.24	20.26	10.31	18.7	30.34	23.25	23.93	21.47	29.91	140.04	5.02	41.22	69.03	28.45	8.71	55.89	27.44	30.34	71.5	114.36	67.59	4.98	12.64	38.4	35.25	45.85	54.33	68.07	13.62	28.24	22.59	47.84	8.25	8.92	26.1	19.68	38.12	23.25	14.89	7.82	112.77	20.41	42.41	60.39	29.48	5.73	12.27	62.56	41.22	35.5	64.34	25.72	38.12	35.0	128.79	7.57	32.59	47.5	127.0	87.03	8.45	53.57	13.83	28.65	145.02	187.71	220.32	119.26	154.42	149.12	205.5	130.6	85.82	258.57
VWA5A	0.0	0.59	295.11	87.65	228.13	90.14	43.94	281.09	37.59	12.93	351.14	177.53	229.72	258.57	126.12	155.5	22.92	140.04	130.6	110.43	76.71	212.78	356.05	356.05	44.89	121.79	78.89	65.26	38.12	78.34	170.25	80.01	82.87	139.07	171.45	6.89	119.26	256.78	166.73	26.1	122.64	90.14	120.1	211.31	376.41	208.38	18.03	70.51	154.42	718.08	147.06	150.17	305.55	78.89	81.71	60.82	177.53	51.71	37.85	71.0	62.12	122.64	55.49	42.41	23.42	409.15	98.73	144.01	105.15	41.52	42.11	49.56	147.06	139.07	83.45	164.42	78.34	126.12	109.66	348.71	24.46	83.45	103.69	387.02	303.44	40.93	123.5	45.85	91.41	490.14	279.14	483.38	223.41	316.37	356.05	483.38	332.14	256.78	567.1
