	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A953.01A.11R.A38B.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FR.01A.11R.A38D.31	TCGA.BB.8601.01A.11R.2403.07	TCGA.CV.A45X.01A.21R.A24Z.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.A6DL.01A.21R.A30B.07	TCGA.CR.7392.01A.11R.2016.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.BA.A6DG.01A.21R.A30B.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CQ.5323.01A.01R.1686.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CR.7390.01A.11R.2016.07	TCGA.CN.5355.01A.01R.1436.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CN.5358.01A.01R.1514.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.5359.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.CN.6989.01A.11R.1915.07	TCGA.CR.7382.01A.11R.2132.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.5435.01A.01R.1686.07	TCGA.IQ.7632.01A.11R.2081.07	TCGA.CQ.5330.01A.01R.1686.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.7103.01A.21R.2016.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CN.4737.01A.01R.1436.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7177.01A.11R.2016.07	TCGA.CN.4740.01A.01R.1436.07	TCGA.CV.7428.01A.11R.2132.07	TCGA.CV.6950.01A.11R.1915.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.63.5128.01A.01R.1443.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
RGPD3	0.3	0.66	1.57	2.12	0.61	0.89	0.39	0.0	0.78	0.53	2.1	1.2	1.48	3.06	4.86	1.89	4.39	2.66	6.52	5.68	0.58	2.94	0.42	2.23	3.23	2.1	2.56	1.95	3.89	0.92	0.48	1.66	0.0	2.23	2.76	3.66	0.87	2.2	2.41	1.16	0.55	0.49	2.32	0.55	2.14	0.46	3.92	1.23	2.36	0.88	0.48	0.82	1.68	0.56	1.51	0.85	0.49	1.13	2.2	3.59	5.23	3.35	1.07	1.79	0.48	1.25	1.89	3.89	1.68	2.41	0.45	3.32	4.31	1.08	2.58	4.06	3.29	0.0	3.72	2.43	0.84	0.93	3.5	0.88	2.92	4.7	1.19	0.82	3.32	0.8	0.0	4.46	2.73	4.66	0.93	3.32	0.46	1.57	1.23	2.41	1.87	1.14	1.27	1.53	0.89	2.14	1.08	3.89	1.81	1.53	2.76	0.88	3.23
RHOJ	18.29	15.8	7.94	19.11	24.63	14.89	46.5	24.46	23.08	11.64	19.82	17.13	5.82	563.18	88.26	41.22	84.63	33.54	180.02	205.5	60.82	142.01	13.32	28.24	40.93	18.56	215.77	50.98	239.52	56.28	40.93	40.07	27.05	105.15	169.07	353.59	90.14	92.05	381.68	38.95	27.05	33.3	27.84	34.26	42.71	26.86	182.55	39.79	163.28	102.25	120.1	11.21	85.22	152.28	100.83	27.84	56.28	52.08	106.63	256.78	90.77	289.02	16.63	42.71	39.5	83.45	72.01	157.68	23.76	123.5	7.34	163.28	232.94	39.22	104.42	283.05	371.22	31.22	283.05	62.12	31.67	49.56	63.0	32.36	149.12	295.11	53.57	29.48	178.77	32.59	53.57	47.5	115.97	120.94	57.89	39.5	15.0	45.85	85.82	234.57	52.45	59.97	58.3	50.63	40.36	25.72	44.25	37.32	39.79	56.68	46.84	59.97	63.0
RNF144A	198.47	195.72	79.45	92.05	90.14	43.63	193.01	41.81	69.03	37.85	45.85	182.55	142.01	143.01	173.85	87.03	126.12	55.49	172.65	253.23	149.12	157.68	9.34	71.5	162.14	143.01	258.57	127.89	450.94	64.8	14.89	75.64	57.08	149.12	285.03	507.46	163.28	78.89	346.29	79.45	100.13	78.89	63.45	128.79	140.04	30.78	262.2	92.05	198.47	90.77	152.28	68.55	124.37	102.97	325.29	83.45	90.77	217.27	127.0	226.54	211.31	258.57	47.5	36.27	81.14	77.79	63.89	220.32	191.67	141.02	101.54	273.37	476.71	75.64	155.5	297.17	309.83	54.33	244.57	132.44	45.53	124.37	66.18	108.14	149.12	381.68	106.63	220.32	371.22	195.72	50.98	260.38	172.65	229.72	145.02	183.82	66.65	223.41	198.47	403.5	153.34	152.28	61.25	82.29	152.28	59.13	49.56	35.25	83.45	42.71	115.97	33.3	20.71
SEPT11	356.05	559.28	271.48	412.0	297.17	633.73	493.56	176.29	371.22	612.11	177.53	361.04	293.07	447.82	902.89	435.55	769.69	325.29	698.41	791.35	607.87	1096.5	511.0	283.05	470.14	559.28	669.92	371.22	1151.06	193.01	412.0	180.02	211.31	567.1	974.5	1167.14	525.39	688.78	1322.37	291.04	273.37	198.47	155.5	112.77	291.04	197.09	1721.16	579.04	1216.75	309.83	595.34	249.73	376.41	713.11	842.36	221.86	392.44	384.34	1259.69	836.53	1151.06	947.83	358.54	256.78	406.31	579.04	426.57	1183.45	379.04	620.67	22.75	1081.39	1721.16	463.65	638.15	934.76	2520.38	98.73	878.17	708.18	186.4	392.44	708.18	231.32	954.43	1073.91	1259.69	307.69	1457.23	211.31	303.44	1709.26	819.3	1572.76	723.08	599.49	486.75	348.71	1242.34	872.1	463.65	1151.06	363.56	603.67	392.44	988.12	532.74	293.07	232.94	242.88	483.38	361.04	543.96
SH3RF3	28.24	43.32	26.86	22.43	18.29	12.55	27.25	52.82	28.24	7.88	42.11	248.0	153.34	397.93	128.79	117.6	277.2	163.28	204.07	204.07	128.79	447.82	80.01	58.71	132.44	16.88	327.56	59.97	366.09	43.63	32.13	42.41	153.34	176.29	316.37	316.37	105.15	74.58	202.66	98.04	86.43	60.82	31.9	39.22	76.71	59.55	361.04	88.88	120.1	175.07	107.38	6.73	87.65	148.09	114.36	40.93	98.73	61.25	134.3	173.85	224.97	325.29	78.34	29.06	46.18	62.12	50.63	189.02	90.77	85.22	4.21	253.23	387.02	58.71	161.02	253.23	316.37	62.56	169.07	67.59	34.75	102.25	49.91	45.21	185.11	320.8	85.22	151.22	229.72	96.68	67.12	215.77	297.17	202.66	152.28	211.31	45.53	105.89	208.38	211.31	37.59	293.07	38.95	63.89	26.67	34.75	84.63	36.27	26.86	47.5	185.11	167.9	60.39
SLC11A1	180.02	44.25	50.98	47.17	92.7	39.5	40.64	17.0	123.5	137.14	60.39	136.19	132.44	915.51	201.25	571.05	229.72	149.12	1233.75	1127.35	102.97	718.08	62.56	44.25	211.31	142.01	218.79	47.84	253.23	102.97	30.12	58.71	381.68	1467.37	909.17	633.73	231.32	211.31	273.37	90.14	21.16	46.5	57.08	387.02	63.0	31.67	70.51	107.38	69.52	105.89	143.01	92.05	50.63	63.45	373.81	99.43	91.41	81.71	281.09	209.84	297.17	603.67	71.0	141.02	119.26	244.57	167.9	620.67	62.56	299.25	28.86	189.02	237.86	145.02	412.0	902.89	262.2	76.71	555.41	96.68	36.79	28.04	107.38	28.24	153.34	967.76	103.69	57.08	195.72	88.26	92.05	204.07	476.71	417.77	90.14	551.56	119.26	45.21	211.31	603.67	125.24	153.34	24.99	206.94	118.43	42.41	204.07	40.93	27.84	21.16	423.61	30.12	81.14
SLIT2	10.71	1.68	1.3	2.18	1.57	29.48	9.63	3.89	9.93	0.74	1.79	8.19	6.57	389.72	27.84	68.07	18.84	20.56	205.5	67.59	154.42	167.9	82.87	10.24	19.97	4.66	26.67	15.11	67.59	7.0	12.45	2.84	4.35	42.11	24.28	215.77	74.06	66.65	190.34	16.15	13.52	37.05	2.73	3.29	3.66	5.96	66.18	23.08	146.03	11.21	21.94	202.66	30.78	186.4	96.01	8.99	8.65	80.01	26.28	107.38	96.01	154.42	7.28	20.56	7.17	20.71	47.17	116.78	3.72	36.27	6.57	67.59	135.24	229.72	62.56	94.01	209.84	9.56	90.77	27.84	6.84	14.56	171.45	11.21	41.52	218.79	10.47	7.0	151.22	9.13	29.06	63.0	52.45	167.9	14.56	25.35	4.74	24.99	206.94	214.27	106.63	8.92	72.52	16.51	14.24	7.34	7.46	24.11	26.67	56.68	139.07	10.55	16.27
SRGAP2	587.13	1096.5	447.82	476.71	307.69	457.25	796.86	511.0	698.41	555.41	295.11	320.8	246.28	884.29	1066.48	420.68	1044.52	595.34	1015.93	1127.35	909.17	1322.37	332.14	229.72	318.57	371.22	764.36	353.59	1159.07	244.57	316.37	373.81	253.23	454.09	713.11	1030.12	447.82	480.04	1051.79	529.06	500.46	332.14	264.03	409.15	301.33	256.78	1135.2	373.81	412.0	339.14	521.76	571.05	723.08	543.96	1015.93	392.44	450.94	289.02	460.44	591.22	1073.91	890.44	429.54	251.48	260.38	454.09	305.55	718.08	417.77	486.75	395.18	503.95	902.89	309.83	819.3	780.44	1073.91	423.61	665.29	995.0	353.59	392.44	1119.56	309.83	954.43	759.08	353.59	332.14	796.86	420.68	334.46	842.36	684.02	1044.52	463.65	848.22	244.57	438.59	551.56	769.69	656.11	708.18	483.38	336.79	403.5	376.41	366.09	218.79	379.04	178.77	575.03	403.5	248.0
STARD13	14.78	35.0	22.75	19.53	38.4	63.45	36.01	10.24	31.67	23.59	19.97	24.11	19.53	616.37	63.45	39.22	35.5	17.13	173.85	172.65	26.28	173.85	13.32	47.17	111.99	27.44	237.86	80.01	229.72	26.86	44.89	42.11	54.33	166.73	255.0	376.41	85.82	133.36	251.48	32.82	28.24	27.05	54.33	42.71	64.34	73.54	293.07	74.06	151.22	150.17	107.38	66.18	74.58	87.65	66.65	54.72	127.89	52.45	120.94	223.41	226.54	275.28	45.53	45.85	42.41	54.33	126.12	204.07	41.81	92.05	6.57	202.66	397.93	40.36	156.59	193.01	470.14	39.22	255.0	42.71	42.71	146.03	52.82	30.12	165.57	260.38	77.79	87.03	255.0	63.89	94.01	123.5	208.38	137.14	95.34	218.79	37.05	64.8	145.02	209.84	46.18	143.01	36.27	63.45	37.85	21.01	47.5	41.52	23.42	29.91	33.3	27.25	53.95
SVEP1	38.12	67.12	27.84	51.35	39.79	84.63	82.87	19.68	12.55	0.65	12.36	22.26	22.1	316.37	98.04	92.05	236.21	17.9	231.32	125.24	84.63	91.41	59.13	57.89	54.33	35.76	135.24	66.18	37.85	18.56	13.93	17.51	8.13	18.7	46.84	182.55	69.03	11.38	172.65	64.8	67.59	32.82	17.9	36.27	12.55	26.86	44.25	40.93	48.18	63.89	68.55	36.27	63.89	303.44	69.03	32.59	52.82	24.63	26.1	157.68	92.05	220.32	10.16	42.71	10.79	23.76	33.78	111.99	45.53	87.03	12.09	115.97	105.15	118.43	68.07	73.03	167.9	60.82	146.03	68.07	25.91	74.06	56.28	23.59	36.53	109.66	15.22	21.63	96.68	46.5	81.14	48.87	67.59	116.78	87.03	70.51	15.45	48.18	217.27	148.09	64.34	37.32	105.15	37.59	28.65	117.6	43.94	6.57	67.59	43.94	54.33	41.22	27.25
SYT11	12.18	7.57	6.06	21.32	8.32	10.79	24.99	6.46	16.03	20.26	32.13	11.73	6.46	312.0	74.58	22.1	63.0	15.8	113.56	157.68	41.22	151.22	11.38	13.03	59.97	10.63	157.68	84.04	165.57	33.06	17.9	22.1	17.77	137.14	147.06	329.84	77.79	60.39	208.38	46.5	34.75	12.55	82.29	15.34	29.06	20.41	162.14	43.32	68.07	69.52	94.67	8.45	100.83	138.1	57.49	22.43	31.67	26.28	86.43	89.51	92.05	201.25	12.93	31.22	22.92	75.64	41.81	163.28	19.11	88.26	6.62	117.6	202.66	21.32	74.58	167.9	177.53	16.39	178.77	29.48	21.32	34.26	40.93	13.12	108.14	205.5	51.71	14.03	173.85	24.81	42.11	85.82	106.63	108.9	70.01	72.01	15.0	32.36	124.37	178.77	49.91	44.89	50.27	50.27	21.32	15.68	25.72	9.78	40.64	19.97	37.59	102.97	15.34
TBC1D1	660.68	1096.5	265.87	409.15	733.19	392.44	1023.0	334.46	612.11	728.11	921.88	1015.93	651.58	6652.97	1923.14	819.3	571.05	165.57	733.19	1350.18	1023.0	1259.69	248.0	138.1	473.41	242.88	941.27	551.56	1561.89	409.15	708.18	195.72	624.99	1059.11	1037.29	1191.69	669.92	579.04	1073.91	688.78	366.09	281.09	339.14	246.28	346.29	218.79	1794.29	414.87	961.07	718.08	1081.39	77.25	825.0	447.82	769.69	571.05	890.44	493.56	759.08	1104.13	728.11	988.12	406.31	493.56	392.44	941.27	1066.48	819.3	376.41	988.12	507.46	703.28	1225.22	426.57	733.19	1250.98	1685.71	395.18	1225.22	612.11	273.37	575.03	532.74	389.72	1175.27	1081.39	476.71	785.88	1104.13	698.41	426.57	536.45	941.27	1313.23	454.09	1104.13	571.05	642.59	713.11	733.19	476.71	1030.12	297.17	934.76	429.54	417.77	555.41	363.56	353.59	256.78	368.65	476.71	1350.18
TM6SF1	31.45	26.67	26.67	39.79	29.48	25.17	23.08	17.64	63.0	52.08	45.21	26.47	26.47	121.79	103.69	46.84	78.89	137.14	121.79	139.07	65.72	97.36	34.02	34.51	46.5	21.63	83.45	17.9	85.22	20.41	5.32	38.12	31.0	92.05	90.77	190.34	72.52	71.0	118.43	29.06	47.17	25.72	15.45	24.46	38.12	25.54	72.52	46.18	38.12	21.16	66.65	20.41	69.52	36.79	52.45	15.56	50.98	30.12	27.25	33.3	102.97	112.77	17.13	29.06	18.56	80.57	26.1	86.43	29.48	60.82	8.92	73.03	77.79	32.13	49.56	150.17	134.3	37.05	120.94	28.65	37.85	9.41	43.63	26.28	92.05	214.27	40.64	24.11	49.21	23.25	18.29	49.91	89.51	94.01	64.34	55.89	22.75	37.59	72.52	156.59	46.5	80.57	62.56	68.55	22.75	40.93	19.97	33.54	58.3	40.93	58.3	44.25	28.86
VSTM4	8.71	18.29	4.78	8.19	7.34	9.56	31.22	6.11	15.56	1.6	5.23	5.41	3.72	201.25	51.35	32.59	80.01	24.11	183.82	125.24	84.63	165.57	6.67	19.11	74.58	12.83	139.07	38.95	305.55	21.47	15.68	12.45	9.63	151.22	208.38	232.94	49.91	58.71	146.03	20.41	9.41	13.62	13.42	9.93	31.0	8.51	258.57	43.94	124.37	84.63	53.19	2.56	61.68	109.66	99.43	18.84	58.3	32.13	74.58	135.24	234.57	189.02	17.77	12.27	25.54	29.06	31.22	157.68	16.27	47.5	3.32	167.9	358.54	39.22	39.79	412.0	318.57	14.35	145.02	42.41	18.56	39.5	49.21	7.69	118.43	285.03	46.18	17.25	307.69	34.02	37.85	128.79	95.34	314.17	42.11	33.78	32.82	31.22	151.22	102.25	20.71	74.58	19.97	20.86	12.64	24.81	25.91	14.78	11.04	40.36	40.07	36.27	30.34
XYLT1	5.54	3.66	3.86	10.71	4.03	1.55	21.47	48.18	10.39	5.02	26.47	5.32	2.76	129.69	67.59	57.89	92.05	115.97	127.89	107.38	59.13	148.09	22.59	6.16	70.51	21.16	127.89	31.45	100.13	13.42	20.11	21.94	28.65	202.66	163.28	170.25	24.99	29.27	146.03	128.79	12.64	31.45	11.47	5.19	74.06	37.32	93.35	15.68	108.9	63.45	57.89	10.08	178.77	49.56	64.8	40.36	17.77	11.04	102.97	204.07	53.19	185.11	3.72	9.41	7.22	21.01	34.02	98.73	6.41	34.51	24.81	221.86	205.5	36.53	48.18	258.57	100.83	48.87	143.01	60.82	9.78	115.97	62.12	206.94	92.05	176.29	29.06	106.63	178.77	22.43	18.84	59.97	130.6	82.29	24.46	242.88	43.32	99.43	94.67	98.73	14.67	17.64	29.27	10.79	152.28	39.22	16.51	100.83	18.84	211.31	40.64	199.85	166.73
ZEB1	16.03	15.11	18.7	52.08	13.52	19.39	61.25	4.7	32.59	8.13	30.78	20.56	17.0	825.0	116.78	57.89	277.2	87.65	660.68	518.15	153.34	423.61	38.4	31.45	69.52	32.59	246.28	60.39	470.14	80.01	38.95	48.52	32.82	204.07	318.57	507.46	97.36	87.03	450.94	50.27	33.3	26.47	63.45	28.24	74.06	27.84	334.46	70.01	214.27	113.56	120.94	20.41	97.36	186.4	134.3	36.53	139.07	62.12	118.43	217.27	204.07	373.81	25.35	35.76	44.57	66.65	48.18	353.59	46.18	120.94	7.94	258.57	529.06	26.67	100.83	305.55	540.19	27.64	299.25	68.55	51.35	52.82	146.03	50.98	256.78	438.59	74.58	31.0	500.46	66.65	58.71	144.01	236.21	273.37	116.78	92.05	66.18	50.98	232.94	379.04	64.8	125.24	39.5	57.08	37.05	29.27	47.84	20.26	28.65	49.91	92.7	71.0	48.52
ZEB2	77.79	45.85	28.45	82.29	46.18	63.0	201.25	63.45	58.71	50.98	51.35	33.06	41.22	414.87	202.66	69.03	232.94	121.79	457.25	426.57	137.14	395.18	47.84	65.72	126.12	49.21	500.46	70.01	547.75	66.18	69.52	69.52	59.97	603.67	599.49	1225.22	178.77	175.07	660.68	98.73	52.45	59.97	62.12	134.3	73.54	47.5	607.87	120.94	228.13	187.71	241.19	24.63	202.66	269.6	164.42	51.71	146.03	76.71	220.32	251.48	371.22	860.08	52.45	91.41	77.25	166.73	123.5	624.99	66.18	206.94	21.16	406.31	599.49	55.1	269.6	733.19	947.83	60.82	693.58	56.28	81.71	55.1	115.16	36.53	409.15	551.56	101.54	35.5	463.65	73.03	105.15	116.78	361.04	307.69	171.45	232.94	69.52	92.7	186.4	575.03	105.89	148.09	145.02	136.19	88.88	36.79	55.49	47.5	98.73	59.13	124.37	81.71	49.91
ZFP92	5.15	5.5	3.44	7.69	4.5	2.36	17.64	0.0	0.0	1.04	6.46	3.17	2.48	29.06	4.74	3.96	2.14	24.28	8.92	16.15	5.15	35.5	4.28	20.56	5.77	3.23	16.27	5.82	18.56	4.78	6.52	15.8	6.57	13.12	9.93	17.9	2.53	1.22	8.85	7.69	0.59	22.59	4.31	1.07	9.56	6.62	10.31	2.07	6.62	20.56	8.19	1.25	7.46	3.96	12.36	2.1	2.63	4.06	19.68	17.9	17.0	14.67	0.79	1.89	2.18	3.29	2.34	17.0	1.35	2.92	0.87	19.68	18.97	1.83	17.51	19.25	16.39	10.79	14.03	9.7	0.91	6.94	17.13	4.13	4.86	8.45	1.64	9.7	10.79	6.31	6.31	18.97	8.65	12.64	5.23	49.91	2.41	5.63	6.31	16.88	5.92	22.1	2.14	0.87	0.95	15.34	5.87	1.39	0.0	1.07	6.94	3.44	4.82
ZNF521	4.1	26.67	1.31	8.19	10.08	3.63	15.8	0.84	9.48	3.76	4.82	11.38	2.94	132.44	50.27	48.52	103.69	34.26	111.99	75.64	59.55	122.64	3.69	10.88	84.63	18.84	209.84	45.21	336.79	22.59	23.93	15.56	8.13	53.19	111.99	490.14	128.79	47.17	303.44	31.9	15.34	14.35	16.51	15.91	15.68	21.78	141.02	96.68	197.09	99.43	82.87	7.94	69.52	194.36	111.99	26.67	30.78	62.12	59.13	124.37	334.46	301.33	10.63	11.55	15.11	57.08	37.85	275.28	13.72	76.17	7.51	197.09	260.38	23.08	103.69	130.6	232.94	9.78	202.66	34.51	27.05	46.5	32.59	11.04	102.97	343.89	27.44	9.56	205.5	20.41	50.27	90.77	158.79	182.55	45.21	18.84	16.03	38.4	205.5	392.44	21.78	34.51	22.75	19.11	12.09	14.56	22.75	5.96	14.35	18.43	22.75	19.82	6.62
