	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.SY.A9G0.01A.12R.A38B.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.BT.A2LD.01A.12R.A20F.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.GU.A762.01A.11R.A33J.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.XF.AAMR.01A.31R.A42T.07	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.XF.A9T6.01A.11R.A42T.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.DK.A3IL.01A.11R.A20F.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.12696.0926.SM.5FQTV	GTEX.1497J.0726.SM.5Q5D1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.11EQ9.0226.SM.5A5JX	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.WFG8.0926.SM.3GIKJ	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.SIU7.0526.SM.3NM8I	GTEX.WFON.0426.SM.3GIL4	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZYWO.0826.SM.5E45W	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.OIZI.0726.SM.2XCEI	GTEX.13O1R.0826.SM.5J2MB
MYO9A	49.21	156.59	51.35	92.05	80.01	118.43	78.34	128.79	59.13	63.89	66.18	30.78	64.8	52.45	97.36	71.5	74.06	44.25	47.84	42.41	89.51	27.84	139.07	50.27	43.94	61.68	48.18	60.82	31.45	72.52	35.5	90.14	92.05	51.35	125.24	29.06	74.06	28.04	96.01	63.89	43.32	33.54	44.89	51.71	82.87	121.79	117.6	748.61	13.22	409.15	255.0	165.57	159.9	244.57	202.66	241.19	269.6	256.78	346.29	215.77	127.89	173.85	323.03	389.72	480.04	215.77	346.29	159.9	332.14	82.87	209.84	253.23	92.7	295.11	172.65	161.02	226.54	279.14	361.04	642.59	208.38
NBR1	521.76	791.35	684.02	642.59	450.94	1104.13	1259.69	915.51	830.75	312.0	642.59	647.07	599.49	1143.1	941.27	713.11	1030.12	780.44	860.08	595.34	947.83	567.1	1487.87	759.08	764.36	555.41	525.39	733.19	587.13	915.51	587.13	988.12	1159.07	400.71	1127.35	647.07	830.75	521.76	775.05	1159.07	928.3	595.34	764.36	466.88	583.07	1388.16	1651.0	1639.59	536.45	1417.35	426.57	896.64	1359.57	1286.18	1277.29	1378.57	1216.75	890.44	1594.73	1111.82	825.0	890.44	1540.37	1304.15	1037.29	1037.29	1487.87	780.44	848.22	343.89	1104.13	981.29	753.83	921.88	915.51	764.36	988.12	1250.98	1059.11	2384.37	1216.75
NHLRC2	34.02	84.63	70.51	46.84	34.26	63.45	82.87	100.83	38.4	39.5	36.53	14.78	31.9	67.59	34.26	42.11	66.18	54.33	41.52	35.0	55.89	17.25	77.79	44.25	21.63	46.84	47.17	56.28	37.32	74.58	25.72	79.45	47.84	30.78	65.26	10.47	28.04	25.72	48.18	66.65	43.02	37.85	24.28	35.25	38.12	78.89	178.77	114.36	58.3	114.36	55.1	67.12	98.04	109.66	103.69	106.63	78.89	70.51	108.14	100.13	72.52	96.01	119.26	102.97	161.02	114.36	93.35	92.7	106.63	98.04	75.64	107.38	43.94	92.7	92.05	99.43	85.82	124.37	136.19	171.45	92.05
PDPR	54.33	251.48	25.91	51.71	21.94	110.43	72.52	182.55	20.86	36.53	115.97	76.17	94.67	84.63	70.01	81.71	269.6	11.38	79.45	94.01	143.01	34.26	217.27	22.1	19.53	37.85	115.16	47.5	36.01	208.38	20.11	53.57	129.69	99.43	128.79	27.64	62.12	35.76	128.79	109.66	57.89	33.78	39.22	65.26	85.82	102.25	138.1	379.04	36.79	201.25	226.54	142.01	120.1	579.04	199.85	204.07	353.59	187.71	334.46	246.28	163.28	356.05	332.14	318.57	223.41	209.84	244.57	144.01	92.05	403.5	223.41	158.79	142.01	154.42	155.5	264.03	152.28	181.28	299.25	466.88	343.89
PEX12	41.52	63.0	38.12	108.14	60.39	114.36	75.64	84.63	79.45	26.67	59.13	84.63	61.25	127.89	102.25	108.14	43.02	96.68	103.69	60.82	77.25	71.5	193.01	94.01	70.01	38.95	56.28	97.36	69.52	81.71	61.25	82.87	74.58	82.87	138.1	52.45	113.56	38.95	137.14	92.05	89.51	63.0	46.84	70.01	78.34	114.36	211.31	246.28	73.03	127.0	95.34	120.94	125.24	138.1	111.21	167.9	140.04	135.24	105.89	116.78	135.24	117.6	128.79	141.02	140.04	139.07	142.01	54.33	109.66	102.97	116.78	87.65	79.45	138.1	154.42	134.3	132.44	97.36	161.02	314.17	127.0
PIK3C2A	134.3	137.14	92.7	148.09	64.34	234.57	329.84	381.68	96.68	46.18	133.36	75.11	87.65	172.65	115.16	115.97	190.34	115.97	86.43	84.63	187.71	92.05	205.5	88.88	72.01	82.29	123.5	98.73	92.05	178.77	56.28	108.14	172.65	44.25	185.11	42.71	156.59	60.82	114.36	87.03	117.6	89.51	50.63	58.71	96.68	253.23	339.14	872.1	96.01	603.67	185.11	197.09	438.59	514.56	412.0	361.04	435.55	373.81	713.11	460.44	341.51	406.31	825.0	406.31	547.75	329.84	583.07	253.23	476.71	450.94	392.44	420.68	98.04	358.54	209.84	514.56	400.71	426.57	480.04	1225.22	612.11
PIKFYVE	95.34	194.36	42.11	71.5	19.97	116.78	58.3	153.34	63.0	49.21	81.71	48.87	43.32	99.43	63.89	58.3	83.45	51.35	63.89	33.3	96.01	46.18	115.97	42.11	40.36	60.39	57.49	67.12	49.91	68.07	14.67	86.43	60.39	21.01	110.43	76.17	94.67	34.75	67.59	63.89	65.72	63.89	48.18	36.79	48.52	169.07	194.36	189.02	38.4	176.29	73.03	102.97	97.36	140.04	126.12	111.99	112.77	108.14	159.9	114.36	121.79	94.01	239.52	133.36	201.25	127.0	162.14	178.77	111.21	169.07	112.77	128.79	72.01	190.34	102.97	84.63	131.51	126.12	154.42	309.83	194.36
PLEKHM3	6.78	49.21	9.34	7.94	7.82	10.47	12.64	36.53	15.34	13.83	11.04	9.2	9.06	43.63	4.24	13.93	25.91	12.09	20.56	4.58	12.0	9.85	19.11	9.63	5.41	12.36	8.0	7.11	8.19	29.06	7.46	21.63	5.68	22.92	31.67	3.92	15.34	4.03	14.35	7.22	15.11	8.32	3.89	13.22	8.85	14.89	21.78	35.76	7.0	82.29	35.0	48.87	23.59	57.89	31.0	65.72	69.03	37.59	96.01	64.34	35.0	42.11	61.25	91.41	58.3	38.95	55.49	96.68	62.56	46.5	71.5	87.65	52.45	75.64	44.57	38.4	43.32	63.0	88.88	87.03	93.35
POLK	68.07	158.79	43.02	73.03	58.3	186.4	165.57	201.25	31.22	63.45	50.27	103.69	48.87	87.65	72.52	47.84	90.77	82.29	81.14	44.89	92.7	42.11	189.02	51.35	37.85	43.94	82.87	78.89	76.71	98.04	30.34	81.14	90.14	71.0	79.45	26.1	140.04	59.97	38.67	129.69	46.5	58.3	52.45	35.5	66.65	147.06	236.21	246.28	85.22	231.32	148.09	193.01	178.77	228.13	201.25	220.32	146.03	150.17	279.14	246.28	175.07	134.3	287.01	283.05	423.61	297.17	281.09	166.73	241.19	116.78	166.73	236.21	114.36	246.28	181.28	199.85	164.42	177.53	348.71	688.78	242.88
PTAR1	57.49	156.59	76.71	55.1	24.99	151.22	71.5	165.57	60.39	78.34	78.34	69.52	99.43	199.85	64.8	124.37	133.36	87.65	170.25	90.14	63.45	47.84	128.79	96.68	46.84	74.58	120.94	33.3	82.87	129.69	85.82	87.65	138.1	66.65	110.43	38.95	86.43	84.04	153.34	66.18	76.17	96.68	31.22	92.05	117.6	237.86	325.29	336.79	111.99	291.04	138.1	147.06	195.72	217.27	234.57	228.13	218.79	205.5	295.11	253.23	153.34	149.12	301.33	187.71	392.44	265.87	265.87	273.37	255.0	223.41	195.72	176.29	59.97	248.0	206.94	201.25	156.59	297.17	251.48	379.04	221.86
PTPRG	92.05	61.25	89.51	85.22	2.68	143.01	106.63	209.84	20.71	15.22	20.11	34.51	63.0	147.06	22.43	19.82	86.43	9.27	15.45	117.6	124.37	77.79	140.04	56.28	26.86	94.67	79.45	21.78	34.26	69.03	20.56	58.71	111.99	11.13	44.57	43.32	69.52	31.45	66.65	101.54	60.82	47.84	21.63	57.89	26.28	329.84	303.44	728.11	90.77	1044.52	297.17	551.56	547.75	450.94	684.02	791.35	791.35	684.02	1088.92	884.29	384.34	486.75	1467.37	836.53	392.44	738.29	629.35	371.22	665.29	256.78	785.88	339.14	115.16	902.89	412.0	1397.83	884.29	928.3	860.08	1225.22	802.41
RAB11FIP2	40.93	115.97	26.47	56.28	25.91	178.77	96.01	171.45	40.64	47.5	39.79	17.9	45.21	92.7	37.59	39.79	62.56	31.9	42.11	42.11	45.53	53.95	204.07	49.56	33.06	75.64	55.49	84.04	45.85	56.28	45.53	47.5	77.79	35.5	104.42	28.45	65.26	35.0	59.97	40.93	47.17	39.22	32.82	33.78	75.64	132.44	144.01	435.55	42.11	212.78	129.69	180.02	206.94	260.38	206.94	221.86	189.02	154.42	202.66	166.73	224.97	323.03	336.79	221.86	447.82	279.14	414.87	157.68	195.72	244.57	214.27	208.38	64.8	285.03	214.27	186.4	239.52	135.24	262.2	417.77	221.86
RAD17	260.38	248.0	255.0	334.46	197.09	327.56	358.54	332.14	194.36	255.0	417.77	373.81	198.47	373.81	279.14	218.79	248.0	279.14	242.88	186.4	346.29	224.97	412.0	114.36	209.84	209.84	201.25	348.71	262.2	215.77	82.87	209.84	251.48	237.86	271.48	209.84	353.59	162.14	109.66	356.05	228.13	212.78	218.79	129.69	237.86	336.79	397.93	775.05	183.82	438.59	336.79	379.04	397.93	450.94	476.71	414.87	466.88	351.14	412.0	363.56	323.03	358.54	543.96	351.14	457.25	447.82	511.0	175.07	323.03	293.07	358.54	279.14	249.73	363.56	341.51	435.55	426.57	339.14	400.71	567.1	271.48
RAPGEF2	231.32	103.69	51.71	153.34	47.17	205.5	307.69	291.04	110.43	44.89	165.57	66.65	75.11	249.73	126.12	173.85	201.25	253.23	115.16	73.54	139.07	63.0	205.5	60.39	77.79	166.73	176.29	122.64	74.06	80.01	40.93	220.32	215.77	45.53	172.65	50.63	158.79	63.0	114.36	102.97	163.28	94.01	85.82	69.03	101.54	334.46	376.41	473.41	204.07	1242.34	599.49	660.68	612.11	928.3	733.19	563.18	713.11	703.28	909.17	764.36	629.35	543.96	830.75	896.64	1044.52	466.88	1457.23	941.27	759.08	476.71	878.17	1175.27	165.57	514.56	480.04	371.22	718.08	599.49	848.22	1104.13	435.55
RAPGEF6	39.5	63.89	29.7	51.71	26.47	68.55	81.71	90.77	34.51	38.67	33.06	64.34	27.84	68.07	48.87	44.57	53.19	37.32	41.22	29.7	46.5	31.45	67.12	34.26	39.79	52.08	32.36	57.49	47.84	33.3	25.72	40.64	60.39	28.24	60.82	24.99	56.28	46.84	46.5	52.82	52.08	39.5	29.48	13.62	37.85	49.21	107.38	95.34	56.28	151.22	75.11	75.11	72.01	115.16	63.89	92.7	94.67	85.22	125.24	102.97	90.77	60.39	140.04	117.6	154.42	93.35	151.22	98.04	111.99	159.9	76.17	125.24	50.63	78.89	73.03	90.14	85.22	70.51	129.69	208.38	100.83
RNF111	215.77	346.29	137.14	264.03	145.02	264.03	320.8	334.46	253.23	258.57	244.57	113.56	163.28	305.55	305.55	152.28	195.72	181.28	178.77	127.0	211.31	116.78	220.32	161.02	206.94	228.13	167.9	248.0	224.97	236.21	126.12	289.02	301.33	120.94	231.32	115.97	289.02	146.03	186.4	234.57	201.25	251.48	199.85	170.25	183.82	348.71	500.46	289.02	135.24	231.32	178.77	275.28	264.03	299.25	217.27	373.81	269.6	312.0	244.57	312.0	307.69	239.52	242.88	277.2	438.59	285.03	323.03	273.37	283.05	305.55	312.0	301.33	189.02	325.29	305.55	242.88	226.54	346.29	353.59	486.75	356.05
RNF13	426.57	819.3	587.13	738.29	450.94	1073.91	1199.98	1081.39	866.07	547.75	947.83	595.34	356.05	1350.18	563.18	808.0	1250.98	486.75	738.29	444.72	559.28	854.13	1119.56	775.05	536.45	559.28	616.37	684.02	555.41	785.88	620.67	921.88	836.53	450.94	1088.92	409.15	703.28	854.13	764.36	775.05	1159.07	836.53	674.59	902.89	536.45	1159.07	1457.23	1639.59	896.64	2104.58	1104.13	3103.19	2915.45	2417.67	2287.2	3190.46	3540.14	1950.0	2485.67	1733.13	2224.63	1388.16	4869.99	2502.97	3515.68	2682.69	4210.15	1529.73	1832.01	854.13	2664.15	2061.24	1963.57	2956.17	1896.65	1883.54	1757.34	1769.57	2485.67	2627.46	1023.0
RNF144B	105.15	220.32	211.31	62.56	450.94	163.28	69.52	89.51	103.69	1331.57	140.04	133.36	127.89	166.73	33.3	24.11	86.43	71.5	251.48	231.32	171.45	143.01	90.14	147.06	81.14	57.49	79.45	44.57	142.01	54.72	32.59	130.6	201.25	403.5	66.18	48.52	118.43	351.14	126.12	113.56	125.24	61.25	73.03	78.89	102.25	454.09	599.49	1096.5	318.57	718.08	447.82	915.51	753.83	1159.07	540.19	884.29	1066.48	480.04	1662.49	571.05	412.0	567.1	902.89	909.17	376.41	651.58	967.76	152.28	420.68	392.44	447.82	1183.45	277.2	878.17	684.02	884.29	366.09	733.19	656.11	1350.18	595.34
ROCK1	127.89	273.37	165.57	137.14	88.88	507.46	299.25	381.68	170.25	75.64	108.9	108.14	169.07	218.79	108.9	133.36	177.53	199.85	176.29	99.43	155.5	127.89	400.71	114.36	82.29	127.89	231.32	142.01	129.69	182.55	67.59	228.13	158.79	92.7	255.0	76.17	320.8	131.51	167.9	125.24	204.07	177.53	101.54	100.13	122.64	256.78	346.29	371.22	145.02	547.75	234.57	265.87	348.71	423.61	356.05	387.02	368.65	258.57	476.71	540.19	314.17	334.46	507.46	336.79	470.14	336.79	450.94	457.25	450.94	253.23	412.0	441.64	217.27	363.56	275.28	283.05	353.59	571.05	486.75	500.46	231.32
RRM2B	116.78	400.71	301.33	162.14	102.97	264.03	743.43	351.14	176.29	255.0	214.27	121.79	450.94	204.07	115.16	521.76	325.29	669.92	88.26	88.88	279.14	132.44	312.0	204.07	117.6	339.14	231.32	144.01	420.68	153.34	866.07	165.57	163.28	159.9	363.56	84.04	255.0	126.12	244.57	181.28	327.56	162.14	87.03	80.01	57.89	307.69	785.88	954.43	189.02	507.46	202.66	361.04	387.02	878.17	1104.13	620.67	457.25	703.28	521.76	334.46	497.0	583.07	507.46	379.04	547.75	1340.84	450.94	1030.12	679.29	693.58	500.46	376.41	231.32	358.54	256.78	1119.56	356.05	275.28	470.14	1216.75	624.99
SECISBP2L	164.42	147.06	75.64	161.02	46.84	249.73	241.19	253.23	162.14	55.89	146.03	43.02	98.73	182.55	155.5	147.06	104.42	140.04	96.68	53.95	176.29	44.89	262.2	152.28	121.79	144.01	108.9	163.28	96.68	137.14	47.17	175.07	183.82	42.71	170.25	35.76	157.68	60.82	140.04	155.5	122.64	73.54	115.16	94.01	127.0	543.96	738.29	688.78	120.1	1015.93	547.75	647.07	769.69	1030.12	842.36	1167.14	660.68	466.88	2119.22	543.96	511.0	540.19	1896.65	1397.83	1340.84	476.71	1322.37	791.35	633.73	718.08	878.17	674.59	343.89	629.35	497.0	587.13	1051.79	529.06	1628.26	915.51	387.02
SLC25A46	187.71	231.32	211.31	215.77	283.05	454.09	366.09	379.04	176.29	209.84	158.79	246.28	147.06	454.09	164.42	191.67	325.29	246.28	255.0	177.53	255.0	175.07	466.88	248.0	158.79	189.02	314.17	242.88	223.41	199.85	120.94	162.14	199.85	215.77	217.27	146.03	291.04	180.02	197.09	199.85	256.78	217.27	108.14	149.12	145.02	332.14	583.07	1143.1	269.6	518.15	277.2	603.67	665.29	665.29	420.68	642.59	579.04	518.15	651.58	518.15	603.67	603.67	854.13	514.56	890.44	860.08	620.67	547.75	486.75	547.75	620.67	441.64	190.34	490.14	500.46	759.08	497.0	395.18	733.19	769.69	679.29
SLC35A5	158.79	265.87	156.59	205.5	262.2	384.34	323.03	463.65	275.28	128.79	226.54	253.23	173.85	579.04	187.71	182.55	532.74	224.97	476.71	265.87	239.52	253.23	435.55	291.04	198.47	157.68	236.21	193.01	185.11	444.72	215.77	323.03	373.81	242.88	312.0	166.73	277.2	281.09	314.17	299.25	387.02	164.42	198.47	199.85	152.28	414.87	571.05	1127.35	277.2	890.44	514.56	791.35	830.75	896.64	791.35	1191.69	830.75	860.08	624.99	825.0	575.03	633.73	1388.16	941.27	1030.12	1135.2	1143.1	279.14	708.18	432.53	651.58	612.11	397.93	759.08	738.29	819.3	660.68	633.73	947.83	1369.04	571.05
SMAD4	258.57	454.09	181.28	218.79	215.77	830.75	441.64	713.11	543.96	137.14	236.21	273.37	182.55	813.63	211.31	511.0	463.65	392.44	253.23	175.07	262.2	165.57	638.15	212.78	175.07	152.28	532.74	231.32	314.17	633.73	138.1	651.58	246.28	80.57	532.74	171.45	356.05	194.36	231.32	305.55	718.08	198.47	209.84	134.3	226.54	603.67	1487.87	1561.89	144.01	1111.82	575.03	587.13	587.13	1127.35	902.89	1242.34	642.59	988.12	1295.13	1001.93	878.17	848.22	1498.22	902.89	1963.57	1697.45	1427.22	521.76	954.43	1111.82	1104.13	1081.39	212.78	995.0	802.41	934.76	764.36	1119.56	909.17	2956.17	1044.52
SNX18	82.29	164.42	197.09	159.9	57.08	239.52	234.57	234.57	167.9	78.34	186.4	92.05	79.45	199.85	111.99	50.98	155.5	48.52	91.41	91.41	189.02	77.79	312.0	53.57	131.51	76.71	119.26	57.49	116.78	135.24	77.79	163.28	97.36	80.01	111.21	55.89	186.4	125.24	87.03	131.51	146.03	91.41	39.79	130.6	84.04	244.57	281.09	769.69	172.65	346.29	277.2	532.74	339.14	417.77	438.59	379.04	264.03	363.56	325.29	497.0	320.8	271.48	384.34	414.87	400.71	260.38	379.04	138.1	305.55	260.38	351.14	651.58	114.36	890.44	387.02	295.11	339.14	348.71	435.55	323.03	237.86
SNX4	283.05	769.69	334.46	371.22	260.38	476.71	688.78	620.67	713.11	356.05	470.14	435.55	454.09	551.56	295.11	366.09	738.29	368.65	507.46	204.07	351.14	373.81	543.96	547.75	299.25	381.68	379.04	312.0	450.94	693.58	514.56	511.0	476.71	198.47	521.76	316.37	587.13	205.5	532.74	473.41	791.35	426.57	279.14	638.15	490.14	423.61	684.02	915.51	674.59	713.11	480.04	981.29	1167.14	633.73	665.29	974.5	791.35	547.75	1030.12	651.58	674.59	808.0	1259.69	941.27	1081.39	967.76	866.07	518.15	518.15	866.07	802.41	629.35	444.72	733.19	819.3	947.83	796.86	591.22	915.51	1467.37	728.11
SPRED1	123.5	53.57	126.12	162.14	64.8	256.78	208.38	198.47	87.03	45.85	16.03	82.87	40.93	85.22	176.29	84.04	103.69	198.47	33.06	132.44	204.07	109.66	111.99	78.89	68.55	71.0	152.28	137.14	83.45	114.36	44.89	180.02	105.89	69.03	81.14	30.78	226.54	218.79	40.36	130.6	84.63	86.43	84.63	64.8	22.92	486.75	511.0	251.48	141.02	353.59	323.03	346.29	384.34	397.93	170.25	336.79	241.19	183.82	323.03	248.0	514.56	232.94	698.41	473.41	902.89	283.05	441.64	529.06	281.09	947.83	228.13	514.56	111.99	220.32	285.03	289.02	285.03	220.32	348.71	698.41	363.56
SRBD1	66.18	114.36	88.26	113.56	161.02	169.07	96.68	120.1	105.89	87.65	55.89	140.04	189.02	152.28	71.5	234.57	158.79	100.13	215.77	150.17	120.94	120.94	194.36	131.51	84.63	89.51	103.69	103.69	100.83	161.02	75.64	114.36	73.54	173.85	143.01	84.04	98.04	117.6	146.03	136.19	102.97	75.64	79.45	67.12	96.01	166.73	211.31	258.57	129.69	220.32	209.84	285.03	228.13	197.09	191.67	295.11	256.78	221.86	198.47	209.84	248.0	220.32	249.73	293.07	366.09	248.0	358.54	103.69	220.32	172.65	191.67	277.2	242.88	256.78	241.19	253.23	228.13	189.02	283.05	325.29	92.05
STAM2	256.78	275.28	194.36	178.77	81.71	256.78	166.73	303.44	239.52	116.78	153.34	205.5	273.37	325.29	215.77	162.14	176.29	127.89	159.9	93.35	309.83	102.97	303.44	145.02	193.01	283.05	191.67	269.6	120.94	199.85	120.94	218.79	199.85	83.45	285.03	115.16	262.2	74.06	166.73	177.53	176.29	180.02	142.01	120.94	234.57	293.07	426.57	480.04	122.64	384.34	228.13	376.41	339.14	332.14	291.04	361.04	264.03	316.37	305.55	323.03	301.33	285.03	486.75	373.81	571.05	368.65	409.15	152.28	312.0	287.01	273.37	297.17	218.79	334.46	366.09	249.73	260.38	332.14	371.22	417.77	277.2
STX7	133.36	511.0	171.45	251.48	208.38	688.78	289.02	518.15	314.17	371.22	320.8	363.56	441.64	414.87	185.11	470.14	518.15	273.37	293.07	264.03	295.11	307.69	511.0	514.56	212.78	255.0	532.74	226.54	351.14	327.56	208.38	457.25	166.73	309.83	293.07	136.19	293.07	312.0	271.48	473.41	447.82	158.79	154.42	299.25	251.48	447.82	669.92	967.76	275.28	1359.57	532.74	1350.18	1295.13	1447.15	1304.15	1977.24	1304.15	1340.84	2351.53	1594.73	1023.0	1023.0	1313.23	1487.87	1697.45	1073.91	1447.15	409.15	1359.57	303.44	1540.37	1104.13	603.67	1923.14	1008.9	1119.56	1183.45	1331.57	1991.0	974.5	447.82
SYNJ1	202.66	239.52	43.02	74.58	41.81	123.5	127.89	111.99	88.88	52.45	135.24	56.28	75.64	108.14	36.79	107.38	121.79	135.24	88.26	63.0	102.97	45.85	146.03	76.17	52.08	84.63	78.34	69.52	54.72	169.07	82.87	84.63	125.24	44.57	84.63	39.79	105.15	57.49	111.99	79.45	61.25	60.82	43.94	70.51	82.29	149.12	157.68	234.57	52.82	202.66	78.34	96.01	171.45	195.72	161.02	139.07	137.14	130.6	106.63	137.14	136.19	122.64	353.59	143.01	226.54	143.01	287.01	125.24	85.82	129.69	133.36	144.01	111.21	137.14	158.79	106.63	162.14	181.28	137.14	432.53	150.17
TBC1D5	137.14	269.6	71.5	171.45	72.52	208.38	346.29	299.25	226.54	120.94	265.87	193.01	137.14	325.29	136.19	169.07	191.67	105.89	94.67	102.97	323.03	127.0	256.78	151.22	144.01	123.5	181.28	157.68	87.03	209.84	104.42	239.52	217.27	146.03	381.68	102.25	94.67	155.5	228.13	202.66	255.0	239.52	135.24	84.63	167.9	392.44	532.74	620.67	177.53	688.78	316.37	403.5	206.94	470.14	497.0	616.37	376.41	500.46	620.67	518.15	392.44	343.89	612.11	825.0	728.11	514.56	607.87	148.09	318.57	81.71	303.44	373.81	312.0	629.35	389.72	316.37	267.73	198.47	503.95	483.38	177.53
THAP5	102.25	205.5	151.22	122.64	79.45	267.73	208.38	309.83	129.69	135.24	142.01	212.78	147.06	221.86	144.01	164.42	167.9	177.53	221.86	77.25	122.64	112.77	265.87	144.01	86.43	143.01	124.37	105.15	96.68	242.88	104.42	152.28	134.3	129.69	301.33	80.01	143.01	114.36	97.36	166.73	218.79	158.79	80.57	136.19	180.02	211.31	397.93	514.56	159.9	351.14	153.34	348.71	309.83	476.71	295.11	301.33	231.32	332.14	376.41	305.55	295.11	186.4	358.54	279.14	457.25	483.38	384.34	303.44	358.54	395.18	361.04	301.33	129.69	307.69	256.78	325.29	384.34	361.04	341.51	612.11	314.17
TM6SF1	46.5	39.22	43.94	57.49	71.0	156.59	48.52	108.14	29.7	68.07	67.59	70.51	39.22	42.71	8.51	35.76	106.63	45.21	34.26	82.29	33.54	98.04	148.09	35.25	38.67	38.12	104.42	40.93	64.8	40.36	44.25	34.51	52.45	34.02	28.86	46.84	56.68	149.12	33.54	53.95	40.36	25.54	12.55	98.04	23.42	218.79	120.94	281.09	99.43	507.46	178.77	698.41	353.59	435.55	438.59	669.92	473.41	511.0	406.31	384.34	412.0	438.59	860.08	466.88	503.95	156.59	679.29	58.71	244.57	46.5	514.56	239.52	212.78	164.42	176.29	301.33	281.09	291.04	373.81	587.13	108.14
TMED7	368.65	808.0	368.65	540.19	733.19	848.22	1111.82	909.17	368.65	493.56	325.29	476.71	441.64	647.07	466.88	483.38	651.58	629.35	884.29	460.44	713.11	500.46	909.17	713.11	483.38	473.41	743.43	511.0	733.19	450.94	435.55	532.74	503.95	447.82	511.0	199.85	961.07	591.22	647.07	587.13	612.11	473.41	195.72	511.0	353.59	748.61	1135.2	1977.24	890.44	1023.0	802.41	1487.87	1417.35	1127.35	1135.2	1295.13	1175.27	796.86	981.29	1135.2	1242.34	1216.75	1806.78	1322.37	1819.35	1674.06	1081.39	1769.57	1331.57	1721.16	1059.11	2018.8	429.54	1242.34	1359.57	1378.57	1250.98	967.76	1295.13	1662.49	1233.75
TMED8	52.82	141.02	53.19	76.17	47.17	153.34	129.69	139.07	63.89	66.18	62.12	60.82	81.71	199.85	56.28	63.89	142.01	66.65	79.45	71.0	86.43	69.03	111.99	76.17	54.33	59.97	75.64	55.1	54.72	115.97	82.29	91.41	88.26	66.18	116.78	53.95	96.01	69.03	116.78	48.18	88.88	85.82	50.27	47.5	72.01	165.57	285.03	353.59	40.93	118.43	87.03	96.01	147.06	94.01	115.16	150.17	131.51	138.1	104.42	165.57	106.63	122.64	170.25	163.28	163.28	90.77	170.25	131.51	62.12	185.11	82.29	218.79	85.82	162.14	158.79	98.73	118.43	166.73	100.83	490.14	172.65
