	TCGA.4Z.AA84.01A.11R.A39I.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.FD.A3SJ.01A.12R.A22U.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.CU.A0YR.01A.12R.A10U.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.K4.A6MB.01A.11R.A31N.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.BL.A13J.01A.11R.A10U.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.2F.A9KW.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.FD.A3NA.01A.11R.A21D.07	TCGA.4Z.AA7M.01A.11R.A39I.07	TCGA.C8.A12P.01A.11R.A115.07	TCGA.BH.A203.01A.12R.A169.07	TCGA.L5.A4OG.01A.11R.A260.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.97.8547.01A.11R.2403.07	TCGA.55.A490.01A.11R.A466.07	TCGA.62.8397.01A.11R.2326.07	TCGA.CG.5724.01A.11R.1602.13	TCGA.VQ.A8E7.01B.11R.A414.31	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.D7.A6EY.01A.21R.A31P.31	TCGA.VQ.A91S.01A.11R.A414.31	TCGA.MX.A5UJ.01A.11R.A31P.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.HU.A4H4.01A.21R.A251.31	TCGA.IN.AB1V.01A.21R.A414.31	TCGA.VQ.A94U.01A.12R.A414.31	TCGA.RD.A8NB.01A.12R.A39E.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.VQ.A8PJ.01A.11R.A414.31	TCGA.D7.6526.01A.11R.1802.13	TCGA.VQ.A8PO.01A.11R.A414.31	TCGA.CG.5719.01A.11R.1602.13	TCGA.CD.5804.01A.12R.2055.13	TCGA.BR.6453.01A.11R.1802.13	TCGA.D7.6524.01A.11R.1802.13	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A2CO.01A.11R.A19O.07
MIS18BP1	234.57	145.02	111.21	323.03	299.25	197.09	579.04	237.86	271.48	242.88	497.0	327.56	147.06	242.88	361.04	221.86	164.42	242.88	185.11	116.78	348.71	334.46	244.57	287.01	295.11	285.03	366.09	83.45	39.79	25.91	33.54	80.01	20.56	51.35	57.49	16.27	269.6	157.68	223.41	232.94	318.57	540.19	314.17	490.14	291.04	490.14	348.71	379.04	387.02	318.57	384.34	397.93	309.83	215.77	316.37	177.53	120.1	264.03	255.0	75.64	96.68
MLANA	0.97	0.69	2.01	3.38	0.62	2.18	3.79	3.2	1.85	0.99	0.35	4.21	1.11	0.74	2.34	1.22	2.81	0.79	0.33	0.73	2.58	0.62	3.08	0.62	2.25	3.26	4.7	1.5	9.41	3.08	10.96	5.36	0.34	0.59	1.01	1.68	0.0	1.1	0.95	2.56	5.59	13.52	11.13	33.78	6.78	7.75	21.63	18.03	21.63	16.88	25.91	4.74	7.11	3.5	9.78	1.5	3.69	5.15	5.5	1.69	6.21
MTPAP	295.11	202.66	128.79	229.72	403.5	273.37	96.68	166.73	185.11	183.82	381.68	249.73	379.04	129.69	115.16	285.03	126.12	134.3	231.32	155.5	343.89	262.2	287.01	260.38	271.48	164.42	231.32	149.12	115.16	110.43	71.5	120.1	82.87	87.65	72.52	88.88	241.19	218.79	131.51	171.45	281.09	226.54	341.51	444.72	264.03	291.04	361.04	206.94	423.61	363.56	309.83	244.57	237.86	231.32	329.84	151.22	114.36	162.14	177.53	152.28	190.34
N4BP2	15.45	17.51	19.82	47.84	42.41	24.11	94.67	21.78	73.54	15.8	49.91	42.41	28.45	24.63	59.97	72.01	29.48	38.67	24.99	13.03	32.36	32.59	33.54	32.13	24.63	72.01	38.67	36.27	12.45	5.77	3.29	16.51	8.0	8.45	9.34	10.39	46.5	76.17	35.76	22.75	63.45	42.71	48.18	53.19	39.79	36.01	42.11	71.5	49.21	57.08	47.84	64.8	51.35	43.02	56.28	35.0	18.43	35.76	46.84	25.35	21.47
NAA16	379.04	156.59	189.02	162.14	111.99	167.9	221.86	194.36	197.09	164.42	100.83	142.01	153.34	104.42	214.27	165.57	147.06	190.34	124.37	112.77	376.41	127.0	159.9	237.86	103.69	242.88	417.77	166.73	37.32	35.76	14.89	47.84	42.11	72.52	76.71	21.94	201.25	151.22	159.9	163.28	555.41	381.68	264.03	444.72	358.54	281.09	361.04	414.87	529.06	403.5	285.03	417.77	320.8	348.71	220.32	175.07	159.9	325.29	206.94	89.51	105.89
NAA25	201.25	141.02	173.85	269.6	115.97	251.48	215.77	249.73	197.09	137.14	267.73	171.45	105.15	166.73	159.9	525.39	170.25	111.99	152.28	128.79	159.9	307.69	159.9	281.09	215.77	231.32	432.53	242.88	49.91	41.81	40.36	56.28	70.01	53.95	48.87	29.06	163.28	201.25	116.78	166.73	379.04	265.87	275.28	555.41	281.09	329.84	329.84	312.0	400.71	341.51	190.34	327.56	291.04	329.84	239.52	175.07	94.67	119.26	198.47	90.77	115.97
NARG2	536.45	339.14	339.14	356.05	412.0	287.01	366.09	511.0	476.71	309.83	414.87	316.37	197.09	460.44	258.57	267.73	305.55	356.05	309.83	279.14	327.56	403.5	307.69	403.5	1059.11	551.56	409.15	246.28	260.38	163.28	59.97	316.37	167.9	112.77	161.02	73.54	309.83	348.71	265.87	314.17	567.1	599.49	525.39	769.69	638.15	435.55	423.61	595.34	848.22	703.28	587.13	514.56	444.72	454.09	543.96	373.81	267.73	358.54	470.14	371.22	412.0
NCAPG2	693.58	70.51	265.87	454.09	305.55	145.02	239.52	197.09	258.57	215.77	269.6	316.37	171.45	66.18	262.2	218.79	217.27	127.89	289.02	217.27	204.07	309.83	204.07	718.08	420.68	412.0	379.04	66.18	76.71	46.5	35.5	59.55	41.81	56.28	81.71	50.27	204.07	214.27	88.88	239.52	620.67	299.25	353.59	591.22	244.57	529.06	395.18	152.28	199.85	379.04	185.11	476.71	155.5	249.73	395.18	195.72	301.33	108.9	209.84	78.89	65.72
NFXL1	389.72	177.53	165.57	460.44	205.5	301.33	145.02	325.29	287.01	211.31	156.59	130.6	134.3	244.57	169.07	229.72	173.85	156.59	307.69	104.42	320.8	258.57	236.21	551.56	70.01	221.86	191.67	128.79	42.71	63.89	40.36	66.65	42.41	63.89	72.52	36.27	154.42	104.42	73.54	85.82	242.88	202.66	297.17	507.46	323.03	249.73	336.79	265.87	381.68	336.79	312.0	514.56	249.73	224.97	273.37	81.71	111.21	118.43	189.02	103.69	114.36
NOLC1	2645.74	995.0	764.36	2351.53	1697.45	1709.26	2451.44	1135.2	1467.37	909.17	1225.22	1151.06	848.22	915.51	1437.15	2047.0	1008.9	842.36	1143.1	1268.46	1457.23	1540.37	1639.59	480.04	1572.76	1870.53	1208.34	967.76	555.41	429.54	351.14	563.18	567.1	414.87	450.94	371.22	896.64	4038.61	684.02	2004.85	2133.97	1313.23	2335.28	2720.15	2400.97	1350.18	1685.71	896.64	2417.67	2047.0	1143.1	1769.57	1594.73	2104.58	2468.49	1199.98	928.3	1159.07	1313.23	547.75	713.11
NOM1	387.02	171.45	267.73	98.73	165.57	303.44	218.79	265.87	171.45	142.01	234.57	212.78	120.94	198.47	303.44	141.02	234.57	108.9	318.57	155.5	177.53	159.9	127.89	536.45	234.57	215.77	376.41	172.65	87.65	93.35	140.04	98.73	155.5	82.29	77.25	97.36	242.88	167.9	181.28	226.54	473.41	242.88	334.46	470.14	316.37	316.37	228.13	281.09	358.54	314.17	220.32	429.54	189.02	215.77	301.33	135.24	271.48	170.25	185.11	81.14	183.82
NPAT	191.67	82.29	88.26	73.03	77.79	167.9	327.56	124.37	148.09	57.08	143.01	163.28	137.14	103.69	109.66	163.28	99.43	79.45	153.34	106.63	83.45	145.02	128.79	120.1	164.42	236.21	171.45	66.65	55.49	42.71	9.2	64.8	24.99	31.22	36.01	12.64	115.97	118.43	63.89	80.57	161.02	285.03	199.85	291.04	150.17	147.06	141.02	178.77	269.6	197.09	164.42	170.25	111.99	242.88	180.02	66.18	64.34	133.36	132.44	70.01	73.54
NUDCD1	612.11	228.13	305.55	511.0	351.14	366.09	780.44	215.77	371.22	161.02	339.14	283.05	361.04	329.84	312.0	309.83	748.61	211.31	412.0	403.5	343.89	348.71	295.11	195.72	2061.24	713.11	361.04	373.81	102.25	90.77	37.05	165.57	54.72	183.82	314.17	35.76	241.19	271.48	155.5	1369.04	514.56	432.53	473.41	842.36	412.0	414.87	320.8	170.25	412.0	435.55	346.29	373.81	361.04	638.15	480.04	156.59	153.34	242.88	353.59	120.1	211.31
NUP153	507.46	149.12	226.54	775.05	1088.92	444.72	563.18	277.2	395.18	164.42	346.29	305.55	197.09	204.07	239.52	420.68	299.25	205.5	426.57	146.03	327.56	283.05	237.86	521.76	518.15	493.56	397.93	356.05	125.24	140.04	131.51	148.09	169.07	83.45	169.07	144.01	232.94	366.09	248.0	265.87	624.99	575.03	450.94	728.11	447.82	571.05	555.41	543.96	507.46	642.59	480.04	928.3	384.34	607.87	432.53	224.97	199.85	267.73	363.56	147.06	209.84
NUP155	314.17	212.78	187.71	353.59	314.17	295.11	309.83	205.5	191.67	157.68	305.55	420.68	129.69	120.94	186.4	476.71	246.28	170.25	325.29	172.65	189.02	211.31	381.68	379.04	660.68	813.63	242.88	145.02	74.58	72.52	76.71	64.8	86.43	87.03	131.51	81.14	351.14	336.79	102.25	256.78	309.83	403.5	320.8	397.93	242.88	435.55	260.38	223.41	334.46	348.71	193.01	1008.9	224.97	303.44	262.2	175.07	180.02	143.01	183.82	105.89	136.19
NUP160	353.59	214.27	295.11	206.94	223.41	351.14	346.29	251.48	336.79	194.36	529.06	325.29	267.73	202.66	246.28	785.88	463.65	283.05	289.02	134.3	307.69	305.55	237.86	587.13	409.15	293.07	438.59	267.73	279.14	152.28	88.26	159.9	246.28	79.45	106.63	115.16	343.89	275.28	265.87	208.38	348.71	529.06	629.35	1037.29	483.38	693.58	438.59	457.25	848.22	583.07	417.77	1159.07	536.45	450.94	575.03	295.11	205.5	329.84	435.55	195.72	255.0
NUP188	603.67	511.0	473.41	277.2	503.95	348.71	473.41	376.41	547.75	334.46	301.33	563.18	248.0	607.87	480.04	503.95	414.87	379.04	503.95	414.87	293.07	348.71	543.96	540.19	466.88	603.67	878.17	543.96	244.57	202.66	281.09	202.66	293.07	135.24	151.22	106.63	395.18	796.86	412.0	633.73	1457.23	902.89	1378.57	1498.22	1073.91	1066.48	995.0	669.92	825.0	1088.92	753.83	1832.01	603.67	947.83	1008.9	511.0	620.67	547.75	753.83	417.77	400.71
NUP205	1697.45	591.22	884.29	1051.79	866.07	651.58	981.29	688.78	780.44	813.63	1427.22	642.59	836.53	486.75	629.35	607.87	791.35	532.74	988.12	915.51	514.56	813.63	532.74	1023.0	1111.82	854.13	1151.06	769.69	346.29	305.55	267.73	373.81	460.44	279.14	293.07	175.07	583.07	743.43	624.99	713.11	1191.69	769.69	981.29	1508.65	896.64	1199.98	941.27	708.18	878.17	1066.48	802.41	967.76	595.34	651.58	1159.07	514.56	723.08	674.59	555.41	473.41	400.71
NUP43	297.17	329.84	260.38	204.07	356.05	172.65	376.41	392.44	361.04	234.57	389.72	366.09	256.78	303.44	312.0	346.29	285.03	366.09	293.07	110.43	217.27	281.09	371.22	460.44	275.28	743.43	400.71	177.53	202.66	189.02	151.22	176.29	153.34	125.24	158.79	85.22	202.66	291.04	234.57	389.72	423.61	454.09	339.14	525.39	358.54	457.25	307.69	389.72	514.56	518.15	299.25	624.99	470.14	320.8	447.82	189.02	172.65	224.97	289.02	234.57	202.66
NUP54	780.44	358.54	353.59	547.75	332.14	432.53	688.78	384.34	368.65	591.22	497.0	563.18	348.71	329.84	493.56	656.11	400.71	490.14	547.75	316.37	403.5	1628.26	679.29	802.41	460.44	733.19	633.73	476.71	149.12	121.79	76.71	189.02	149.12	202.66	123.5	99.43	551.56	444.72	447.82	454.09	660.68	543.96	620.67	825.0	660.68	703.28	684.02	713.11	423.61	743.43	651.58	1397.83	423.61	454.09	769.69	403.5	323.03	503.95	511.0	301.33	246.28
ORC2	258.57	236.21	177.53	289.02	129.69	157.68	269.6	131.51	236.21	198.47	189.02	289.02	214.27	169.07	236.21	180.02	229.72	271.48	170.25	118.43	293.07	246.28	231.32	339.14	181.28	497.0	529.06	269.6	83.45	52.45	30.12	72.01	72.52	56.68	57.08	32.13	255.0	314.17	167.9	241.19	473.41	429.54	327.56	575.03	307.69	507.46	587.13	307.69	373.81	529.06	307.69	647.07	454.09	361.04	356.05	262.2	171.45	253.23	262.2	111.21	120.1
OTUD4	194.36	183.82	122.64	256.78	148.09	397.93	323.03	275.28	208.38	100.83	379.04	256.78	181.28	167.9	262.2	229.72	251.48	182.55	197.09	118.43	339.14	142.01	281.09	473.41	194.36	291.04	476.71	343.89	120.94	114.36	51.71	142.01	130.6	94.67	87.03	102.97	287.01	260.38	201.25	297.17	559.28	532.74	796.86	785.88	392.44	329.84	444.72	647.07	373.81	713.11	406.31	486.75	438.59	420.68	423.61	363.56	172.65	194.36	420.68	166.73	187.71
PABPC1	170568.48	212926.09	375901.76	365622.68	282912.21	186652.11	305326.92	668235.84	348306.01	292889.12	185362.8	162489.97	397335.0	324980.94	447025.24	197294.7	554180.87	431797.89	358098.26	211455.3	368165.8	632189.57	296977.71	726195.27	265802.39	307450.64	279017.26	233003.78	16611.71	8718.32	6337.83	27938.14	7382.04	37121.34	51775.15	3467.27	118949.35	186652.11	25179.16	164758.26	65990.84	46019.85	53601.03	85876.94	72715.74	41188.81	32994.92	63742.91	47313.67	41763.8	65082.31	140478.49	38164.99	49666.0	40621.74	23009.42	42346.82	50011.46	38164.99	17317.18	16496.96
PAPD7	206.94	571.05	371.22	246.28	265.87	242.88	241.19	248.0	414.87	215.77	220.32	432.53	140.04	267.73	267.73	358.54	246.28	151.22	236.21	209.84	460.44	229.72	253.23	665.29	299.25	417.77	490.14	400.71	68.55	85.82	107.38	88.88	102.25	186.4	190.34	117.6	547.75	587.13	343.89	384.34	529.06	547.75	483.38	629.35	483.38	703.28	387.02	579.04	595.34	555.41	483.38	728.11	318.57	444.72	624.99	262.2	249.73	255.0	356.05	122.64	221.86
PAXIP1	348.71	107.38	181.28	198.47	170.25	218.79	202.66	201.25	133.36	169.07	162.14	287.01	120.94	90.14	256.78	221.86	173.85	123.5	267.73	153.34	120.94	183.82	101.54	297.17	162.14	167.9	223.41	158.79	59.55	61.68	74.06	74.58	114.36	68.55	82.29	49.91	150.17	291.04	145.02	195.72	353.59	193.01	242.88	291.04	246.28	301.33	218.79	187.71	211.31	299.25	189.02	384.34	149.12	199.85	332.14	171.45	234.57	182.55	204.07	75.11	122.64
PDS5A	371.22	432.53	318.57	759.08	674.59	389.72	802.41	476.71	665.29	423.61	669.92	599.49	454.09	460.44	521.76	579.04	423.61	432.53	490.14	283.05	587.13	423.61	660.68	547.75	329.84	1096.5	603.67	426.57	403.5	228.13	123.5	454.09	226.54	199.85	215.77	157.68	438.59	698.41	595.34	403.5	854.13	595.34	759.08	651.58	713.11	460.44	599.49	825.0	669.92	860.08	728.11	819.3	529.06	642.59	753.83	384.34	314.17	426.57	540.19	555.41	454.09
PELI1	170.25	249.73	320.8	332.14	341.51	387.02	150.17	438.59	612.11	127.0	518.15	218.79	414.87	309.83	348.71	242.88	339.14	293.07	339.14	368.65	525.39	277.2	206.94	260.38	201.25	351.14	780.44	651.58	97.36	82.87	110.43	113.56	189.02	86.43	106.63	56.68	753.83	511.0	329.84	171.45	808.0	511.0	547.75	941.27	507.46	356.05	607.87	921.88	429.54	480.04	733.19	389.72	397.93	441.64	708.18	325.29	327.56	303.44	563.18	79.45	143.01
PHIP	117.6	173.85	113.56	149.12	165.57	208.38	267.73	155.5	205.5	118.43	202.66	128.79	148.09	237.86	164.42	125.24	131.51	150.17	128.79	82.87	127.0	85.22	148.09	183.82	85.22	199.85	236.21	104.42	59.55	28.86	12.55	59.55	41.52	15.68	48.52	9.63	95.34	103.69	154.42	104.42	305.55	450.94	295.11	723.08	307.69	470.14	325.29	432.53	651.58	373.81	291.04	473.41	309.83	198.47	307.69	130.6	110.43	191.67	176.29	96.68	94.01
PITPNB	769.69	493.56	1819.35	860.08	872.1	718.08	819.3	848.22	1037.29	759.08	521.76	733.19	540.19	579.04	796.86	759.08	571.05	693.58	466.88	624.99	1191.69	595.34	775.05	656.11	941.27	1277.29	1143.1	1175.27	297.17	305.55	251.48	409.15	285.03	753.83	607.87	327.56	624.99	629.35	665.29	518.15	1225.22	928.3	947.83	1259.69	1175.27	921.88	988.12	1037.29	928.3	1551.09	1023.0	1295.13	1268.46	1477.58	967.76	660.68	713.11	493.56	902.89	518.15	511.0
PKN2	231.32	400.71	275.28	514.56	366.09	403.5	285.03	389.72	406.31	212.78	332.14	463.65	301.33	339.14	358.54	620.67	329.84	536.45	242.88	111.99	316.37	187.71	381.68	149.12	275.28	255.0	616.37	307.69	141.02	125.24	33.78	135.24	102.25	78.34	70.51	65.72	182.55	624.99	297.17	189.02	525.39	486.75	514.56	629.35	420.68	514.56	575.03	728.11	651.58	647.07	543.96	543.96	406.31	348.71	483.38	181.28	178.77	226.54	186.4	228.13	224.97
PM20D2	248.0	93.35	84.04	22.59	66.65	65.26	164.42	139.07	65.72	85.22	171.45	82.29	117.6	61.68	79.45	82.87	86.43	87.03	44.89	55.1	62.12	107.38	34.02	122.64	13.03	20.26	371.22	182.55	62.56	72.52	14.45	97.36	54.33	18.03	23.59	17.77	116.78	127.89	69.03	186.4	251.48	267.73	108.9	587.13	153.34	351.14	241.19	366.09	297.17	329.84	150.17	87.65	220.32	480.04	403.5	125.24	95.34	206.94	126.12	81.71	108.14
POLR2B	718.08	769.69	1662.49	1037.29	753.83	854.13	1001.93	728.11	1059.11	785.88	723.08	830.75	693.58	802.41	1059.11	796.86	896.64	769.69	1051.79	500.46	1073.91	1662.49	961.07	1277.29	583.07	1819.35	1081.39	921.88	320.8	429.54	368.65	432.53	507.46	329.84	353.59	332.14	872.1	1135.2	995.0	563.18	1350.18	974.5	1477.58	1781.89	954.43	1081.39	1008.9	1277.29	848.22	1529.73	1191.69	1883.54	1015.93	1111.82	1268.46	718.08	674.59	896.64	1051.79	665.29	624.99
POLR3A	137.14	102.25	698.41	215.77	164.42	100.83	132.44	129.69	140.04	64.8	145.02	181.28	48.87	82.87	124.37	125.24	211.31	105.15	101.54	122.64	120.1	165.57	153.34	141.02	248.0	158.79	163.28	119.26	63.89	76.71	82.87	92.7	102.25	81.71	81.71	65.72	115.16	166.73	158.79	149.12	198.47	164.42	224.97	236.21	170.25	127.0	173.85	158.79	264.03	190.34	115.97	293.07	180.02	234.57	151.22	123.5	97.36	123.5	164.42	85.22	92.7
PPP1CC	1487.87	1540.37	1709.26	2240.11	1388.16	1781.89	2104.58	1745.2	2047.0	1617.0	2758.13	2573.36	1001.93	1551.09	1498.22	3928.15	1350.18	1757.34	1508.65	1950.0	1819.35	2400.97	1651.0	2537.92	1340.84	2591.27	2400.97	1991.0	915.51	1044.52	733.19	1540.37	1313.23	743.43	981.29	583.07	1697.45	1407.55	1322.37	1651.0	1721.16	2758.13	2119.22	2351.53	1950.0	1991.0	3081.75	1896.65	1991.0	2178.83	2816.11	1977.24	2351.53	2319.15	2835.7	1674.06	1447.15	2163.77	2032.85	1199.98	1359.57
PPP6R3	423.61	1119.56	507.46	6840.04	693.58	1088.92	1508.65	728.11	693.58	536.45	961.07	688.78	575.03	575.03	733.19	830.75	651.58	1073.91	656.11	603.67	1594.73	8134.41	579.04	769.69	928.3	1781.89	1175.27	656.11	373.81	289.02	138.1	414.87	293.07	299.25	293.07	187.71	591.22	1250.98	529.06	1350.18	1378.57	1295.13	1304.15	1457.23	909.17	854.13	1008.9	1250.98	1159.07	1225.22	921.88	1427.22	1242.34	1051.79	890.44	693.58	507.46	629.35	967.76	571.05	647.07
PPRC1	830.75	476.71	532.74	733.19	616.37	961.07	603.67	616.37	540.19	457.25	356.05	438.59	397.93	567.1	723.08	866.07	470.14	293.07	607.87	435.55	718.08	616.37	532.74	460.44	547.75	463.65	674.59	493.56	214.27	161.02	327.56	193.01	307.69	198.47	224.97	130.6	507.46	1191.69	490.14	612.11	1066.48	830.75	1051.79	1304.15	934.76	769.69	616.37	748.61	1806.78	836.53	620.67	866.07	1135.2	1151.06	1183.45	525.39	497.0	470.14	567.1	258.57	454.09
PRKDC	5517.27	575.03	1135.2	2075.59	3039.3	1143.1	2367.9	1359.57	2303.12	1225.22	1870.53	813.63	1183.45	2047.0	1819.35	2104.58	1923.14	848.22	2209.26	884.29	2335.28	1950.0	1923.14	2664.15	2255.7	1277.29	2502.97	1159.07	785.88	813.63	603.67	934.76	507.46	1015.93	1923.14	409.15	915.51	1268.46	791.35	1059.11	1551.09	2090.03	2133.97	4903.87	1388.16	2004.85	1628.26	1487.87	2591.27	2271.4	1159.07	3589.58	2816.11	1870.53	3768.09	981.29	775.05	1709.26	1745.2	836.53	1015.93
PROSER1	902.89	583.07	403.5	532.74	438.59	314.17	514.56	454.09	503.95	376.41	454.09	559.28	775.05	281.09	1051.79	866.07	426.57	356.05	493.56	450.94	967.76	438.59	563.18	567.1	579.04	836.53	819.3	299.25	131.51	134.3	231.32	135.24	180.02	90.14	108.9	77.25	281.09	660.68	185.11	642.59	1250.98	796.86	723.08	1331.57	738.29	703.28	872.1	743.43	988.12	1015.93	587.13	1628.26	1519.15	1183.45	718.08	366.09	341.51	466.88	693.58	189.02	309.83
PRPF40A	988.12	679.29	1143.1	1447.15	679.29	775.05	1331.57	543.96	995.0	656.11	1447.15	836.53	656.11	791.35	1023.0	1331.57	1081.39	961.07	603.67	607.87	1183.45	1378.57	1159.07	921.88	1159.07	1551.09	1697.45	748.61	307.69	221.86	74.58	567.1	100.13	289.02	500.46	119.26	866.07	753.83	493.56	1225.22	2178.83	1477.58	1662.49	2303.12	1277.29	2090.03	1662.49	1583.71	1594.73	2119.22	1605.83	1242.34	1844.76	1721.16	2061.24	1242.34	928.3	1757.34	1388.16	595.34	417.77
PRRC2C	633.73	1583.71	1832.01	1225.22	5594.3	1242.34	1674.06	1191.69	954.43	647.07	3349.13	1104.13	4152.18	8718.32	1417.35	1059.11	1277.29	1529.73	1151.06	4869.99	1295.13	995.0	1991.0	3168.41	1457.23	1674.06	1733.13	830.75	718.08	423.61	325.29	703.28	420.68	387.02	525.39	224.97	1322.37	1529.73	915.51	995.0	2032.85	2133.97	2148.82	2384.37	1651.0	1781.89	1806.78	2178.83	2935.74	2178.83	1757.34	2935.74	3018.3	2061.24	2104.58	1350.18	2287.2	1487.87	1457.23	629.35	698.41
PTCD3	1175.27	660.68	954.43	620.67	518.15	674.59	1096.5	1030.12	1127.35	460.44	1059.11	866.07	563.18	748.61	651.58	595.34	808.0	1350.18	928.3	679.29	1259.69	902.89	915.51	1242.34	1242.34	1059.11	1561.89	753.83	239.52	361.04	262.2	339.14	289.02	356.05	301.33	379.04	802.41	759.08	587.13	866.07	1340.84	1001.93	1388.16	1388.16	947.83	1685.71	1167.14	1008.9	1359.57	1304.15	974.5	947.83	848.22	1313.23	1551.09	543.96	470.14	703.28	872.1	454.09	470.14
QSER1	127.0	106.63	85.82	110.43	78.34	104.42	137.14	102.25	102.97	69.03	145.02	118.43	109.66	84.04	138.1	182.55	70.51	73.54	104.42	51.71	143.01	80.01	120.94	114.36	162.14	140.04	162.14	114.36	44.89	44.25	12.55	84.63	53.57	34.02	34.51	14.24	128.79	74.58	82.87	108.9	166.73	208.38	234.57	450.94	176.29	223.41	183.82	303.44	363.56	387.02	120.1	301.33	195.72	205.5	161.02	131.51	81.14	68.07	175.07	111.99	83.45
RAD21	2240.11	1540.37	1350.18	3639.7	3039.3	1977.24	3614.55	1023.0	2384.37	1037.29	2777.33	2485.67	1295.13	1508.65	3742.05	1233.75	2573.36	1477.58	1322.37	1639.59	1781.89	1540.37	1304.15	988.12	7803.01	6250.56	2739.08	1991.0	688.78	551.56	332.14	1059.11	607.87	1242.34	1540.37	392.44	1340.84	2075.59	909.17	1051.79	4210.15	2816.11	2417.67	4512.4	2591.27	2018.8	2119.22	1909.85	2047.0	2739.08	2224.63	3820.7	2240.11	2555.58	3146.52	1073.91	791.35	1685.71	1923.14	961.07	1250.98
RANBP2	271.48	180.02	199.85	327.56	348.71	334.46	559.28	180.02	260.38	197.09	444.72	287.01	201.25	183.82	249.73	285.03	253.23	218.79	163.28	140.04	521.76	234.57	273.37	255.0	638.15	420.68	438.59	223.41	79.45	144.01	63.89	169.07	103.69	100.83	98.04	84.63	309.83	239.52	212.78	218.79	607.87	559.28	490.14	624.99	486.75	518.15	483.38	595.34	591.22	738.29	473.41	633.73	429.54	480.04	511.0	229.72	167.9	232.94	371.22	320.8	204.07
RAPGEF6	57.89	33.06	27.84	78.34	42.71	66.65	93.35	84.63	60.39	33.3	63.89	90.77	30.34	46.5	59.13	69.03	56.68	59.13	46.5	26.1	71.0	71.0	60.82	80.01	126.12	140.04	114.36	53.95	24.99	45.85	11.04	38.12	24.81	32.13	28.65	14.14	87.65	191.67	151.22	65.72	87.65	165.57	143.01	232.94	107.38	185.11	189.02	110.43	115.97	173.85	183.82	141.02	80.57	59.13	115.16	65.72	43.02	84.04	82.87	41.81	50.27
RASA2	96.01	135.24	84.63	114.36	103.69	199.85	66.18	194.36	91.41	57.08	126.12	111.21	54.33	112.77	125.24	115.16	70.51	106.63	112.77	85.22	120.1	106.63	82.29	161.02	78.89	93.35	241.19	110.43	40.36	45.53	19.53	45.21	36.53	27.84	23.59	18.43	244.57	92.7	78.89	39.22	183.82	281.09	157.68	262.2	123.5	156.59	164.42	265.87	166.73	201.25	190.34	172.65	226.54	115.97	194.36	64.8	85.82	111.99	124.37	45.53	72.52
RBM33	264.03	379.04	224.97	226.54	260.38	214.27	287.01	295.11	256.78	220.32	314.17	332.14	215.77	237.86	299.25	303.44	373.81	189.02	329.84	175.07	429.54	214.27	151.22	432.53	202.66	211.31	647.07	334.46	212.78	128.79	108.14	104.42	133.36	224.97	171.45	139.07	384.34	656.11	389.72	400.71	884.29	503.95	518.15	616.37	490.14	559.28	483.38	791.35	555.41	507.46	392.44	928.3	490.14	454.09	457.25	361.04	426.57	368.65	366.09	182.55	258.57
RGPD5	27.84	132.44	187.71	86.43	74.58	98.73	125.24	72.01	94.01	92.7	91.41	172.65	76.71	147.06	141.02	127.89	194.36	177.53	81.71	57.49	112.77	48.18	95.34	108.9	50.98	103.69	199.85	32.36	9.13	28.86	29.27	88.26	42.11	38.12	10.31	49.91	134.3	72.01	154.42	136.19	198.47	237.86	334.46	454.09	351.14	279.14	232.94	332.14	387.02	379.04	195.72	429.54	253.23	181.28	194.36	82.29	146.03	61.25	136.19	82.87	74.58
