	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.11DXY.0526.SM.5EGGQ	GTEX.13VXU.0926.SM.5IFFH	TCGA.RD.A8N9.01A.12R.A39E.31	TCGA.VQ.A923.01A.11R.A414.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.BR.8369.01A.11R.2343.13	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
VEZT	486.75	348.71	214.27	493.56	406.31	287.01	438.59	555.41	438.59	571.05	334.46	305.55	366.09	166.73	312.0	271.48	334.46	366.09	226.54	195.72	217.27	769.69	961.07	728.11	848.22	679.29	384.34	698.41	718.08	629.35	1183.45	769.69	775.05	583.07	848.22	1001.93	387.02	307.69	457.25	460.44	1259.69	836.53	1044.52	1044.52	921.88	941.27	981.29	769.69	1369.04	825.0	738.29	718.08	909.17
WNT2B	4.9	1.51	7.69	5.82	6.16	62.56	11.55	8.51	25.54	13.22	24.46	2.78	5.06	1.87	3.44	5.15	5.92	7.63	3.79	7.57	6.94	249.73	149.12	409.15	293.07	48.87	101.54	285.03	78.34	50.63	63.89	114.36	118.43	403.5	237.86	48.52	43.63	43.32	87.65	264.03	8.0	9.2	10.88	9.93	29.06	5.36	15.22	9.27	7.06	20.71	9.63	10.63	10.47
XRN1	249.73	79.45	78.89	147.06	185.11	39.5	35.0	65.72	59.97	83.45	98.73	98.73	159.9	43.02	100.83	97.36	157.68	193.01	80.57	190.34	218.79	271.48	543.96	473.41	256.78	229.72	264.03	429.54	314.17	118.43	389.72	373.81	423.61	191.67	358.54	320.8	242.88	85.82	120.94	176.29	140.04	84.04	137.14	119.26	110.43	70.51	127.89	120.94	99.43	157.68	100.13	74.58	122.64
YEATS2	58.71	92.05	107.38	163.28	297.17	80.01	114.36	108.9	96.01	151.22	193.01	66.18	52.08	29.48	36.27	30.34	46.84	31.67	24.11	35.0	33.3	412.0	511.0	366.09	246.28	277.2	334.46	220.32	343.89	329.84	251.48	285.03	417.77	244.57	339.14	397.93	108.14	96.68	146.03	198.47	343.89	232.94	209.84	209.84	239.52	185.11	197.09	241.19	209.84	241.19	212.78	197.09	305.55
ZBED5	131.51	563.18	320.8	647.07	567.1	191.67	202.66	267.73	248.0	271.48	409.15	191.67	202.66	37.85	155.5	183.82	237.86	185.11	169.07	176.29	214.27	723.08	830.75	1167.14	518.15	1023.0	511.0	988.12	669.92	525.39	947.83	896.64	1183.45	791.35	591.22	1167.14	409.15	293.07	309.83	612.11	775.05	612.11	603.67	656.11	753.83	466.88	595.34	480.04	660.68	429.54	603.67	543.96	743.43
ZBTB39	37.05	20.26	21.63	42.71	26.47	16.03	25.72	23.76	18.97	27.84	28.86	46.5	37.85	15.11	23.76	31.67	32.36	43.32	31.45	28.86	34.75	105.89	111.21	89.51	59.55	88.26	64.34	86.43	88.88	98.73	117.6	125.24	130.6	81.14	92.7	134.3	56.68	44.57	36.53	53.95	43.94	36.01	44.57	20.11	39.5	25.35	41.22	40.64	28.04	40.93	36.53	24.11	43.32
ZBTB40	46.5	67.59	85.82	132.44	85.82	55.49	65.72	66.18	54.72	70.01	125.24	42.11	47.5	15.68	24.63	15.8	33.06	28.24	35.76	34.26	23.76	277.2	432.53	260.38	201.25	277.2	271.48	246.28	251.48	181.28	260.38	154.42	466.88	152.28	277.2	363.56	202.66	142.01	101.54	170.25	165.57	127.0	156.59	138.1	146.03	98.04	95.34	115.16	142.01	164.42	127.0	94.01	116.78
ZBTB44	316.37	271.48	441.64	848.22	423.61	348.71	249.73	320.8	426.57	389.72	197.09	170.25	239.52	166.73	226.54	206.94	218.79	356.05	224.97	239.52	384.34	571.05	332.14	540.19	318.57	441.64	293.07	555.41	620.67	392.44	409.15	595.34	571.05	438.59	409.15	414.87	353.59	205.5	325.29	409.15	409.15	305.55	307.69	255.0	248.0	241.19	303.44	234.57	291.04	226.54	255.0	295.11	361.04
ZCCHC8	307.69	297.17	209.84	327.56	209.84	236.21	151.22	204.07	201.25	281.09	329.84	287.01	279.14	138.1	277.2	299.25	325.29	361.04	218.79	283.05	332.14	583.07	633.73	579.04	366.09	595.34	285.03	624.99	444.72	567.1	665.29	507.46	638.15	490.14	318.57	607.87	361.04	215.77	265.87	314.17	351.14	438.59	525.39	371.22	447.82	273.37	366.09	351.14	285.03	403.5	395.18	297.17	486.75
ZDHHC17	149.12	117.6	60.82	175.07	220.32	98.04	95.34	120.1	95.34	124.37	198.47	105.15	128.79	34.02	101.54	44.25	88.26	81.14	105.15	109.66	147.06	339.14	432.53	693.58	248.0	466.88	239.52	540.19	339.14	309.83	316.37	336.79	599.49	287.01	381.68	435.55	223.41	110.43	137.14	249.73	281.09	182.55	358.54	267.73	325.29	186.4	291.04	221.86	251.48	232.94	208.38	186.4	314.17
ZKSCAN4	34.51	19.39	33.54	77.25	39.79	4.58	45.21	55.1	48.18	40.36	72.52	53.57	62.12	17.9	25.54	32.59	52.82	46.5	30.12	35.5	39.5	102.97	57.08	106.63	39.22	88.88	61.68	79.45	74.58	67.12	118.43	92.05	116.78	71.5	84.63	88.26	72.52	82.29	51.71	107.38	76.17	70.51	55.49	33.78	74.06	51.35	108.9	47.5	59.55	76.71	53.19	56.68	66.65
ZNF136	50.63	105.89	63.89	125.24	111.21	30.78	41.22	59.13	62.56	49.21	48.18	29.7	59.97	18.16	38.4	59.13	33.54	45.85	37.05	52.82	67.59	141.02	147.06	183.82	128.79	195.72	135.24	176.29	186.4	98.04	153.34	132.44	265.87	126.12	162.14	155.5	59.97	34.51	47.5	117.6	144.01	83.45	185.11	145.02	145.02	96.01	92.05	102.25	125.24	165.57	134.3	114.36	137.14
ZNF202	39.79	39.22	75.11	117.6	85.82	40.36	50.27	55.49	49.91	62.56	82.87	45.21	51.71	23.59	35.25	42.41	78.34	37.59	48.87	48.87	49.21	178.77	237.86	256.78	111.99	211.31	273.37	234.57	205.5	185.11	118.43	191.67	206.94	161.02	143.01	218.79	106.63	80.01	77.79	141.02	91.41	105.89	120.94	101.54	115.16	52.45	126.12	112.77	100.83	90.14	80.01	93.35	100.13
ZNF384	368.65	450.94	267.73	567.1	579.04	361.04	591.22	291.04	490.14	536.45	525.39	251.48	307.69	239.52	264.03	185.11	220.32	201.25	224.97	258.57	166.73	1001.93	1378.57	981.29	909.17	1191.69	2645.74	1044.52	796.86	1572.76	1359.57	1407.55	1605.83	896.64	934.76	1605.83	764.36	591.22	507.46	1051.79	647.07	529.06	909.17	688.78	896.64	551.56	813.63	819.3	785.88	921.88	808.0	591.22	775.05
ZNF674	43.02	21.47	20.56	63.0	35.76	25.35	17.13	23.59	17.51	28.65	36.79	43.02	17.64	13.93	21.32	16.15	24.11	31.0	32.59	25.54	25.17	82.29	69.52	49.56	39.22	65.72	52.45	76.71	46.18	52.08	55.89	64.8	85.82	31.22	52.45	48.87	19.25	23.93	27.44	34.26	46.18	22.75	38.67	35.0	39.79	27.64	20.56	43.94	35.76	71.0	45.85	26.28	27.44
ZNF708	41.81	33.54	29.91	102.97	58.71	12.09	11.73	38.95	18.97	12.55	45.21	14.45	22.1	7.34	18.16	14.35	21.63	27.44	16.51	35.0	13.72	115.97	167.9	193.01	126.12	195.72	84.04	224.97	127.89	84.63	175.07	220.32	334.46	84.63	162.14	206.94	108.9	43.02	38.67	147.06	72.52	47.17	98.04	49.56	64.8	47.5	62.12	52.08	78.34	100.83	64.34	57.08	84.63
ZNF740	150.17	185.11	221.86	312.0	295.11	134.3	220.32	237.86	158.79	228.13	189.02	193.01	151.22	75.11	71.0	229.72	98.04	154.42	141.02	107.38	115.16	316.37	255.0	366.09	199.85	356.05	183.82	417.77	253.23	291.04	356.05	320.8	381.68	217.27	387.02	299.25	239.52	135.24	191.67	220.32	314.17	273.37	466.88	320.8	406.31	287.01	275.28	356.05	309.83	559.28	269.6	249.73	297.17
ZNF791	74.58	145.02	117.6	153.34	150.17	84.63	44.57	76.71	80.01	79.45	110.43	75.11	91.41	28.65	72.01	58.71	59.13	51.71	59.13	67.12	70.01	228.13	231.32	366.09	231.32	525.39	170.25	384.34	379.04	212.78	255.0	336.79	441.64	212.78	251.48	334.46	131.51	90.14	127.89	165.57	155.5	148.09	176.29	194.36	133.36	154.42	201.25	141.02	186.4	293.07	176.29	141.02	171.45
ZNF81	18.97	69.03	54.33	99.43	47.5	38.4	26.1	78.89	43.94	27.84	40.07	21.63	55.89	29.91	18.7	11.64	21.78	48.52	23.42	19.53	32.13	91.41	115.97	85.82	53.57	60.82	86.43	82.29	53.19	41.81	88.26	68.55	128.79	36.53	63.0	90.14	43.32	28.24	37.59	57.08	100.83	39.79	65.72	71.5	46.5	41.81	28.86	88.26	72.01	78.89	56.28	110.43	53.95
ZSCAN12	16.75	20.11	28.04	61.68	5.59	7.51	16.63	14.89	11.64	28.04	31.67	10.08	22.59	6.57	11.47	11.82	16.51	26.47	16.75	22.26	19.82	80.01	47.5	74.58	37.59	74.06	46.5	82.87	61.25	24.46	63.89	109.66	89.51	48.18	57.49	57.08	46.5	20.86	50.63	87.65	81.14	41.22	48.52	52.82	58.71	40.36	55.1	40.64	53.95	46.5	40.64	46.5	78.89
ZSWIM6	87.03	132.44	94.67	140.04	107.38	26.28	71.0	53.57	58.3	75.11	112.77	25.35	45.53	19.11	53.95	45.53	44.57	62.12	46.18	47.84	44.57	212.78	229.72	260.38	262.2	175.07	162.14	295.11	206.94	112.77	175.07	180.02	198.47	267.73	156.59	197.09	193.01	187.71	122.64	172.65	161.02	133.36	195.72	155.5	93.35	48.18	96.68	148.09	102.25	154.42	101.54	110.43	78.89
