	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.QDVN.0826.SM.48TZ2	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.X4XY.1626.SM.46MVN	GTEX.11ZTS.1426.SM.5EQMM	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.X4EP.1026.SM.4QAS5	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.131XE.0326.SM.5LZVO	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR
RND1	3372.43	974.5	223.41	1088.92	563.18	3060.45	521.76	703.28	217.27	175.07	500.46	183.82	559.28	4903.87	3540.14	7485.11	3039.3	6745.86	743.43	4123.49	6983.79	1923.14	4066.71	2502.97	1159.07	2720.15	738.29	1242.34	78.89	7803.01	759.08	20030.74	1088.92	3395.89	1605.83	642.59	1277.29	1721.16	2075.59	2555.58	1561.89	1277.29	47974.16	525.39	476.71	974.5	2555.58	941.27	3467.27	603.67	728.11	13586.57	2004.85	1111.82	500.46	1769.57	4419.52	9151.82	7230.1	5633.22	486.75	728.11	10368.08	808.0	14561.8	1359.57	669.92	11424.74	3235.01
ROM1	128.79	46.18	41.81	49.21	52.08	356.05	39.5	75.11	33.3	26.47	39.79	23.76	86.43	129.69	119.26	307.69	128.79	307.69	77.79	265.87	108.9	234.57	121.79	199.85	59.55	55.49	115.16	34.51	71.0	353.59	51.35	163.28	51.71	101.54	74.58	54.33	45.85	86.43	63.0	58.71	28.45	54.33	226.54	47.17	94.67	43.94	62.12	159.9	82.87	47.17	40.07	341.51	62.12	51.71	45.85	101.54	40.36	61.68	69.52	57.89	56.68	93.35	708.18	94.67	234.57	50.27	52.82	130.6	500.46
RPRD1B	860.08	217.27	327.56	454.09	409.15	1870.53	269.6	444.72	384.34	460.44	283.05	303.44	202.66	412.0	1313.23	1936.53	836.53	2451.44	579.04	954.43	785.88	3168.41	555.41	1583.71	414.87	291.04	1769.57	318.57	316.37	2075.59	379.04	1397.83	417.77	813.63	825.0	341.51	320.8	764.36	295.11	351.14	309.83	320.8	2148.82	397.93	397.93	267.73	366.09	802.41	303.44	339.14	358.54	1467.37	312.0	361.04	406.31	660.68	251.48	1096.5	289.02	507.46	361.04	265.87	1977.24	358.54	1167.14	285.03	373.81	1498.22	896.64
SDC4	22380.2	3847.29	3467.27	5183.54	1844.76	16611.71	3257.52	1963.57	842.36	1225.22	1806.78	3039.3	2133.97	15607.02	21468.49	20881.4	20030.74	24832.5	9279.58	15392.14	11345.82	19754.96	16045.82	12244.81	13586.57	5954.47	10883.59	6983.79	4769.75	28328.16	9344.14	22380.2	5831.91	31432.17	6079.61	5329.3	4972.34	13215.02	7382.04	6337.83	6652.97	4704.07	38430.46	3847.29	7803.01	5672.41	2956.17	7537.18	3955.48	3491.39	3540.14	14867.79	4388.98	5517.27	4066.71	6607.01	7537.18	32092.64	6471.02	12853.63	4543.8	4607.24	62865.33	4010.71	46019.85	6294.04	3820.7	16960.78	8718.32
SEMA4B	1378.57	281.09	329.84	195.72	371.22	1870.53	205.5	305.55	262.2	136.19	287.01	170.25	114.36	698.41	1295.13	1617.0	1322.37	2240.11	595.34	1143.1	825.0	1519.15	878.17	1477.58	791.35	397.93	1277.29	412.0	301.33	3690.52	540.19	1662.49	417.77	934.76	1135.2	293.07	198.47	2796.65	587.13	264.03	371.22	144.01	1662.49	353.59	620.67	260.38	228.13	1008.9	229.72	518.15	325.29	1304.15	507.46	466.88	320.8	612.11	241.19	567.1	486.75	587.13	314.17	460.44	1313.23	503.95	825.0	343.89	262.2	2255.7	2835.7
SERPINB8	1870.53	115.16	14.78	28.24	17.77	1111.82	32.13	19.11	7.28	23.25	206.94	26.86	28.24	775.05	679.29	947.83	656.11	748.61	684.02	854.13	759.08	909.17	902.89	289.02	708.18	185.11	1529.73	183.82	55.1	1498.22	206.94	1081.39	242.88	1119.56	214.27	83.45	97.36	297.17	234.57	156.59	63.89	214.27	1561.89	139.07	182.55	96.68	101.54	125.24	273.37	256.78	102.97	1277.29	100.13	178.77	59.13	395.18	353.59	1259.69	116.78	361.04	358.54	277.2	1685.71	78.89	1250.98	70.51	114.36	743.43	1225.22
SERPINB9	587.13	46.18	20.11	45.53	65.72	392.44	23.76	22.75	30.78	34.51	25.54	31.22	46.5	429.54	493.56	547.75	281.09	543.96	121.79	265.87	353.59	688.78	616.37	371.22	149.12	417.77	366.09	143.01	93.35	312.0	195.72	579.04	127.0	708.18	114.36	111.99	62.12	285.03	93.35	162.14	88.88	65.72	607.87	50.98	197.09	52.82	69.52	116.78	303.44	102.25	185.11	1001.93	104.42	128.79	80.01	511.0	208.38	1733.13	177.53	241.19	183.82	115.16	1487.87	65.72	521.76	94.01	48.52	403.5	198.47
SERTAD1	1340.84	92.05	84.04	127.89	63.89	1617.0	70.01	133.36	105.15	85.22	125.24	74.06	111.21	629.35	387.02	1167.14	1127.35	1350.18	595.34	961.07	1127.35	928.3	1313.23	698.41	429.54	414.87	559.28	291.04	269.6	1199.98	287.01	941.27	241.19	713.11	209.84	220.32	202.66	599.49	264.03	373.81	239.52	142.01	1073.91	249.73	387.02	193.01	229.72	373.81	1159.07	299.25	351.14	1628.26	287.01	371.22	253.23	713.11	384.34	2485.67	414.87	373.81	329.84	281.09	1950.0	166.73	4481.23	224.97	277.2	934.76	738.29
SGK1	2720.15	239.52	1477.58	265.87	228.13	2609.3	159.9	164.42	567.1	323.03	486.75	135.24	579.04	3081.75	4450.27	4066.71	1059.11	6699.25	1407.55	3589.58	3039.3	1709.26	3103.19	4152.18	147.06	1674.06	4671.57	521.76	287.01	9279.58	1023.0	7695.57	1008.9	2796.65	6426.31	346.29	397.93	802.41	2240.11	1733.13	567.1	193.01	10225.32	414.87	813.63	896.64	525.39	1950.0	1617.0	384.34	406.31	6887.62	543.96	1081.39	420.68	3325.99	753.83	1427.22	3491.39	4481.23	1088.92	947.83	11345.82	447.82	8658.09	759.08	1096.5	6935.54	764.36
SGMS2	1467.37	131.51	74.06	88.88	129.69	555.41	81.14	77.79	59.97	80.01	46.5	57.49	51.35	293.07	896.64	1519.15	941.27	1037.29	201.25	384.34	551.56	567.1	780.44	325.29	154.42	122.64	395.18	122.64	181.28	1268.46	172.65	854.13	198.47	389.72	121.79	87.03	85.22	136.19	132.44	162.14	127.89	127.89	1697.45	157.68	95.34	89.51	173.85	161.02	325.29	77.25	92.7	2682.69	135.24	115.97	80.57	106.63	113.56	2047.0	98.04	71.0	106.63	127.0	1806.78	264.03	1457.23	121.79	162.14	208.38	226.54
SLC35C1	1651.0	454.09	587.13	358.54	392.44	3742.05	293.07	253.23	251.48	180.02	819.3	301.33	389.72	633.73	2351.53	1617.0	1191.69	3874.05	1551.09	2303.12	1551.09	3212.66	1733.13	1583.71	872.1	441.64	4736.79	785.88	267.73	4419.52	753.83	1397.83	1250.98	1844.76	1111.82	189.02	136.19	1963.57	414.87	860.08	186.4	540.19	1991.0	277.2	1015.93	277.2	182.55	1781.89	320.8	336.79	244.57	2835.7	466.88	476.71	334.46	1769.57	753.83	1427.22	551.56	909.17	723.08	208.38	2758.13	429.54	665.29	285.03	318.57	2319.15	2004.85
SOCS3	5711.87	40.64	58.71	129.69	28.24	4869.99	92.7	148.09	111.21	44.57	129.69	38.12	38.67	3820.7	2664.15	4607.24	1008.9	8421.31	540.19	4769.75	7433.4	3515.68	5954.47	3540.14	450.94	2224.63	2018.8	279.14	80.57	2468.49	307.69	6207.38	92.7	1844.76	1477.58	53.57	76.71	1896.65	759.08	571.05	105.15	223.41	7130.55	25.17	1769.57	111.21	98.73	1498.22	3982.99	135.24	260.38	6426.31	1208.34	400.71	248.0	1781.89	309.83	2739.08	511.0	1819.35	295.11	417.77	7911.95	236.21	8538.88	155.5	85.22	3820.7	2119.22
SPATA6L	124.37	46.18	16.03	25.17	18.97	190.34	40.36	16.51	27.64	16.15	54.33	16.88	46.18	138.1	134.3	144.01	105.15	187.71	155.5	295.11	111.21	185.11	55.49	118.43	273.37	30.56	182.55	56.68	25.35	412.0	109.66	189.02	50.98	312.0	94.01	49.21	23.08	356.05	90.14	45.85	41.81	92.7	376.41	51.35	96.01	46.5	36.01	131.51	20.41	40.07	42.11	281.09	83.45	37.85	53.19	159.9	78.34	273.37	56.68	137.14	80.01	81.71	624.99	46.84	423.61	36.27	19.11	162.14	293.07
SPSB1	4575.41	217.27	703.28	314.17	202.66	2682.69	387.02	299.25	460.44	674.59	164.42	583.07	185.11	1477.58	3190.46	3820.7	2451.44	2835.7	995.0	2835.7	2627.46	2193.99	2287.2	1199.98	796.86	429.54	2434.5	376.41	101.54	3794.3	738.29	2119.22	271.48	2319.15	947.83	127.89	236.21	1832.01	279.14	497.0	162.14	348.71	2555.58	132.44	1030.12	325.29	108.14	785.88	358.54	358.54	384.34	1242.34	291.04	320.8	332.14	679.29	387.02	3146.52	607.87	974.5	303.44	363.56	4903.87	277.2	3639.7	85.22	258.57	1331.57	2335.28
SQRDL	2485.67	988.12	947.83	1059.11	1001.93	2367.9	1104.13	1023.0	1242.34	583.07	819.3	1023.0	1088.92	1651.0	2119.22	2061.24	1963.57	2609.3	1498.22	1540.37	1457.23	2537.92	1487.87	1508.65	2573.36	1605.83	1709.26	1081.39	1008.9	2090.03	1183.45	2895.31	890.44	2627.46	1151.06	1015.93	1191.69	2417.67	791.35	1268.46	1119.56	1369.04	3018.3	1350.18	1030.12	1088.92	1015.93	934.76	1313.23	1225.22	842.36	1844.76	1286.18	1208.34	902.89	1111.82	1477.58	1674.06	1242.34	1268.46	1119.56	1096.5	5292.48	954.43	2777.33	1143.1	909.17	2520.38	4038.61
STAT3	3039.3	703.28	1572.76	2032.85	1044.52	2739.08	518.15	1023.0	1233.75	836.53	1008.9	791.35	587.13	1477.58	3018.3	3060.45	2682.69	4298.64	2075.59	2451.44	1457.23	5147.73	2434.5	2591.27	2018.8	1191.69	3742.05	854.13	629.35	4769.75	1819.35	3874.05	1216.75	2720.15	2400.97	620.67	567.1	2351.53	1529.73	1662.49	872.1	1268.46	4038.61	775.05	1572.76	884.29	723.08	2351.53	802.41	1331.57	791.35	2627.46	1447.15	1259.69	1023.0	1794.29	1175.27	2855.44	1909.85	2133.97	1519.15	1378.57	3874.05	1295.13	4671.57	785.88	830.75	3395.89	2591.27
STX11	70.51	11.91	10.71	13.32	11.73	100.13	12.18	10.55	9.06	11.38	32.36	5.45	25.35	105.15	253.23	108.14	72.52	107.38	91.41	69.52	171.45	126.12	94.67	65.26	56.28	113.56	271.48	54.33	28.65	297.17	46.84	356.05	41.52	100.83	40.36	30.56	14.35	206.94	32.13	56.68	15.34	41.81	271.48	12.74	32.82	21.32	39.22	69.52	139.07	15.45	47.17	571.05	15.68	84.04	21.01	64.8	93.35	117.6	42.11	61.25	61.68	24.99	256.78	29.7	115.97	28.24	31.9	389.72	61.68
TARS	1745.2	890.44	775.05	1191.69	896.64	3124.78	1477.58	1427.22	1508.65	775.05	1617.0	743.43	1304.15	1594.73	2075.59	2835.7	1844.76	2537.92	2520.38	2351.53	1467.37	3168.41	2351.53	2303.12	1572.76	1008.9	3372.43	1662.49	941.27	4328.55	825.0	3372.43	1709.26	2193.99	2335.28	866.07	954.43	2287.2	1015.93	1806.78	599.49	1135.2	3081.75	1191.69	1467.37	785.88	941.27	1540.37	1127.35	1388.16	1487.87	2701.35	1225.22	1066.48	708.18	2645.74	1407.55	2090.03	1066.48	2004.85	1286.18	1015.93	4268.94	1286.18	2935.74	1242.34	1030.12	3303.0	1617.0
TNFRSF1A	5041.77	1023.0	2163.77	2255.7	1662.49	5872.48	1651.0	1685.71	1806.78	1066.48	1540.37	1199.98	1697.45	4937.99	4736.79	5441.3	5219.6	7280.4	2997.45	5872.48	4298.64	5995.9	5995.9	5995.9	4038.61	3168.41	6207.38	2319.15	1909.85	5076.84	2816.11	5954.47	2271.4	8134.41	3768.09	2163.77	1844.76	5219.6	3280.18	3146.52	2537.92	2287.2	3190.46	1427.22	5479.15	2739.08	2061.24	4450.27	2573.36	2485.67	1769.57	3564.78	5041.77	3103.19	2816.11	4066.71	2609.3	5751.61	3491.39	4358.66	2701.35	2209.26	9344.14	2485.67	7803.01	2645.74	1991.0	3820.7	4972.34
TNFRSF1B	1286.18	218.79	327.56	314.17	258.57	1250.98	195.72	169.07	241.19	178.77	305.55	127.89	332.14	563.18	1051.79	660.68	1268.46	1119.56	518.15	591.22	1088.92	1208.34	808.0	351.14	532.74	583.07	1721.16	429.54	376.41	1498.22	423.61	2520.38	199.85	647.07	348.71	212.78	185.11	1088.92	536.45	255.0	295.11	251.48	915.51	518.15	426.57	417.77	366.09	543.96	529.06	232.94	366.09	1605.83	417.77	351.14	255.0	819.3	890.44	2645.74	450.94	595.34	336.79	275.28	2240.11	236.21	1757.34	279.14	267.73	2193.99	988.12
TPST1	836.53	186.4	115.16	89.51	122.64	1225.22	96.68	152.28	176.29	23.59	429.54	45.53	62.56	529.06	1519.15	1487.87	1388.16	2193.99	381.68	909.17	447.82	1030.12	642.59	954.43	476.71	283.05	1583.71	363.56	145.02	2271.4	447.82	1175.27	503.95	1519.15	802.41	165.57	156.59	2645.74	381.68	514.56	202.66	217.27	2075.59	387.02	813.63	208.38	111.21	825.0	251.48	381.68	187.71	1208.34	444.72	307.69	205.5	693.58	312.0	860.08	414.87	674.59	376.41	218.79	3982.99	656.11	5403.7	182.55	297.17	1175.27	1487.87
TRIM15	1015.93	94.01	17.51	49.91	115.16	1977.24	176.29	30.78	43.94	52.45	17.64	406.31	111.21	808.0	529.06	842.36	336.79	1111.82	441.64	1175.27	514.56	1417.35	1030.12	698.41	1685.71	204.07	2335.28	497.0	283.05	14461.21	309.83	2573.36	316.37	753.83	115.16	301.33	148.09	2609.3	165.57	194.36	281.09	46.18	2119.22	68.55	103.69	142.01	120.94	169.07	190.34	264.03	262.2	1477.58	114.36	417.77	466.88	279.14	371.22	490.14	543.96	376.41	575.03	221.86	11992.79	202.66	1870.53	72.52	217.27	780.44	1216.75
UPP1	769.69	379.04	191.67	164.42	137.14	1819.35	228.13	145.02	135.24	153.34	281.09	206.94	197.09	854.13	633.73	1037.29	733.19	1250.98	325.29	1295.13	1151.06	921.88	713.11	559.28	536.45	1104.13	698.41	379.04	264.03	813.63	197.09	500.46	145.02	583.07	435.55	239.52	293.07	733.19	260.38	305.55	223.41	246.28	651.58	336.79	279.14	229.72	246.28	441.64	1159.07	211.31	348.71	1794.29	323.03	287.01	277.2	909.17	297.17	1313.23	417.77	1135.2	190.34	351.14	825.0	291.04	860.08	236.21	215.77	1745.2	1216.75
UTP3	785.88	363.56	358.54	454.09	406.31	884.29	332.14	447.82	450.94	271.48	303.44	387.02	376.41	493.56	660.68	842.36	500.46	854.13	633.73	775.05	629.35	813.63	718.08	808.0	258.57	343.89	703.28	356.05	412.0	607.87	267.73	928.3	417.77	674.59	490.14	346.29	346.29	412.0	332.14	285.03	224.97	318.57	909.17	441.64	403.5	307.69	277.2	480.04	327.56	363.56	329.84	909.17	361.04	384.34	373.81	454.09	218.79	567.1	295.11	417.77	438.59	336.79	1167.14	381.68	961.07	353.59	343.89	595.34	332.14
WWC1	1167.14	1159.07	226.54	239.52	125.24	954.43	299.25	70.01	141.02	204.07	679.29	563.18	90.77	395.18	1806.78	909.17	1001.93	1605.83	325.29	733.19	669.92	1088.92	583.07	738.29	473.41	165.57	1923.14	406.31	220.32	1388.16	307.69	1437.15	507.46	1259.69	878.17	132.44	147.06	1135.2	162.14	297.17	97.36	123.5	1806.78	217.27	343.89	147.06	130.6	476.71	175.07	138.1	205.5	1191.69	165.57	341.51	120.94	543.96	297.17	1883.54	269.6	361.04	293.07	109.66	3690.52	172.65	3928.15	248.0	214.27	2485.67	441.64
YRDC	297.17	244.57	295.11	217.27	156.59	397.93	194.36	279.14	187.71	320.8	273.37	236.21	185.11	253.23	325.29	392.44	258.57	400.71	323.03	312.0	403.5	490.14	295.11	361.04	191.67	164.42	575.03	248.0	277.2	563.18	217.27	432.53	218.79	429.54	371.22	177.53	199.85	265.87	145.02	228.13	138.1	241.19	463.65	265.87	265.87	198.47	221.86	312.0	262.2	187.71	212.78	567.1	186.4	221.86	206.94	314.17	215.77	336.79	158.79	262.2	191.67	164.42	563.18	176.29	490.14	211.31	242.88	397.93	209.84
ZC2HC1C	457.25	81.14	44.57	124.37	60.82	358.54	95.34	69.52	31.9	50.27	162.14	131.51	59.13	363.56	361.04	511.0	248.0	466.88	309.83	603.67	170.25	379.04	381.68	693.58	191.67	198.47	163.28	271.48	70.51	379.04	175.07	688.78	267.73	279.14	153.34	206.94	69.52	154.42	194.36	84.04	117.6	137.14	571.05	99.43	323.03	220.32	75.11	503.95	74.06	170.25	170.25	525.39	129.69	211.31	198.47	303.44	118.43	236.21	258.57	301.33	348.71	138.1	830.75	242.88	412.0	120.94	108.14	571.05	307.69
ZC3H12A	638.15	84.63	154.42	102.25	65.72	412.0	70.01	65.26	40.07	48.18	53.95	84.63	163.28	457.25	209.84	414.87	563.18	624.99	674.59	633.73	825.0	397.93	559.28	206.94	423.61	318.57	447.82	262.2	136.19	1001.93	376.41	775.05	100.13	1001.93	162.14	96.68	66.65	1407.55	130.6	234.57	132.44	80.01	884.29	122.64	144.01	122.64	88.88	229.72	547.75	129.69	180.02	728.11	111.99	141.02	148.09	373.81	403.5	1437.15	400.71	423.61	226.54	158.79	1159.07	85.22	1277.29	103.69	77.25	1119.56	718.08
ZNF878	20.56	2.36	0.89	0.0	2.63	23.25	0.0	0.0	1.62	1.95	0.59	1.25	0.44	14.89	9.2	34.26	5.41	27.64	3.76	10.31	24.63	8.99	23.76	18.56	2.58	1.16	8.71	0.0	0.0	12.27	2.03	14.14	2.76	8.06	1.04	2.03	2.92	8.13	0.0	2.03	0.71	1.87	13.62	6.06	1.38	0.0	0.0	1.97	16.15	0.74	1.04	14.35	1.16	4.9	0.0	0.0	0.0	4.06	1.14	1.48	0.66	3.03	19.25	0.0	20.11	0.8	1.99	15.45	3.26
ZSWIM6	220.32	32.59	36.79	43.02	41.52	76.71	34.51	61.25	38.67	52.08	25.35	22.26	34.26	120.94	111.21	109.66	87.03	107.38	49.91	94.67	103.69	149.12	155.5	67.12	81.14	80.01	102.97	81.14	45.53	198.47	106.63	110.43	62.12	220.32	68.55	63.89	46.18	146.03	76.17	67.12	53.95	39.79	153.34	42.71	29.48	53.57	69.52	49.91	94.67	47.84	117.6	256.78	82.29	92.7	51.35	155.5	53.57	674.59	57.08	105.89	76.71	67.12	165.57	85.22	703.28	86.43	44.57	55.1	64.8
