	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.TP.A8TT.01A.12R.A41O.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.ZG.A9LN.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7789.11A.01R.2118.07
LY9	8.65	17.13	111.21	1.14	11.82	64.34	26.1	15.11	14.14	23.25	4.66	49.21	46.84	77.25	1.75	7.57	37.59	81.71	7.34	6.89	43.63	3.86	23.59	4.06	38.95	0.83	12.09	156.59	13.72	4.24	244.57	6.46	45.53	33.3	37.85	158.79	24.63	17.51	3.08	47.5	1.35	13.32	4.06	6.21	7.22	7.75	8.38	24.81	8.58	7.88	85.82	5.92	32.36
MAP4K1	42.71	86.43	231.32	14.56	48.18	139.07	85.22	64.34	55.1	100.13	40.64	144.01	255.0	220.32	26.86	20.71	127.89	228.13	48.52	33.54	89.51	35.0	88.26	12.55	77.25	22.43	69.52	314.17	29.7	30.34	890.44	42.41	162.14	111.99	74.06	403.5	64.34	31.0	10.63	156.59	13.72	36.53	58.71	19.25	38.12	24.63	45.53	68.55	31.45	34.02	229.72	54.33	62.56
MEI1	27.44	19.25	220.32	14.24	35.76	45.53	67.12	25.17	23.42	23.42	13.03	66.18	116.78	138.1	14.56	14.24	54.33	88.88	27.05	28.65	87.65	16.39	31.9	9.93	60.39	7.34	36.01	239.52	21.16	11.13	417.77	17.25	100.13	86.43	65.72	234.57	76.71	23.59	6.26	82.87	5.73	27.44	11.13	14.35	11.73	18.43	23.59	80.01	24.11	7.94	97.36	50.63	36.27
MFNG	67.59	107.38	241.19	22.59	64.34	150.17	114.36	64.8	84.63	99.43	84.63	228.13	171.45	256.78	66.65	54.72	221.86	183.82	78.89	61.68	110.43	52.08	105.89	42.71	110.43	32.36	112.77	281.09	101.54	24.99	518.15	131.51	115.97	224.97	171.45	334.46	141.02	121.79	31.0	107.38	52.08	68.07	63.45	41.22	37.59	50.63	61.25	157.68	77.25	85.22	215.77	136.19	187.71
MSC	30.12	56.28	90.77	11.21	27.05	64.34	90.14	42.71	56.28	65.72	22.1	172.65	120.1	149.12	18.16	26.28	130.6	107.38	52.08	39.79	65.26	37.85	49.91	17.0	43.02	26.67	43.02	226.54	31.67	18.56	236.21	41.81	94.01	109.66	48.87	104.42	37.05	40.93	10.63	40.07	16.51	46.18	25.72	17.9	25.35	37.32	24.63	81.71	15.56	21.32	149.12	41.22	56.28
MYO1F	39.22	78.34	249.73	19.68	44.25	110.43	127.0	70.51	102.25	127.89	43.32	248.0	228.13	223.41	81.14	40.36	262.2	314.17	62.12	49.91	191.67	33.54	110.43	63.89	67.12	28.45	121.79	265.87	62.12	53.19	358.54	87.03	122.64	287.01	154.42	514.56	144.01	82.29	47.5	146.03	29.27	116.78	73.54	41.81	27.84	50.27	69.52	269.6	63.0	44.57	208.38	136.19	155.5
NCF1	22.1	34.26	212.78	8.13	21.94	94.01	88.26	54.33	43.94	63.89	16.75	134.3	99.43	183.82	50.27	20.86	140.04	293.07	37.05	19.68	67.12	49.56	62.56	16.75	58.71	10.88	75.11	234.57	44.25	37.05	624.99	50.27	99.43	115.16	84.63	190.34	75.11	34.75	11.13	94.01	13.52	50.63	36.79	22.59	21.16	34.51	31.67	73.03	20.26	40.93	251.48	57.08	74.58
NKG7	52.08	129.69	281.09	18.29	44.25	193.01	176.29	159.9	78.89	127.89	26.28	420.68	297.17	262.2	35.5	81.71	218.79	323.03	23.93	32.13	119.26	53.57	91.41	15.45	165.57	14.45	102.25	848.22	66.65	24.99	791.35	49.56	191.67	248.0	140.04	884.29	144.01	53.95	11.38	170.25	15.34	43.63	49.56	32.59	51.71	57.08	75.11	138.1	51.71	62.56	185.11	55.49	234.57
NLRC4	8.25	7.4	18.97	5.23	4.21	8.38	8.19	3.59	10.31	7.46	4.9	17.51	11.04	9.41	5.19	4.28	12.45	16.15	5.82	6.31	9.7	4.03	7.46	3.86	6.46	5.77	8.92	19.39	3.56	6.78	26.28	8.25	7.51	21.47	9.63	20.86	8.71	7.82	3.53	10.63	3.14	7.88	6.31	6.62	5.06	7.22	6.94	8.51	5.92	13.22	11.04	8.99	13.12
NLRC5	133.36	133.36	490.14	63.45	78.89	356.05	224.97	232.94	343.89	169.07	56.28	373.81	954.43	379.04	75.64	103.69	206.94	884.29	98.73	79.45	281.09	113.56	208.38	71.0	95.34	33.06	202.66	1023.0	60.39	99.43	656.11	107.38	392.44	316.37	214.27	1159.07	255.0	111.99	23.76	368.65	25.72	103.69	121.79	155.5	65.26	78.89	139.07	187.71	112.77	93.35	447.82	211.31	264.03
P2RY13	5.41	21.47	49.56	0.88	8.92	14.67	28.65	11.82	11.3	23.59	14.89	33.78	34.75	38.95	3.92	7.4	53.95	82.87	4.74	9.06	46.18	10.96	9.78	6.46	14.56	1.36	10.55	44.57	14.78	5.5	61.25	20.41	14.56	27.25	55.1	111.99	43.32	23.93	1.99	19.11	14.45	8.85	3.76	7.57	4.66	10.16	7.82	27.64	11.47	15.22	26.47	8.13	52.82
PARP15	5.19	5.5	43.94	2.16	3.17	23.42	15.68	3.66	17.25	10.47	2.89	22.1	44.25	45.21	10.08	1.38	14.14	63.45	5.32	3.66	33.78	4.21	7.34	5.36	8.71	1.3	4.5	69.03	0.92	3.11	111.99	5.59	26.47	24.99	11.47	78.34	9.48	8.71	1.97	32.36	0.85	8.85	3.66	7.17	1.77	2.34	10.63	11.38	3.32	6.11	48.52	11.55	8.78
PARVG	80.01	93.35	412.0	18.97	40.93	209.84	156.59	120.1	102.97	122.64	49.21	363.56	246.28	289.02	84.04	53.57	249.73	387.02	86.43	54.72	202.66	46.5	96.01	43.02	94.01	34.26	154.42	529.06	74.58	47.5	759.08	88.88	231.32	297.17	162.14	563.18	180.02	69.03	31.9	176.29	19.97	87.65	87.03	56.68	33.3	57.49	84.04	212.78	62.56	68.55	287.01	153.34	141.02
PIK3CD	15.45	49.56	165.57	12.64	30.78	107.38	93.35	57.08	54.72	69.52	26.67	88.26	99.43	143.01	15.56	24.63	176.29	154.42	29.27	22.59	83.45	26.1	53.95	25.91	57.08	4.54	48.87	214.27	42.41	16.03	356.05	44.89	55.1	95.34	105.15	249.73	56.68	46.18	10.08	69.52	10.88	35.5	31.0	23.76	17.38	32.36	26.67	71.5	38.4	26.1	118.43	48.87	81.14
PLA2G2D	3.92	6.31	62.12	0.0	0.51	28.24	13.32	7.06	6.67	10.88	0.24	12.0	30.34	62.12	0.0	4.66	21.16	283.05	1.33	2.2	19.11	1.11	5.28	0.56	36.79	0.2	2.97	120.1	0.79	3.2	305.55	0.83	52.82	43.63	15.8	99.43	48.52	4.74	0.25	50.27	0.19	6.41	2.48	2.73	0.48	4.5	0.79	6.01	3.44	9.27	76.71	11.91	8.65
PLCB2	77.79	85.82	384.34	28.24	31.67	136.19	194.36	102.97	127.89	145.02	45.85	256.78	218.79	231.32	59.55	30.78	208.38	368.65	91.41	97.36	172.65	48.87	197.09	34.02	80.01	28.86	127.0	400.71	97.36	45.85	476.71	119.26	169.07	387.02	141.02	423.61	150.17	74.06	54.72	161.02	49.21	102.97	98.04	90.14	118.43	40.07	98.04	158.79	71.5	64.34	283.05	195.72	120.94
PRF1	34.02	39.22	139.07	8.92	31.0	46.18	50.98	39.22	29.91	48.52	14.89	99.43	125.24	71.0	18.97	34.75	69.03	99.43	14.89	15.91	59.97	13.42	24.81	11.73	43.32	7.57	39.5	141.02	22.43	11.13	195.72	21.63	66.65	98.73	88.26	244.57	69.52	26.67	1.77	47.84	8.38	19.97	28.24	10.71	14.89	14.45	20.71	67.12	13.32	16.88	65.26	18.29	55.89
PSTPIP1	71.0	48.87	183.82	16.63	11.13	125.24	137.14	35.25	72.52	54.72	38.12	197.09	185.11	178.77	43.02	15.22	109.66	202.66	17.77	41.52	75.11	40.36	39.22	17.25	50.98	14.56	75.11	392.44	39.5	19.53	363.56	25.17	121.79	153.34	58.3	384.34	85.82	29.91	17.9	91.41	9.56	58.71	29.06	15.34	34.75	34.26	42.41	94.67	33.54	27.44	183.82	80.01	90.77
PTPN7	20.11	39.22	194.36	11.13	19.39	139.07	70.51	43.02	45.53	53.19	18.56	96.68	142.01	109.66	20.11	20.56	98.04	202.66	27.44	19.97	73.03	17.51	43.94	25.54	50.27	8.19	39.79	332.14	18.43	10.08	620.67	38.67	63.45	109.66	50.98	332.14	55.49	31.45	9.78	85.82	7.51	31.45	28.86	17.64	19.53	15.0	39.22	74.58	24.46	9.7	117.6	44.57	66.65
RAB33A	7.51	6.62	28.04	2.71	1.91	15.0	7.75	4.94	6.06	6.67	1.35	10.96	15.22	18.84	1.81	2.92	9.41	20.86	3.17	0.93	9.27	0.62	3.32	1.03	8.58	1.14	4.5	51.71	4.21	1.22	77.25	3.69	15.34	11.82	3.11	32.82	7.94	4.31	0.0	11.47	0.53	3.86	3.26	1.58	4.39	1.64	5.82	3.38	3.41	2.68	19.68	2.56	15.56
RAB42	10.16	15.0	20.26	8.13	5.41	13.83	43.02	30.56	9.93	26.86	7.22	17.9	13.42	25.35	3.63	5.54	34.02	47.5	12.93	5.82	40.93	7.63	10.88	6.31	14.67	3.53	13.03	18.03	8.99	5.63	53.57	12.27	9.56	42.71	26.67	50.63	25.35	15.8	4.62	23.08	0.83	13.03	8.38	11.82	4.03	9.34	7.06	21.78	7.46	18.16	28.24	18.7	24.28
RAC2	182.55	218.79	1023.0	28.04	142.01	775.05	327.56	234.57	198.47	301.33	123.5	599.49	587.13	909.17	127.0	147.06	563.18	928.3	134.3	127.0	336.79	88.88	255.0	91.41	353.59	48.18	242.88	1277.29	125.24	48.87	3190.46	154.42	511.0	493.56	376.41	1313.23	329.84	166.73	47.17	435.55	34.51	146.03	156.59	78.34	115.16	148.09	118.43	346.29	154.42	130.6	934.76	171.45	366.09
RASAL3	55.1	45.85	228.13	11.47	31.67	133.36	115.97	50.63	63.89	58.3	45.21	199.85	181.28	217.27	22.59	24.99	115.16	220.32	31.45	25.35	79.45	29.27	65.72	21.63	42.71	16.75	75.64	353.59	63.45	32.36	441.64	55.1	130.6	177.53	107.38	336.79	66.18	37.85	9.85	114.36	16.88	37.85	53.95	23.42	18.84	24.81	37.85	78.89	31.9	20.41	140.04	80.57	87.65
RASSF4	65.26	193.01	346.29	22.75	122.64	194.36	234.57	145.02	255.0	193.01	72.52	295.11	358.54	348.71	77.25	94.01	325.29	603.67	62.12	108.9	223.41	105.15	147.06	66.18	166.73	43.63	234.57	429.54	146.03	65.26	642.59	153.34	187.71	320.8	198.47	629.35	229.72	127.89	48.87	206.94	30.34	119.26	81.14	178.77	105.89	127.0	75.11	165.57	127.0	185.11	287.01	154.42	176.29
RGL4	6.21	7.94	36.79	2.05	3.86	29.7	19.97	5.92	6.36	7.63	2.34	28.24	34.26	30.34	6.26	9.2	18.03	39.5	3.79	4.58	14.35	11.38	9.93	5.28	11.55	0.77	16.88	68.07	9.13	2.78	87.65	6.73	21.32	21.32	11.82	63.0	14.67	3.96	1.28	18.43	0.43	6.78	3.89	9.41	8.78	0.0	1.16	17.51	6.46	7.11	43.63	7.82	17.38
RUNX3	19.97	38.4	125.24	10.55	29.91	79.45	43.32	38.12	36.53	46.5	29.06	107.38	127.89	100.13	19.53	18.43	117.6	165.57	29.48	15.0	76.17	21.47	59.13	21.94	63.89	5.11	36.27	161.02	20.26	8.71	314.17	36.27	104.42	76.17	92.05	242.88	46.18	35.0	5.02	61.68	7.28	26.47	25.91	15.56	35.0	22.75	24.11	48.18	22.59	14.89	89.51	27.44	80.57
S1PR4	17.77	20.26	126.12	8.19	13.62	66.18	27.44	18.03	31.0	25.35	8.99	60.82	73.54	83.45	7.94	18.16	52.45	58.3	12.09	13.42	30.56	9.06	24.46	14.14	23.93	6.46	36.01	155.5	14.14	4.39	295.11	11.64	55.89	58.71	30.78	131.51	40.64	11.13	2.97	43.02	4.31	15.68	14.89	7.69	6.41	6.16	27.44	30.12	12.93	10.63	107.38	15.8	29.91
SAMD3	7.22	11.91	43.32	3.53	13.32	23.93	18.43	19.11	8.51	20.71	4.06	48.52	43.94	30.12	8.19	4.54	20.86	48.18	2.03	13.52	50.27	3.92	14.14	5.63	25.91	1.28	13.32	96.01	3.47	4.35	85.22	5.36	33.3	25.35	18.97	151.22	32.36	14.14	2.68	28.45	1.83	6.46	3.47	4.46	13.93	10.71	5.82	11.64	4.7	3.59	30.78	12.0	24.28
SASH3	46.5	70.01	314.17	8.45	28.86	204.07	106.63	75.11	70.51	99.43	30.12	149.12	155.5	218.79	26.86	38.12	239.52	307.69	37.32	37.05	155.5	27.25	77.25	31.22	83.45	13.93	75.64	476.71	43.63	23.08	902.89	47.17	140.04	166.73	120.94	441.64	114.36	65.26	12.74	147.06	12.36	53.95	41.81	35.5	20.71	49.91	37.85	120.1	45.21	43.63	220.32	60.82	115.97
SELPLG	71.0	100.13	297.17	7.82	50.63	171.45	121.79	110.43	104.42	129.69	52.45	161.02	273.37	246.28	48.18	80.57	329.84	312.0	53.19	48.18	165.57	39.5	94.01	35.0	105.15	11.47	108.14	514.56	79.45	27.25	490.14	65.26	151.22	172.65	172.65	521.76	166.73	92.05	20.56	158.79	35.25	51.71	55.89	35.5	38.95	63.45	61.25	157.68	64.8	67.59	265.87	54.72	127.0
SH2D2A	25.35	29.06	115.97	39.79	23.25	77.25	55.1	73.03	37.85	31.67	15.11	118.43	74.06	81.71	30.56	19.97	50.27	117.6	38.67	33.3	50.63	10.0	29.27	22.75	40.07	4.9	56.28	224.97	21.32	10.63	170.25	18.29	87.03	116.78	29.06	156.59	43.63	30.12	4.58	44.25	7.17	15.91	23.42	15.68	12.45	17.51	18.43	46.5	16.15	22.75	74.58	21.32	36.27
SIRPB2	6.31	15.34	26.28	3.56	2.97	9.06	20.11	13.12	15.56	24.81	5.32	31.9	55.1	24.46	9.34	2.23	38.12	77.79	3.72	5.45	33.06	2.25	12.55	3.69	15.91	2.76	10.55	41.81	4.62	1.36	71.0	11.38	11.73	48.18	34.02	49.56	21.78	15.45	7.28	10.16	3.0	16.15	2.61	7.82	3.66	4.78	5.77	29.27	11.21	7.34	28.24	7.4	14.35
SIT1	18.29	24.11	133.36	2.43	20.26	97.36	46.84	28.24	20.41	24.28	4.1	58.3	60.39	112.77	0.0	13.83	55.89	99.43	1.97	9.06	28.24	8.06	13.03	6.52	33.78	0.73	23.25	232.94	11.82	4.9	432.53	6.16	53.57	59.13	28.24	170.25	60.82	16.75	3.59	63.89	2.03	10.71	9.41	9.27	6.31	7.46	11.38	31.0	10.79	2.76	140.04	17.25	46.18
SLA2	14.67	13.52	50.63	3.86	15.22	34.75	29.06	13.42	12.36	16.63	4.78	30.78	43.32	36.01	7.4	10.0	31.45	57.89	9.06	7.57	24.28	4.24	16.39	5.23	14.03	7.51	15.91	107.38	6.16	6.01	92.05	8.13	30.34	37.59	20.56	89.51	18.56	9.06	9.06	26.28	3.32	11.13	8.58	7.51	8.25	12.36	21.32	24.63	10.08	4.66	28.45	12.93	24.99
SLAMF7	23.42	26.1	237.86	6.46	9.56	58.3	62.56	51.71	36.01	48.87	9.34	98.04	112.77	122.64	6.16	32.59	75.11	363.56	11.47	13.32	102.25	11.82	44.57	16.75	49.56	4.13	32.36	264.03	16.51	18.7	460.44	28.86	79.45	75.64	90.77	346.29	85.22	33.54	6.31	143.01	3.69	24.81	17.77	11.64	16.51	18.97	13.12	62.12	30.78	13.83	90.14	23.59	108.14
SLC17A9	15.0	13.72	81.71	2.05	7.34	33.3	44.25	29.27	17.77	38.95	5.06	57.49	54.72	47.5	14.14	5.87	31.45	57.08	12.27	12.09	30.34	5.45	18.16	6.26	9.06	13.93	21.16	76.17	35.76	11.21	154.42	22.1	45.21	74.06	27.25	63.89	22.59	10.16	10.39	34.51	8.85	20.11	17.77	14.56	5.63	12.45	10.96	31.9	22.92	9.34	32.13	23.42	21.47
SNX20	11.73	23.59	100.83	2.46	7.4	74.06	46.18	19.68	22.92	28.45	8.71	48.87	71.5	62.12	8.06	13.72	76.17	123.5	12.64	10.55	34.26	6.62	23.08	12.18	30.12	1.79	30.78	221.86	9.56	5.59	249.73	12.27	39.5	59.97	32.36	165.57	49.91	12.83	2.12	49.91	2.34	15.68	13.62	11.82	7.88	7.4	11.82	24.63	13.22	8.51	94.01	22.59	32.36
SPI1	110.43	191.67	559.28	17.64	72.01	224.97	264.03	279.14	185.11	229.72	92.7	423.61	332.14	376.41	146.03	85.82	660.68	603.67	115.16	130.6	301.33	88.26	224.97	80.57	147.06	65.26	334.46	651.58	183.82	92.7	954.43	158.79	204.07	525.39	312.0	633.73	329.84	136.19	73.03	273.37	63.89	167.9	149.12	84.63	64.8	112.77	109.66	293.07	138.1	153.34	540.19	180.02	251.48
SPN	17.51	23.93	131.51	7.63	22.92	96.68	65.72	40.07	36.01	43.32	25.17	65.26	90.14	90.77	18.29	31.67	120.94	155.5	25.54	17.77	57.89	12.36	43.02	18.56	45.85	4.58	30.34	212.78	14.89	19.68	195.72	23.76	55.49	97.36	74.06	228.13	60.82	41.22	3.35	76.71	11.73	17.13	28.45	15.11	11.55	17.64	20.71	51.35	31.22	14.24	68.55	31.0	59.13
STAT4	18.7	14.14	90.14	8.25	6.36	45.21	28.45	20.41	37.85	16.63	6.36	44.57	75.64	45.53	18.03	13.72	25.35	88.88	9.41	14.89	31.0	7.0	15.45	5.19	21.16	12.83	11.91	148.09	10.39	10.88	108.9	12.0	33.54	42.71	34.75	159.9	25.72	11.82	8.32	37.59	2.46	11.47	11.64	11.91	5.77	14.45	22.59	34.51	16.39	6.67	53.95	17.51	35.25
STK10	100.13	81.14	191.67	52.82	65.72	154.42	132.44	148.09	99.43	105.15	90.77	181.28	183.82	228.13	73.54	90.14	187.71	239.52	98.73	71.5	134.3	52.82	111.21	68.07	96.01	51.71	130.6	329.84	57.08	44.25	423.61	146.03	134.3	189.02	161.02	325.29	112.77	116.78	39.22	113.56	43.32	78.89	64.8	61.68	55.49	77.25	70.51	127.89	84.04	84.63	204.07	103.69	101.54
TBX21	7.82	5.32	29.7	2.53	4.5	8.58	14.14	8.58	7.63	4.98	2.1	17.64	17.9	16.39	3.47	4.21	10.96	21.63	2.29	1.62	15.45	2.78	6.84	2.94	7.28	1.14	7.0	31.22	4.54	2.63	38.95	2.41	11.64	18.97	6.78	53.95	10.79	2.76	0.54	13.42	1.1	4.1	4.9	1.6	2.61	1.66	4.13	7.34	1.68	3.59	13.03	5.59	6.21
TIFAB	0.0	0.87	5.45	0.0	0.0	5.45	3.08	1.75	1.48	1.17	0.27	1.45	4.62	5.63	0.0	0.85	6.62	15.91	0.25	1.14	4.94	0.57	2.07	0.28	3.14	0.22	2.01	13.93	0.25	0.0	19.39	0.27	1.77	3.82	4.03	19.68	3.2	1.46	0.28	5.96	0.0	1.13	0.56	0.0	0.24	0.88	0.25	2.01	0.89	0.58	8.58	1.14	2.53
TMC8	31.0	33.3	323.03	17.38	13.32	158.79	94.67	51.71	53.19	52.82	13.03	155.5	175.07	255.0	20.11	23.25	115.16	258.57	24.81	21.47	70.51	21.63	72.52	30.56	41.22	9.78	34.51	483.38	37.32	31.67	559.28	37.59	209.84	149.12	85.22	361.04	86.43	43.32	8.06	140.04	5.45	64.34	37.85	29.27	12.93	26.67	59.97	98.04	60.82	27.84	214.27	72.01	80.57
TNFAIP8L2	31.9	48.18	142.01	1.68	24.63	66.18	73.03	36.27	29.27	42.41	22.75	94.01	75.64	98.73	17.51	21.78	134.3	165.57	24.63	24.99	69.52	21.94	39.22	14.67	41.81	15.8	80.57	206.94	43.94	15.91	305.55	46.18	40.93	96.68	54.72	220.32	106.63	28.86	14.45	78.89	19.97	26.47	24.99	20.86	19.53	19.68	20.11	71.0	27.25	29.48	140.04	43.94	80.01
TNFRSF1B	138.1	162.14	457.25	26.28	92.7	232.94	236.21	181.28	180.02	187.71	99.43	447.82	341.51	323.03	132.44	111.21	480.04	441.64	169.07	105.15	299.25	84.63	211.31	102.25	175.07	44.25	241.19	651.58	136.19	60.39	688.78	139.07	211.31	339.14	316.37	665.29	228.13	180.02	55.49	231.32	56.28	129.69	78.34	70.01	52.82	126.12	86.43	234.57	111.99	98.73	373.81	140.04	246.28
TNFRSF25	61.25	41.81	457.25	46.84	53.57	162.14	169.07	125.24	97.36	102.97	24.81	293.07	242.88	183.82	69.52	21.63	109.66	256.78	85.82	52.08	102.25	63.89	83.45	15.11	13.93	40.93	102.25	363.56	96.01	18.84	497.0	134.3	150.17	373.81	59.13	444.72	88.88	31.22	22.92	141.02	15.0	81.14	72.52	52.82	31.0	33.3	83.45	127.89	25.91	33.54	190.34	198.47	86.43
TNFSF14	2.97	10.47	34.26	1.07	4.74	14.67	19.82	7.82	4.06	10.55	2.05	21.32	32.82	11.82	3.11	14.03	29.7	47.84	2.27	5.63	18.56	2.39	4.9	5.23	2.1	1.04	4.74	48.18	1.14	1.11	50.98	3.66	14.24	19.25	19.82	83.45	13.12	9.7	0.84	13.32	0.0	7.63	4.82	1.91	5.36	1.19	6.41	16.39	6.36	3.69	19.82	6.46	10.16
TRAF3IP3	87.03	103.69	381.68	45.21	66.65	273.37	194.36	68.55	125.24	106.63	53.57	211.31	287.01	318.57	46.5	71.5	171.45	420.68	52.08	72.52	214.27	121.79	92.05	55.1	131.51	53.95	118.43	698.41	86.43	62.12	947.83	100.13	191.67	209.84	127.0	624.99	180.02	94.01	53.19	206.94	36.79	85.22	82.87	75.11	57.49	52.45	92.7	127.0	71.0	71.0	403.5	107.38	170.25
TYROBP	961.07	1322.37	2816.11	126.12	571.05	802.41	1551.09	1806.78	995.0	1733.13	624.99	2367.9	1819.35	1950.0	743.43	612.11	3820.7	2240.11	780.44	825.0	1991.0	525.39	1151.06	417.77	836.53	460.44	2335.28	2701.35	1322.37	497.0	2609.3	1159.07	1151.06	2701.35	1529.73	4123.49	2485.67	819.3	323.03	1651.0	450.94	1051.79	728.11	575.03	409.15	830.75	629.35	1991.0	723.08	1561.89	2758.13	819.3	1529.73
UBA7	511.0	336.79	1594.73	444.72	397.93	974.5	896.64	457.25	743.43	587.13	217.27	1304.15	1208.34	1096.5	180.02	223.41	802.41	1447.15	323.03	293.07	830.75	497.0	356.05	264.03	307.69	80.01	1295.13	1242.34	403.5	117.6	1572.76	511.0	1037.29	1268.46	348.71	1806.78	842.36	327.56	199.85	679.29	50.27	638.15	536.45	271.48	116.78	381.68	373.81	915.51	182.55	403.5	813.63	764.36	860.08
UBASH3A	7.63	10.47	49.91	1.39	5.59	31.0	19.68	6.36	12.45	8.13	1.95	21.94	30.34	36.53	1.68	4.28	18.43	45.21	2.81	7.0	17.51	0.82	8.85	3.86	10.47	1.06	9.27	101.54	2.86	2.78	78.34	4.39	12.36	30.34	11.13	79.45	19.25	6.78	0.47	25.17	0.0	5.19	3.23	5.59	3.44	4.74	5.59	13.22	2.29	3.35	29.27	3.89	8.85
UNC13D	61.25	42.11	237.86	18.03	36.53	112.77	116.78	60.82	96.68	83.45	29.7	129.69	153.34	211.31	46.5	36.27	117.6	191.67	68.07	44.89	133.36	52.82	88.26	22.26	44.25	31.0	61.25	209.84	46.5	55.49	426.57	71.0	94.67	195.72	75.64	281.09	62.56	44.89	43.63	115.16	10.96	51.71	78.89	36.01	25.54	31.0	50.27	98.04	57.08	28.65	150.17	132.44	77.25
VAV1	22.43	48.52	127.0	6.78	25.72	103.69	79.45	44.89	43.63	63.0	24.63	81.14	76.17	132.44	19.39	20.71	133.36	148.09	37.05	16.63	81.71	26.47	46.5	18.97	45.53	11.3	77.79	175.07	41.52	14.78	295.11	35.25	62.56	87.03	89.51	204.07	74.58	36.01	10.16	84.04	14.03	34.26	26.1	17.13	15.34	36.79	19.39	63.89	23.59	22.75	111.21	25.35	109.66
WAS	68.55	78.89	325.29	21.47	54.33	189.02	123.5	90.14	90.14	102.97	52.82	172.65	214.27	264.03	53.19	47.5	221.86	297.17	57.89	67.59	158.79	49.21	92.05	31.22	94.67	35.0	133.36	466.88	96.68	52.45	780.44	82.29	164.42	229.72	149.12	429.54	122.64	69.03	23.42	173.85	27.44	70.51	70.01	54.72	54.33	52.08	57.49	170.25	63.0	59.97	255.0	79.45	95.34
ZAP70	33.06	28.65	234.57	18.43	19.53	131.51	66.18	26.67	66.65	29.7	6.67	145.02	194.36	134.3	24.63	15.11	62.12	309.83	18.03	16.75	81.71	22.92	35.25	13.42	37.32	8.99	45.53	406.31	24.81	21.63	543.96	18.16	141.02	156.59	45.21	389.72	80.57	25.91	3.92	114.36	2.05	46.5	37.32	21.32	12.0	8.32	58.71	87.03	13.93	17.0	173.85	56.68	50.27
ZBP1	7.94	10.71	90.14	3.5	7.51	29.7	31.9	12.93	17.77	9.27	2.76	27.05	38.12	43.94	1.14	3.79	14.89	82.87	2.16	3.38	14.35	3.06	5.02	2.39	11.82	0.6	11.55	88.88	3.76	2.53	166.73	3.47	50.63	24.81	17.0	90.14	15.56	9.27	1.97	34.26	0.59	3.32	9.85	6.41	1.75	4.28	6.36	17.51	5.54	3.92	24.46	14.67	22.92
ZC3H12D	9.34	4.9	45.21	0.0	3.29	27.25	13.12	6.78	10.39	9.56	3.53	23.93	31.22	42.71	7.17	3.35	19.97	41.22	4.39	6.01	5.23	7.69	11.04	2.76	6.46	2.01	9.63	79.45	7.11	2.86	178.77	6.94	23.25	21.94	24.63	100.13	9.85	4.17	1.95	19.97	4.62	17.25	7.11	2.56	3.56	7.75	7.46	15.56	8.65	6.62	38.12	7.11	12.09
