	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.E9.A244.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.BH.A0HA.11A.31R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.12ZZX.1126.SM.5EGKB	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.BP.4799.01A.01R.1305.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZQG8.2126.SM.4YCF1	TCGA.BR.4279.01A.01R.1131.13	GTEX.P4PP.2026.SM.3P61N	GTEX.XUJ4.1526.SM.4BONU	GTEX.13U4I.1926.SM.5LU39	GTEX.1117F.2426.SM.5EGGH	GTEX.13VXT.1626.SM.5IJES
PLA2G6	1457.23	163.28	133.36	551.56	748.61	1051.79	941.27	248.0	130.6	87.03	162.14	363.56	441.64	493.56	1023.0	497.0	813.63	260.38	287.01	163.28	111.21	206.94	1096.5	157.68	346.29	283.05	73.54	136.19	1242.34	171.45	209.84	133.36	181.28	403.5	327.56	579.04	163.28	307.69	379.04	102.97	157.68	1104.13	165.57	209.84	368.65	703.28	371.22	218.79	1001.93	819.3	620.67	476.71	403.5	995.0	262.2	438.59	813.63	559.28	264.03	1059.11	320.8	185.11	642.59	351.14	1498.22	708.18	954.43	255.0	169.07	262.2	698.41	780.44	85.22	988.12	309.83	143.01	490.14	486.75	1832.01	283.05	301.33	43.94	29.27	94.67	134.3	19.11	44.25	109.66	43.63	100.83	81.71	0.0	224.97	37.32	49.91	2133.97	854.13	1378.57	842.36	2224.63
PPM1F	361.04	194.36	90.77	503.95	332.14	555.41	703.28	94.67	149.12	237.86	166.73	114.36	181.28	262.2	395.18	159.9	368.65	346.29	249.73	63.89	39.5	256.78	281.09	163.28	325.29	295.11	181.28	88.88	236.21	212.78	123.5	205.5	241.19	423.61	309.83	368.65	194.36	307.69	381.68	343.89	314.17	503.95	205.5	96.68	99.43	74.06	684.02	389.72	409.15	563.18	624.99	426.57	463.65	500.46	265.87	476.71	470.14	454.09	429.54	748.61	441.64	363.56	332.14	387.02	540.19	426.57	521.76	403.5	212.78	185.11	1127.35	356.05	178.77	607.87	414.87	148.09	860.08	423.61	346.29	279.14	583.07	267.73	69.52	86.43	73.03	215.77	111.21	105.15	103.69	47.17	19.39	195.72	255.0	281.09	140.04	693.58	507.46	587.13	848.22	591.22
PRPF40B	674.59	246.28	82.29	450.94	426.57	551.56	503.95	118.43	351.14	81.71	198.47	423.61	1143.1	371.22	819.3	366.09	529.06	256.78	267.73	129.69	137.14	206.94	182.55	325.29	395.18	205.5	148.09	118.43	387.02	314.17	249.73	178.77	269.6	329.84	229.72	376.41	131.51	348.71	309.83	127.89	186.4	708.18	239.52	95.34	183.82	341.51	234.57	152.28	532.74	432.53	316.37	381.68	334.46	473.41	145.02	381.68	476.71	409.15	429.54	368.65	348.71	141.02	420.68	208.38	470.14	476.71	454.09	262.2	253.23	167.9	473.41	540.19	178.77	389.72	217.27	209.84	432.53	368.65	547.75	336.79	236.21	33.3	80.57	93.35	81.14	20.26	52.08	48.52	57.49	67.12	38.4	0.0	208.38	47.5	132.44	1397.83	753.83	738.29	848.22	1216.75
RABL2A	967.76	262.2	118.43	447.82	450.94	629.35	493.56	255.0	185.11	105.15	242.88	224.97	587.13	567.1	656.11	249.73	514.56	273.37	334.46	312.0	251.48	289.02	287.01	309.83	371.22	256.78	90.14	226.54	381.68	297.17	264.03	183.82	169.07	466.88	170.25	246.28	127.89	497.0	387.02	136.19	134.3	928.3	151.22	291.04	334.46	204.07	307.69	316.37	555.41	563.18	466.88	406.31	450.94	674.59	299.25	400.71	511.0	493.56	441.64	603.67	511.0	275.28	633.73	251.48	902.89	514.56	591.22	420.68	420.68	204.07	579.04	759.08	283.05	412.0	183.82	295.11	607.87	373.81	896.64	273.37	361.04	182.55	27.84	147.06	99.43	33.54	44.57	98.73	50.63	103.69	90.14	0.0	297.17	28.04	171.45	813.63	547.75	607.87	547.75	1037.29
RBM4B	698.41	470.14	285.03	567.1	525.39	536.45	563.18	392.44	791.35	343.89	414.87	389.72	928.3	579.04	629.35	438.59	514.56	457.25	507.46	329.84	217.27	397.93	483.38	346.29	536.45	571.05	518.15	679.29	486.75	412.0	414.87	346.29	293.07	698.41	368.65	497.0	476.71	529.06	426.57	423.61	293.07	688.78	351.14	356.05	571.05	555.41	454.09	599.49	591.22	651.58	529.06	567.1	603.67	764.36	400.71	500.46	780.44	693.58	435.55	728.11	480.04	361.04	583.07	403.5	718.08	791.35	620.67	493.56	493.56	303.44	651.58	703.28	249.73	521.76	454.09	486.75	808.0	429.54	651.58	403.5	376.41	215.77	49.91	152.28	146.03	142.01	171.45	134.3	123.5	178.77	102.97	0.0	256.78	138.1	241.19	1331.57	583.07	1081.39	733.19	1183.45
RP11-1055B8.7	166.73	74.58	21.94	159.9	151.22	265.87	193.01	77.25	43.94	94.01	72.01	29.91	47.17	73.54	181.28	43.94	170.25	81.14	33.3	10.31	9.34	86.43	189.02	31.0	138.1	85.22	50.98	15.45	150.17	59.13	68.55	30.78	77.25	100.83	208.38	85.22	78.89	94.67	84.04	43.94	71.5	195.72	50.27	30.12	27.84	46.84	108.9	52.82	189.02	133.36	147.06	117.6	105.89	157.68	43.63	98.73	124.37	124.37	52.82	229.72	191.67	95.34	121.79	25.17	224.97	291.04	239.52	181.28	9.63	55.1	384.34	234.57	111.99	68.07	57.08	22.59	149.12	143.01	172.65	29.91	93.35	24.81	4.39	19.97	21.32	14.67	17.13	10.47	13.03	14.24	8.13	0.0	63.45	8.58	24.46	387.02	575.03	392.44	287.01	206.94
RP11-1105G2.3	65.26	28.04	7.82	26.28	25.91	30.34	45.21	8.38	13.93	4.13	24.11	40.07	63.0	68.55	71.0	19.53	42.11	23.59	12.83	9.63	3.11	11.91	7.0	24.28	26.67	16.27	15.56	0.0	23.42	1.64	1.17	18.84	6.57	19.68	15.22	34.26	6.52	23.93	13.22	1.28	7.63	39.22	4.28	0.0	8.06	25.54	33.78	10.47	67.12	52.45	57.08	27.44	28.86	53.95	23.59	25.72	40.93	26.1	24.81	58.71	24.28	12.74	21.01	9.93	15.11	41.52	59.13	53.19	79.45	11.13	30.12	51.71	48.52	23.08	2.51	17.25	27.44	4.54	34.51	15.56	24.28	2.76	0.0	0.0	9.93	3.38	5.19	0.96	3.26	9.06	0.0	0.0	50.98	1.46	18.56	44.25	54.33	102.25	52.08	66.18
RP11-574K11.31	27.64	14.67	4.06	23.08	19.25	24.99	31.45	7.82	4.74	15.8	7.94	14.24	16.88	44.57	35.0	13.42	31.22	12.83	11.21	4.66	16.27	14.45	23.25	6.11	13.12	10.96	6.84	8.78	21.94	10.31	3.29	9.48	9.85	20.56	7.69	16.51	9.41	13.03	18.7	10.08	21.63	39.79	7.94	6.89	7.17	9.63	11.47	11.91	33.3	34.02	28.65	29.7	19.39	41.81	11.47	28.04	22.59	22.75	14.78	22.26	22.26	18.16	23.42	8.19	41.52	40.93	17.51	30.56	20.41	12.83	22.1	33.78	7.17	28.65	9.7	15.68	31.22	22.59	28.45	11.04	12.18	15.45	2.41	8.85	5.15	5.59	5.11	6.78	16.39	10.16	2.61	0.0	10.08	4.1	0.0	21.01	26.1	32.13	28.65	40.93
RXRB	988.12	595.34	414.87	769.69	854.13	1023.0	981.29	476.71	642.59	490.14	647.07	802.41	638.15	532.74	1015.93	567.1	830.75	660.68	660.68	529.06	348.71	620.67	718.08	511.0	775.05	579.04	603.67	536.45	780.44	507.46	563.18	599.49	698.41	660.68	753.83	1277.29	381.68	718.08	559.28	406.31	591.22	1081.39	1378.57	486.75	620.67	836.53	669.92	547.75	848.22	896.64	995.0	775.05	723.08	1073.91	503.95	780.44	928.3	921.88	769.69	728.11	1111.82	723.08	830.75	633.73	884.29	1378.57	941.27	866.07	718.08	500.46	854.13	1111.82	703.28	915.51	409.15	629.35	934.76	679.29	1135.2	642.59	638.15	289.02	244.57	409.15	341.51	157.68	297.17	351.14	264.03	346.29	248.0	0.0	738.29	234.57	432.53	1417.35	1757.34	1208.34	1066.48	1844.76
SETD1A	256.78	343.89	142.01	277.2	208.38	267.73	316.37	221.86	176.29	202.66	190.34	249.73	356.05	214.27	384.34	209.84	277.2	158.79	204.07	172.65	152.28	183.82	195.72	181.28	226.54	189.02	155.5	260.38	211.31	205.5	191.67	159.9	194.36	205.5	138.1	224.97	181.28	228.13	211.31	123.5	189.02	297.17	248.0	139.07	169.07	214.27	223.41	208.38	303.44	309.83	267.73	226.54	199.85	271.48	189.02	162.14	366.09	224.97	154.42	267.73	187.71	145.02	197.09	149.12	211.31	316.37	287.01	314.17	170.25	123.5	232.94	251.48	251.48	406.31	198.47	94.01	239.52	224.97	206.94	215.77	199.85	59.13	15.22	90.77	92.05	78.89	57.08	72.01	100.83	71.5	37.59	0.0	90.77	76.71	100.83	417.77	303.44	381.68	289.02	346.29
SGSH	1066.48	543.96	193.01	934.76	909.17	1242.34	974.5	555.41	665.29	1104.13	423.61	836.53	713.11	967.76	974.5	633.73	896.64	629.35	532.74	264.03	529.06	896.64	1073.91	299.25	540.19	825.0	334.46	389.72	1008.9	1001.93	656.11	638.15	532.74	688.78	511.0	444.72	616.37	660.68	764.36	368.65	674.59	1313.23	769.69	791.35	620.67	1167.14	647.07	656.11	1208.34	775.05	796.86	723.08	775.05	1151.06	356.05	698.41	1044.52	1015.93	802.41	1175.27	915.51	616.37	1081.39	633.73	1233.75	1167.14	848.22	860.08	373.81	389.72	1008.9	1127.35	599.49	1369.04	476.71	529.06	775.05	665.29	1135.2	612.11	688.78	633.73	158.79	312.0	241.19	309.83	199.85	165.57	265.87	221.86	187.71	0.0	954.43	127.0	273.37	1457.23	1225.22	536.45	1551.09	947.83
SH2B1	1896.65	1277.29	70.51	884.29	633.73	1268.46	1286.18	785.88	480.04	281.09	384.34	785.88	1183.45	854.13	1909.85	723.08	1498.22	547.75	426.57	202.66	262.2	450.94	764.36	353.59	954.43	490.14	231.32	406.31	1088.92	327.56	660.68	438.59	503.95	688.78	403.5	1175.27	299.25	802.41	547.75	318.57	507.46	1572.76	423.61	264.03	595.34	808.0	620.67	457.25	1051.79	915.51	934.76	703.28	791.35	1104.13	346.29	836.53	941.27	1073.91	723.08	1096.5	733.19	435.55	808.0	591.22	1806.78	1322.37	1096.5	819.3	497.0	334.46	1233.75	1135.2	239.52	981.29	633.73	237.86	1350.18	511.0	1135.2	647.07	457.25	112.77	466.88	291.04	271.48	201.25	182.55	177.53	162.14	327.56	241.19	0.0	563.18	176.29	226.54	2520.38	1359.57	1674.06	1857.6	2573.36
SIN3B	1340.84	258.57	395.18	764.36	733.19	995.0	967.76	251.48	246.28	406.31	253.23	733.19	503.95	775.05	1051.79	237.86	791.35	316.37	361.04	309.83	151.22	497.0	575.03	500.46	470.14	417.77	346.29	271.48	603.67	420.68	441.64	318.57	1143.1	511.0	480.04	607.87	429.54	511.0	638.15	305.55	379.04	1127.35	361.04	234.57	198.47	346.29	518.15	447.82	819.3	921.88	718.08	599.49	555.41	909.17	397.93	540.19	941.27	988.12	785.88	808.0	753.83	316.37	620.67	769.69	961.07	1183.45	825.0	579.04	239.52	379.04	642.59	872.1	463.65	941.27	176.29	327.56	890.44	684.02	1088.92	366.09	642.59	147.06	56.28	150.17	125.24	79.45	63.0	95.34	137.14	135.24	69.03	460.44	363.56	104.42	248.0	2193.99	1340.84	1304.15	1313.23	1561.89
SPATA25	26.28	9.41	0.83	12.64	11.38	40.07	44.89	3.03	9.78	3.79	13.12	19.25	17.64	23.76	33.3	17.13	22.75	5.87	5.96	1.85	0.79	3.92	7.28	3.5	17.9	4.21	3.26	4.58	12.18	3.14	13.03	8.99	13.52	16.39	16.27	48.18	11.64	12.09	19.97	8.85	7.57	61.68	10.71	1.79	4.43	6.06	22.43	6.46	39.79	29.06	21.32	18.7	14.45	54.72	4.82	13.22	47.84	34.26	12.09	23.42	17.25	4.24	12.45	15.91	24.99	27.84	19.82	17.51	9.78	0.0	43.32	16.03	23.08	24.63	7.51	9.7	24.81	13.12	13.42	10.79	3.26	0.0	2.78	5.59	5.19	0.0	13.03	8.78	12.74	3.47	11.82	0.0	18.56	2.41	0.0	69.03	90.14	46.18	33.78	43.94
STRADA	738.29	532.74	514.56	555.41	718.08	769.69	698.41	764.36	583.07	450.94	460.44	769.69	642.59	785.88	785.88	708.18	607.87	511.0	802.41	423.61	384.34	629.35	483.38	435.55	503.95	902.89	669.92	291.04	444.72	620.67	483.38	638.15	283.05	665.29	486.75	591.22	575.03	616.37	540.19	384.34	460.44	764.36	366.09	470.14	733.19	718.08	647.07	713.11	624.99	753.83	595.34	518.15	638.15	759.08	514.56	595.34	693.58	854.13	738.29	890.44	902.89	753.83	842.36	403.5	854.13	825.0	813.63	500.46	848.22	463.65	693.58	1030.12	470.14	500.46	256.78	603.67	743.43	551.56	909.17	351.14	575.03	273.37	105.15	241.19	271.48	121.79	182.55	217.27	246.28	260.38	148.09	0.0	674.59	320.8	525.39	995.0	896.64	947.83	1066.48	1225.22
SUN1	1733.13	713.11	941.27	1295.13	1662.49	2209.26	1896.65	1059.11	1639.59	3928.15	1030.12	1583.71	718.08	1277.29	2047.0	769.69	1427.22	1015.93	1135.2	1662.49	674.59	1037.29	1605.83	1313.23	1407.55	1127.35	1242.34	1407.55	1250.98	909.17	1183.45	1111.82	2255.7	1721.16	1295.13	2163.77	854.13	1551.09	1572.76	780.44	1151.06	2104.58	638.15	1044.52	1081.39	1378.57	1757.34	1896.65	2434.5	2720.15	2701.35	1923.14	1950.0	2502.97	2104.58	1135.2	2335.28	2796.65	1923.14	2075.59	2915.45	2209.26	2645.74	1662.49	2591.27	2645.74	2287.2	4123.49	1769.57	2485.67	2224.63	2255.7	1628.26	2720.15	890.44	1697.45	2976.74	1437.15	2835.7	1322.37	2303.12	1175.27	1397.83	708.18	444.72	417.77	379.04	395.18	412.0	353.59	403.5	1359.57	896.64	417.77	981.29	4704.07	2271.4	4607.24	4575.41	2777.33
TAB1	426.57	389.72	99.43	575.03	432.53	525.39	591.22	314.17	293.07	253.23	400.71	295.11	316.37	466.88	409.15	277.2	567.1	381.68	361.04	80.01	115.97	229.72	409.15	177.53	389.72	325.29	127.89	127.89	483.38	417.77	260.38	239.52	281.09	371.22	403.5	429.54	373.81	466.88	400.71	373.81	281.09	579.04	273.37	195.72	483.38	412.0	353.59	275.28	507.46	441.64	441.64	490.14	389.72	591.22	191.67	447.82	547.75	579.04	376.41	583.07	503.95	363.56	426.57	387.02	470.14	599.49	575.03	476.71	361.04	232.94	629.35	460.44	194.36	358.54	387.02	248.0	563.18	353.59	518.15	318.57	387.02	106.63	78.34	297.17	215.77	176.29	212.78	158.79	172.65	251.48	217.27	0.0	392.44	206.94	166.73	896.64	775.05	723.08	587.13	974.5
TCF25	2682.69	1857.6	1037.29	2627.46	2224.63	2997.45	3443.31	1044.52	1733.13	1529.73	1369.04	4575.41	2451.44	2271.4	2555.58	1685.71	3146.52	2004.85	1909.85	941.27	684.02	2163.77	3515.68	2720.15	2417.67	1896.65	1286.18	753.83	3280.18	1651.0	2485.67	2224.63	3467.27	2119.22	3395.89	3589.58	1551.09	2720.15	2032.85	1733.13	2537.92	3325.99	1923.14	1088.92	1806.78	2895.31	2178.83	1819.35	3212.66	2591.27	3081.75	2835.7	2287.2	3372.43	1268.46	3190.46	3212.66	3395.89	3212.66	3395.89	3794.3	2434.5	3081.75	2664.15	3190.46	3874.05	2400.97	2720.15	2255.7	2193.99	2835.7	3190.46	2609.3	5112.16	1519.15	1417.35	3039.3	1923.14	3874.05	1781.89	2645.74	571.05	603.67	2178.83	1685.71	1628.26	1313.23	1936.53	1617.0	1594.73	1769.57	0.0	2627.46	1037.29	2209.26	6381.92	3928.15	2664.15	2915.45	4704.07
TNPO2	848.22	587.13	981.29	842.36	1081.39	1104.13	988.12	624.99	429.54	500.46	587.13	988.12	802.41	1073.91	1066.48	269.6	785.88	521.76	688.78	848.22	511.0	660.68	921.88	941.27	743.43	571.05	860.08	497.0	511.0	819.3	559.28	785.88	941.27	579.04	1183.45	884.29	435.55	713.11	708.18	490.14	454.09	1340.84	728.11	529.06	579.04	435.55	651.58	616.37	934.76	909.17	860.08	802.41	669.92	981.29	674.59	595.34	848.22	934.76	941.27	1111.82	1216.75	540.19	1037.29	466.88	1369.04	1088.92	1208.34	759.08	371.22	379.04	819.3	921.88	559.28	981.29	226.54	547.75	902.89	738.29	1096.5	432.53	669.92	218.79	183.82	231.32	177.53	176.29	133.36	133.36	264.03	82.29	91.41	1183.45	329.84	444.72	371.22	2032.85	902.89	1216.75	1081.39	1529.73
TNRC18	1023.0	684.02	209.84	1467.37	1685.71	1183.45	1487.87	348.71	872.1	620.67	738.29	1015.93	1015.93	1295.13	2178.83	759.08	1127.35	555.41	1295.13	206.94	127.89	825.0	1378.57	854.13	934.76	743.43	206.94	217.27	934.76	981.29	830.75	490.14	785.88	420.68	466.88	521.76	579.04	967.76	947.83	529.06	1015.93	1313.23	258.57	555.41	563.18	921.88	493.56	312.0	1467.37	981.29	1066.48	1639.59	543.96	1104.13	177.53	825.0	1044.52	1216.75	995.0	1369.04	1096.5	454.09	1159.07	366.09	791.35	1191.69	1437.15	703.28	176.29	480.04	1127.35	915.51	232.94	1096.5	432.53	277.2	1651.0	607.87	1457.23	642.59	848.22	85.22	47.17	275.28	198.47	191.67	93.35	136.19	214.27	167.9	214.27	543.96	674.59	201.25	384.34	1794.29	1023.0	1417.35	1250.98	1551.09
TRMT44	325.29	143.01	108.14	346.29	267.73	400.71	384.34	145.02	156.59	153.34	161.02	137.14	208.38	199.85	389.72	318.57	403.5	279.14	172.65	177.53	77.25	262.2	206.94	117.6	327.56	208.38	157.68	94.67	368.65	211.31	191.67	120.94	139.07	295.11	110.43	215.77	152.28	295.11	283.05	106.63	170.25	460.44	212.78	171.45	86.43	271.48	265.87	177.53	351.14	348.71	289.02	293.07	251.48	363.56	190.34	255.0	490.14	435.55	460.44	301.33	414.87	177.53	277.2	215.77	376.41	441.64	400.71	346.29	175.07	221.86	293.07	500.46	208.38	361.04	159.9	191.67	435.55	189.02	514.56	166.73	353.59	65.72	47.84	61.68	114.36	83.45	91.41	105.89	55.1	107.38	56.28	0.0	204.07	450.94	104.42	679.29	312.0	525.39	309.83	414.87
TSNARE1	529.06	265.87	58.71	490.14	412.0	463.65	660.68	323.03	432.53	208.38	381.68	217.27	525.39	543.96	665.29	232.94	764.36	323.03	169.07	39.22	86.43	119.26	202.66	176.29	312.0	157.68	208.38	96.01	412.0	242.88	237.86	309.83	301.33	312.0	376.41	813.63	275.28	379.04	256.78	490.14	223.41	651.58	197.09	87.65	214.27	260.38	301.33	137.14	525.39	490.14	373.81	384.34	287.01	514.56	82.87	325.29	547.75	473.41	406.31	323.03	595.34	172.65	256.78	249.73	423.61	884.29	642.59	830.75	363.56	189.02	642.59	466.88	164.42	277.2	215.77	178.77	633.73	208.38	441.64	356.05	470.14	96.68	43.63	195.72	78.34	57.89	52.08	53.57	52.82	84.04	149.12	0.0	218.79	49.56	79.45	1199.98	476.71	543.96	486.75	974.5
TTLL3	1407.55	273.37	133.36	503.95	441.64	1081.39	890.44	119.26	150.17	186.4	151.22	332.14	759.08	902.89	967.76	417.77	718.08	236.21	194.36	148.09	114.36	387.02	373.81	218.79	429.54	277.2	115.97	255.0	607.87	195.72	307.69	264.03	366.09	426.57	255.0	599.49	172.65	525.39	351.14	88.26	267.73	1151.06	185.11	109.66	143.01	480.04	473.41	480.04	808.0	915.51	591.22	483.38	563.18	988.12	423.61	507.46	896.64	1127.35	954.43	947.83	587.13	470.14	1008.9	759.08	1721.16	1286.18	808.0	559.28	366.09	723.08	909.17	878.17	395.18	679.29	162.14	409.15	825.0	547.75	1487.87	285.03	642.59	113.56	54.72	24.81	74.06	43.63	26.86	45.85	28.65	95.34	39.5	0.0	387.02	11.3	94.01	1806.78	974.5	1447.15	1208.34	1923.14
TUBGCP6	1104.13	256.78	107.38	651.58	698.41	995.0	896.64	211.31	185.11	102.97	187.71	842.36	291.04	836.53	769.69	551.56	780.44	285.03	297.17	110.43	80.57	244.57	511.0	239.52	346.29	291.04	100.83	85.22	848.22	279.14	204.07	191.67	198.47	441.64	353.59	423.61	217.27	429.54	392.44	169.07	301.33	1051.79	177.53	201.25	384.34	438.59	412.0	260.38	674.59	684.02	483.38	559.28	470.14	854.13	206.94	466.88	785.88	688.78	409.15	679.29	540.19	275.28	507.46	403.5	1001.93	791.35	909.17	463.65	384.34	214.27	591.22	866.07	231.32	872.1	318.57	204.07	718.08	490.14	967.76	476.71	397.93	68.55	147.06	175.07	164.42	80.57	90.14	125.24	115.97	220.32	141.02	0.0	728.11	65.26	132.44	1457.23	954.43	785.88	723.08	1242.34
UBAP1L	92.05	13.12	13.93	44.57	31.45	94.67	87.65	12.55	14.45	16.51	13.32	10.79	46.84	49.21	110.43	20.71	84.04	18.84	20.71	5.73	8.85	19.97	33.06	19.97	43.63	18.7	9.63	9.2	36.27	4.78	6.11	14.35	9.93	53.95	13.03	15.91	5.92	55.49	30.56	4.82	13.93	100.13	11.82	3.23	7.94	26.86	37.32	58.3	74.58	84.63	52.82	72.01	66.65	128.79	21.16	59.13	99.43	96.01	33.54	57.49	88.88	16.75	81.14	32.59	119.26	124.37	111.99	71.0	89.51	26.47	58.71	96.01	23.93	66.65	17.0	47.17	191.67	42.71	134.3	28.45	29.48	7.06	2.46	8.0	19.39	0.39	4.5	10.55	11.91	10.71	22.43	0.0	25.91	1.11	3.14	185.11	96.68	124.37	125.24	215.77
UNK	480.04	463.65	441.64	532.74	371.22	660.68	743.43	397.93	460.44	444.72	232.94	1304.15	743.43	629.35	551.56	733.19	525.39	454.09	438.59	251.48	493.56	395.18	363.56	224.97	473.41	341.51	361.04	457.25	429.54	379.04	332.14	376.41	299.25	599.49	543.96	429.54	480.04	435.55	441.64	229.72	325.29	616.37	420.68	220.32	379.04	234.57	450.94	457.25	624.99	718.08	575.03	567.1	525.39	669.92	633.73	403.5	854.13	567.1	500.46	559.28	764.36	392.44	518.15	612.11	525.39	842.36	591.22	753.83	457.25	346.29	753.83	647.07	400.71	473.41	493.56	540.19	583.07	521.76	703.28	400.71	483.38	154.42	287.01	142.01	127.89	170.25	67.12	91.41	100.83	126.12	76.17	0.0	420.68	384.34	438.59	1151.06	708.18	902.89	603.67	1030.12
URGCP	571.05	595.34	514.56	497.0	406.31	624.99	500.46	258.57	346.29	332.14	314.17	193.01	356.05	395.18	450.94	595.34	555.41	389.72	521.76	466.88	229.72	447.82	603.67	599.49	599.49	441.64	291.04	334.46	438.59	361.04	450.94	373.81	389.72	638.15	241.19	423.61	329.84	616.37	373.81	318.57	406.31	575.03	271.48	435.55	450.94	503.95	518.15	476.71	571.05	599.49	612.11	454.09	511.0	679.29	493.56	473.41	629.35	928.3	432.53	753.83	743.43	503.95	679.29	368.65	620.67	603.67	713.11	1037.29	373.81	339.14	575.03	647.07	346.29	633.73	314.17	555.41	579.04	423.61	536.45	348.71	473.41	307.69	163.28	297.17	325.29	271.48	361.04	231.32	279.14	366.09	153.34	0.0	175.07	191.67	334.46	796.86	759.08	723.08	457.25	1023.0
