	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.X3Y1.2726.SM.4PQZH	GTEX.R53T.0326.SM.48FEC	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A3FL.01A.11R.A21D.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.R55C.0626.SM.2TF4Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
TG	21.32	197.09	12.93	10.79	22.59	4.7	36.53	108.14	4.13	602247.76	711250.37	610654.84	598087.73	992012.34	834179.46	1364554.84	1264380.15	1393227.06	2068278.89	1085552.95	1163466.92	1452391.55	2247670.86	2126426.15	1327240.99	1751305.3	1273174.62	1273174.62	2375828.71	2111737.85	668235.84	1611529.43	1611529.43	1299926.74	1308968.45	1622738.51	1041331.96	1493223.86	1739208.14	1838374.44	1997825.68	1535204.12	1984025.69	1997825.68	1290947.48	1139523.1	1355129.16	2986448.72	1567462.05	2025714.3	2425749.94	1318073.06	925580.18	1929772.37	1299926.74	1212874.47	1943195.01	875652.15	1622738.51	1727194.55	1589343.01	1123834.93	1355129.16	1336472.68	2636147.11	2263304.65	1229805.58	1775752.63	925580.18	2111737.85	1108362.75	1691649.38	1800541.22	3178687.03	3886391.01	1645391.11	1055868.42	1622738.51	2263304.65	1282030.25	1535204.12	2672946.37	1864037.21	1634025.56	1402917.72	1026995.62
THOC1	297.17	84.63	258.57	351.14	221.86	182.55	151.22	159.9	170.25	283.05	334.46	363.56	307.69	466.88	327.56	540.19	1259.69	514.56	583.07	669.92	738.29	703.28	486.75	575.03	450.94	559.28	1199.98	603.67	476.71	1015.93	1225.22	909.17	470.14	718.08	1066.48	988.12	679.29	665.29	591.22	447.82	435.55	620.67	583.07	674.59	447.82	802.41	928.3	921.88	813.63	620.67	669.92	830.75	1030.12	450.94	733.19	660.68	647.07	684.02	733.19	518.15	860.08	575.03	395.18	780.44	633.73	490.14	1051.79	503.95	1127.35	521.76	414.87	947.83	738.29	540.19	620.67	312.0	848.22	547.75	563.18	995.0	947.83	607.87	947.83	587.13	563.18	438.59
TMUB2	500.46	476.71	507.46	540.19	441.64	493.56	423.61	435.55	432.53	775.05	836.53	1081.39	796.86	981.29	708.18	967.76	1250.98	1191.69	915.51	1111.82	1135.2	1119.56	1096.5	1127.35	954.43	1167.14	1259.69	1199.98	748.61	909.17	1561.89	902.89	1081.39	1119.56	1066.48	1304.15	1407.55	1151.06	1225.22	988.12	909.17	1015.93	1088.92	1111.82	819.3	1023.0	1417.35	1467.37	1015.93	1059.11	1151.06	1304.15	1242.34	909.17	1167.14	1277.29	1119.56	1088.92	1259.69	1008.9	1119.56	1250.98	890.44	1331.57	1088.92	1059.11	1467.37	1183.45	1259.69	921.88	896.64	1191.69	884.29	1044.52	1073.91	1242.34	1745.2	1183.45	909.17	1417.35	1388.16	1081.39	1407.55	995.0	934.76	842.36
TRIM52	73.54	54.72	76.17	72.52	76.17	83.45	64.8	67.59	59.97	221.86	211.31	194.36	177.53	323.03	269.6	351.14	825.0	275.28	312.0	265.87	559.28	447.82	356.05	417.77	293.07	373.81	571.05	438.59	307.69	384.34	738.29	460.44	336.79	397.93	511.0	503.95	435.55	420.68	543.96	353.59	279.14	366.09	406.31	381.68	281.09	373.81	633.73	363.56	379.04	432.53	397.93	438.59	529.06	255.0	346.29	454.09	275.28	450.94	343.89	307.69	414.87	457.25	293.07	555.41	264.03	358.54	748.61	438.59	514.56	358.54	255.0	441.64	426.57	256.78	381.68	283.05	423.61	395.18	323.03	497.0	460.44	358.54	466.88	297.17	361.04	253.23
TRIT1	163.28	93.35	187.71	201.25	163.28	183.82	162.14	172.65	92.7	460.44	232.94	389.72	246.28	483.38	493.56	432.53	967.76	540.19	547.75	473.41	551.56	571.05	387.02	500.46	406.31	540.19	808.0	490.14	409.15	1073.91	961.07	633.73	353.59	336.79	1023.0	599.49	540.19	480.04	603.67	368.65	414.87	532.74	423.61	497.0	356.05	432.53	525.39	441.64	490.14	384.34	497.0	529.06	759.08	444.72	435.55	647.07	397.93	438.59	454.09	559.28	567.1	473.41	395.18	503.95	500.46	400.71	540.19	486.75	909.17	447.82	420.68	587.13	454.09	493.56	457.25	351.14	1023.0	629.35	486.75	599.49	612.11	379.04	351.14	493.56	463.65	423.61
TSC1	45.53	28.65	83.45	54.33	47.17	43.63	63.45	72.52	55.49	217.27	177.53	199.85	145.02	201.25	217.27	239.52	521.76	187.71	228.13	353.59	381.68	327.56	237.86	384.34	267.73	232.94	412.0	353.59	201.25	493.56	412.0	281.09	295.11	287.01	620.67	373.81	348.71	392.44	336.79	327.56	301.33	277.2	301.33	353.59	220.32	281.09	417.77	497.0	323.03	303.44	265.87	379.04	620.67	242.88	470.14	466.88	246.28	341.51	201.25	356.05	343.89	348.71	211.31	348.71	195.72	226.54	457.25	293.07	400.71	353.59	208.38	395.18	318.57	220.32	351.14	205.5	529.06	368.65	368.65	476.71	417.77	260.38	339.14	191.67	285.03	260.38
TSEN2	112.77	82.87	133.36	123.5	108.9	145.02	82.87	74.58	62.56	239.52	191.67	217.27	195.72	265.87	255.0	371.22	363.56	269.6	295.11	190.34	334.46	307.69	264.03	289.02	217.27	314.17	457.25	305.55	249.73	223.41	406.31	273.37	305.55	269.6	312.0	420.68	327.56	269.6	332.14	215.77	265.87	329.84	285.03	262.2	258.57	316.37	361.04	249.73	368.65	334.46	318.57	366.09	325.29	251.48	289.02	236.21	309.83	341.51	269.6	343.89	271.48	447.82	249.73	336.79	255.0	264.03	379.04	264.03	470.14	256.78	260.38	371.22	249.73	194.36	239.52	224.97	356.05	307.69	253.23	414.87	346.29	193.01	423.61	332.14	283.05	237.86
TUBGCP3	163.28	155.5	215.77	182.55	187.71	221.86	189.02	204.07	127.0	236.21	165.57	133.36	132.44	209.84	217.27	334.46	529.06	183.82	258.57	187.71	376.41	368.65	327.56	332.14	336.79	224.97	361.04	305.55	204.07	289.02	389.72	231.32	320.8	332.14	403.5	285.03	409.15	450.94	293.07	379.04	287.01	281.09	309.83	343.89	297.17	297.17	450.94	228.13	242.88	406.31	194.36	316.37	460.44	348.71	323.03	371.22	248.0	312.0	236.21	356.05	327.56	400.71	297.17	356.05	312.0	273.37	392.44	351.14	373.81	348.71	264.03	287.01	363.56	228.13	299.25	256.78	518.15	417.77	353.59	277.2	299.25	211.31	400.71	212.78	287.01	265.87
UBN2	24.81	9.78	30.56	35.25	23.25	29.91	23.25	31.9	32.13	46.84	48.52	46.5	58.3	72.52	64.34	91.41	229.72	66.65	104.42	67.59	144.01	120.94	107.38	127.89	92.7	90.77	165.57	126.12	73.54	139.07	175.07	128.79	86.43	124.37	162.14	125.24	159.9	132.44	132.44	93.35	81.71	85.22	108.14	124.37	92.05	85.22	152.28	97.36	93.35	120.1	91.41	137.14	171.45	66.65	141.02	129.69	78.34	171.45	74.58	108.9	111.99	136.19	77.25	183.82	88.88	100.83	176.29	95.34	173.85	100.13	70.01	154.42	145.02	55.89	143.01	66.18	120.94	127.0	95.34	166.73	164.42	85.82	115.16	85.82	120.1	76.71
UHRF2	118.43	82.87	165.57	175.07	154.42	135.24	120.94	129.69	318.57	271.48	212.78	241.19	191.67	297.17	332.14	343.89	743.43	299.25	389.72	351.14	511.0	473.41	423.61	450.94	438.59	329.84	607.87	567.1	309.83	447.82	753.83	363.56	503.95	463.65	583.07	460.44	679.29	444.72	473.41	493.56	318.57	366.09	395.18	476.71	466.88	325.29	579.04	460.44	392.44	379.04	336.79	457.25	575.03	387.02	536.45	463.65	341.51	599.49	368.65	466.88	420.68	403.5	295.11	540.19	363.56	376.41	540.19	473.41	638.15	463.65	392.44	476.71	563.18	299.25	457.25	273.37	796.86	551.56	457.25	559.28	547.75	258.57	403.5	334.46	435.55	392.44
ZC3H6	22.26	5.68	27.44	18.29	19.68	29.48	16.75	27.05	12.18	50.98	39.5	40.64	37.05	67.12	48.18	78.89	205.5	73.54	120.1	56.68	116.78	113.56	74.58	111.99	87.65	91.41	143.01	109.66	90.14	134.3	215.77	113.56	98.04	113.56	165.57	127.0	108.14	115.97	120.1	81.71	82.29	100.13	126.12	101.54	66.18	88.88	136.19	108.14	90.14	108.14	110.43	125.24	144.01	82.29	98.04	123.5	82.87	100.13	81.14	104.42	85.22	103.69	56.68	95.34	92.05	96.01	175.07	105.89	156.59	123.5	63.0	124.37	120.1	88.26	99.43	57.89	163.28	127.0	91.41	161.02	134.3	78.89	112.77	75.64	92.05	80.57
ZFYVE26	36.27	52.45	57.08	36.79	34.02	44.57	57.89	58.3	98.73	122.64	102.25	97.36	84.04	102.97	137.14	144.01	234.57	126.12	115.97	96.68	198.47	140.04	120.1	190.34	162.14	127.89	191.67	182.55	119.26	140.04	186.4	112.77	148.09	155.5	211.31	145.02	172.65	156.59	180.02	187.71	146.03	140.04	172.65	197.09	138.1	128.79	182.55	105.89	113.56	180.02	136.19	178.77	249.73	139.07	242.88	189.02	119.26	198.47	127.0	176.29	145.02	223.41	150.17	201.25	102.97	156.59	167.9	153.34	212.78	191.67	147.06	155.5	155.5	122.64	175.07	155.5	289.02	178.77	141.02	202.66	158.79	87.65	151.22	117.6	154.42	146.03
ZKSCAN8	37.85	24.63	50.98	57.08	39.5	48.52	43.32	64.34	50.98	96.01	96.68	89.51	120.94	161.02	147.06	199.85	441.64	162.14	229.72	183.82	281.09	267.73	232.94	273.37	231.32	204.07	204.07	312.0	181.28	353.59	536.45	166.73	305.55	228.13	384.34	242.88	341.51	273.37	287.01	241.19	171.45	220.32	226.54	242.88	241.19	172.65	314.17	273.37	211.31	226.54	182.55	320.8	283.05	209.84	246.28	291.04	120.1	269.6	204.07	293.07	316.37	283.05	149.12	264.03	181.28	180.02	293.07	287.01	297.17	244.57	167.9	199.85	248.0	138.1	242.88	150.17	595.34	281.09	251.48	262.2	246.28	198.47	271.48	199.85	224.97	201.25
ZMYM5	66.18	25.35	67.59	71.0	67.12	50.63	73.54	38.67	55.89	161.02	110.43	67.59	116.78	215.77	140.04	158.79	379.04	248.0	260.38	249.73	255.0	269.6	215.77	212.78	183.82	228.13	305.55	262.2	285.03	249.73	363.56	265.87	206.94	249.73	314.17	287.01	339.14	199.85	265.87	220.32	153.34	258.57	234.57	212.78	182.55	214.27	265.87	297.17	242.88	214.27	291.04	234.57	221.86	162.14	279.14	208.38	176.29	341.51	293.07	198.47	269.6	258.57	166.73	256.78	156.59	181.28	271.48	226.54	303.44	239.52	131.51	305.55	220.32	147.06	214.27	176.29	273.37	281.09	198.47	255.0	285.03	253.23	204.07	253.23	212.78	159.9
ZMYM6	57.89	30.56	79.45	78.89	55.49	74.06	85.22	62.56	59.55	161.02	154.42	128.79	112.77	167.9	155.5	189.02	353.59	155.5	249.73	198.47	253.23	249.73	241.19	275.28	231.32	173.85	277.2	231.32	201.25	242.88	251.48	217.27	228.13	269.6	301.33	273.37	376.41	242.88	220.32	185.11	182.55	224.97	232.94	251.48	198.47	195.72	285.03	224.97	211.31	212.78	209.84	271.48	312.0	187.71	303.44	218.79	218.79	323.03	251.48	248.0	279.14	395.18	149.12	287.01	211.31	228.13	255.0	204.07	258.57	224.97	198.47	244.57	275.28	187.71	249.73	169.07	379.04	256.78	277.2	309.83	291.04	185.11	221.86	185.11	232.94	249.73
ZNF10	58.3	16.27	32.82	68.07	71.5	44.25	33.54	30.34	31.45	193.01	239.52	122.64	195.72	307.69	220.32	346.29	733.19	420.68	397.93	273.37	466.88	466.88	414.87	400.71	348.71	305.55	466.88	323.03	417.77	343.89	616.37	387.02	305.55	441.64	409.15	620.67	603.67	339.14	466.88	334.46	279.14	397.93	454.09	447.82	287.01	301.33	476.71	500.46	417.77	309.83	379.04	438.59	400.71	348.71	384.34	493.56	358.54	551.56	420.68	486.75	444.72	607.87	248.0	444.72	312.0	339.14	612.11	379.04	620.67	312.0	265.87	599.49	426.57	373.81	392.44	224.97	571.05	381.68	441.64	486.75	473.41	351.14	420.68	403.5	368.65	314.17
ZNF12	136.19	55.1	113.56	89.51	104.42	110.43	115.97	118.43	134.3	229.72	237.86	181.28	173.85	214.27	287.01	303.44	325.29	244.57	346.29	214.27	346.29	371.22	307.69	301.33	246.28	236.21	269.6	373.81	289.02	316.37	371.22	241.19	303.44	334.46	409.15	316.37	358.54	320.8	348.71	356.05	237.86	320.8	289.02	327.56	307.69	260.38	267.73	244.57	204.07	312.0	303.44	309.83	336.79	262.2	387.02	293.07	244.57	339.14	279.14	271.48	320.8	336.79	260.38	332.14	314.17	228.13	341.51	316.37	281.09	341.51	236.21	295.11	312.0	239.52	356.05	253.23	457.25	358.54	281.09	249.73	285.03	283.05	275.28	249.73	303.44	275.28
ZNF160	75.11	24.81	77.79	100.83	96.68	124.37	88.26	66.65	26.67	297.17	194.36	211.31	204.07	368.65	318.57	441.64	884.29	334.46	579.04	559.28	684.02	616.37	591.22	665.29	486.75	497.0	954.43	563.18	540.19	1183.45	1030.12	547.75	559.28	660.68	921.88	684.02	733.19	518.15	688.78	638.15	450.94	521.76	409.15	555.41	432.53	511.0	743.43	830.75	830.75	454.09	493.56	511.0	934.76	435.55	825.0	559.28	480.04	688.78	500.46	466.88	612.11	547.75	429.54	825.0	366.09	460.44	988.12	674.59	961.07	624.99	348.71	529.06	334.46	387.02	500.46	389.72	1111.82	536.45	679.29	693.58	748.61	518.15	669.92	518.15	473.41	444.72
ZNF182	28.45	8.71	35.5	36.01	31.22	33.78	20.11	31.45	23.42	82.87	58.3	77.79	71.5	138.1	121.79	139.07	255.0	144.01	162.14	130.6	152.28	232.94	111.21	167.9	127.89	130.6	177.53	164.42	170.25	164.42	281.09	165.57	111.99	137.14	265.87	248.0	177.53	165.57	157.68	116.78	120.1	172.65	144.01	158.79	94.67	144.01	191.67	198.47	172.65	157.68	142.01	183.82	167.9	133.36	178.77	156.59	134.3	181.28	167.9	158.79	244.57	150.17	115.16	181.28	143.01	102.97	194.36	134.3	177.53	111.21	140.04	185.11	178.77	113.56	134.3	109.66	180.02	152.28	149.12	218.79	165.57	144.01	173.85	137.14	143.01	115.16
ZNF224	58.71	40.93	94.67	90.77	49.21	84.04	77.25	82.87	67.12	170.25	142.01	130.6	169.07	271.48	193.01	201.25	813.63	162.14	265.87	237.86	441.64	397.93	309.83	444.72	291.04	162.14	483.38	400.71	215.77	536.45	642.59	256.78	312.0	269.6	599.49	429.54	432.53	381.68	400.71	327.56	260.38	277.2	320.8	423.61	287.01	193.01	547.75	444.72	301.33	248.0	177.53	361.04	500.46	215.77	373.81	414.87	224.97	447.82	218.79	384.34	366.09	395.18	190.34	426.57	143.01	265.87	463.65	373.81	483.38	358.54	264.03	463.65	368.65	189.02	373.81	217.27	674.59	361.04	389.72	348.71	397.93	237.86	395.18	159.9	334.46	241.19
ZNF302	151.22	53.95	221.86	299.25	206.94	221.86	173.85	231.32	220.32	343.89	291.04	287.01	334.46	547.75	341.51	595.34	1044.52	518.15	563.18	463.65	500.46	764.36	583.07	633.73	563.18	521.76	567.1	738.29	559.28	934.76	1498.22	660.68	708.18	674.59	860.08	629.35	1066.48	612.11	733.19	620.67	493.56	460.44	624.99	571.05	563.18	500.46	693.58	813.63	521.76	518.15	629.35	780.44	769.69	460.44	688.78	808.0	457.25	733.19	493.56	540.19	674.59	688.78	397.93	693.58	521.76	470.14	909.17	629.35	947.83	708.18	473.41	497.0	684.02	532.74	497.0	361.04	981.29	708.18	660.68	738.29	665.29	571.05	629.35	543.96	575.03	500.46
ZNF451	121.79	60.39	141.02	157.68	110.43	136.19	125.24	167.9	112.77	198.47	204.07	121.79	162.14	256.78	199.85	361.04	547.75	234.57	395.18	267.73	447.82	414.87	279.14	403.5	334.46	318.57	529.06	403.5	285.03	607.87	748.61	371.22	412.0	368.65	571.05	314.17	480.04	429.54	376.41	379.04	379.04	323.03	346.29	438.59	265.87	269.6	395.18	389.72	392.44	332.14	320.8	366.09	435.55	356.05	397.93	403.5	287.01	536.45	223.41	412.0	384.34	473.41	242.88	376.41	343.89	297.17	514.56	346.29	591.22	400.71	314.17	518.15	511.0	316.37	387.02	256.78	612.11	381.68	397.93	466.88	463.65	299.25	429.54	260.38	358.54	305.55
ZNF507	52.45	30.12	63.45	72.01	56.28	61.25	70.51	52.82	67.12	111.21	115.16	82.29	94.67	172.65	137.14	145.02	395.18	140.04	205.5	115.16	244.57	232.94	156.59	241.19	175.07	173.85	460.44	289.02	133.36	320.8	361.04	224.97	255.0	201.25	316.37	223.41	339.14	205.5	249.73	242.88	161.02	146.03	208.38	201.25	224.97	118.43	249.73	176.29	176.29	185.11	166.73	260.38	356.05	183.82	204.07	237.86	208.38	242.88	147.06	206.94	162.14	271.48	164.42	231.32	148.09	154.42	264.03	212.78	329.84	229.72	134.3	241.19	239.52	144.01	212.78	101.54	400.71	262.2	229.72	217.27	291.04	123.5	251.48	215.77	241.19	178.77
ZNF529	36.53	25.72	26.86	61.68	41.52	26.28	50.63	28.04	20.71	117.6	117.6	104.42	124.37	169.07	128.79	159.9	341.51	149.12	173.85	153.34	175.07	201.25	177.53	211.31	159.9	146.03	177.53	190.34	173.85	185.11	351.14	209.84	197.09	202.66	237.86	209.84	297.17	185.11	198.47	131.51	152.28	162.14	197.09	151.22	161.02	178.77	260.38	226.54	166.73	149.12	181.28	214.27	251.48	139.07	181.28	205.5	164.42	256.78	198.47	180.02	248.0	214.27	127.89	220.32	193.01	176.29	269.6	152.28	256.78	170.25	126.12	172.65	198.47	156.59	180.02	111.21	316.37	189.02	165.57	246.28	202.66	186.4	211.31	159.9	183.82	158.79
ZNF655	420.68	460.44	583.07	559.28	420.68	438.59	490.14	521.76	325.29	603.67	392.44	414.87	483.38	638.15	624.99	575.03	1313.23	753.83	769.69	612.11	988.12	785.88	785.88	921.88	679.29	775.05	764.36	872.1	813.63	988.12	1457.23	860.08	769.69	738.29	1030.12	813.63	1127.35	860.08	860.08	878.17	665.29	738.29	647.07	698.41	785.88	669.92	1051.79	878.17	748.61	723.08	775.05	872.1	1008.9	684.02	775.05	830.75	616.37	981.29	769.69	909.17	884.29	934.76	603.67	872.1	603.67	698.41	854.13	819.3	947.83	802.41	521.76	848.22	941.27	638.15	860.08	591.22	1651.0	808.0	780.44	928.3	902.89	842.36	698.41	748.61	708.18	684.02
ZNF700	73.54	37.32	112.77	105.89	86.43	75.11	74.06	63.45	47.84	115.97	89.51	93.35	118.43	150.17	141.02	164.42	341.51	148.09	152.28	125.24	177.53	194.36	136.19	176.29	129.69	101.54	172.65	150.17	146.03	138.1	334.46	178.77	152.28	182.55	208.38	223.41	283.05	221.86	155.5	128.79	146.03	165.57	150.17	164.42	136.19	164.42	244.57	211.31	180.02	152.28	134.3	155.5	231.32	122.64	149.12	165.57	194.36	249.73	172.65	143.01	195.72	231.32	131.51	185.11	171.45	165.57	244.57	156.59	244.57	145.02	115.16	185.11	158.79	155.5	153.34	102.97	289.02	150.17	151.22	241.19	205.5	171.45	156.59	120.94	164.42	133.36
ZNF789	61.68	47.84	50.27	66.65	50.98	57.08	51.71	49.56	31.45	159.9	189.02	129.69	161.02	251.48	142.01	242.88	460.44	271.48	275.28	285.03	291.04	271.48	194.36	256.78	194.36	291.04	392.44	293.07	327.56	218.79	423.61	336.79	191.67	291.04	346.29	447.82	339.14	226.54	279.14	244.57	217.27	395.18	269.6	273.37	191.67	336.79	500.46	420.68	339.14	275.28	379.04	514.56	395.18	175.07	249.73	275.28	220.32	334.46	371.22	226.54	521.76	454.09	169.07	339.14	237.86	234.57	511.0	262.2	514.56	185.11	199.85	327.56	253.23	187.71	251.48	150.17	341.51	264.03	269.6	356.05	358.54	291.04	476.71	307.69	183.82	170.25
ZRANB2	305.55	123.5	262.2	435.55	307.69	279.14	327.56	341.51	303.44	836.53	896.64	447.82	555.41	1508.65	902.89	836.53	2555.58	1015.93	1277.29	974.5	1322.37	1295.13	1286.18	1437.15	995.0	1259.69	1733.13	1594.73	1135.2	1870.53	3901.01	2255.7	1427.22	1457.23	1883.54	1651.0	2018.8	1572.76	1594.73	1081.39	1096.5	1191.69	1073.91	1508.65	1023.0	909.17	1923.14	1388.16	1143.1	842.36	1191.69	1286.18	1832.01	1044.52	1191.69	1628.26	878.17	1733.13	1183.45	1233.75	1605.83	1508.65	842.36	1721.16	1208.34	1208.34	2075.59	1529.73	2240.11	1378.57	896.64	1605.83	1295.13	947.83	1277.29	708.18	1709.26	1572.76	1208.34	1594.73	1936.53	1277.29	1340.84	1388.16	1331.57	954.43
ZUFSP	45.85	21.94	44.89	57.89	47.17	47.5	46.18	49.91	36.79	119.26	111.21	88.26	84.63	137.14	136.19	110.43	155.5	115.16	147.06	156.59	147.06	135.24	131.51	148.09	138.1	115.97	211.31	124.37	157.68	236.21	223.41	187.71	145.02	139.07	195.72	130.6	169.07	136.19	124.37	119.26	164.42	128.79	130.6	156.59	123.5	138.1	123.5	187.71	175.07	123.5	153.34	145.02	183.82	129.69	154.42	152.28	163.28	173.85	139.07	121.79	191.67	147.06	113.56	133.36	129.69	115.97	191.67	123.5	199.85	133.36	115.97	163.28	130.6	149.12	136.19	120.94	255.0	111.99	143.01	167.9	172.65	166.73	96.68	122.64	111.99	110.43
