	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.A468.01A.11R.A266.07	TCGA.BA.A6DI.01A.11R.A30B.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CQ.7068.01A.11R.2081.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.G3.A25Y.01A.11R.A16W.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.X4XY.1626.SM.46MVN	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.98.A539.01A.31R.A262.07
OTC	3325.99	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	140.04	89.51	1540.37	303.44	397.93	68.55	2468.49	392.44	1208.34	1073.91	3146.52	3982.99	2163.77	15715.58	7749.1	35.76	3443.31	1.83	24.63	3589.58	9740.98	7966.99	389.72	23330.64	14971.21	591.22	19082.0	10512.82	4450.27	17317.18	66.65	41188.81	309.83	351.14	101.54	198.47	24153.43	3928.15	3467.27	2224.63	18.43	351.14	2739.08	33.54	14765.09	17927.91	44761.41	24490.61	902.89	1605.83	10883.59	4152.18	15607.02	2591.27	1457.23	2018.8	120.1	547.75	64632.75	0.0
PBLD	3372.43	38.12	65.72	41.81	108.14	42.41	61.68	19.68	41.52	32.13	49.91	287.01	967.76	432.53	1378.57	181.28	297.17	64.34	1331.57	830.75	152.28	1674.06	3901.01	3794.3	2193.99	4358.66	2133.97	366.09	2075.59	77.25	371.22	4575.41	3212.66	2148.82	674.59	7589.61	6037.61	2645.74	6840.04	2119.22	4543.8	5872.48	1832.01	7537.18	860.08	1183.45	1191.69	954.43	4903.87	3103.19	4095.0	3768.09	665.29	1159.07	1721.16	507.46	5041.77	10084.54	5517.27	7749.1	1870.53	3982.99	9945.68	4066.71	2335.28	5147.73	3081.75	1662.49	144.01	2163.77	4836.35	36.53
PCCB	2758.13	559.28	536.45	575.03	941.27	748.61	503.95	595.34	371.22	669.92	454.09	1143.1	884.29	1617.0	4704.07	1037.29	2061.24	1427.22	2976.74	708.18	1359.57	2193.99	2400.97	3716.2	2367.9	3540.14	4298.64	2047.0	3847.29	1268.46	507.46	5517.27	3190.46	5479.15	1745.2	8022.41	5479.15	3419.52	6792.79	3901.01	4671.57	5555.65	2591.27	8134.41	2664.15	3690.52	1697.45	1950.0	9945.68	3742.05	4639.29	5913.33	2319.15	1259.69	5006.93	1135.2	5517.27	4671.57	9409.14	6561.36	4239.45	2875.3	5366.37	4671.57	3443.31	3491.39	3716.2	1963.57	1199.98	1896.65	9740.98	371.22
PCTP	1594.73	217.27	260.38	150.17	163.28	273.37	271.48	191.67	122.64	161.02	151.22	1359.57	616.37	493.56	1322.37	723.08	1529.73	703.28	1605.83	830.75	718.08	514.56	2133.97	1487.87	1467.37	1216.75	1487.87	718.08	2148.82	497.0	728.11	954.43	2287.2	1819.35	555.41	1417.35	1651.0	1407.55	2835.7	1540.37	764.36	2303.12	1498.22	1572.76	400.71	1008.9	1023.0	1175.27	2061.24	2915.45	2417.67	1794.29	1378.57	848.22	2090.03	361.04	1709.26	1963.57	2075.59	1183.45	1662.49	1216.75	2609.3	2032.85	2451.44	1628.26	1508.65	684.02	915.51	1991.0	2555.58	183.82
PGM1	4575.41	518.15	1037.29	808.0	518.15	934.76	607.87	842.36	1001.93	579.04	269.6	1331.57	1605.83	1044.52	4575.41	669.92	1963.57	1066.48	3018.3	2287.2	1781.89	1340.84	3665.02	5441.3	4038.61	4358.66	4802.93	3257.52	7857.29	3928.15	1757.34	8840.04	5751.61	6983.79	1685.71	9540.5	9025.81	9088.59	11745.96	5751.61	10440.2	9088.59	5517.27	11345.82	5292.48	1313.23	4481.23	4481.23	12076.21	7589.61	5672.41	7485.11	6121.9	2163.77	6207.38	1769.57	10084.54	6294.04	12244.81	8022.41	6164.49	5441.3	8363.13	5555.65	4903.87	5555.65	6561.36	7230.1	1037.29	2739.08	13306.94	389.72
PGRMC1	7749.1	1175.27	1519.15	1340.84	1551.09	1001.93	1378.57	1313.23	1191.69	1427.22	1605.83	1909.85	2555.58	4769.75	7589.61	2645.74	5329.3	1617.0	5183.54	2303.12	1639.59	2682.69	9279.58	10440.2	7382.04	11992.79	10440.2	3103.19	9025.81	2520.38	1936.53	12589.08	8658.09	11504.21	2701.35	14663.09	21617.82	15499.21	22850.48	8078.22	18560.17	21919.61	6121.9	28723.62	3303.0	5292.48	5479.15	6561.36	21320.18	9279.58	15180.22	13968.57	6426.31	2701.35	8963.45	3820.7	14971.21	13399.51	24660.96	14361.31	9088.59	6337.83	14262.1	10225.32	4639.29	18431.96	8421.31	9808.75	1883.54	3349.13	26248.46	1977.24
PHYH	8191.0	111.21	275.28	275.28	170.25	205.5	269.6	149.12	177.53	131.51	104.42	1277.29	1259.69	2956.17	6652.97	1143.1	5329.3	1757.34	5219.6	1015.93	2895.31	3794.3	8134.41	5831.91	5672.41	9474.59	4639.29	3515.68	4388.98	1143.1	808.0	7485.11	3395.89	5219.6	3874.05	14663.09	13968.57	3928.15	17804.06	5147.73	9215.48	22692.63	3491.39	24321.43	1857.6	4210.15	2047.0	2627.46	19082.0	6121.9	6381.92	5954.47	2835.7	2163.77	3589.58	1529.73	8963.45	17197.56	23986.58	20737.16	3639.7	7130.55	9540.5	4388.98	9151.82	12076.21	5403.7	3124.78	2645.74	8658.09	41475.31	149.12
PIGV	665.29	132.44	253.23	151.22	406.31	279.14	264.03	325.29	466.88	226.54	177.53	327.56	301.33	127.89	293.07	287.01	258.57	223.41	381.68	303.44	170.25	182.55	507.46	612.11	414.87	718.08	457.25	341.51	429.54	275.28	363.56	457.25	420.68	532.74	256.78	612.11	651.58	423.61	1081.39	529.06	409.15	988.12	551.56	988.12	133.36	397.93	733.19	281.09	915.51	521.76	587.13	896.64	303.44	387.02	289.02	318.57	947.83	1096.5	1250.98	718.08	629.35	802.41	665.29	493.56	457.25	836.53	603.67	473.41	190.34	559.28	1073.91	204.07
PLA2G12B	1407.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1111.82	368.65	981.29	1617.0	2004.85	293.07	567.1	981.29	217.27	1104.13	2018.8	1183.45	1030.12	567.1	1388.16	3349.13	167.9	2032.85	92.05	18.56	1350.18	3614.55	3847.29	356.05	5711.87	2555.58	3168.41	2895.31	1199.98	1250.98	4607.24	1001.93	2855.44	47.5	307.69	1388.16	1151.06	2303.12	3372.43	3190.46	2104.58	1167.14	679.29	5219.6	20.56	2400.97	4038.61	4972.34	2303.12	2609.3	1378.57	2701.35	2758.13	2451.44	1662.49	2255.7	1583.71	0.33	1529.73	3982.99	2.97
PPID	1870.53	514.56	728.11	684.02	536.45	587.13	599.49	842.36	536.45	665.29	642.59	802.41	941.27	708.18	1388.16	934.76	536.45	775.05	1151.06	500.46	981.29	1806.78	2163.77	1794.29	1447.15	1819.35	1216.75	1378.57	1417.35	890.44	860.08	1322.37	2090.03	1359.57	1340.84	2573.36	2032.85	1397.83	2018.8	1605.83	1857.6	2573.36	1467.37	1745.2	813.63	2591.27	1477.58	915.51	1733.13	2240.11	1685.71	1044.52	1896.65	1208.34	1001.93	1467.37	1617.0	2468.49	2451.44	1331.57	961.07	1674.06	2148.82	1594.73	1819.35	2148.82	1508.65	1051.79	836.53	961.07	2777.33	764.36
PRDX3	7081.29	1295.13	1870.53	1709.26	1794.29	1651.0	1208.34	2119.22	1745.2	1605.83	2319.15	2796.65	3847.29	2739.08	9344.14	3794.3	3212.66	4328.55	5751.61	2875.3	4268.94	5711.87	6652.97	7485.11	6516.03	5995.9	8901.53	4671.57	9409.14	3742.05	3768.09	8134.41	5913.33	8718.32	3874.05	7180.15	12502.12	8598.28	10959.3	5872.48	13123.73	10368.08	4607.24	12502.12	4328.55	6079.61	4769.75	3955.48	10296.45	6935.54	7280.4	7081.29	5183.54	3928.15	6561.36	3639.7	9151.82	9088.59	11909.94	8840.04	5479.15	4937.99	9025.81	7130.55	4575.41	8363.13	6294.04	6887.62	4769.75	4328.55	14262.1	1268.46
QDPR	4450.27	476.71	872.1	511.0	470.14	733.19	392.44	208.38	514.56	665.29	476.71	1015.93	830.75	1331.57	2434.5	341.51	2777.33	825.0	2835.7	1015.93	974.5	813.63	4358.66	6561.36	4066.71	5255.91	2997.45	1369.04	2271.4	607.87	718.08	3742.05	5672.41	4239.45	954.43	7642.41	4181.07	5672.41	8963.45	4298.64	5366.37	5594.3	5954.47	8191.0	830.75	2018.8	2855.44	2573.36	8134.41	3146.52	3540.14	3540.14	2417.67	1745.2	3303.0	1923.14	8078.22	7537.18	8078.22	6652.97	3303.0	6516.03	10440.2	5633.22	4066.71	4328.55	3928.15	1832.01	1081.39	2627.46	7130.55	470.14
QPRT	5555.65	57.08	60.39	140.04	12.64	9.41	38.95	43.94	19.53	40.36	43.02	4937.99	1151.06	1208.34	3303.0	5479.15	2855.44	1467.37	4038.61	651.58	1378.57	4869.99	4769.75	3928.15	1594.73	3928.15	8718.32	297.17	6164.49	703.28	94.67	13215.02	2555.58	3146.52	1794.29	11267.44	3847.29	1733.13	5831.91	5913.33	3820.7	7911.95	7695.57	9740.98	3515.68	5517.27	909.17	2384.37	7331.05	3257.52	9740.98	2537.92	2075.59	1051.79	3395.89	1407.55	5076.84	9344.14	7032.37	8840.04	2032.85	6516.03	20451.65	6471.02	7857.29	9474.59	4575.41	13123.73	356.05	4181.07	15392.14	102.97
RGN	8421.31	7.51	19.97	24.28	15.22	3.41	6.26	1.62	1.22	7.82	3.38	1104.13	1001.93	1662.49	4038.61	1369.04	1467.37	723.08	4903.87	1151.06	2976.74	4802.93	3768.09	2720.15	6471.02	13306.94	2997.45	1709.26	3419.52	483.38	299.25	4575.41	3349.13	2609.3	728.11	11504.21	4972.34	6935.54	22692.63	2148.82	7966.99	19618.49	5076.84	18431.96	769.69	1295.13	543.96	1378.57	19618.49	5366.37	5366.37	2434.5	2468.49	1457.23	4512.4	753.83	15285.81	14867.79	20451.65	17681.08	2061.24	5831.91	11345.82	5791.62	11345.82	14971.21	3874.05	5076.84	848.22	1870.53	5292.48	28.24
RMDN2	435.55	70.51	64.34	77.79	146.03	63.89	98.73	32.59	148.09	39.22	69.03	42.71	132.44	199.85	358.54	159.9	166.73	127.0	253.23	202.66	90.77	299.25	346.29	480.04	346.29	536.45	575.03	190.34	366.09	162.14	120.1	748.61	521.76	571.05	165.57	503.95	559.28	764.36	854.13	480.04	723.08	860.08	490.14	1242.34	183.82	387.02	435.55	232.94	647.07	529.06	679.29	470.14	480.04	139.07	409.15	182.55	665.29	603.67	738.29	708.18	351.14	301.33	503.95	587.13	441.64	808.0	466.88	902.89	64.8	132.44	884.29	27.05
RP11-863K10.7	32.36	0.8	2.32	0.0	1.87	0.38	1.27	0.71	1.62	0.84	0.69	1.1	2.23	1.07	5.41	3.47	0.87	1.81	11.91	8.45	0.45	0.92	35.76	35.25	31.45	59.13	24.99	8.45	23.08	23.08	4.24	13.72	38.12	48.52	3.26	115.97	34.51	20.26	90.14	28.86	22.43	29.91	3.96	109.66	17.9	16.51	9.63	35.0	59.55	38.95	24.46	85.82	11.47	6.21	51.71	3.69	36.53	118.43	74.58	107.38	100.83	51.71	128.79	42.11	66.65	26.28	45.53	2.94	2.97	44.89	29.91	2.43
SELENBP1	5441.3	57.89	273.37	197.09	890.44	98.04	114.36	79.45	6.36	175.07	46.84	1250.98	1175.27	3325.99	10733.74	1397.83	1963.57	1819.35	4419.52	1437.15	4268.94	5995.9	5292.48	6935.54	4268.94	10084.54	2895.31	1427.22	5006.93	1721.16	327.56	2163.77	14663.09	17558.94	412.0	12943.04	2104.58	7130.55	18689.27	9279.58	3190.46	8305.36	4972.34	15715.58	764.36	2061.24	1529.73	19754.96	8134.41	10733.74	8901.53	65082.31	2664.15	1135.2	8247.98	291.04	9409.14	8598.28	14765.09	17078.76	30361.44	4152.18	43537.38	9344.14	5594.3	6699.25	6516.03	1617.0	563.18	1388.16	5954.47	412.0
SERPINA1	1229805.58	264.03	1191.69	902.89	595.34	529.06	587.13	974.5	1119.56	769.69	656.11	1775752.63	469249.9	691801.16	1763486.6	1108362.75	978355.0	822695.06	1147449.11	338781.54	1026995.62	1727194.55	1442359.14	1055868.42	1187913.85	1545882.32	1556634.79	1442359.14	2097151.0	2748093.15	496005.67	3200796.55	2965819.8	2310861.52	2053992.24	1462493.73	1984025.69	3383299.76	1147449.11	2039804.27	2141216.62	1997825.68	1432396.03	1452391.55	4342214.81	1903204.61	1238359.56	2442622.37	1739208.14	3200796.55	4023444.33	3780117.42	2375828.71	1123834.93	2442622.37	1402917.72	1825675.85	1155430.26	1452391.55	1171559.48	2884719.27	1751305.3	1155430.26	2767207.65	1246973.04	1825675.85	2636147.11	2617937.91	822695.06	1131651.83	789181.81	5366.37
SLC16A2	1059.11	100.13	379.04	116.78	293.07	178.77	395.18	26.47	55.89	198.47	93.35	153.34	205.5	381.68	802.41	346.29	381.68	50.27	713.11	244.57	96.01	866.07	896.64	1304.15	941.27	1923.14	928.3	59.97	660.68	56.28	119.26	1806.78	1088.92	1757.34	165.57	3395.89	1359.57	1397.83	2351.53	1225.22	2004.85	3372.43	389.72	4802.93	928.3	403.5	251.48	660.68	2664.15	1081.39	2209.26	2758.13	336.79	122.64	1639.59	269.6	2777.33	1769.57	3982.99	3742.05	1487.87	878.17	3168.41	1832.01	813.63	1313.23	1159.07	1008.9	159.9	305.55	3690.52	80.01
SLC25A13	1745.2	400.71	392.44	291.04	438.59	299.25	289.02	215.77	299.25	426.57	209.84	4481.23	723.08	575.03	1605.83	1167.14	1331.57	620.67	1286.18	620.67	665.29	1769.57	1313.23	1909.85	1250.98	1304.15	1896.65	1350.18	2240.11	872.1	775.05	2004.85	2090.03	1896.65	395.18	2434.5	5183.54	2367.9	2119.22	2104.58	2915.45	1806.78	1498.22	2335.28	878.17	403.5	1340.84	1617.0	1651.0	2163.77	3303.0	1651.0	1583.71	525.39	2148.82	403.5	2178.83	2047.0	2520.38	1819.35	2148.82	1936.53	1407.55	1540.37	2895.31	1733.13	2075.59	947.83	379.04	884.29	3060.45	303.44
SLC35D1	775.05	105.89	221.86	82.29	165.57	128.79	242.88	95.34	134.3	149.12	83.45	293.07	279.14	180.02	403.5	241.19	258.57	177.53	476.71	450.94	283.05	271.48	624.99	1242.34	934.76	791.35	1051.79	713.11	884.29	674.59	579.04	1073.91	1313.23	1477.58	171.45	1242.34	1733.13	1936.53	1583.71	902.89	2061.24	1662.49	728.11	1757.34	454.09	373.81	769.69	988.12	1427.22	1447.15	1417.35	1685.71	1350.18	205.5	1583.71	305.55	1733.13	860.08	1685.71	1066.48	1477.58	802.41	813.63	995.0	567.1	1225.22	1119.56	633.73	363.56	473.41	1685.71	142.01
SLCO1B1	2451.44	7.51	0.8	0.79	1.14	5.92	0.0	2.68	9.63	0.45	0.0	212.78	718.08	796.86	1540.37	208.38	2468.49	336.79	2224.63	483.38	44.89	1757.34	1551.09	3212.66	4066.71	2956.17	6561.36	46.84	8479.89	44.25	50.63	33455.53	1844.76	2573.36	1832.01	8598.28	81244.48	21768.19	11189.6	5076.84	107948.72	17078.76	1304.15	51062.33	2627.46	490.14	1498.22	511.0	13776.25	6792.79	5633.22	7857.29	466.88	518.15	10225.32	607.87	20310.37	6745.86	23169.48	23492.92	5112.16	3515.68	2835.7	3103.19	3235.01	6471.02	6037.61	15715.58	24.11	1111.82	66449.85	0.99
SOD1	32315.87	5006.93	4704.07	4639.29	6037.61	6164.49	5517.27	9088.59	5329.3	6207.38	6381.92	7331.05	7382.04	11035.54	21172.91	4152.18	14663.09	7966.99	33688.23	9808.75	14163.58	8598.28	37379.55	29531.18	25708.25	42937.97	22850.48	7382.04	50011.46	8191.0	6792.79	21768.19	25708.25	27938.14	15499.21	42641.37	42641.37	22850.48	46662.28	31650.8	35609.13	52497.92	18560.17	53230.77	12589.08	35856.82	19618.49	12764.83	56265.94	27174.14	30572.63	31650.8	13033.07	14461.21	31215.04	20737.16	48643.87	64632.75	76330.98	42346.82	27174.14	42346.82	71714.63	29943.43	38697.77	47974.16	15180.22	25530.66	8538.88	18431.96	72213.45	4066.71
SORD	4607.24	314.17	679.29	397.93	269.6	599.49	616.37	591.22	808.0	575.03	409.15	728.11	1059.11	1651.0	3564.78	497.0	1487.87	473.41	2104.58	1909.85	813.63	2720.15	3901.01	8778.97	5517.27	11189.6	7803.01	941.27	8078.22	884.29	197.09	5633.22	8963.45	9876.98	854.13	22380.2	8963.45	6294.04	10014.87	7230.1	8305.36	18689.27	3039.3	34158.52	1088.92	2319.15	2287.2	4869.99	19892.37	9945.68	10883.59	11424.74	3742.05	791.35	9344.14	486.75	15607.02	16611.71	41763.8	20030.74	9876.98	7331.05	16496.96	8191.0	8421.31	7485.11	6516.03	5147.73	312.0	1467.37	10512.82	341.51
SUCLG2	2739.08	255.0	638.15	540.19	647.07	267.73	387.02	325.29	616.37	283.05	281.09	660.68	1977.24	1477.58	3060.45	1037.29	1963.57	878.17	2224.63	1745.2	1073.91	890.44	2573.36	4512.4	3467.27	3018.3	4210.15	2502.97	3212.66	1639.59	1295.13	5403.7	5255.91	4481.23	1519.15	6037.61	6426.31	5219.6	5831.91	3081.75	7331.05	7695.57	1883.54	6840.04	2004.85	3847.29	1950.0	2591.27	5517.27	4239.45	5112.16	5041.77	3372.43	2434.5	3955.48	1457.23	6164.49	3419.52	7230.1	6745.86	3540.14	1769.57	5479.15	5183.54	2209.26	3081.75	4210.15	3955.48	2163.77	3443.31	6745.86	366.09
SUOX	1427.22	138.1	341.51	185.11	281.09	163.28	187.71	287.01	47.84	152.28	208.38	638.15	521.76	363.56	733.19	420.68	447.82	277.2	693.58	563.18	242.88	1001.93	1081.39	1313.23	764.36	1936.53	848.22	638.15	738.29	432.53	301.33	1304.15	1208.34	941.27	309.83	1870.53	1119.56	1059.11	2133.97	1242.34	921.88	1583.71	1617.0	1844.76	229.72	669.92	961.07	660.68	1794.29	1066.48	947.83	1572.76	813.63	460.44	1111.82	303.44	1277.29	2224.63	2287.2	1781.89	1477.58	1322.37	1572.76	1023.0	1051.79	1313.23	1350.18	483.38	397.93	884.29	1662.49	145.02
SURF1	2351.53	684.02	878.17	1233.75	1225.22	967.76	1001.93	1030.12	1167.14	660.68	1277.29	2240.11	1151.06	2018.8	3419.52	1111.82	2287.2	1806.78	2271.4	1477.58	1295.13	2573.36	2193.99	1950.0	2271.4	2032.85	1991.0	1857.6	3168.41	1457.23	791.35	2956.17	3395.89	2133.97	1605.83	3081.75	2451.44	2224.63	2855.44	2090.03	2133.97	2104.58	2119.22	2895.31	1757.34	1628.26	1583.71	2303.12	2075.59	1896.65	2682.69	3690.52	1551.09	848.22	2104.58	1340.84	2133.97	2956.17	2895.31	2875.3	2485.67	2777.33	3060.45	2119.22	2451.44	2645.74	2075.59	2032.85	1427.22	2935.74	2935.74	872.1
TMBIM6	21320.18	8421.31	8901.53	8598.28	11345.82	11909.94	9945.68	16383.0	9474.59	14663.09	11745.96	23330.64	20881.4	15392.14	28328.16	13872.08	18304.63	14663.09	29124.6	11424.74	9540.5	11112.3	23330.64	32994.92	25179.16	26431.04	32767.0	23169.48	41475.31	25887.07	12853.63	33688.23	24832.5	27938.14	22850.48	29943.43	41475.31	34158.52	35609.13	31215.04	34158.52	42346.82	16269.83	46019.85	23986.58	17804.06	21320.18	20593.91	39785.74	34635.37	38430.46	34635.37	23656.34	19348.38	32315.87	16045.82	33455.53	32092.64	49322.93	36864.92	28923.41	20030.74	34396.12	30361.44	21172.91	29531.18	34635.37	25708.25	14163.58	15824.9	51062.33	9606.86
TMEM192	483.38	86.43	135.24	119.26	199.85	125.24	146.03	170.25	144.01	224.97	102.25	167.9	248.0	237.86	435.55	395.18	246.28	140.04	381.68	237.86	120.1	279.14	356.05	624.99	441.64	486.75	753.83	518.15	703.28	785.88	438.59	921.88	620.67	679.29	285.03	529.06	1407.55	1359.57	928.3	591.22	1191.69	1127.35	447.82	1259.69	223.41	373.81	934.76	575.03	1044.52	819.3	713.11	848.22	642.59	309.83	995.0	148.09	1044.52	713.11	854.13	860.08	1199.98	454.09	551.56	660.68	426.57	764.36	1081.39	507.46	231.32	366.09	1322.37	53.19
TMEM254	954.43	518.15	651.58	579.04	708.18	674.59	693.58	723.08	460.44	769.69	921.88	967.76	575.03	813.63	1407.55	514.56	633.73	454.09	890.44	540.19	429.54	616.37	1030.12	1151.06	693.58	1044.52	1096.5	718.08	902.89	708.18	441.64	1295.13	915.51	1096.5	583.07	1322.37	1909.85	947.83	1225.22	902.89	1159.07	1540.37	599.49	1794.29	583.07	743.43	854.13	688.78	1794.29	1369.04	1583.71	1191.69	934.76	656.11	1066.48	536.45	1447.15	1250.98	1896.65	1923.14	1159.07	902.89	1233.75	1066.48	909.17	1286.18	1119.56	921.88	454.09	373.81	1781.89	403.5
TST	12676.65	947.83	813.63	902.89	1096.5	928.3	633.73	723.08	1529.73	825.0	1697.45	6792.79	3212.66	14361.31	10585.95	4869.99	4239.45	3467.27	9215.48	3901.01	8718.32	22072.07	16157.44	12160.22	7803.01	24153.43	15075.35	3515.68	15499.21	3794.3	1233.75	18560.17	13586.57	11664.82	3349.13	31870.96	9876.98	5954.47	26614.89	12502.12	17558.94	21320.18	9808.75	30785.28	7280.4	13968.57	6935.54	6699.25	17437.64	19618.49	16843.62	11267.44	5403.7	4704.07	11992.79	2287.2	14163.58	23986.58	24321.43	19754.96	6652.97	16045.82	23986.58	19214.73	28328.16	18431.96	14163.58	9673.69	1143.1	7803.01	35856.82	435.55
UGT2A3	244.57	0.0	0.0	0.0	0.37	0.0	0.0	0.33	0.0	0.0	0.0	70.51	503.95	66.18	100.13	100.13	120.1	178.77	854.13	102.25	327.56	476.71	135.24	273.37	346.29	497.0	1388.16	12.74	1143.1	35.76	30.12	229.72	651.58	511.0	77.79	460.44	2976.74	607.87	1030.12	463.65	769.69	1628.26	49.21	1023.0	67.12	59.13	607.87	186.4	525.39	1857.6	1104.13	748.61	58.3	102.25	974.5	59.97	148.09	236.21	872.1	269.6	1104.13	40.64	743.43	785.88	532.74	368.65	521.76	14.78	35.5	229.72	2855.44	0.0
ZFP1	281.09	80.57	112.77	65.72	90.77	85.82	97.36	128.79	126.12	100.13	71.5	49.21	63.0	45.53	161.02	76.71	89.51	39.22	108.9	96.68	43.32	18.43	205.5	205.5	87.03	309.83	144.01	72.01	124.37	115.16	45.21	154.42	199.85	100.83	102.97	255.0	226.54	193.01	346.29	137.14	95.34	397.93	76.71	318.57	59.13	55.49	90.77	94.67	194.36	169.07	167.9	204.07	53.19	110.43	249.73	69.52	297.17	348.71	312.0	277.2	165.57	129.69	260.38	144.01	178.77	275.28	100.13	92.05	74.06	145.02	256.78	94.67
ZMYND12	91.41	2.01	4.62	4.9	11.21	1.43	10.47	3.44	7.94	3.29	2.41	15.56	23.08	13.03	81.14	54.72	11.38	21.32	66.65	33.3	10.39	2.94	83.45	96.01	42.71	145.02	87.65	36.01	98.04	24.99	3.76	98.04	111.21	90.14	15.11	217.27	97.36	42.11	242.88	78.89	74.58	234.57	10.63	215.77	7.0	71.0	30.12	16.27	332.14	154.42	89.51	70.01	12.45	106.63	28.24	43.32	255.0	297.17	221.86	318.57	63.45	136.19	94.67	112.77	162.14	131.51	98.04	30.12	4.03	62.12	269.6	6.62
