	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6378.01A.11R.1789.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
MAP4	2133.97	1277.29	1250.98	1519.15	1286.18	1277.29	1199.98	1250.98	1388.16	1662.49	1685.71	2178.83	1936.53	2148.82	2178.83	1457.23	1769.57	1457.23	1286.18	1651.0	2133.97	1857.6	1950.0	2451.44	1175.27	1233.75	1594.73	1350.18	1572.76	1936.53	1498.22	2319.15	1447.15	2178.83	1721.16	1977.24	1268.46	1183.45	1583.71	1259.69	2004.85	2591.27	1628.26	928.3	1135.2	1639.59	1572.76	1605.83	1651.0	1250.98	1617.0	1467.37	1088.92	1883.54	1639.59	1313.23	1051.79	1662.49	988.12	947.83	2935.74	2451.44	1378.57	1628.26	1467.37	1208.34	1540.37	1359.57	2032.85	1551.09	1923.14	1066.48	1313.23	791.35	1467.37	1427.22	1378.57	1304.15	1572.76	1096.5	1572.76	1605.83	3372.43	1832.01	3146.52	1617.0	2119.22	1991.0	2502.97	3103.19	1870.53	1639.59	2271.4	3614.55
MATN2	1794.29	438.59	332.14	1605.83	327.56	884.29	204.07	162.14	1008.9	934.76	1151.06	2148.82	1277.29	1651.0	2400.97	1030.12	1639.59	808.0	457.25	555.41	2193.99	2451.44	1427.22	1991.0	547.75	603.67	651.58	629.35	543.96	1250.98	1096.5	995.0	698.41	529.06	2090.03	909.17	65.72	518.15	728.11	255.0	559.28	1844.76	1651.0	143.01	688.78	860.08	1457.23	2119.22	555.41	802.41	1508.65	490.14	187.71	967.76	579.04	486.75	366.09	507.46	438.59	277.2	3540.14	2485.67	1088.92	656.11	389.72	473.41	470.14	279.14	1617.0	1407.55	1088.92	693.58	343.89	161.02	473.41	1135.2	417.77	1199.98	332.14	743.43	529.06	1757.34	4512.4	1757.34	3212.66	1519.15	2796.65	1745.2	1628.26	2956.17	2537.92	679.29	3443.31	3639.7
MEIS1	329.84	70.01	46.84	301.33	71.5	77.25	25.54	16.75	226.54	135.24	281.09	346.29	275.28	368.65	551.56	175.07	305.55	101.54	102.25	96.68	356.05	406.31	571.05	406.31	59.97	51.35	190.34	135.24	150.17	215.77	234.57	98.04	120.1	145.02	309.83	161.02	5.23	187.71	206.94	52.08	144.01	486.75	236.21	12.36	73.03	218.79	138.1	226.54	93.35	166.73	201.25	49.21	33.78	232.94	102.25	127.0	69.03	82.87	60.82	34.26	559.28	450.94	94.01	185.11	92.7	187.71	51.35	88.88	438.59	189.02	275.28	87.03	56.68	28.24	40.93	293.07	98.04	171.45	41.81	132.44	137.14	287.01	860.08	432.53	785.88	406.31	571.05	460.44	507.46	633.73	547.75	320.8	444.72	612.11
METTL24	56.28	11.21	2.51	27.25	4.24	8.99	2.34	0.95	19.82	12.0	21.78	43.94	14.67	34.51	37.59	19.39	27.05	15.91	0.0	12.27	42.41	38.95	35.5	49.21	3.14	9.27	7.06	13.62	9.48	28.04	18.43	5.23	10.0	7.57	37.32	20.56	0.64	11.38	29.06	1.89	6.94	61.68	33.78	4.66	6.57	8.45	17.64	30.34	11.3	7.34	34.75	2.66	0.75	22.75	20.26	14.35	4.78	5.5	1.66	5.06	88.88	68.55	3.5	13.42	2.63	19.82	13.12	5.5	32.36	13.83	13.62	4.78	3.11	6.46	4.06	21.16	3.86	12.74	2.89	4.94	7.17	50.27	117.6	45.21	67.12	33.06	84.63	33.78	65.26	81.71	54.33	20.11	66.65	102.25
MKX	269.6	27.64	17.9	139.07	35.76	65.26	26.1	14.14	145.02	67.59	85.22	190.34	204.07	187.71	395.18	185.11	220.32	81.14	100.13	50.98	164.42	264.03	221.86	226.54	60.39	51.71	113.56	83.45	77.25	199.85	166.73	336.79	68.07	58.3	260.38	134.3	57.49	99.43	153.34	42.41	71.0	346.29	229.72	25.54	90.77	80.01	140.04	205.5	65.72	133.36	224.97	34.51	65.72	149.12	81.14	75.11	55.49	41.81	32.59	88.26	356.05	363.56	183.82	85.22	43.02	37.59	43.02	44.25	241.19	149.12	169.07	98.04	78.89	17.64	78.89	100.83	41.22	144.01	45.53	78.34	51.71	236.21	642.59	241.19	376.41	131.51	435.55	211.31	161.02	414.87	166.73	96.01	384.34	500.46
MRVI1	738.29	152.28	75.64	336.79	57.08	117.6	53.57	28.65	353.59	206.94	438.59	454.09	258.57	500.46	830.75	371.22	392.44	253.23	109.66	138.1	808.0	629.35	825.0	860.08	54.33	85.22	249.73	190.34	183.82	379.04	463.65	152.28	150.17	226.54	579.04	297.17	13.72	271.48	228.13	45.53	139.07	878.17	559.28	15.56	98.04	289.02	226.54	441.64	116.78	148.09	361.04	68.07	30.34	493.56	208.38	183.82	115.97	64.8	62.12	33.78	1417.35	981.29	112.77	260.38	98.73	295.11	89.51	90.14	629.35	353.59	429.54	103.69	54.33	19.68	84.63	441.64	115.97	226.54	66.65	140.04	151.22	738.29	1870.53	825.0	1286.18	642.59	1051.79	785.88	995.0	1340.84	854.13	420.68	1001.93	1208.34
MSRB3	808.0	271.48	55.49	529.06	119.26	159.9	78.89	44.25	480.04	387.02	591.22	514.56	371.22	642.59	854.13	392.44	587.13	353.59	127.0	124.37	796.86	866.07	1008.9	1008.9	73.03	119.26	299.25	279.14	218.79	708.18	412.0	167.9	182.55	327.56	738.29	314.17	21.01	303.44	312.0	82.29	214.27	819.3	466.88	25.17	129.69	406.31	323.03	490.14	138.1	320.8	339.14	94.67	43.63	642.59	209.84	239.52	127.89	106.63	120.1	78.89	1407.55	1023.0	117.6	312.0	128.79	400.71	100.83	111.99	785.88	343.89	651.58	124.37	73.54	33.54	111.21	521.76	128.79	316.37	96.01	186.4	217.27	884.29	1685.71	854.13	1519.15	884.29	1286.18	1088.92	1662.49	1540.37	1030.12	693.58	1331.57	1457.23
NCAM1	147.06	30.34	6.06	56.28	6.36	31.22	14.89	1.5	55.49	50.63	92.7	93.35	49.21	156.59	299.25	63.45	59.13	32.82	22.43	19.68	157.68	120.1	173.85	299.25	5.77	31.0	29.27	26.28	36.01	198.47	156.59	19.97	32.59	49.21	239.52	63.45	2.2	48.52	85.22	9.78	47.5	265.87	180.02	4.66	12.83	26.1	40.07	105.15	25.54	20.11	111.99	7.82	4.35	77.79	60.39	21.94	8.58	13.32	18.29	8.0	373.81	186.4	31.45	33.06	10.96	52.82	10.79	19.53	98.73	76.17	140.04	18.7	8.32	13.03	17.0	72.01	19.39	32.36	11.13	24.63	13.72	113.56	555.41	297.17	339.14	198.47	195.72	206.94	171.45	547.75	234.57	138.1	441.64	414.87
NEXN	866.07	183.82	55.49	441.64	102.25	113.56	84.63	36.01	457.25	332.14	483.38	525.39	389.72	796.86	902.89	299.25	525.39	314.17	124.37	120.94	866.07	693.58	1001.93	1104.13	69.52	103.69	303.44	231.32	201.25	1208.34	297.17	111.99	150.17	206.94	967.76	307.69	20.11	221.86	271.48	45.21	166.73	915.51	693.58	25.17	92.05	246.28	258.57	521.76	105.15	283.05	285.03	101.54	34.26	514.56	201.25	187.71	113.56	81.71	93.35	65.72	1794.29	1096.5	108.9	273.37	120.1	325.29	97.36	101.54	728.11	395.18	432.53	90.14	61.68	20.26	79.45	486.75	96.01	262.2	69.52	182.55	175.07	620.67	2335.28	830.75	2018.8	775.05	1233.75	1066.48	1096.5	1733.13	1225.22	595.34	1259.69	1529.73
NID1	616.37	182.55	88.26	406.31	76.71	111.99	115.16	29.91	318.57	253.23	312.0	480.04	241.19	305.55	669.92	161.02	285.03	460.44	102.97	97.36	336.79	497.0	356.05	334.46	59.13	131.51	156.59	191.67	131.51	299.25	199.85	156.59	110.43	199.85	438.59	193.01	51.35	153.34	142.01	43.02	98.73	723.08	299.25	40.93	162.14	309.83	275.28	376.41	120.1	198.47	483.38	90.14	54.72	341.51	120.1	166.73	76.71	88.88	53.19	70.51	713.11	536.45	101.54	144.01	84.04	209.84	55.1	64.34	441.64	273.37	218.79	153.34	132.44	34.26	106.63	279.14	108.9	169.07	56.28	117.6	104.42	221.86	2090.03	305.55	1037.29	373.81	493.56	620.67	647.07	1023.0	384.34	173.85	1143.1	1037.29
OGN	1044.52	138.1	111.99	460.44	58.3	115.97	14.24	18.03	587.13	239.52	255.0	567.1	514.56	318.57	1519.15	299.25	327.56	127.89	157.68	217.27	559.28	988.12	624.99	571.05	37.05	92.7	211.31	156.59	171.45	466.88	463.65	88.88	187.71	205.5	954.43	384.34	9.13	253.23	244.57	96.01	127.0	785.88	299.25	39.79	169.07	199.85	285.03	540.19	110.43	226.54	547.75	29.27	27.84	514.56	242.88	90.77	67.59	72.01	120.94	173.85	1051.79	796.86	125.24	339.14	108.14	253.23	59.13	130.6	703.28	351.14	684.02	84.63	31.9	12.74	51.71	379.04	48.18	291.04	66.18	281.09	162.14	728.11	2367.9	1030.12	1977.24	363.56	1225.22	1781.89	633.73	1143.1	579.04	329.84	825.0	2758.13
PCDH10	237.86	23.76	8.99	113.56	16.51	32.82	10.88	2.92	76.17	26.28	119.26	155.5	69.52	154.42	96.68	143.01	92.7	28.45	41.22	7.46	166.73	132.44	251.48	141.02	11.64	10.96	106.63	37.05	60.39	113.56	147.06	29.27	59.97	39.79	105.15	104.42	1.01	58.71	69.03	12.45	64.34	151.22	84.63	4.66	56.68	46.18	61.25	100.83	29.7	70.01	90.14	6.73	11.73	35.5	47.84	40.36	34.02	34.75	11.3	8.0	325.29	255.0	47.5	48.87	23.08	45.85	30.12	32.59	67.59	87.65	74.06	31.9	19.97	8.58	31.45	59.13	14.24	40.07	38.4	25.91	56.68	223.41	343.89	237.86	224.97	214.27	157.68	101.54	134.3	301.33	217.27	57.89	190.34	269.6
PCDH18	229.72	18.29	23.08	144.01	32.36	36.01	19.68	12.55	138.1	52.08	121.79	195.72	109.66	147.06	277.2	120.1	102.97	57.08	52.08	101.54	173.85	148.09	182.55	273.37	30.34	26.28	112.77	18.7	61.68	176.29	105.15	47.17	76.17	88.88	206.94	123.5	2.61	51.35	87.03	23.25	34.75	277.2	150.17	8.32	49.91	108.9	108.9	88.88	63.0	126.12	209.84	24.81	20.56	149.12	65.72	57.49	46.84	31.67	58.71	14.78	497.0	293.07	57.08	87.03	33.06	72.01	28.65	40.07	189.02	87.65	108.14	50.27	33.78	12.83	25.35	120.94	30.34	95.34	32.59	55.49	62.12	146.03	403.5	232.94	363.56	126.12	327.56	199.85	135.24	373.81	181.28	88.26	137.14	490.14
PGR	54.72	8.58	3.63	28.04	3.59	9.93	4.94	2.56	16.75	15.11	21.01	39.5	23.08	34.26	38.95	24.46	32.36	11.38	6.06	14.67	34.75	36.53	44.57	42.11	5.41	6.67	10.16	9.85	10.47	23.42	26.67	10.31	13.22	15.45	51.71	25.91	0.52	9.63	24.99	3.66	9.06	53.95	35.0	0.54	8.25	16.03	18.03	21.47	14.56	11.91	39.5	2.48	4.54	26.86	14.45	8.25	4.13	5.28	5.19	2.73	77.25	70.01	9.27	17.38	5.59	14.45	5.5	6.36	29.7	26.47	22.26	5.19	6.36	1.16	8.38	18.7	6.62	17.64	4.7	10.39	8.99	32.82	135.24	74.06	59.13	29.48	43.02	37.05	59.55	75.11	36.79	19.39	46.18	90.14
PLCL1	229.72	43.94	7.51	33.54	26.28	48.52	16.39	11.21	41.81	38.67	110.43	38.67	58.71	127.89	208.38	31.22	78.34	34.51	68.07	64.8	180.02	51.35	180.02	133.36	6.16	35.76	52.82	37.05	76.17	102.25	64.8	14.03	26.47	74.06	158.79	84.63	3.92	19.97	45.21	262.2	14.67	122.64	57.49	63.89	10.47	29.06	26.67	119.26	17.38	34.75	58.3	4.13	6.01	43.94	30.78	13.03	18.56	22.26	7.22	8.19	195.72	181.28	19.39	30.34	28.45	35.25	4.21	7.57	94.01	84.63	69.52	26.86	12.93	1.91	118.43	73.03	6.36	46.5	18.56	15.68	16.75	85.22	283.05	122.64	325.29	157.68	187.71	92.05	177.53	297.17	205.5	107.38	195.72	283.05
PNMAL2	22.92	9.34	3.5	13.12	2.48	8.45	5.87	1.79	11.13	8.78	15.34	24.63	18.7	27.44	50.98	15.56	25.54	15.8	10.0	9.27	31.45	17.77	32.59	50.27	5.23	4.94	12.74	7.34	10.24	12.83	15.0	9.41	6.78	6.26	26.67	16.15	2.1	19.11	16.15	5.19	18.29	49.21	29.48	0.48	7.69	17.9	21.16	22.43	5.41	12.36	12.18	5.5	2.86	13.32	17.64	9.85	7.06	8.25	3.32	2.32	64.34	42.41	8.71	16.03	9.56	6.73	6.01	3.86	30.34	23.76	21.32	7.75	8.19	2.66	6.01	27.05	8.45	10.55	4.86	13.32	9.13	19.97	71.0	22.75	102.25	31.0	31.22	39.79	28.45	69.03	24.63	11.82	30.78	66.18
PRKG1	99.43	11.91	8.06	24.11	5.02	15.8	7.63	2.23	17.38	13.32	35.25	47.84	19.39	57.08	66.65	30.56	27.84	34.26	9.2	3.06	76.71	50.63	84.63	68.07	4.21	4.54	18.29	17.77	15.11	47.84	47.5	8.99	8.19	15.68	66.18	25.72	2.78	12.74	27.05	5.36	17.77	75.64	61.25	1.36	8.58	28.65	21.94	36.53	11.3	19.53	43.63	8.78	3.35	35.5	16.88	12.0	9.06	8.58	7.82	12.09	132.44	96.01	9.63	16.63	4.03	18.29	8.65	9.63	36.79	33.78	24.99	9.06	5.11	5.28	9.56	20.11	10.96	12.27	5.02	9.41	10.79	66.65	211.31	99.43	162.14	60.82	131.51	59.55	79.45	181.28	101.54	43.02	123.5	172.65
PTGIS	473.41	66.18	24.99	145.02	38.4	90.14	23.76	20.56	199.85	100.13	198.47	237.86	202.66	371.22	480.04	91.41	191.67	117.6	59.55	119.26	314.17	366.09	551.56	629.35	31.0	46.84	158.79	112.77	87.65	341.51	187.71	95.34	78.89	176.29	384.34	175.07	2.73	163.28	140.04	24.63	92.05	559.28	339.14	5.96	49.21	125.24	98.73	244.57	74.58	149.12	231.32	33.78	6.36	271.48	119.26	85.22	39.5	50.98	46.84	20.86	780.44	612.11	38.95	172.65	69.03	157.68	39.79	30.34	432.53	198.47	305.55	38.67	21.47	11.3	51.71	269.6	45.53	105.89	52.08	44.25	109.66	224.97	1167.14	329.84	974.5	318.57	616.37	450.94	591.22	854.13	457.25	220.32	642.59	954.43
PURG	5.23	1.5	0.0	4.98	0.8	4.31	4.24	0.45	4.5	1.93	2.05	4.74	2.71	4.66	7.57	3.5	4.28	3.41	2.53	0.48	8.51	4.58	4.58	5.36	1.89	0.95	1.22	0.47	1.22	4.24	5.96	2.36	3.44	2.12	5.32	4.31	0.0	3.03	2.36	1.17	2.32	7.11	5.32	1.53	1.16	2.78	3.89	3.5	1.58	2.34	8.0	0.78	0.92	2.07	1.6	1.25	0.47	1.23	0.84	0.0	12.83	13.32	0.84	1.58	0.85	1.2	1.2	0.46	3.92	2.78	4.54	1.2	0.0	0.0	1.66	8.58	4.9	3.44	1.1	2.01	2.89	8.06	8.0	8.58	5.63	5.68	13.62	4.39	1.36	8.06	4.7	3.06	11.47	24.46
RASL12	591.22	201.25	69.03	426.57	143.01	103.69	50.98	54.72	412.0	463.65	693.58	381.68	483.38	785.88	1008.9	267.73	429.54	251.48	127.0	170.25	981.29	796.86	1322.37	1104.13	59.97	117.6	379.04	253.23	198.47	536.45	384.34	185.11	165.57	265.87	733.19	258.57	39.79	486.75	316.37	59.13	297.17	1225.22	497.0	31.22	85.82	397.93	299.25	579.04	121.79	234.57	444.72	80.57	33.78	406.31	202.66	165.57	118.43	88.88	90.77	42.11	1304.15	890.44	156.59	277.2	152.28	312.0	82.29	107.38	785.88	417.77	521.76	116.78	111.21	31.45	82.29	698.41	133.36	285.03	63.45	239.52	226.54	791.35	1909.85	748.61	1883.54	988.12	2335.28	860.08	1697.45	2004.85	1277.29	718.08	1909.85	1583.71
RCAN2	616.37	80.57	76.71	228.13	65.72	176.29	63.45	45.21	126.12	115.97	199.85	283.05	85.82	423.61	620.67	271.48	262.2	301.33	90.77	87.65	1001.93	358.54	473.41	551.56	65.72	80.01	92.05	84.63	110.43	389.72	318.57	116.78	78.89	128.79	267.73	149.12	33.78	95.34	289.02	51.71	194.36	511.0	265.87	21.47	76.17	215.77	256.78	260.38	87.65	154.42	208.38	97.36	35.25	164.42	150.17	92.05	80.57	59.97	46.18	69.03	1044.52	624.99	76.71	117.6	53.57	113.56	59.97	82.87	194.36	206.94	182.55	95.34	43.94	37.85	94.01	265.87	94.67	215.77	70.01	55.49	53.57	429.54	759.08	571.05	543.96	409.15	748.61	183.82	376.41	808.0	728.11	358.54	688.78	902.89
RGS7BP	73.03	28.24	0.54	40.64	2.53	15.91	4.28	6.41	21.78	13.32	34.75	52.82	15.56	49.56	44.57	26.86	29.7	23.25	13.03	14.14	50.27	20.41	59.13	37.32	4.66	8.85	11.73	14.89	43.63	30.12	18.16	10.08	32.82	61.68	43.02	32.59	0.51	1.77	45.85	4.58	4.5	71.5	39.22	2.89	6.52	16.27	12.55	21.32	17.0	8.78	73.54	4.58	8.92	45.21	21.47	8.65	9.2	2.12	8.92	5.28	80.57	94.01	4.74	21.78	1.17	25.72	24.28	4.03	37.05	19.39	29.48	4.17	2.29	1.3	10.08	18.29	5.96	9.27	3.47	4.03	8.06	42.11	135.24	69.52	52.08	57.08	75.64	40.36	71.0	108.14	80.01	19.68	76.71	122.64
RND3	460.44	341.51	105.15	169.07	228.13	144.01	81.71	28.24	277.2	718.08	460.44	314.17	480.04	878.17	603.67	256.78	269.6	94.01	139.07	135.24	540.19	397.93	633.73	775.05	435.55	220.32	154.42	392.44	163.28	476.71	297.17	211.31	111.99	181.28	684.02	256.78	21.94	136.19	232.94	53.19	157.68	669.92	318.57	39.5	74.06	103.69	229.72	392.44	98.73	444.72	323.03	127.89	96.01	220.32	169.07	93.35	169.07	98.73	45.53	62.12	748.61	638.15	122.64	126.12	107.38	53.19	45.85	95.34	291.04	251.48	271.48	96.68	143.01	195.72	134.3	503.95	119.26	336.79	50.27	185.11	84.63	642.59	1417.35	764.36	884.29	624.99	791.35	514.56	1159.07	1447.15	559.28	389.72	460.44	830.75
S100A3	25.54	11.13	12.74	13.03	11.82	10.0	3.23	3.76	10.39	7.17	23.25	10.88	16.27	21.94	19.53	16.88	15.22	17.25	4.78	8.92	14.03	36.01	23.08	43.94	11.38	21.01	6.11	19.68	9.7	32.36	20.86	16.88	12.09	5.19	21.78	12.09	10.0	21.16	15.11	3.44	7.63	30.78	34.02	4.28	3.41	19.97	24.28	29.91	8.51	13.83	23.42	13.52	3.92	14.56	10.71	7.06	18.03	8.99	5.59	1.38	33.54	24.46	9.2	7.28	16.63	5.59	2.34	8.92	23.42	24.63	23.76	10.79	23.59	6.46	2.46	56.28	17.25	10.08	3.59	5.36	6.06	17.51	66.65	64.34	66.18	9.48	111.99	10.71	16.51	37.32	25.54	14.24	47.84	55.49
SCUBE1	7.06	4.46	1.68	11.38	0.99	4.13	9.48	0.97	5.45	5.06	3.41	8.51	6.31	26.47	53.19	20.41	5.23	20.71	13.22	0.69	37.32	7.82	16.39	8.92	3.5	4.1	2.16	1.38	1.06	4.06	6.21	7.94	5.5	1.53	11.38	4.13	0.64	4.31	9.06	2.73	9.7	54.33	16.51	1.36	3.06	16.15	5.23	19.68	3.26	9.78	26.28	4.24	1.95	5.02	2.18	2.58	2.48	3.29	1.04	3.47	52.45	60.82	8.45	3.63	2.89	3.23	4.28	0.66	17.9	7.69	8.92	2.84	7.11	2.53	2.63	1.46	5.11	19.97	5.19	5.28	3.89	28.45	59.55	50.27	9.48	16.75	53.19	5.19	7.63	170.25	17.9	5.23	84.04	80.01
SEMA3A	70.51	0.85	2.03	6.67	2.58	2.61	11.82	0.56	11.47	3.0	28.04	14.78	5.15	45.85	15.8	17.64	16.03	5.11	0.99	6.06	50.98	17.77	71.5	36.27	0.88	6.46	10.79	14.78	10.16	13.62	10.39	2.78	5.41	3.29	21.32	17.38	0.27	4.78	12.36	1.46	2.14	12.27	7.28	2.07	5.11	4.7	11.91	23.42	3.66	9.93	9.13	1.91	1.68	17.77	6.41	5.28	10.63	2.16	4.5	2.14	125.24	38.4	2.39	7.82	4.54	1.51	4.17	2.34	19.82	9.56	17.0	2.41	2.63	0.26	4.13	13.93	2.12	11.64	3.5	6.84	4.9	37.32	55.1	58.71	29.7	63.0	13.03	17.77	46.5	75.11	66.18	18.84	70.51	55.1
SLC8A1	384.34	50.98	9.13	155.5	23.08	36.53	22.1	8.06	120.94	90.14	165.57	234.57	129.69	260.38	273.37	129.69	176.29	67.59	44.89	68.55	258.57	228.13	381.68	307.69	21.63	26.28	102.97	63.45	63.45	154.42	289.02	71.5	56.68	84.04	351.14	151.22	1.36	61.68	119.26	18.97	43.63	361.04	269.6	6.11	118.43	87.65	70.01	189.02	52.45	81.14	187.71	16.03	12.45	218.79	85.82	84.04	38.95	37.85	32.82	19.39	633.73	460.44	37.59	98.04	23.93	92.7	28.24	36.27	231.32	148.09	154.42	34.75	18.7	14.67	36.79	138.1	23.08	108.9	32.13	43.32	62.12	246.28	902.89	409.15	559.28	366.09	325.29	297.17	334.46	688.78	332.14	122.64	612.11	674.59
SLIT3	191.67	47.17	45.85	78.34	19.68	64.8	42.71	27.05	59.97	41.52	64.8	134.3	31.0	137.14	221.86	97.36	71.5	262.2	40.64	66.18	161.02	166.73	82.87	244.57	30.78	49.56	35.5	39.5	45.85	117.6	78.34	47.84	25.91	65.26	115.97	43.63	34.75	42.41	52.08	38.95	68.07	334.46	131.51	17.9	35.76	130.6	97.36	115.16	50.27	43.63	176.29	25.54	16.88	55.89	55.1	30.34	30.78	30.34	18.56	10.71	351.14	299.25	56.28	32.82	18.84	78.34	22.92	16.39	80.57	93.35	46.5	53.57	26.86	12.27	297.17	100.13	58.71	30.78	9.06	18.56	31.22	114.36	728.11	131.51	376.41	127.0	237.86	87.03	153.34	638.15	118.43	39.5	343.89	543.96
SPRY2	438.59	220.32	144.01	275.28	239.52	226.54	108.14	265.87	358.54	271.48	312.0	363.56	265.87	429.54	480.04	248.0	256.78	287.01	186.4	205.5	400.71	387.02	403.5	435.55	218.79	373.81	303.44	231.32	253.23	309.83	341.51	199.85	271.48	341.51	351.14	414.87	102.25	178.77	281.09	151.22	187.71	616.37	289.02	239.52	91.41	215.77	287.01	283.05	234.57	316.37	409.15	70.51	101.54	289.02	226.54	217.27	218.79	116.78	194.36	156.59	599.49	490.14	180.02	260.38	157.68	167.9	148.09	189.02	281.09	293.07	256.78	226.54	223.41	186.4	149.12	299.25	220.32	336.79	202.66	255.0	177.53	460.44	669.92	703.28	688.78	457.25	660.68	417.77	323.03	563.18	417.77	363.56	387.02	651.58
SRPX	341.51	95.34	101.54	114.36	58.71	211.31	133.36	18.84	363.56	143.01	103.69	138.1	260.38	273.37	521.76	366.09	218.79	66.18	50.27	67.59	265.87	384.34	339.14	159.9	29.27	53.19	265.87	187.71	68.07	185.11	269.6	105.15	125.24	57.08	334.46	201.25	51.71	121.79	187.71	138.1	59.55	713.11	343.89	48.87	28.45	63.45	151.22	165.57	63.89	125.24	341.51	18.7	16.03	152.28	152.28	34.02	25.91	66.18	108.14	103.69	361.04	283.05	67.59	195.72	44.57	72.01	7.34	127.89	334.46	215.77	384.34	60.82	73.03	36.79	82.29	183.82	167.9	166.73	49.91	144.01	91.41	356.05	463.65	412.0	480.04	214.27	400.71	500.46	314.17	435.55	283.05	395.18	368.65	679.29
