	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.ZC5H.2626.SM.5J2MG	GTEX.WXYG.2226.SM.4E3IM	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.145MH.0626.SM.5NQAK	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12584.1426.SM.5EGJ9	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.Y111.1026.SM.4TT22	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.12WSE.0826.SM.5S2VL	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.13FLV.0426.SM.5KLZA	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.146FH.1226.SM.5NQB6	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
REXO4	587.13	454.09	642.59	373.81	190.34	273.37	392.44	316.37	332.14	133.36	305.55	339.14	202.66	414.87	212.78	307.69	432.53	351.14	242.88	137.14	214.27	414.87	353.59	429.54	186.4	305.55	332.14	334.46	223.41	130.6	232.94	299.25	318.57	384.34	122.64	237.86	140.04	277.2	262.2	368.65	115.16	348.71	392.44	320.8	171.45	318.57	223.41	460.44	114.36	139.07	379.04	316.37	183.82	234.57	195.72	239.52	229.72	316.37	387.02	157.68	217.27	406.31	295.11	429.54	435.55	226.54	199.85	325.29	218.79	133.36	178.77	149.12	187.71	147.06	176.29	387.02
RFC5	457.25	403.5	397.93	356.05	85.82	98.73	293.07	141.02	217.27	64.8	135.24	236.21	54.72	220.32	137.14	107.38	255.0	166.73	76.17	37.85	71.5	297.17	297.17	181.28	37.59	178.77	267.73	186.4	66.18	67.59	114.36	363.56	189.02	379.04	42.11	75.64	29.91	90.77	173.85	234.57	57.89	182.55	176.29	249.73	71.0	84.63	114.36	339.14	57.49	44.89	117.6	205.5	120.94	103.69	52.82	176.29	161.02	172.65	353.59	85.82	98.73	299.25	125.24	228.13	246.28	193.01	75.11	220.32	169.07	58.71	73.03	35.76	82.87	82.29	33.78	117.6
RMI1	258.57	211.31	246.28	157.68	38.67	130.6	155.5	44.57	77.79	24.28	57.08	133.36	27.84	102.25	34.51	90.14	208.38	57.89	62.12	22.92	35.76	77.79	118.43	55.49	67.59	71.5	75.64	108.9	40.93	26.28	46.18	186.4	97.36	117.6	41.22	27.84	12.74	81.71	66.65	74.58	42.71	62.12	108.14	98.04	34.02	64.8	101.54	127.89	31.22	56.28	57.49	90.14	70.51	74.06	34.26	48.52	27.44	74.58	123.5	108.14	53.19	110.43	34.02	141.02	88.26	78.89	39.5	44.89	72.52	41.52	60.39	28.86	41.22	45.85	40.64	75.11
RNF20	1286.18	1447.15	1044.52	961.07	206.94	379.04	563.18	718.08	460.44	115.97	361.04	669.92	183.82	684.02	463.65	343.89	599.49	514.56	295.11	246.28	258.57	559.28	540.19	395.18	273.37	540.19	647.07	660.68	237.86	232.94	323.03	748.61	563.18	693.58	181.28	173.85	105.15	341.51	397.93	551.56	171.45	616.37	441.64	693.58	271.48	289.02	392.44	624.99	141.02	190.34	638.15	679.29	363.56	283.05	289.02	348.71	366.09	575.03	624.99	327.56	297.17	571.05	397.93	638.15	599.49	381.68	183.82	624.99	423.61	236.21	248.0	144.01	267.73	242.88	211.31	559.28
RPP25L	642.59	642.59	830.75	854.13	143.01	260.38	587.13	571.05	379.04	182.55	395.18	316.37	279.14	713.11	232.94	346.29	536.45	684.02	432.53	111.21	190.34	420.68	532.74	497.0	140.04	669.92	825.0	780.44	312.0	165.57	209.84	314.17	642.59	454.09	139.07	211.31	84.04	253.23	567.1	866.07	198.47	693.58	511.0	660.68	303.44	218.79	197.09	612.11	201.25	167.9	441.64	733.19	329.84	256.78	131.51	244.57	221.86	733.19	616.37	199.85	299.25	493.56	591.22	563.18	723.08	269.6	212.78	819.3	334.46	148.09	271.48	101.54	190.34	158.79	189.02	327.56
RWDD2B	642.59	656.11	633.73	591.22	98.04	236.21	348.71	293.07	206.94	53.95	176.29	423.61	137.14	301.33	181.28	189.02	361.04	341.51	150.17	118.43	107.38	389.72	303.44	339.14	102.25	314.17	356.05	444.72	149.12	87.03	248.0	551.56	339.14	373.81	81.71	133.36	89.51	255.0	277.2	486.75	101.54	341.51	397.93	376.41	253.23	173.85	249.73	497.0	94.67	107.38	206.94	371.22	265.87	205.5	152.28	239.52	100.83	287.01	400.71	128.79	170.25	387.02	269.6	351.14	389.72	256.78	113.56	387.02	267.73	115.16	165.57	59.97	158.79	144.01	108.9	293.07
SLC25A12	647.07	575.03	688.78	486.75	110.43	195.72	371.22	154.42	244.57	114.36	186.4	301.33	156.59	159.9	167.9	195.72	329.84	165.57	135.24	117.6	158.79	218.79	255.0	228.13	99.43	180.02	198.47	220.32	215.77	105.15	144.01	361.04	142.01	275.28	123.5	103.69	55.1	139.07	195.72	251.48	155.5	191.67	303.44	211.31	143.01	164.42	164.42	366.09	120.1	195.72	120.94	186.4	258.57	107.38	141.02	226.54	170.25	127.89	258.57	169.07	109.66	373.81	156.59	232.94	241.19	208.38	144.01	211.31	175.07	120.1	206.94	57.89	108.14	124.37	94.67	126.12
SLC2A10	1104.13	343.89	1781.89	291.04	31.67	130.6	1378.57	463.65	178.77	14.35	131.51	384.34	97.36	215.77	39.22	99.43	460.44	208.38	10.47	44.25	31.67	486.75	698.41	226.54	39.22	185.11	239.52	171.45	109.66	105.89	96.68	1059.11	229.72	327.56	47.84	86.43	13.12	153.34	264.03	289.02	99.43	356.05	273.37	171.45	251.48	46.5	246.28	525.39	21.47	93.35	103.69	409.15	163.28	59.55	51.71	89.51	137.14	76.71	236.21	138.1	64.34	571.05	171.45	514.56	232.94	371.22	68.07	118.43	417.77	54.33	102.97	10.0	23.08	37.05	11.47	231.32
SLC41A3	780.44	1199.98	2148.82	1304.15	571.05	497.0	1427.22	830.75	775.05	688.78	1208.34	1044.52	366.09	660.68	540.19	854.13	1757.34	518.15	567.1	379.04	638.15	1322.37	1359.57	2061.24	412.0	808.0	988.12	775.05	836.53	543.96	466.88	1119.56	708.18	775.05	454.09	406.31	312.0	1073.91	884.29	791.35	669.92	759.08	1295.13	802.41	514.56	738.29	575.03	1081.39	307.69	514.56	503.95	748.61	674.59	536.45	529.06	896.64	759.08	693.58	759.08	525.39	497.0	1322.37	1015.93	981.29	1304.15	928.3	511.0	934.76	854.13	435.55	529.06	279.14	409.15	547.75	275.28	674.59
SMARCAD1	620.67	507.46	417.77	444.72	71.0	133.36	264.03	185.11	202.66	52.82	118.43	389.72	110.43	295.11	176.29	162.14	229.72	234.57	109.66	57.89	119.26	249.73	287.01	115.16	151.22	221.86	236.21	253.23	129.69	85.82	244.57	392.44	256.78	325.29	57.08	93.35	32.59	97.36	170.25	283.05	113.56	185.11	237.86	251.48	173.85	127.0	167.9	277.2	106.63	110.43	218.79	249.73	223.41	190.34	92.05	140.04	148.09	190.34	281.09	181.28	100.83	303.44	167.9	264.03	211.31	161.02	123.5	287.01	182.55	100.13	92.05	45.85	104.42	120.94	71.0	166.73
SMG8	543.96	426.57	371.22	435.55	65.72	87.03	158.79	194.36	120.94	28.04	69.03	149.12	64.8	251.48	111.99	129.69	193.01	223.41	97.36	52.82	60.82	175.07	133.36	77.79	83.45	232.94	237.86	267.73	59.13	65.72	155.5	165.57	287.01	193.01	47.84	82.87	54.33	105.89	150.17	236.21	86.43	241.19	172.65	239.52	60.82	73.54	110.43	163.28	41.52	46.84	153.34	258.57	115.97	118.43	60.82	102.97	84.63	239.52	191.67	82.29	127.89	158.79	110.43	185.11	205.5	102.25	57.08	231.32	134.3	52.82	77.79	61.25	77.25	52.08	77.25	221.86
SMYD2	1191.69	1233.75	1151.06	1225.22	563.18	1457.23	2573.36	1127.35	860.08	503.95	733.19	1417.35	239.52	1467.37	633.73	825.0	1242.34	1104.13	813.63	351.14	866.07	1331.57	780.44	1242.34	466.88	1001.93	928.3	848.22	669.92	466.88	684.02	1259.69	1259.69	1096.5	665.29	748.61	493.56	1008.9	902.89	909.17	373.81	941.27	1651.0	1167.14	466.88	941.27	1001.93	2119.22	420.68	379.04	848.22	1183.45	802.41	612.11	693.58	1183.45	647.07	718.08	1572.76	802.41	543.96	1001.93	878.17	1183.45	896.64	854.13	698.41	1073.91	1259.69	1001.93	525.39	518.15	624.99	830.75	381.68	878.17
SPDYE3	115.97	162.14	102.25	108.9	29.91	45.21	99.43	74.58	52.45	23.93	43.94	98.73	30.34	51.35	56.68	43.02	88.26	62.12	30.56	31.67	19.11	91.41	74.06	60.39	23.93	73.54	94.01	108.9	28.86	35.5	87.65	94.01	54.72	84.04	12.45	45.85	16.39	43.94	53.19	62.12	28.04	78.89	74.06	82.87	53.95	47.5	40.64	78.89	25.72	18.7	93.35	75.11	48.87	53.57	25.54	35.0	36.79	77.79	84.63	29.06	35.5	65.26	61.25	67.59	58.3	47.17	30.34	82.87	58.71	43.02	26.86	18.29	28.24	30.56	29.06	51.35
SURF2	420.68	426.57	406.31	432.53	285.03	358.54	961.07	460.44	403.5	190.34	438.59	381.68	173.85	775.05	305.55	305.55	529.06	728.11	193.01	267.73	312.0	366.09	642.59	638.15	220.32	543.96	607.87	547.75	234.57	181.28	309.83	507.46	525.39	540.19	239.52	497.0	295.11	279.14	395.18	540.19	287.01	684.02	521.76	808.0	325.29	309.83	303.44	785.88	131.51	157.68	595.34	490.14	368.65	450.94	217.27	376.41	248.0	819.3	728.11	98.73	332.14	780.44	525.39	314.17	669.92	332.14	312.0	624.99	543.96	265.87	353.59	169.07	289.02	281.09	232.94	540.19
TBCC	620.67	532.74	463.65	587.13	224.97	293.07	376.41	275.28	368.65	121.79	323.03	334.46	164.42	525.39	140.04	420.68	563.18	698.41	218.79	135.24	258.57	457.25	493.56	423.61	271.48	599.49	518.15	579.04	228.13	120.94	212.78	343.89	532.74	412.0	123.5	202.66	258.57	265.87	309.83	647.07	177.53	633.73	435.55	466.88	183.82	301.33	318.57	435.55	136.19	158.79	248.0	599.49	239.52	231.32	157.68	224.97	237.86	563.18	395.18	169.07	285.03	379.04	260.38	412.0	368.65	220.32	172.65	381.68	454.09	171.45	194.36	265.87	242.88	163.28	253.23	363.56
TCEANC2	132.44	209.84	141.02	138.1	25.35	54.72	94.67	69.03	54.33	13.42	45.85	47.5	32.13	78.34	37.05	64.34	76.71	61.68	31.67	19.82	44.89	63.45	75.11	60.82	44.25	67.59	67.59	81.14	45.53	28.65	34.75	75.64	76.71	78.89	34.51	23.42	14.14	50.98	43.02	72.01	32.36	76.71	55.1	77.25	38.95	28.24	64.8	75.64	18.97	25.17	59.13	75.64	52.45	35.0	33.06	59.55	24.28	69.52	70.51	44.57	31.22	64.34	37.32	101.54	57.49	42.41	33.54	72.52	61.68	29.06	26.47	19.68	41.22	30.56	28.04	47.5
TCFL5	242.88	202.66	204.07	135.24	95.34	104.42	275.28	100.83	163.28	59.55	62.56	212.78	31.0	121.79	93.35	78.89	275.28	78.89	83.45	73.54	85.82	244.57	143.01	154.42	96.68	115.16	145.02	181.28	68.55	43.63	56.28	175.07	141.02	182.55	52.08	54.72	67.12	92.05	143.01	152.28	41.81	123.5	181.28	190.34	54.72	91.41	91.41	248.0	34.51	40.36	99.43	124.37	96.01	57.08	46.18	117.6	97.36	92.05	103.69	72.52	73.54	153.34	101.54	113.56	149.12	104.42	51.35	144.01	180.02	48.18	82.87	81.71	61.25	60.39	47.17	79.45
THAP11	591.22	466.88	669.92	713.11	441.64	555.41	796.86	723.08	718.08	201.25	447.82	607.87	312.0	813.63	384.34	616.37	890.44	808.0	417.77	248.0	536.45	780.44	698.41	825.0	417.77	728.11	813.63	842.36	441.64	241.19	460.44	698.41	836.53	743.43	343.89	356.05	371.22	642.59	599.49	866.07	366.09	785.88	759.08	764.36	414.87	575.03	603.67	633.73	336.79	327.56	536.45	785.88	540.19	476.71	420.68	476.71	409.15	769.69	733.19	429.54	490.14	688.78	713.11	688.78	848.22	688.78	327.56	791.35	759.08	318.57	547.75	447.82	476.71	403.5	358.54	703.28
TM7SF3	1529.73	1519.15	1457.23	1832.01	551.56	981.29	1806.78	1397.83	1259.69	444.72	860.08	1407.55	371.22	1745.2	638.15	967.76	1685.71	1685.71	563.18	466.88	743.43	1259.69	1143.1	1806.78	521.76	1685.71	2835.7	1806.78	743.43	289.02	457.25	1674.06	2163.77	1572.76	368.65	543.96	229.72	1427.22	1051.79	1583.71	738.29	1417.35	1286.18	1259.69	599.49	1216.75	1268.46	1250.98	149.12	551.56	1066.48	1605.83	1111.82	866.07	603.67	638.15	503.95	1151.06	1477.58	698.41	599.49	1407.55	1950.0	2075.59	1819.35	1030.12	575.03	2400.97	1015.93	848.22	490.14	511.0	961.07	961.07	239.52	934.76
TMEM209	497.0	460.44	460.44	392.44	65.72	125.24	217.27	237.86	170.25	73.54	127.0	279.14	79.45	248.0	105.89	119.26	248.0	260.38	115.16	87.65	66.65	239.52	202.66	150.17	86.43	183.82	305.55	323.03	95.34	128.79	177.53	329.84	275.28	269.6	53.95	104.42	34.51	135.24	189.02	271.48	97.36	255.0	204.07	325.29	146.03	77.79	128.79	249.73	84.04	87.03	251.48	277.2	182.55	186.4	76.71	111.99	138.1	271.48	244.57	92.05	116.78	209.84	189.02	173.85	248.0	138.1	108.14	244.57	191.67	90.14	127.89	52.08	111.99	98.73	89.51	262.2
TMEM99	1104.13	1378.57	1191.69	483.38	113.56	234.57	698.41	303.44	307.69	90.14	264.03	368.65	86.43	612.11	183.82	269.6	423.61	417.77	262.2	67.59	155.5	356.05	395.18	309.83	90.77	387.02	381.68	368.65	334.46	84.04	140.04	358.54	525.39	497.0	81.14	123.5	69.52	178.77	384.34	435.55	47.5	403.5	507.46	470.14	98.04	234.57	124.37	830.75	57.08	63.0	248.0	351.14	135.24	57.49	92.05	221.86	186.4	376.41	693.58	262.2	164.42	409.15	329.84	444.72	490.14	246.28	150.17	432.53	291.04	140.04	201.25	68.55	115.16	65.72	90.77	271.48
TPRG1L	1467.37	1685.71	1023.0	1651.0	466.88	1037.29	1769.57	1605.83	1044.52	423.61	470.14	1551.09	285.03	1674.06	693.58	941.27	1529.73	1175.27	651.58	486.75	753.83	1757.34	1407.55	1733.13	348.71	1561.89	1369.04	1883.54	599.49	470.14	669.92	1447.15	1757.34	1250.98	555.41	579.04	457.25	1159.07	1721.16	1551.09	466.88	1819.35	1685.71	1572.76	713.11	808.0	981.29	1662.49	277.2	403.5	1104.13	1277.29	981.29	551.56	698.41	995.0	674.59	1508.65	1359.57	559.28	866.07	1350.18	1498.22	967.76	1437.15	981.29	480.04	1781.89	1359.57	791.35	703.28	555.41	607.87	599.49	361.04	909.17
TPRKB	836.53	1159.07	941.27	860.08	320.8	532.74	860.08	314.17	559.28	241.19	642.59	802.41	285.03	563.18	476.71	642.59	954.43	988.12	392.44	314.17	309.83	551.56	860.08	738.29	454.09	532.74	808.0	896.64	420.68	289.02	575.03	1208.34	738.29	872.1	251.48	316.37	178.77	417.77	842.36	642.59	165.57	738.29	713.11	890.44	435.55	373.81	595.34	934.76	353.59	392.44	525.39	555.41	511.0	412.0	314.17	551.56	595.34	473.41	854.13	429.54	563.18	981.29	395.18	819.3	848.22	435.55	228.13	607.87	836.53	353.59	532.74	325.29	346.29	301.33	312.0	366.09
TRMT10A	204.07	242.88	136.19	132.44	52.08	77.79	157.68	72.01	95.34	26.1	37.32	77.25	38.12	135.24	72.52	81.71	81.71	88.26	48.87	35.0	55.89	69.52	109.66	72.52	69.03	98.04	94.01	114.36	30.56	49.56	157.68	104.42	107.38	129.69	22.92	45.85	19.39	62.12	48.18	154.42	37.59	95.34	56.68	119.26	31.22	54.72	45.21	155.5	49.91	71.0	126.12	117.6	49.56	70.51	29.06	53.57	41.81	94.01	122.64	69.03	27.05	78.89	61.68	155.5	106.63	72.52	34.75	84.63	58.3	29.27	45.53	17.0	37.05	21.78	36.01	77.25
TRUB1	473.41	376.41	371.22	305.55	80.57	155.5	223.41	145.02	150.17	98.04	60.39	262.2	81.71	217.27	152.28	132.44	204.07	202.66	88.26	42.41	91.41	220.32	229.72	162.14	87.03	171.45	190.34	158.79	96.68	96.68	111.21	297.17	215.77	277.2	48.52	120.94	31.22	100.83	145.02	178.77	87.65	140.04	205.5	202.66	118.43	102.97	122.64	224.97	67.12	59.97	165.57	228.13	162.14	118.43	53.57	120.1	108.9	144.01	262.2	137.14	103.69	209.84	115.97	212.78	206.94	120.94	80.01	137.14	161.02	66.18	96.68	40.07	80.01	69.03	64.34	151.22
TSNAX	1044.52	1081.39	769.69	728.11	309.83	503.95	559.28	647.07	525.39	447.82	320.8	866.07	295.11	559.28	595.34	316.37	836.53	728.11	297.17	366.09	279.14	1015.93	738.29	420.68	334.46	575.03	620.67	603.67	285.03	450.94	785.88	1250.98	872.1	813.63	198.47	366.09	215.77	358.54	796.86	620.67	555.41	638.15	595.34	791.35	785.88	285.03	633.73	764.36	287.01	277.2	543.96	693.58	642.59	575.03	291.04	392.44	543.96	656.11	1001.93	366.09	656.11	579.04	470.14	575.03	480.04	423.61	303.44	417.77	703.28	486.75	384.34	158.79	429.54	733.19	327.56	599.49
TUBGCP5	291.04	376.41	206.94	379.04	34.75	81.71	186.4	129.69	98.73	44.89	100.13	212.78	97.36	150.17	84.63	76.71	183.82	191.67	77.25	63.45	65.26	173.85	193.01	93.35	46.84	155.5	162.14	231.32	91.41	75.11	204.07	295.11	177.53	239.52	27.84	96.68	17.38	102.25	190.34	220.32	98.04	157.68	161.02	191.67	156.59	91.41	67.59	190.34	67.12	62.12	101.54	148.09	167.9	166.73	68.55	73.03	88.26	165.57	181.28	72.01	106.63	206.94	150.17	104.42	146.03	128.79	79.45	211.31	164.42	63.45	92.7	25.91	67.59	74.58	47.84	97.36
VANGL1	262.2	248.0	135.24	353.59	37.32	56.28	193.01	152.28	75.11	24.28	60.82	165.57	15.68	128.79	38.4	61.25	185.11	68.07	33.3	17.64	59.97	153.34	137.14	76.17	30.34	77.79	150.17	145.02	61.68	43.32	82.87	141.02	100.13	191.67	46.18	57.89	14.35	57.89	68.07	84.04	49.21	81.71	105.89	148.09	43.94	38.4	87.03	102.97	23.93	39.22	109.66	126.12	61.68	58.71	35.25	43.02	33.78	103.69	118.43	45.53	33.06	121.79	74.58	110.43	133.36	91.41	54.72	102.25	76.71	17.25	53.95	19.82	46.18	47.17	19.82	100.83
VIPAS39	480.04	555.41	466.88	381.68	148.09	215.77	363.56	303.44	305.55	90.14	273.37	366.09	201.25	291.04	255.0	289.02	412.0	299.25	253.23	115.16	149.12	339.14	423.61	323.03	165.57	318.57	327.56	381.68	208.38	136.19	229.72	409.15	287.01	400.71	105.15	122.64	61.25	255.0	320.8	361.04	169.07	381.68	297.17	323.03	208.38	171.45	246.28	417.77	115.16	161.02	255.0	327.56	305.55	180.02	194.36	242.88	152.28	316.37	368.65	183.82	217.27	358.54	264.03	384.34	329.84	232.94	163.28	339.14	325.29	119.26	171.45	52.82	205.5	215.77	125.24	190.34
WDR92	260.38	279.14	273.37	229.72	63.0	94.01	271.48	129.69	118.43	26.47	112.77	171.45	59.97	163.28	92.05	88.26	181.28	145.02	71.5	48.18	77.25	152.28	156.59	122.64	72.01	156.59	176.29	158.79	82.87	41.22	117.6	193.01	161.02	183.82	71.5	62.56	25.91	90.77	132.44	180.02	71.0	146.03	165.57	215.77	75.11	104.42	133.36	231.32	56.28	59.55	128.79	140.04	120.1	74.58	64.8	101.54	69.52	124.37	191.67	69.03	70.51	185.11	108.9	142.01	169.07	96.68	65.72	153.34	111.99	80.01	87.65	45.85	78.34	69.52	48.18	105.15
YARS2	521.76	486.75	543.96	353.59	162.14	241.19	277.2	171.45	199.85	116.78	279.14	320.8	102.25	273.37	164.42	332.14	376.41	351.14	206.94	90.77	140.04	314.17	258.57	202.66	153.34	275.28	351.14	389.72	114.36	115.16	166.73	493.56	255.0	463.65	135.24	187.71	101.54	244.57	320.8	343.89	101.54	212.78	249.73	289.02	86.43	265.87	150.17	429.54	103.69	127.89	249.73	285.03	176.29	214.27	100.13	170.25	187.71	234.57	297.17	155.5	234.57	389.72	172.65	314.17	473.41	187.71	127.89	212.78	138.1	118.43	171.45	117.6	236.21	114.36	164.42	197.09
ZFP64	441.64	314.17	497.0	260.38	59.55	99.43	232.94	211.31	142.01	35.5	92.7	236.21	66.18	211.31	117.6	144.01	236.21	124.37	78.34	43.32	70.01	193.01	316.37	242.88	75.64	197.09	224.97	215.77	120.1	40.93	60.82	295.11	150.17	309.83	59.55	34.02	38.67	125.24	83.45	147.06	48.18	140.04	159.9	232.94	70.01	161.02	88.26	239.52	43.32	54.72	154.42	156.59	102.97	71.5	63.0	127.0	64.34	187.71	291.04	124.37	54.33	258.57	106.63	246.28	318.57	131.51	96.01	167.9	157.68	75.11	74.58	55.89	70.51	76.71	28.45	101.54
ZKSCAN3	147.06	134.3	162.14	117.6	27.25	47.17	98.04	38.4	65.26	12.27	26.86	78.34	22.75	86.43	31.0	65.26	113.56	62.56	25.17	16.27	51.35	94.01	103.69	39.22	44.25	72.01	65.26	92.7	40.93	13.83	23.93	128.79	65.72	100.83	135.24	17.0	10.55	66.18	40.64	115.16	26.1	70.01	72.52	61.25	27.44	56.28	71.5	115.97	32.59	43.94	36.53	73.54	73.54	18.97	59.13	43.94	31.22	45.21	89.51	40.07	33.06	80.01	28.86	75.11	94.67	88.26	29.06	53.19	31.0	27.44	50.27	14.24	39.79	38.67	22.1	28.45
ZKSCAN4	212.78	177.53	165.57	162.14	29.91	56.28	77.25	31.67	69.52	8.85	44.57	73.03	32.36	65.72	37.59	96.01	140.04	72.52	45.21	24.11	30.12	87.03	82.29	42.11	67.59	64.8	88.88	81.14	43.94	16.39	35.76	118.43	75.64	98.73	27.44	32.13	16.15	72.01	61.25	88.26	31.22	80.57	99.43	60.39	29.48	54.33	50.27	114.36	19.97	18.16	47.84	84.04	79.45	36.53	29.27	65.72	35.76	64.8	109.66	52.08	31.22	100.13	30.78	105.89	90.77	60.39	34.26	40.36	57.49	19.25	29.91	24.46	32.13	37.05	19.82	50.98
ZNF16	267.73	260.38	339.14	273.37	35.0	94.01	148.09	127.0	78.89	23.76	94.67	140.04	40.93	119.26	58.71	115.97	181.28	147.06	43.94	47.84	52.08	138.1	150.17	105.89	60.39	141.02	153.34	190.34	78.34	59.55	106.63	178.77	134.3	123.5	27.64	59.97	49.91	88.26	122.64	140.04	71.0	150.17	153.34	171.45	80.01	84.04	91.41	176.29	56.28	36.53	105.15	149.12	92.05	70.01	66.65	71.0	88.88	147.06	145.02	61.25	62.12	161.02	120.94	101.54	127.0	87.65	41.22	159.9	129.69	45.53	87.03	37.05	64.8	60.82	45.53	108.14
ZNF174	258.57	239.52	312.0	289.02	50.63	110.43	211.31	105.15	122.64	32.82	75.11	135.24	61.68	163.28	55.1	165.57	246.28	159.9	119.26	46.5	110.43	161.02	180.02	117.6	75.64	164.42	138.1	163.28	90.14	54.72	117.6	206.94	138.1	178.77	52.08	55.49	44.25	141.02	163.28	212.78	77.79	186.4	161.02	157.68	125.24	119.26	133.36	223.41	57.08	62.12	98.73	156.59	163.28	132.44	95.34	128.79	56.28	140.04	199.85	105.89	131.51	172.65	122.64	134.3	165.57	132.44	72.52	122.64	170.25	53.57	109.66	55.89	98.73	74.58	71.0	90.14
ZNF213	353.59	271.48	521.76	273.37	57.49	115.16	318.57	220.32	197.09	57.89	120.1	114.36	78.34	255.0	98.04	127.0	260.38	161.02	109.66	67.12	67.59	241.19	236.21	201.25	71.5	234.57	309.83	226.54	99.43	69.52	100.13	220.32	279.14	229.72	76.17	75.64	44.25	131.51	132.44	334.46	103.69	269.6	172.65	289.02	119.26	109.66	106.63	299.25	59.55	59.97	205.5	285.03	161.02	98.04	68.55	135.24	95.34	232.94	244.57	65.72	84.04	234.57	145.02	155.5	334.46	146.03	65.26	218.79	211.31	61.25	115.97	36.27	111.99	105.15	55.89	178.77
ZNF532	1143.1	743.43	713.11	708.18	267.73	169.07	769.69	500.46	361.04	169.07	356.05	802.41	195.72	305.55	395.18	409.15	1127.35	220.32	303.44	435.55	241.19	802.41	1096.5	356.05	312.0	441.64	423.61	575.03	341.51	454.09	454.09	1167.14	543.96	718.08	143.01	241.19	80.01	332.14	426.57	503.95	332.14	379.04	603.67	497.0	341.51	320.8	303.44	373.81	348.71	371.22	392.44	395.18	486.75	275.28	255.0	307.69	400.71	229.72	595.34	351.14	178.77	909.17	275.28	387.02	612.11	638.15	283.05	947.83	884.29	217.27	244.57	151.22	181.28	260.38	209.84	343.89
ZNF576	356.05	256.78	529.06	368.65	142.01	226.54	363.56	332.14	242.88	112.77	201.25	289.02	157.68	351.14	181.28	271.48	348.71	285.03	202.66	66.18	166.73	265.87	356.05	299.25	128.79	368.65	351.14	343.89	255.0	59.13	127.0	271.48	283.05	403.5	100.83	159.9	78.34	228.13	267.73	358.54	101.54	295.11	361.04	297.17	195.72	256.78	120.94	503.95	164.42	103.69	248.0	309.83	198.47	202.66	153.34	198.47	228.13	291.04	432.53	186.4	239.52	463.65	234.57	285.03	423.61	153.34	132.44	366.09	183.82	131.51	275.28	154.42	197.09	71.0	109.66	371.22
