	TCGA.VN.A88P.01A.11R.A352.07	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A8I4.01A.11R.A36G.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.G9.A9S4.01A.11R.A41O.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A9DK.01A.11R.A37L.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KC.A7F6.01A.11R.A33R.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6361.01A.21R.1965.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.8257.01A.11R.2263.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.J4.AATZ.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.YL.A9WL.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.G9.6370.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.ZG.A9L4.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.KC.A7FE.01A.12R.A33R.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.KK.A8I5.01A.11R.A36G.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.ZG.A9L2.01A.31R.A41O.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.EJ.A7NN.01A.11R.A33R.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.ZG.A9LS.01A.12R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.139T6.1526.SM.5P9G6
GLI2	16.39	18.56	9.56	3.76	18.43	26.47	82.87	36.27	18.56	52.45	6.06	26.1	51.71	1.45	54.72	3.79	5.28	25.72	26.28	11.55	17.77	9.93	12.83	12.27	20.71	137.14	7.22	10.16	31.9	29.27	24.63	38.12	19.53	56.28	3.44	32.82	45.21	30.34	12.45	9.7	19.25	26.47	47.17	23.93	30.12	22.43	16.39	5.96	15.22	27.84	15.45	18.29	15.45	61.25	24.81	55.49	23.59	7.22	43.32	11.64	21.63	15.34	6.16	15.0	12.45	14.78	17.25	32.82	49.56	9.06	10.88	38.95	17.77	39.22	49.91	24.11	71.0	15.34	6.06	12.74	38.4	28.45	18.43	15.91	20.11	18.16	6.94	16.75	38.95	19.82	62.12	28.86	2.53	7.88	13.72	13.83	72.01	15.56	20.11	43.32	4.9	36.79	16.63	21.78	35.25	10.88	4.54	26.47	34.51	11.55	24.63	16.27	18.84	29.48	69.52	23.08	56.68	26.67	15.22	41.22	18.03	10.08	11.3	38.12	40.36	5.5	7.69	11.55	15.91	7.22	22.1	8.38	22.43	26.86	9.06	25.72	9.48	20.11	8.92	16.88	9.85	6.62	3.82	59.13	55.49	103.69	19.97	103.69	10.31	22.1	8.58	6.67	18.56	9.2	28.04	9.7	39.22	81.14	41.81	15.91	20.56	28.24	10.79	22.1	16.15	4.54	19.11	27.05	31.67	23.76	16.63	34.75	3.86	51.71	15.68	29.7	14.89	10.08	23.93	52.45	10.79	30.56	31.22	18.43	22.75	13.12	6.67	10.79	15.68	20.26	33.06	75.64	41.81	59.13	66.65	78.89	15.0	74.06	25.91
GLIS3	43.63	26.67	42.41	10.16	43.02	37.85	76.17	45.85	32.82	39.22	15.56	36.27	63.0	8.99	78.34	17.38	23.59	62.12	56.68	34.51	38.4	21.32	30.34	44.89	15.91	57.08	23.08	21.47	38.95	26.28	37.32	69.52	19.11	45.85	12.93	39.5	80.57	51.71	12.45	18.56	27.64	32.82	51.35	31.45	21.47	37.32	28.45	49.56	38.4	36.53	24.63	39.5	18.16	61.25	33.78	48.18	20.71	33.54	26.86	40.07	45.53	142.01	11.55	19.82	12.09	52.08	19.68	29.7	57.89	59.13	22.75	74.06	16.15	17.51	78.89	55.1	67.12	34.02	31.67	13.03	62.56	44.57	114.36	16.63	24.63	34.02	16.51	31.67	48.18	63.89	74.06	31.9	15.0	16.27	10.88	49.91	215.77	72.01	88.88	102.25	11.13	113.56	40.64	20.26	59.55	18.03	41.22	71.0	35.25	15.45	133.36	30.56	16.75	17.38	69.03	34.51	46.5	20.11	53.57	60.82	33.78	20.11	21.94	35.5	50.63	139.07	172.65	14.89	44.25	24.11	52.45	25.91	102.25	20.56	60.82	16.88	35.25	23.08	17.13	37.32	15.22	13.62	22.59	85.22	57.89	100.13	20.26	156.59	18.43	25.72	12.45	9.63	19.53	6.41	23.76	26.86	57.08	74.58	55.1	33.06	17.38	25.91	13.93	34.26	18.97	11.21	103.69	38.95	25.35	45.21	21.47	49.91	16.63	59.13	17.0	35.76	27.44	23.93	17.38	100.83	17.25	43.94	40.64	22.59	14.56	18.97	14.89	12.74	9.2	32.59	54.33	112.77	55.89	80.57	85.82	83.45	24.28	130.6	88.88
GNB4	33.54	27.64	69.52	10.96	23.42	38.4	65.72	66.65	49.56	34.75	6.84	37.05	119.26	9.78	32.82	12.83	13.42	40.64	17.25	11.3	22.1	46.18	28.65	42.71	30.78	82.29	27.05	19.25	60.82	29.27	36.53	31.9	12.74	50.98	2.84	62.12	84.04	43.63	16.39	18.29	17.0	30.78	23.93	33.3	29.48	51.35	56.68	38.95	18.03	25.72	27.44	16.51	19.82	60.82	29.91	17.13	33.78	19.68	37.85	13.83	80.01	25.91	105.15	16.15	11.55	92.7	30.78	33.06	55.89	25.91	20.26	99.43	19.82	57.08	42.11	53.95	76.17	26.1	45.21	23.93	70.51	10.47	23.93	6.52	14.67	45.21	27.64	39.79	29.48	45.21	38.95	46.18	3.59	17.51	5.19	20.56	138.1	22.92	46.84	50.27	15.56	44.57	24.81	46.84	76.71	11.73	20.41	53.57	54.72	11.13	52.82	20.26	61.68	14.35	62.56	19.97	26.1	33.3	72.01	56.68	61.68	52.45	41.81	24.11	101.54	147.06	28.04	10.08	42.71	10.79	35.5	7.34	39.22	21.78	78.34	29.06	17.77	31.67	16.27	18.7	33.06	17.38	82.29	79.45	110.43	122.64	9.93	152.28	19.11	16.63	80.01	12.45	20.11	16.63	53.19	8.19	39.22	66.65	94.01	17.51	24.11	23.93	14.14	44.25	31.9	13.72	54.33	37.32	41.22	47.17	20.11	320.8	4.39	42.71	12.27	38.4	37.32	16.15	30.12	101.54	37.05	27.44	47.17	26.1	18.43	27.84	18.16	12.74	12.27	85.82	34.75	58.3	42.71	48.87	63.0	93.35	11.3	100.13	65.72
GNB5	387.02	339.14	267.73	138.1	226.54	438.59	500.46	389.72	242.88	379.04	234.57	307.69	497.0	194.36	454.09	98.73	187.71	493.56	373.81	301.33	273.37	218.79	287.01	314.17	346.29	486.75	167.9	269.6	525.39	358.54	277.2	417.77	366.09	327.56	356.05	262.2	420.68	438.59	363.56	88.88	406.31	432.53	251.48	201.25	303.44	420.68	289.02	429.54	232.94	249.73	132.44	255.0	119.26	429.54	255.0	463.65	518.15	271.48	414.87	209.84	253.23	199.85	153.34	348.71	217.27	279.14	295.11	211.31	376.41	208.38	153.34	500.46	157.68	371.22	536.45	258.57	368.65	297.17	237.86	277.2	277.2	381.68	273.37	198.47	493.56	211.31	199.85	116.78	336.79	301.33	392.44	299.25	81.71	156.59	255.0	283.05	463.65	358.54	384.34	444.72	154.42	529.06	199.85	237.86	379.04	341.51	90.14	312.0	295.11	206.94	197.09	447.82	457.25	277.2	450.94	320.8	387.02	249.73	189.02	356.05	281.09	253.23	239.52	329.84	397.93	463.65	293.07	180.02	293.07	287.01	371.22	279.14	173.85	214.27	325.29	334.46	228.13	153.34	173.85	273.37	139.07	162.14	343.89	543.96	389.72	444.72	285.03	368.65	215.77	229.72	226.54	142.01	212.78	218.79	305.55	189.02	361.04	275.28	277.2	271.48	164.42	392.44	239.52	351.14	189.02	175.07	281.09	327.56	162.14	223.41	224.97	265.87	368.65	463.65	341.51	361.04	202.66	249.73	258.57	447.82	285.03	320.8	353.59	381.68	253.23	226.54	166.73	224.97	277.2	414.87	323.03	466.88	432.53	500.46	540.19	450.94	260.38	638.15	334.46
GNG2	94.01	83.45	36.79	22.92	63.45	95.34	145.02	199.85	54.33	90.14	32.59	176.29	176.29	17.0	59.13	25.54	23.42	112.77	76.71	64.8	77.25	92.05	65.72	65.72	63.45	173.85	64.8	63.45	158.79	138.1	84.63	145.02	110.43	128.79	9.63	77.25	151.22	107.38	56.68	36.53	122.64	60.82	112.77	70.01	105.15	96.68	107.38	23.59	56.68	108.9	49.91	74.06	88.88	186.4	75.11	82.87	90.14	66.18	98.04	21.47	111.21	61.25	62.12	21.32	55.89	148.09	60.39	189.02	118.43	90.77	80.01	221.86	71.5	73.54	163.28	194.36	148.09	50.63	63.0	66.65	194.36	75.64	40.07	38.4	41.52	100.13	87.03	95.34	123.5	67.12	182.55	156.59	18.97	34.02	56.28	56.28	229.72	43.02	72.01	134.3	36.79	104.42	97.36	91.41	136.19	49.91	32.36	132.44	110.43	72.01	72.01	105.15	132.44	67.12	170.25	88.26	155.5	118.43	63.89	139.07	78.89	58.3	124.37	115.97	139.07	55.1	23.93	98.04	73.54	39.22	58.3	19.97	61.68	61.25	84.63	46.18	55.49	76.17	84.63	126.12	56.28	41.22	41.81	275.28	329.84	353.59	71.5	176.29	38.67	63.89	71.5	35.76	61.25	19.68	101.54	24.11	119.26	154.42	173.85	90.77	33.78	100.83	37.85	128.79	66.65	48.52	102.97	221.86	88.88	45.21	46.5	165.57	11.64	198.47	110.43	110.43	96.01	49.21	90.14	95.34	93.35	181.28	97.36	71.0	28.24	22.59	24.99	49.91	33.3	123.5	90.14	90.77	90.14	178.77	141.02	193.01	88.88	358.54	141.02
GPLD1	14.78	12.55	18.29	5.45	8.51	19.25	46.5	14.78	10.0	20.71	11.64	18.29	38.95	6.84	26.47	6.73	7.4	29.91	20.11	22.1	14.56	13.32	13.12	24.63	11.3	35.0	20.56	17.13	24.28	13.83	18.56	23.76	4.78	24.63	5.87	16.39	32.59	20.41	10.71	6.73	16.88	32.36	36.01	15.11	20.11	31.0	15.56	0.27	11.04	38.95	9.78	27.84	6.73	31.0	20.56	24.99	26.67	14.67	19.82	22.59	18.03	16.63	3.56	13.12	28.04	12.0	16.63	18.56	22.75	12.0	6.36	20.11	9.85	18.43	51.35	11.82	22.59	13.12	9.93	20.26	32.59	23.42	14.24	7.51	14.89	17.0	5.96	16.63	17.64	18.03	30.34	23.59	2.58	16.51	9.48	9.06	58.3	16.03	21.63	35.5	2.39	29.91	12.55	21.16	13.22	8.92	5.82	24.28	22.1	22.26	3.56	29.48	9.48	23.25	34.51	32.36	11.82	10.47	23.08	17.9	14.14	30.56	7.4	36.27	16.75	2.73	10.96	12.36	24.28	6.89	88.88	11.3	11.38	10.31	24.99	21.32	13.42	13.72	5.32	10.63	12.36	6.31	2.18	21.47	21.47	47.5	9.34	37.05	15.22	19.11	7.94	8.32	26.1	14.89	25.17	5.77	48.52	50.63	32.13	3.35	9.56	20.86	2.48	8.92	9.41	8.58	19.11	21.47	15.91	16.39	11.13	17.38	9.34	22.1	7.0	13.62	4.78	8.25	16.39	19.11	18.43	24.46	13.32	12.83	11.55	13.03	11.13	7.57	19.39	22.43	21.63	52.08	33.78	33.3	51.71	32.82	20.11	34.02	28.86
GXYLT2	31.67	40.07	6.67	4.82	21.63	22.92	34.02	49.91	19.68	26.86	3.86	21.78	63.89	2.84	18.03	7.46	11.38	32.13	21.63	18.16	17.13	14.89	14.89	11.91	17.13	81.14	8.32	5.63	49.21	16.39	63.89	34.26	17.13	43.63	5.54	30.12	102.97	39.5	23.25	15.34	28.86	36.53	26.28	18.84	33.3	34.02	14.24	4.43	26.67	33.06	18.16	21.94	20.41	50.98	31.9	28.65	21.01	25.17	37.32	8.78	29.48	19.97	20.71	9.48	11.47	19.82	18.84	37.85	35.25	20.86	21.32	41.22	11.64	27.64	48.52	50.27	64.34	9.93	13.83	11.73	43.94	26.28	23.59	33.06	15.11	18.29	14.78	15.0	41.52	33.78	27.44	48.52	1.57	5.87	18.7	14.03	81.71	12.45	19.53	34.75	12.74	59.13	22.92	15.0	62.56	21.63	15.45	44.89	32.13	16.51	20.11	13.72	23.76	21.63	78.89	32.59	40.36	53.19	26.28	52.08	20.56	16.39	30.34	27.64	37.59	27.25	2.97	11.73	37.59	6.26	17.25	5.32	17.0	20.41	26.28	13.12	16.39	18.97	20.56	22.92	24.28	8.0	4.13	93.35	55.1	107.38	43.02	112.77	18.03	28.04	14.35	13.72	10.63	16.15	13.52	3.89	40.93	43.32	54.72	25.17	15.45	20.86	11.91	27.05	32.36	4.54	29.06	30.34	31.67	10.0	21.16	29.48	5.63	99.43	19.11	30.34	50.98	12.27	26.86	75.11	24.63	34.51	24.99	10.63	9.85	14.78	15.68	10.71	13.32	33.3	42.41	51.71	23.25	57.49	32.82	34.75	28.24	88.88	43.02
HEG1	180.02	136.19	76.71	39.5	88.26	277.2	371.22	309.83	241.19	255.0	43.02	176.29	361.04	50.27	176.29	93.35	80.01	161.02	113.56	69.52	127.89	113.56	116.78	97.36	119.26	348.71	178.77	67.12	251.48	119.26	127.89	193.01	93.35	178.77	20.26	229.72	305.55	199.85	125.24	89.51	122.64	120.94	209.84	166.73	186.4	211.31	275.28	98.73	73.03	144.01	144.01	167.9	91.41	226.54	180.02	178.77	206.94	60.82	177.53	146.03	191.67	96.01	138.1	363.56	151.22	126.12	159.9	201.25	170.25	98.73	89.51	255.0	82.87	194.36	299.25	172.65	353.59	293.07	95.34	156.59	244.57	171.45	148.09	62.12	157.68	147.06	65.26	123.5	169.07	249.73	295.11	178.77	28.04	170.25	50.98	77.79	748.61	158.79	125.24	249.73	55.49	305.55	127.89	110.43	289.02	52.45	52.08	239.52	234.57	77.79	116.78	258.57	190.34	86.43	309.83	156.59	129.69	166.73	309.83	332.14	121.79	153.34	125.24	166.73	320.8	190.34	60.82	75.11	172.65	229.72	161.02	68.55	108.9	145.02	497.0	123.5	76.17	171.45	80.01	71.0	81.71	58.3	69.03	256.78	224.97	563.18	105.15	902.89	147.06	138.1	87.65	68.07	86.43	53.57	180.02	63.45	234.57	251.48	353.59	89.51	142.01	187.71	126.12	332.14	75.64	76.71	314.17	295.11	152.28	206.94	115.97	295.11	49.91	241.19	76.17	209.84	146.03	120.1	131.51	420.68	162.14	232.94	178.77	74.06	129.69	291.04	127.89	102.25	68.55	169.07	218.79	358.54	206.94	293.07	287.01	256.78	94.67	525.39	426.57
ILDR2	7.94	7.34	4.21	1.66	5.36	9.2	19.68	11.21	10.24	21.01	3.2	4.06	16.75	1.31	10.31	2.97	4.58	11.47	5.77	6.36	7.63	6.52	2.61	4.7	3.89	17.51	2.84	2.89	10.63	12.0	11.55	53.19	6.16	13.83	1.36	9.27	15.56	15.8	3.47	2.97	6.78	8.99	16.75	6.52	11.04	11.3	3.38	9.2	3.14	8.38	5.19	15.0	4.46	23.59	7.51	23.93	4.82	3.99	9.85	2.01	18.7	24.28	2.34	3.99	5.5	10.88	7.57	8.99	8.38	3.11	5.11	12.18	5.92	7.69	19.39	7.51	7.4	5.19	3.2	6.41	10.79	18.43	7.0	1.95	3.23	10.47	3.69	0.42	8.19	9.13	20.86	6.67	1.58	2.84	8.99	6.06	24.46	13.52	4.5	9.06	3.59	8.99	6.06	7.75	3.96	4.43	6.52	10.55	8.19	4.9	15.45	10.08	6.94	12.09	19.82	11.13	7.28	4.86	10.47	12.09	11.21	3.44	6.16	12.93	6.57	4.46	4.86	4.74	14.56	2.14	12.83	6.01	7.88	6.36	4.5	7.0	6.57	4.13	4.28	6.89	2.78	3.72	2.41	21.16	7.4	40.64	5.82	31.22	1.71	6.46	1.99	5.11	5.73	2.39	7.69	3.29	12.18	14.89	32.59	7.22	2.66	10.39	2.73	5.92	3.96	1.99	19.68	10.24	8.99	5.41	6.21	6.11	1.23	17.25	10.55	10.47	5.82	2.73	9.78	17.38	6.57	7.88	11.21	6.62	1.97	3.23	3.06	7.0	5.11	5.68	13.72	18.97	21.47	16.39	17.25	23.25	9.13	23.25	7.88
ITGA1	271.48	228.13	107.38	34.26	129.69	267.73	532.74	303.44	122.64	361.04	59.13	119.26	759.08	34.02	466.88	61.25	167.9	287.01	239.52	242.88	205.5	115.16	248.0	176.29	111.99	587.13	146.03	91.41	236.21	220.32	518.15	251.48	217.27	412.0	23.25	267.73	450.94	334.46	143.01	94.01	209.84	255.0	325.29	223.41	336.79	218.79	262.2	718.08	143.01	248.0	85.82	248.0	104.42	351.14	191.67	470.14	177.53	132.44	255.0	41.81	218.79	842.36	87.03	105.15	239.52	118.43	161.02	218.79	447.82	49.21	108.9	457.25	163.28	246.28	599.49	264.03	567.1	83.45	75.64	96.01	341.51	255.0	120.1	37.32	71.0	285.03	128.79	132.44	307.69	260.38	514.56	241.19	29.7	87.03	152.28	127.89	890.44	111.21	122.64	435.55	51.71	444.72	173.85	195.72	283.05	101.54	55.89	316.37	412.0	108.9	217.27	256.78	194.36	194.36	457.25	339.14	309.83	215.77	228.13	389.72	289.02	99.43	195.72	361.04	373.81	339.14	165.57	136.19	356.05	57.08	343.89	94.67	176.29	152.28	244.57	125.24	170.25	253.23	118.43	241.19	75.11	55.1	64.34	656.11	420.68	1119.56	162.14	974.5	86.43	165.57	76.71	61.25	172.65	82.87	126.12	54.33	463.65	486.75	651.58	185.11	81.71	267.73	92.7	135.24	120.1	52.45	256.78	341.51	260.38	112.77	199.85	397.93	19.11	579.04	211.31	336.79	229.72	132.44	163.28	293.07	131.51	264.03	262.2	155.5	63.0	103.69	75.64	101.54	101.54	181.28	221.86	616.37	457.25	281.09	480.04	435.55	211.31	1088.92	397.93
ITGB1	2855.44	3303.0	3190.46	1286.18	2303.12	3901.01	5041.77	4123.49	2271.4	3564.78	1159.07	2400.97	7749.1	1639.59	3190.46	2004.85	1721.16	3146.52	2997.45	3614.55	2758.13	2537.92	2609.3	3540.14	3081.75	5791.62	3060.45	2835.7	4123.49	3325.99	3742.05	2895.31	2240.11	4903.87	1709.26	3190.46	5791.62	4010.71	2720.15	2400.97	3081.75	3325.99	3665.02	2997.45	3146.52	3564.78	3491.39	1963.57	2816.11	3081.75	2255.7	3768.09	2502.97	4543.8	2609.3	3614.55	3419.52	2367.9	4095.0	3039.3	3443.31	3081.75	1832.01	2434.5	2664.15	4123.49	2758.13	3039.3	3665.02	2061.24	2451.44	5041.77	2875.3	4010.71	5633.22	2720.15	5006.93	3039.3	2178.83	2520.38	3168.41	2777.33	2104.58	2417.67	2875.3	3820.7	3081.75	2434.5	2835.7	3467.27	4836.35	2915.45	934.76	2303.12	1977.24	2573.36	8778.97	3847.29	2609.3	7130.55	1806.78	4239.45	2739.08	3124.78	4298.64	2468.49	1225.22	3018.3	4152.18	3168.41	3768.09	3419.52	2178.83	2468.49	5292.48	4328.55	3039.3	3124.78	2835.7	3467.27	4038.61	3928.15	3589.58	3874.05	3491.39	3614.55	2163.77	2178.83	2758.13	2855.44	4671.57	2701.35	2193.99	2520.38	2796.65	3794.3	2997.45	2537.92	2178.83	3060.45	2485.67	3124.78	2061.24	8421.31	4358.66	8538.88	1870.53	7081.29	2163.77	1857.6	1806.78	2537.92	3901.01	2468.49	2956.17	2367.9	3982.99	4543.8	5006.93	2032.85	3419.52	2935.74	2287.2	2018.8	2609.3	2451.44	2627.46	3124.78	3212.66	3103.19	3018.3	3443.31	2451.44	4123.49	2720.15	3467.27	2835.7	2209.26	2287.2	4575.41	2520.38	2485.67	2720.15	2209.26	1883.54	3081.75	2271.4	2032.85	1806.78	3515.68	3081.75	4268.94	4181.07	3419.52	3955.48	5329.3	3124.78	8022.41	4972.34
