	TCGA.GV.A3QG.01A.11R.A220.07	TCGA.BT.A2LB.11A.11R.A18C.07	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.BH.A0H5.01A.21R.A115.07	TCGA.B6.A0RT.01A.21R.A084.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZT9X.0526.SM.5GCOP	GTEX.13111.0826.SM.5LZV3	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	TCGA.DQ.7593.01A.11R.2232.07	TCGA.CR.7391.01A.11R.2016.07	TCGA.CV.A468.01A.11R.A266.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CR.7393.01A.11R.2016.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.HD.8635.11A.01R.2403.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.73.4666.01A.01R.1206.07	TCGA.MP.A4TJ.01A.51R.A262.07	GTEX.X4EO.0926.SM.3P5Z2	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
SLAMF6	312.0	92.05	988.12	1844.76	947.83	728.11	18.7	228.13	2.16	8.58	30.78	53.19	2.92	4.9	41.22	47.17	18.43	24.46	15.68	9.48	10.79	34.26	8.65	4.66	30.34	185.11	141.02	4.58	10.47	353.59	146.03	102.25	217.27	191.67	83.45	30.78	68.07	10.96	74.58	67.12	17.64	29.06	127.0	368.65	1340.84	1.71	73.03	44.57	25.35	10.47	4.82	0.6
SLAMF8	890.44	111.99	647.07	738.29	1369.04	848.22	34.02	339.14	117.6	37.59	183.82	173.85	101.54	55.89	295.11	138.1	178.77	100.83	78.89	116.78	142.01	121.79	249.73	28.04	52.08	587.13	161.02	20.26	43.94	339.14	457.25	269.6	511.0	406.31	152.28	88.26	208.38	38.95	220.32	159.9	48.52	65.72	878.17	902.89	1870.53	36.79	51.71	78.89	27.25	22.26	19.82	11.73
SNX20	351.14	80.57	728.11	961.07	444.72	723.08	37.05	256.78	17.25	10.08	46.18	90.14	14.78	51.35	57.89	50.63	61.25	49.21	41.52	43.32	51.35	52.45	33.3	13.62	55.1	389.72	180.02	3.59	19.39	379.04	211.31	167.9	241.19	325.29	121.79	46.18	121.79	23.25	111.99	149.12	14.89	71.5	140.04	301.33	1529.73	42.71	71.5	56.28	114.36	16.39	15.0	13.32
SP140	669.92	141.02	1313.23	1447.15	507.46	638.15	21.78	228.13	19.68	13.42	31.0	102.97	13.52	45.21	58.3	197.09	45.85	46.18	19.25	14.24	25.91	71.5	27.64	16.75	63.89	221.86	108.9	6.36	8.85	356.05	154.42	180.02	175.07	122.64	92.7	26.47	92.7	4.98	49.56	81.71	22.43	37.32	154.42	429.54	2061.24	7.88	31.67	22.43	31.0	11.82	0.83	4.17
SPN	351.14	103.69	988.12	928.3	698.41	825.0	74.06	348.71	27.05	9.63	57.89	98.73	9.78	18.16	52.45	49.21	51.35	73.03	66.18	38.67	47.84	52.08	67.12	9.34	70.01	591.22	199.85	11.82	22.43	343.89	299.25	231.32	277.2	551.56	172.65	102.97	218.79	38.67	175.07	224.97	27.05	94.01	180.02	320.8	2090.03	72.01	137.14	152.28	275.28	31.22	9.85	28.86
SPOCK2	1191.69	406.31	3235.01	2701.35	1832.01	2104.58	38.67	878.17	34.75	88.88	97.36	193.01	31.22	34.75	255.0	155.5	123.5	85.82	138.1	56.28	74.06	126.12	44.25	43.32	118.43	1030.12	403.5	15.8	24.46	3794.3	543.96	583.07	848.22	848.22	275.28	110.43	412.0	51.71	195.72	343.89	62.56	156.59	361.04	1030.12	8022.41	71.5	493.56	86.43	89.51	36.27	35.25	18.7
STAT4	114.36	78.89	429.54	796.86	271.48	450.94	48.52	180.02	28.45	13.03	37.85	96.68	30.78	23.42	87.03	108.14	55.49	76.71	29.91	25.17	36.53	59.97	40.64	15.0	42.41	152.28	82.29	4.31	28.65	145.02	84.63	123.5	139.07	134.3	40.36	29.48	55.49	17.64	33.3	67.12	18.43	19.25	208.38	318.57	1015.93	12.0	85.82	7.75	20.11	5.87	9.78	8.92
SUSD3	426.57	100.13	981.29	1709.26	4210.15	825.0	12.18	327.56	21.01	13.03	65.26	138.1	11.82	13.52	40.93	69.52	88.26	115.16	49.56	40.64	30.34	48.18	41.81	24.11	97.36	358.54	131.51	16.51	49.21	483.38	208.38	217.27	177.53	264.03	126.12	56.68	128.79	80.57	113.56	112.77	23.42	94.67	190.34	309.83	1397.83	25.72	107.38	58.71	73.54	11.21	14.78	29.27
TAGAP	376.41	129.69	995.0	1104.13	540.19	432.53	28.24	132.44	12.55	15.0	38.95	72.52	8.32	6.16	45.53	26.47	33.78	32.36	26.47	15.0	48.52	31.22	15.22	5.32	43.63	206.94	116.78	1.06	14.67	457.25	143.01	90.14	325.29	329.84	95.34	42.71	120.1	19.97	74.06	137.14	48.87	66.65	156.59	412.0	928.3	21.94	68.55	52.08	84.63	17.13	3.17	13.83
TBC1D10C	921.88	271.48	2090.03	3190.46	1127.35	1397.83	180.02	743.43	27.44	28.45	94.67	195.72	14.56	29.7	89.51	91.41	95.34	90.14	51.71	60.39	69.03	81.14	41.22	38.67	152.28	647.07	525.39	31.22	67.12	1059.11	283.05	500.46	287.01	387.02	197.09	77.79	221.86	54.33	157.68	320.8	50.63	155.5	248.0	656.11	7485.11	13.42	113.56	52.08	190.34	12.74	14.14	25.54
TESPA1	242.88	72.52	665.29	1151.06	381.68	563.18	7.94	180.02	7.88	5.15	36.53	65.26	7.0	3.23	42.71	27.05	22.26	31.0	22.43	14.67	17.25	27.25	13.12	10.31	55.1	131.51	73.54	0.6	16.27	209.84	90.14	68.55	108.9	214.27	82.29	15.0	57.49	4.39	51.35	60.39	12.74	27.84	57.49	231.32	1167.14	11.64	36.01	38.67	20.11	4.9	11.82	7.46
TIGIT	279.14	65.72	728.11	1819.35	612.11	866.07	40.07	231.32	12.0	2.2	17.64	68.07	2.58	7.22	41.22	55.49	28.04	13.93	21.47	7.82	11.73	23.76	15.45	2.76	24.99	126.12	123.5	0.6	12.18	420.68	201.25	234.57	334.46	260.38	100.13	33.54	66.18	6.84	87.03	58.3	17.51	29.06	193.01	441.64	483.38	29.48	78.34	23.08	54.72	23.25	6.21	0.31
TMEM156	172.65	40.93	532.74	961.07	248.0	260.38	28.86	102.25	5.41	2.25	7.57	46.18	0.95	0.56	9.93	9.06	2.03	6.78	6.94	8.19	8.45	12.0	3.56	3.06	15.11	59.97	43.94	1.25	6.21	231.32	55.89	74.06	71.0	79.45	57.89	15.34	40.36	2.94	8.85	21.63	11.55	25.35	384.34	214.27	215.77	0.99	8.58	14.35	21.16	5.73	0.0	4.86
TNFAIP8L2	303.44	50.63	521.76	1015.93	480.04	529.06	19.68	228.13	37.05	21.16	71.5	89.51	24.99	17.13	81.71	32.82	126.12	65.26	42.71	56.28	69.03	49.56	61.25	16.75	65.72	303.44	94.01	6.01	30.34	314.17	232.94	209.84	189.02	258.57	123.5	46.84	108.9	38.95	107.38	99.43	21.78	70.01	165.57	299.25	400.71	36.53	59.97	84.63	80.01	46.18	38.4	22.43
TNFRSF4	289.02	90.77	260.38	738.29	320.8	532.74	21.78	260.38	36.01	26.86	71.0	147.06	33.78	24.11	98.04	128.79	104.42	42.71	66.18	38.67	105.89	101.54	62.56	12.74	43.63	155.5	69.52	26.47	11.73	199.85	253.23	336.79	325.29	255.0	73.54	12.83	51.71	7.34	35.76	115.16	14.03	28.45	132.44	460.44	368.65	13.62	21.94	13.52	18.43	22.1	6.26	5.23
TRAT1	153.34	25.35	403.5	808.0	228.13	450.94	3.76	165.57	1.27	0.84	6.78	23.25	0.3	4.13	14.03	20.71	2.36	11.47	8.78	3.76	2.58	10.79	1.91	0.0	6.16	112.77	52.82	0.0	1.66	154.42	51.35	57.89	66.18	111.21	36.27	18.97	54.72	10.47	32.36	53.57	1.58	11.21	72.01	176.29	1369.04	61.25	36.79	1.01	10.31	3.86	0.64	1.41
UBASH3A	120.1	31.0	303.44	409.15	208.38	293.07	39.5	152.28	1.93	2.61	11.82	29.7	0.91	0.58	18.84	21.16	17.9	15.22	12.36	7.28	9.93	7.11	5.5	0.59	13.83	87.03	52.82	0.0	5.23	126.12	55.89	55.1	69.03	100.83	49.21	22.43	53.95	7.4	31.67	60.82	9.56	21.47	47.84	144.01	616.37	10.55	25.54	10.39	26.67	3.92	9.85	0.48
WAS	848.22	255.0	1844.76	2384.37	1111.82	1044.52	30.12	486.75	80.57	38.4	152.28	301.33	56.28	73.03	201.25	182.55	199.85	124.37	94.01	107.38	128.79	153.34	132.44	55.49	182.55	708.18	397.93	26.28	36.27	769.69	371.22	409.15	669.92	612.11	209.84	99.43	239.52	29.7	246.28	239.52	43.94	130.6	397.93	698.41	2682.69	31.22	78.34	100.83	85.22	45.85	33.3	32.59
ZNF831	28.45	17.9	123.5	163.28	74.58	90.14	2.81	35.0	0.0	0.47	3.86	9.34	0.0	0.21	5.68	7.0	2.16	4.24	1.85	1.06	1.85	2.43	0.62	0.67	4.94	21.78	17.13	0.77	2.53	38.67	19.11	10.39	32.36	37.85	9.27	4.28	14.67	1.27	9.41	14.67	1.23	4.54	11.3	41.22	285.03	3.96	22.43	4.98	3.0	0.95	1.07	1.14
