	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.DK.AA77.01A.11R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.4Z.AA7S.01A.11R.A39I.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A8HI.01A.11R.A38B.07	TCGA.XF.A8HG.01A.11R.A36F.07	GTEX.11TT1.1026.SM.5PNW7	TCGA.05.5715.01A.01R.1628.07	TCGA.44.7672.01A.11R.2066.07	TCGA.05.5429.01A.01R.1628.07	TCGA.78.7540.01A.11R.2066.07	TCGA.49.4506.01A.01R.1206.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	GTEX.12584.1426.SM.5EGJ9	GTEX.OXRN.0526.SM.2I5EN	GTEX.11PRG.0926.SM.5EGI8	GTEX.11GSP.0726.SM.5986L	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.13QJ3.1026.SM.5QGQU	GTEX.SN8G.0926.SM.4DM5I	GTEX.111VG.0726.SM.5GIDC	GTEX.14DAR.0226.SM.5S2PR	GTEX.X4EP.0526.SM.3P5YW	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.ZP4G.0726.SM.4WWF2
FXYD6	842.36	46.18	86.43	25.72	18.56	37.85	131.51	11.55	15.56	18.56	17.25	28.65	40.07	18.43	33.06	6294.04	154.42	23.76	47.17	15.68	264.03	138.1	151.22	63.0	6.41	154.42	152.28	34.02	1175.27	327.56	67.59	150.17	253.23	20.11	105.15	22.26	98.04	25.35	2178.83	32.82	154.42	33.3	37.59	34.75	133.36	583.07	947.83	212.78	460.44	151.22	2209.26	3820.7	2935.74	1369.04	1977.24	2224.63	3325.99	9088.59	4328.55	3212.66	5076.84	17197.56	5076.84	4869.99	5041.77	1617.0	2119.22	3060.45	4607.24	6983.79	2591.27	2777.33	395.18	988.12	988.12	14561.8
GAS6	708.18	571.05	423.61	334.46	283.05	454.09	1417.35	559.28	647.07	249.73	299.25	170.25	241.19	246.28	214.27	4450.27	607.87	397.93	169.07	470.14	483.38	579.04	1037.29	651.58	327.56	753.83	934.76	153.34	4575.41	884.29	406.31	476.71	426.57	87.65	454.09	109.66	748.61	163.28	4704.07	236.21	423.61	395.18	323.03	293.07	848.22	902.89	1721.16	723.08	1081.39	514.56	7589.61	15934.98	4736.79	3491.39	2664.15	4903.87	5076.84	17078.76	4639.29	10659.59	5995.9	13872.08	14663.09	8078.22	7485.11	4095.0	3212.66	10084.54	6840.04	13399.51	9215.48	5913.33	9673.69	6840.04	4736.79	5594.3
GAS7	105.89	17.38	8.38	11.3	3.23	28.45	35.5	10.16	1.87	3.99	11.04	14.56	48.52	8.38	9.27	285.03	42.11	3.11	6.94	8.45	43.32	103.69	48.87	84.04	10.08	37.05	44.89	12.83	157.68	44.89	217.27	28.45	92.7	7.75	48.18	10.31	15.22	3.63	356.05	13.93	84.04	4.58	11.47	9.85	150.17	173.85	343.89	61.68	88.88	45.21	733.19	185.11	176.29	156.59	178.77	473.41	241.19	444.72	305.55	206.94	47.5	289.02	567.1	941.27	638.15	579.04	341.51	120.1	248.0	215.77	231.32	43.32	59.97	43.02	63.89	785.88
GJC2	37.05	9.78	11.64	62.12	7.69	11.91	7.0	9.06	4.82	62.12	1.85	43.94	2.86	45.53	3.47	161.02	9.78	22.59	6.84	31.45	13.42	20.86	23.25	7.28	3.44	26.47	4.54	6.36	27.05	11.82	6.73	17.13	9.93	2.58	9.85	7.51	12.45	16.03	27.44	12.27	9.78	9.85	19.97	2.36	6.21	27.84	23.25	226.54	92.7	17.51	38.12	69.52	13.62	15.34	52.82	58.3	49.91	363.56	131.51	176.29	101.54	64.34	120.1	59.97	87.65	28.24	133.36	32.13	83.45	72.01	34.26	17.13	25.72	14.89	110.43	392.44
GNG11	928.3	323.03	157.68	63.0	49.56	57.89	108.9	33.78	75.64	75.64	29.27	103.69	74.06	73.03	75.64	866.07	269.6	89.51	72.01	65.26	152.28	559.28	287.01	113.56	38.12	255.0	79.45	69.52	189.02	162.14	101.54	273.37	133.36	47.17	181.28	113.56	205.5	121.79	323.03	80.01	142.01	113.56	153.34	21.32	204.07	341.51	221.86	182.55	212.78	307.69	3540.14	3235.01	2004.85	1119.56	665.29	708.18	693.58	4450.27	1662.49	3467.27	3847.29	13215.02	3928.15	2384.37	1250.98	1037.29	961.07	1447.15	2148.82	3639.7	3103.19	320.8	285.03	314.17	379.04	1427.22
GNG2	283.05	41.52	50.27	10.31	9.27	23.59	42.71	9.48	8.25	18.7	55.49	42.71	66.18	18.84	11.3	246.28	94.67	13.12	20.56	7.22	72.52	307.69	103.69	96.68	16.88	49.56	60.82	38.95	133.36	58.3	33.54	56.68	127.0	34.26	69.03	29.7	17.13	35.25	158.79	59.13	73.54	23.08	62.56	11.47	231.32	104.42	329.84	118.43	65.72	121.79	1388.16	967.76	232.94	305.55	293.07	607.87	260.38	909.17	967.76	525.39	1427.22	769.69	368.65	373.81	651.58	205.5	429.54	170.25	791.35	376.41	454.09	96.68	164.42	83.45	102.97	265.87
GPM6A	131.51	0.36	0.33	0.0	0.0	4.74	2.23	0.0	2.12	0.92	0.0	1.77	0.0	0.33	4.82	17.38	0.39	0.62	1.38	0.0	2.2	0.85	1.19	0.0	2.84	7.46	0.34	5.11	3.72	4.94	0.32	3.69	3.2	0.97	0.0	6.21	13.12	1.48	6.16	3.14	4.28	0.0	1.89	0.0	7.88	29.7	5.54	2.03	29.7	3.92	187.71	2209.26	287.01	2075.59	199.85	1081.39	1477.58	1457.23	406.31	753.83	503.95	3372.43	2875.3	214.27	303.44	1015.93	119.26	2520.38	4328.55	1331.57	1923.14	9.2	7.75	8.06	8.45	67.59
GPM6B	93.35	22.92	21.16	17.51	10.96	7.22	8.99	6.89	6.67	8.78	3.99	15.56	20.11	3.89	24.63	63.45	14.67	14.35	75.64	6.57	21.16	10.71	10.71	14.89	8.58	32.36	59.55	22.26	32.13	34.51	30.78	19.68	11.3	23.93	43.94	8.19	26.1	31.9	87.65	11.82	13.22	7.4	20.26	5.92	38.67	41.81	47.84	34.02	24.46	58.3	180.02	320.8	267.73	121.79	73.54	323.03	463.65	178.77	301.33	454.09	271.48	909.17	1015.93	417.77	884.29	543.96	356.05	684.02	633.73	656.11	423.61	40.07	21.01	47.84	40.36	115.16
GPR124	836.53	205.5	87.03	54.72	37.05	21.47	118.43	21.63	51.35	54.33	24.28	54.72	62.12	20.56	45.53	848.22	193.01	40.93	76.17	30.56	161.02	42.11	82.29	127.0	12.74	189.02	36.27	48.52	281.09	171.45	78.34	128.79	260.38	22.26	226.54	38.95	115.16	80.57	1008.9	52.08	94.01	77.25	114.36	28.24	69.03	187.71	435.55	102.97	65.26	51.35	521.76	579.04	423.61	150.17	473.41	260.38	182.55	1605.83	486.75	591.22	291.04	967.76	830.75	698.41	633.73	88.88	211.31	262.2	363.56	521.76	314.17	125.24	121.79	115.16	242.88	967.76
GPR133	92.05	6.52	1.64	1.04	0.33	4.5	23.25	1.68	4.28	4.28	0.65	8.58	16.27	4.82	6.94	450.94	6.46	8.25	5.87	14.56	27.64	2.32	5.73	6.36	0.33	25.54	31.0	3.38	118.43	15.0	25.35	43.94	21.16	1.33	6.06	3.38	10.79	6.26	244.57	0.91	33.3	5.82	4.82	0.0	98.73	130.6	285.03	20.56	68.07	22.26	323.03	1605.83	872.1	241.19	454.09	5711.87	1388.16	836.53	103.69	5594.3	1427.22	4298.64	2075.59	1331.57	1963.57	2591.27	89.51	1721.16	1322.37	275.28	1769.57	90.77	426.57	151.22	239.52	376.41
GRASP	1242.34	153.34	80.01	67.12	29.27	58.3	139.07	36.53	48.52	58.71	27.25	43.94	51.35	56.28	42.71	764.36	185.11	74.58	71.5	55.1	217.27	71.0	139.07	90.14	8.99	211.31	98.73	67.12	130.6	117.6	105.89	231.32	147.06	24.46	212.78	72.52	111.99	68.55	156.59	86.43	142.01	68.55	99.43	33.78	202.66	163.28	283.05	100.13	119.26	139.07	1119.56	753.83	733.19	616.37	384.34	2090.03	2796.65	2895.31	2796.65	1508.65	1487.87	3467.27	651.58	1832.01	1487.87	961.07	387.02	2018.8	1639.59	1437.15	1447.15	299.25	368.65	206.94	299.25	514.56
GYPC	674.59	172.65	90.77	64.34	28.45	78.89	260.38	22.1	63.89	62.12	101.54	60.82	180.02	59.97	33.06	2609.3	258.57	37.32	58.71	69.03	236.21	1015.93	599.49	170.25	13.93	190.34	95.34	104.42	595.34	224.97	113.56	152.28	314.17	86.43	275.28	72.52	212.78	69.52	896.64	133.36	258.57	78.89	131.51	121.79	563.18	571.05	1277.29	277.2	384.34	536.45	3820.7	2004.85	1977.24	1104.13	423.61	4607.24	2645.74	3146.52	4671.57	9540.5	1088.92	1322.37	6516.03	20030.74	4181.07	1844.76	6792.79	3280.18	1015.93	1781.89	1757.34	323.03	450.94	371.22	414.87	3395.89
HEG1	603.67	165.57	81.14	70.51	39.5	24.46	141.02	72.52	23.08	45.53	30.56	110.43	44.89	34.75	46.84	199.85	172.65	59.13	53.19	66.18	195.72	358.54	98.73	218.79	24.99	194.36	48.52	90.77	186.4	146.03	77.25	119.26	269.6	30.34	153.34	47.84	117.6	53.19	412.0	28.45	91.41	59.55	166.73	14.24	172.65	346.29	473.41	81.14	136.19	63.89	2485.67	2163.77	612.11	450.94	450.94	688.78	234.57	2319.15	1242.34	2018.8	1191.69	2224.63	1709.26	1340.84	1359.57	1268.46	1331.57	1369.04	3372.43	890.44	1397.83	559.28	305.55	435.55	679.29	748.61
HSPA12B	105.15	28.24	33.3	8.65	17.77	14.03	22.75	5.59	22.59	20.11	10.96	14.14	15.11	7.4	14.03	281.09	54.33	14.35	17.77	18.56	41.81	36.79	78.89	34.26	5.77	71.0	34.51	20.56	74.06	38.67	38.4	59.97	37.85	17.0	66.18	15.68	44.57	15.68	161.02	19.82	67.12	23.08	28.45	7.88	71.5	86.43	88.26	25.72	48.87	27.64	389.72	409.15	336.79	58.3	432.53	99.43	172.65	1628.26	543.96	1044.52	134.3	954.43	703.28	813.63	163.28	460.44	356.05	454.09	293.07	351.14	400.71	100.83	128.79	91.41	117.6	255.0
HSPB2	135.24	50.27	16.51	18.16	6.06	10.63	16.39	6.57	11.21	20.41	7.06	11.82	17.9	7.06	6.94	320.8	28.45	15.8	16.75	11.47	21.16	25.91	94.67	38.12	4.35	55.89	19.82	18.16	102.97	46.5	20.41	34.51	38.12	8.06	55.89	20.71	32.36	17.13	147.06	8.99	24.46	29.7	17.77	7.11	33.54	67.12	143.01	128.79	70.01	38.67	224.97	616.37	150.17	60.82	232.94	175.07	329.84	1268.46	339.14	612.11	371.22	616.37	961.07	909.17	660.68	122.64	241.19	414.87	291.04	603.67	236.21	291.04	420.68	159.9	165.57	842.36
IFFO1	201.25	73.54	37.05	18.43	10.47	31.9	45.53	28.86	23.42	14.67	44.57	36.27	42.11	18.7	20.26	466.88	84.63	22.1	29.48	19.11	50.63	223.41	136.19	64.34	17.0	87.65	30.78	25.91	152.28	61.25	40.93	43.63	84.04	33.06	100.13	14.03	73.54	25.17	166.73	44.57	51.71	25.91	47.84	21.32	88.88	115.97	249.73	60.39	87.03	100.13	178.77	599.49	353.59	571.05	684.02	49.21	420.68	603.67	226.54	802.41	117.6	265.87	599.49	444.72	91.41	314.17	426.57	521.76	126.12	221.86	253.23	130.6	211.31	117.6	143.01	441.64
JAM2	629.35	57.89	26.28	17.9	6.11	23.93	77.25	8.19	13.62	18.43	6.16	33.54	10.31	17.51	23.42	417.77	111.99	11.3	29.27	39.5	68.55	59.97	76.71	40.07	11.13	105.15	22.75	21.78	114.36	63.89	55.1	67.12	47.17	17.64	62.56	23.76	111.21	10.39	185.11	21.01	52.08	37.32	36.79	7.51	56.28	116.78	132.44	37.59	155.5	43.02	1369.04	1733.13	825.0	466.88	429.54	669.92	638.15	1551.09	500.46	1477.58	909.17	1551.09	4671.57	1127.35	890.44	318.57	1268.46	547.75	1242.34	1008.9	1304.15	119.26	164.42	155.5	273.37	361.04
JAM3	277.2	126.12	78.89	45.85	40.07	30.12	76.17	26.1	92.7	40.07	29.91	38.67	39.5	30.34	37.05	753.83	183.82	51.71	52.45	32.59	128.79	29.06	106.63	72.52	18.03	132.44	50.27	44.57	229.72	149.12	62.56	137.14	131.51	25.17	120.94	53.19	80.57	68.55	547.75	34.26	60.82	59.97	67.59	22.1	159.9	163.28	299.25	145.02	138.1	70.51	651.58	633.73	444.72	253.23	287.01	1313.23	884.29	1199.98	2133.97	1225.22	909.17	1268.46	1819.35	819.3	1519.15	287.01	693.58	336.79	1167.14	1508.65	651.58	180.02	165.57	163.28	226.54	988.12
JAZF1	128.79	32.82	45.53	16.63	5.23	49.91	29.06	28.24	31.9	52.82	98.04	42.41	38.4	10.55	12.74	332.14	71.0	32.82	23.59	51.35	49.56	248.0	187.71	38.67	13.72	50.98	28.24	36.01	169.07	81.14	23.93	88.26	50.98	15.45	53.19	77.79	53.19	38.95	187.71	46.18	55.49	47.17	87.03	14.14	49.91	138.1	157.68	120.94	182.55	57.08	348.71	915.51	285.03	426.57	126.12	323.03	397.93	366.09	395.18	813.63	339.14	638.15	346.29	514.56	728.11	166.73	171.45	251.48	358.54	400.71	332.14	159.9	205.5	165.57	220.32	2032.85
KCNS2	11.55	0.0	0.0	0.0	0.0	1.38	1.28	0.33	0.0	0.0	0.31	0.0	0.29	0.33	0.0	3.92	0.39	0.31	0.69	0.0	0.0	0.29	0.89	0.34	0.0	0.64	0.33	0.31	0.62	0.0	1.53	0.68	1.3	0.0	0.36	0.0	0.74	0.3	7.28	0.29	0.93	0.0	0.64	0.0	12.09	5.82	4.62	1.62	0.46	1.01	1.22	0.34	3.92	0.56	2.76	1.6	1.16	1.08	0.77	4.86	0.0	0.33	2.48	1.45	1.79	2.12	0.71	1.68	1.46	1.1	0.53	0.0	0.0	0.85	0.0	4.17
KIAA1462	150.17	133.36	92.05	47.84	45.21	154.42	80.57	21.63	53.19	30.56	26.86	57.08	28.24	33.54	34.02	656.11	127.89	65.72	62.12	14.03	248.0	409.15	256.78	69.52	11.21	149.12	37.85	37.32	291.04	144.01	75.11	150.17	90.14	116.78	175.07	64.8	98.04	77.25	329.84	48.87	51.71	31.9	87.03	40.64	51.35	123.5	356.05	69.52	173.85	69.52	571.05	2645.74	748.61	166.73	447.82	248.0	830.75	4639.29	1208.34	2018.8	909.17	3982.99	5954.47	1135.2	346.29	1023.0	2384.37	1697.45	988.12	3794.3	1167.14	587.13	392.44	543.96	743.43	941.27
KIF17	59.13	37.59	7.28	6.31	4.03	8.51	16.51	4.24	7.22	4.24	5.77	5.63	8.78	6.06	4.9	65.26	12.36	5.5	5.82	4.98	14.56	12.36	30.78	6.62	0.89	19.68	9.06	7.57	15.8	8.45	6.41	16.88	23.93	4.5	20.41	6.01	23.76	2.97	24.99	7.46	11.64	16.88	9.78	2.39	16.88	20.71	33.06	16.39	36.79	24.99	78.89	152.28	142.01	44.89	107.38	55.1	84.04	363.56	329.84	293.07	289.02	297.17	563.18	176.29	206.94	176.29	381.68	100.13	106.63	231.32	137.14	19.53	43.94	46.5	67.12	116.78
KLF17	1.71	0.0	0.0	0.0	0.0	1.71	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.64	0.0	0.31	0.0	0.0	1.46	2.81	0.0	0.0	0.0	0.0	0.0	0.0	10.88	1.16	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	27.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	0.46	0.49	0.0	11.21	16.51	11.13	13.52	2.76	0.74	9.13	12.83	2.29	15.34	6.73	14.24	17.25	8.0	14.67	5.45	8.19	5.87	6.41	6.52	12.09	0.0	0.43	0.0	0.0	14.89
LAMA2	144.01	24.46	19.11	22.59	9.56	13.12	84.63	11.82	16.03	8.25	19.53	13.93	33.54	14.78	12.18	211.31	67.12	10.47	12.74	17.13	42.71	11.13	14.35	44.57	32.13	23.08	14.67	26.67	53.95	101.54	43.02	38.12	59.97	8.45	76.71	7.28	16.75	14.56	293.07	19.68	57.89	12.93	25.35	7.17	59.55	90.77	232.94	78.89	45.85	41.81	130.6	92.7	366.09	31.9	246.28	283.05	180.02	156.59	195.72	279.14	91.41	228.13	392.44	432.53	150.17	403.5	206.94	348.71	94.67	60.39	96.68	44.25	85.82	23.76	84.63	567.1
LAMA4	551.56	389.72	265.87	450.94	101.54	77.25	163.28	63.45	70.51	348.71	703.28	486.75	127.0	67.59	143.01	1369.04	305.55	104.42	128.79	49.91	295.11	1369.04	587.13	417.77	57.08	1030.12	95.34	111.21	1001.93	323.03	162.14	327.56	329.84	71.0	521.76	220.32	144.01	199.85	753.83	158.79	145.02	206.94	224.97	30.12	239.52	389.72	591.22	633.73	180.02	195.72	1151.06	1832.01	1397.83	1304.15	909.17	2758.13	4066.71	1963.57	3742.05	698.41	21026.65	2664.15	1844.76	1594.73	6607.01	309.83	3018.3	587.13	3564.78	3103.19	1857.6	444.72	441.64	246.28	497.0	2178.83
LDB2	1369.04	327.56	115.16	32.13	37.59	48.87	92.05	35.5	65.72	68.07	18.7	115.16	34.51	55.89	60.39	316.37	248.0	53.95	88.88	102.97	173.85	44.89	85.22	119.26	46.5	209.84	61.68	77.25	117.6	151.22	87.03	167.9	164.42	45.85	172.65	69.03	182.55	111.21	208.38	66.18	92.05	96.01	131.51	18.43	100.13	221.86	208.38	149.12	206.94	87.03	1127.35	3395.89	1151.06	1167.14	616.37	2367.9	2119.22	2287.2	1709.26	3589.58	2061.24	4095.0	2303.12	1519.15	1008.9	884.29	3190.46	1685.71	2997.45	2609.3	3103.19	264.03	205.5	346.29	567.1	1685.71
LHFP	1378.57	486.75	195.72	131.51	65.72	66.65	314.17	121.79	84.63	82.29	40.07	122.64	105.15	107.38	71.5	1044.52	536.45	120.94	151.22	148.09	356.05	267.73	244.57	202.66	33.78	301.33	105.15	83.45	327.56	358.54	199.85	224.97	348.71	65.72	389.72	79.45	329.84	161.02	961.07	107.38	138.1	177.53	146.03	64.34	165.57	503.95	521.76	244.57	279.14	150.17	1832.01	4095.0	1923.14	1073.91	1059.11	1651.0	808.0	5006.93	2224.63	2682.69	2255.7	5076.84	2682.69	2075.59	3146.52	1242.34	1037.29	1369.04	3039.3	2915.45	2255.7	571.05	595.34	1104.13	808.0	1498.22
LIX1L	176.29	88.88	157.68	48.87	46.5	100.13	89.51	28.04	84.63	209.84	34.51	132.44	74.58	46.84	138.1	480.04	116.78	32.13	78.89	69.52	98.04	457.25	127.89	94.01	52.45	102.25	37.85	102.25	142.01	193.01	40.36	65.26	88.26	102.25	113.56	49.56	62.56	30.56	426.57	70.51	66.65	82.87	110.43	163.28	102.25	325.29	371.22	129.69	151.22	64.34	497.0	656.11	301.33	256.78	182.55	295.11	325.29	1015.93	629.35	842.36	205.5	967.76	819.3	607.87	842.36	194.36	392.44	395.18	633.73	540.19	381.68	166.73	182.55	151.22	170.25	909.17
LRCH2	32.13	21.78	8.25	2.34	0.6	2.76	6.41	1.97	16.75	1.53	1.25	2.1	3.99	13.32	2.61	40.64	8.65	4.9	3.11	23.25	12.36	1.45	15.34	18.7	2.86	7.88	1.97	2.46	18.16	18.7	3.99	9.48	12.18	19.11	7.4	8.38	6.31	2.1	56.68	26.47	4.31	2.58	16.63	1.6	11.21	8.58	14.89	8.71	17.0	7.94	32.82	180.02	58.71	15.34	46.18	63.0	47.17	90.77	22.92	241.19	49.91	187.71	117.6	74.06	98.04	23.42	21.63	42.41	90.14	237.86	57.08	69.03	46.84	74.58	41.81	54.33
MAMDC2	27.05	11.21	4.5	8.99	36.79	20.11	12.18	3.63	2.16	2.76	7.94	29.7	0.0	10.24	27.64	171.45	6.11	10.71	3.82	7.82	8.45	3.44	25.54	74.58	6.31	5.11	6.21	3.69	38.4	90.14	10.16	12.55	12.27	5.19	3.96	3.96	7.82	35.76	84.63	2.36	4.66	3.59	8.25	18.03	51.71	46.5	23.76	33.06	29.48	1.36	194.36	265.87	212.78	98.04	116.78	1331.57	511.0	698.41	246.28	1519.15	503.95	1519.15	1909.85	1313.23	915.51	1286.18	679.29	1407.55	1001.93	466.88	665.29	47.17	53.57	24.46	54.72	3589.58
MCAM	1427.22	1697.45	902.89	470.14	343.89	231.32	480.04	127.89	348.71	543.96	145.02	463.65	387.02	231.32	438.59	3280.18	1037.29	521.76	563.18	236.21	961.07	429.54	1950.0	651.58	172.65	1487.87	351.14	559.28	1225.22	698.41	532.74	1447.15	848.22	236.21	1199.98	559.28	656.11	954.43	1806.78	412.0	603.67	624.99	830.75	480.04	802.41	995.0	974.5	511.0	567.1	414.87	3742.05	2537.92	4769.75	796.86	842.36	6561.36	1119.56	4298.64	4802.93	2178.83	6294.04	4388.98	2895.31	3901.01	5517.27	934.76	2178.83	2758.13	5672.41	4450.27	2287.2	1313.23	915.51	842.36	1088.92	3235.01
MEF2C	403.5	115.16	35.0	48.52	22.92	20.56	47.84	7.22	30.12	24.46	10.47	46.84	23.93	16.63	29.7	258.57	172.65	28.65	43.32	31.0	100.83	105.89	50.63	59.13	24.28	133.36	32.13	55.49	74.58	100.13	43.02	91.41	67.59	20.56	80.57	43.63	97.36	54.72	162.14	37.59	66.18	37.05	61.25	25.35	62.12	175.07	260.38	73.54	90.77	59.97	373.81	902.89	1605.83	392.44	486.75	842.36	285.03	1268.46	429.54	417.77	1832.01	1378.57	559.28	293.07	813.63	202.66	366.09	698.41	2032.85	896.64	1407.55	123.5	137.14	180.02	223.41	872.1
MMP23B	1378.57	44.57	49.21	44.89	10.71	136.19	60.82	75.11	27.84	20.26	19.53	11.04	23.42	34.51	27.05	638.15	116.78	14.67	17.51	39.22	71.0	68.07	189.02	58.3	6.06	62.12	52.45	29.48	87.65	106.63	35.76	45.21	74.58	13.93	117.6	61.68	65.26	6.89	348.71	23.08	59.97	89.51	6.73	44.89	37.05	53.57	293.07	127.0	363.56	56.68	450.94	334.46	332.14	181.28	633.73	138.1	173.85	1015.93	1295.13	518.15	265.87	1529.73	1870.53	1066.48	890.44	120.94	521.76	713.11	209.84	780.44	583.07	204.07	507.46	75.64	111.21	1199.98
MSRB3	323.03	68.07	57.89	19.68	15.34	22.75	69.03	5.63	13.72	26.28	15.91	21.32	40.36	19.53	17.0	974.5	142.01	23.76	26.47	26.67	117.6	21.01	93.35	115.97	11.21	105.15	63.45	45.53	307.69	181.28	39.79	103.69	76.17	9.7	77.79	30.34	84.63	43.32	954.43	23.76	70.01	22.26	63.45	11.04	131.51	191.67	293.07	269.6	92.7	56.68	1167.14	1359.57	497.0	318.57	191.67	808.0	872.1	1651.0	1923.14	1427.22	599.49	2224.63	2384.37	1199.98	2417.67	265.87	624.99	575.03	1662.49	620.67	511.0	103.69	141.02	84.04	158.79	5255.91
MYADM	1674.06	283.05	181.28	234.57	106.63	265.87	1936.53	273.37	229.72	97.36	70.51	251.48	269.6	94.01	55.89	2434.5	460.44	88.26	126.12	108.9	2193.99	1745.2	860.08	253.23	32.13	258.57	114.36	206.94	1088.92	303.44	190.34	1066.48	934.76	52.45	587.13	237.86	173.85	246.28	1467.37	131.51	406.31	138.1	470.14	35.76	1030.12	1447.15	1167.14	1369.04	723.08	164.42	6250.56	3060.45	2816.11	1769.57	1322.37	18819.27	8538.88	6983.79	40062.48	4512.4	9474.59	6983.79	9025.81	8022.41	18431.96	14163.58	4388.98	1639.59	35856.82	6516.03	10440.2	651.58	802.41	878.17	802.41	36106.23
MYO1C	1909.85	2367.9	1037.29	1417.35	769.69	780.44	2271.4	2104.58	1073.91	1259.69	3874.05	2240.11	1208.34	1662.49	1066.48	2400.97	2090.03	1175.27	961.07	2133.97	1781.89	941.27	1639.59	2032.85	2997.45	1340.84	830.75	2240.11	3060.45	2090.03	909.17	2997.45	2104.58	1936.53	1617.0	1081.39	1781.89	2090.03	1963.57	854.13	1044.52	842.36	2609.3	693.58	2417.67	1794.29	1674.06	1397.83	1457.23	947.83	2701.35	2935.74	2682.69	1088.92	3794.3	4972.34	2855.44	4358.66	4298.64	3540.14	2645.74	6337.83	4268.94	3060.45	4802.93	3768.09	2645.74	4328.55	7130.55	2875.3	4038.61	2796.65	2682.69	2816.11	2835.7	4607.24
NAALADL1	312.0	141.02	40.93	20.56	35.0	31.22	35.5	7.57	21.78	392.44	23.42	669.92	35.5	84.04	7.88	432.53	69.03	20.41	22.26	232.94	36.53	178.77	137.14	55.49	24.63	121.79	27.05	46.5	86.43	116.78	42.11	68.55	92.05	16.75	74.06	55.89	71.5	18.97	151.22	42.71	46.84	119.26	94.01	9.93	104.42	108.14	211.31	141.02	88.26	115.16	376.41	555.41	166.73	229.72	198.47	236.21	264.03	974.5	579.04	1216.75	642.59	529.06	915.51	693.58	543.96	149.12	819.3	206.94	297.17	273.37	260.38	151.22	361.04	118.43	125.24	567.1
