	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.13O3O.1826.SM.5IFGW	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.144GM.1726.SM.5O9AS	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
TMEM243	536.45	547.75	842.36	603.67	1277.29	620.67	825.0	743.43	785.88	447.82	429.54	1015.93	57.08	215.77	28.24	46.18	135.24	909.17	854.13	450.94	743.43	607.87	511.0	603.67	543.96	571.05	3039.3	708.18	463.65	2502.97	1870.53	2104.58	3325.99	2104.58	3372.43	1295.13	3212.66	4268.94	3443.31	3690.52	1572.76	1225.22	1119.56	1322.37	1991.0	2627.46	651.58	1697.45
TPMT	791.35	718.08	220.32	305.55	267.73	287.01	368.65	1417.35	988.12	518.15	1233.75	1304.15	921.88	480.04	371.22	934.76	802.41	273.37	497.0	713.11	258.57	336.79	361.04	366.09	379.04	221.86	1216.75	1183.45	1015.93	1119.56	1259.69	2148.82	1662.49	1628.26	1651.0	1175.27	1639.59	1883.54	2018.8	2104.58	543.96	921.88	1498.22	1477.58	2193.99	2018.8	1397.83	1183.45
TRAPPC3L	3.69	2.01	0.44	0.47	0.0	4.28	0.48	10.88	0.49	0.0	0.0	0.0	0.71	1.2	2.01	1.45	0.0	15.56	0.92	3.86	0.0	1.45	0.0	0.62	0.87	11.47	27.44	5.96	0.91	1.77	1.99	41.22	37.59	65.72	14.14	15.0	7.82	8.58	195.72	23.08	5.23	3.03	1.89	10.88	35.25	18.03	6.21	2.41
TRIM58	19.11	33.54	3.96	0.46	0.92	1.28	2.86	11.82	0.48	16.88	0.43	0.46	0.61	1.27	0.59	0.0	0.56	5.11	0.71	0.29	4.66	2.29	0.69	1.38	1.91	10.0	123.5	149.12	84.04	22.1	211.31	106.63	45.53	108.9	65.26	175.07	56.28	101.54	115.16	34.26	11.91	159.9	42.11	194.36	89.51	84.04	26.86	54.72
TSTD1	3847.29	4181.07	2255.7	1769.57	2224.63	1331.57	1745.2	2287.2	3690.52	2935.74	3280.18	2555.58	2163.77	273.37	1674.06	1806.78	981.29	3124.78	1023.0	708.18	2104.58	2573.36	2468.49	2047.0	2303.12	2796.65	9808.75	6652.97	3955.48	8247.98	6983.79	9279.58	11745.96	8022.41	6516.03	4869.99	8840.04	9945.68	12329.98	8363.13	4769.75	6121.9	7749.1	3589.58	6887.62	11909.94	7485.11	8191.0
TTC8	187.71	318.57	205.5	165.57	256.78	177.53	309.83	299.25	251.48	435.55	244.57	285.03	395.18	209.84	141.02	111.21	46.84	379.04	287.01	279.14	145.02	212.78	173.85	232.94	190.34	275.28	480.04	438.59	366.09	988.12	842.36	764.36	571.05	575.03	603.67	616.37	748.61	435.55	320.8	591.22	563.18	703.28	305.55	866.07	426.57	397.93	376.41	392.44
VAMP1	177.53	269.6	71.0	108.9	87.03	34.26	86.43	126.12	92.7	77.79	61.25	97.36	253.23	239.52	87.03	125.24	26.1	273.37	78.89	72.01	65.72	94.01	94.67	152.28	105.89	248.0	2303.12	718.08	490.14	397.93	438.59	1081.39	3018.3	1073.91	1397.83	738.29	688.78	1794.29	1340.84	1781.89	403.5	583.07	309.83	728.11	1806.78	1697.45	490.14	2047.0
VEZT	444.72	423.61	368.65	348.71	214.27	432.53	444.72	660.68	287.01	438.59	438.59	571.05	339.14	334.46	166.73	271.48	429.54	629.35	414.87	660.68	389.72	387.02	307.69	358.54	457.25	460.44	1059.11	1259.69	836.53	981.29	1044.52	1044.52	921.88	1081.39	1467.37	961.07	1119.56	1151.06	941.27	1037.29	981.29	769.69	1369.04	825.0	1073.91	738.29	718.08	909.17
ZBTB4	297.17	400.71	651.58	314.17	624.99	708.18	493.56	1023.0	143.01	791.35	620.67	633.73	241.19	262.2	97.36	140.04	30.12	295.11	420.68	231.32	447.82	583.07	470.14	563.18	679.29	688.78	1508.65	1104.13	753.83	954.43	1304.15	1088.92	1233.75	1199.98	1674.06	1216.75	1331.57	1417.35	1030.12	1350.18	974.5	1277.29	872.1	1447.15	1457.23	1143.1	384.34	1498.22
ZFP37	11.73	18.43	4.46	2.89	3.29	6.52	7.75	48.18	8.99	9.41	10.71	10.47	2.43	8.92	0.0	8.38	2.1	36.79	3.96	33.3	8.85	17.64	6.62	45.53	21.63	28.24	75.64	31.67	21.63	59.97	28.65	16.88	54.72	59.13	62.56	26.1	87.03	51.35	64.8	50.27	65.26	16.88	20.26	25.72	53.57	44.89	14.24	71.5
ZNF512	277.2	368.65	137.14	110.43	173.85	152.28	173.85	483.38	150.17	159.9	142.01	226.54	177.53	249.73	82.29	169.07	54.33	258.57	256.78	212.78	246.28	281.09	287.01	403.5	334.46	432.53	684.02	379.04	414.87	521.76	387.02	543.96	567.1	529.06	651.58	525.39	674.59	583.07	438.59	718.08	525.39	301.33	358.54	316.37	607.87	529.06	169.07	563.18
ZNF589	171.45	267.73	34.26	25.35	52.45	47.17	63.89	132.44	35.0	84.04	54.72	69.52	55.89	82.87	14.45	23.59	8.45	150.17	119.26	104.42	70.01	197.09	112.77	130.6	152.28	159.9	490.14	540.19	264.03	236.21	603.67	249.73	466.88	389.72	246.28	490.14	187.71	327.56	244.57	366.09	172.65	579.04	575.03	921.88	518.15	299.25	397.93	376.41
ZNF727	0.09	2.25	0.43	0.46	1.38	0.0	1.91	5.41	1.48	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	1.87	0.0	0.27	3.38	0.0	0.0	4.13	0.0	0.0	6.06	15.22	1.89	14.24	15.34	5.68	0.0	5.19	12.0	9.85	28.86	7.75	3.96	4.1	4.98	10.24	0.83	0.0	22.26	6.41	1.11	9.34
