	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
MIER1	199.85	277.2	271.48	185.11	191.67	178.77	202.66	181.28	215.77	163.28	195.72	239.52	346.29	162.14	209.84	258.57	205.5	260.38	190.34	132.44	353.59	417.77	356.05	265.87	420.68	220.32	353.59	435.55	387.02	543.96	400.71	417.77	197.09	258.57	262.2	273.37	329.84	384.34	518.15	397.93	214.27	242.88	242.88	217.27	253.23	414.87	221.86	303.44	269.6	273.37	277.2	438.59	251.48	353.59	223.41	277.2	265.87	346.29	265.87	295.11	256.78	323.03	361.04	312.0	281.09	269.6	241.19	387.02	412.0	256.78	325.29	265.87	353.59	234.57	314.17
MIS18BP1	137.14	106.63	132.44	54.72	120.1	155.5	113.56	115.97	127.89	123.5	50.27	147.06	303.44	116.78	98.04	119.26	113.56	145.02	72.52	89.51	198.47	226.54	201.25	158.79	371.22	214.27	190.34	170.25	215.77	400.71	348.71	175.07	112.77	138.1	201.25	127.0	232.94	152.28	281.09	229.72	142.01	127.0	171.45	165.57	256.78	303.44	139.07	206.94	140.04	125.24	177.53	197.09	111.21	265.87	90.77	162.14	102.97	199.85	134.3	187.71	134.3	157.68	218.79	189.02	153.34	170.25	115.97	197.09	301.33	177.53	156.59	132.44	140.04	100.83	97.36
MSH6	312.0	303.44	318.57	260.38	178.77	246.28	309.83	264.03	260.38	309.83	248.0	334.46	511.0	320.8	226.54	409.15	334.46	444.72	297.17	209.84	536.45	642.59	599.49	575.03	748.61	323.03	444.72	728.11	497.0	896.64	555.41	490.14	297.17	444.72	373.81	262.2	417.77	423.61	620.67	463.65	567.1	521.76	441.64	480.04	305.55	470.14	339.14	684.02	450.94	529.06	320.8	665.29	426.57	392.44	325.29	409.15	381.68	384.34	511.0	376.41	511.0	493.56	808.0	490.14	376.41	470.14	441.64	414.87	703.28	454.09	361.04	316.37	444.72	397.93	400.71
MSI2	764.36	599.49	638.15	624.99	555.41	583.07	579.04	555.41	555.41	587.13	674.59	802.41	1023.0	647.07	679.29	718.08	723.08	842.36	507.46	521.76	796.86	791.35	733.19	633.73	769.69	718.08	848.22	909.17	967.76	934.76	836.53	854.13	738.29	866.07	878.17	775.05	1104.13	775.05	1088.92	1331.57	684.02	791.35	703.28	423.61	624.99	769.69	607.87	825.0	620.67	884.29	967.76	848.22	620.67	1313.23	743.43	813.63	884.29	1059.11	909.17	819.3	872.1	1199.98	802.41	1081.39	842.36	896.64	579.04	1015.93	780.44	902.89	656.11	769.69	825.0	547.75	813.63
MTPAP	197.09	157.68	167.9	128.79	134.3	128.79	122.64	127.89	163.28	85.22	130.6	157.68	299.25	131.51	147.06	193.01	145.02	197.09	157.68	84.63	291.04	248.0	277.2	157.68	239.52	157.68	189.02	361.04	226.54	228.13	277.2	162.14	195.72	206.94	201.25	153.34	237.86	158.79	246.28	236.21	267.73	224.97	202.66	139.07	148.09	237.86	187.71	204.07	138.1	241.19	190.34	327.56	138.1	253.23	182.55	212.78	197.09	177.53	199.85	202.66	239.52	199.85	256.78	209.84	208.38	214.27	171.45	158.79	305.55	218.79	218.79	129.69	135.24	148.09	151.22
MTRR	316.37	336.79	447.82	234.57	198.47	295.11	244.57	206.94	275.28	426.57	183.82	255.0	406.31	267.73	186.4	281.09	277.2	353.59	246.28	175.07	438.59	438.59	454.09	454.09	532.74	417.77	417.77	476.71	521.76	483.38	647.07	379.04	283.05	329.84	417.77	412.0	441.64	547.75	571.05	417.77	409.15	334.46	500.46	417.77	473.41	511.0	476.71	450.94	323.03	555.41	334.46	665.29	447.82	620.67	232.94	351.14	239.52	607.87	371.22	348.71	423.61	470.14	514.56	400.71	271.48	293.07	273.37	579.04	743.43	384.34	307.69	265.87	511.0	297.17	417.77
NAA15	119.26	151.22	107.38	100.83	121.79	90.77	118.43	100.83	111.99	108.9	115.97	126.12	215.77	102.97	111.99	135.24	147.06	152.28	117.6	87.03	256.78	277.2	236.21	156.59	299.25	185.11	178.77	265.87	180.02	265.87	332.14	223.41	133.36	181.28	163.28	170.25	232.94	232.94	267.73	170.25	159.9	159.9	167.9	156.59	177.53	249.73	145.02	231.32	132.44	186.4	204.07	307.69	183.82	256.78	164.42	167.9	149.12	228.13	194.36	197.09	177.53	162.14	287.01	202.66	128.79	141.02	129.69	197.09	323.03	167.9	217.27	148.09	208.38	127.0	212.78
NAA50	599.49	525.39	432.53	454.09	389.72	417.77	368.65	366.09	480.04	346.29	470.14	587.13	748.61	392.44	299.25	511.0	532.74	703.28	417.77	305.55	961.07	1088.92	981.29	759.08	1268.46	780.44	928.3	967.76	921.88	1268.46	988.12	1286.18	532.74	890.44	860.08	791.35	791.35	1037.29	1369.04	718.08	836.53	896.64	728.11	567.1	587.13	981.29	684.02	1143.1	769.69	1127.35	591.22	1498.22	660.68	1529.73	518.15	928.3	575.03	791.35	802.41	713.11	974.5	830.75	1350.18	928.3	624.99	890.44	656.11	1250.98	1313.23	1135.2	728.11	872.1	1250.98	483.38	909.17
NPAT	127.89	104.42	117.6	53.57	71.0	103.69	87.65	85.82	111.99	80.01	98.04	129.69	194.36	70.01	78.34	127.0	99.43	148.09	96.68	58.3	190.34	220.32	197.09	157.68	217.27	133.36	153.34	205.5	183.82	267.73	291.04	204.07	105.89	135.24	177.53	112.77	262.2	154.42	262.2	202.66	134.3	177.53	198.47	110.43	165.57	191.67	143.01	237.86	77.25	159.9	122.64	186.4	96.68	228.13	100.83	138.1	120.94	162.14	154.42	155.5	137.14	204.07	197.09	180.02	115.16	116.78	156.59	175.07	215.77	151.22	166.73	126.12	138.1	130.6	111.21
NR2C2	152.28	96.68	159.9	55.89	101.54	138.1	81.71	63.89	111.99	76.71	48.52	175.07	258.57	71.5	90.14	111.21	176.29	209.84	125.24	37.05	291.04	277.2	265.87	214.27	318.57	151.22	241.19	218.79	314.17	293.07	232.94	138.1	170.25	236.21	236.21	163.28	289.02	150.17	181.28	356.05	163.28	187.71	181.28	104.42	149.12	202.66	151.22	167.9	165.57	166.73	260.38	202.66	186.4	277.2	208.38	218.79	87.03	223.41	158.79	226.54	258.57	283.05	224.97	329.84	102.25	239.52	122.64	320.8	400.71	228.13	128.79	147.06	197.09	150.17	178.77
NUFIP2	242.88	206.94	214.27	146.03	158.79	189.02	173.85	164.42	211.31	176.29	187.71	267.73	514.56	231.32	165.57	251.48	289.02	291.04	209.84	105.15	334.46	466.88	353.59	329.84	486.75	220.32	336.79	320.8	348.71	454.09	466.88	281.09	220.32	361.04	325.29	287.01	285.03	239.52	384.34	309.83	327.56	316.37	325.29	177.53	305.55	353.59	204.07	301.33	202.66	271.48	348.71	397.93	187.71	400.71	236.21	289.02	224.97	320.8	318.57	323.03	441.64	450.94	480.04	314.17	208.38	273.37	231.32	376.41	438.59	351.14	281.09	242.88	376.41	223.41	237.86
NUP133	336.79	400.71	353.59	307.69	295.11	293.07	307.69	348.71	361.04	297.17	199.85	341.51	483.38	358.54	195.72	356.05	256.78	387.02	253.23	371.22	521.76	507.46	518.15	366.09	514.56	353.59	540.19	575.03	497.0	551.56	603.67	480.04	283.05	403.5	400.71	356.05	368.65	412.0	638.15	543.96	420.68	414.87	511.0	334.46	417.77	543.96	329.84	417.77	379.04	417.77	332.14	599.49	368.65	400.71	327.56	460.44	414.87	493.56	414.87	389.72	426.57	392.44	500.46	500.46	423.61	392.44	454.09	447.82	567.1	457.25	447.82	447.82	348.71	363.56	414.87
OTUD4	228.13	198.47	218.79	132.44	144.01	178.77	144.01	146.03	190.34	136.19	129.69	242.88	387.02	164.42	143.01	224.97	255.0	283.05	164.42	102.25	371.22	460.44	358.54	291.04	435.55	236.21	320.8	435.55	490.14	497.0	514.56	307.69	218.79	255.0	269.6	293.07	457.25	253.23	490.14	441.64	242.88	256.78	273.37	206.94	341.51	351.14	260.38	339.14	258.57	264.03	334.46	429.54	232.94	336.79	217.27	279.14	229.72	387.02	260.38	366.09	267.73	403.5	299.25	329.84	158.79	287.01	231.32	476.71	395.18	303.44	303.44	229.72	463.65	275.28	265.87
PAK2	329.84	363.56	334.46	323.03	275.28	251.48	309.83	303.44	320.8	314.17	366.09	366.09	480.04	244.57	237.86	373.81	341.51	400.71	269.6	214.27	429.54	423.61	441.64	346.29	595.34	277.2	441.64	444.72	480.04	540.19	397.93	543.96	366.09	348.71	358.54	379.04	368.65	514.56	638.15	444.72	303.44	289.02	389.72	289.02	291.04	414.87	329.84	447.82	371.22	366.09	327.56	698.41	341.51	633.73	297.17	387.02	262.2	366.09	303.44	348.71	423.61	423.61	583.07	351.14	224.97	314.17	320.8	497.0	409.15	403.5	414.87	361.04	698.41	291.04	356.05
PANK3	194.36	185.11	195.72	127.89	193.01	171.45	157.68	114.36	145.02	106.63	145.02	170.25	301.33	141.02	120.1	171.45	197.09	221.86	156.59	73.54	301.33	327.56	249.73	187.71	329.84	199.85	253.23	336.79	368.65	432.53	366.09	224.97	158.79	281.09	346.29	191.67	325.29	202.66	414.87	351.14	220.32	332.14	269.6	126.12	191.67	251.48	156.59	241.19	176.29	249.73	255.0	363.56	137.14	318.57	199.85	303.44	206.94	267.73	260.38	323.03	356.05	307.69	348.71	301.33	232.94	336.79	123.5	269.6	351.14	295.11	195.72	163.28	299.25	161.02	183.82
PGAP1	68.07	43.63	70.01	46.18	33.3	59.55	29.06	43.94	66.18	21.94	31.22	64.34	112.77	41.22	38.12	66.18	61.25	77.79	46.5	17.0	99.43	96.01	88.26	44.57	92.7	30.56	96.68	102.97	105.15	137.14	138.1	71.5	42.41	43.94	40.07	58.71	84.63	80.57	96.68	105.15	64.8	61.68	57.89	39.22	70.51	113.56	33.3	49.91	77.79	139.07	58.71	189.02	36.79	178.77	24.11	72.52	33.06	108.14	60.39	66.18	63.45	100.83	76.71	75.64	45.85	50.98	24.99	80.01	73.03	92.05	59.13	44.57	59.13	37.05	52.82
PIK3C2A	339.14	341.51	301.33	220.32	287.01	312.0	177.53	234.57	353.59	156.59	221.86	381.68	718.08	265.87	258.57	343.89	406.31	457.25	295.11	123.5	728.11	718.08	603.67	412.0	718.08	441.64	575.03	638.15	607.87	1015.93	909.17	633.73	343.89	595.34	599.49	500.46	521.76	497.0	884.29	743.43	432.53	616.37	620.67	323.03	423.61	486.75	476.71	409.15	363.56	571.05	559.28	738.29	444.72	723.08	409.15	656.11	346.29	432.53	514.56	457.25	656.11	551.56	723.08	813.63	395.18	718.08	447.82	660.68	764.36	802.41	497.0	366.09	567.1	283.05	480.04
PIKFYVE	135.24	133.36	124.37	73.54	108.9	108.14	92.7	93.35	120.1	71.5	83.45	134.3	224.97	92.7	81.71	127.0	137.14	150.17	106.63	53.95	226.54	242.88	214.27	143.01	289.02	139.07	176.29	217.27	231.32	289.02	223.41	183.82	88.88	154.42	237.86	129.69	228.13	158.79	293.07	248.0	178.77	113.56	204.07	142.01	182.55	236.21	133.36	169.07	142.01	178.77	193.01	305.55	123.5	244.57	125.24	221.86	123.5	185.11	158.79	173.85	224.97	208.38	220.32	232.94	122.64	177.53	97.36	228.13	305.55	248.0	201.25	118.43	201.25	139.07	151.22
PPM1A	511.0	633.73	460.44	500.46	698.41	466.88	463.65	457.25	486.75	450.94	713.11	555.41	748.61	540.19	518.15	629.35	540.19	616.37	486.75	426.57	718.08	825.0	595.34	679.29	764.36	567.1	624.99	764.36	819.3	1059.11	629.35	764.36	503.95	651.58	620.67	540.19	507.46	708.18	1051.79	819.3	629.35	575.03	563.18	457.25	423.61	775.05	466.88	723.08	599.49	698.41	529.06	759.08	540.19	890.44	612.11	743.43	703.28	543.96	753.83	563.18	780.44	718.08	713.11	563.18	723.08	651.58	693.58	813.63	921.88	723.08	521.76	551.56	866.07	497.0	555.41
PPP4R2	432.53	470.14	444.72	275.28	320.8	301.33	316.37	320.8	312.0	291.04	450.94	426.57	647.07	269.6	301.33	473.41	409.15	514.56	363.56	195.72	612.11	688.78	563.18	486.75	738.29	409.15	547.75	738.29	603.67	842.36	866.07	684.02	379.04	638.15	536.45	466.88	693.58	536.45	830.75	693.58	406.31	543.96	463.65	373.81	376.41	759.08	400.71	563.18	454.09	529.06	532.74	921.88	389.72	651.58	480.04	493.56	493.56	612.11	629.35	493.56	559.28	693.58	791.35	551.56	397.93	514.56	389.72	607.87	642.59	583.07	629.35	392.44	703.28	358.54	470.14
PRKD3	182.55	209.84	209.84	139.07	163.28	151.22	151.22	159.9	202.66	149.12	110.43	202.66	291.04	177.53	134.3	234.57	170.25	256.78	139.07	78.89	320.8	406.31	341.51	237.86	497.0	193.01	356.05	376.41	379.04	490.14	607.87	384.34	170.25	206.94	218.79	237.86	301.33	426.57	518.15	426.57	198.47	212.78	273.37	223.41	373.81	470.14	166.73	301.33	363.56	277.2	183.82	368.65	221.86	493.56	139.07	312.0	190.34	277.2	193.01	228.13	297.17	258.57	343.89	325.29	158.79	267.73	229.72	525.39	348.71	265.87	223.41	175.07	387.02	264.03	267.73
PRPF40A	688.78	633.73	551.56	426.57	503.95	525.39	612.11	500.46	624.99	543.96	551.56	674.59	1023.0	480.04	392.44	665.29	743.43	785.88	728.11	583.07	961.07	995.0	830.75	866.07	1030.12	684.02	848.22	1044.52	791.35	860.08	1051.79	890.44	718.08	785.88	961.07	665.29	928.3	1111.82	753.83	1037.29	813.63	647.07	733.19	836.53	915.51	842.36	624.99	909.17	884.29	954.43	791.35	1059.11	748.61	1295.13	500.46	748.61	406.31	830.75	825.0	974.5	896.64	1304.15	1008.9	647.07	679.29	633.73	660.68	1023.0	753.83	1008.9	1073.91	587.13	909.17	780.44	703.28
PTAR1	151.22	130.6	180.02	76.71	96.68	141.02	85.22	102.25	131.51	92.7	90.14	155.5	289.02	88.26	70.01	157.68	151.22	209.84	131.51	46.5	301.33	329.84	260.38	164.42	307.69	146.03	236.21	336.79	332.14	368.65	356.05	220.32	101.54	199.85	226.54	157.68	281.09	167.9	406.31	351.14	191.67	218.79	241.19	107.38	231.32	273.37	127.89	208.38	189.02	211.31	241.19	332.14	105.15	265.87	166.73	253.23	157.68	279.14	231.32	285.03	229.72	273.37	287.01	258.57	144.01	232.94	141.02	343.89	291.04	237.86	197.09	126.12	242.88	164.42	112.77
PTPRJ	139.07	105.15	107.38	88.26	76.17	135.24	50.63	76.17	129.69	66.65	84.04	170.25	363.56	108.14	76.17	144.01	148.09	217.27	95.34	81.71	336.79	312.0	307.69	212.78	307.69	186.4	327.56	293.07	376.41	379.04	325.29	384.34	193.01	363.56	414.87	251.48	406.31	293.07	426.57	466.88	318.57	301.33	329.84	242.88	269.6	237.86	236.21	327.56	177.53	325.29	265.87	368.65	218.79	307.69	195.72	480.04	120.1	305.55	316.37	255.0	500.46	293.07	454.09	470.14	117.6	361.04	223.41	299.25	423.61	356.05	206.94	158.79	208.38	217.27	279.14
QSER1	104.42	118.43	94.01	75.64	84.04	99.43	89.51	71.5	100.13	61.25	63.89	122.64	173.85	91.41	94.01	122.64	123.5	137.14	84.04	47.17	201.25	224.97	209.84	141.02	217.27	111.21	198.47	234.57	202.66	279.14	253.23	181.28	75.64	154.42	139.07	111.21	190.34	127.89	253.23	295.11	110.43	152.28	145.02	108.9	133.36	217.27	130.6	151.22	151.22	154.42	169.07	316.37	82.29	301.33	76.17	159.9	117.6	193.01	113.56	190.34	158.79	140.04	170.25	182.55	92.7	148.09	94.67	177.53	206.94	176.29	149.12	84.04	144.01	127.0	161.02
RAB3GAP2	195.72	217.27	197.09	139.07	166.73	147.06	152.28	136.19	180.02	134.3	145.02	206.94	297.17	135.24	120.94	185.11	202.66	236.21	169.07	96.68	312.0	371.22	312.0	220.32	387.02	236.21	273.37	323.03	332.14	450.94	332.14	283.05	190.34	289.02	295.11	303.44	373.81	229.72	320.8	353.59	258.57	255.0	256.78	177.53	267.73	336.79	242.88	224.97	212.78	212.78	287.01	371.22	214.27	403.5	214.27	275.28	191.67	291.04	293.07	356.05	297.17	356.05	323.03	332.14	228.13	285.03	172.65	293.07	381.68	285.03	351.14	177.53	289.02	226.54	214.27
RABEP1	363.56	363.56	435.55	371.22	273.37	466.88	305.55	400.71	373.81	361.04	397.93	476.71	579.04	417.77	212.78	463.65	389.72	466.88	332.14	255.0	555.41	579.04	536.45	450.94	713.11	438.59	507.46	591.22	511.0	620.67	669.92	529.06	320.8	529.06	514.56	432.53	521.76	486.75	507.46	507.46	397.93	480.04	511.0	363.56	363.56	567.1	473.41	466.88	432.53	429.54	514.56	624.99	305.55	620.67	409.15	511.0	387.02	571.05	412.0	470.14	473.41	536.45	684.02	521.76	316.37	507.46	323.03	483.38	660.68	476.71	591.22	412.0	571.05	441.64	463.65
RANBP2	363.56	381.68	273.37	236.21	277.2	269.6	249.73	264.03	392.44	242.88	255.0	414.87	624.99	279.14	231.32	444.72	329.84	432.53	332.14	175.07	703.28	647.07	656.11	486.75	785.88	450.94	633.73	703.28	575.03	688.78	684.02	629.35	316.37	503.95	435.55	463.65	591.22	500.46	909.17	503.95	476.71	493.56	476.71	432.53	409.15	493.56	486.75	616.37	409.15	674.59	444.72	878.17	450.94	518.15	368.65	543.96	312.0	559.28	490.14	529.06	507.46	559.28	759.08	669.92	409.15	543.96	400.71	848.22	723.08	638.15	466.88	423.61	669.92	395.18	693.58
RC3H2	212.78	162.14	182.55	167.9	177.53	149.12	176.29	150.17	182.55	163.28	161.02	201.25	376.41	134.3	128.79	208.38	255.0	228.13	191.67	110.43	325.29	348.71	314.17	255.0	426.57	231.32	244.57	325.29	327.56	473.41	376.41	287.01	221.86	241.19	267.73	234.57	341.51	262.2	343.89	329.84	194.36	182.55	228.13	199.85	228.13	312.0	183.82	241.19	269.6	242.88	260.38	373.81	201.25	351.14	226.54	299.25	185.11	339.14	193.01	285.03	299.25	271.48	368.65	291.04	224.97	258.57	208.38	295.11	356.05	277.2	316.37	253.23	356.05	186.4	226.54
RFX7	96.68	75.11	96.68	35.0	57.89	79.45	48.18	71.0	77.79	46.18	62.12	114.36	148.09	71.5	41.81	96.68	97.36	136.19	60.39	35.0	155.5	157.68	148.09	108.9	181.28	68.55	139.07	189.02	150.17	138.1	220.32	139.07	61.68	85.22	92.7	88.26	209.84	100.83	150.17	133.36	75.11	113.56	74.58	105.89	131.51	161.02	71.5	132.44	103.69	98.04	120.1	163.28	84.04	120.1	69.52	141.02	70.01	135.24	115.97	128.79	99.43	158.79	138.1	108.14	70.01	101.54	83.45	153.34	177.53	77.79	108.9	65.26	94.67	87.03	102.97
RICTOR	130.6	120.1	124.37	57.49	70.51	105.15	85.22	82.87	110.43	77.25	97.36	138.1	244.57	85.82	63.89	131.51	102.97	149.12	102.25	63.0	234.57	275.28	226.54	123.5	295.11	112.77	217.27	323.03	287.01	366.09	295.11	170.25	110.43	171.45	195.72	146.03	325.29	146.03	289.02	363.56	169.07	157.68	171.45	139.07	205.5	253.23	144.01	157.68	143.01	173.85	186.4	361.04	129.69	293.07	118.43	201.25	136.19	262.2	151.22	256.78	194.36	260.38	217.27	242.88	153.34	156.59	81.14	283.05	287.01	183.82	236.21	148.09	172.65	157.68	126.12
RIF1	88.88	118.43	81.14	52.45	85.82	81.71	83.45	79.45	100.13	54.72	59.55	105.89	201.25	85.82	46.5	100.13	99.43	134.3	104.42	80.57	218.79	248.0	269.6	120.1	293.07	161.02	144.01	218.79	218.79	281.09	312.0	175.07	81.14	150.17	175.07	144.01	258.57	126.12	217.27	273.37	156.59	114.36	202.66	112.77	154.42	214.27	130.6	206.94	137.14	166.73	120.1	244.57	127.0	241.19	121.79	159.9	113.56	181.28	151.22	206.94	161.02	228.13	234.57	150.17	101.54	128.79	135.24	178.77	435.55	185.11	197.09	121.79	157.68	153.34	128.79
RIOK3	660.68	633.73	728.11	547.75	603.67	764.36	679.29	684.02	748.61	547.75	688.78	802.41	1242.34	521.76	368.65	780.44	567.1	620.67	660.68	483.38	884.29	921.88	890.44	633.73	1322.37	738.29	830.75	769.69	780.44	1081.39	941.27	633.73	813.63	902.89	884.29	802.41	1023.0	660.68	669.92	1199.98	688.78	733.19	934.76	511.0	665.29	854.13	738.29	599.49	718.08	753.83	769.69	981.29	728.11	1111.82	713.11	884.29	708.18	819.3	638.15	813.63	1023.0	1030.12	1081.39	995.0	830.75	848.22	595.34	796.86	1081.39	802.41	890.44	713.11	780.44	599.49	575.03
RLIM	205.5	191.67	167.9	132.44	155.5	150.17	144.01	144.01	176.29	144.01	189.02	241.19	343.89	149.12	167.9	223.41	193.01	251.48	164.42	115.16	295.11	323.03	303.44	199.85	429.54	199.85	289.02	327.56	264.03	309.83	339.14	271.48	215.77	262.2	273.37	267.73	271.48	212.78	305.55	301.33	185.11	236.21	251.48	132.44	218.79	316.37	217.27	220.32	206.94	249.73	258.57	334.46	166.73	348.71	177.53	236.21	186.4	264.03	187.71	260.38	283.05	314.17	373.81	275.28	181.28	248.0	167.9	264.03	336.79	248.0	246.28	198.47	316.37	164.42	171.45
RNF168	111.99	104.42	86.43	95.34	72.52	77.25	87.65	90.14	126.12	96.01	113.56	138.1	150.17	125.24	79.45	141.02	113.56	137.14	98.04	74.58	136.19	142.01	155.5	145.02	208.38	82.29	161.02	169.07	150.17	191.67	182.55	135.24	83.45	155.5	143.01	92.7	114.36	113.56	140.04	148.09	119.26	128.79	139.07	102.97	116.78	170.25	75.64	141.02	105.15	121.79	94.67	157.68	116.78	167.9	96.01	140.04	85.22	144.01	122.64	145.02	159.9	126.12	155.5	103.69	108.14	102.97	107.38	173.85	146.03	115.97	136.19	108.9	139.07	86.43	100.13
RP11-159G9.5	41.52	33.06	39.22	21.32	21.32	22.26	9.63	8.58	36.53	9.56	17.25	56.28	112.77	22.26	19.39	43.94	48.18	72.01	28.24	5.23	113.56	131.51	139.07	74.58	111.21	54.72	107.38	126.12	149.12	111.21	81.14	111.99	11.3	95.34	100.13	56.68	155.5	89.51	119.26	128.79	22.92	74.06	55.1	42.71	83.45	62.56	63.0	108.14	53.95	74.06	88.26	224.97	67.59	193.01	48.18	82.87	11.3	97.36	71.5	120.1	120.1	100.13	131.51	130.6	14.45	83.45	75.11	92.7	201.25	94.67	91.41	84.63	67.59	28.24	95.34
RSBN1	111.21	119.26	128.79	76.71	70.51	87.65	92.05	89.51	120.94	82.29	92.05	137.14	269.6	88.26	84.04	152.28	111.99	165.57	92.7	57.08	195.72	201.25	218.79	197.09	232.94	134.3	186.4	332.14	201.25	381.68	249.73	183.82	105.15	224.97	177.53	141.02	209.84	152.28	251.48	212.78	153.34	195.72	141.02	141.02	149.12	183.82	150.17	202.66	111.99	195.72	159.9	267.73	140.04	246.28	109.66	146.03	131.51	211.31	122.64	176.29	211.31	211.31	217.27	163.28	169.07	138.1	166.73	170.25	194.36	155.5	151.22	133.36	138.1	175.07	135.24
RSBN1L	234.57	297.17	277.2	175.07	182.55	242.88	183.82	171.45	267.73	198.47	185.11	267.73	423.61	358.54	244.57	293.07	343.89	275.28	234.57	215.77	351.14	341.51	409.15	341.51	381.68	264.03	334.46	473.41	500.46	507.46	454.09	327.56	204.07	249.73	343.89	287.01	450.94	316.37	587.13	476.71	229.72	299.25	351.14	279.14	239.52	366.09	234.57	373.81	258.57	277.2	307.69	466.88	287.01	320.8	281.09	336.79	341.51	299.25	325.29	262.2	332.14	353.59	400.71	457.25	303.44	373.81	253.23	346.29	361.04	332.14	325.29	255.0	246.28	309.83	320.8
RSF1	295.11	232.94	256.78	214.27	226.54	305.55	217.27	198.47	232.94	209.84	221.86	305.55	483.38	163.28	228.13	295.11	236.21	406.31	231.32	87.65	403.5	480.04	486.75	318.57	536.45	291.04	366.09	435.55	435.55	551.56	486.75	441.64	271.48	264.03	305.55	356.05	525.39	417.77	511.0	312.0	279.14	423.61	248.0	309.83	229.72	532.74	186.4	353.59	318.57	299.25	285.03	500.46	454.09	379.04	285.03	329.84	249.73	473.41	285.03	420.68	371.22	423.61	336.79	293.07	226.54	327.56	279.14	493.56	361.04	414.87	450.94	309.83	629.35	303.44	389.72
