	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.G9.6364.01A.21R.1789.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
SYNPO2	2720.15	1008.9	41.81	1721.16	392.44	346.29	2502.97	57.49	205.5	88.26	1073.91	493.56	2400.97	836.53	2609.3	1870.53	3280.18	607.87	860.08	748.61	1498.22	830.75	836.53	358.54	3190.46	339.14	2104.58	1883.54	3257.52	1167.14	158.79	780.44	307.69	193.01	1096.5	2796.65	780.44	591.22	674.59	4388.98	1896.65	1037.29	417.77	376.41	1277.29	2555.58	5.73	503.95	890.44	113.56	1051.79	353.59	2485.67	2384.37	47.17	3280.18	189.02	921.88	669.92	1709.26	1617.0	656.11	1551.09	392.44	536.45	961.07	137.14	40.93	137.14	2417.67	438.59	995.0	674.59	194.36	808.0	1268.46	154.42	229.72	90.77	4481.23	3325.99	186.4	819.3	293.07	1066.48	242.88	217.27	2224.63	2417.67	2133.97	860.08	1617.0	218.79	406.31	490.14	148.09	1119.56	3690.52	29.91	312.0	902.89	2502.97	218.79	559.28	231.32	514.56	429.54	2701.35	1023.0	4575.41	5594.3	5479.15	2351.53	3060.45	2915.45	6164.49	3303.0	2319.15	5329.3	2720.15	1594.73	3124.78	4239.45
TEAD1	348.71	221.86	36.53	202.66	141.02	95.34	246.28	46.18	112.77	67.12	194.36	95.34	169.07	152.28	258.57	189.02	279.14	167.9	123.5	158.79	163.28	180.02	127.0	105.89	209.84	105.15	214.27	202.66	271.48	201.25	103.69	137.14	167.9	51.71	150.17	212.78	134.3	108.14	102.97	307.69	251.48	199.85	115.97	105.15	152.28	271.48	21.32	66.18	131.51	115.16	105.89	49.91	325.29	255.0	85.82	361.04	72.52	122.64	154.42	228.13	172.65	146.03	253.23	146.03	121.79	211.31	110.43	63.45	71.5	269.6	115.97	90.14	151.22	41.81	113.56	157.68	88.88	108.14	59.13	387.02	389.72	85.22	148.09	68.07	146.03	166.73	108.14	251.48	267.73	197.09	176.29	185.11	63.45	171.45	115.16	88.88	177.53	327.56	49.56	147.06	90.14	289.02	107.38	88.26	86.43	70.51	88.88	241.19	209.84	420.68	291.04	384.34	291.04	283.05	279.14	460.44	295.11	264.03	536.45	258.57	148.09	406.31	503.95
TGFB1I1	1183.45	432.53	189.02	1183.45	293.07	271.48	1832.01	85.22	157.68	105.15	1233.75	493.56	1551.09	1199.98	1437.15	934.76	1397.83	500.46	1225.22	860.08	1331.57	559.28	813.63	346.29	1709.26	285.03	1733.13	2004.85	2875.3	1286.18	191.67	974.5	164.42	237.86	878.17	1757.34	514.56	567.1	813.63	2664.15	961.07	759.08	412.0	353.59	603.67	1286.18	100.83	1662.49	842.36	138.1	1096.5	738.29	2178.83	2468.49	74.06	3039.3	258.57	1111.82	660.68	1388.16	1151.06	518.15	872.1	297.17	503.95	780.44	249.73	59.13	178.77	1304.15	483.38	688.78	303.44	217.27	718.08	1572.76	241.19	191.67	150.17	1487.87	1508.65	248.0	934.76	417.77	728.11	180.02	273.37	2090.03	902.89	647.07	780.44	1950.0	351.14	669.92	599.49	199.85	500.46	1950.0	135.24	273.37	1540.37	1674.06	368.65	698.41	158.79	575.03	698.41	988.12	642.59	1870.53	2351.53	2835.7	1487.87	2335.28	3665.02	3716.2	1508.65	1498.22	3060.45	1721.16	1233.75	2303.12	3280.18
TMEM221	16.27	5.5	3.56	10.79	1.58	2.89	36.27	1.13	6.26	2.84	9.56	5.82	13.83	12.45	14.24	10.88	10.08	8.0	10.16	11.38	11.64	13.32	2.34	5.59	8.78	9.34	17.38	9.7	31.0	12.18	6.26	7.11	8.85	3.86	7.94	23.76	8.06	11.73	16.03	33.06	17.25	7.22	3.11	5.82	2.94	16.15	5.28	10.55	8.32	2.92	18.56	11.38	36.27	13.62	1.95	17.64	5.45	8.85	8.78	12.83	13.83	4.94	8.13	7.22	8.65	17.64	3.35	2.61	4.58	8.71	13.72	9.7	3.79	3.35	17.51	20.56	6.94	5.41	3.26	9.85	28.24	7.4	10.0	8.25	5.77	3.69	16.03	16.51	13.93	11.21	11.38	26.86	4.74	11.64	6.11	0.96	7.75	14.14	3.59	10.88	27.44	16.63	11.3	11.73	2.71	8.85	11.91	20.41	12.27	24.63	12.45	33.78	15.56	37.59	12.64	15.0	15.34	15.45	18.16	31.0	23.42	17.64	55.89
TMEM252	63.45	15.11	4.46	31.9	3.38	4.46	70.01	0.88	3.08	4.35	33.54	15.68	48.87	33.54	53.57	33.78	33.06	19.25	21.47	27.64	17.51	19.53	11.64	1.77	59.13	3.06	59.55	29.7	134.3	45.21	0.0	25.91	2.25	1.2	24.63	69.52	18.84	6.36	15.68	108.14	26.47	40.07	13.03	13.93	23.08	84.63	0.0	12.93	45.53	2.63	10.96	6.89	82.29	93.35	0.46	63.0	4.13	17.38	7.34	67.12	34.02	22.59	31.45	16.27	11.82	40.93	1.45	1.79	2.25	63.0	13.32	15.0	9.48	6.26	24.28	27.84	3.35	1.62	0.92	120.94	85.22	2.71	32.13	5.54	22.26	3.26	2.63	74.06	63.89	32.59	33.06	54.33	3.26	15.22	8.06	3.69	21.63	115.16	0.67	5.19	28.45	89.51	3.0	16.27	3.17	19.53	12.64	46.18	21.63	155.5	109.66	136.19	72.52	98.73	78.89	158.79	76.71	70.51	170.25	73.54	32.13	138.1	151.22
TMEM35	205.5	38.4	10.31	204.07	15.22	16.27	281.09	5.32	7.28	3.2	239.52	62.12	152.28	204.07	155.5	178.77	241.19	54.72	120.1	85.82	152.28	134.3	47.84	22.92	175.07	34.51	180.02	229.72	660.68	221.86	9.63	128.79	25.54	6.16	131.51	258.57	42.71	37.32	171.45	363.56	139.07	158.79	52.45	68.07	98.73	307.69	0.21	178.77	140.04	16.63	60.82	67.59	246.28	493.56	3.06	503.95	22.59	127.89	69.03	265.87	108.14	94.67	140.04	42.71	60.39	145.02	6.94	2.2	21.16	283.05	63.0	96.01	19.97	18.03	90.14	120.94	16.88	33.54	18.03	346.29	246.28	24.46	144.01	30.56	166.73	15.56	45.53	373.81	166.73	82.29	135.24	281.09	33.3	43.32	63.0	17.51	88.88	327.56	3.53	32.59	180.02	323.03	18.97	82.29	14.56	82.29	105.15	269.6	107.38	384.34	536.45	660.68	329.84	525.39	656.11	403.5	325.29	316.37	575.03	381.68	190.34	507.46	728.11
TNS1	2468.49	651.58	85.82	1242.34	285.03	454.09	1819.35	46.18	208.38	83.45	890.44	599.49	1191.69	679.29	1487.87	1191.69	2417.67	902.89	866.07	890.44	1127.35	1191.69	753.83	447.82	1936.53	343.89	1417.35	1605.83	2335.28	1350.18	223.41	961.07	490.14	191.67	633.73	2855.44	503.95	368.65	412.0	2664.15	941.27	1498.22	575.03	480.04	819.3	1639.59	27.05	463.65	1127.35	175.07	536.45	325.29	2148.82	1991.0	91.41	2895.31	348.71	854.13	642.59	1583.71	896.64	866.07	1781.89	438.59	389.72	1135.2	289.02	80.01	183.82	1781.89	470.14	813.63	688.78	255.0	616.37	733.19	242.88	137.14	80.01	2163.77	2997.45	297.17	1008.9	255.0	723.08	267.73	165.57	1781.89	1977.24	1662.49	759.08	1417.35	258.57	808.0	500.46	148.09	1051.79	3103.19	85.22	409.15	441.64	2451.44	363.56	603.67	303.44	392.44	447.82	1991.0	1001.93	3235.01	3614.55	3665.02	2004.85	2163.77	2303.12	3540.14	2468.49	2351.53	4481.23	1628.26	890.44	3303.0	4095.0
TSPAN18	256.78	74.06	36.79	241.19	33.54	48.18	269.6	16.75	31.45	28.45	195.72	84.63	223.41	170.25	206.94	194.36	277.2	108.14	166.73	159.9	175.07	115.16	183.82	53.95	303.44	67.59	218.79	299.25	336.79	231.32	34.02	140.04	33.3	54.33	112.77	334.46	109.66	80.01	99.43	450.94	92.7	181.28	88.88	90.77	133.36	258.57	21.16	149.12	152.28	30.56	104.42	72.01	470.14	379.04	13.12	438.59	60.39	178.77	144.01	218.79	161.02	163.28	223.41	72.52	87.65	251.48	33.78	17.77	52.82	232.94	105.89	108.14	73.54	36.27	140.04	162.14	34.75	52.08	16.03	242.88	325.29	80.57	140.04	41.81	143.01	29.7	35.76	384.34	267.73	151.22	180.02	271.48	67.59	149.12	101.54	51.35	88.88	353.59	14.89	201.25	170.25	312.0	80.01	110.43	20.86	82.29	94.01	218.79	119.26	368.65	334.46	343.89	236.21	376.41	457.25	414.87	256.78	289.02	656.11	251.48	162.14	529.06	669.92
TSPAN2	208.38	81.71	30.56	299.25	48.18	77.25	228.13	20.71	34.51	18.7	248.0	140.04	255.0	212.78	258.57	403.5	376.41	149.12	181.28	109.66	341.51	231.32	121.79	84.04	303.44	34.75	214.27	450.94	470.14	289.02	70.51	187.71	80.01	47.5	129.69	403.5	94.01	63.45	104.42	395.18	327.56	228.13	94.01	99.43	122.64	232.94	4.39	173.85	190.34	53.57	154.42	113.56	435.55	466.88	11.38	555.41	71.0	181.28	133.36	303.44	156.59	140.04	269.6	79.45	201.25	131.51	69.52	19.82	37.32	334.46	72.01	191.67	96.01	35.25	101.54	220.32	113.56	104.42	37.32	460.44	376.41	49.91	152.28	69.03	163.28	72.52	43.32	480.04	172.65	232.94	138.1	244.57	76.71	146.03	150.17	25.91	102.25	376.41	18.56	51.35	224.97	486.75	79.45	167.9	45.21	71.5	120.1	414.87	170.25	412.0	642.59	698.41	293.07	599.49	444.72	603.67	341.51	339.14	511.0	323.03	244.57	400.71	444.72
UBXN10	38.12	6.84	1.46	27.84	1.73	4.06	33.78	1.55	1.87	0.85	39.79	9.63	26.47	19.68	29.27	22.92	43.63	6.46	16.51	18.03	19.39	20.11	13.03	2.34	42.41	7.88	48.18	39.5	90.77	38.4	2.66	19.68	19.53	3.47	17.9	41.22	10.55	9.06	16.75	57.89	31.0	25.35	5.87	7.82	13.32	49.91	0.55	16.15	18.29	3.2	17.51	5.77	51.35	82.87	0.89	53.57	5.45	12.36	18.84	39.5	17.64	12.45	18.43	5.77	11.47	24.99	1.93	0.33	5.32	53.57	8.85	13.93	7.63	5.11	16.03	25.54	2.78	3.35	0.8	61.68	40.93	3.32	24.63	5.77	20.56	16.63	4.66	53.57	43.02	16.27	31.22	47.5	6.01	4.94	12.55	2.63	13.52	44.25	0.26	18.97	37.59	49.56	3.35	7.82	2.18	8.06	11.64	34.75	14.89	49.21	64.34	104.42	56.68	111.99	100.13	85.82	43.32	52.45	103.69	53.19	33.78	126.12	81.71
VCL	2384.37	733.19	301.33	1427.22	607.87	480.04	1977.24	239.52	214.27	329.84	1295.13	723.08	1594.73	1119.56	1870.53	1605.83	1769.57	954.43	854.13	1268.46	1233.75	764.36	753.83	356.05	2119.22	518.15	1963.57	1467.37	3280.18	1151.06	457.25	1008.9	698.41	336.79	1015.93	1794.29	1030.12	583.07	808.0	3419.52	1561.89	1268.46	384.34	819.3	1015.93	2090.03	152.28	728.11	921.88	318.57	693.58	368.65	2209.26	2133.97	221.86	2645.74	518.15	988.12	738.29	1259.69	1096.5	890.44	1540.37	624.99	915.51	1277.29	395.18	191.67	332.14	1529.73	642.59	802.41	743.43	473.41	748.61	1447.15	435.55	346.29	255.0	2720.15	2627.46	332.14	819.3	320.8	909.17	291.04	432.53	1857.6	2018.8	1605.83	1104.13	1427.22	392.44	753.83	738.29	314.17	802.41	2720.15	289.02	607.87	1963.57	1674.06	343.89	679.29	423.61	486.75	633.73	1313.23	764.36	2915.45	1769.57	2502.97	1896.65	2351.53	2591.27	3928.15	1896.65	1896.65	5517.27	2351.53	1508.65	3820.7	4450.27
WFIKKN2	9.7	1.55	0.62	4.31	1.25	2.51	7.57	0.56	0.34	0.0	5.19	1.39	4.13	3.96	5.41	6.41	5.5	5.02	8.58	3.5	5.68	4.66	0.66	3.23	4.35	1.0	11.04	9.85	7.22	5.96	0.32	5.77	1.01	0.38	3.32	8.99	1.28	7.88	3.38	10.63	4.66	4.82	2.34	0.99	1.07	8.85	0.0	8.06	4.66	1.27	5.82	4.58	17.38	15.68	0.32	6.94	0.93	2.36	4.03	10.47	6.67	2.39	6.67	0.33	1.99	5.02	0.3	0.37	2.03	4.5	3.35	3.08	2.01	0.97	2.89	5.28	3.0	1.31	0.58	5.54	10.96	1.3	3.63	0.99	2.94	1.95	0.64	9.85	6.57	5.96	5.11	9.48	0.66	2.68	1.38	0.64	3.38	9.27	0.0	1.38	6.16	6.78	0.99	2.29	1.75	2.71	3.89	6.41	1.93	8.38	9.27	15.34	9.27	8.45	9.7	14.14	5.02	12.83	10.24	13.93	2.32	10.79	23.59
