	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.W5X1.2326.SM.3GIL6	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.A4NE.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.A4NV.01A.11R.A311.07	TCGA.ZS.A9CF.01A.11R.A38B.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.78.7156.01A.11R.2039.07	TCGA.78.7162.01A.21R.2066.07	TCGA.73.7498.01A.12R.2187.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7633.01A.11R.2066.07	GTEX.ZXG5.0826.SM.5GID6	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.145MF.0726.SM.5Q5BT	GTEX.OXRK.0926.SM.2HMKP	GTEX.12BJ1.1226.SM.5LUAE	GTEX.OHPM.2626.SM.33HC5
PLEKHA3	423.61	325.29	409.15	457.25	674.59	108.9	361.04	163.28	155.5	236.21	161.02	208.38	85.82	161.02	152.28	97.36	285.03	114.36	62.12	68.07	78.89	265.87	105.89	57.49	74.06	92.05	205.5	163.28	255.0	264.03	121.79	191.67	118.43	100.83	172.65	102.97	186.4	161.02	185.11	44.57	94.01	228.13	95.34	112.77	136.19	130.6	273.37	68.07	89.51	181.28	63.89	392.44	98.73	153.34	66.18	232.94	177.53	119.26	60.39	159.9	56.28	249.73	91.41	161.02	115.16	135.24	111.21	167.9	224.97	108.14	147.06	74.58	144.01	110.43	208.38	117.6	255.0	264.03	211.31	239.52	281.09	279.14	346.29	587.13	198.47	473.41	423.61	358.54	291.04	379.04	651.58	555.41
POLK	514.56	503.95	490.14	343.89	866.07	170.25	346.29	122.64	125.24	239.52	114.36	117.6	50.63	96.68	62.56	76.71	170.25	94.01	32.13	77.25	96.01	167.9	100.13	62.12	63.89	60.82	132.44	79.45	167.9	107.38	98.04	122.64	127.0	150.17	107.38	102.97	256.78	185.11	164.42	56.68	85.82	309.83	56.68	77.79	115.16	94.67	249.73	48.87	130.6	209.84	80.01	123.5	178.77	81.14	85.82	155.5	111.21	53.95	104.42	157.68	185.11	265.87	102.97	262.2	251.48	56.68	155.5	74.58	202.66	60.82	117.6	105.15	70.01	39.22	84.04	138.1	102.97	86.43	307.69	172.65	176.29	181.28	293.07	532.74	363.56	384.34	470.14	438.59	420.68	423.61	356.05	567.1
PPIP5K2	1277.29	947.83	1216.75	665.29	1832.01	299.25	607.87	361.04	287.01	500.46	336.79	341.51	223.41	271.48	224.97	251.48	356.05	258.57	320.8	392.44	343.89	420.68	273.37	211.31	194.36	209.84	327.56	336.79	466.88	217.27	287.01	242.88	221.86	356.05	409.15	232.94	381.68	423.61	343.89	221.86	232.94	500.46	140.04	217.27	285.03	336.79	486.75	183.82	129.69	371.22	185.11	490.14	283.05	166.73	244.57	500.46	312.0	143.01	226.54	438.59	366.09	384.34	463.65	480.04	406.31	155.5	169.07	301.33	470.14	204.07	255.0	253.23	170.25	221.86	249.73	273.37	234.57	221.86	470.14	305.55	358.54	297.17	400.71	412.0	547.75	583.07	669.92	559.28	397.93	387.02	387.02	536.45
PPM1B	1066.48	808.0	995.0	854.13	902.89	450.94	638.15	647.07	525.39	753.83	426.57	269.6	329.84	438.59	476.71	486.75	624.99	368.65	301.33	441.64	301.33	563.18	529.06	236.21	387.02	493.56	563.18	346.29	665.29	514.56	353.59	483.38	423.61	429.54	532.74	343.89	981.29	612.11	884.29	234.57	285.03	612.11	224.97	373.81	480.04	403.5	1175.27	255.0	327.56	563.18	373.81	616.37	426.57	244.57	339.14	447.82	414.87	332.14	242.88	423.61	450.94	753.83	819.3	836.53	693.58	327.56	379.04	381.68	708.18	412.0	450.94	447.82	248.0	503.95	406.31	802.41	307.69	656.11	759.08	497.0	583.07	543.96	733.19	830.75	842.36	764.36	802.41	656.11	753.83	819.3	1037.29	791.35
PREPL	1304.15	1127.35	1127.35	830.75	1519.15	281.09	414.87	356.05	256.78	457.25	316.37	215.77	185.11	211.31	190.34	201.25	327.56	271.48	139.07	271.48	217.27	480.04	239.52	125.24	139.07	144.01	255.0	204.07	271.48	429.54	221.86	187.71	334.46	249.73	119.26	285.03	423.61	339.14	351.14	153.34	221.86	497.0	135.24	177.53	229.72	320.8	343.89	102.97	244.57	260.38	206.94	579.04	289.02	205.5	190.34	379.04	260.38	201.25	178.77	301.33	285.03	435.55	293.07	511.0	444.72	256.78	220.32	248.0	525.39	182.55	244.57	123.5	303.44	66.65	295.11	135.24	466.88	638.15	988.12	532.74	583.07	441.64	813.63	1001.93	599.49	575.03	1397.83	1001.93	909.17	723.08	1191.69	1081.39
PURA	242.88	358.54	395.18	595.34	236.21	120.1	229.72	145.02	101.54	149.12	116.78	119.26	59.97	111.99	69.52	99.43	147.06	88.26	108.14	150.17	76.17	195.72	140.04	76.71	88.26	74.06	135.24	78.89	167.9	172.65	119.26	108.9	127.0	167.9	100.83	91.41	173.85	177.53	194.36	64.8	57.08	237.86	54.33	103.69	154.42	109.66	217.27	90.77	125.24	166.73	105.89	149.12	115.97	79.45	103.69	181.28	152.28	71.0	74.58	120.94	107.38	211.31	88.88	242.88	223.41	76.71	185.11	156.59	152.28	103.69	90.14	120.94	102.25	329.84	143.01	139.07	132.44	223.41	218.79	194.36	204.07	126.12	264.03	429.54	555.41	381.68	363.56	400.71	209.84	353.59	518.15	329.84
RAPGEF2	514.56	733.19	1030.12	1023.0	603.67	348.71	688.78	432.53	426.57	620.67	353.59	191.67	172.65	231.32	99.43	122.64	291.04	267.73	148.09	444.72	147.06	536.45	332.14	97.36	137.14	145.02	493.56	163.28	480.04	228.13	183.82	111.99	414.87	457.25	112.77	226.54	503.95	669.92	366.09	147.06	206.94	248.0	132.44	142.01	124.37	258.57	476.71	141.02	237.86	429.54	135.24	327.56	234.57	224.97	108.9	490.14	332.14	91.41	84.63	253.23	231.32	205.5	669.92	759.08	674.59	169.07	258.57	212.78	860.08	229.72	269.6	154.42	323.03	368.65	733.19	281.09	607.87	884.29	860.08	651.58	575.03	500.46	769.69	616.37	703.28	674.59	1583.71	603.67	1551.09	967.76	748.61	1561.89
RBM27	480.04	432.53	454.09	447.82	693.58	135.24	255.0	156.59	87.03	132.44	107.38	105.15	57.89	110.43	66.65	95.34	128.79	82.87	82.29	130.6	111.21	182.55	87.65	63.89	63.45	87.65	133.36	90.77	167.9	99.43	85.22	82.87	96.68	150.17	100.13	94.67	201.25	134.3	202.66	54.72	81.14	186.4	71.0	80.57	77.79	100.13	180.02	56.28	87.65	156.59	92.7	148.09	108.14	64.34	68.07	171.45	115.97	67.12	82.29	117.6	204.07	181.28	109.66	202.66	150.17	62.56	102.25	96.68	224.97	118.43	102.25	61.25	85.82	94.67	140.04	94.01	145.02	156.59	232.94	236.21	150.17	232.94	309.83	420.68	323.03	325.29	353.59	293.07	206.94	334.46	486.75	320.8
REST	518.15	361.04	476.71	423.61	669.92	70.01	171.45	133.36	71.0	113.56	106.63	62.12	71.0	90.77	32.82	65.72	84.63	85.22	63.89	85.22	93.35	125.24	96.01	59.13	43.63	64.8	72.52	77.25	123.5	52.45	90.77	63.0	124.37	91.41	68.07	65.72	81.14	121.79	112.77	42.41	91.41	126.12	47.17	45.85	78.89	95.34	133.36	53.95	68.55	97.36	75.11	117.6	76.71	52.45	54.72	122.64	105.89	58.71	63.45	89.51	75.11	111.21	108.9	172.65	125.24	75.11	83.45	92.05	181.28	92.7	111.99	92.7	91.41	32.59	112.77	91.41	158.79	86.43	260.38	193.01	165.57	180.02	158.79	258.57	305.55	318.57	351.14	301.33	206.94	318.57	334.46	381.68
RNF141	579.04	1199.98	1208.34	921.88	1143.1	256.78	463.65	303.44	303.44	395.18	195.72	273.37	187.71	251.48	229.72	358.54	343.89	223.41	283.05	185.11	162.14	599.49	224.97	228.13	244.57	226.54	379.04	218.79	194.36	297.17	214.27	356.05	368.65	212.78	175.07	363.56	607.87	373.81	314.17	99.43	202.66	356.05	253.23	279.14	303.44	228.13	339.14	130.6	204.07	305.55	231.32	237.86	318.57	234.57	193.01	287.01	384.34	267.73	211.31	339.14	346.29	264.03	166.73	490.14	246.28	231.32	327.56	273.37	595.34	189.02	256.78	201.25	397.93	248.0	353.59	195.72	447.82	392.44	376.41	703.28	511.0	493.56	679.29	607.87	460.44	483.38	728.11	518.15	1304.15	688.78	995.0	674.59
RNF169	159.9	228.13	215.77	248.0	356.05	38.95	95.34	55.1	33.3	95.34	40.64	31.45	18.16	34.02	18.7	24.11	47.84	43.02	36.53	31.45	43.02	80.57	63.0	14.24	17.38	16.88	61.68	28.65	52.45	37.05	36.79	24.63	40.07	52.08	34.51	29.27	101.54	47.84	120.94	18.84	35.5	68.55	23.25	21.16	26.1	60.39	56.28	15.11	23.08	38.95	27.84	55.1	41.22	19.68	21.63	52.08	46.18	23.42	18.43	31.9	28.24	76.17	41.81	88.26	85.22	19.53	74.58	32.13	77.79	28.86	21.01	17.25	24.63	48.52	38.12	27.64	62.56	41.22	164.42	126.12	162.14	111.21	138.1	126.12	149.12	133.36	141.02	175.07	202.66	117.6	194.36	187.71
RNF6	656.11	796.86	1081.39	884.29	825.0	205.5	361.04	305.55	205.5	303.44	239.52	154.42	140.04	262.2	115.97	228.13	157.68	236.21	120.94	236.21	201.25	387.02	215.77	177.53	63.45	215.77	329.84	146.03	215.77	218.79	178.77	122.64	224.97	285.03	185.11	239.52	217.27	299.25	287.01	183.82	232.94	307.69	100.13	97.36	164.42	232.94	381.68	102.97	158.79	190.34	208.38	332.14	127.0	70.01	159.9	265.87	153.34	119.26	108.14	218.79	164.42	420.68	214.27	387.02	198.47	137.14	134.3	189.02	447.82	205.5	167.9	145.02	220.32	141.02	191.67	121.79	307.69	373.81	536.45	366.09	348.71	536.45	389.72	612.11	368.65	376.41	387.02	543.96	473.41	674.59	723.08	651.58
RP11-159G9.5	309.83	232.94	356.05	373.81	106.63	21.47	88.26	59.97	36.53	75.11	32.13	21.47	9.63	20.11	3.03	7.4	37.85	23.59	15.22	18.16	18.03	55.1	32.82	1.45	2.94	8.0	48.87	12.09	56.68	28.24	13.52	18.56	43.02	49.91	21.16	29.7	58.71	51.71	81.71	22.26	10.63	69.03	10.79	11.64	13.72	31.67	33.06	4.24	9.56	36.79	6.41	83.45	14.03	5.59	7.88	36.79	52.82	10.71	2.12	17.51	15.34	67.59	34.26	100.13	43.63	7.0	24.81	25.91	128.79	4.78	16.39	7.06	31.22	25.35	61.25	27.44	69.52	108.9	75.64	66.65	53.19	56.68	77.79	187.71	115.16	127.89	187.71	138.1	88.88	127.89	229.72	119.26
RSF1	473.41	575.03	733.19	536.45	1259.69	112.77	206.94	88.88	123.5	183.82	197.09	153.34	88.88	130.6	74.06	107.38	129.69	205.5	132.44	100.13	120.94	186.4	121.79	88.26	80.01	46.5	153.34	105.89	128.79	85.22	124.37	140.04	125.24	189.02	122.64	94.01	142.01	170.25	218.79	94.01	56.28	185.11	75.64	54.33	100.83	144.01	167.9	133.36	83.45	153.34	97.36	106.63	105.15	62.56	91.41	133.36	172.65	76.71	75.64	91.41	84.04	157.68	84.04	255.0	150.17	106.63	176.29	134.3	150.17	77.79	94.67	90.14	91.41	107.38	116.78	186.4	131.51	155.5	346.29	271.48	287.01	226.54	271.48	583.07	336.79	334.46	384.34	351.14	314.17	525.39	669.92	511.0
SACM1L	915.51	665.29	743.43	802.41	1081.39	283.05	379.04	343.89	361.04	486.75	269.6	217.27	301.33	334.46	187.71	271.48	237.86	316.37	249.73	260.38	289.02	373.81	318.57	218.79	153.34	256.78	343.89	244.57	361.04	267.73	303.44	305.55	356.05	400.71	329.84	265.87	255.0	536.45	417.77	318.57	269.6	480.04	148.09	212.78	497.0	358.54	384.34	199.85	341.51	332.14	295.11	466.88	316.37	236.21	309.83	346.29	269.6	277.2	194.36	343.89	198.47	277.2	486.75	497.0	397.93	220.32	273.37	346.29	483.38	239.52	271.48	303.44	285.03	177.53	283.05	281.09	318.57	305.55	802.41	703.28	559.28	397.93	603.67	860.08	759.08	967.76	1044.52	1135.2	603.67	1467.37	796.86	1208.34
SLC10A7	182.55	199.85	190.34	256.78	341.51	68.07	194.36	176.29	100.83	178.77	108.14	76.71	46.84	98.73	29.7	68.55	85.22	78.89	43.94	95.34	66.18	121.79	85.22	46.18	42.41	52.82	149.12	100.83	95.34	107.38	117.6	38.4	100.83	86.43	52.45	53.19	154.42	101.54	186.4	105.15	105.89	94.67	59.13	56.68	92.7	102.97	153.34	41.52	69.03	141.02	52.82	65.26	84.63	67.12	65.26	116.78	128.79	53.95	46.5	76.17	69.52	50.63	194.36	142.01	271.48	68.55	77.25	100.13	255.0	67.12	56.68	55.89	67.12	56.68	57.49	72.01	108.9	70.01	133.36	129.69	123.5	145.02	173.85	256.78	193.01	182.55	353.59	211.31	170.25	161.02	246.28	231.32
SMAD1	656.11	780.44	647.07	775.05	1159.07	211.31	329.84	258.57	180.02	332.14	283.05	281.09	162.14	361.04	63.89	136.19	182.55	267.73	127.89	244.57	89.51	283.05	269.6	118.43	37.59	106.63	198.47	121.79	251.48	186.4	129.69	94.01	341.51	127.89	46.18	102.97	106.63	293.07	287.01	59.13	178.77	120.94	102.97	59.55	115.97	211.31	718.08	75.11	186.4	217.27	61.68	208.38	143.01	164.42	88.26	406.31	237.86	72.01	70.51	175.07	130.6	101.54	332.14	432.53	420.68	161.02	158.79	231.32	551.56	242.88	150.17	157.68	228.13	159.9	397.93	206.94	620.67	363.56	167.9	248.0	244.57	289.02	181.28	599.49	164.42	150.17	470.14	195.72	435.55	323.03	607.87	607.87
SMARCAD1	591.22	363.56	660.68	476.71	674.59	96.68	258.57	178.77	81.14	194.36	153.34	82.87	51.71	102.25	37.85	74.58	82.29	129.69	71.5	127.0	62.12	185.11	95.34	63.45	47.17	70.51	81.14	114.36	100.83	89.51	129.69	50.98	101.54	99.43	60.39	71.0	153.34	173.85	136.19	103.69	82.87	138.1	40.36	58.71	112.77	72.52	157.68	53.95	81.71	145.02	68.07	145.02	76.71	52.82	64.8	159.9	120.1	67.12	81.71	140.04	82.29	137.14	177.53	244.57	138.1	75.11	55.89	146.03	400.71	90.14	59.13	59.55	68.55	45.53	88.88	50.27	143.01	94.01	281.09	246.28	182.55	256.78	199.85	295.11	287.01	293.07	392.44	325.29	185.11	291.04	277.2	480.04
SMG1	693.58	555.41	813.63	791.35	698.41	148.09	212.78	223.41	89.51	242.88	171.45	100.13	71.0	117.6	62.12	83.45	116.78	94.67	98.73	109.66	79.45	191.67	135.24	71.5	46.5	80.01	130.6	100.83	220.32	84.04	110.43	107.38	175.07	110.43	82.87	62.56	123.5	156.59	256.78	57.08	99.43	165.57	58.71	54.33	67.59	164.42	156.59	70.01	73.54	93.35	120.94	312.0	72.01	102.25	64.34	164.42	167.9	71.5	51.71	133.36	106.63	218.79	161.02	329.84	305.55	63.45	165.57	167.9	223.41	106.63	112.77	111.99	153.34	314.17	121.79	166.73	215.77	137.14	303.44	177.53	285.03	166.73	163.28	368.65	351.14	371.22	409.15	460.44	234.57	361.04	450.94	748.61
SMIM15	1857.6	1617.0	1896.65	1397.83	1216.75	769.69	1487.87	1008.9	748.61	1233.75	708.18	941.27	400.71	796.86	713.11	830.75	981.29	612.11	483.38	718.08	819.3	981.29	511.0	591.22	480.04	733.19	915.51	629.35	780.44	890.44	587.13	713.11	591.22	642.59	796.86	796.86	1378.57	759.08	1397.83	559.28	769.69	909.17	595.34	551.56	463.65	791.35	1350.18	307.69	571.05	909.17	684.02	848.22	1037.29	493.56	642.59	1059.11	896.64	414.87	579.04	884.29	884.29	1030.12	872.1	1388.16	1081.39	583.07	525.39	563.18	1295.13	684.02	674.59	579.04	518.15	688.78	915.51	460.44	808.0	921.88	1088.92	947.83	1030.12	1127.35	1417.35	1388.16	915.51	947.83	928.3	1051.79	830.75	1081.39	1617.0	1023.0
STRN	473.41	320.8	447.82	336.79	591.22	70.01	112.77	56.28	70.01	124.37	59.13	47.84	35.25	63.45	40.07	69.03	88.26	65.26	34.51	56.68	58.3	90.77	56.28	37.32	42.41	43.63	72.01	73.03	55.1	71.5	48.87	56.68	63.0	56.68	84.04	52.45	136.19	73.54	99.43	42.11	43.02	118.43	33.54	44.57	63.89	72.01	85.82	36.79	44.89	82.29	50.98	101.54	63.45	48.52	53.57	68.07	75.64	56.68	45.21	72.52	51.35	140.04	63.0	97.36	137.14	46.84	88.88	61.25	128.79	85.82	68.55	46.5	49.56	74.06	46.84	57.49	73.03	87.03	180.02	145.02	127.89	140.04	155.5	293.07	206.94	241.19	318.57	285.03	206.94	211.31	316.37	193.01
STX17	332.14	525.39	525.39	444.72	563.18	140.04	318.57	133.36	108.9	191.67	149.12	180.02	70.51	136.19	94.67	74.58	142.01	140.04	101.54	127.0	111.99	237.86	141.02	71.5	72.01	78.89	149.12	68.55	152.28	124.37	78.89	77.79	173.85	136.19	119.26	117.6	187.71	239.52	332.14	73.54	67.12	113.56	92.05	69.52	143.01	137.14	223.41	92.7	98.04	208.38	94.67	253.23	105.15	138.1	87.65	194.36	110.43	67.12	54.33	130.6	107.38	228.13	145.02	384.34	140.04	104.42	183.82	143.01	406.31	102.97	122.64	87.03	189.02	127.89	202.66	177.53	193.01	204.07	275.28	201.25	239.52	244.57	167.9	353.59	336.79	323.03	500.46	406.31	275.28	339.14	470.14	447.82
TCF12	1037.29	947.83	1104.13	1286.18	2224.63	249.73	373.81	320.8	211.31	514.56	237.86	190.34	159.9	334.46	106.63	195.72	295.11	232.94	123.5	211.31	133.36	412.0	170.25	120.1	101.54	163.28	312.0	211.31	466.88	178.77	231.32	172.65	273.37	320.8	187.71	255.0	423.61	423.61	536.45	106.63	164.42	332.14	127.89	148.09	195.72	244.57	426.57	115.16	146.03	248.0	145.02	327.56	171.45	130.6	167.9	285.03	269.6	119.26	107.38	214.27	128.79	389.72	248.0	473.41	454.09	194.36	165.57	221.86	660.68	84.04	177.53	127.0	173.85	151.22	285.03	94.67	540.19	409.15	563.18	497.0	583.07	493.56	432.53	1745.2	1175.27	1331.57	1199.98	1397.83	579.04	866.07	1167.14	802.41
THAP6	366.09	297.17	525.39	332.14	454.09	148.09	202.66	178.77	110.43	251.48	129.69	100.83	69.52	129.69	72.52	84.04	121.79	112.77	81.14	119.26	84.63	186.4	130.6	88.26	116.78	101.54	120.1	158.79	122.64	193.01	124.37	79.45	153.34	122.64	40.07	103.69	211.31	175.07	175.07	139.07	92.7	123.5	46.5	82.29	149.12	118.43	164.42	81.14	95.34	128.79	100.13	120.94	146.03	91.41	105.15	146.03	105.89	115.16	102.25	145.02	107.38	176.29	147.06	204.07	159.9	115.97	96.01	128.79	218.79	71.0	149.12	109.66	154.42	72.52	138.1	110.43	148.09	223.41	258.57	147.06	283.05	130.6	176.29	273.37	169.07	140.04	281.09	215.77	191.67	176.29	256.78	314.17
THAP9	84.04	81.14	158.79	101.54	99.43	51.71	65.72	44.25	49.56	86.43	65.26	31.67	16.27	25.72	17.64	22.1	39.79	30.12	35.5	46.18	28.65	57.49	59.55	24.99	31.67	24.81	23.76	33.54	48.18	58.3	38.67	16.63	26.1	33.06	26.86	13.12	49.91	59.55	71.5	43.02	37.85	29.06	11.38	28.04	45.85	53.19	46.84	33.54	33.78	30.12	49.21	25.17	48.18	39.79	35.76	56.68	42.11	40.64	31.0	45.21	51.35	47.84	57.49	75.64	51.35	31.45	36.01	48.87	42.71	15.68	37.32	62.56	34.75	41.52	32.36	36.01	43.02	23.76	64.34	59.55	52.45	58.71	55.49	95.34	72.52	81.71	64.34	145.02	21.94	84.63	76.71	154.42
TMEM184C	620.67	353.59	551.56	813.63	954.43	164.42	406.31	444.72	148.09	361.04	204.07	151.22	114.36	214.27	92.05	153.34	171.45	166.73	136.19	249.73	146.03	242.88	150.17	86.43	98.73	169.07	423.61	157.68	275.28	190.34	149.12	90.77	226.54	194.36	86.43	156.59	332.14	190.34	412.0	220.32	148.09	170.25	158.79	159.9	165.57	166.73	255.0	93.35	115.16	262.2	146.03	241.19	199.85	144.01	127.89	316.37	185.11	124.37	128.79	197.09	180.02	152.28	511.0	384.34	279.14	195.72	182.55	131.51	381.68	117.6	167.9	109.66	214.27	262.2	307.69	212.78	297.17	457.25	255.0	320.8	287.01	334.46	381.68	476.71	529.06	493.56	470.14	470.14	177.53	441.64	1001.93	974.5
TRAPPC6B	447.82	423.61	518.15	624.99	718.08	162.14	246.28	236.21	221.86	323.03	236.21	202.66	182.55	214.27	271.48	135.24	228.13	189.02	291.04	237.86	242.88	264.03	269.6	140.04	255.0	191.67	303.44	115.97	265.87	195.72	226.54	171.45	232.94	172.65	325.29	249.73	403.5	320.8	316.37	132.44	229.72	341.51	121.79	199.85	379.04	273.37	303.44	158.79	208.38	229.72	260.38	251.48	136.19	214.27	187.71	297.17	246.28	206.94	194.36	226.54	231.32	283.05	267.73	291.04	303.44	221.86	234.57	320.8	490.14	327.56	281.09	299.25	228.13	198.47	236.21	293.07	214.27	483.38	318.57	309.83	307.69	256.78	325.29	669.92	299.25	303.44	665.29	476.71	224.97	389.72	575.03	454.09
TRIM23	289.02	295.11	381.68	463.65	780.44	102.25	269.6	153.34	92.7	128.79	118.43	81.71	58.71	75.64	79.45	65.26	134.3	103.69	56.28	85.22	66.18	141.02	110.43	51.35	55.89	63.45	108.14	76.17	143.01	119.26	103.69	68.55	98.73	123.5	90.77	75.64	208.38	152.28	148.09	46.84	69.52	187.71	44.57	89.51	124.37	105.89	126.12	49.56	87.65	154.42	76.17	114.36	98.73	58.3	52.08	107.38	95.34	36.01	79.45	131.51	79.45	221.86	78.89	175.07	149.12	52.08	85.82	99.43	197.09	72.52	109.66	87.03	59.13	46.5	95.34	75.11	115.97	177.53	136.19	140.04	100.83	97.36	154.42	358.54	262.2	224.97	291.04	277.2	122.64	314.17	392.44	346.29
TRIM44	490.14	780.44	808.0	1030.12	607.87	205.5	341.51	224.97	220.32	543.96	244.57	194.36	138.1	229.72	108.9	167.9	178.77	221.86	94.01	125.24	98.73	454.09	258.57	127.0	224.97	113.56	318.57	129.69	267.73	70.01	108.14	156.59	221.86	231.32	119.26	441.64	444.72	279.14	279.14	120.94	101.54	325.29	131.51	111.99	76.17	158.79	275.28	109.66	151.22	275.28	97.36	258.57	231.32	145.02	123.5	209.84	262.2	181.28	258.57	130.6	182.55	229.72	144.01	563.18	450.94	206.94	206.94	246.28	559.28	212.78	312.0	155.5	356.05	183.82	591.22	178.77	423.61	780.44	389.72	346.29	409.15	293.07	381.68	830.75	334.46	366.09	616.37	555.41	579.04	802.41	1119.56	587.13
UBA6	540.19	363.56	669.92	490.14	866.07	100.13	361.04	204.07	115.16	229.72	256.78	111.99	70.01	142.01	36.79	62.12	161.02	185.11	53.57	131.51	75.64	236.21	137.14	57.89	34.51	74.06	63.89	115.97	151.22	82.29	161.02	87.65	147.06	85.82	117.6	72.01	144.01	171.45	201.25	64.8	95.34	149.12	92.7	63.0	113.56	173.85	232.94	52.82	106.63	199.85	82.87	228.13	66.65	95.34	102.25	180.02	132.44	82.29	56.68	132.44	92.7	154.42	190.34	616.37	202.66	81.14	56.28	164.42	281.09	170.25	92.05	84.63	98.73	47.84	102.97	125.24	178.77	77.25	205.5	151.22	154.42	307.69	114.36	249.73	339.14	231.32	253.23	281.09	417.77	226.54	241.19	303.44
UBE3A	1183.45	1151.06	1313.23	1023.0	2032.85	351.14	486.75	476.71	395.18	603.67	312.0	271.48	239.52	334.46	187.71	289.02	435.55	339.14	291.04	423.61	215.77	466.88	314.17	215.77	255.0	312.0	435.55	325.29	525.39	400.71	334.46	376.41	397.93	503.95	457.25	323.03	500.46	503.95	514.56	262.2	231.32	507.46	193.01	312.0	466.88	412.0	417.77	256.78	172.65	325.29	376.41	346.29	289.02	277.2	299.25	426.57	447.82	157.68	287.01	366.09	316.37	507.46	473.41	583.07	514.56	258.57	305.55	351.14	872.1	312.0	334.46	309.83	242.88	316.37	351.14	353.59	341.51	460.44	753.83	563.18	493.56	583.07	587.13	866.07	679.29	769.69	1088.92	796.86	633.73	842.36	974.5	1044.52
