	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.11P7K.0626.SM.5985Z
LPP	1159.07	178.77	540.19	642.59	775.05	314.17	423.61	607.87	473.41	743.43	825.0	457.25	432.53	297.17	420.68	819.3	480.04	327.56	432.53	579.04	368.65	343.89	264.03	563.18	563.18	884.29	366.09	134.3	262.2	500.46	271.48	231.32	723.08	277.2	470.14	387.02	325.29	595.34	567.1	612.11	674.59	281.09	343.89	373.81	232.94	1561.89	988.12	323.03	232.94	441.64	842.36	156.59	1051.79	629.35	490.14	368.65	483.38	316.37	1008.9	241.19	490.14	669.92	301.33	285.03	379.04	262.2	255.0	616.37	1605.83	1870.53	1104.13	961.07	872.1	1051.79	688.78	733.19	1159.07	728.11	2720.15	1044.52	830.75	2701.35	599.49	1870.53	1594.73	743.43	460.44	954.43	1407.55	1151.06	1216.75
LRCH1	293.07	46.84	226.54	208.38	214.27	51.35	198.47	161.02	180.02	205.5	264.03	125.24	214.27	72.52	120.94	224.97	195.72	132.44	273.37	154.42	96.68	103.69	246.28	140.04	131.51	220.32	83.45	88.26	98.04	166.73	129.69	126.12	260.38	140.04	175.07	159.9	144.01	167.9	153.34	197.09	241.19	106.63	177.53	109.66	146.03	224.97	232.94	144.01	105.89	204.07	258.57	171.45	157.68	189.02	166.73	146.03	145.02	71.0	269.6	103.69	130.6	234.57	122.64	108.9	198.47	201.25	169.07	221.86	366.09	366.09	255.0	255.0	231.32	283.05	231.32	265.87	297.17	246.28	400.71	241.19	236.21	420.68	211.31	384.34	397.93	236.21	162.14	281.09	329.84	341.51	400.71
LRFN5	39.22	6.57	22.43	12.36	44.25	1.66	29.06	17.38	21.94	28.04	46.5	13.32	28.65	15.45	17.13	35.76	28.04	3.63	9.41	7.06	9.7	18.56	7.34	14.56	12.36	28.65	8.19	0.58	20.26	19.25	7.57	9.7	60.39	0.97	6.16	11.82	20.86	29.06	44.25	21.78	105.89	10.24	16.63	13.32	3.82	41.81	41.81	8.85	4.35	9.63	39.5	6.62	36.01	18.97	25.72	7.51	14.45	2.76	30.34	2.61	23.08	34.26	2.48	19.39	2.92	12.83	6.94	35.25	94.67	124.37	21.78	37.59	27.64	57.49	22.92	44.25	50.27	59.55	165.57	29.06	18.7	85.82	44.89	55.49	94.67	26.67	7.88	35.25	71.5	40.07	85.82
LZTFL1	303.44	171.45	229.72	271.48	275.28	164.42	232.94	287.01	209.84	236.21	279.14	217.27	285.03	150.17	236.21	242.88	237.86	208.38	182.55	239.52	314.17	275.28	63.89	305.55	232.94	283.05	151.22	212.78	120.94	223.41	159.9	187.71	267.73	156.59	295.11	239.52	237.86	253.23	228.13	289.02	271.48	204.07	154.42	197.09	176.29	343.89	336.79	256.78	142.01	271.48	361.04	113.56	332.14	221.86	237.86	177.53	215.77	187.71	269.6	197.09	193.01	277.2	154.42	191.67	123.5	178.77	82.87	351.14	435.55	426.57	265.87	403.5	454.09	532.74	301.33	454.09	470.14	226.54	476.71	231.32	327.56	373.81	363.56	447.82	450.94	307.69	241.19	376.41	368.65	688.78	454.09
MAPRE2	255.0	51.35	529.06	267.73	325.29	86.43	277.2	314.17	217.27	334.46	450.94	173.85	206.94	403.5	229.72	395.18	301.33	175.07	217.27	287.01	249.73	150.17	309.83	346.29	161.02	423.61	106.63	28.86	143.01	185.11	137.14	93.35	395.18	22.75	105.15	231.32	214.27	289.02	529.06	447.82	392.44	111.21	214.27	144.01	143.01	403.5	417.77	119.26	78.34	356.05	543.96	343.89	325.29	253.23	237.86	208.38	229.72	117.6	457.25	82.87	387.02	332.14	85.82	166.73	150.17	198.47	209.84	336.79	454.09	571.05	289.02	361.04	412.0	417.77	264.03	343.89	454.09	392.44	813.63	420.68	320.8	679.29	346.29	536.45	656.11	400.71	206.94	463.65	525.39	356.05	684.02
MBNL2	486.75	45.53	358.54	521.76	470.14	120.1	318.57	295.11	167.9	244.57	514.56	178.77	381.68	74.06	251.48	490.14	318.57	156.59	224.97	126.12	194.36	283.05	260.38	127.89	130.6	457.25	119.26	56.28	108.14	389.72	262.2	98.04	497.0	127.89	132.44	269.6	166.73	332.14	299.25	379.04	514.56	211.31	206.94	144.01	208.38	497.0	660.68	93.35	88.88	273.37	633.73	205.5	454.09	312.0	348.71	142.01	258.57	39.22	587.13	126.12	167.9	507.46	118.43	214.27	287.01	208.38	162.14	733.19	1015.93	1104.13	738.29	915.51	718.08	884.29	529.06	633.73	1001.93	444.72	1322.37	665.29	555.41	1119.56	587.13	878.17	1127.35	583.07	384.34	753.83	860.08	872.1	1143.1
ME1	105.15	16.88	134.3	89.51	100.13	53.95	82.87	108.14	72.01	82.87	155.5	48.52	93.35	31.45	26.86	135.24	91.41	33.54	67.12	12.74	46.5	55.1	126.12	24.11	60.82	169.07	45.85	5.87	90.14	127.89	62.56	23.08	122.64	38.12	150.17	51.71	74.06	63.89	85.22	105.15	112.77	35.5	32.82	61.68	18.7	133.36	134.3	21.63	55.49	58.3	100.13	44.89	92.05	82.29	80.01	35.0	58.71	49.91	108.14	28.04	102.25	111.99	22.1	44.25	8.0	43.94	45.53	229.72	201.25	291.04	150.17	131.51	142.01	279.14	142.01	236.21	159.9	149.12	412.0	156.59	164.42	395.18	131.51	253.23	217.27	138.1	93.35	199.85	229.72	239.52	395.18
MED20	299.25	148.09	314.17	325.29	395.18	215.77	343.89	336.79	197.09	265.87	346.29	236.21	373.81	169.07	253.23	376.41	309.83	197.09	314.17	281.09	246.28	242.88	277.2	293.07	202.66	307.69	220.32	157.68	205.5	264.03	201.25	249.73	332.14	262.2	206.94	283.05	202.66	316.37	283.05	309.83	392.44	242.88	269.6	264.03	262.2	373.81	312.0	251.48	165.57	291.04	358.54	291.04	281.09	353.59	325.29	246.28	361.04	289.02	309.83	244.57	264.03	316.37	239.52	279.14	267.73	199.85	236.21	379.04	332.14	353.59	387.02	376.41	348.71	450.94	381.68	426.57	381.68	368.65	353.59	343.89	351.14	387.02	353.59	373.81	403.5	379.04	343.89	480.04	423.61	356.05	366.09
MEF2A	536.45	142.01	339.14	373.81	429.54	163.28	295.11	318.57	329.84	400.71	435.55	285.03	403.5	242.88	208.38	454.09	366.09	234.57	271.48	291.04	262.2	231.32	242.88	285.03	293.07	473.41	241.19	136.19	148.09	299.25	249.73	199.85	543.96	264.03	255.0	397.93	279.14	392.44	381.68	417.77	417.77	204.07	267.73	289.02	255.0	642.59	563.18	293.07	155.5	249.73	521.76	166.73	429.54	339.14	334.46	255.0	395.18	228.13	507.46	258.57	262.2	503.95	269.6	264.03	249.73	182.55	199.85	457.25	753.83	1023.0	559.28	629.35	480.04	723.08	497.0	587.13	738.29	450.94	1183.45	460.44	500.46	1119.56	486.75	813.63	1023.0	473.41	287.01	656.11	915.51	718.08	785.88
MFN2	1059.11	529.06	1051.79	1023.0	1216.75	796.86	860.08	974.5	836.53	1030.12	1081.39	866.07	842.36	583.07	738.29	1331.57	934.76	518.15	1008.9	961.07	665.29	660.68	902.89	921.88	866.07	884.29	723.08	540.19	780.44	890.44	603.67	733.19	1008.9	819.3	603.67	921.88	708.18	872.1	684.02	1059.11	1104.13	718.08	808.0	688.78	753.83	1259.69	1059.11	738.29	684.02	842.36	866.07	684.02	896.64	974.5	1044.52	669.92	743.43	738.29	1233.75	791.35	796.86	1015.93	563.18	713.11	866.07	660.68	669.92	954.43	1191.69	1242.34	1175.27	1073.91	1359.57	1295.13	1119.56	1015.93	1143.1	1388.16	1769.57	1781.89	1135.2	2090.03	1088.92	1529.73	1340.84	1059.11	1059.11	1369.04	1427.22	1295.13	1685.71
MGLL	579.04	73.54	934.76	599.49	759.08	75.64	878.17	466.88	493.56	473.41	1001.93	309.83	540.19	395.18	127.0	775.05	1015.93	323.03	327.56	205.5	251.48	185.11	981.29	206.94	325.29	403.5	255.0	55.89	417.77	547.75	651.58	339.14	780.44	48.87	988.12	674.59	275.28	842.36	373.81	356.05	1498.22	457.25	297.17	218.79	72.01	507.46	703.28	121.79	204.07	463.65	981.29	674.59	438.59	281.09	693.58	143.01	476.71	490.14	679.29	423.61	400.71	748.61	199.85	297.17	358.54	351.14	921.88	525.39	836.53	1066.48	559.28	656.11	860.08	808.0	447.82	603.67	769.69	854.13	1674.06	1037.29	551.56	1819.35	759.08	915.51	967.76	660.68	429.54	974.5	1066.48	723.08	1259.69
MPDZ	591.22	163.28	409.15	395.18	392.44	199.85	314.17	320.8	281.09	480.04	629.35	267.73	463.65	253.23	187.71	420.68	397.93	224.97	314.17	303.44	249.73	409.15	318.57	341.51	273.37	318.57	275.28	161.02	248.0	400.71	249.73	212.78	532.74	368.65	231.32	426.57	285.03	470.14	351.14	358.54	379.04	262.2	339.14	269.6	255.0	563.18	603.67	368.65	211.31	403.5	490.14	264.03	503.95	371.22	470.14	229.72	363.56	226.54	473.41	264.03	228.13	543.96	368.65	336.79	220.32	339.14	351.14	371.22	612.11	961.07	620.67	500.46	470.14	607.87	525.39	547.75	559.28	438.59	967.76	444.72	497.0	1059.11	563.18	802.41	780.44	579.04	305.55	660.68	723.08	493.56	579.04
MR1	226.54	54.33	157.68	212.78	269.6	31.22	146.03	180.02	90.77	115.97	187.71	84.63	223.41	58.3	144.01	281.09	161.02	127.0	105.15	73.03	76.17	76.17	87.03	86.43	94.01	209.84	76.71	5.41	117.6	229.72	72.01	56.28	271.48	28.65	101.54	97.36	108.14	146.03	211.31	121.79	197.09	87.03	108.14	63.89	36.01	191.67	275.28	55.49	53.57	115.16	248.0	76.17	153.34	116.78	224.97	77.25	182.55	30.34	248.0	80.01	92.05	229.72	64.34	98.04	73.03	100.13	45.53	346.29	490.14	476.71	336.79	463.65	323.03	420.68	287.01	441.64	417.77	206.94	518.15	231.32	246.28	444.72	346.29	316.37	595.34	291.04	199.85	403.5	447.82	599.49	521.76
NACC2	251.48	70.51	277.2	244.57	323.03	91.41	208.38	255.0	232.94	255.0	264.03	226.54	106.63	108.14	73.03	334.46	260.38	49.56	189.02	246.28	105.15	150.17	150.17	161.02	237.86	217.27	84.63	60.39	165.57	183.82	124.37	114.36	229.72	68.07	217.27	205.5	156.59	232.94	115.16	205.5	232.94	176.29	166.73	126.12	76.17	384.34	320.8	73.03	102.25	158.79	246.28	144.01	251.48	211.31	269.6	142.01	97.36	158.79	376.41	173.85	169.07	366.09	95.34	163.28	172.65	126.12	132.44	181.28	363.56	518.15	307.69	260.38	316.37	336.79	228.13	242.88	289.02	441.64	753.83	457.25	332.14	718.08	246.28	466.88	397.93	236.21	189.02	318.57	381.68	373.81	521.76
NDE1	346.29	76.71	241.19	476.71	312.0	91.41	289.02	356.05	218.79	277.2	500.46	212.78	327.56	173.85	165.57	633.73	339.14	129.69	269.6	269.6	156.59	279.14	277.2	199.85	157.68	195.72	153.34	118.43	175.07	264.03	158.79	131.51	438.59	135.24	116.78	269.6	193.01	341.51	312.0	228.13	368.65	173.85	320.8	173.85	142.01	346.29	1051.79	211.31	151.22	229.72	264.03	223.41	277.2	438.59	320.8	148.09	289.02	218.79	480.04	236.21	199.85	397.93	193.01	226.54	237.86	236.21	215.77	679.29	723.08	1369.04	915.51	587.13	466.88	1030.12	441.64	358.54	651.58	466.88	954.43	511.0	426.57	2163.77	460.44	967.76	665.29	356.05	381.68	583.07	872.1	915.51	579.04
NFIA	447.82	289.02	244.57	348.71	381.68	229.72	262.2	271.48	381.68	260.38	285.03	323.03	244.57	206.94	346.29	417.77	305.55	241.19	265.87	221.86	255.0	281.09	241.19	285.03	371.22	387.02	283.05	165.57	177.53	215.77	269.6	166.73	346.29	260.38	334.46	220.32	253.23	291.04	312.0	351.14	358.54	214.27	180.02	307.69	173.85	470.14	403.5	275.28	193.01	232.94	525.39	361.04	454.09	251.48	283.05	277.2	234.57	303.44	414.87	281.09	299.25	301.33	281.09	224.97	237.86	229.72	204.07	271.48	571.05	595.34	450.94	466.88	336.79	384.34	348.71	303.44	395.18	346.29	718.08	420.68	373.81	620.67	341.51	591.22	656.11	314.17	348.71	346.29	432.53	412.0	583.07
NHSL2	51.71	3.0	16.51	14.78	37.85	5.11	9.85	16.39	5.15	21.94	32.59	12.93	13.62	7.69	9.06	18.29	16.75	6.16	6.84	11.3	12.27	6.94	7.88	9.34	14.56	21.63	6.36	1.36	3.44	13.32	3.86	4.13	29.48	4.66	8.19	8.65	16.39	20.26	13.72	27.05	33.3	8.85	10.0	12.64	1.31	31.0	56.28	5.36	2.16	10.24	35.76	4.31	37.32	8.65	18.16	3.79	12.27	1.43	27.64	19.68	5.68	29.48	6.41	7.4	5.77	3.59	5.87	26.47	70.51	85.82	39.5	31.22	36.27	34.51	25.17	26.86	45.53	14.67	118.43	31.67	27.05	91.41	26.86	74.58	96.68	21.47	8.99	40.64	64.8	39.22	38.67
NKD1	76.17	5.23	28.86	56.28	65.72	9.85	26.86	38.4	29.06	50.63	59.13	33.54	21.94	152.28	16.39	63.45	40.36	14.56	21.78	19.25	24.63	10.88	17.64	15.91	31.22	48.87	16.75	3.76	29.7	18.16	40.93	18.29	55.1	1.57	10.31	19.25	21.01	45.21	33.78	32.59	49.91	25.35	27.84	22.26	2.68	68.55	115.97	7.11	5.82	30.34	45.21	9.2	78.89	26.67	38.4	11.47	19.68	12.45	90.77	20.26	48.87	62.56	98.04	21.63	7.94	25.72	16.75	36.01	75.64	158.79	78.89	55.89	63.45	68.55	54.33	40.07	63.45	47.84	138.1	74.06	72.52	171.45	53.57	95.34	137.14	75.64	30.12	81.14	98.73	172.65	134.3
NLGN4Y	186.4	13.12	198.47	151.22	209.84	93.35	125.24	119.26	134.3	59.13	228.13	141.02	144.01	98.04	137.14	165.57	126.12	90.77	122.64	47.5	76.71	89.51	107.38	88.26	109.66	173.85	100.83	84.04	65.72	143.01	41.81	98.73	181.28	127.89	155.5	56.68	44.57	157.68	87.65	190.34	173.85	109.66	97.36	90.77	118.43	187.71	255.0	151.22	63.0	143.01	269.6	52.08	112.77	46.5	163.28	88.88	131.51	103.69	169.07	16.03	57.08	183.82	20.11	85.22	72.01	82.29	85.82	182.55	279.14	361.04	277.2	260.38	246.28	262.2	190.34	248.0	287.01	151.22	346.29	165.57	153.34	384.34	214.27	279.14	444.72	165.57	142.01	208.38	334.46	466.88	500.46
NNT	551.56	77.25	532.74	417.77	463.65	176.29	454.09	397.93	229.72	301.33	551.56	281.09	447.82	152.28	189.02	599.49	518.15	162.14	353.59	176.29	158.79	281.09	341.51	429.54	193.01	591.22	267.73	103.69	217.27	497.0	224.97	217.27	406.31	165.57	417.77	273.37	113.56	426.57	305.55	297.17	563.18	237.86	183.82	183.82	99.43	775.05	547.75	201.25	121.79	435.55	647.07	305.55	466.88	376.41	414.87	301.33	323.03	52.45	480.04	221.86	287.01	470.14	201.25	163.28	293.07	208.38	379.04	540.19	607.87	693.58	733.19	629.35	543.96	728.11	638.15	698.41	703.28	543.96	1008.9	603.67	665.29	1008.9	536.45	836.53	748.61	547.75	483.38	769.69	825.0	1037.29	1340.84
NOTCH1	185.11	32.82	158.79	220.32	277.2	29.27	109.66	194.36	120.1	150.17	182.55	133.36	151.22	85.22	49.91	195.72	229.72	72.01	96.68	121.79	44.89	74.06	325.29	122.64	77.79	76.71	77.79	37.05	142.01	215.77	48.87	71.0	384.34	36.53	140.04	205.5	143.01	135.24	96.68	146.03	106.63	85.82	242.88	96.01	40.93	145.02	368.65	101.54	73.03	76.71	244.57	81.71	147.06	105.89	241.19	106.63	167.9	88.88	409.15	89.51	57.08	376.41	116.78	111.99	153.34	128.79	108.9	191.67	563.18	400.71	514.56	507.46	244.57	242.88	197.09	229.72	309.83	167.9	525.39	198.47	190.34	457.25	327.56	480.04	547.75	164.42	146.03	279.14	387.02	187.71	339.14
NPTN	3395.89	954.43	3060.45	2627.46	3257.52	1183.45	2163.77	2400.97	1427.22	2451.44	2720.15	1909.85	2796.65	723.08	1477.58	3614.55	2468.49	896.64	1628.26	1540.37	1183.45	1498.22	1781.89	1685.71	1350.18	2075.59	1477.58	414.87	995.0	2555.58	1697.45	1008.9	2777.33	1044.52	1896.65	2739.08	1832.01	2163.77	2018.8	2451.44	2701.35	1697.45	1397.83	1286.18	1963.57	2451.44	3443.31	2075.59	1073.91	1950.0	2720.15	1628.26	2417.67	2351.53	1936.53	1081.39	1709.26	1111.82	3190.46	2701.35	1781.89	3081.75	995.0	1359.57	1617.0	1487.87	1277.29	3665.02	4639.29	5366.37	3665.02	3794.3	3716.2	5672.41	4010.71	5006.93	5006.93	2720.15	7230.1	2739.08	2997.45	6294.04	4066.71	5076.84	5366.37	3443.31	2271.4	5751.61	5183.54	4802.93	6699.25
PCDH9	29.91	0.71	10.47	9.85	24.81	1.91	14.24	8.51	16.63	10.31	19.25	5.28	12.09	5.06	4.35	21.63	12.27	2.68	7.22	4.54	1.39	8.38	4.39	9.06	5.36	19.11	4.58	0.0	3.0	29.27	4.43	3.03	18.03	0.72	2.56	6.73	7.0	16.75	9.27	12.45	19.82	5.36	8.78	6.46	8.78	36.01	26.86	3.0	3.03	4.28	20.56	4.17	20.71	10.71	14.35	2.36	8.71	1.66	15.91	1.46	4.5	27.84	3.03	7.51	2.71	5.77	3.96	18.7	44.57	35.5	25.35	36.27	35.5	33.78	20.56	20.41	37.32	35.76	74.06	19.68	12.55	38.95	29.27	43.02	63.0	19.68	5.15	14.03	46.5	53.19	88.88
PDE7B	58.71	9.63	41.81	43.94	36.53	9.41	39.79	36.01	38.95	37.59	46.5	28.45	31.0	13.22	21.94	46.84	39.79	17.25	26.1	19.68	18.16	34.75	17.0	21.16	26.86	44.57	18.43	8.0	23.25	26.86	21.16	14.56	65.72	6.73	18.7	73.03	80.01	35.76	29.7	43.02	36.53	14.89	14.45	26.86	9.56	57.89	56.68	16.15	19.11	34.02	55.89	9.41	42.71	29.48	48.52	16.51	33.78	13.03	41.81	26.67	31.0	59.97	14.89	24.11	7.82	16.51	15.68	48.87	79.45	89.51	43.94	50.27	68.55	102.25	36.79	72.01	65.72	69.03	220.32	61.25	46.5	133.36	53.19	88.26	166.73	86.43	36.01	55.89	102.25	55.89	120.1
PDPN	267.73	68.07	167.9	363.56	368.65	7.11	299.25	167.9	167.9	120.94	232.94	145.02	262.2	100.83	75.64	406.31	224.97	55.49	126.12	109.66	63.89	65.26	93.35	71.0	19.25	163.28	108.14	2.32	121.79	234.57	104.42	71.0	351.14	21.01	61.25	147.06	144.01	175.07	217.27	126.12	329.84	105.89	151.22	108.9	36.79	293.07	341.51	66.18	91.41	29.48	209.84	45.53	209.84	189.02	289.02	93.35	197.09	56.28	358.54	50.63	113.56	432.53	87.65	182.55	51.71	135.24	61.25	341.51	571.05	748.61	429.54	417.77	563.18	435.55	332.14	470.14	454.09	674.59	420.68	529.06	454.09	438.59	373.81	420.68	579.04	320.8	293.07	521.76	591.22	503.95	665.29
PELI2	113.56	51.71	68.55	73.54	104.42	20.11	48.52	77.79	57.08	44.57	73.54	33.54	82.87	49.91	94.01	70.51	75.64	52.82	39.79	33.54	75.64	28.45	59.97	28.04	56.28	86.43	80.01	35.5	24.46	43.02	33.06	64.34	100.83	96.01	43.63	61.25	69.52	76.71	75.64	92.05	93.35	53.57	40.64	26.67	17.13	80.01	92.7	63.89	32.36	55.49	109.66	66.65	66.65	55.1	79.45	55.89	74.58	52.45	104.42	89.51	47.5	120.94	44.25	51.35	52.45	56.68	42.71	59.55	146.03	161.02	111.21	120.94	94.67	111.21	84.04	106.63	135.24	67.12	226.54	103.69	60.39	170.25	80.57	138.1	172.65	78.34	74.58	115.16	127.89	105.15	189.02
PEX19	1322.37	915.51	1199.98	1216.75	1295.13	1151.06	1096.5	1104.13	791.35	1044.52	1159.07	1268.46	1066.48	748.61	1340.84	1304.15	1191.69	780.44	1081.39	1081.39	1088.92	1008.9	1127.35	1242.34	1167.14	1359.57	995.0	638.15	825.0	1175.27	665.29	1008.9	1216.75	1250.98	928.3	1143.1	941.27	1127.35	921.88	1242.34	1378.57	872.1	967.76	981.29	1066.48	1467.37	1340.84	1008.9	819.3	1175.27	1322.37	954.43	1304.15	1277.29	1242.34	748.61	967.76	1159.07	1208.34	1233.75	921.88	1073.91	802.41	866.07	713.11	884.29	915.51	1628.26	1437.15	1572.76	1378.57	1561.89	1662.49	2004.85	1340.84	1662.49	1651.0	1096.5	1794.29	1304.15	1583.71	1594.73	1322.37	1617.0	1685.71	1378.57	1208.34	1529.73	1662.49	1806.78	1781.89
PGAP1	97.36	11.38	49.91	67.12	71.5	28.24	37.85	41.81	28.86	36.27	63.45	34.75	61.25	38.12	18.56	63.45	46.84	22.26	22.26	29.48	34.26	37.85	28.86	63.0	35.25	72.52	26.67	6.89	11.04	64.8	19.11	13.52	85.22	20.56	19.97	40.07	24.28	32.36	57.08	93.35	63.0	32.59	31.0	23.76	20.56	127.89	90.14	30.78	12.93	30.34	104.42	45.21	68.55	39.79	51.35	22.59	46.5	25.54	93.35	48.18	27.44	81.71	18.43	34.02	20.71	17.0	15.56	115.16	151.22	130.6	153.34	164.42	75.64	99.43	88.26	82.87	153.34	60.82	183.82	66.65	93.35	108.9	88.88	120.94	138.1	64.34	48.52	92.7	131.51	149.12	111.99
PHACTR2	417.77	43.32	226.54	267.73	341.51	88.26	228.13	182.55	164.42	287.01	454.09	205.5	190.34	145.02	171.45	182.55	312.0	113.56	151.22	463.65	182.55	158.79	141.02	244.57	291.04	275.28	126.12	34.75	80.01	325.29	194.36	98.04	435.55	45.21	76.17	151.22	127.89	180.02	346.29	303.44	334.46	176.29	115.16	180.02	139.07	379.04	444.72	108.9	90.14	166.73	387.02	112.77	293.07	172.65	264.03	119.26	182.55	66.65	283.05	182.55	149.12	271.48	181.28	195.72	107.38	77.25	120.94	432.53	547.75	915.51	423.61	457.25	371.22	444.72	283.05	392.44	525.39	307.69	884.29	353.59	334.46	703.28	384.34	669.92	902.89	454.09	175.07	563.18	476.71	435.55	457.25
PIK3R1	819.3	128.79	373.81	642.59	698.41	131.51	429.54	525.39	267.73	312.0	438.59	368.65	785.88	211.31	212.78	728.11	514.56	155.5	218.79	199.85	228.13	237.86	181.28	376.41	209.84	400.71	234.57	120.1	153.34	420.68	197.09	105.15	412.0	161.02	269.6	228.13	177.53	463.65	503.95	511.0	753.83	237.86	206.94	229.72	231.32	733.19	656.11	267.73	111.21	244.57	775.05	241.19	633.73	503.95	403.5	190.34	389.72	115.16	599.49	277.2	363.56	1175.27	277.2	248.0	241.19	181.28	217.27	669.92	1216.75	1066.48	1044.52	1340.84	848.22	915.51	1427.22	748.61	1015.93	1001.93	1225.22	656.11	884.29	1037.29	669.92	1151.06	1322.37	532.74	403.5	1015.93	890.44	1397.83	1733.13
PLEKHA2	224.97	40.64	119.26	154.42	264.03	15.56	193.01	148.09	92.7	106.63	187.71	87.65	154.42	69.03	81.71	163.28	162.14	41.22	59.13	57.49	55.49	66.65	96.68	90.77	80.57	136.19	67.12	10.96	63.0	120.94	63.0	79.45	231.32	13.93	69.52	86.43	98.04	118.43	115.16	104.42	151.22	59.13	72.52	68.55	24.46	242.88	253.23	71.5	41.52	74.58	221.86	39.79	163.28	76.17	141.02	48.18	137.14	63.45	297.17	102.97	81.14	232.94	67.12	76.17	38.67	63.89	76.17	269.6	571.05	466.88	249.73	379.04	253.23	353.59	197.09	291.04	381.68	164.42	624.99	228.13	208.38	420.68	217.27	381.68	633.73	211.31	175.07	351.14	327.56	318.57	500.46
