	GTEX.SE5C.1026.SM.4BRUG	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.ZYFG.1926.SM.5GID5	GTEX.XUJ4.2126.SM.4BOOX	GTEX.13O61.1626.SM.5KM3T	GTEX.13FTW.2126.SM.5K7YG	GTEX.RWS6.1826.SM.47JXX	GTEX.SNOS.1226.SM.4DM5H	GTEX.X15G.1526.SM.4PQZM	GTEX.12WSJ.1426.SM.5GCON	GTEX.1399U.2226.SM.5KLZI	GTEX.YEC3.2026.SM.4WWFL	GTEX.13PL7.2426.SM.5J2N3	GTEX.13FH7.1526.SM.5J2N6	GTEX.QMRM.1226.SM.447C6	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.11P82.0426.SM.5HL5D	GTEX.1212Z.2026.SM.5N9EA	GTEX.131XE.1226.SM.5EGKF	GTEX.WYVS.0826.SM.4RTXB	GTEX.POMQ.0626.SM.3P61E	GTEX.WFJO.0726.SM.4LVM8	GTEX.13W3W.1726.SM.5LU4A	GTEX.131XF.0926.SM.5BC69	GTEX.YB5K.0726.SM.5LU8R	GTEX.WFG7.1026.SM.4LMK8	GTEX.TKQ2.1226.SM.4DXSV	GTEX.VJYA.0626.SM.4KL1S	GTEX.ZP4G.0926.SM.4WWF4	GTEX.1399R.0726.SM.5KM2A	GTEX.111CU.0626.SM.5EGHL	GTEX.11P81.0926.SM.59874	TCGA.AG.3732.11A.01R.1660.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZTX8.0426.SM.59HLG	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
SOGA1	327.56	403.5	429.54	381.68	166.73	547.75	175.07	194.36	185.11	158.79	189.02	63.0	167.9	153.34	107.38	197.09	164.42	199.85	85.82	447.82	373.81	303.44	339.14	473.41	463.65	269.6	473.41	483.38	281.09	363.56	435.55	392.44	312.0	525.39	660.68	376.41	281.09	703.28	470.14	567.1	559.28	547.75	457.25	376.41	460.44	332.14	463.65	307.69	536.45	392.44	387.02	651.58	503.95	656.11	384.34	432.53	529.06	836.53	470.14	381.68	848.22
SP4	25.72	70.01	55.89	30.12	38.4	45.53	53.57	32.13	43.94	24.46	51.35	25.17	45.85	33.3	32.36	41.52	42.71	24.99	21.01	47.5	59.13	31.22	38.12	65.26	51.71	79.45	52.45	72.01	40.07	48.18	46.18	42.41	30.78	58.71	62.56	88.88	87.03	96.01	105.15	102.97	88.88	120.94	131.51	48.87	86.43	223.41	41.52	69.52	53.57	39.79	74.58	72.01	39.22	93.35	58.3	53.95	75.64	42.41	98.04	63.0	33.06
TAOK1	175.07	371.22	358.54	305.55	190.34	348.71	289.02	181.28	215.77	167.9	199.85	92.05	145.02	191.67	125.24	212.78	145.02	206.94	113.56	339.14	299.25	139.07	177.53	420.68	248.0	287.01	269.6	460.44	228.13	241.19	348.71	256.78	265.87	341.51	312.0	334.46	379.04	521.76	403.5	426.57	432.53	500.46	329.84	339.14	283.05	429.54	291.04	229.72	353.59	309.83	325.29	384.34	232.94	532.74	239.52	305.55	343.89	373.81	389.72	368.65	346.29
TEAD1	995.0	2287.2	1651.0	1896.65	507.46	3690.52	624.99	435.55	423.61	603.67	579.04	148.09	397.93	529.06	463.65	454.09	466.88	674.59	277.2	802.41	791.35	226.54	409.15	490.14	587.13	928.3	583.07	1628.26	412.0	417.77	909.17	688.78	1051.79	703.28	1313.23	693.58	2485.67	1733.13	1407.55	2104.58	1950.0	2502.97	1250.98	780.44	698.41	2209.26	1073.91	1208.34	1819.35	1304.15	1199.98	1397.83	967.76	1977.24	1242.34	1001.93	1143.1	1769.57	1844.76	1467.37	1674.06
TLK1	289.02	728.11	780.44	551.56	381.68	638.15	591.22	412.0	486.75	555.41	529.06	314.17	332.14	392.44	447.82	480.04	381.68	417.77	343.89	493.56	620.67	356.05	376.41	521.76	559.28	518.15	373.81	638.15	441.64	447.82	743.43	503.95	511.0	674.59	571.05	651.58	791.35	1183.45	988.12	813.63	896.64	1216.75	860.08	603.67	928.3	934.76	665.29	660.68	872.1	860.08	825.0	1081.39	514.56	1096.5	738.29	915.51	854.13	669.92	1030.12	860.08	743.43
TMEM245	547.75	974.5	769.69	759.08	400.71	1529.73	583.07	514.56	607.87	551.56	563.18	208.38	379.04	389.72	460.44	713.11	363.56	454.09	371.22	1857.6	902.89	397.93	551.56	1096.5	884.29	860.08	684.02	974.5	599.49	802.41	947.83	1008.9	830.75	1088.92	902.89	995.0	1519.15	2148.82	2287.2	1628.26	1991.0	2148.82	1183.45	1008.9	1407.55	1487.87	941.27	1008.9	1225.22	1127.35	1008.9	1397.83	764.36	1295.13	1183.45	1572.76	1268.46	1119.56	1605.83	1268.46	1081.39
TMX4	830.75	954.43	884.29	728.11	521.76	1519.15	620.67	500.46	583.07	503.95	583.07	249.73	366.09	753.83	547.75	521.76	423.61	571.05	348.71	723.08	684.02	400.71	476.71	748.61	665.29	830.75	551.56	947.83	540.19	624.99	915.51	607.87	595.34	947.83	665.29	988.12	1250.98	1498.22	1572.76	1259.69	1369.04	1369.04	974.5	723.08	1051.79	1551.09	921.88	1015.93	1313.23	1378.57	1023.0	1167.14	854.13	1233.75	1583.71	981.29	967.76	1295.13	1159.07	1250.98	1175.27
TNRC6B	57.08	145.02	115.97	102.25	99.43	120.94	126.12	67.12	92.05	63.45	84.63	48.87	85.82	65.72	28.04	79.45	73.54	55.49	29.91	135.24	158.79	109.66	132.44	208.38	169.07	145.02	154.42	154.42	80.57	103.69	175.07	164.42	111.99	198.47	113.56	138.1	104.42	271.48	229.72	262.2	253.23	309.83	218.79	218.79	275.28	264.03	181.28	118.43	170.25	166.73	256.78	314.17	149.12	187.71	131.51	336.79	258.57	231.32	253.23	220.32	158.79
TROVE2	212.78	368.65	303.44	209.84	159.9	293.07	212.78	167.9	154.42	128.79	191.67	91.41	104.42	140.04	105.89	190.34	104.42	150.17	114.36	309.83	234.57	105.89	209.84	323.03	244.57	281.09	214.27	406.31	242.88	202.66	277.2	211.31	209.84	332.14	209.84	351.14	323.03	460.44	441.64	500.46	460.44	638.15	363.56	454.09	392.44	500.46	246.28	289.02	409.15	363.56	346.29	395.18	297.17	447.82	327.56	327.56	318.57	309.83	387.02	356.05	305.55
VEZF1	1183.45	1477.58	1340.84	1242.34	769.69	1923.14	1088.92	902.89	890.44	941.27	947.83	420.68	819.3	796.86	813.63	872.1	775.05	967.76	563.18	1628.26	1268.46	633.73	981.29	1151.06	1127.35	1487.87	1151.06	1883.54	934.76	1030.12	1457.23	1250.98	1151.06	1378.57	1331.57	1447.15	1844.76	2018.8	1709.26	1870.53	1857.6	2209.26	1304.15	1015.93	1167.14	1936.53	1037.29	1081.39	1745.2	1508.65	1467.37	1388.16	1191.69	1674.06	1407.55	1313.23	1304.15	1388.16	1508.65	1340.84	1322.37
WDR35	55.89	137.14	143.01	128.79	81.71	224.97	108.14	92.05	88.88	90.14	115.16	21.32	61.68	100.13	79.45	73.03	95.34	102.97	41.52	166.73	178.77	79.45	161.02	164.42	140.04	164.42	170.25	220.32	166.73	149.12	159.9	170.25	150.17	143.01	191.67	176.29	218.79	255.0	226.54	224.97	289.02	275.28	155.5	89.51	147.06	279.14	164.42	137.14	185.11	165.57	246.28	166.73	97.36	316.37	152.28	135.24	329.84	246.28	316.37	175.07	170.25
ZBTB25	91.41	140.04	149.12	102.25	96.01	131.51	107.38	115.97	123.5	108.9	75.64	57.08	145.02	73.54	74.58	73.54	114.36	114.36	63.0	152.28	157.68	134.3	198.47	166.73	212.78	130.6	186.4	140.04	214.27	111.21	162.14	226.54	141.02	151.22	115.16	127.0	182.55	275.28	351.14	232.94	318.57	289.02	185.11	232.94	218.79	201.25	214.27	130.6	191.67	156.59	164.42	251.48	104.42	223.41	183.82	164.42	214.27	178.77	177.53	206.94	167.9
ZC3H12B	13.12	34.02	29.7	28.65	22.43	43.94	29.91	24.46	18.43	25.17	25.54	10.16	24.99	20.11	11.13	10.08	20.41	21.63	12.64	33.3	41.22	22.26	27.25	38.95	38.12	29.7	31.67	41.81	30.34	24.28	37.59	37.32	23.93	38.67	29.27	39.22	48.18	44.89	53.95	58.71	61.25	63.0	70.01	63.0	88.26	60.82	25.72	26.86	50.27	37.59	54.72	59.55	33.06	55.1	13.93	41.52	55.89	47.5	48.18	44.57	52.45
ZC3H13	563.18	607.87	647.07	571.05	384.34	728.11	595.34	392.44	473.41	540.19	466.88	189.02	392.44	397.93	366.09	438.59	318.57	454.09	293.07	802.41	775.05	295.11	525.39	808.0	693.58	713.11	679.29	759.08	536.45	728.11	642.59	698.41	642.59	723.08	743.43	802.41	620.67	1369.04	1081.39	1111.82	1242.34	1051.79	890.44	497.0	780.44	1008.9	693.58	624.99	748.61	842.36	825.0	775.05	426.57	1175.27	665.29	733.19	1037.29	808.0	1427.22	1001.93	723.08
ZC3H6	38.95	88.88	65.26	50.98	45.53	75.11	82.29	44.25	73.54	47.5	61.25	18.7	65.72	25.72	40.93	40.36	57.89	35.25	13.72	116.78	120.1	77.79	81.71	147.06	115.16	111.99	118.43	156.59	61.68	90.77	137.14	111.21	83.45	129.69	110.43	153.34	117.6	189.02	194.36	397.93	329.84	297.17	178.77	293.07	187.71	125.24	138.1	96.01	106.63	109.66	165.57	253.23	70.51	148.09	105.15	208.38	155.5	75.11	279.14	172.65	96.01
ZFHX3	126.12	273.37	275.28	190.34	100.83	256.78	139.07	115.97	123.5	100.83	108.14	39.22	85.22	118.43	79.45	100.83	69.52	115.16	43.94	241.19	175.07	89.51	113.56	153.34	162.14	125.24	156.59	189.02	137.14	105.89	133.36	141.02	194.36	157.68	205.5	138.1	201.25	629.35	521.76	638.15	551.56	638.15	264.03	249.73	229.72	441.64	329.84	221.86	500.46	339.14	381.68	318.57	258.57	320.8	239.52	341.51	307.69	307.69	258.57	376.41	273.37
ZFPM2	154.42	406.31	403.5	96.68	52.82	148.09	77.79	79.45	75.64	66.65	64.34	21.47	66.18	55.1	63.89	57.49	56.28	100.13	22.59	323.03	186.4	127.0	96.01	139.07	224.97	159.9	130.6	143.01	120.94	135.24	221.86	120.94	127.89	161.02	125.24	194.36	146.03	435.55	444.72	400.71	435.55	441.64	358.54	194.36	312.0	473.41	215.77	309.83	314.17	191.67	229.72	299.25	189.02	406.31	204.07	262.2	162.14	195.72	283.05	242.88	209.84
ZNF280C	21.16	42.11	31.0	26.28	28.65	32.36	26.47	26.1	33.06	20.41	33.06	14.89	30.12	30.78	16.88	23.59	24.63	33.78	13.03	37.05	50.63	15.56	41.52	48.18	45.21	49.21	36.79	67.12	38.4	31.45	68.07	36.27	24.99	53.57	34.51	51.35	46.18	87.65	68.07	75.64	57.89	73.03	38.12	57.49	66.65	61.68	38.4	41.22	59.55	43.63	55.1	49.56	33.3	68.55	23.76	57.89	41.81	52.45	40.36	53.57	52.45
ZNF319	260.38	191.67	239.52	161.02	143.01	209.84	155.5	208.38	94.01	121.79	138.1	74.58	127.0	69.52	157.68	108.9	127.0	157.68	92.05	165.57	171.45	148.09	258.57	170.25	234.57	177.53	214.27	178.77	147.06	234.57	215.77	281.09	241.19	253.23	175.07	237.86	153.34	327.56	277.2	271.48	320.8	356.05	236.21	258.57	307.69	239.52	305.55	279.14	301.33	244.57	232.94	358.54	127.0	237.86	220.32	387.02	267.73	183.82	432.53	490.14	358.54
ZNF483	16.27	21.16	11.91	30.34	10.79	57.49	21.47	15.45	18.56	15.22	18.56	7.63	14.03	16.75	16.88	16.75	11.91	9.13	8.0	34.75	33.06	24.99	63.89	55.1	66.65	30.34	32.82	50.27	21.01	13.93	63.45	59.97	19.53	49.91	38.67	44.89	48.52	85.22	134.3	96.68	106.63	154.42	57.08	65.72	62.56	178.77	41.52	84.63	27.84	49.21	30.56	98.73	25.54	98.04	14.56	67.59	56.68	57.08	76.71	50.63	52.45
ZNF496	211.31	373.81	336.79	343.89	291.04	540.19	323.03	314.17	305.55	303.44	371.22	141.02	262.2	212.78	309.83	226.54	329.84	314.17	150.17	409.15	392.44	363.56	353.59	414.87	547.75	371.22	389.72	414.87	275.28	368.65	454.09	389.72	309.83	361.04	269.6	480.04	476.71	540.19	738.29	563.18	624.99	769.69	503.95	629.35	607.87	460.44	414.87	493.56	384.34	435.55	353.59	620.67	529.06	426.57	314.17	656.11	444.72	540.19	483.38	514.56	521.76
ZNF532	503.95	866.07	878.17	796.86	412.0	1757.34	599.49	332.14	518.15	463.65	536.45	101.54	444.72	476.71	339.14	327.56	356.05	429.54	181.28	995.0	830.75	356.05	490.14	915.51	1051.79	642.59	688.78	890.44	480.04	536.45	1143.1	890.44	764.36	825.0	728.11	802.41	1216.75	1721.16	1242.34	1304.15	1216.75	1313.23	1023.0	713.11	848.22	1286.18	813.63	583.07	1151.06	909.17	1159.07	1183.45	684.02	995.0	521.76	1277.29	967.76	967.76	1104.13	928.3	718.08
