	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
OLFM1	698.41	1191.69	204.07	1096.5	1066.48	713.11	583.07	17.51	24.81	68.07	941.27	1225.22	1561.89	607.87	1233.75	457.25	1605.83	75.64	656.11	1104.13	1519.15	866.07	551.56	866.07	1135.2	2133.97	195.72	3280.18	19.11	616.37	122.64	872.1	115.97	1923.14	785.88	46.5	102.25	130.6	178.77	77.25	67.12	23.25	59.55	129.69	55.89	59.13	29.7	38.67	41.81	71.5	157.68	71.0	12.27	12.74	0.0	0.71
P2RX5-TAX1BP3	6.06	6.06	7.82	2.07	15.91	7.0	3.2	4.9	2.29	6.52	3.08	4.94	4.58	3.96	4.5	8.78	4.62	2.16	15.0	6.16	8.38	7.4	14.14	6.01	4.54	7.34	3.59	4.06	1.23	3.0	3.32	5.06	0.96	9.93	13.62	3.11	2.76	2.68	4.5	3.11	3.44	3.79	2.2	1.85	2.89	1.97	2.61	3.53	3.26	3.06	3.44	3.59	0.27	1.69	0.0	0.0
PAQR4	420.68	753.83	329.84	521.76	728.11	297.17	603.67	450.94	718.08	2163.77	229.72	543.96	521.76	591.22	947.83	412.0	229.72	346.29	785.88	353.59	748.61	1151.06	878.17	525.39	551.56	743.43	559.28	1199.98	723.08	289.02	153.34	656.11	819.3	1794.29	269.6	1175.27	255.0	28.86	55.89	42.41	43.63	24.11	37.05	34.02	29.7	30.34	14.89	43.02	45.85	23.76	35.0	22.59	29.7	14.35	0.0	0.34
PCDHA8	1.38	0.0	0.36	7.63	3.69	4.03	0.99	0.0	4.28	1.39	2.18	1.25	5.5	4.94	0.0	0.36	1.35	0.0	2.36	2.92	0.65	50.27	10.79	0.32	0.59	20.11	0.38	39.22	1.27	7.17	7.82	20.56	0.99	0.62	0.0	32.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.46	0.0	0.0	0.52	0.0	0.0	0.0	0.04
PCLO	88.26	124.37	205.5	147.06	260.38	69.52	143.01	52.45	89.51	67.12	191.67	102.97	134.3	120.94	241.19	107.38	241.19	95.34	279.14	72.01	297.17	371.22	368.65	45.21	249.73	493.56	80.01	151.22	94.01	161.02	16.27	131.51	109.66	738.29	215.77	206.94	38.4	16.15	6.94	10.55	3.72	0.0	0.0	8.06	2.23	16.39	1.1	2.32	7.11	6.41	1.73	4.94	1.16	4.24	0.0	0.09
PDHX	860.08	624.99	638.15	629.35	651.58	748.61	775.05	802.41	698.41	624.99	595.34	450.94	595.34	708.18	638.15	521.76	890.44	629.35	769.69	460.44	934.76	890.44	1143.1	830.75	728.11	954.43	607.87	3589.58	480.04	583.07	490.14	813.63	872.1	2915.45	854.13	1001.93	529.06	503.95	447.82	551.56	450.94	486.75	514.56	555.41	629.35	521.76	420.68	500.46	647.07	503.95	551.56	476.71	660.68	395.18	0.0	0.55
PEX5L	4.43	29.91	2.43	101.54	98.04	624.99	5.15	1.2	0.37	2.1	35.76	183.82	2.48	12.93	23.42	6.78	42.71	3.14	143.01	2.23	16.15	165.57	305.55	2.76	0.89	16.27	1.13	10.55	71.5	1.55	14.45	1.31	63.0	108.14	141.02	88.26	1.14	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.19
PHC1	432.53	169.07	450.94	518.15	397.93	318.57	397.93	356.05	629.35	205.5	775.05	147.06	480.04	417.77	486.75	214.27	503.95	316.37	540.19	249.73	571.05	540.19	417.77	420.68	155.5	872.1	414.87	684.02	249.73	1059.11	283.05	175.07	314.17	497.0	417.77	540.19	348.71	114.36	127.89	72.52	102.25	55.1	63.89	93.35	41.81	40.93	46.5	73.54	87.65	53.95	87.03	79.45	24.63	13.72	0.0	0.8
PHF21A	575.03	262.2	480.04	493.56	525.39	397.93	332.14	249.73	429.54	325.29	332.14	241.19	441.64	323.03	339.14	309.83	473.41	444.72	563.18	299.25	587.13	490.14	500.46	368.65	265.87	848.22	529.06	376.41	249.73	579.04	251.48	395.18	414.87	941.27	599.49	567.1	264.03	120.1	190.34	124.37	78.89	76.17	45.85	109.66	87.03	128.79	109.66	113.56	122.64	111.21	131.51	96.68	78.34	164.42	0.0	0.43
PHF21B	58.71	17.9	21.32	262.2	480.04	3.38	98.73	0.42	11.3	2.73	35.5	45.21	163.28	42.71	169.07	1.97	10.39	5.45	341.51	37.85	49.91	86.43	297.17	14.56	1.66	246.28	13.52	189.02	0.0	23.08	0.0	7.63	12.83	366.09	307.69	0.0	3.11	0.0	0.0	0.0	0.0	0.0	0.0	2.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33
PHF6	241.19	224.97	435.55	255.0	142.01	224.97	209.84	231.32	353.59	167.9	260.38	167.9	325.29	217.27	256.78	307.69	684.02	201.25	249.73	426.57	518.15	507.46	361.04	214.27	281.09	295.11	228.13	303.44	291.04	260.38	299.25	223.41	221.86	387.02	239.52	358.54	169.07	65.72	78.34	76.71	57.08	42.41	36.27	51.35	36.79	67.59	47.84	59.55	90.14	49.21	71.5	70.51	35.0	17.51	0.0	0.46
PHTF1	147.06	206.94	341.51	299.25	339.14	269.6	177.53	255.0	186.4	198.47	175.07	239.52	301.33	197.09	587.13	138.1	406.31	325.29	297.17	195.72	400.71	476.71	336.79	275.28	132.44	381.68	190.34	536.45	320.8	305.55	158.79	201.25	197.09	525.39	211.31	947.83	88.88	76.71	95.34	125.24	78.89	74.06	63.89	108.14	98.73	105.89	75.11	109.66	88.26	103.69	121.79	111.21	63.45	43.32	0.0	0.59
POLA1	197.09	204.07	460.44	237.86	128.79	110.43	98.73	149.12	176.29	76.71	151.22	231.32	181.28	180.02	417.77	153.34	224.97	137.14	299.25	220.32	366.09	420.68	159.9	161.02	193.01	256.78	145.02	187.71	209.84	277.2	154.42	157.68	145.02	314.17	110.43	256.78	65.26	26.1	34.51	33.78	28.45	19.68	21.78	23.93	24.81	33.06	21.47	24.28	34.02	21.47	27.05	19.82	12.83	28.86	0.0	0.42
POU2F1	126.12	126.12	143.01	146.03	133.36	161.02	139.07	67.59	172.65	177.53	117.6	93.35	146.03	134.3	144.01	169.07	312.0	87.65	143.01	81.71	71.5	144.01	117.6	105.15	73.54	176.29	141.02	109.66	80.57	147.06	111.21	143.01	152.28	170.25	223.41	113.56	88.26	18.56	44.89	34.02	42.11	26.67	13.52	44.57	21.16	38.4	19.53	50.63	35.0	29.91	36.27	28.65	28.86	38.12	42.71	57.49
PPP2R2C	529.06	480.04	3.66	665.29	575.03	397.93	197.09	4.62	137.14	118.43	1.71	532.74	616.37	967.76	490.14	974.5	934.76	253.23	329.84	307.69	624.99	2.68	708.18	723.08	212.78	559.28	1.22	1651.0	21.32	497.0	1.36	142.01	2.12	1519.15	392.44	0.38	738.29	1.39	4.21	0.0	2.73	0.0	5.63	21.32	0.0	0.0	0.0	0.0	3.99	0.0	0.0	0.0	0.0	0.29	329.84	244.57
PREPL	775.05	397.93	748.61	961.07	808.0	775.05	587.13	507.46	708.18	463.65	813.63	547.75	607.87	872.1	1111.82	480.04	1051.79	507.46	1081.39	583.07	813.63	2287.2	1540.37	532.74	718.08	890.44	447.82	620.67	624.99	1350.18	825.0	769.69	769.69	1467.37	1295.13	713.11	332.14	244.57	295.11	334.46	150.17	251.48	197.09	173.85	167.9	214.27	159.9	264.03	327.56	191.67	291.04	208.38	63.0	80.01	0.0	0.48
PRMT8	8.0	5.73	1.04	2.97	52.08	32.59	0.0	0.6	1.66	0.36	1.25	0.33	1.55	0.35	2.27	3.06	2.34	2.51	5.68	0.0	1.89	26.1	138.1	0.32	2.58	3.99	0.38	1.28	0.33	0.62	1.23	0.34	0.0	37.32	151.22	21.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PROM2	2133.97	878.17	1561.89	1628.26	3018.3	1259.69	796.86	1044.52	693.58	872.1	679.29	1477.58	429.54	698.41	1508.65	1030.12	1417.35	1388.16	607.87	1508.65	1674.06	1104.13	2400.97	1870.53	1233.75	1378.57	532.74	1923.14	1639.59	988.12	2090.03	1350.18	351.14	1359.57	2303.12	579.04	1950.0	9.06	33.54	15.34	23.93	17.9	13.22	24.28	13.62	23.08	7.75	54.72	15.11	15.0	31.22	10.79	0.0	84.04	0.0	0.36
QSER1	295.11	127.89	297.17	229.72	88.26	164.42	166.73	104.42	228.13	125.24	180.02	166.73	215.77	176.29	151.22	190.34	341.51	164.42	265.87	135.24	287.01	353.59	281.09	154.42	208.38	214.27	111.21	1277.29	206.94	258.57	91.41	166.73	231.32	521.76	180.02	163.28	110.43	52.82	57.49	78.34	32.59	34.26	14.24	40.64	36.27	45.85	34.51	59.55	68.07	36.01	63.0	41.52	20.86	16.75	0.0	0.6
RAB3IP	307.69	289.02	397.93	273.37	312.0	414.87	366.09	497.0	242.88	381.68	368.65	275.28	312.0	384.34	368.65	361.04	444.72	307.69	500.46	208.38	1651.0	466.88	187.71	363.56	454.09	327.56	343.89	409.15	403.5	450.94	356.05	414.87	808.0	309.83	432.53	470.14	249.73	178.77	231.32	265.87	291.04	153.34	118.43	205.5	186.4	133.36	260.38	195.72	155.5	176.29	193.01	170.25	236.21	118.43	0.0	0.61
RAD9B	14.24	15.56	4.78	5.02	10.31	11.38	5.11	8.38	4.24	3.41	9.27	17.9	10.39	14.78	9.63	18.29	14.56	4.94	17.77	6.89	6.89	56.68	16.27	7.82	3.99	8.0	10.08	20.71	3.08	18.29	4.5	6.67	2.89	28.04	35.5	2.56	4.43	8.51	4.06	6.52	6.01	1.99	1.45	2.1	0.55	2.25	2.73	1.62	8.0	2.18	7.94	5.82	2.39	0.0	0.0	0.0
RASL10B	57.89	16.75	45.85	34.02	125.24	193.01	10.0	7.46	98.04	19.53	57.49	137.14	105.15	98.04	17.25	34.75	26.1	17.9	229.72	35.25	92.05	55.89	49.56	52.08	33.54	275.28	57.49	178.77	16.27	37.59	12.27	6.21	18.03	543.96	32.82	373.81	24.28	12.55	21.94	20.26	24.28	58.3	15.56	35.5	32.82	40.07	15.91	53.57	29.27	4.74	34.02	35.25	136.19	3.11	0.0	0.35
RASSF3	229.72	543.96	473.41	400.71	503.95	242.88	583.07	363.56	679.29	397.93	265.87	343.89	287.01	271.48	928.3	209.84	414.87	289.02	493.56	291.04	2119.22	493.56	312.0	267.73	373.81	547.75	769.69	305.55	808.0	271.48	279.14	575.03	624.99	753.83	379.04	460.44	269.6	100.13	134.3	146.03	122.64	21.63	146.03	105.89	88.26	102.25	117.6	146.03	89.51	104.42	126.12	119.26	102.25	110.43	551.56	1457.23
RBAK	124.37	104.42	178.77	202.66	108.9	143.01	133.36	113.56	88.26	139.07	164.42	100.83	132.44	120.94	156.59	134.3	229.72	122.64	205.5	120.1	236.21	159.9	194.36	142.01	111.99	224.97	114.36	122.64	151.22	150.17	111.21	140.04	119.26	224.97	152.28	166.73	77.25	70.51	58.71	59.13	50.27	52.08	12.36	84.04	67.12	71.5	74.06	76.71	68.07	46.18	55.49	43.32	25.91	105.15	0.0	0.54
RBMX2	493.56	642.59	693.58	483.38	409.15	616.37	336.79	368.65	429.54	579.04	392.44	460.44	791.35	363.56	647.07	441.64	723.08	429.54	603.67	808.0	587.13	389.72	368.65	733.19	503.95	429.54	536.45	412.0	703.28	551.56	414.87	743.43	595.34	325.29	518.15	684.02	271.48	209.84	291.04	190.34	249.73	204.07	124.37	327.56	194.36	224.97	190.34	198.47	258.57	183.82	221.86	237.86	147.06	361.04	599.49	638.15
RELL2	158.79	52.08	71.0	110.43	191.67	57.08	144.01	124.37	18.97	46.18	111.99	39.79	111.99	185.11	620.67	59.13	54.33	75.64	146.03	77.25	285.03	145.02	269.6	275.28	60.82	130.6	23.93	854.13	275.28	106.63	11.13	16.75	23.25	183.82	117.6	381.68	239.52	20.11	34.02	21.78	15.68	10.63	33.54	19.97	16.88	12.74	8.13	15.45	25.35	24.81	14.35	17.25	3.35	5.15	0.0	0.78
RERG	1674.06	1674.06	1674.06	2133.97	2319.15	3874.05	928.3	1322.37	728.11	327.56	2209.26	723.08	3349.13	1519.15	1662.49	1331.57	1639.59	1769.57	4010.71	808.0	1733.13	3280.18	2796.65	2956.17	1250.98	3768.09	1378.57	1769.57	1417.35	2287.2	1369.04	884.29	1651.0	2573.36	1896.65	2255.7	769.69	31.0	70.01	21.63	36.79	4.24	12.74	37.85	11.55	20.11	17.51	33.3	22.92	21.16	28.24	29.27	12.18	18.03	0.0	0.41
RGAG1	2.01	1.16	2.36	1.48	5.92	0.34	8.13	2.58	4.21	9.41	0.61	4.58	1.22	0.33	0.96	3.35	2.29	1.23	3.63	9.93	5.82	4.58	0.0	10.0	1.69	19.97	1.43	2.81	1.55	6.46	4.46	5.63	3.5	13.72	0.34	13.83	0.55	1.35	1.93	0.69	0.65	1.13	3.44	0.66	0.0	0.71	0.0	1.75	1.62	1.23	0.0	0.68	0.03	0.0	0.0	0.03
RYR2	13.52	0.66	2.58	1.93	9.85	3.96	0.73	1.27	8.32	0.4	2.97	0.71	0.37	34.75	2.1	10.79	4.24	2.01	8.85	0.82	4.35	8.85	2.86	2.92	2.16	2.66	1.57	96.01	1.03	0.37	3.56	25.72	0.39	1.97	4.66	0.35	3.26	0.93	8.32	0.89	0.84	1.91	0.0	2.58	1.41	2.14	0.0	4.31	1.36	0.0	1.99	0.88	2.39	0.0	0.0	0.57
SARS	2209.26	3564.78	3124.78	2956.17	3491.39	3928.15	2855.44	3372.43	1963.57	2451.44	3467.27	3325.99	3168.41	3928.15	3540.14	2682.69	2777.33	3039.3	3081.75	4123.49	2468.49	4481.23	4239.45	4210.15	1651.0	3443.31	2537.92	3419.52	3467.27	1685.71	1950.0	2835.7	2018.8	3847.29	4210.15	4328.55	1583.71	2119.22	2537.92	2047.0	1572.76	1617.0	2384.37	2075.59	2104.58	1896.65	1769.57	1819.35	2555.58	2303.12	3349.13	2915.45	2090.03	1467.37	0.0	0.57
SCAMP5	441.64	351.14	241.19	429.54	1340.84	967.76	279.14	59.97	171.45	96.01	607.87	483.38	1023.0	603.67	915.51	185.11	397.93	379.04	878.17	1233.75	1127.35	1216.75	1143.1	660.68	269.6	2148.82	260.38	660.68	417.77	1936.53	132.44	206.94	183.82	808.0	909.17	974.5	40.07	34.75	43.32	37.32	20.86	14.45	43.94	14.89	11.21	23.76	81.14	19.11	94.67	21.47	144.01	33.54	6.52	11.13	0.0	0.06
SCN8A	26.86	3.59	39.22	24.46	21.94	1.77	36.01	0.34	17.25	2.86	6.36	23.08	20.11	30.78	32.36	71.5	25.91	19.11	78.34	9.63	55.49	45.21	21.47	12.0	21.94	22.43	1.89	86.43	2.27	23.59	12.0	10.39	3.69	70.51	14.35	0.62	2.32	16.03	13.22	22.43	21.94	10.0	4.31	18.03	13.42	17.38	17.0	15.22	18.7	7.57	23.25	15.45	7.17	0.09	0.0	0.33
SCRT1	0.0	0.33	0.0	0.34	118.43	0.38	0.0	1.51	2.36	1.08	2.23	0.0	6.46	1.04	111.21	0.73	0.0	0.99	173.85	0.4	8.45	36.01	23.08	0.96	1.2	39.79	0.4	76.17	2.23	8.99	0.34	0.0	0.0	88.88	190.34	6.01	1.45	0.74	0.0	0.0	0.0	0.0	0.61	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
SEMA4F	128.79	41.22	83.45	158.79	269.6	143.01	75.64	166.73	90.77	105.15	74.06	130.6	147.06	130.6	117.6	56.68	195.72	185.11	159.9	152.28	273.37	120.1	173.85	127.89	214.27	73.54	72.52	178.77	111.21	108.14	187.71	87.65	132.44	220.32	150.17	236.21	140.04	19.11	20.86	28.65	10.71	17.13	16.03	26.1	6.46	21.47	7.75	10.55	23.42	16.63	23.25	19.82	1.35	2.81	0.0	0.11
SIDT1	293.07	215.77	267.73	540.19	78.89	669.92	366.09	171.45	624.99	246.28	215.77	134.3	163.28	173.85	162.14	156.59	651.58	435.55	146.03	591.22	351.14	127.89	316.37	275.28	239.52	457.25	226.54	191.67	507.46	947.83	325.29	283.05	480.04	242.88	97.36	49.21	163.28	12.0	29.7	6.21	5.23	3.99	4.35	5.87	0.79	13.72	5.19	8.71	13.93	9.41	21.16	8.32	3.38	26.67	0.0	0.39
SLC25A14	271.48	483.38	624.99	366.09	368.65	361.04	217.27	316.37	307.69	301.33	381.68	329.84	473.41	169.07	503.95	325.29	813.63	339.14	384.34	395.18	660.68	400.71	348.71	287.01	353.59	376.41	299.25	429.54	497.0	463.65	346.29	409.15	341.51	363.56	454.09	607.87	316.37	93.35	127.0	93.35	102.97	127.0	57.49	118.43	55.1	119.26	133.36	105.15	88.88	90.77	100.13	56.28	25.72	89.51	0.0	0.25
SLC35E3	157.68	226.54	102.97	379.04	181.28	159.9	218.79	199.85	209.84	105.15	381.68	361.04	226.54	242.88	358.54	164.42	429.54	281.09	305.55	133.36	902.89	269.6	159.9	185.11	148.09	320.8	204.07	159.9	159.9	221.86	164.42	144.01	293.07	486.75	142.01	167.9	175.07	104.42	82.87	121.79	105.15	85.22	79.45	108.14	100.13	87.65	77.79	90.77	136.19	87.03	69.52	136.19	173.85	91.41	71.0	69.03
SMARCAL1	373.81	231.32	325.29	435.55	403.5	318.57	283.05	309.83	269.6	316.37	228.13	414.87	420.68	329.84	267.73	341.51	457.25	525.39	473.41	314.17	384.34	460.44	356.05	417.77	353.59	381.68	503.95	341.51	251.48	334.46	529.06	309.83	346.29	638.15	423.61	493.56	301.33	135.24	175.07	159.9	98.73	115.97	98.73	111.21	87.03	140.04	70.01	118.43	146.03	135.24	118.43	125.24	78.89	33.3	0.0	0.0
SNAP25	90.77	5.96	84.04	376.41	2701.35	169.07	101.54	1.04	9.78	7.06	4.39	36.01	129.69	72.01	1551.09	0.46	14.03	3.11	4802.93	40.93	669.92	1561.89	2303.12	11.55	4.06	902.89	5.87	483.38	66.18	76.71	5.59	9.56	6.26	3235.01	1745.2	2018.8	1.58	31.22	31.0	20.41	18.43	14.03	9.34	19.68	21.16	14.14	16.15	16.51	18.43	22.43	23.59	12.74	4.54	35.76	0.0	0.28
SNX16	171.45	159.9	309.83	232.94	141.02	202.66	226.54	231.32	202.66	356.05	297.17	201.25	122.64	414.87	159.9	251.48	236.21	162.14	163.28	108.9	117.6	583.07	161.02	226.54	129.69	275.28	114.36	241.19	228.13	379.04	267.73	194.36	339.14	297.17	232.94	251.48	124.37	61.25	84.63	58.3	52.45	39.22	17.51	38.95	59.55	73.03	61.25	76.71	65.26	66.18	71.5	47.17	21.47	42.11	0.0	0.39
SOGA1	444.72	830.75	423.61	412.0	392.44	529.06	318.57	228.13	392.44	180.02	358.54	406.31	796.86	718.08	406.31	514.56	595.34	412.0	599.49	384.34	896.64	438.59	480.04	447.82	305.55	607.87	269.6	486.75	312.0	476.71	314.17	228.13	387.02	1096.5	305.55	444.72	258.57	14.45	25.54	16.39	9.7	4.9	7.11	14.45	5.59	12.18	5.02	12.55	12.55	9.13	20.41	10.71	3.66	1.97	0.0	0.59
SPAST	158.79	109.66	178.77	206.94	167.9	150.17	167.9	99.43	145.02	127.0	180.02	152.28	336.79	202.66	183.82	145.02	303.44	118.43	198.47	185.11	148.09	336.79	171.45	205.5	135.24	237.86	169.07	281.09	161.02	214.27	183.82	177.53	214.27	191.67	180.02	206.94	110.43	87.65	68.55	118.43	61.68	64.8	52.45	63.45	64.8	78.89	74.06	75.64	113.56	76.17	72.52	85.22	53.57	44.25	0.0	0.24
SPINK2	6.26	3.59	8.45	3.96	30.56	16.51	16.03	0.0	2.36	7.4	12.0	29.7	1.91	16.88	16.15	5.59	20.41	8.25	4.82	2.25	6.73	1.28	1.04	5.28	1.19	7.28	2.61	173.85	2.89	12.27	10.24	8.85	9.93	0.0	0.0	28.86	0.0	4.35	0.0	0.0	0.0	0.0	3.96	0.0	0.0	0.0	0.0	0.0	1.53	0.0	7.57	1.69	0.0	0.0	0.0	0.0
STARD7	1617.0	1096.5	2255.7	1427.22	1519.15	1721.16	1662.49	1467.37	2384.37	1551.09	1457.23	1111.82	1427.22	1498.22	1322.37	1540.37	2240.11	1870.53	1088.92	2609.3	1191.69	3081.75	1883.54	2104.58	1651.0	2104.58	2287.2	2835.7	1572.76	2240.11	2032.85	1467.37	2209.26	2240.11	1407.55	1437.15	1183.45	1208.34	974.5	1340.84	854.13	1081.39	947.83	1127.35	1322.37	928.3	1259.69	866.07	1096.5	947.83	1286.18	1175.27	1697.45	1277.29	1388.16	105.15
STRIP1	249.73	423.61	490.14	432.53	493.56	325.29	339.14	406.31	197.09	312.0	334.46	336.79	412.0	500.46	466.88	348.71	429.54	309.83	215.77	241.19	438.59	514.56	454.09	669.92	260.38	423.61	323.03	543.96	339.14	299.25	214.27	320.8	287.01	642.59	353.59	563.18	307.69	158.79	153.34	178.77	124.37	112.77	133.36	170.25	149.12	171.45	111.21	131.51	164.42	152.28	165.57	133.36	65.72	62.56	0.0	0.65
STX1A	201.25	125.24	239.52	432.53	1322.37	100.83	123.5	150.17	91.41	115.16	124.37	93.35	435.55	115.16	1233.75	116.78	191.67	141.02	470.14	105.15	848.22	329.84	540.19	177.53	95.34	358.54	147.06	669.92	155.5	249.73	66.18	131.51	123.5	480.04	665.29	728.11	275.28	29.91	32.13	17.38	40.93	23.42	16.27	22.75	24.28	50.63	18.29	54.72	27.64	29.06	27.64	14.03	4.43	18.84	0.0	0.79
STXBP3	518.15	941.27	860.08	947.83	688.78	825.0	642.59	825.0	575.03	674.59	825.0	813.63	490.14	902.89	981.29	620.67	1286.18	753.83	392.44	463.65	988.12	1015.93	1037.29	748.61	543.96	981.29	813.63	830.75	941.27	444.72	493.56	890.44	587.13	1561.89	872.1	1605.83	409.15	363.56	423.61	414.87	371.22	258.57	153.34	339.14	271.48	320.8	366.09	351.14	420.68	295.11	325.29	307.69	214.27	441.64	0.0	0.66
SYP	24.81	75.64	31.45	423.61	1794.29	82.87	19.53	31.45	80.57	20.56	91.41	41.81	289.02	187.71	2997.45	73.54	57.89	79.45	1857.6	64.34	1378.57	723.08	2319.15	58.3	146.03	961.07	15.91	1397.83	500.46	155.5	34.02	141.02	64.8	1313.23	1369.04	2209.26	139.07	8.0	18.43	7.57	11.64	6.26	16.39	8.71	8.06	7.06	8.19	9.93	8.71	5.15	13.22	8.51	1.3	0.0	0.0	0.3
SYT4	5.06	0.0	1.73	94.67	1225.22	0.0	0.0	0.0	0.0	0.36	0.64	0.0	7.57	1.35	314.17	0.0	24.11	0.0	12.83	0.38	1.27	242.88	1119.56	0.0	0.88	521.76	0.0	244.57	0.64	2.41	0.0	14.35	0.0	0.62	500.46	68.07	0.0	0.0	0.0	0.66	0.0	0.0	0.0	2.29	0.0	0.0	0.0	0.62	1.62	0.0	0.0	0.0	0.31	4.1	0.0	0.0
TBK1	341.51	368.65	476.71	397.93	361.04	356.05	486.75	432.53	543.96	397.93	384.34	343.89	384.34	518.15	480.04	403.5	669.92	463.65	412.0	291.04	1628.26	555.41	470.14	503.95	417.77	500.46	318.57	463.65	480.04	503.95	454.09	713.11	400.71	432.53	438.59	497.0	351.14	212.78	248.0	236.21	275.28	206.94	65.72	249.73	217.27	205.5	275.28	285.03	297.17	236.21	258.57	226.54	153.34	387.02	0.0	0.18
TCP11L1	189.02	60.39	170.25	185.11	143.01	98.04	118.43	72.01	108.9	92.05	108.14	97.36	124.37	119.26	96.68	102.25	251.48	121.79	153.34	151.22	177.53	277.2	141.02	124.37	74.58	134.3	100.13	1030.12	88.26	126.12	98.04	122.64	80.01	325.29	93.35	152.28	63.89	63.89	62.56	59.97	44.89	60.82	43.02	90.77	55.49	98.73	71.0	56.28	72.01	59.13	56.68	58.3	36.53	18.16	0.0	0.54
THAP2	84.63	37.85	63.89	104.42	87.03	105.89	53.57	106.63	38.4	108.9	95.34	42.41	105.89	48.18	81.14	90.14	102.25	50.98	53.57	88.26	96.01	70.51	136.19	41.52	69.03	620.67	126.12	56.28	75.11	84.63	142.01	201.25	82.29	59.55	161.02	140.04	47.84	15.68	45.85	41.22	23.42	30.12	24.28	28.04	36.01	37.05	31.0	46.5	46.5	35.25	32.59	30.34	32.59	22.26	0.0	0.01
TMEM167B	599.49	476.71	748.61	866.07	603.67	708.18	435.55	808.0	381.68	842.36	567.1	688.78	775.05	753.83	1350.18	698.41	854.13	842.36	563.18	532.74	633.73	1369.04	802.41	813.63	366.09	878.17	567.1	769.69	1388.16	387.02	470.14	723.08	363.56	1457.23	791.35	1030.12	318.57	239.52	339.14	327.56	262.2	166.73	195.72	309.83	271.48	363.56	275.28	249.73	287.01	214.27	285.03	327.56	246.28	218.79	0.0	0.52
TMEM187	273.37	320.8	318.57	149.12	329.84	246.28	163.28	217.27	403.5	271.48	232.94	232.94	426.57	81.71	371.22	137.14	363.56	476.71	295.11	420.68	236.21	161.02	363.56	211.31	507.46	169.07	234.57	120.1	267.73	381.68	159.9	223.41	178.77	198.47	307.69	283.05	309.83	166.73	211.31	159.9	123.5	176.29	108.14	156.59	171.45	220.32	144.01	120.94	291.04	199.85	142.01	246.28	264.03	64.8	0.0	0.0
