	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.49.4510.01A.01R.1206.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.97.A4M3.01A.11R.A24X.07	TCGA.86.A4JF.01A.11R.A24X.07	TCGA.35.3615.01A.01R.0946.07	TCGA.91.6849.01A.11R.1949.07	TCGA.86.8281.01A.11R.2287.07	TCGA.62.8397.01A.11R.2326.07	TCGA.67.6215.01A.11R.1755.07	TCGA.80.5608.01A.31R.1949.07	TCGA.50.8460.01A.11R.2326.07	TCGA.44.2655.01A.01R.0946.07	TCGA.49.4486.01A.01R.1206.07	TCGA.49.4506.01A.01R.1206.07	TCGA.73.4677.01A.01R.1206.07	TCGA.64.5774.01A.01R.1628.07	TCGA.78.7537.01A.11R.2066.07	TCGA.49.4494.01A.01R.1206.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.NJ.A7XG.01A.12R.A39D.07	GTEX.Y5V6.0226.SM.4V6G7	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.11DXX.0626.SM.5Q5AG	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.11DXZ.0726.SM.5N9C4	GTEX.13CF3.0426.SM.5IJEU	GTEX.QDVN.0726.SM.4B64L	GTEX.11EQ9.0226.SM.5A5JX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.XYKS.0526.SM.4BRW2	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.111CU.0326.SM.5GZXO	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.R55C.0526.SM.3GIKA	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.RWS6.0226.SM.2XCA9	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.139YR.0926.SM.5LZYB	GTEX.133LE.0526.SM.5N9EJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.YEC3.0226.SM.5IFJO	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.144GM.0126.SM.5Q5AX	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.WHPG.1426.SM.3NMBB	GTEX.P4QS.0526.SM.2I3ET	GTEX.1122O.0126.SM.5GICA	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.ZDTT.0926.SM.5J2MS	GTEX.PWOO.0726.SM.2I3EB	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.ZY6K.0326.SM.5SIBB	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8E4.0526.SM.4V6GC	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.RUSQ.0626.SM.2TF5V	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.13OVG.0326.SM.5KM57	GTEX.WYVS.0526.SM.3NM9W	TCGA.D7.6820.01A.11R.1884.13
TACC1	67.59	152.28	224.97	127.89	536.45	1037.29	96.68	373.81	473.41	265.87	507.46	521.76	480.04	1008.9	490.14	547.75	529.06	205.5	101.54	612.11	202.66	551.56	157.68	303.44	336.79	473.41	4298.64	3589.58	5995.9	1378.57	1909.85	1331.57	1295.13	4607.24	1662.49	6792.79	2609.3	1508.65	688.78	1651.0	2384.37	5076.84	1923.14	1477.58	3060.45	708.18	1378.57	5219.6	3060.45	1359.57	1233.75	995.0	1242.34	3257.52	1832.01	4704.07	5292.48	4152.18	1519.15	3303.0	1950.0	2163.77	1397.83	753.83	2255.7	1487.87	4575.41	3847.29	6983.79	1350.18	6207.38	3665.02	5831.91	3847.29	2485.67	3443.31	4239.45	3018.3	579.04	1119.56	1909.85	2335.28	2178.83	660.68	1806.78	1127.35	2119.22	2591.27	2997.45	7537.18	1697.45	3690.52	3303.0	3742.05	693.58	1457.23	4450.27	4268.94	3395.89	3257.52	1250.98	4010.71	2032.85	1023.0	2816.11	2224.63	1096.5	2335.28	2855.44	1529.73	438.59	2758.13	1081.39	1583.71	848.22	1936.53	2434.5	1540.37	3515.68	2271.4	2777.33	6381.92	1242.34	1896.65	2004.85	2351.53	4639.29	1870.53	4512.4	5517.27	1498.22	5913.33	1111.82	414.87
TBCEL	22.59	60.82	62.56	89.51	115.97	177.53	52.08	145.02	91.41	100.83	94.01	156.59	82.29	143.01	91.41	102.97	128.79	155.5	26.1	116.78	137.14	120.94	43.63	148.09	143.01	137.14	381.68	297.17	417.77	384.34	297.17	154.42	171.45	493.56	269.6	567.1	287.01	314.17	155.5	206.94	361.04	395.18	353.59	256.78	389.72	204.07	400.71	450.94	267.73	309.83	159.9	162.14	133.36	239.52	253.23	518.15	595.34	559.28	260.38	423.61	329.84	775.05	279.14	195.72	256.78	283.05	400.71	325.29	842.36	305.55	529.06	583.07	878.17	438.59	438.59	500.46	371.22	463.65	127.89	189.02	470.14	376.41	251.48	143.01	269.6	175.07	318.57	320.8	256.78	638.15	323.03	283.05	642.59	480.04	127.89	202.66	341.51	848.22	265.87	454.09	167.9	579.04	363.56	186.4	327.56	583.07	204.07	366.09	258.57	253.23	95.34	356.05	217.27	267.73	131.51	316.37	603.67	242.88	529.06	329.84	684.02	460.44	221.86	441.64	224.97	217.27	599.49	412.0	500.46	412.0	291.04	638.15	172.65	108.14
TGFBR2	208.38	392.44	152.28	351.14	1066.48	1242.34	269.6	872.1	361.04	780.44	915.51	1159.07	1340.84	854.13	595.34	884.29	1340.84	633.73	285.03	1628.26	339.14	878.17	429.54	555.41	842.36	616.37	6426.31	9151.82	7749.1	1639.59	10883.59	3303.0	4328.55	9409.14	5076.84	9279.58	5479.15	1044.52	1175.27	2451.44	5441.3	8479.89	3540.14	5147.73	4152.18	872.1	2537.92	3491.39	7081.29	5041.77	1427.22	4639.29	1508.65	5366.37	4512.4	5555.65	8598.28	7130.55	3768.09	5147.73	4066.71	4736.79	3955.48	2209.26	2075.59	3081.75	9151.82	4066.71	9876.98	1127.35	11664.82	8840.04	24832.5	4095.0	4210.15	7695.57	6207.38	6121.9	1037.29	1639.59	1936.53	4802.93	2047.0	599.49	5711.87	2148.82	5147.73	3901.01	4388.98	5112.16	3820.7	4869.99	6337.83	11112.3	463.65	775.05	6887.62	5112.16	4095.0	8134.41	1639.59	7331.05	4802.93	3515.68	8078.22	5112.16	1331.57	5403.7	6792.79	5711.87	1794.29	3168.41	3039.3	5329.3	1977.24	4388.98	2367.9	4095.0	9279.58	4038.61	4481.23	11345.82	8901.53	2335.28	2664.15	2335.28	3212.66	5594.3	7382.04	10808.41	3716.2	3794.3	2119.22	974.5
TJP1	277.2	139.07	182.55	703.28	591.22	896.64	463.65	660.68	703.28	486.75	595.34	902.89	281.09	854.13	532.74	373.81	616.37	346.29	241.19	780.44	599.49	679.29	209.84	318.57	802.41	529.06	1769.57	2537.92	1457.23	1304.15	1369.04	802.41	703.28	1844.76	1519.15	2119.22	1369.04	813.63	414.87	909.17	1594.73	1487.87	1508.65	1519.15	902.89	674.59	1340.84	1617.0	1508.65	1225.22	718.08	679.29	679.29	1685.71	866.07	1963.57	1977.24	1733.13	1225.22	2075.59	878.17	1417.35	928.3	738.29	1487.87	1127.35	1359.57	1059.11	2133.97	743.43	1757.34	2287.2	2935.74	1721.16	1001.93	1277.29	1044.52	1794.29	353.59	1044.52	1417.35	1286.18	1417.35	633.73	1259.69	825.0	1437.15	1037.29	1378.57	2061.24	1044.52	1519.15	2032.85	2075.59	426.57	738.29	1745.2	2417.67	1191.69	1685.71	890.44	1662.49	884.29	878.17	1268.46	1427.22	669.92	1119.56	1498.22	974.5	356.05	1073.91	988.12	988.12	497.0	1143.1	1088.92	1277.29	1605.83	1304.15	1350.18	2047.0	1322.37	1023.0	1135.2	1594.73	1639.59	1286.18	1883.54	3081.75	1167.14	1781.89	559.28	521.76
TMEM47	17.64	18.43	20.71	14.67	178.77	102.25	48.52	144.01	50.98	76.71	164.42	111.99	61.68	39.79	58.71	132.44	127.89	66.65	43.94	103.69	84.63	74.06	75.11	107.38	86.43	32.59	624.99	414.87	679.29	195.72	327.56	186.4	297.17	612.11	698.41	708.18	454.09	127.89	92.05	165.57	473.41	607.87	620.67	379.04	295.11	110.43	470.14	373.81	420.68	309.83	157.68	164.42	109.66	241.19	154.42	607.87	915.51	493.56	343.89	373.81	358.54	368.65	191.67	130.6	267.73	201.25	543.96	836.53	995.0	147.06	988.12	981.29	988.12	426.57	444.72	301.33	703.28	583.07	48.87	198.47	339.14	438.59	511.0	79.45	218.79	134.3	559.28	256.78	234.57	1350.18	392.44	417.77	518.15	684.02	42.11	221.86	674.59	848.22	297.17	387.02	356.05	679.29	400.71	121.79	339.14	441.64	108.9	493.56	214.27	255.0	146.03	325.29	371.22	215.77	31.45	212.78	376.41	356.05	348.71	190.34	547.75	961.07	412.0	260.38	332.14	299.25	595.34	237.86	1015.93	1397.83	204.07	612.11	163.28	58.3
TRHDE	0.0	11.13	0.0	0.0	1.79	4.58	0.32	2.48	1.51	1.36	2.92	0.35	4.82	2.84	0.68	2.23	4.24	0.71	0.41	1.35	3.0	0.39	1.16	0.35	1.91	0.0	21.63	106.63	129.69	17.0	44.25	6.31	8.38	105.89	63.45	182.55	31.0	7.69	5.11	27.44	52.45	101.54	33.06	40.36	62.56	26.28	42.71	63.0	33.78	24.99	12.55	3.11	16.27	54.33	7.82	127.0	52.45	75.64	35.76	54.72	64.8	19.11	21.32	8.0	36.53	3.44	138.1	98.04	197.09	21.16	83.45	86.43	121.79	27.25	85.82	21.94	99.43	109.66	1.71	10.55	28.24	42.41	81.14	23.59	28.24	7.94	57.49	20.41	24.81	67.12	33.78	23.76	43.63	147.06	12.45	8.51	55.89	67.12	25.35	182.55	16.39	92.7	86.43	7.46	47.5	80.01	11.91	18.03	75.11	24.81	4.03	62.12	8.92	44.89	2.25	9.41	88.88	20.26	70.51	38.12	61.25	95.34	15.0	44.57	11.04	32.13	113.56	17.9	180.02	134.3	29.91	142.01	7.17	1.2
UTRN	24.28	55.49	79.45	176.29	175.07	563.18	74.06	289.02	316.37	201.25	295.11	253.23	511.0	343.89	389.72	366.09	264.03	118.43	49.56	432.53	116.78	260.38	64.8	248.0	167.9	202.66	2502.97	2758.13	2956.17	780.44	769.69	764.36	624.99	1498.22	713.11	4095.0	2537.92	607.87	305.55	476.71	1457.23	2193.99	813.63	1883.54	759.08	251.48	457.25	1685.71	684.02	638.15	447.82	363.56	547.75	915.51	1191.69	2335.28	1191.69	1487.87	1030.12	1417.35	463.65	1001.93	713.11	884.29	660.68	1051.79	1963.57	1498.22	2609.3	318.57	1936.53	1561.89	3614.55	1111.82	1519.15	1519.15	1216.75	1427.22	215.77	507.46	1051.79	1617.0	1950.0	429.54	1051.79	511.0	995.0	1191.69	1233.75	2075.59	995.0	1259.69	2148.82	4181.07	138.1	521.76	2018.8	1127.35	902.89	2400.97	872.1	1674.06	1216.75	1250.98	1044.52	1175.27	878.17	1151.06	1923.14	435.55	123.5	1143.1	769.69	1295.13	323.03	629.35	748.61	896.64	2835.7	2061.24	1023.0	5006.93	551.56	813.63	616.37	1111.82	1313.23	2240.11	1674.06	2875.3	1167.14	1417.35	543.96	134.3
ZFPM2	2.29	22.43	2.36	5.36	22.26	23.93	10.39	31.0	16.03	25.91	15.8	23.25	15.45	9.13	9.34	27.05	28.04	3.63	8.19	16.51	16.39	17.9	9.63	15.68	19.82	10.39	186.4	30.12	82.29	30.78	78.89	57.49	67.12	92.05	102.25	128.79	87.65	43.94	18.97	15.0	46.84	94.67	101.54	39.79	70.01	33.54	29.27	41.52	54.72	59.97	31.0	14.14	19.97	30.12	104.42	97.36	159.9	54.72	66.65	121.79	15.34	46.84	32.59	45.85	30.78	44.89	111.21	48.52	96.68	27.44	75.64	142.01	136.19	62.12	75.64	212.78	81.71	101.54	8.51	87.03	38.12	81.14	80.57	26.1	61.25	45.21	54.33	85.82	64.34	150.17	152.28	90.77	64.34	51.71	7.69	177.53	156.59	100.83	76.17	44.57	52.82	81.71	22.43	19.53	121.79	68.55	31.9	59.97	25.91	111.99	25.72	43.02	53.95	52.82	18.56	33.06	27.25	56.68	104.42	21.01	99.43	165.57	118.43	61.68	84.04	81.71	44.89	96.68	87.65	154.42	32.59	114.36	18.43	8.38
ZNF106	71.5	82.29	68.55	236.21	138.1	212.78	105.89	112.77	170.25	209.84	209.84	271.48	155.5	220.32	115.16	125.24	176.29	80.57	112.77	218.79	159.9	148.09	45.85	127.89	175.07	120.1	1167.14	1359.57	988.12	595.34	529.06	412.0	624.99	909.17	599.49	1806.78	872.1	403.5	221.86	285.03	753.83	1167.14	1119.56	698.41	748.61	334.46	620.67	1073.91	967.76	642.59	273.37	323.03	486.75	693.58	954.43	1151.06	890.44	896.64	674.59	1001.93	314.17	1059.11	575.03	379.04	486.75	466.88	995.0	921.88	1225.22	366.09	981.29	1175.27	1832.01	1277.29	896.64	830.75	366.09	954.43	190.34	435.55	728.11	791.35	521.76	406.31	616.37	674.59	884.29	258.57	638.15	1008.9	679.29	642.59	642.59	1159.07	232.94	267.73	1268.46	1030.12	406.31	1225.22	518.15	981.29	620.67	563.18	693.58	684.02	429.54	890.44	866.07	476.71	271.48	500.46	373.81	490.14	358.54	521.76	941.27	620.67	1322.37	674.59	743.43	1709.26	457.25	896.64	460.44	796.86	764.36	665.29	1594.73	928.3	348.71	974.5	351.14	361.04
ZNF704	2.01	1.35	4.58	12.18	56.28	103.69	88.26	49.91	29.91	45.53	57.49	64.34	80.01	46.84	131.51	70.01	37.85	56.28	2.81	60.39	101.54	40.64	39.22	28.45	32.82	96.68	341.51	212.78	348.71	143.01	119.26	89.51	90.14	181.28	81.71	583.07	156.59	120.94	11.64	25.17	126.12	356.05	112.77	341.51	169.07	31.9	119.26	242.88	127.89	104.42	15.0	16.03	12.18	71.0	108.9	262.2	193.01	281.09	170.25	212.78	104.42	176.29	37.32	50.27	171.45	59.55	271.48	221.86	279.14	99.43	185.11	363.56	329.84	226.54	77.79	205.5	154.42	218.79	10.55	149.12	190.34	215.77	429.54	28.86	108.9	52.45	156.59	96.68	62.12	769.69	111.99	153.34	281.09	305.55	33.54	202.66	262.2	387.02	134.3	368.65	124.37	217.27	180.02	32.59	124.37	236.21	49.56	137.14	118.43	102.97	31.9	253.23	96.01	111.99	14.35	40.07	172.65	100.83	285.03	77.79	195.72	356.05	86.43	108.9	129.69	267.73	239.52	115.16	204.07	497.0	88.88	295.11	50.63	90.14
