	TCGA.E7.A6ME.01A.22R.A32O.07	TCGA.BH.A0B6.01A.11R.A19W.07	TCGA.S3.AA0Z.01A.11R.A41B.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.CJ.4640.01A.02R.1325.07	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.PX3G.0526.SM.2I3EM	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13VXU.2726.SM.5LU4N	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
UCK1	775.05	555.41	928.3	961.07	660.68	854.13	612.11	748.61	674.59	551.56	417.77	633.73	567.1	460.44	571.05	256.78	872.1	454.09	647.07	764.36	256.78	346.29	409.15	379.04	915.51	591.22	679.29	267.73	244.57	547.75	583.07	679.29	688.78	708.18	363.56	285.03	307.69	540.19	429.54	277.2	346.29
VPS72	2178.83	842.36	2434.5	1594.73	764.36	921.88	660.68	1286.18	848.22	813.63	656.11	1001.93	860.08	595.34	1437.15	205.5	947.83	497.0	1159.07	947.83	454.09	403.5	438.59	285.03	1015.93	656.11	332.14	403.5	559.28	575.03	414.87	988.12	890.44	819.3	629.35	674.59	356.05	629.35	607.87	320.8	563.18
WDR18	1685.71	884.29	796.86	638.15	612.11	802.41	521.76	1023.0	1268.46	426.57	470.14	444.72	616.37	813.63	928.3	229.72	514.56	339.14	674.59	624.99	215.77	220.32	343.89	299.25	808.0	525.39	389.72	269.6	348.71	435.55	366.09	633.73	607.87	703.28	361.04	218.79	183.82	228.13	246.28	171.45	417.77
WDR34	4543.8	1870.53	2271.4	1857.6	1119.56	1721.16	915.51	1397.83	1313.23	1417.35	480.04	854.13	1467.37	703.28	1378.57	180.02	1119.56	693.58	1104.13	1427.22	320.8	684.02	567.1	346.29	2609.3	412.0	718.08	368.65	241.19	748.61	353.59	1242.34	1233.75	1561.89	441.64	460.44	156.59	325.29	423.61	297.17	563.18
YIPF3	3716.2	4328.55	4802.93	3491.39	3060.45	3081.75	3303.0	2976.74	3124.78	2573.36	1745.2	2591.27	2335.28	3742.05	3212.66	1651.0	3614.55	1572.76	3103.19	3540.14	1745.2	1277.29	2047.0	1674.06	3257.52	2032.85	1896.65	1721.16	1313.23	2209.26	1794.29	3768.09	4123.49	3614.55	1447.15	1963.57	1159.07	2061.24	2018.8	1857.6	1605.83
ZBTB45	400.71	381.68	307.69	202.66	155.5	187.71	189.02	209.84	281.09	198.47	121.79	217.27	177.53	163.28	177.53	47.5	287.01	84.63	312.0	281.09	71.5	61.68	80.01	74.58	384.34	171.45	110.43	120.94	62.12	176.29	98.04	204.07	332.14	289.02	89.51	57.49	62.12	139.07	121.79	96.68	116.78
ZNF48	473.41	152.28	281.09	122.64	95.34	114.36	115.16	165.57	95.34	115.97	57.49	88.26	90.77	48.18	103.69	52.82	183.82	152.28	87.03	173.85	24.99	84.04	77.79	82.87	204.07	99.43	72.52	33.54	50.27	63.89	38.67	93.35	195.72	193.01	73.03	95.34	89.51	48.18	126.12	59.13	50.63
ZNF576	1059.11	665.29	438.59	400.71	275.28	323.03	187.71	312.0	295.11	237.86	215.77	242.88	295.11	234.57	327.56	66.18	289.02	166.73	435.55	281.09	59.13	100.83	178.77	78.34	429.54	204.07	163.28	101.54	164.42	198.47	127.0	432.53	264.03	336.79	132.44	131.51	154.42	115.16	197.09	71.0	164.42
ZNF747	323.03	163.28	490.14	255.0	199.85	221.86	285.03	228.13	202.66	199.85	121.79	146.03	176.29	154.42	242.88	87.03	229.72	128.79	220.32	273.37	95.34	52.82	118.43	57.08	249.73	185.11	130.6	138.1	93.35	166.73	96.01	234.57	260.38	255.0	73.03	95.34	59.97	100.13	157.68	93.35	81.71
ZNHIT2	624.99	785.88	176.29	237.86	231.32	323.03	197.09	376.41	195.72	381.68	175.07	136.19	262.2	176.29	217.27	70.01	291.04	151.22	389.72	414.87	120.94	144.01	83.45	111.99	248.0	165.57	150.17	189.02	85.22	145.02	72.52	339.14	255.0	400.71	53.19	71.0	118.43	116.78	147.06	55.89	185.11
