	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13FLV.1326.SM.5L3EJ	GTEX.132NY.2026.SM.5L3FM	GTEX.12696.1526.SM.5EGL6	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.11ONC.1426.SM.5N9F4	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.145MH.1226.SM.5RQJT	GTEX.P4QT.0726.SM.3NMCM	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.RWSA.1326.SM.47JX9	GTEX.14C5O.2826.SM.5RQI6	GTEX.WK11.2626.SM.4OOSK	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.8371.01A.11R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.FP.7829.11A.01R.2055.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX
SLC6A16	110.43	25.17	25.17	50.27	25.91	55.89	28.45	35.0	36.53	80.57	69.03	57.08	80.01	72.52	116.78	159.9	94.67	178.77	117.6	48.87	107.38	89.51	226.54	69.03	78.89	303.44	141.02	187.71	145.02	211.31	283.05	76.71	320.8	139.07	132.44	169.07	53.19	89.51	177.53	194.36	183.82	224.97	187.71	190.34	114.36	293.07	94.67	193.01	44.25	104.42	146.03	181.28	116.78	22.26	22.59	70.51	45.21	152.28	80.57	42.41	63.89	50.63	138.1	102.97	115.97	40.07	120.1	27.25	74.06	62.12
SNAPC4	66.18	77.79	75.11	89.51	61.68	98.04	148.09	138.1	90.77	112.77	236.21	139.07	144.01	102.25	119.26	170.25	141.02	226.54	244.57	121.79	141.02	165.57	228.13	151.22	187.71	182.55	187.71	301.33	162.14	206.94	237.86	144.01	212.78	208.38	171.45	180.02	90.14	154.42	204.07	163.28	183.82	170.25	155.5	171.45	181.28	249.73	151.22	164.42	63.89	106.63	237.86	202.66	173.85	80.01	91.41	97.36	108.9	154.42	99.43	122.64	132.44	127.89	118.43	98.04	78.89	108.14	116.78	75.64	50.63	51.71
SPG7	679.29	698.41	743.43	836.53	551.56	723.08	1096.5	1183.45	1183.45	1397.83	1781.89	1023.0	1313.23	909.17	1519.15	2367.9	2319.15	2485.67	2591.27	1135.2	1639.59	1745.2	3124.78	1950.0	1639.59	2627.46	2209.26	3146.52	2591.27	2075.59	2701.35	2193.99	2976.74	2976.74	2240.11	1991.0	1051.79	1733.13	2520.38	1936.53	2816.11	2502.97	1896.65	2240.11	2163.77	3395.89	1794.29	2178.83	915.51	1819.35	2451.44	2417.67	2133.97	808.0	796.86	1073.91	1199.98	1477.58	1059.11	988.12	1104.13	1250.98	1088.92	995.0	836.53	995.0	1015.93	607.87	400.71	409.15
STK11	642.59	718.08	693.58	723.08	543.96	808.0	842.36	915.51	860.08	909.17	915.51	909.17	808.0	825.0	902.89	1437.15	1529.73	1519.15	1832.01	1059.11	1191.69	1135.2	1498.22	1015.93	1397.83	1923.14	1508.65	2178.83	1685.71	1519.15	1757.34	1111.82	1639.59	1498.22	1199.98	1397.83	713.11	961.07	1572.76	1721.16	1417.35	1286.18	1191.69	848.22	1331.57	1508.65	1225.22	1199.98	921.88	1096.5	1208.34	1467.37	1167.14	941.27	780.44	830.75	902.89	1081.39	514.56	759.08	759.08	836.53	748.61	1023.0	718.08	954.43	674.59	518.15	525.39	540.19
STK11IP	195.72	165.57	214.27	211.31	136.19	258.57	336.79	387.02	346.29	332.14	753.83	409.15	351.14	343.89	438.59	759.08	543.96	743.43	775.05	325.29	454.09	607.87	665.29	813.63	718.08	723.08	603.67	866.07	698.41	567.1	825.0	656.11	830.75	836.53	813.63	819.3	277.2	718.08	679.29	529.06	688.78	748.61	607.87	775.05	819.3	836.53	500.46	665.29	161.02	414.87	866.07	660.68	698.41	165.57	170.25	303.44	366.09	212.78	185.11	312.0	291.04	256.78	289.02	214.27	239.52	285.03	291.04	256.78	127.0	191.67
STX1A	153.34	106.63	88.26	102.97	61.25	143.01	353.59	406.31	327.56	866.07	273.37	267.73	212.78	258.57	169.07	660.68	587.13	723.08	656.11	361.04	275.28	358.54	532.74	371.22	447.82	429.54	503.95	708.18	486.75	532.74	514.56	356.05	642.59	728.11	638.15	559.28	253.23	450.94	525.39	450.94	483.38	389.72	480.04	309.83	435.55	473.41	218.79	417.77	320.8	376.41	547.75	629.35	343.89	63.89	140.04	547.75	271.48	262.2	191.67	264.03	289.02	249.73	303.44	289.02	325.29	197.09	379.04	182.55	154.42	170.25
SUGP2	684.02	669.92	529.06	507.46	457.25	575.03	954.43	785.88	514.56	693.58	1909.85	1322.37	1259.69	1015.93	1233.75	1561.89	1662.49	1832.01	2178.83	947.83	1295.13	1051.79	1896.65	2193.99	1909.85	2193.99	1794.29	2303.12	1540.37	2047.0	2004.85	1561.89	2090.03	2148.82	1936.53	1757.34	759.08	1628.26	1963.57	1923.14	2502.97	1870.53	2163.77	1936.53	2163.77	1857.6	1313.23	2061.24	902.89	2004.85	1870.53	1963.57	1896.65	902.89	679.29	728.11	603.67	748.61	1044.52	842.36	1437.15	1143.1	884.29	703.28	909.17	642.59	921.88	665.29	334.46	476.71
SUV420H2	62.56	84.04	57.49	77.79	23.42	98.73	170.25	204.07	182.55	199.85	651.58	244.57	151.22	109.66	181.28	412.0	490.14	559.28	791.35	198.47	368.65	334.46	447.82	297.17	536.45	457.25	480.04	813.63	389.72	229.72	591.22	289.02	417.77	547.75	395.18	463.65	129.69	267.73	426.57	490.14	301.33	507.46	366.09	368.65	511.0	536.45	314.17	366.09	70.01	224.97	579.04	454.09	309.83	76.17	99.43	176.29	197.09	232.94	137.14	218.79	218.79	146.03	191.67	205.5	110.43	171.45	153.34	126.12	77.79	78.34
TAZ	339.14	241.19	289.02	291.04	246.28	301.33	579.04	480.04	514.56	563.18	1119.56	780.44	583.07	473.41	684.02	1208.34	1199.98	1350.18	1508.65	638.15	674.59	941.27	1044.52	1030.12	1135.2	1167.14	1088.92	1572.76	1037.29	884.29	1216.75	954.43	1331.57	1617.0	1225.22	1167.14	500.46	1073.91	1628.26	1104.13	1447.15	1397.83	961.07	890.44	1175.27	1457.23	967.76	1143.1	341.51	988.12	1437.15	1159.07	909.17	312.0	316.37	490.14	583.07	624.99	493.56	616.37	607.87	454.09	559.28	389.72	457.25	447.82	473.41	371.22	218.79	336.79
TBC1D3F	46.18	12.09	77.25	48.87	29.27	110.43	117.6	126.12	127.0	135.24	379.04	291.04	281.09	141.02	332.14	279.14	441.64	312.0	403.5	314.17	334.46	191.67	444.72	348.71	656.11	500.46	429.54	417.77	253.23	476.71	511.0	384.34	551.56	525.39	579.04	417.77	89.51	221.86	540.19	547.75	624.99	529.06	417.77	289.02	748.61	432.53	312.0	507.46	101.54	387.02	703.28	167.9	279.14	63.45	57.49	128.79	126.12	173.85	212.78	116.78	190.34	138.1	127.0	144.01	66.65	108.14	165.57	88.88	39.79	42.41
TBC1D3G	9.06	16.88	12.09	21.47	4.06	46.84	75.11	127.0	31.45	61.68	155.5	50.63	148.09	50.98	201.25	221.86	127.0	202.66	450.94	127.0	105.89	115.16	251.48	187.71	248.0	205.5	206.94	341.51	127.89	189.02	187.71	175.07	371.22	267.73	303.44	241.19	144.01	197.09	166.73	255.0	256.78	329.84	198.47	283.05	339.14	339.14	136.19	217.27	92.7	90.77	379.04	248.0	255.0	22.26	13.03	22.1	60.39	128.79	54.33	38.12	63.0	66.18	71.5	37.59	41.81	67.12	78.89	23.59	12.45	9.78
TRABD	409.15	209.84	295.11	237.86	253.23	248.0	961.07	780.44	536.45	400.71	1427.22	759.08	379.04	287.01	559.28	947.83	819.3	1096.5	1175.27	595.34	723.08	854.13	988.12	743.43	947.83	947.83	872.1	1268.46	941.27	764.36	988.12	775.05	1088.92	974.5	934.76	909.17	447.82	796.86	884.29	860.08	1015.93	928.3	921.88	738.29	954.43	1044.52	819.3	802.41	395.18	780.44	947.83	1037.29	954.43	392.44	353.59	406.31	688.78	612.11	366.09	753.83	514.56	543.96	395.18	392.44	327.56	450.94	289.02	480.04	346.29	361.04
TTLL3	221.86	175.07	193.01	320.8	236.21	226.54	366.09	543.96	473.41	688.78	780.44	961.07	1250.98	674.59	1295.13	2573.36	2075.59	2032.85	3257.52	1191.69	1397.83	2018.8	1594.73	2163.77	2090.03	2417.67	2133.97	3280.18	1794.29	1832.01	2682.69	1350.18	3303.0	2796.65	2434.5	2032.85	748.61	2047.0	2720.15	2573.36	2777.33	2796.65	1745.2	1936.53	2417.67	3847.29	1135.2	2032.85	599.49	2104.58	3564.78	2287.2	2319.15	414.87	493.56	665.29	571.05	902.89	785.88	688.78	738.29	651.58	928.3	490.14	603.67	514.56	647.07	450.94	105.89	182.55
TUBGCP6	202.66	204.07	316.37	260.38	289.02	287.01	480.04	463.65	384.34	507.46	872.1	665.29	738.29	567.1	890.44	1015.93	1081.39	1286.18	1350.18	693.58	713.11	928.3	1081.39	1350.18	928.3	1088.92	1081.39	1583.71	723.08	738.29	1191.69	909.17	1225.22	1242.34	1030.12	878.17	423.61	738.29	1191.69	967.76	1167.14	1037.29	813.63	884.29	967.76	1268.46	698.41	1015.93	353.59	830.75	1143.1	1088.92	860.08	209.84	289.02	371.22	463.65	698.41	457.25	490.14	638.15	547.75	633.73	414.87	490.14	575.03	480.04	239.52	123.5	169.07
UCKL1	463.65	314.17	376.41	450.94	363.56	403.5	928.3	753.83	728.11	698.41	1427.22	1359.57	961.07	733.19	1135.2	1745.2	1697.45	1857.6	2224.63	1225.22	2061.24	1594.73	1697.45	1794.29	1733.13	1781.89	2163.77	2417.67	1963.57	1583.71	2178.83	1594.73	2047.0	2075.59	1832.01	1697.45	825.0	1697.45	2047.0	1870.53	2004.85	2004.85	2004.85	2119.22	1857.6	2271.4	1044.52	1594.73	305.55	1651.0	2004.85	2090.03	1794.29	633.73	813.63	703.28	825.0	947.83	642.59	890.44	866.07	738.29	896.64	679.29	718.08	674.59	830.75	703.28	423.61	571.05
UPB1	4.9	0.89	1.77	2.61	1.33	7.4	3.44	4.74	10.63	1.83	4.7	8.51	8.71	4.21	6.46	18.7	16.27	8.58	23.76	5.15	13.93	7.22	12.83	12.74	15.0	26.67	9.56	19.97	8.99	9.63	16.03	10.88	22.26	30.78	21.78	10.71	3.08	7.57	24.81	11.64	4.54	17.13	10.39	6.62	8.65	27.84	20.86	16.75	6.06	22.26	39.79	9.48	19.25	7.63	3.08	1.58	3.32	4.54	12.93	4.74	9.06	2.92	18.29	3.17	7.11	5.32	5.82	2.84	3.41	1.79
ZMIZ2	647.07	759.08	796.86	764.36	575.03	878.17	1277.29	1286.18	921.88	1378.57	2335.28	1605.83	1674.06	1508.65	1639.59	2664.15	2468.49	3467.27	2855.44	1662.49	1757.34	2032.85	2701.35	2104.58	2451.44	2720.15	2573.36	3103.19	1832.01	1832.01	2591.27	1819.35	3018.3	2895.31	2720.15	2119.22	1183.45	2004.85	2400.97	1896.65	2591.27	1936.53	2224.63	2271.4	2335.28	2855.44	1781.89	2032.85	860.08	1794.29	2997.45	2032.85	1844.76	633.73	866.07	1044.52	1127.35	1794.29	1639.59	1757.34	1832.01	1594.73	1175.27	1111.82	1015.93	1447.15	1208.34	728.11	312.0	607.87
ZNF251	137.14	170.25	148.09	228.13	108.9	201.25	361.04	249.73	249.73	392.44	507.46	303.44	463.65	228.13	381.68	775.05	620.67	529.06	954.43	460.44	305.55	591.22	595.34	629.35	529.06	703.28	665.29	1073.91	483.38	529.06	848.22	403.5	836.53	808.0	713.11	808.0	260.38	497.0	698.41	791.35	769.69	674.59	642.59	563.18	679.29	825.0	470.14	651.58	149.12	490.14	1111.82	733.19	583.07	118.43	229.72	351.14	236.21	438.59	376.41	264.03	387.02	339.14	371.22	187.71	309.83	323.03	339.14	151.22	120.1	111.21
ZNF607	52.45	63.45	35.25	72.01	23.25	53.19	60.39	58.71	70.51	84.04	88.26	58.71	85.22	78.34	72.01	157.68	87.03	170.25	194.36	90.14	47.5	94.67	80.57	75.11	109.66	139.07	98.73	193.01	59.13	52.08	165.57	76.17	180.02	193.01	153.34	165.57	101.54	60.39	182.55	77.79	189.02	157.68	79.45	86.43	127.0	137.14	66.65	94.01	28.24	92.7	128.79	181.28	43.63	81.14	78.34	94.67	58.3	81.14	82.87	56.28	92.05	64.8	55.89	53.19	54.72	94.67	88.26	58.71	47.84	38.4
ZNF684	58.71	78.89	35.76	68.55	24.11	61.68	50.98	94.01	87.03	101.54	92.05	48.52	67.12	32.82	63.45	106.63	101.54	101.54	145.02	77.25	32.82	100.83	104.42	125.24	104.42	162.14	133.36	163.28	77.25	105.89	224.97	58.3	204.07	154.42	117.6	80.57	64.34	95.34	127.89	102.25	145.02	145.02	61.68	141.02	162.14	154.42	117.6	105.89	26.86	84.63	163.28	118.43	62.12	34.75	52.08	113.56	62.56	78.34	108.9	84.63	78.89	87.03	109.66	65.26	62.12	66.65	81.14	41.22	37.59	47.17
ZNF692	414.87	155.5	248.0	255.0	190.34	255.0	723.08	629.35	353.59	660.68	1143.1	1044.52	802.41	497.0	825.0	1832.01	1733.13	1250.98	2351.53	1143.1	1199.98	1605.83	941.27	1551.09	1781.89	1909.85	1923.14	2777.33	1977.24	1340.84	1508.65	1359.57	2061.24	2351.53	1923.14	1819.35	532.74	1498.22	1757.34	1963.57	2032.85	1721.16	1674.06	1844.76	2090.03	2004.85	1427.22	1963.57	353.59	1286.18	2240.11	1709.26	1242.34	503.95	381.68	447.82	432.53	547.75	420.68	684.02	769.69	559.28	555.41	616.37	476.71	547.75	599.49	412.0	189.02	199.85
ZNF76	314.17	507.46	387.02	435.55	366.09	473.41	503.95	567.1	595.34	583.07	1015.93	624.99	928.3	928.3	1001.93	1417.35	1208.34	1857.6	1674.06	830.75	1081.39	1037.29	1674.06	1286.18	1242.34	1794.29	1259.69	1832.01	1313.23	1088.92	1977.24	1378.57	2047.0	1781.89	1628.26	1457.23	808.0	1216.75	1551.09	1295.13	1709.26	1639.59	1250.98	2061.24	1769.57	1977.24	884.29	1583.71	543.96	1529.73	2004.85	1350.18	1331.57	521.76	567.1	651.58	638.15	791.35	583.07	514.56	612.11	567.1	684.02	529.06	532.74	698.41	703.28	348.71	285.03	316.37
ZNF793	32.36	85.82	90.14	89.51	40.07	105.89	35.5	102.97	49.56	92.05	73.54	49.56	116.78	117.6	107.38	249.73	205.5	507.46	293.07	153.34	102.97	127.0	287.01	221.86	262.2	343.89	211.31	277.2	85.82	226.54	197.09	135.24	521.76	341.51	226.54	297.17	71.0	93.35	289.02	218.79	199.85	318.57	291.04	285.03	351.14	277.2	78.89	190.34	23.42	134.3	323.03	218.79	237.86	36.27	50.63	78.89	62.12	191.67	120.94	113.56	180.02	122.64	158.79	106.63	156.59	104.42	182.55	82.87	62.12	59.97
