	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
KIAA2026	99.43	525.39	205.5	138.1	140.04	223.41	262.2	206.94	115.16	220.32	143.01	125.24	253.23	166.73	201.25	251.48	226.54	199.85	120.1	133.36	115.16	198.47	153.34	194.36	260.38	181.28	260.38	182.55	145.02	217.27	106.63	218.79	239.52	138.1	175.07	164.42	140.04	249.73	157.68	312.0	224.97	159.9	158.79	183.82	208.38	255.0	145.02	172.65	170.25	253.23	108.14	215.77	258.57	234.57	264.03	167.9	204.07	194.36	202.66	145.02	189.02	309.83	149.12	186.4	149.12	164.42	260.38	197.09	246.28	327.56	220.32	143.01	224.97	135.24	307.69	145.02	244.57	214.27	175.07	164.42	265.87	185.11	123.5	140.04
KLHL24	297.17	872.1	384.34	228.13	145.02	381.68	417.77	305.55	173.85	323.03	170.25	204.07	379.04	351.14	301.33	420.68	444.72	255.0	426.57	150.17	171.45	256.78	281.09	305.55	316.37	287.01	256.78	178.77	358.54	246.28	123.5	273.37	423.61	269.6	234.57	260.38	217.27	366.09	189.02	454.09	334.46	271.48	204.07	249.73	297.17	438.59	218.79	169.07	249.73	414.87	189.02	414.87	384.34	368.65	334.46	231.32	325.29	260.38	329.84	242.88	341.51	392.44	135.24	325.29	299.25	234.57	532.74	283.05	441.64	507.46	277.2	241.19	297.17	218.79	603.67	253.23	514.56	366.09	164.42	248.0	316.37	167.9	214.27	231.32
KPNA3	162.14	753.83	1135.2	221.86	199.85	348.71	318.57	305.55	187.71	297.17	223.41	237.86	332.14	273.37	297.17	444.72	343.89	155.5	223.41	220.32	171.45	241.19	212.78	251.48	351.14	271.48	258.57	193.01	228.13	318.57	191.67	277.2	363.56	231.32	180.02	237.86	277.2	305.55	234.57	409.15	305.55	220.32	193.01	267.73	289.02	341.51	299.25	244.57	309.83	305.55	206.94	301.33	343.89	291.04	332.14	217.27	178.77	255.0	341.51	293.07	295.11	289.02	211.31	299.25	275.28	239.52	275.28	251.48	332.14	351.14	224.97	267.73	309.83	232.94	351.14	231.32	363.56	334.46	265.87	262.2	373.81	229.72	148.09	232.94
LANCL1	309.83	947.83	934.76	285.03	236.21	379.04	373.81	361.04	142.01	281.09	265.87	239.52	400.71	293.07	332.14	423.61	392.44	356.05	215.77	281.09	224.97	320.8	262.2	271.48	373.81	291.04	283.05	246.28	283.05	325.29	204.07	293.07	351.14	253.23	299.25	275.28	267.73	400.71	214.27	368.65	409.15	305.55	224.97	289.02	368.65	429.54	267.73	264.03	293.07	307.69	204.07	334.46	417.77	389.72	371.22	291.04	336.79	271.48	366.09	265.87	426.57	409.15	255.0	273.37	204.07	267.73	334.46	291.04	334.46	409.15	358.54	293.07	353.59	244.57	441.64	258.57	420.68	366.09	358.54	293.07	417.77	336.79	226.54	279.14
LARP4	239.52	457.25	743.43	161.02	134.3	307.69	260.38	285.03	74.06	201.25	153.34	163.28	316.37	170.25	204.07	376.41	273.37	217.27	172.65	161.02	145.02	209.84	199.85	189.02	221.86	190.34	215.77	163.28	151.22	226.54	122.64	215.77	267.73	177.53	220.32	183.82	214.27	242.88	169.07	392.44	248.0	199.85	159.9	244.57	211.31	303.44	143.01	208.38	191.67	316.37	115.97	277.2	323.03	211.31	285.03	158.79	218.79	193.01	299.25	136.19	253.23	312.0	130.6	267.73	166.73	209.84	253.23	170.25	318.57	406.31	187.71	167.9	256.78	164.42	334.46	166.73	353.59	255.0	215.77	208.38	327.56	264.03	163.28	167.9
LATS1	100.83	318.57	205.5	111.99	107.38	165.57	234.57	157.68	80.01	167.9	111.21	130.6	214.27	129.69	176.29	229.72	218.79	180.02	107.38	97.36	102.97	163.28	111.21	144.01	209.84	150.17	173.85	96.01	140.04	157.68	81.71	169.07	214.27	167.9	154.42	122.64	96.68	209.84	123.5	265.87	208.38	128.79	120.94	153.34	157.68	193.01	117.6	161.02	136.19	211.31	90.14	176.29	214.27	190.34	209.84	116.78	181.28	147.06	183.82	122.64	164.42	231.32	104.42	149.12	118.43	124.37	185.11	164.42	180.02	246.28	154.42	143.01	177.53	102.97	253.23	120.1	224.97	226.54	128.79	133.36	224.97	144.01	122.64	118.43
LCORL	70.51	209.84	84.04	56.68	52.45	98.04	91.41	60.82	51.35	92.7	41.81	55.49	77.79	67.59	105.15	114.36	111.21	84.04	60.82	49.56	52.08	77.25	56.68	88.26	107.38	61.68	53.57	52.45	73.54	76.71	33.78	72.52	84.63	72.52	62.56	50.63	50.63	96.68	49.56	114.36	87.03	53.19	55.49	60.82	76.71	87.03	60.82	68.07	61.68	99.43	25.91	76.71	117.6	87.03	87.65	59.55	78.89	54.33	78.34	75.11	83.45	79.45	42.41	63.89	75.11	66.65	94.01	79.45	81.71	98.73	59.13	59.13	82.29	72.52	102.25	55.89	107.38	120.1	50.63	50.27	77.25	86.43	52.45	63.45
LEMD3	149.12	265.87	351.14	201.25	187.71	241.19	275.28	215.77	93.35	242.88	158.79	209.84	285.03	185.11	255.0	293.07	303.44	255.0	132.44	208.38	178.77	193.01	170.25	224.97	336.79	185.11	176.29	166.73	189.02	220.32	130.6	229.72	283.05	209.84	215.77	176.29	178.77	339.14	113.56	309.83	264.03	157.68	204.07	205.5	264.03	307.69	199.85	205.5	143.01	242.88	165.57	258.57	297.17	258.57	323.03	198.47	242.88	167.9	281.09	122.64	267.73	277.2	194.36	215.77	151.22	150.17	206.94	209.84	237.86	346.29	253.23	186.4	260.38	120.94	289.02	195.72	346.29	334.46	220.32	246.28	256.78	171.45	170.25	199.85
LMBRD2	66.65	277.2	199.85	72.52	60.82	108.9	106.63	90.77	25.72	71.0	56.68	77.79	111.99	69.03	110.43	123.5	163.28	87.03	63.45	51.35	57.89	94.01	57.89	72.01	139.07	81.14	75.64	63.0	75.11	100.83	50.27	79.45	119.26	79.45	88.88	68.07	119.26	130.6	44.89	138.1	121.79	68.55	68.55	68.55	112.77	124.37	82.29	84.63	62.56	101.54	44.89	104.42	115.97	96.01	129.69	63.89	105.15	72.52	116.78	45.53	110.43	133.36	61.68	73.03	64.8	69.52	77.25	66.65	109.66	124.37	81.71	75.64	112.77	45.21	135.24	60.82	133.36	141.02	74.06	77.79	120.1	84.63	47.84	71.5
LNPEP	108.14	389.72	165.57	85.22	68.55	127.89	171.45	111.99	50.63	138.1	88.88	90.14	199.85	131.51	137.14	175.07	172.65	189.02	71.0	97.36	94.01	105.89	92.7	148.09	224.97	128.79	149.12	95.34	104.42	124.37	53.57	181.28	154.42	108.14	121.79	113.56	74.06	220.32	76.71	189.02	186.4	75.64	97.36	121.79	148.09	195.72	100.83	86.43	95.34	138.1	79.45	145.02	193.01	176.29	279.14	100.83	159.9	92.05	170.25	75.64	134.3	242.88	94.01	107.38	85.82	85.82	170.25	122.64	138.1	258.57	137.14	79.45	126.12	73.54	193.01	75.11	239.52	190.34	97.36	107.38	195.72	98.04	82.29	104.42
LNX2	102.25	466.88	813.63	120.1	105.89	159.9	167.9	113.56	54.72	147.06	102.25	132.44	187.71	110.43	175.07	191.67	198.47	92.05	88.88	102.97	123.5	110.43	108.14	157.68	195.72	122.64	137.14	71.5	128.79	148.09	82.87	123.5	166.73	129.69	69.52	116.78	110.43	205.5	75.11	201.25	197.09	125.24	90.77	104.42	137.14	171.45	120.1	123.5	115.16	156.59	77.25	149.12	214.27	189.02	206.94	114.36	145.02	111.99	145.02	92.7	180.02	185.11	96.01	120.94	99.43	122.64	123.5	138.1	182.55	226.54	147.06	124.37	138.1	90.14	191.67	128.79	215.77	171.45	113.56	138.1	169.07	127.0	48.18	119.26
LTN1	85.82	260.38	189.02	102.25	82.87	153.34	181.28	145.02	35.25	143.01	90.14	105.15	186.4	98.04	131.51	177.53	190.34	110.43	77.25	84.04	83.45	119.26	100.83	109.66	193.01	108.14	118.43	76.71	109.66	122.64	62.56	138.1	170.25	102.25	125.24	96.01	100.83	171.45	71.0	211.31	163.28	98.04	107.38	111.99	144.01	180.02	100.83	116.78	94.67	159.9	51.71	138.1	182.55	135.24	173.85	117.6	145.02	105.89	149.12	84.04	165.57	178.77	76.17	115.16	85.22	84.63	143.01	111.99	147.06	269.6	140.04	109.66	175.07	79.45	202.66	82.29	172.65	181.28	112.77	103.69	178.77	122.64	75.11	96.01
MAP3K2	158.79	339.14	441.64	143.01	156.59	258.57	256.78	214.27	117.6	212.78	142.01	158.79	260.38	187.71	267.73	320.8	297.17	205.5	148.09	131.51	180.02	178.77	172.65	195.72	316.37	181.28	217.27	151.22	164.42	209.84	140.04	229.72	299.25	221.86	195.72	201.25	150.17	348.71	156.59	353.59	253.23	167.9	164.42	212.78	237.86	327.56	156.59	177.53	181.28	258.57	112.77	246.28	307.69	246.28	293.07	161.02	224.97	180.02	285.03	171.45	231.32	318.57	143.01	221.86	163.28	167.9	229.72	209.84	283.05	346.29	218.79	191.67	226.54	156.59	361.04	195.72	356.05	285.03	173.85	193.01	299.25	218.79	133.36	164.42
MARCH7	595.34	1277.29	947.83	854.13	708.18	1001.93	974.5	947.83	339.14	1119.56	620.67	813.63	1096.5	780.44	1104.13	1359.57	1111.82	1225.22	642.59	791.35	703.28	866.07	684.02	896.64	1572.76	785.88	728.11	703.28	819.3	890.44	400.71	915.51	1119.56	967.76	928.3	656.11	463.65	1268.46	555.41	1143.1	1059.11	718.08	665.29	753.83	1037.29	1159.07	842.36	995.0	698.41	1111.82	514.56	1104.13	1191.69	1066.48	1159.07	780.44	934.76	808.0	1250.98	669.92	1225.22	1457.23	738.29	830.75	769.69	688.78	825.0	947.83	1143.1	1313.23	1135.2	764.36	1059.11	476.71	1477.58	723.08	1378.57	1216.75	848.22	872.1	1199.98	1001.93	647.07	718.08
MBNL3	58.3	181.28	229.72	28.86	47.5	93.35	86.43	62.56	33.06	54.72	48.18	31.67	84.04	57.49	58.71	74.06	71.0	69.52	37.85	27.84	36.53	51.35	49.56	63.45	102.97	52.45	82.29	47.84	45.21	67.59	29.27	75.11	77.79	56.28	39.5	41.22	48.87	104.42	46.84	109.66	95.34	44.25	27.25	47.84	76.71	85.82	44.25	51.71	54.33	63.0	26.28	71.0	81.14	76.17	111.21	60.39	64.8	44.25	88.26	45.53	64.34	127.89	43.63	54.33	47.84	42.41	65.72	47.5	83.45	94.01	81.14	44.89	59.13	40.07	128.79	31.67	98.04	107.38	29.27	41.81	115.97	40.64	39.5	55.49
MCM9	140.04	316.37	202.66	154.42	127.0	176.29	226.54	146.03	90.77	182.55	124.37	138.1	195.72	131.51	159.9	180.02	214.27	149.12	126.12	116.78	120.94	127.89	139.07	166.73	220.32	142.01	176.29	71.0	138.1	161.02	84.04	186.4	185.11	150.17	153.34	133.36	75.64	232.94	100.13	214.27	217.27	128.79	145.02	161.02	167.9	208.38	146.03	147.06	97.36	191.67	115.16	195.72	218.79	176.29	258.57	187.71	183.82	137.14	204.07	116.78	195.72	208.38	123.5	144.01	96.01	116.78	177.53	157.68	186.4	293.07	175.07	141.02	159.9	118.43	262.2	126.12	234.57	191.67	130.6	161.02	178.77	135.24	129.69	132.44
MCMBP	559.28	796.86	1529.73	490.14	529.06	738.29	693.58	642.59	551.56	629.35	409.15	450.94	713.11	559.28	555.41	791.35	656.11	620.67	571.05	476.71	412.0	595.34	575.03	624.99	679.29	651.58	633.73	438.59	599.49	633.73	466.88	638.15	733.19	575.03	587.13	607.87	343.89	633.73	532.74	802.41	718.08	540.19	532.74	525.39	647.07	651.58	470.14	529.06	620.67	713.11	463.65	802.41	703.28	656.11	633.73	511.0	651.58	579.04	656.11	616.37	679.29	723.08	450.94	536.45	543.96	656.11	647.07	591.22	708.18	713.11	638.15	518.15	698.41	507.46	813.63	521.76	733.19	616.37	633.73	532.74	698.41	684.02	457.25	540.19
MCPH1	157.68	329.84	283.05	140.04	119.26	167.9	206.94	148.09	103.69	138.1	144.01	127.0	146.03	148.09	155.5	197.09	191.67	167.9	116.78	113.56	144.01	138.1	110.43	175.07	199.85	141.02	167.9	102.25	135.24	161.02	98.73	166.73	162.14	154.42	142.01	124.37	103.69	215.77	124.37	205.5	178.77	127.89	121.79	127.89	170.25	199.85	128.79	118.43	122.64	162.14	143.01	173.85	183.82	177.53	177.53	144.01	142.01	136.19	164.42	111.99	165.57	212.78	150.17	128.79	120.1	121.79	177.53	135.24	159.9	229.72	173.85	120.1	164.42	111.99	189.02	146.03	175.07	180.02	147.06	141.02	191.67	133.36	114.36	132.44
MED14	567.1	389.72	563.18	409.15	271.48	400.71	567.1	389.72	224.97	563.18	323.03	320.8	476.71	348.71	414.87	518.15	493.56	332.14	277.2	297.17	271.48	303.44	295.11	309.83	470.14	312.0	497.0	260.38	295.11	368.65	211.31	389.72	540.19	325.29	392.44	348.71	234.57	583.07	291.04	454.09	420.68	285.03	457.25	414.87	392.44	454.09	281.09	348.71	297.17	460.44	249.73	507.46	525.39	483.38	547.75	358.54	441.64	381.68	438.59	258.57	395.18	463.65	291.04	329.84	248.0	256.78	595.34	376.41	447.82	651.58	361.04	320.8	441.64	279.14	567.1	323.03	518.15	460.44	412.0	353.59	438.59	358.54	318.57	287.01
MGA	60.82	202.66	118.43	87.65	67.59	117.6	177.53	82.87	52.08	112.77	74.06	75.11	158.79	87.03	102.25	137.14	166.73	101.54	57.49	72.01	67.59	92.05	67.59	98.04	181.28	82.87	126.12	68.55	87.65	113.56	52.08	136.19	140.04	98.04	120.94	85.82	53.57	144.01	53.19	158.79	138.1	63.45	94.01	93.35	109.66	169.07	79.45	93.35	74.06	130.6	72.52	124.37	159.9	140.04	152.28	96.01	149.12	84.04	103.69	53.57	100.13	187.71	79.45	82.29	64.8	57.08	128.79	108.14	105.15	208.38	115.16	78.89	96.01	61.68	170.25	81.14	151.22	145.02	81.71	87.65	157.68	57.49	71.5	92.7
MIB1	113.56	291.04	273.37	176.29	139.07	283.05	279.14	251.48	89.51	260.38	140.04	189.02	332.14	220.32	305.55	381.68	318.57	256.78	180.02	173.85	189.02	137.14	169.07	211.31	346.29	201.25	206.94	162.14	206.94	262.2	127.89	237.86	325.29	260.38	229.72	182.55	154.42	368.65	147.06	384.34	297.17	178.77	172.65	189.02	285.03	356.05	189.02	220.32	202.66	323.03	119.26	295.11	379.04	316.37	395.18	170.25	293.07	190.34	341.51	185.11	295.11	334.46	171.45	248.0	171.45	215.77	217.27	224.97	334.46	361.04	249.73	211.31	277.2	152.28	414.87	193.01	414.87	356.05	191.67	189.02	309.83	191.67	122.64	171.45
MTPN	607.87	1369.04	1769.57	595.34	500.46	848.22	1001.93	769.69	503.95	878.17	525.39	599.49	988.12	860.08	974.5	1183.45	1233.75	890.44	543.96	599.49	490.14	656.11	463.65	808.0	1183.45	684.02	961.07	587.13	595.34	854.13	351.14	902.89	1191.69	848.22	1088.92	921.88	764.36	1066.48	486.75	1111.82	961.07	518.15	848.22	775.05	1096.5	1135.2	703.28	633.73	559.28	947.83	507.46	1127.35	1119.56	1023.0	1242.34	688.78	1059.11	656.11	1044.52	486.75	921.88	1242.34	796.86	624.99	532.74	638.15	988.12	743.43	1037.29	1216.75	1044.52	674.59	791.35	457.25	1331.57	612.11	1277.29	1088.92	733.19	759.08	1322.37	819.3	379.04	607.87
N4BP2	45.53	94.67	100.13	29.06	22.26	43.02	63.89	30.56	10.24	47.5	30.56	29.7	50.27	39.22	48.52	57.49	70.01	47.5	20.86	30.56	26.47	24.63	21.78	50.27	81.71	32.36	23.42	30.12	33.06	27.25	15.11	49.56	55.1	36.01	37.32	30.56	25.35	69.52	22.59	62.12	55.89	24.63	29.7	36.27	37.05	67.59	21.63	28.65	22.75	37.85	13.03	48.87	67.12	49.21	59.13	34.75	41.81	27.64	53.19	23.59	46.84	60.82	23.25	34.26	27.05	29.06	44.25	34.75	29.91	94.67	38.95	30.56	37.32	21.01	58.3	38.67	74.58	68.07	41.22	45.85	58.3	31.0	27.84	31.9
NAA15	165.57	303.44	358.54	113.56	122.64	198.47	180.02	171.45	111.21	169.07	110.43	130.6	205.5	152.28	162.14	194.36	205.5	147.06	112.77	115.97	104.42	140.04	121.79	131.51	182.55	126.12	165.57	115.97	120.94	176.29	96.68	176.29	193.01	146.03	117.6	120.94	100.83	187.71	105.89	232.94	172.65	129.69	126.12	147.06	164.42	183.82	124.37	131.51	127.89	162.14	108.9	178.77	202.66	162.14	206.94	133.36	148.09	145.02	202.66	127.0	156.59	186.4	115.16	134.3	108.14	123.5	175.07	127.89	242.88	229.72	159.9	125.24	172.65	108.14	221.86	127.0	244.57	194.36	153.34	133.36	201.25	158.79	120.1	136.19
NAALADL2	77.79	61.25	170.25	20.26	17.77	71.5	78.89	50.63	31.45	82.29	22.75	18.7	75.11	28.45	28.04	33.54	43.63	41.52	16.75	21.94	21.94	46.5	13.03	31.0	68.55	17.64	41.52	38.67	23.25	43.63	16.03	41.22	53.19	30.56	28.04	29.48	14.35	82.87	18.29	64.8	43.02	24.11	17.0	46.18	39.79	57.49	22.26	22.92	14.67	58.71	16.75	70.51	68.55	67.12	76.17	30.56	43.63	24.63	41.52	30.78	34.02	98.04	33.54	48.87	22.92	22.26	62.12	54.72	53.19	83.45	68.07	19.97	49.91	36.01	88.88	33.3	64.8	69.52	63.45	28.45	73.54	23.93	31.67	22.92
NBN	265.87	616.37	1073.91	232.94	237.86	429.54	497.0	392.44	173.85	361.04	239.52	246.28	460.44	327.56	389.72	454.09	400.71	325.29	229.72	237.86	212.78	262.2	260.38	291.04	423.61	289.02	325.29	277.2	248.0	318.57	194.36	397.93	463.65	287.01	271.48	283.05	147.06	457.25	291.04	503.95	379.04	275.28	234.57	334.46	373.81	447.82	241.19	297.17	295.11	417.77	175.07	371.22	414.87	403.5	480.04	281.09	334.46	289.02	460.44	281.09	409.15	476.71	251.48	329.84	258.57	262.2	387.02	323.03	389.72	500.46	318.57	291.04	397.93	260.38	493.56	249.73	476.71	420.68	291.04	297.17	511.0	348.71	244.57	301.33
NCOA2	180.02	351.14	299.25	147.06	146.03	253.23	358.54	229.72	93.35	255.0	146.03	178.77	303.44	176.29	246.28	275.28	320.8	244.57	138.1	186.4	140.04	195.72	162.14	211.31	384.34	190.34	297.17	147.06	201.25	215.77	107.38	242.88	327.56	209.84	262.2	190.34	122.64	356.05	144.01	400.71	314.17	173.85	178.77	218.79	260.38	291.04	183.82	201.25	148.09	289.02	99.43	256.78	329.84	269.6	348.71	232.94	301.33	198.47	314.17	155.5	218.79	412.0	172.65	198.47	158.79	154.42	256.78	248.0	293.07	334.46	269.6	165.57	234.57	126.12	379.04	178.77	341.51	325.29	171.45	194.36	303.44	191.67	172.65	177.53
NEDD1	138.1	368.65	318.57	115.97	82.87	165.57	228.13	145.02	76.17	153.34	90.77	115.16	193.01	138.1	143.01	206.94	153.34	161.02	94.01	111.99	71.0	115.16	93.35	137.14	143.01	115.97	158.79	101.54	127.89	153.34	61.25	177.53	163.28	123.5	131.51	102.97	96.01	189.02	96.68	221.86	146.03	109.66	224.97	136.19	144.01	167.9	102.25	149.12	102.97	142.01	63.0	145.02	189.02	151.22	191.67	122.64	158.79	124.37	151.22	117.6	145.02	189.02	102.25	115.97	105.15	120.94	194.36	138.1	153.34	248.0	171.45	122.64	153.34	96.01	170.25	117.6	197.09	173.85	155.5	131.51	181.28	139.07	114.36	125.24
NEK1	52.45	133.36	145.02	86.43	69.03	105.15	119.26	81.71	37.85	84.63	71.5	72.01	109.66	71.0	98.73	112.77	139.07	97.36	56.68	64.34	65.26	69.03	68.07	78.34	99.43	61.25	88.26	59.13	60.39	92.7	57.49	105.15	94.01	94.01	100.13	87.03	63.89	114.36	49.21	149.12	112.77	74.06	65.72	71.5	98.73	119.26	64.34	77.79	58.71	87.65	61.68	94.67	120.1	101.54	126.12	84.63	93.35	77.79	97.36	51.71	88.88	137.14	90.77	65.72	52.08	82.29	94.67	75.11	110.43	149.12	82.87	67.12	88.26	56.68	108.9	84.63	140.04	109.66	82.87	89.51	131.51	76.17	72.01	84.63
NEK7	507.46	1359.57	1183.45	289.02	281.09	432.53	460.44	325.29	118.43	323.03	239.52	260.38	466.88	305.55	441.64	587.13	567.1	384.34	260.38	299.25	251.48	334.46	277.2	343.89	438.59	309.83	269.6	271.48	346.29	301.33	165.57	297.17	432.53	291.04	332.14	256.78	258.57	500.46	246.28	525.39	423.61	343.89	251.48	358.54	457.25	463.65	363.56	289.02	265.87	423.61	197.09	379.04	493.56	392.44	435.55	283.05	366.09	291.04	450.94	275.28	447.82	476.71	267.73	339.14	303.44	323.03	387.02	320.8	397.93	521.76	332.14	332.14	450.94	226.54	466.88	339.14	521.76	409.15	336.79	341.51	432.53	287.01	236.21	251.48
NHLRC2	71.0	139.07	122.64	53.95	39.5	105.15	101.54	67.59	35.76	99.43	45.53	52.08	119.26	66.18	90.77	111.99	127.0	90.77	61.25	56.68	46.84	79.45	53.19	80.57	138.1	73.54	81.14	77.79	75.64	72.52	27.05	84.63	107.38	69.52	76.17	59.97	72.52	136.19	66.18	127.0	105.15	60.82	70.51	76.17	89.51	133.36	64.8	61.25	73.03	116.78	37.59	90.14	106.63	94.67	111.99	60.39	99.43	60.82	108.14	62.12	93.35	122.64	49.56	81.71	62.12	59.13	96.01	77.79	86.43	141.02	80.01	62.56	86.43	43.32	142.01	58.71	141.02	102.97	80.57	70.01	106.63	86.43	50.27	52.08
NMD3	403.5	854.13	1135.2	384.34	327.56	620.67	612.11	507.46	289.02	447.82	285.03	332.14	543.96	353.59	490.14	708.18	595.34	435.55	389.72	414.87	297.17	373.81	373.81	387.02	476.71	346.29	395.18	318.57	444.72	429.54	334.46	450.94	647.07	356.05	409.15	432.53	358.54	595.34	373.81	674.59	507.46	420.68	412.0	423.61	470.14	616.37	363.56	336.79	356.05	563.18	305.55	633.73	693.58	532.74	559.28	381.68	454.09	406.31	555.41	412.0	603.67	547.75	353.59	454.09	389.72	400.71	435.55	395.18	638.15	607.87	507.46	414.87	547.75	356.05	642.59	444.72	599.49	521.76	483.38	409.15	603.67	400.71	368.65	353.59
NPAT	101.54	224.97	99.43	98.73	78.34	163.28	253.23	146.03	84.04	145.02	89.51	94.67	161.02	110.43	125.24	199.85	197.09	134.3	84.63	93.35	75.11	108.14	114.36	107.38	163.28	111.99	185.11	81.14	105.89	139.07	77.25	186.4	187.71	117.6	125.24	129.69	70.01	163.28	88.26	256.78	175.07	115.16	125.24	125.24	144.01	202.66	95.34	88.88	108.9	189.02	80.01	164.42	148.09	131.51	162.14	137.14	118.43	123.5	205.5	98.04	152.28	212.78	76.17	127.0	85.22	98.73	175.07	127.0	198.47	223.41	133.36	99.43	169.07	88.88	209.84	75.11	204.07	157.68	122.64	100.13	202.66	134.3	117.6	116.78
NPC2	156954.93	72213.45	113315.62	113315.62	98646.85	90146.51	85876.94	113315.62	106462.55	115696.65	91404.92	142439.51	124000.67	107948.72	137587.47	93974.69	98646.85	138544.47	86474.27	85283.74	111755.56	122293.5	93974.69	108699.57	91404.92	134755.94	109455.64	114103.8	117311.73	130165.62	127486.83	130165.62	87075.75	131982.68	154794.07	110983.6	135693.24	104996.83	109455.64	85283.74	97965.44	110216.97	104271.56	155870.75	94628.34	77934.88	118127.7	135693.24	105727.15	90146.51	70727.3	92040.7	93325.55	79022.82	75280.1	118127.7	115696.65	117311.73	92680.9	114897.47	103551.29	114103.8	96616.71	126606.21	118949.35	119776.72	112532.89	111755.56	85876.94	69753.56	100719.65	107948.72	110216.97	89523.81	75803.72	101420.22	80683.28	103551.29	106462.55	121448.75	85876.94	127486.83	104271.56	94628.34
