	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.ZC5H.1726.SM.5HL7X	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5083.01A.02R.1420.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.DZ.6131.11A.01R.1965.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.1269C.0626.SM.5FQSS	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.13NZB.0626.SM.5IFH6	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	TCGA.BR.A44T.01A.32R.A24K.31	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF
TBC1D14	497.0	878.17	14065.74	9025.81	9215.48	15392.14	9808.75	3303.0	11345.82	9025.81	9876.98	1529.73	450.94	1508.65	981.29	1037.29	314.17	8840.04	8247.98	688.78	303.44	9474.59	1407.55	1216.75	10014.87	947.83	723.08	291.04	162.14	480.04	271.48	157.68	309.83	301.33	229.72	316.37	281.09	157.68	258.57	334.46	191.67	70.51	234.57	529.06	559.28	1030.12
THSD7B	7.75	7.75	16.63	242.88	4.28	64.34	163.28	101.54	76.71	65.72	90.14	24.81	13.62	137.14	176.29	44.25	19.25	78.34	28.86	9.7	21.16	19.39	30.34	13.72	241.19	27.44	8.78	1.06	3.89	0.0	0.0	0.0	20.26	18.29	1.1	2.61	1.03	1.01	4.13	1.69	1.03	0.0	3.82	7.06	15.56	9.41
TMCO4	426.57	629.35	1066.48	1304.15	1313.23	1242.34	1529.73	947.83	1407.55	915.51	1096.5	543.96	500.46	866.07	878.17	647.07	518.15	1081.39	872.1	426.57	518.15	1066.48	529.06	500.46	1037.29	603.67	191.67	193.01	307.69	262.2	244.57	182.55	262.2	295.11	301.33	217.27	303.44	265.87	325.29	231.32	153.34	118.43	228.13	334.46	395.18	708.18
TMED1	713.11	603.67	2384.37	1467.37	1721.16	2520.38	2451.44	2451.44	3443.31	2816.11	2520.38	941.27	909.17	1088.92	1572.76	1378.57	389.72	2133.97	1697.45	909.17	1208.34	1519.15	1051.79	878.17	2119.22	1277.29	1119.56	988.12	599.49	848.22	1359.57	698.41	1159.07	988.12	1135.2	1359.57	1529.73	547.75	808.0	1111.82	967.76	718.08	1199.98	339.14	412.0	738.29
TMEM106C	1977.24	3874.05	4066.71	6121.9	7280.4	4328.55	9088.59	9540.5	11035.54	10883.59	4671.57	2417.67	1769.57	2468.49	2758.13	3515.68	603.67	4152.18	3614.55	2855.44	1159.07	6699.25	2434.5	1857.6	11745.96	1651.0	417.77	679.29	511.0	463.65	409.15	567.1	429.54	591.22	457.25	381.68	466.88	559.28	426.57	329.84	400.71	148.09	559.28	1259.69	1268.46	921.88
TMEM38A	123.5	148.09	3955.48	1594.73	1322.37	4836.35	3018.3	2895.31	5112.16	2609.3	2133.97	954.43	169.07	529.06	426.57	409.15	525.39	3124.78	2209.26	36.27	24.11	3443.31	379.04	256.78	5076.84	339.14	249.73	157.68	35.5	141.02	139.07	332.14	182.55	149.12	110.43	121.79	132.44	144.01	163.28	172.65	186.4	50.63	197.09	118.43	195.72	273.37
TMEM8B	490.14	356.05	1159.07	647.07	669.92	1208.34	1561.89	1175.27	1551.09	1498.22	1286.18	312.0	376.41	607.87	748.61	426.57	218.79	791.35	1015.93	172.65	164.42	713.11	435.55	429.54	1991.0	571.05	86.43	113.56	133.36	105.89	127.89	78.34	68.55	150.17	100.83	133.36	121.79	81.14	121.79	45.21	71.0	29.7	85.82	480.04	486.75	229.72
TSPAN5	182.55	53.95	1709.26	5913.33	2720.15	1936.53	2335.28	2335.28	1313.23	2287.2	1662.49	165.57	348.71	429.54	120.94	571.05	228.13	2609.3	2555.58	163.28	152.28	4869.99	343.89	237.86	4152.18	111.21	8.99	5.73	21.63	48.18	10.96	2.84	31.22	26.47	38.67	106.63	15.91	16.75	23.25	4.66	5.96	7.0	18.16	119.26	78.89	44.89
VDAC1	3212.66	4543.8	5913.33	10959.3	10808.41	4419.52	10440.2	11267.44	8363.13	10808.41	9540.5	4419.52	5517.27	5831.91	3443.31	6887.62	4869.99	12853.63	7857.29	7130.55	4671.57	14765.09	7230.1	5831.91	14065.74	5076.84	2224.63	3372.43	2287.2	2271.4	2502.97	3467.27	2193.99	1794.29	1909.85	2018.8	3190.46	3690.52	2018.8	3982.99	2645.74	3303.0	2351.53	2816.11	2816.11	4543.8
VLDLR	205.5	30.56	796.86	1111.82	463.65	358.54	1583.71	1127.35	1540.37	1096.5	1378.57	603.67	100.13	444.72	555.41	167.9	463.65	1135.2	988.12	265.87	651.58	1769.57	237.86	287.01	2255.7	587.13	24.81	6.41	36.01	15.91	9.2	29.48	32.36	10.16	2.76	2.61	11.64	6.11	12.74	12.36	10.96	0.92	15.22	136.19	102.97	241.19
VPS18	234.57	211.31	915.51	708.18	518.15	738.29	934.76	769.69	1151.06	753.83	915.51	348.71	262.2	423.61	241.19	318.57	176.29	780.44	703.28	312.0	226.54	738.29	460.44	334.46	947.83	363.56	251.48	161.02	176.29	163.28	146.03	279.14	178.77	135.24	140.04	134.3	172.65	145.02	170.25	309.83	171.45	255.0	193.01	271.48	166.73	291.04
ZBTB47	371.22	154.42	813.63	417.77	708.18	2555.58	1096.5	802.41	1268.46	1331.57	961.07	86.43	80.01	214.27	217.27	98.04	309.83	1008.9	438.59	127.0	151.22	753.83	164.42	191.67	1286.18	217.27	34.26	48.52	55.89	51.71	25.17	84.63	99.43	63.0	67.59	49.56	65.26	113.56	113.56	21.78	67.12	163.28	45.85	279.14	406.31	197.09
ZDHHC23	75.64	438.59	555.41	447.82	620.67	775.05	616.37	543.96	579.04	563.18	395.18	237.86	82.87	267.73	82.87	63.0	182.55	532.74	211.31	61.25	37.05	1151.06	106.63	149.12	1088.92	71.0	12.18	39.79	88.88	16.39	22.59	42.71	88.88	41.81	55.1	57.08	31.0	53.95	68.55	116.78	78.34	7.17	71.0	88.88	64.34	89.51
ZNF226	339.14	303.44	389.72	525.39	154.42	486.75	802.41	669.92	595.34	507.46	679.29	329.84	483.38	348.71	808.0	651.58	262.2	764.36	928.3	262.2	329.84	708.18	353.59	368.65	674.59	323.03	271.48	201.25	153.34	198.47	387.02	164.42	291.04	299.25	253.23	414.87	435.55	271.48	318.57	84.04	195.72	147.06	277.2	384.34	307.69	241.19
ZNF664	934.76	1151.06	2287.2	1709.26	2682.69	2855.44	2627.46	2090.03	1628.26	1963.57	2573.36	1111.82	1721.16	2133.97	2739.08	1498.22	1096.5	2645.74	3847.29	1268.46	612.11	3018.3	1617.0	1674.06	3190.46	1883.54	318.57	409.15	320.8	521.76	341.51	297.17	842.36	438.59	493.56	281.09	253.23	743.43	444.72	476.71	669.92	169.07	450.94	775.05	1008.9	1096.5
