	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.VS.A9V1.01A.11R.A42T.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.PX3G.0826.SM.48TZS	GTEX.14753.1626.SM.5NQ9L	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.BR.6452.01A.12R.1802.13	TCGA.CG.4438.01A.01R.1157.13	TCGA.BR.A452.01A.91R.A251.31	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.CG.4469.01A.01R.1157.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.BR.4371.01A.01R.1157.13	TCGA.HF.A5NB.01A.11R.A31P.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.VQ.A8PP.01A.21R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.BR.4369.01A.01R.1157.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.BR.8484.01A.11R.2402.13	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CG.4306.01A.01R.1157.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.BR.4363.01A.01R.1157.13	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.SNOS.0826.SM.4DM5N	GTEX.PWCY.0926.SM.48TD7	GTEX.145MN.1326.SM.5NQ9S	GTEX.13U4I.2526.SM.5SI8Z	GTEX.OHPK.1526.SM.3MJGM	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.13CF3.1926.SM.5K7WF	GTEX.UJMC.1226.SM.4IHLI
SMARCAD1	87.03	426.57	493.56	563.18	660.68	785.88	551.56	674.59	368.65	224.97	341.51	295.11	275.28	151.22	232.94	170.25	178.77	301.33	228.13	198.47	267.73	209.84	323.03	256.78	178.77	239.52	197.09	214.27	27.44	70.51	103.69	98.73	74.58	94.01	34.26	70.01	77.79	18.43	236.21	166.73	291.04	91.41	269.6	392.44	323.03	275.28	177.53	267.73	450.94	551.56	309.83	161.02	540.19	420.68	629.35	379.04	301.33	543.96	273.37	287.01	500.46	381.68	117.6	543.96	236.21	412.0	231.32	121.79	94.01	275.28	166.73	239.52	251.48	305.55	234.57	224.97	156.59	212.78	167.9	94.67	161.02
SNW1	860.08	1617.0	1806.78	1199.98	1639.59	1519.15	1369.04	2758.13	2816.11	1104.13	1697.45	1259.69	1359.57	616.37	995.0	1605.83	1427.22	748.61	1331.57	941.27	1111.82	1378.57	1322.37	1447.15	981.29	1572.76	1242.34	878.17	529.06	669.92	480.04	543.96	555.41	450.94	503.95	587.13	532.74	368.65	928.3	1745.2	1051.79	743.43	1199.98	1143.1	1001.93	1044.52	819.3	633.73	1322.37	1447.15	571.05	660.68	1331.57	1088.92	1685.71	669.92	872.1	1295.13	884.29	896.64	819.3	733.19	764.36	1447.15	934.76	1757.34	1119.56	825.0	656.11	1015.93	780.44	759.08	1023.0	733.19	988.12	679.29	915.51	866.07	830.75	909.17	660.68
SPIN1	521.76	2119.22	1508.65	1857.6	2047.0	2090.03	1794.29	2816.11	2163.77	483.38	723.08	2573.36	3325.99	595.34	307.69	403.5	470.14	591.22	518.15	743.43	587.13	764.36	995.0	575.03	547.75	540.19	603.67	547.75	327.56	144.01	131.51	208.38	205.5	177.53	183.82	202.66	444.72	77.25	660.68	785.88	819.3	412.0	780.44	1119.56	967.76	361.04	473.41	890.44	860.08	947.83	603.67	480.04	785.88	769.69	1594.73	988.12	612.11	1096.5	511.0	679.29	941.27	693.58	457.25	954.43	426.57	1175.27	995.0	583.07	283.05	444.72	567.1	660.68	660.68	624.99	532.74	567.1	400.71	417.77	379.04	312.0	669.92
SRFBP1	59.13	325.29	244.57	275.28	277.2	420.68	336.79	334.46	307.69	78.34	109.66	84.04	126.12	141.02	84.63	80.57	150.17	130.6	109.66	102.97	120.94	102.25	102.25	131.51	65.26	135.24	148.09	165.57	12.09	75.64	50.98	51.71	76.17	39.79	15.68	34.75	47.84	32.59	165.57	140.04	143.01	38.95	172.65	140.04	143.01	102.25	104.42	114.36	103.69	164.42	141.02	72.01	220.32	181.28	111.21	195.72	123.5	231.32	141.02	187.71	139.07	114.36	98.73	215.77	135.24	185.11	120.94	26.28	43.02	112.77	94.67	110.43	67.59	87.65	84.04	68.07	84.04	72.52	66.18	75.64	81.71
TAOK1	117.6	543.96	638.15	483.38	733.19	551.56	511.0	1104.13	624.99	208.38	171.45	239.52	242.88	187.71	169.07	156.59	130.6	124.37	193.01	305.55	361.04	351.14	239.52	325.29	112.77	209.84	320.8	241.19	38.12	69.03	65.72	62.12	63.45	48.18	28.65	59.97	71.0	46.18	202.66	285.03	275.28	102.25	283.05	429.54	208.38	264.03	191.67	236.21	303.44	414.87	221.86	120.94	373.81	212.78	426.57	497.0	190.34	791.35	305.55	309.83	334.46	299.25	103.69	351.14	224.97	444.72	325.29	236.21	94.67	165.57	195.72	190.34	159.9	171.45	157.68	265.87	125.24	155.5	165.57	100.83	122.64
TCERG1	327.56	1225.22	1135.2	967.76	1127.35	1674.06	941.27	1167.14	819.3	368.65	651.58	567.1	769.69	1191.69	981.29	633.73	1167.14	1540.37	921.88	780.44	1151.06	1447.15	1008.9	1340.84	728.11	1477.58	921.88	567.1	75.11	363.56	228.13	229.72	267.73	147.06	39.5	206.94	131.51	52.82	429.54	503.95	567.1	397.93	825.0	1051.79	1015.93	872.1	575.03	587.13	884.29	1447.15	995.0	587.13	1208.34	854.13	1477.58	1023.0	974.5	1427.22	1216.75	878.17	1143.1	921.88	693.58	1159.07	1199.98	1208.34	1096.5	703.28	575.03	718.08	603.67	587.13	764.36	967.76	603.67	612.11	616.37	567.1	688.78	559.28	518.15
TEX10	212.78	432.53	438.59	373.81	447.82	698.41	486.75	728.11	412.0	171.45	444.72	323.03	395.18	224.97	81.14	373.81	460.44	540.19	334.46	371.22	392.44	470.14	356.05	387.02	348.71	555.41	309.83	327.56	115.16	87.65	110.43	108.9	130.6	109.66	57.89	84.63	107.38	36.79	211.31	307.69	397.93	185.11	389.72	368.65	346.29	153.34	193.01	159.9	435.55	819.3	529.06	190.34	503.95	343.89	638.15	363.56	299.25	429.54	253.23	299.25	417.77	426.57	195.72	376.41	181.28	733.19	366.09	258.57	118.43	167.9	295.11	167.9	147.06	249.73	190.34	226.54	166.73	185.11	169.07	124.37	153.34
TGS1	111.99	392.44	316.37	414.87	392.44	409.15	371.22	808.0	255.0	130.6	237.86	119.26	185.11	176.29	136.19	189.02	273.37	246.28	244.57	255.0	234.57	351.14	229.72	332.14	309.83	343.89	237.86	265.87	21.63	104.42	115.97	73.54	90.77	62.12	19.39	62.56	63.0	23.93	190.34	253.23	205.5	316.37	397.93	629.35	500.46	214.27	206.94	256.78	267.73	595.34	258.57	124.37	642.59	379.04	423.61	353.59	242.88	379.04	318.57	242.88	450.94	239.52	169.07	343.89	307.69	559.28	208.38	117.6	112.77	212.78	191.67	169.07	138.1	187.71	217.27	90.77	163.28	148.09	150.17	100.83	126.12
THUMPD1	454.09	1350.18	819.3	1304.15	1143.1	1498.22	1119.56	1709.26	1081.39	341.51	647.07	665.29	819.3	309.83	253.23	327.56	426.57	571.05	551.56	229.72	218.79	361.04	511.0	575.03	156.59	633.73	341.51	220.32	132.44	161.02	152.28	209.84	187.71	157.68	101.54	158.79	164.42	146.03	466.88	426.57	587.13	253.23	612.11	718.08	647.07	241.19	406.31	353.59	371.22	698.41	759.08	242.88	616.37	651.58	723.08	624.99	454.09	595.34	384.34	629.35	764.36	397.93	336.79	698.41	348.71	860.08	633.73	450.94	157.68	291.04	438.59	514.56	483.38	381.68	460.44	371.22	486.75	305.55	389.72	329.84	457.25
TPP2	387.02	713.11	854.13	1001.93	813.63	1044.52	802.41	1111.82	934.76	264.03	518.15	708.18	802.41	460.44	493.56	497.0	497.0	1175.27	656.11	507.46	624.99	555.41	738.29	759.08	529.06	743.43	559.28	423.61	169.07	373.81	285.03	361.04	351.14	348.71	195.72	420.68	323.03	165.57	346.29	483.38	514.56	323.03	536.45	490.14	743.43	444.72	473.41	497.0	896.64	1175.27	500.46	363.56	934.76	665.29	808.0	860.08	656.11	1104.13	860.08	698.41	583.07	620.67	234.57	802.41	1225.22	1023.0	688.78	336.79	289.02	423.61	435.55	384.34	336.79	460.44	612.11	490.14	293.07	376.41	327.56	275.28	309.83
TRAPPC11	212.78	536.45	591.22	624.99	743.43	759.08	688.78	1088.92	665.29	356.05	318.57	307.69	287.01	176.29	327.56	327.56	289.02	348.71	343.89	224.97	323.03	287.01	381.68	283.05	208.38	173.85	285.03	264.03	135.24	195.72	155.5	277.2	189.02	239.52	146.03	190.34	161.02	142.01	441.64	348.71	343.89	191.67	480.04	348.71	264.03	363.56	346.29	371.22	246.28	547.75	460.44	232.94	454.09	444.72	283.05	429.54	373.81	441.64	343.89	414.87	447.82	371.22	194.36	441.64	400.71	607.87	376.41	193.01	167.9	327.56	232.94	275.28	334.46	400.71	438.59	336.79	318.57	277.2	334.46	178.77	297.17
TRAPPC6B	218.79	490.14	595.34	571.05	518.15	612.11	638.15	718.08	813.63	371.22	438.59	397.93	587.13	249.73	251.48	373.81	269.6	226.54	277.2	356.05	441.64	473.41	423.61	363.56	181.28	376.41	423.61	285.03	85.82	191.67	132.44	226.54	229.72	262.2	97.36	242.88	220.32	275.28	454.09	332.14	490.14	139.07	251.48	332.14	376.41	202.66	220.32	239.52	473.41	361.04	251.48	211.31	307.69	212.78	339.14	376.41	229.72	363.56	291.04	258.57	371.22	287.01	205.5	387.02	246.28	363.56	229.72	105.15	190.34	212.78	186.4	271.48	262.2	251.48	253.23	183.82	265.87	197.09	220.32	133.36	234.57
TRMT13	74.58	336.79	241.19	232.94	432.53	620.67	366.09	587.13	269.6	96.68	191.67	201.25	229.72	157.68	187.71	148.09	273.37	287.01	194.36	165.57	212.78	181.28	323.03	166.73	157.68	249.73	182.55	147.06	15.0	62.12	74.58	102.97	77.79	77.25	11.55	80.01	34.02	21.01	156.59	94.01	169.07	128.79	218.79	269.6	260.38	277.2	159.9	118.43	334.46	373.81	152.28	87.65	334.46	251.48	183.82	234.57	205.5	314.17	256.78	283.05	246.28	267.73	101.54	301.33	209.84	332.14	312.0	109.66	96.01	119.26	120.1	215.77	199.85	320.8	148.09	175.07	103.69	140.04	119.26	78.34	165.57
TRPM7	85.22	599.49	476.71	500.46	511.0	629.35	503.95	1104.13	559.28	98.04	141.02	178.77	232.94	223.41	172.65	173.85	110.43	175.07	165.57	351.14	348.71	303.44	262.2	346.29	248.0	289.02	209.84	242.88	15.22	148.09	122.64	149.12	130.6	208.38	46.84	194.36	182.55	116.78	197.09	223.41	293.07	155.5	320.8	395.18	314.17	305.55	178.77	217.27	555.41	518.15	332.14	140.04	497.0	255.0	366.09	429.54	260.38	414.87	476.71	435.55	417.77	371.22	141.02	379.04	633.73	595.34	454.09	198.47	94.01	256.78	244.57	327.56	249.73	181.28	232.94	212.78	173.85	142.01	129.69	75.11	178.77
TYW5	78.34	194.36	176.29	173.85	165.57	187.71	136.19	164.42	130.6	46.84	77.79	82.29	80.57	108.9	112.77	115.97	98.73	146.03	115.97	127.89	120.94	142.01	135.24	153.34	84.04	141.02	125.24	110.43	21.01	65.72	36.53	38.12	52.08	55.1	30.34	62.12	43.02	21.94	85.22	81.14	77.25	76.71	100.13	202.66	101.54	102.97	87.65	90.14	193.01	187.71	127.0	77.79	133.36	99.43	154.42	118.43	170.25	202.66	172.65	133.36	128.79	78.34	54.72	127.0	119.26	158.79	100.13	88.88	40.64	76.71	64.8	93.35	82.29	108.14	74.06	137.14	63.89	111.99	77.79	42.71	74.58
UBXN4	748.61	2209.26	2351.53	4937.99	2255.7	2485.67	2573.36	3018.3	2796.65	1191.69	1175.27	1819.35	2384.37	1477.58	1572.76	1096.5	947.83	1551.09	1295.13	1359.57	1233.75	1225.22	1447.15	1540.37	1015.93	1662.49	1135.2	1001.93	180.02	796.86	688.78	902.89	921.88	848.22	334.46	1015.93	830.75	521.76	1447.15	1259.69	1143.1	1617.0	1806.78	2384.37	2720.15	2075.59	1023.0	1447.15	1977.24	2367.9	2004.85	1286.18	2224.63	1870.53	2417.67	2133.97	2319.15	2720.15	2061.24	1950.0	2061.24	1242.34	1023.0	1977.24	1340.84	2956.17	1594.73	1216.75	764.36	1242.34	1467.37	1519.15	1151.06	1111.82	961.07	1225.22	1242.34	890.44	1037.29	748.61	1044.52
UIMC1	412.0	536.45	638.15	277.2	480.04	629.35	457.25	775.05	961.07	164.42	435.55	616.37	525.39	363.56	343.89	450.94	603.67	620.67	567.1	460.44	612.11	738.29	723.08	441.64	379.04	708.18	466.88	366.09	132.44	293.07	187.71	155.5	202.66	137.14	92.05	172.65	150.17	100.13	450.94	392.44	426.57	166.73	348.71	343.89	334.46	275.28	267.73	299.25	283.05	647.07	476.71	177.53	432.53	301.33	295.11	384.34	346.29	441.64	514.56	423.61	470.14	457.25	325.29	476.71	414.87	587.13	723.08	285.03	167.9	267.73	323.03	258.57	273.37	353.59	232.94	389.72	332.14	301.33	293.07	303.44	265.87
USP1	435.55	665.29	915.51	688.78	819.3	1037.29	909.17	2367.9	1059.11	356.05	309.83	334.46	500.46	476.71	624.99	624.99	507.46	395.18	490.14	547.75	457.25	379.04	547.75	599.49	571.05	486.75	463.65	237.86	35.25	151.22	115.16	94.01	110.43	117.6	48.52	127.89	129.69	121.79	368.65	476.71	470.14	248.0	525.39	457.25	753.83	536.45	283.05	244.57	802.41	665.29	607.87	194.36	595.34	620.67	409.15	660.68	323.03	511.0	473.41	660.68	518.15	571.05	234.57	693.58	303.44	825.0	866.07	323.03	146.03	435.55	236.21	318.57	178.77	255.0	379.04	248.0	307.69	384.34	205.5	255.0	224.97
VPS13C	226.54	915.51	665.29	1447.15	743.43	872.1	915.51	1857.6	1008.9	74.58	114.36	1073.91	1001.93	559.28	285.03	412.0	281.09	429.54	785.88	341.51	651.58	417.77	466.88	624.99	164.42	665.29	486.75	409.15	105.15	215.77	116.78	201.25	195.72	159.9	77.79	202.66	122.64	105.89	323.03	251.48	299.25	289.02	423.61	708.18	348.71	679.29	339.14	759.08	607.87	921.88	624.99	303.44	872.1	368.65	733.19	567.1	567.1	599.49	802.41	723.08	1159.07	529.06	384.34	629.35	723.08	769.69	647.07	262.2	297.17	674.59	371.22	403.5	595.34	759.08	301.33	688.78	429.54	316.37	293.07	176.29	291.04
VRK2	403.5	4937.99	703.28	665.29	551.56	633.73	703.28	1023.0	1037.29	476.71	403.5	201.25	164.42	441.64	256.78	281.09	348.71	325.29	674.59	400.71	420.68	285.03	361.04	392.44	567.1	454.09	420.68	373.81	47.84	182.55	116.78	114.36	125.24	95.34	37.32	117.6	178.77	68.55	638.15	733.19	769.69	309.83	457.25	457.25	599.49	417.77	204.07	251.48	323.03	511.0	497.0	182.55	305.55	376.41	525.39	483.38	363.56	616.37	403.5	454.09	403.5	172.65	187.71	518.15	193.01	500.46	397.93	237.86	115.97	329.84	183.82	205.5	165.57	334.46	229.72	170.25	348.71	316.37	180.02	139.07	191.67
WDR36	59.97	368.65	318.57	358.54	397.93	480.04	387.02	551.56	363.56	85.22	125.24	125.24	153.34	142.01	153.34	105.15	260.38	205.5	201.25	112.77	199.85	223.41	212.78	218.79	112.77	195.72	182.55	229.72	44.89	123.5	57.89	117.6	124.37	105.15	69.52	109.66	111.99	63.0	187.71	118.43	187.71	70.51	327.56	341.51	194.36	119.26	236.21	206.94	176.29	356.05	273.37	130.6	397.93	373.81	164.42	400.71	312.0	395.18	267.73	318.57	301.33	212.78	86.43	353.59	193.01	358.54	215.77	115.16	70.51	137.14	178.77	178.77	156.59	212.78	161.02	146.03	143.01	122.64	101.54	86.43	123.5
XPO4	53.19	244.57	220.32	229.72	351.14	334.46	251.48	379.04	201.25	49.91	97.36	77.25	129.69	101.54	111.99	95.34	102.97	234.57	103.69	166.73	197.09	165.57	198.47	231.32	163.28	199.85	123.5	133.36	42.11	53.57	30.34	34.02	35.25	33.06	37.32	32.82	40.36	14.35	131.51	110.43	193.01	77.25	215.77	417.77	212.78	102.97	131.51	105.15	271.48	435.55	232.94	105.89	309.83	183.82	262.2	325.29	228.13	334.46	323.03	256.78	251.48	218.79	59.97	277.2	115.97	279.14	305.55	175.07	46.5	78.34	100.13	119.26	95.34	145.02	84.63	96.68	70.51	90.77	79.45	52.45	80.01
YTHDC2	53.57	595.34	412.0	529.06	555.41	500.46	463.65	518.15	371.22	108.9	169.07	171.45	167.9	223.41	127.89	121.79	202.66	291.04	237.86	199.85	295.11	305.55	212.78	275.28	146.03	191.67	295.11	283.05	28.86	96.01	59.97	116.78	137.14	102.25	56.28	97.36	126.12	41.81	248.0	246.28	361.04	69.03	275.28	226.54	173.85	161.02	170.25	173.85	149.12	381.68	236.21	114.36	368.65	291.04	182.55	323.03	141.02	305.55	307.69	273.37	336.79	214.27	94.67	371.22	173.85	371.22	191.67	127.89	123.5	153.34	267.73	171.45	199.85	189.02	153.34	197.09	105.15	148.09	140.04	84.04	114.36
ZBTB1	187.71	872.1	808.0	848.22	842.36	1073.91	830.75	1030.12	819.3	273.37	387.02	698.41	551.56	242.88	316.37	312.0	323.03	395.18	356.05	293.07	420.68	470.14	497.0	384.34	182.55	412.0	409.15	346.29	78.89	139.07	156.59	146.03	180.02	173.85	59.13	162.14	140.04	147.06	389.72	248.0	353.59	275.28	525.39	447.82	351.14	327.56	291.04	376.41	486.75	679.29	480.04	221.86	633.73	423.61	961.07	518.15	334.46	460.44	406.31	500.46	616.37	376.41	226.54	547.75	463.65	629.35	490.14	241.19	146.03	215.77	307.69	320.8	483.38	490.14	285.03	358.54	223.41	283.05	262.2	164.42	316.37
ZBTB14	132.44	417.77	289.02	343.89	323.03	409.15	361.04	441.64	262.2	114.36	201.25	248.0	297.17	198.47	201.25	111.99	103.69	117.6	166.73	148.09	146.03	114.36	113.56	137.14	89.51	75.11	74.58	108.14	51.35	82.87	124.37	107.38	93.35	114.36	63.45	85.82	154.42	50.98	208.38	158.79	180.02	142.01	201.25	199.85	175.07	117.6	183.82	111.99	150.17	316.37	167.9	67.12	289.02	176.29	211.31	208.38	189.02	353.59	221.86	237.86	177.53	170.25	126.12	228.13	193.01	387.02	237.86	114.36	64.8	173.85	114.36	177.53	273.37	204.07	193.01	90.14	177.53	161.02	155.5	132.44	155.5
ZBTB44	185.11	638.15	563.18	540.19	718.08	1175.27	748.61	1216.75	890.44	226.54	336.79	511.0	532.74	149.12	318.57	312.0	185.11	384.34	279.14	244.57	412.0	381.68	221.86	305.55	166.73	198.47	229.72	275.28	193.01	176.29	108.9	171.45	185.11	183.82	166.73	158.79	124.37	187.71	642.59	551.56	693.58	171.45	454.09	688.78	368.65	256.78	307.69	273.37	228.13	423.61	199.85	177.53	518.15	289.02	529.06	435.55	293.07	591.22	291.04	543.96	361.04	316.37	159.9	500.46	320.8	450.94	318.57	231.32	132.44	144.01	241.19	279.14	204.07	312.0	236.21	329.84	260.38	194.36	224.97	180.02	336.79
ZBTB6	86.43	336.79	212.78	323.03	273.37	221.86	195.72	612.11	194.36	94.01	119.26	115.97	153.34	97.36	85.82	77.79	80.01	81.14	89.51	100.83	71.0	78.34	143.01	96.01	63.89	129.69	120.1	98.04	26.47	31.22	26.28	38.67	24.81	25.91	28.45	30.56	34.02	10.0	107.38	87.03	114.36	49.21	115.16	212.78	171.45	75.64	108.9	110.43	147.06	198.47	178.77	57.89	237.86	109.66	281.09	152.28	123.5	218.79	126.12	101.54	120.94	138.1	51.71	175.07	91.41	157.68	220.32	94.01	52.45	108.14	101.54	80.57	108.9	132.44	96.01	92.7	108.9	75.11	86.43	53.19	98.04
ZC3H11A	813.63	2701.35	2835.7	2835.7	2434.5	2796.65	2193.99	3716.2	2271.4	1340.84	1096.5	1628.26	2090.03	1268.46	1191.69	981.29	1427.22	1857.6	1242.34	1870.53	1508.65	1745.2	1397.83	1605.83	1191.69	1477.58	1709.26	1417.35	323.03	633.73	947.83	669.92	629.35	647.07	334.46	684.02	674.59	320.8	1073.91	872.1	1175.27	728.11	1191.69	2367.9	1662.49	1388.16	941.27	1111.82	2148.82	2417.67	1268.46	808.0	2739.08	1991.0	2384.37	2303.12	1191.69	2090.03	1651.0	2061.24	1721.16	2032.85	748.61	1909.85	1183.45	1806.78	1295.13	1104.13	647.07	915.51	1073.91	1066.48	1322.37	1295.13	995.0	1259.69	808.0	1066.48	884.29	713.11	1051.79
ZC3H14	493.56	1242.34	1037.29	1417.35	1208.34	1674.06	1233.75	1745.2	1508.65	403.5	379.04	802.41	825.0	366.09	1023.0	1199.98	988.12	490.14	785.88	665.29	836.53	1540.37	981.29	599.49	703.28	890.44	591.22	583.07	215.77	457.25	318.57	642.59	583.07	693.58	363.56	612.11	384.34	409.15	624.99	514.56	674.59	651.58	813.63	988.12	669.92	656.11	748.61	698.41	1199.98	1313.23	591.22	507.46	1268.46	813.63	460.44	1111.82	1023.0	1066.48	1030.12	660.68	1159.07	656.11	521.76	1191.69	825.0	1286.18	1023.0	743.43	392.44	309.83	679.29	540.19	591.22	723.08	518.15	642.59	525.39	540.19	521.76	511.0	674.59
ZFYVE16	148.09	642.59	583.07	748.61	693.58	713.11	607.87	836.53	607.87	127.89	221.86	571.05	567.1	291.04	289.02	217.27	229.72	348.71	205.5	212.78	314.17	246.28	237.86	289.02	164.42	299.25	291.04	212.78	46.5	131.51	96.68	145.02	175.07	115.97	61.68	138.1	101.54	79.45	293.07	185.11	209.84	117.6	293.07	314.17	435.55	212.78	119.26	376.41	295.11	414.87	334.46	145.02	339.14	275.28	373.81	323.03	193.01	343.89	420.68	297.17	507.46	341.51	154.42	389.72	253.23	332.14	363.56	97.36	127.89	194.36	186.4	194.36	217.27	255.0	165.57	202.66	135.24	172.65	150.17	121.79	114.36
ZNF143	255.0	490.14	409.15	447.82	454.09	583.07	444.72	813.63	490.14	389.72	429.54	205.5	435.55	283.05	343.89	303.44	205.5	279.14	400.71	384.34	267.73	341.51	327.56	327.56	279.14	265.87	426.57	262.2	87.65	339.14	159.9	121.79	140.04	100.13	62.56	100.83	130.6	50.27	301.33	279.14	285.03	258.57	287.01	684.02	314.17	289.02	295.11	332.14	417.77	406.31	275.28	248.0	493.56	381.68	258.57	384.34	275.28	780.44	258.57	307.69	267.73	215.77	154.42	417.77	229.72	483.38	223.41	248.0	157.68	285.03	346.29	137.14	224.97	409.15	229.72	358.54	295.11	320.8	258.57	205.5	181.28
ZNF280C	11.82	68.07	77.79	72.01	74.58	88.26	71.5	92.05	50.98	16.15	45.85	60.39	121.79	18.16	20.86	29.48	50.27	40.64	55.89	72.52	73.54	78.34	79.45	55.49	80.01	75.11	45.53	43.94	10.31	9.13	46.5	9.41	10.24	8.13	4.5	7.0	7.94	2.12	34.51	17.0	34.51	23.08	57.49	49.21	55.49	39.79	35.76	43.02	63.89	183.82	133.36	24.46	93.35	97.36	61.68	81.14	75.11	69.03	80.57	87.03	88.88	54.72	22.59	60.82	52.08	123.5	103.69	26.86	10.71	28.24	27.64	28.45	31.22	46.84	22.92	14.14	23.93	20.26	22.92	14.03	21.94
ZNF627	123.5	500.46	791.35	351.14	733.19	514.56	356.05	483.38	470.14	62.56	299.25	305.55	595.34	158.79	67.59	139.07	133.36	209.84	138.1	120.94	101.54	100.83	94.01	121.79	87.65	110.43	125.24	105.89	68.55	99.43	46.5	82.29	53.95	67.59	52.08	80.01	131.51	63.89	133.36	153.34	138.1	60.82	182.55	127.89	224.97	92.05	81.14	151.22	120.94	248.0	221.86	98.04	297.17	217.27	287.01	202.66	102.97	255.0	175.07	153.34	246.28	150.17	58.71	191.67	112.77	249.73	150.17	104.42	51.71	84.63	81.14	132.44	145.02	164.42	116.78	139.07	107.38	129.69	129.69	100.83	156.59
ZRANB3	20.26	67.59	87.03	131.51	96.68	94.01	76.71	110.43	145.02	53.95	56.28	41.22	48.87	40.07	52.82	42.11	71.5	22.43	92.05	96.01	41.81	50.63	45.85	54.72	61.68	60.39	29.7	28.45	11.73	32.82	16.75	44.57	55.49	71.5	51.35	71.0	59.13	46.84	63.0	26.47	44.25	46.84	46.18	109.66	94.01	33.3	39.22	27.84	47.17	84.04	82.29	43.32	94.67	57.89	77.79	52.08	98.04	131.51	95.34	68.07	100.83	45.21	19.25	73.54	29.7	138.1	48.52	40.93	13.83	55.89	25.72	31.67	38.95	57.89	28.86	85.22	18.97	49.91	29.48	29.48	12.55
ZW10	164.42	371.22	403.5	429.54	291.04	476.71	417.77	728.11	603.67	275.28	289.02	130.6	185.11	134.3	299.25	156.59	246.28	241.19	237.86	138.1	293.07	226.54	123.5	334.46	115.97	281.09	183.82	223.41	63.89	138.1	106.63	108.9	103.69	120.1	114.36	143.01	148.09	82.29	303.44	285.03	244.57	80.57	305.55	444.72	307.69	170.25	199.85	173.85	314.17	432.53	175.07	144.01	358.54	336.79	191.67	279.14	258.57	447.82	297.17	336.79	318.57	204.07	223.41	363.56	218.79	450.94	366.09	241.19	91.41	316.37	199.85	223.41	171.45	251.48	262.2	158.79	186.4	223.41	170.25	165.57	121.79
