	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.11ZVC.0726.SM.5FQT9	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.ZG.A8QX.01A.11R.A37L.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.V1.A8MK.01A.11R.A36G.07	GTEX.NFK9.2226.SM.3MJGP	TCGA.AX.A2IN.01A.12R.A180.07	TCGA.AX.A3FT.01A.11R.A22K.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.AJ.A8CV.01A.11R.A37O.07	TCGA.DI.A1BU.01A.11R.A137.07
RP11-345J4.5	764.36	620.67	688.78	825.0	967.76	915.51	429.54	1233.75	595.34	988.12	759.08	656.11	289.02	575.03	269.6	236.21	323.03	320.8	177.53	167.9	314.17	190.34	191.67	293.07	136.19	323.03	381.68	228.13	111.99	135.24	281.09	147.06	293.07	226.54	669.92	166.73	483.38	214.27	176.29	215.77	320.8	318.57	102.25	373.81	334.46	103.69	376.41	189.02	204.07	409.15	327.56	115.97	237.86	267.73	312.0	244.57	406.31	346.29	358.54	366.09	343.89	241.19	718.08	693.58	854.13	830.75	819.3	457.25	351.14
RP11-542C16.2	2.53	7.28	2.84	2.14	3.69	12.83	2.68	0.0	1.85	3.2	4.98	0.0	0.0	4.82	0.0	2.48	0.0	0.0	0.0	0.0	6.62	0.0	0.0	3.47	2.03	2.97	2.41	2.07	0.0	1.95	0.0	0.0	0.0	0.0	0.62	4.06	0.65	1.04	0.66	1.55	0.0	1.45	1.27	1.01	2.76	2.56	8.78	0.0	1.27	0.0	1.64	3.44	0.77	2.01	0.0	0.79	2.84	6.31	0.0	9.48	13.83	0.0	1.48	6.73	3.82	15.22	11.04	2.78	3.35
RRP7A	825.0	1167.14	2816.11	764.36	1001.93	1407.55	555.41	866.07	967.76	738.29	1023.0	896.64	718.08	723.08	336.79	633.73	567.1	532.74	423.61	529.06	915.51	507.46	733.19	432.53	480.04	961.07	698.41	325.29	540.19	269.6	595.34	389.72	426.57	896.64	423.61	249.73	934.76	872.1	454.09	854.13	961.07	493.56	368.65	660.68	647.07	616.37	1127.35	486.75	265.87	909.17	414.87	575.03	567.1	438.59	392.44	423.61	1378.57	830.75	967.76	1594.73	1259.69	642.59	988.12	1250.98	988.12	836.53	1896.65	902.89	1175.27
SAAL1	743.43	417.77	255.0	264.03	363.56	728.11	351.14	201.25	493.56	480.04	603.67	186.4	178.77	194.36	155.5	186.4	155.5	111.99	187.71	165.57	201.25	130.6	104.42	178.77	159.9	123.5	97.36	169.07	124.37	145.02	97.36	92.05	231.32	131.51	186.4	170.25	73.03	96.68	116.78	108.9	99.43	137.14	120.94	90.14	120.1	110.43	171.45	100.13	76.17	198.47	135.24	146.03	144.01	77.79	106.63	206.94	343.89	281.09	400.71	356.05	486.75	262.2	197.09	802.41	525.39	620.67	629.35	395.18	460.44
SCAND1	2303.12	1427.22	2591.27	3257.52	3190.46	4937.99	2148.82	2997.45	1572.76	2609.3	2835.7	1583.71	1508.65	1923.14	1662.49	1896.65	1498.22	1183.45	1437.15	1540.37	3325.99	1733.13	1001.93	1159.07	1662.49	1378.57	1561.89	1628.26	1733.13	1697.45	2555.58	1304.15	2193.99	2319.15	780.44	1662.49	1191.69	3103.19	1407.55	1216.75	1350.18	2271.4	1628.26	1662.49	2520.38	1662.49	2047.0	2148.82	1467.37	2502.97	1844.76	1242.34	2032.85	1540.37	1745.2	1819.35	4298.64	3303.0	2701.35	4123.49	4298.64	3146.52	2004.85	3491.39	3280.18	4937.99	4575.41	3874.05	3372.43
SCNM1	1225.22	1508.65	1628.26	1313.23	1051.79	2061.24	1832.01	1950.0	2047.0	2367.9	2335.28	1359.57	718.08	624.99	536.45	518.15	389.72	414.87	329.84	447.82	651.58	387.02	361.04	423.61	733.19	583.07	346.29	435.55	353.59	255.0	423.61	356.05	432.53	480.04	239.52	450.94	211.31	518.15	320.8	438.59	361.04	599.49	275.28	351.14	441.64	316.37	836.53	327.56	273.37	665.29	309.83	403.5	381.68	119.26	599.49	409.15	1037.29	854.13	693.58	1044.52	967.76	836.53	1088.92	1794.29	1745.2	1662.49	1551.09	1427.22	1870.53
SF3A2	1487.87	1674.06	1340.84	1794.29	1617.0	1709.26	1794.29	1794.29	1950.0	2935.74	5517.27	1183.45	579.04	830.75	728.11	785.88	334.46	371.22	429.54	389.72	808.0	521.76	389.72	457.25	693.58	567.1	336.79	323.03	273.37	371.22	525.39	194.36	395.18	426.57	202.66	353.59	234.57	567.1	366.09	366.09	435.55	647.07	343.89	371.22	791.35	414.87	974.5	444.72	242.88	587.13	438.59	620.67	400.71	255.0	371.22	384.34	1167.14	1259.69	1159.07	1757.34	1857.6	1639.59	1250.98	2796.65	2240.11	1896.65	2664.15	1991.0	3039.3
SH3PXD2B	246.28	376.41	703.28	109.66	175.07	896.64	432.53	246.28	151.22	373.81	603.67	221.86	119.26	95.34	36.27	63.89	48.52	47.5	34.75	101.54	37.32	31.0	41.22	75.64	96.68	253.23	24.99	84.04	79.45	24.81	32.82	52.45	24.11	108.14	9.27	23.59	34.02	16.03	34.75	47.84	102.25	69.52	44.89	43.02	25.91	59.55	63.45	46.5	79.45	45.21	58.71	28.04	32.59	41.52	45.53	36.53	131.51	229.72	218.79	248.0	224.97	323.03	123.5	532.74	194.36	381.68	432.53	483.38	420.68
SLC39A3	1286.18	967.76	1104.13	1059.11	1259.69	1191.69	813.63	848.22	848.22	854.13	1104.13	1340.84	764.36	896.64	620.67	981.29	703.28	571.05	651.58	591.22	934.76	802.41	432.53	603.67	514.56	981.29	480.04	764.36	532.74	624.99	764.36	447.82	718.08	878.17	521.76	796.86	507.46	842.36	921.88	532.74	723.08	595.34	764.36	612.11	1030.12	748.61	813.63	769.69	476.71	463.65	718.08	551.56	1051.79	551.56	599.49	642.59	1216.75	1059.11	1008.9	1183.45	1331.57	1191.69	595.34	1529.73	728.11	1447.15	1037.29	1030.12	974.5
SLC4A1AP	341.51	314.17	291.04	297.17	256.78	301.33	316.37	476.71	251.48	395.18	426.57	255.0	236.21	273.37	255.0	262.2	265.87	178.77	211.31	260.38	246.28	205.5	223.41	228.13	295.11	305.55	262.2	209.84	228.13	215.77	198.47	301.33	251.48	253.23	226.54	255.0	185.11	220.32	199.85	283.05	273.37	189.02	215.77	223.41	249.73	253.23	412.0	206.94	255.0	262.2	248.0	198.47	228.13	146.03	248.0	232.94	358.54	318.57	281.09	332.14	323.03	312.0	307.69	371.22	351.14	332.14	307.69	299.25	346.29
SMARCA4	2485.67	2417.67	1662.49	2104.58	2178.83	3665.02	2451.44	1857.6	1806.78	1175.27	1277.29	1051.79	769.69	830.75	559.28	703.28	476.71	444.72	417.77	503.95	665.29	412.0	543.96	470.14	575.03	642.59	384.34	642.59	389.72	420.68	450.94	454.09	403.5	551.56	483.38	376.41	409.15	249.73	679.29	379.04	559.28	514.56	454.09	287.01	872.1	432.53	728.11	503.95	275.28	579.04	514.56	441.64	454.09	115.97	376.41	463.65	1832.01	2004.85	2032.85	2133.97	2255.7	1963.57	1991.0	3081.75	2271.4	2816.11	3614.55	3257.52	1639.59
SNAPC2	463.65	708.18	941.27	463.65	780.44	1498.22	395.18	457.25	651.58	988.12	1857.6	389.72	199.85	226.54	199.85	208.38	164.42	161.02	165.57	129.69	412.0	150.17	116.78	110.43	314.17	215.77	149.12	166.73	64.34	161.02	152.28	140.04	193.01	205.5	124.37	173.85	87.65	260.38	104.42	171.45	232.94	242.88	144.01	140.04	175.07	130.6	193.01	130.6	100.83	211.31	138.1	204.07	124.37	73.03	163.28	181.28	1225.22	884.29	612.11	1001.93	1104.13	1104.13	693.58	579.04	444.72	507.46	703.28	616.37	1143.1
SNF8	2796.65	2119.22	3303.0	2835.7	2434.5	7642.41	3018.3	2835.7	2271.4	3103.19	4419.52	2319.15	1674.06	2287.2	1519.15	2303.12	1923.14	1457.23	1819.35	1745.2	2816.11	1540.37	1540.37	1540.37	1721.16	2701.35	2319.15	2573.36	1963.57	1417.35	1651.0	1991.0	1806.78	2720.15	1662.49	1923.14	2485.67	1605.83	2627.46	1781.89	2018.8	1950.0	2468.49	2303.12	2287.2	2224.63	2075.59	1417.35	2193.99	2303.12	1883.54	1487.87	2855.44	1498.22	2303.12	2090.03	2701.35	2417.67	2090.03	2997.45	2816.11	2627.46	2537.92	3467.27	2895.31	3515.68	4419.52	3395.89	3372.43
SNRPC	4181.07	3280.18	3443.31	3690.52	3257.52	6699.25	3614.55	3419.52	3303.0	5711.87	4704.07	2739.08	2537.92	2855.44	2119.22	2777.33	1594.73	1639.59	1832.01	1709.26	2935.74	1628.26	1572.76	1909.85	2664.15	2875.3	2384.37	2351.53	2119.22	1519.15	2627.46	1844.76	2032.85	2895.31	2047.0	2335.28	2018.8	2255.7	2271.4	2335.28	2193.99	1857.6	2335.28	2664.15	2351.53	2335.28	1883.54	1806.78	1769.57	3742.05	2417.67	1216.75	1977.24	1529.73	2537.92	2255.7	2682.69	2485.67	2178.83	2935.74	2664.15	2178.83	2591.27	5183.54	3928.15	4038.61	5913.33	4903.87	4481.23
SNX21	463.65	392.44	921.88	271.48	395.18	684.02	279.14	486.75	536.45	860.08	486.75	194.36	89.51	194.36	241.19	211.31	228.13	146.03	150.17	169.07	156.59	122.64	125.24	147.06	239.52	120.1	129.69	161.02	146.03	171.45	273.37	102.25	214.27	158.79	115.16	195.72	65.26	172.65	96.68	267.73	173.85	164.42	95.34	98.73	149.12	114.36	99.43	127.89	140.04	211.31	126.12	131.51	133.36	119.26	195.72	175.07	551.56	406.31	381.68	529.06	473.41	463.65	314.17	327.56	327.56	285.03	316.37	262.2	307.69
SSU72	3325.99	2004.85	3742.05	2485.67	3349.13	3901.01	4419.52	3190.46	1572.76	4802.93	4066.71	2240.11	2468.49	2855.44	2061.24	2520.38	2119.22	2133.97	2018.8	2335.28	2193.99	2400.97	2133.97	2255.7	1806.78	2739.08	2119.22	2682.69	2434.5	1721.16	2090.03	2224.63	3168.41	2485.67	1857.6	2004.85	2777.33	2835.7	2133.97	2303.12	1487.87	3103.19	2255.7	2224.63	2133.97	2004.85	3639.7	2434.5	2468.49	2739.08	2319.15	1498.22	2303.12	1359.57	2133.97	2835.7	3820.7	3372.43	3168.41	3742.05	3212.66	3235.01	3928.15	3690.52	3372.43	4704.07	2758.13	3874.05	3325.99
STX1A	277.2	791.35	162.14	122.64	265.87	1111.82	248.0	129.69	271.48	551.56	199.85	123.5	43.94	65.26	26.67	71.5	17.38	24.46	13.62	18.56	27.44	18.29	22.43	26.86	37.59	26.67	9.78	16.39	7.51	39.79	17.38	4.9	11.47	8.85	16.88	20.71	42.41	40.93	9.56	21.78	12.0	23.59	15.11	24.63	44.89	2.61	246.28	28.86	27.05	24.28	10.31	20.71	23.76	4.43	18.56	49.56	74.06	74.58	88.26	112.77	147.06	99.43	115.97	551.56	206.94	215.77	157.68	130.6	186.4
TAF1D	2255.7	2434.5	1359.57	1883.54	2090.03	2240.11	2434.5	2178.83	2417.67	2997.45	2627.46	1250.98	974.5	1806.78	802.41	995.0	473.41	848.22	563.18	693.58	909.17	1073.91	656.11	878.17	642.59	1199.98	341.51	825.0	961.07	532.74	260.38	450.94	684.02	414.87	1030.12	273.37	1001.93	579.04	1225.22	460.44	575.03	866.07	642.59	368.65	1651.0	607.87	2047.0	1088.92	620.67	796.86	693.58	791.35	547.75	381.68	808.0	532.74	1883.54	1167.14	1844.76	2047.0	1857.6	1340.84	1127.35	1277.29	2976.74	2701.35	1572.76	1745.2	1709.26
TBC1D30	171.45	159.9	120.94	128.79	127.0	13.62	95.34	65.26	67.12	70.51	41.22	31.0	32.36	29.27	37.05	59.55	12.55	32.82	10.79	17.51	21.78	50.27	40.36	24.46	29.7	123.5	44.89	45.53	120.94	2.27	14.56	6.73	16.39	29.91	33.3	21.78	105.89	18.43	36.53	7.69	32.82	27.84	7.22	14.78	45.21	8.45	119.26	70.01	14.45	11.91	211.31	14.24	46.18	11.21	31.67	52.45	155.5	143.01	241.19	162.14	121.79	155.5	181.28	46.5	17.13	65.72	55.89	145.02	94.67
TCOF1	713.11	728.11	438.59	607.87	674.59	620.67	493.56	607.87	612.11	1104.13	1963.57	314.17	208.38	285.03	147.06	229.72	100.83	114.36	135.24	146.03	215.77	141.02	146.03	166.73	242.88	249.73	120.1	136.19	127.0	105.15	251.48	77.25	131.51	155.5	67.59	122.64	122.64	100.83	147.06	112.77	115.97	175.07	146.03	164.42	214.27	158.79	293.07	101.54	120.94	221.86	159.9	144.01	143.01	56.68	116.78	164.42	351.14	363.56	356.05	356.05	483.38	412.0	361.04	547.75	674.59	414.87	764.36	473.41	603.67
THOC6	1369.04	1216.75	559.28	1277.29	1407.55	1561.89	1008.9	1119.56	1583.71	1721.16	2148.82	629.35	521.76	547.75	507.46	435.55	251.48	325.29	305.55	356.05	624.99	536.45	316.37	281.09	373.81	389.72	356.05	285.03	299.25	244.57	379.04	183.82	183.82	363.56	291.04	273.37	356.05	336.79	379.04	185.11	289.02	511.0	381.68	325.29	447.82	267.73	563.18	376.41	197.09	392.44	283.05	297.17	309.83	220.32	332.14	356.05	684.02	647.07	743.43	896.64	830.75	785.88	733.19	1709.26	1551.09	1388.16	1794.29	1023.0	842.36
THUMPD3	748.61	587.13	860.08	718.08	708.18	769.69	753.83	438.59	775.05	587.13	547.75	559.28	356.05	447.82	363.56	521.76	521.76	438.59	409.15	493.56	503.95	525.39	575.03	420.68	403.5	708.18	323.03	384.34	473.41	303.44	454.09	599.49	624.99	616.37	567.1	447.82	395.18	343.89	607.87	279.14	603.67	429.54	325.29	543.96	733.19	738.29	688.78	571.05	493.56	473.41	571.05	403.5	412.0	283.05	423.61	432.53	753.83	748.61	802.41	743.43	460.44	679.29	842.36	723.08	684.02	723.08	743.43	647.07	884.29
TINF2	769.69	698.41	1340.84	967.76	748.61	1030.12	753.83	848.22	733.19	1286.18	1551.09	961.07	591.22	830.75	633.73	802.41	616.37	587.13	583.07	693.58	688.78	728.11	698.41	624.99	1191.69	830.75	555.41	688.78	684.02	579.04	620.67	555.41	860.08	665.29	679.29	651.58	518.15	414.87	603.67	642.59	738.29	426.57	753.83	483.38	457.25	813.63	802.41	718.08	466.88	571.05	684.02	693.58	466.88	819.3	769.69	775.05	1151.06	1208.34	1350.18	1242.34	1388.16	1268.46	1447.15	1498.22	808.0	1135.2	1208.34	878.17	748.61
TMEM147	5711.87	3039.3	4903.87	3257.52	6983.79	4268.94	4268.94	4512.4	4268.94	2976.74	3212.66	2384.37	1143.1	2133.97	1388.16	1781.89	1561.89	1143.1	830.75	1073.91	1467.37	1242.34	954.43	1350.18	1225.22	2537.92	1896.65	1551.09	967.76	764.36	1617.0	2163.77	1286.18	1721.16	1322.37	1674.06	1651.0	1233.75	1923.14	848.22	1397.83	1745.2	1498.22	1216.75	1268.46	1427.22	2090.03	878.17	775.05	1233.75	1923.14	785.88	1322.37	954.43	1519.15	1540.37	2240.11	2720.15	2303.12	2682.69	2682.69	2758.13	1044.52	3589.58	3690.52	3847.29	3614.55	3325.99	4328.55
TMEM179B	1977.24	2468.49	1844.76	2061.24	2255.7	1651.0	2303.12	3168.41	1819.35	1551.09	1991.0	1950.0	1268.46	2047.0	1709.26	1427.22	1427.22	1350.18	1519.15	1250.98	1977.24	1277.29	1175.27	1551.09	1832.01	1757.34	1977.24	1477.58	1519.15	1594.73	1757.34	1540.37	1721.16	1487.87	1806.78	1857.6	1233.75	1832.01	1639.59	2032.85	1051.79	1508.65	1519.15	2047.0	2061.24	1250.98	1447.15	1216.75	1277.29	1508.65	1733.13	1331.57	2351.53	1572.76	1923.14	1963.57	1909.85	2627.46	2335.28	2875.3	2739.08	2758.13	1896.65	2303.12	1857.6	2047.0	2664.15	2434.5	2502.97
TOMM20	2835.7	1883.54	3467.27	1733.13	2682.69	2627.46	4512.4	2777.33	2555.58	2163.77	3060.45	2835.7	1674.06	1991.0	1183.45	1540.37	1322.37	1733.13	1286.18	1697.45	2032.85	1151.06	1674.06	1417.35	1697.45	3372.43	2367.9	2271.4	1883.54	988.12	1313.23	1936.53	1015.93	1757.34	1572.76	1628.26	1923.14	1437.15	1819.35	1233.75	1519.15	1088.92	1477.58	1529.73	1639.59	2193.99	2739.08	1277.29	1044.52	1277.29	1594.73	1008.9	1477.58	1991.0	1111.82	981.29	2520.38	2520.38	2835.7	2701.35	2758.13	2434.5	3955.48	2075.59	2351.53	2271.4	2047.0	2502.97	3564.78
TPGS1	108.9	61.68	314.17	189.02	289.02	995.0	147.06	104.42	41.22	273.37	536.45	267.73	181.28	187.71	187.71	236.21	180.02	118.43	54.72	147.06	303.44	120.1	89.51	85.22	147.06	152.28	142.01	242.88	133.36	87.65	173.85	150.17	175.07	193.01	31.0	133.36	17.77	201.25	96.68	108.9	175.07	175.07	180.02	141.02	215.77	138.1	100.13	157.68	100.13	84.63	123.5	87.03	71.5	92.05	265.87	162.14	281.09	199.85	185.11	323.03	267.73	234.57	71.5	493.56	249.73	432.53	473.41	361.04	540.19
TRMT1	1286.18	1350.18	599.49	836.53	1259.69	1388.16	995.0	463.65	1769.57	2777.33	2047.0	1030.12	503.95	629.35	493.56	532.74	217.27	287.01	346.29	253.23	620.67	366.09	297.17	283.05	336.79	567.1	199.85	346.29	325.29	343.89	170.25	164.42	295.11	239.52	176.29	169.07	320.8	336.79	571.05	228.13	256.78	343.89	320.8	190.34	457.25	283.05	633.73	343.89	267.73	341.51	371.22	444.72	358.54	117.6	253.23	271.48	713.11	651.58	718.08	780.44	791.35	665.29	620.67	674.59	1617.0	1378.57	785.88	647.07	1111.82
TTC1	1304.15	1001.93	1208.34	1175.27	1096.5	1519.15	974.5	934.76	785.88	860.08	1216.75	1059.11	1561.89	1059.11	961.07	941.27	890.44	551.56	764.36	830.75	796.86	679.29	748.61	830.75	785.88	988.12	791.35	802.41	743.43	665.29	688.78	759.08	1001.93	878.17	748.61	1001.93	808.0	1159.07	567.1	808.0	866.07	748.61	733.19	708.18	728.11	718.08	981.29	902.89	514.56	1001.93	748.61	638.15	748.61	414.87	759.08	738.29	1322.37	1159.07	813.63	1242.34	1151.06	1066.48	1286.18	1277.29	1037.29	1388.16	1119.56	1127.35	1104.13
TTC27	232.94	297.17	221.86	248.0	323.03	255.0	251.48	291.04	175.07	376.41	356.05	175.07	154.42	197.09	125.24	153.34	145.02	95.34	100.13	146.03	165.57	95.34	114.36	125.24	128.79	224.97	159.9	167.9	134.3	98.04	127.89	142.01	108.14	145.02	220.32	169.07	169.07	90.77	155.5	180.02	164.42	90.14	148.09	124.37	113.56	157.68	126.12	144.01	121.79	78.34	236.21	115.16	132.44	123.5	114.36	134.3	253.23	232.94	223.41	224.97	202.66	153.34	182.55	215.77	246.28	198.47	236.21	206.94	229.72
TXNL4A	3491.39	2367.9	3039.3	2384.37	2915.45	4181.07	2271.4	2816.11	2485.67	2351.53	3212.66	2573.36	2240.11	2004.85	1733.13	1991.0	1313.23	1561.89	1857.6	1350.18	2075.59	1936.53	1628.26	1651.0	1104.13	1844.76	1437.15	1870.53	1662.49	1233.75	1001.93	1733.13	1662.49	1662.49	1457.23	974.5	2609.3	1963.57	2520.38	961.07	1127.35	2133.97	1721.16	1313.23	2609.3	1781.89	2935.74	1662.49	1594.73	2591.27	1963.57	1167.14	2627.46	1572.76	1313.23	1674.06	2777.33	2351.53	2915.45	2758.13	2627.46	3018.3	3257.52	5292.48	3847.29	3325.99	4704.07	3491.39	3982.99
UBE2M	2178.83	1950.0	2555.58	1709.26	1950.0	3039.3	1896.65	2997.45	1572.76	3491.39	2271.4	1561.89	1225.22	1259.69	934.76	1088.92	860.08	848.22	941.27	813.63	1183.45	961.07	896.64	842.36	1088.92	1519.15	896.64	915.51	995.0	529.06	896.64	796.86	624.99	860.08	769.69	688.78	1304.15	884.29	1001.93	896.64	1059.11	1044.52	915.51	1023.0	1208.34	1037.29	1242.34	825.0	679.29	860.08	1066.48	559.28	775.05	825.0	583.07	890.44	2224.63	1844.76	1781.89	2075.59	2119.22	2255.7	2119.22	3820.7	1651.0	1909.85	2163.77	1769.57	2485.67
UBXN1	3491.39	4836.35	5006.93	3190.46	3928.15	5366.37	3419.52	4123.49	4704.07	3325.99	4038.61	2148.82	2384.37	3039.3	1923.14	2018.8	1508.65	1467.37	1639.59	1844.76	2796.65	1936.53	1378.57	1674.06	2537.92	2777.33	1073.91	1721.16	1250.98	1295.13	1572.76	1651.0	1350.18	1977.24	1350.18	1674.06	2319.15	1832.01	1857.6	1583.71	2047.0	2104.58	1757.34	2163.77	3395.89	2224.63	2468.49	1733.13	1417.35	2018.8	1662.49	1286.18	1697.45	1923.14	2319.15	1487.87	3303.0	2956.17	2682.69	3955.48	4388.98	3491.39	3124.78	4358.66	4388.98	6381.92	5006.93	4937.99	4512.4
UTP18	518.15	507.46	629.35	836.53	540.19	890.44	511.0	665.29	356.05	723.08	1023.0	507.46	301.33	379.04	269.6	460.44	429.54	406.31	279.14	397.93	503.95	412.0	392.44	348.71	371.22	638.15	447.82	329.84	403.5	214.27	376.41	563.18	567.1	392.44	616.37	435.55	480.04	285.03	343.89	316.37	450.94	339.14	291.04	356.05	371.22	426.57	432.53	373.81	376.41	483.38	441.64	358.54	301.33	214.27	289.02	454.09	540.19	521.76	563.18	723.08	620.67	547.75	718.08	819.3	647.07	713.11	669.92	669.92	599.49
VPS25	1832.01	1819.35	1870.53	2032.85	1733.13	2351.53	1487.87	2075.59	1216.75	2417.67	3280.18	1733.13	1551.09	1467.37	1313.23	1378.57	1508.65	1104.13	1277.29	1369.04	1477.58	1183.45	1359.57	1313.23	1304.15	2104.58	1233.75	1529.73	1519.15	1295.13	1950.0	1104.13	1674.06	1721.16	1286.18	1594.73	1519.15	1447.15	1378.57	1340.84	1216.75	1088.92	1340.84	1208.34	1378.57	1427.22	1051.79	1487.87	1175.27	1583.71	1286.18	1096.5	1477.58	1259.69	1721.16	1051.79	1819.35	1883.54	1794.29	2335.28	1936.53	1662.49	1769.57	2075.59	1819.35	1639.59	2502.97	2119.22	1806.78
VPS72	1216.75	1183.45	1498.22	1088.92	1015.93	2061.24	1397.83	1832.01	1304.15	1977.24	1340.84	1015.93	591.22	490.14	454.09	497.0	403.5	291.04	417.77	417.77	629.35	368.65	412.0	389.72	616.37	796.86	373.81	426.57	486.75	289.02	575.03	406.31	514.56	587.13	343.89	612.11	175.07	441.64	325.29	525.39	708.18	599.49	490.14	423.61	358.54	392.44	830.75	356.05	295.11	518.15	361.04	332.14	343.89	220.32	414.87	536.45	1417.35	1088.92	1104.13	1259.69	1340.84	1044.52	1066.48	2417.67	1250.98	1572.76	1721.16	1540.37	1594.73
WIBG	2004.85	1628.26	1407.55	2384.37	1909.85	1119.56	1561.89	2287.2	2119.22	2351.53	1037.29	866.07	934.76	854.13	836.53	890.44	638.15	703.28	981.29	759.08	848.22	769.69	633.73	759.08	684.02	830.75	733.19	813.63	638.15	660.68	848.22	684.02	733.19	825.0	718.08	842.36	679.29	825.0	967.76	669.92	884.29	808.0	743.43	842.36	1225.22	583.07	607.87	780.44	633.73	884.29	796.86	808.0	624.99	579.04	563.18	769.69	2018.8	1769.57	1662.49	2032.85	1936.53	1857.6	1857.6	1051.79	1388.16	1498.22	1340.84	1277.29	1685.71
ZCCHC17	366.09	612.11	854.13	587.13	607.87	1023.0	612.11	612.11	708.18	813.63	764.36	397.93	389.72	318.57	329.84	460.44	251.48	237.86	248.0	316.37	384.34	251.48	251.48	262.2	387.02	417.77	204.07	316.37	185.11	264.03	412.0	209.84	157.68	277.2	212.78	346.29	400.71	164.42	242.88	232.94	336.79	312.0	204.07	161.02	423.61	329.84	241.19	223.41	146.03	305.55	279.14	195.72	269.6	267.73	228.13	212.78	723.08	769.69	802.41	860.08	909.17	902.89	1073.91	836.53	759.08	743.43	1073.91	860.08	890.44
ZNF581	708.18	708.18	679.29	575.03	753.83	1023.0	878.17	693.58	1111.82	603.67	679.29	329.84	191.67	353.59	154.42	176.29	127.89	142.01	167.9	121.79	336.79	144.01	108.9	114.36	244.57	175.07	73.03	98.04	68.07	120.94	166.73	61.25	130.6	77.25	92.7	197.09	97.36	211.31	69.52	152.28	129.69	146.03	88.88	138.1	165.57	67.59	141.02	119.26	80.57	99.43	68.55	153.34	86.43	95.34	115.97	144.01	397.93	429.54	503.95	638.15	738.29	435.55	426.57	595.34	718.08	1151.06	878.17	785.88	909.17
ZNHIT3	1359.57	988.12	1313.23	1487.87	909.17	1151.06	1081.39	1073.91	915.51	981.29	1572.76	674.59	866.07	718.08	703.28	718.08	490.14	540.19	638.15	616.37	674.59	470.14	406.31	651.58	718.08	674.59	518.15	500.46	316.37	665.29	780.44	536.45	780.44	381.68	890.44	902.89	603.67	470.14	432.53	665.29	493.56	620.67	511.0	575.03	656.11	583.07	656.11	483.38	660.68	780.44	603.67	660.68	638.15	389.72	587.13	647.07	1250.98	1119.56	1088.92	1388.16	1259.69	1199.98	1277.29	1540.37	1322.37	1191.69	1447.15	1216.75	1697.45
