	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.CM.6162.01A.11R.1653.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.CM.6171.01A.11R.1653.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.13VXT.2426.SM.5LU46	GTEX.O5YW.1426.SM.3MJHF	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EI.6882.01A.11R.1928.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13113.1526.SM.5EGHV	GTEX.11WQK.2926.SM.5EQKT	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4437.01A.01R.1802.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.WHPG.0426.SM.4M1XW	GTEX.Y5LM.1326.SM.5RQIS	GTEX.XV7Q.1326.SM.4BRWM	GTEX.117YW.2226.SM.5N9DB	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.131XG.1226.SM.5EGH9
ZNF211	108.14	176.29	305.55	206.94	395.18	363.56	327.56	314.17	316.37	336.79	301.33	403.5	332.14	507.46	540.19	368.65	480.04	59.97	85.82	633.73	848.22	74.58	98.73	221.86	153.34	142.01	214.27	166.73	146.03	234.57	185.11	205.5	182.55	291.04	209.84	258.57	181.28	180.02	115.16	118.43	191.67	189.02	61.68	49.56	20.56	28.45	52.45	105.15	178.77	28.04	91.41	164.42	130.6	96.01	109.66	150.17	111.99	110.43	121.79	135.24	85.22	193.01	50.27	101.54	178.77	153.34	197.09	102.97	400.71	145.02	123.5	329.84	68.07	239.52	15.91	111.99	208.38	339.14	65.26
ZNF223	58.3	102.25	195.72	127.89	197.09	127.89	164.42	202.66	129.69	191.67	198.47	137.14	169.07	301.33	348.71	187.71	279.14	35.0	209.84	102.97	387.02	38.67	62.12	70.01	43.94	52.08	119.26	59.55	88.26	99.43	69.03	81.14	112.77	92.7	67.59	60.39	139.07	67.59	47.5	41.52	67.59	78.89	21.78	15.56	19.68	11.04	57.49	48.52	50.98	14.03	88.88	56.28	61.68	26.47	72.01	91.41	32.36	60.82	43.63	84.63	37.59	98.04	31.0	31.9	63.0	132.44	82.87	57.08	38.67	3.66	25.17	109.66	70.51	29.7	8.92	64.34	94.01	85.22	45.21
ZNF225	22.59	48.18	135.24	93.35	130.6	84.04	119.26	145.02	99.43	102.25	137.14	120.1	134.3	215.77	189.02	173.85	231.32	23.25	40.64	55.1	90.77	26.28	41.22	32.59	14.24	43.63	35.0	29.06	47.84	53.19	30.12	47.84	61.25	50.27	45.21	42.41	38.12	38.95	17.9	30.34	34.75	39.22	9.48	9.63	10.08	10.63	12.93	19.53	46.5	8.58	42.41	33.78	46.5	28.04	26.86	57.08	18.84	22.75	22.59	46.18	14.89	50.63	19.82	26.28	49.56	77.25	36.79	29.48	17.25	45.53	12.18	23.42	47.5	33.06	4.94	34.26	37.05	31.22	29.27
ZNF227	93.35	231.32	441.64	358.54	417.77	529.06	363.56	466.88	423.61	435.55	511.0	559.28	441.64	507.46	547.75	470.14	507.46	117.6	152.28	226.54	258.57	69.03	177.53	173.85	178.77	193.01	190.34	236.21	183.82	361.04	159.9	183.82	214.27	186.4	214.27	211.31	144.01	151.22	159.9	132.44	152.28	172.65	81.71	63.0	84.63	92.05	94.01	91.41	176.29	36.01	217.27	129.69	163.28	102.97	102.97	140.04	71.0	161.02	154.42	223.41	87.65	226.54	108.9	116.78	143.01	224.97	158.79	95.34	85.82	75.11	44.25	76.17	103.69	154.42	79.45	97.36	153.34	115.16	70.01
ZNF234	29.7	92.7	172.65	139.07	183.82	190.34	162.14	195.72	161.02	154.42	176.29	167.9	161.02	218.79	281.09	228.13	297.17	26.47	59.55	90.14	116.78	47.84	32.59	64.34	78.89	84.63	100.83	76.71	78.34	113.56	62.12	89.51	93.35	85.22	111.21	105.15	71.0	92.7	85.82	62.12	70.51	80.01	22.26	20.86	15.68	36.27	28.86	28.04	43.32	15.91	114.36	60.39	58.71	54.33	40.64	66.65	31.22	108.9	55.1	82.87	44.89	146.03	29.27	48.52	67.59	119.26	86.43	54.33	59.97	86.43	29.48	31.22	68.07	73.54	7.63	40.07	72.01	75.64	61.25
ZNF235	35.0	58.71	113.56	87.65	125.24	95.34	131.51	162.14	112.77	120.94	93.35	111.21	105.15	116.78	83.45	129.69	133.36	37.85	33.54	57.89	137.14	29.27	28.04	55.1	34.26	60.39	46.18	46.18	69.03	77.79	57.08	100.83	70.51	76.17	73.03	69.52	42.41	50.27	56.28	44.25	63.0	76.71	20.26	15.22	12.36	23.76	21.63	32.13	59.97	3.96	75.11	44.25	37.05	19.82	34.02	56.28	17.64	31.9	39.5	68.55	25.91	90.77	26.86	46.5	49.56	63.0	29.06	36.79	25.17	56.28	11.47	27.05	17.9	43.94	9.06	27.84	31.67	29.48	22.1
ZNF248	84.04	262.2	329.84	291.04	283.05	423.61	332.14	307.69	309.83	314.17	329.84	332.14	251.48	389.72	327.56	314.17	392.44	66.65	137.14	264.03	287.01	91.41	125.24	143.01	113.56	163.28	358.54	205.5	129.69	214.27	277.2	215.77	180.02	181.28	158.79	194.36	195.72	187.71	78.34	130.6	125.24	62.12	35.5	53.57	24.99	32.59	31.9	47.84	167.9	22.43	183.82	81.14	100.83	13.72	63.45	135.24	86.43	100.13	214.27	170.25	44.57	262.2	57.08	121.79	265.87	166.73	138.1	70.01	125.24	264.03	41.81	92.7	60.82	173.85	31.9	53.19	155.5	102.25	89.51
ZNF283	33.3	95.34	178.77	139.07	158.79	220.32	167.9	217.27	155.5	152.28	154.42	162.14	170.25	253.23	206.94	223.41	109.66	35.76	36.79	56.28	60.39	22.43	43.63	55.89	64.34	56.68	106.63	73.54	71.5	110.43	64.8	67.59	82.29	64.8	106.63	120.1	80.01	71.5	67.59	52.45	50.98	53.19	13.32	3.2	19.39	9.78	18.16	10.16	29.7	4.94	71.0	45.85	55.49	40.64	23.93	62.56	29.27	45.21	45.53	33.54	43.02	102.25	22.59	36.27	61.25	73.03	70.51	39.79	31.9	79.45	37.59	36.53	25.91	138.1	23.76	27.84	55.1	54.33	27.44
ZNF284	20.26	22.75	53.57	31.22	54.33	59.13	60.39	55.49	40.36	45.85	54.72	57.08	49.91	70.01	49.21	57.89	94.67	13.72	61.68	57.89	102.97	15.11	27.44	29.91	26.67	26.1	35.5	31.45	36.79	31.0	14.56	29.91	25.91	27.44	31.67	28.65	24.46	29.91	12.83	19.25	25.35	17.13	11.73	5.5	9.85	5.77	20.71	15.11	25.91	3.29	32.13	15.0	10.39	12.55	8.65	21.01	5.92	25.17	11.91	28.04	11.47	34.26	3.03	18.84	21.32	29.7	19.11	17.64	14.89	2.14	3.2	8.13	17.9	27.44	2.89	19.25	16.63	19.25	8.06
ZNF441	24.46	98.04	198.47	189.02	178.77	208.38	212.78	194.36	218.79	175.07	244.57	193.01	198.47	241.19	256.78	172.65	376.41	25.54	84.63	120.1	165.57	30.78	48.87	75.11	28.45	64.8	102.25	36.79	41.52	112.77	100.13	101.54	68.07	46.84	67.12	79.45	39.79	66.18	28.04	72.01	59.97	33.06	33.78	25.72	23.59	19.53	22.59	37.05	46.84	2.84	82.29	27.84	77.25	10.24	22.92	44.57	27.05	50.27	49.21	43.32	29.48	72.01	32.59	15.34	107.38	65.72	44.25	23.42	49.56	64.34	23.93	33.06	36.53	38.67	4.17	49.56	46.18	68.07	29.91
ZNF45	43.94	208.38	287.01	262.2	320.8	269.6	267.73	366.09	318.57	329.84	332.14	353.59	323.03	432.53	435.55	353.59	368.65	72.52	162.14	132.44	255.0	45.21	122.64	117.6	66.65	121.79	88.88	103.69	118.43	169.07	150.17	167.9	146.03	83.45	103.69	147.06	81.71	87.65	60.39	51.71	77.25	95.34	31.22	22.1	21.47	30.12	32.36	47.5	72.01	18.84	115.16	88.88	218.79	119.26	72.52	81.71	52.08	112.77	89.51	140.04	71.5	124.37	73.03	53.57	90.14	191.67	88.26	51.35	35.0	96.68	57.08	64.34	90.14	54.72	40.36	124.37	120.94	102.25	60.39
ZNF493	56.28	144.01	323.03	260.38	376.41	447.82	301.33	373.81	348.71	343.89	320.8	334.46	341.51	423.61	361.04	283.05	348.71	54.33	46.5	176.29	195.72	55.49	100.13	11.13	60.39	64.34	147.06	91.41	59.55	165.57	139.07	121.79	163.28	78.34	97.36	293.07	88.88	80.57	43.02	24.81	79.45	80.57	25.17	11.13	8.06	14.14	21.94	28.24	40.93	8.71	56.28	62.12	35.5	28.24	71.0	220.32	128.79	120.1	106.63	167.9	88.26	202.66	43.02	98.73	113.56	162.14	102.97	41.52	99.43	199.85	59.55	61.25	58.3	146.03	41.81	95.34	113.56	135.24	32.59
ZNF506	105.15	417.77	463.65	476.71	454.09	536.45	420.68	493.56	483.38	438.59	420.68	497.0	435.55	540.19	785.88	599.49	753.83	190.34	87.03	444.72	320.8	186.4	90.77	26.28	142.01	189.02	248.0	223.41	69.03	327.56	113.56	206.94	169.07	189.02	164.42	371.22	165.57	112.77	94.67	114.36	136.19	93.35	8.19	22.43	6.78	44.89	21.63	18.7	49.21	25.35	231.32	224.97	119.26	175.07	141.02	253.23	384.34	277.2	214.27	194.36	103.69	473.41	58.3	228.13	226.54	244.57	183.82	180.02	176.29	318.57	161.02	104.42	224.97	312.0	59.97	197.09	297.17	136.19	126.12
ZNF510	58.3	228.13	256.78	237.86	281.09	244.57	265.87	303.44	251.48	277.2	265.87	318.57	258.57	234.57	264.03	267.73	351.14	39.5	92.05	121.79	237.86	96.01	115.97	72.01	71.0	111.99	98.04	99.43	95.34	156.59	108.14	100.13	98.04	122.64	115.97	153.34	150.17	78.89	64.8	96.68	72.01	62.56	26.86	35.0	18.84	27.64	28.45	35.25	33.06	12.83	129.69	77.25	102.97	56.68	44.25	63.45	67.12	60.39	114.36	149.12	40.36	193.01	52.82	102.97	89.51	150.17	125.24	49.21	32.82	217.27	67.12	46.18	71.0	113.56	78.89	60.39	80.01	61.25	45.85
ZNF548	45.53	221.86	389.72	368.65	381.68	514.56	329.84	395.18	447.82	406.31	412.0	511.0	323.03	493.56	387.02	297.17	674.59	25.35	170.25	108.14	189.02	102.97	128.79	279.14	152.28	126.12	129.69	135.24	98.73	246.28	170.25	191.67	154.42	173.85	214.27	376.41	212.78	204.07	212.78	136.19	183.82	134.3	35.0	30.56	22.59	24.46	48.18	72.52	91.41	53.19	100.83	142.01	201.25	118.43	100.83	155.5	73.54	108.14	148.09	122.64	62.12	312.0	40.36	88.88	127.0	167.9	132.44	100.83	167.9	122.64	49.56	108.9	58.71	88.88	62.12	85.22	141.02	139.07	93.35
ZNF559	130.6	214.27	476.71	607.87	579.04	688.78	587.13	518.15	759.08	624.99	647.07	878.17	358.54	1208.34	802.41	753.83	1135.2	79.45	205.5	224.97	563.18	193.01	234.57	351.14	163.28	215.77	220.32	231.32	269.6	389.72	251.48	329.84	131.51	237.86	48.18	70.01	165.57	88.26	283.05	47.17	138.1	102.97	44.57	36.01	78.89	91.41	88.88	147.06	148.09	75.11	136.19	118.43	173.85	43.02	31.45	197.09	158.79	303.44	23.25	91.41	59.97	218.79	65.72	23.93	236.21	336.79	158.79	87.65	193.01	26.86	98.04	81.71	102.25	159.9	25.91	56.68	113.56	119.26	58.3
ZNF658	27.44	55.1	98.73	156.59	105.89	177.53	134.3	134.3	141.02	156.59	152.28	164.42	105.89	212.78	223.41	221.86	283.05	37.85	155.5	63.0	167.9	16.15	57.49	36.27	24.63	32.59	27.25	36.27	27.84	43.32	41.81	62.56	47.5	45.21	30.12	29.91	49.91	8.92	25.54	46.84	30.12	31.22	16.63	5.96	17.64	17.25	12.27	15.22	21.94	5.23	33.3	37.85	78.89	15.68	9.2	21.94	13.12	14.89	39.5	19.11	5.11	96.68	17.77	7.94	21.32	59.97	20.41	13.93	13.62	33.78	14.45	17.51	17.25	18.16	2.27	20.56	33.06	33.3	21.32
ZSCAN30	48.52	134.3	348.71	376.41	376.41	400.71	381.68	507.46	400.71	348.71	334.46	384.34	351.14	540.19	547.75	392.44	518.15	108.14	56.28	217.27	447.82	185.11	127.89	103.69	78.89	206.94	126.12	218.79	111.21	122.64	133.36	197.09	167.9	155.5	111.99	147.06	265.87	209.84	84.04	111.21	119.26	170.25	103.69	56.28	58.71	65.72	45.85	76.17	118.43	32.13	139.07	158.79	142.01	37.85	102.97	170.25	193.01	87.03	189.02	76.17	84.04	242.88	61.68	143.01	239.52	158.79	73.54	73.54	76.17	94.67	28.04	84.63	82.29	176.29	16.15	79.45	105.15	147.06	55.49
