	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EA.A50E.01A.21R.A26T.07	TCGA.C5.A1MK.01A.11R.A14Y.07	TCGA.VS.A9UY.01A.11R.A42T.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.FU.A3YQ.01A.11R.A22U.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.LP.A5U3.01A.11R.A28H.07	TCGA.MU.A51Y.01A.11R.A26T.07	TCGA.Q1.A73Q.01A.21R.A32P.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.R55C.0826.SM.48FCL	GTEX.XOTO.2126.SM.4B64U	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.1399R.0826.SM.5IJEL	GTEX.S4Q7.0626.SM.4AD5M	GTEX.S95S.0426.SM.4B64I	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.13FLV.1126.SM.5J2NO	GTEX.146FH.1726.SM.5QGQ2	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.OIZG.1026.SM.3LK5X	GTEX.XBEW.1326.SM.4AT63	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.12ZZX.1326.SM.5DUWI	TCGA.DQ.7596.01A.11R.2232.07	TCGA.BA.A4IH.01A.11R.A266.07	TCGA.BA.A4IG.01A.11R.A266.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
PPP1R8	624.99	738.29	1167.14	1001.93	1233.75	785.88	934.76	1023.0	928.3	1059.11	954.43	988.12	1135.2	651.58	718.08	728.11	848.22	599.49	599.49	830.75	941.27	624.99	842.36	743.43	603.67	684.02	733.19	612.11	514.56	486.75	470.14	395.18	493.56	403.5	547.75	599.49	514.56	595.34	480.04	476.71	536.45	454.09	486.75	283.05	620.67	368.65	314.17	525.39	466.88	460.44	441.64	703.28	309.83	1397.83	1167.14	1151.06	825.0	723.08	698.41	764.36	1159.07	941.27	878.17	769.69	802.41	693.58	743.43
PRIM1	559.28	314.17	246.28	450.94	674.59	480.04	514.56	624.99	476.71	486.75	312.0	444.72	295.11	152.28	119.26	147.06	171.45	283.05	115.97	277.2	146.03	96.68	141.02	187.71	85.22	241.19	88.88	70.01	112.77	66.65	118.43	72.01	72.01	49.56	96.68	68.55	57.49	107.38	64.8	114.36	120.1	158.79	139.07	73.03	267.73	94.67	41.81	92.7	75.11	40.93	120.94	412.0	43.02	629.35	693.58	583.07	159.9	145.02	126.12	177.53	134.3	253.23	86.43	124.37	111.21	221.86	157.68
PRIM2	161.02	146.03	166.73	251.48	309.83	220.32	224.97	273.37	191.67	208.38	215.77	215.77	202.66	122.64	101.54	106.63	90.14	74.06	81.71	131.51	131.51	70.51	90.14	110.43	95.34	231.32	59.55	49.91	59.55	30.78	66.65	48.18	53.19	36.01	63.89	70.51	38.95	60.39	60.39	29.91	66.65	69.52	111.21	28.45	96.68	33.54	35.0	51.71	40.93	55.1	47.84	223.41	28.24	267.73	299.25	346.29	82.87	89.51	88.88	112.77	146.03	66.18	66.18	93.35	50.98	127.89	85.22
PRPF18	387.02	466.88	480.04	543.96	529.06	447.82	457.25	764.36	466.88	532.74	423.61	463.65	269.6	241.19	291.04	309.83	273.37	320.8	256.78	351.14	320.8	258.57	285.03	271.48	258.57	397.93	287.01	262.2	301.33	320.8	258.57	253.23	336.79	211.31	381.68	376.41	320.8	301.33	299.25	260.38	309.83	409.15	423.61	226.54	426.57	215.77	211.31	291.04	291.04	175.07	368.65	493.56	307.69	457.25	571.05	525.39	486.75	480.04	414.87	376.41	802.41	435.55	423.61	429.54	312.0	397.93	400.71
PRR11	595.34	406.31	303.44	400.71	444.72	373.81	543.96	220.32	500.46	312.0	406.31	389.72	466.88	135.24	59.55	339.14	915.51	163.28	55.49	242.88	305.55	43.02	83.45	134.3	84.63	961.07	85.82	92.05	167.9	40.93	111.21	83.45	54.33	37.05	75.11	76.71	90.77	102.97	27.25	91.41	102.25	118.43	143.01	47.84	234.57	127.89	32.13	91.41	108.14	42.11	113.56	476.71	59.13	591.22	567.1	371.22	157.68	117.6	218.79	175.07	409.15	381.68	153.34	269.6	214.27	99.43	275.28
PSMA5	2816.11	3589.58	4239.45	5517.27	3742.05	4152.18	3257.52	4358.66	3874.05	3540.14	2915.45	3982.99	2468.49	5594.3	2335.28	3081.75	2895.31	2400.97	4481.23	2591.27	2335.28	2303.12	2915.45	2956.17	2997.45	5329.3	2485.67	2451.44	1950.0	1819.35	2090.03	1250.98	2061.24	1963.57	1923.14	1950.0	3303.0	1950.0	1674.06	2319.15	2434.5	2591.27	2163.77	1369.04	2701.35	2032.85	1369.04	1769.57	2178.83	1369.04	2417.67	3491.39	2720.15	4298.64	4010.71	3742.05	2434.5	2816.11	2384.37	3235.01	6294.04	3443.31	5555.65	2796.65	2875.3	3395.89	4095.0
PSMG1	1350.18	2119.22	2351.53	3103.19	1697.45	1519.15	2119.22	2018.8	1051.79	1674.06	3081.75	2090.03	1427.22	1286.18	1073.91	1909.85	1745.2	1388.16	1583.71	1819.35	941.27	1059.11	1388.16	1508.65	1135.2	1963.57	1286.18	974.5	785.88	708.18	934.76	674.59	819.3	1208.34	921.88	764.36	967.76	769.69	836.53	775.05	1135.2	1073.91	848.22	791.35	1427.22	819.3	463.65	497.0	988.12	854.13	1081.39	2796.65	703.28	1870.53	1819.35	1551.09	1437.15	1111.82	995.0	1745.2	2591.27	1870.53	1870.53	1151.06	1397.83	1119.56	1427.22
RAD18	105.15	85.82	208.38	242.88	241.19	115.16	149.12	253.23	147.06	171.45	173.85	172.65	122.64	149.12	88.26	129.69	118.43	169.07	89.51	116.78	126.12	87.65	131.51	144.01	197.09	143.01	66.65	47.5	88.88	44.57	82.87	64.8	76.17	79.45	68.55	63.0	47.5	64.8	44.89	54.72	66.65	94.01	90.77	55.89	173.85	73.03	50.63	44.25	52.82	30.34	55.49	277.2	90.77	329.84	332.14	384.34	131.51	90.14	70.51	119.26	92.7	58.71	47.5	88.88	45.21	41.52	62.12
RFC5	389.72	473.41	473.41	796.86	1259.69	890.44	808.0	866.07	753.83	995.0	896.64	738.29	848.22	351.14	246.28	323.03	334.46	341.51	293.07	334.46	460.44	215.77	318.57	379.04	262.2	420.68	269.6	204.07	223.41	131.51	214.27	154.42	164.42	146.03	151.22	221.86	189.02	205.5	131.51	171.45	256.78	248.0	291.04	122.64	521.76	241.19	127.0	177.53	185.11	93.35	244.57	947.83	183.82	808.0	848.22	1304.15	351.14	293.07	256.78	361.04	336.79	441.64	134.3	269.6	299.25	226.54	177.53
RNASEH2A	1259.69	1304.15	1617.0	1457.23	2720.15	1628.26	2148.82	2451.44	2148.82	2591.27	3124.78	1674.06	1991.0	403.5	429.54	819.3	854.13	435.55	854.13	373.81	563.18	281.09	529.06	1167.14	403.5	1037.29	406.31	420.68	332.14	159.9	432.53	285.03	265.87	275.28	191.67	236.21	163.28	297.17	193.01	318.57	409.15	371.22	441.64	260.38	819.3	417.77	271.48	348.71	303.44	201.25	297.17	1059.11	275.28	1781.89	2417.67	1991.0	483.38	559.28	483.38	825.0	988.12	1001.93	493.56	583.07	507.46	607.87	547.75
RPA1	1388.16	1378.57	1870.53	1277.29	3124.78	1617.0	2163.77	2645.74	2090.03	2796.65	1757.34	2178.83	1697.45	988.12	1286.18	1259.69	1119.56	1030.12	974.5	1378.57	1519.15	1242.34	1088.92	1477.58	947.83	1073.91	1233.75	1059.11	854.13	698.41	854.13	607.87	669.92	559.28	866.07	896.64	571.05	896.64	629.35	1096.5	688.78	878.17	759.08	503.95	1268.46	698.41	500.46	698.41	759.08	426.57	647.07	1697.45	567.1	2133.97	1340.84	2485.67	1313.23	1268.46	1191.69	1331.57	629.35	1313.23	497.0	848.22	860.08	1233.75	1277.29
RPA2	1605.83	1540.37	2133.97	1605.83	2148.82	1896.65	2047.0	2591.27	2119.22	1572.76	1781.89	2319.15	1268.46	728.11	567.1	567.1	603.67	559.28	507.46	723.08	753.83	518.15	718.08	603.67	559.28	748.61	406.31	540.19	423.61	629.35	493.56	327.56	693.58	295.11	514.56	409.15	417.77	532.74	376.41	435.55	525.39	525.39	612.11	339.14	1037.29	325.29	277.2	406.31	379.04	281.09	470.14	1159.07	258.57	2875.3	2351.53	2682.69	525.39	708.18	796.86	915.51	1277.29	518.15	616.37	753.83	463.65	780.44	1081.39
RRM1	5633.22	1427.22	1467.37	1832.01	1388.16	2018.8	2451.44	1331.57	1857.6	2271.4	2335.28	1477.58	1295.13	775.05	775.05	902.89	703.28	915.51	748.61	974.5	1268.46	738.29	708.18	674.59	748.61	1745.2	941.27	583.07	764.36	457.25	848.22	432.53	540.19	432.53	718.08	825.0	567.1	684.02	567.1	490.14	753.83	743.43	947.83	536.45	1477.58	587.13	325.29	620.67	567.1	283.05	679.29	2701.35	713.11	1322.37	2133.97	1857.6	1322.37	1233.75	1159.07	1508.65	1605.83	2935.74	928.3	1199.98	1397.83	1313.23	1963.57
SAC3D1	318.57	514.56	368.65	684.02	536.45	281.09	490.14	656.11	503.95	1119.56	836.53	497.0	518.15	368.65	305.55	397.93	384.34	295.11	500.46	320.8	447.82	269.6	376.41	620.67	236.21	279.14	279.14	248.0	158.79	146.03	234.57	171.45	106.63	66.65	105.15	92.05	189.02	191.67	150.17	194.36	226.54	193.01	185.11	64.34	397.93	187.71	162.14	201.25	143.01	146.03	206.94	346.29	45.21	327.56	403.5	460.44	199.85	201.25	186.4	332.14	329.84	285.03	269.6	262.2	265.87	376.41	318.57
SEC22A	373.81	547.75	665.29	559.28	536.45	612.11	665.29	486.75	551.56	647.07	854.13	884.29	579.04	309.83	305.55	429.54	412.0	356.05	389.72	414.87	384.34	356.05	397.93	356.05	325.29	507.46	323.03	312.0	312.0	303.44	348.71	305.55	346.29	223.41	281.09	376.41	334.46	269.6	251.48	301.33	312.0	444.72	368.65	244.57	346.29	205.5	211.31	212.78	224.97	195.72	356.05	470.14	205.5	708.18	866.07	603.67	379.04	473.41	400.71	441.64	514.56	555.41	301.33	329.84	334.46	275.28	376.41
SGOL2	147.06	102.97	162.14	293.07	153.34	144.01	132.44	181.28	142.01	223.41	199.85	171.45	147.06	133.36	29.06	92.7	167.9	113.56	21.16	96.01	125.24	30.12	46.18	60.39	48.52	285.03	27.05	21.32	61.25	19.68	48.18	39.5	27.05	20.56	34.51	28.24	30.34	43.94	17.51	48.18	44.25	59.55	58.71	18.03	147.06	38.4	19.25	39.22	24.63	20.26	78.89	214.27	25.91	258.57	395.18	108.14	83.45	61.25	89.51	97.36	153.34	134.3	61.25	105.89	65.72	41.52	88.26
SKA1	185.11	231.32	211.31	234.57	348.71	156.59	329.84	244.57	159.9	299.25	447.82	189.02	89.51	120.94	18.43	175.07	77.25	39.22	8.78	60.39	58.71	9.06	37.59	82.87	7.4	228.13	53.57	43.63	68.07	16.63	62.56	32.82	31.0	33.54	28.04	34.02	24.28	53.95	8.32	49.91	48.52	37.32	74.06	35.0	150.17	50.63	31.45	40.07	32.82	31.9	45.85	217.27	42.71	297.17	356.05	211.31	62.56	63.89	66.18	115.97	138.1	129.69	80.57	114.36	92.7	65.26	137.14
SLC4A1AP	417.77	426.57	426.57	543.96	595.34	521.76	493.56	555.41	486.75	525.39	429.54	463.65	521.76	435.55	358.54	336.79	314.17	373.81	366.09	400.71	417.77	395.18	457.25	406.31	379.04	426.57	283.05	299.25	325.29	361.04	258.57	287.01	334.46	208.38	423.61	387.02	329.84	361.04	303.44	368.65	358.54	420.68	376.41	232.94	447.82	297.17	229.72	336.79	325.29	218.79	423.61	457.25	320.8	503.95	497.0	511.0	409.15	463.65	414.87	417.77	490.14	486.75	392.44	429.54	441.64	447.82	486.75
SMC2	373.81	329.84	363.56	486.75	603.67	796.86	518.15	463.65	423.61	660.68	555.41	392.44	395.18	256.78	94.01	153.34	224.97	249.73	85.22	234.57	208.38	95.34	128.79	134.3	154.42	194.36	73.54	64.8	141.02	70.01	136.19	102.97	92.05	87.65	106.63	132.44	94.67	131.51	61.68	80.01	175.07	147.06	176.29	94.01	303.44	135.24	62.56	113.56	104.42	51.71	122.64	529.06	110.43	583.07	679.29	529.06	229.72	226.54	214.27	229.72	361.04	429.54	205.5	251.48	180.02	204.07	305.55
SMC3	738.29	802.41	674.59	909.17	1378.57	890.44	1081.39	909.17	802.41	1313.23	1008.9	1015.93	591.22	620.67	444.72	476.71	665.29	698.41	329.84	796.86	860.08	417.77	483.38	406.31	642.59	669.92	435.55	312.0	503.95	490.14	500.46	329.84	444.72	271.48	507.46	490.14	395.18	532.74	423.61	389.72	551.56	599.49	660.68	339.14	656.11	392.44	229.72	480.04	397.93	224.97	571.05	1023.0	423.61	954.43	1467.37	1104.13	688.78	616.37	591.22	647.07	708.18	769.69	500.46	620.67	647.07	656.11	890.44
SNW1	1104.13	1242.34	1277.29	1477.58	1350.18	1199.98	1467.37	1819.35	1183.45	1322.37	1331.57	1447.15	1216.75	1127.35	1015.93	1183.45	1819.35	1175.27	1001.93	1388.16	1073.91	915.51	1286.18	1259.69	1242.34	1277.29	915.51	791.35	791.35	785.88	808.0	728.11	909.17	813.63	808.0	981.29	703.28	802.41	866.07	921.88	785.88	1051.79	1015.93	728.11	915.51	669.92	559.28	753.83	780.44	599.49	854.13	1059.11	660.68	902.89	1023.0	1583.71	1233.75	1191.69	1167.14	1268.46	1340.84	1127.35	1001.93	1175.27	1277.29	1081.39	1674.06
SPDL1	251.48	353.59	325.29	351.14	620.67	651.58	490.14	242.88	420.68	759.08	406.31	358.54	536.45	460.44	194.36	285.03	343.89	387.02	159.9	239.52	503.95	162.14	229.72	229.72	182.55	400.71	231.32	85.22	100.13	78.34	144.01	89.51	135.24	126.12	157.68	130.6	217.27	98.04	123.5	130.6	167.9	155.5	153.34	40.36	191.67	134.3	71.0	163.28	126.12	73.03	138.1	563.18	99.43	343.89	633.73	361.04	366.09	275.28	176.29	167.9	182.55	297.17	101.54	239.52	289.02	215.77	312.0
SUZ12	323.03	412.0	426.57	409.15	693.58	463.65	483.38	444.72	429.54	651.58	460.44	420.68	395.18	353.59	327.56	271.48	314.17	423.61	223.41	361.04	389.72	314.17	343.89	348.71	395.18	389.72	239.52	232.94	348.71	206.94	267.73	314.17	208.38	185.11	366.09	336.79	277.2	275.28	255.0	217.27	327.56	332.14	392.44	194.36	287.01	291.04	281.09	209.84	212.78	343.89	258.57	540.19	281.09	521.76	830.75	473.41	341.51	309.83	327.56	253.23	406.31	336.79	334.46	236.21	293.07	281.09	450.94
TACO1	395.18	848.22	361.04	511.0	599.49	397.93	470.14	674.59	679.29	728.11	536.45	575.03	563.18	314.17	323.03	318.57	381.68	289.02	400.71	343.89	336.79	301.33	444.72	323.03	312.0	521.76	435.55	289.02	269.6	303.44	262.2	244.57	251.48	215.77	275.28	314.17	457.25	320.8	293.07	368.65	320.8	295.11	312.0	82.87	460.44	262.2	165.57	327.56	309.83	314.17	387.02	521.76	120.94	460.44	351.14	514.56	332.14	376.41	332.14	503.95	647.07	273.37	392.44	532.74	493.56	507.46	457.25
TAF12	1073.91	1001.93	1081.39	819.3	1073.91	842.36	981.29	808.0	743.43	825.0	934.76	1059.11	1008.9	579.04	595.34	738.29	808.0	514.56	583.07	748.61	583.07	599.49	656.11	624.99	486.75	665.29	490.14	511.0	500.46	379.04	497.0	460.44	379.04	253.23	417.77	432.53	490.14	476.71	379.04	559.28	395.18	540.19	665.29	176.29	872.1	397.93	332.14	325.29	426.57	392.44	511.0	642.59	384.34	1191.69	830.75	1066.48	532.74	603.67	567.1	665.29	1059.11	633.73	567.1	571.05	591.22	688.78	693.58
TCF19	599.49	507.46	860.08	2018.8	1216.75	854.13	1199.98	961.07	1208.34	1551.09	1806.78	995.0	813.63	376.41	295.11	189.02	234.57	193.01	414.87	220.32	339.14	193.01	189.02	314.17	141.02	603.67	197.09	295.11	297.17	139.07	264.03	214.27	172.65	275.28	262.2	102.25	130.6	305.55	135.24	251.48	229.72	206.94	297.17	118.43	395.18	269.6	256.78	273.37	177.53	116.78	229.72	599.49	139.07	902.89	733.19	470.14	316.37	221.86	248.0	325.29	616.37	941.27	260.38	447.82	389.72	379.04	450.94
TFAM	314.17	567.1	571.05	525.39	728.11	486.75	444.72	607.87	406.31	480.04	480.04	476.71	253.23	249.73	226.54	303.44	366.09	275.28	211.31	289.02	417.77	163.28	189.02	218.79	258.57	320.8	273.37	155.5	248.0	186.4	258.57	215.77	231.32	189.02	297.17	341.51	224.97	279.14	239.52	183.82	260.38	323.03	400.71	175.07	507.46	211.31	110.43	228.13	224.97	128.79	361.04	785.88	228.13	674.59	819.3	392.44	414.87	426.57	305.55	379.04	665.29	217.27	392.44	423.61	251.48	249.73	224.97
TMCO1	4869.99	2915.45	2796.65	3018.3	2271.4	2537.92	3325.99	3443.31	2271.4	3589.58	3103.19	2935.74	2047.0	2303.12	1709.26	1617.0	860.08	1605.83	1651.0	2047.0	1757.34	1651.0	1991.0	1844.76	1923.14	1757.34	1417.35	1331.57	1529.73	1467.37	1769.57	1437.15	1369.04	1059.11	2075.59	1844.76	1617.0	1709.26	1572.76	1378.57	1594.73	2133.97	1870.53	723.08	2209.26	1477.58	884.29	1259.69	1508.65	896.64	1781.89	1923.14	1551.09	2875.3	2701.35	2240.11	2303.12	2255.7	2018.8	2287.2	3280.18	2319.15	1540.37	2417.67	2047.0	2796.65	2148.82
TMEM106C	1781.89	1806.78	2303.12	2502.97	5112.16	2255.7	3665.02	4010.71	2520.38	6164.49	4639.29	2664.15	2400.97	1819.35	1551.09	1023.0	1119.56	1551.09	1628.26	1242.34	1350.18	1159.07	1437.15	1487.87	1250.98	1268.46	1104.13	1037.29	1104.13	624.99	1001.93	967.76	860.08	860.08	780.44	679.29	529.06	1378.57	769.69	1250.98	1167.14	1119.56	1233.75	1008.9	1806.78	1175.27	896.64	981.29	854.13	447.82	1081.39	2061.24	1081.39	3614.55	3955.48	1242.34	1023.0	1259.69	1135.2	1407.55	1044.52	961.07	995.0	1388.16	1111.82	1277.29	466.88
TMEM9	1242.34	941.27	2148.82	1388.16	1977.24	1572.76	1397.83	1059.11	1923.14	2555.58	2701.35	1561.89	1135.2	1498.22	808.0	693.58	547.75	723.08	802.41	947.83	1313.23	575.03	688.78	728.11	896.64	813.63	642.59	575.03	624.99	460.44	728.11	540.19	529.06	500.46	551.56	473.41	688.78	733.19	638.15	1051.79	612.11	808.0	486.75	607.87	941.27	780.44	503.95	764.36	587.13	571.05	536.45	808.0	500.46	1359.57	2240.11	1286.18	759.08	660.68	1127.35	1135.2	796.86	441.64	575.03	612.11	791.35	629.35	620.67
TTF1	155.5	348.71	376.41	551.56	371.22	480.04	356.05	376.41	293.07	363.56	348.71	348.71	320.8	269.6	190.34	218.79	295.11	281.09	185.11	283.05	206.94	198.47	241.19	181.28	283.05	251.48	186.4	183.82	190.34	198.47	212.78	165.57	194.36	251.48	201.25	176.29	186.4	202.66	183.82	214.27	202.66	172.65	183.82	123.5	193.01	132.44	152.28	127.0	147.06	115.16	148.09	265.87	144.01	351.14	384.34	363.56	277.2	214.27	249.73	226.54	236.21	146.03	215.77	232.94	159.9	197.09	150.17
TTK	208.38	429.54	351.14	358.54	555.41	316.37	249.73	387.02	251.48	438.59	454.09	420.68	163.28	241.19	20.71	46.5	164.42	86.43	19.25	70.01	161.02	13.62	21.47	85.22	4.98	113.56	43.02	36.79	144.01	63.89	146.03	94.01	50.27	77.25	75.64	58.71	78.34	92.05	36.27	111.21	109.66	106.63	162.14	117.6	299.25	100.83	63.89	81.14	77.79	43.63	133.36	536.45	138.1	454.09	753.83	466.88	115.16	118.43	159.9	177.53	271.48	267.73	131.51	194.36	239.52	134.3	258.57
UBE2T	521.76	1427.22	1216.75	836.53	2287.2	878.17	1896.65	759.08	961.07	3190.46	2758.13	1508.65	2287.2	1487.87	189.02	412.0	616.37	575.03	239.52	571.05	878.17	149.12	400.71	842.36	239.52	703.28	199.85	194.36	182.55	103.69	281.09	169.07	162.14	157.68	115.97	117.6	147.06	199.85	75.64	218.79	316.37	269.6	293.07	170.25	571.05	205.5	197.09	139.07	146.03	76.17	241.19	780.44	220.32	1313.23	2133.97	1242.34	297.17	218.79	283.05	466.88	638.15	651.58	591.22	356.05	366.09	265.87	551.56
UBR7	543.96	432.53	473.41	583.07	860.08	571.05	693.58	872.1	638.15	819.3	738.29	555.41	392.44	251.48	309.83	258.57	285.03	314.17	267.73	363.56	285.03	269.6	329.84	323.03	303.44	373.81	332.14	287.01	353.59	299.25	325.29	194.36	305.55	249.73	329.84	332.14	204.07	323.03	248.0	253.23	297.17	275.28	371.22	336.79	392.44	231.32	299.25	320.8	249.73	201.25	234.57	759.08	185.11	406.31	507.46	583.07	376.41	435.55	336.79	406.31	543.96	463.65	525.39	293.07	341.51	353.59	381.68
UMPS	486.75	1208.34	1001.93	934.76	1359.57	848.22	981.29	759.08	921.88	1066.48	1819.35	1561.89	1044.52	490.14	473.41	647.07	738.29	612.11	525.39	723.08	896.64	429.54	555.41	830.75	470.14	915.51	718.08	356.05	426.57	379.04	312.0	395.18	583.07	295.11	518.15	423.61	483.38	466.88	555.41	511.0	607.87	583.07	432.53	185.11	656.11	379.04	341.51	336.79	555.41	301.33	642.59	796.86	212.78	1037.29	1397.83	1447.15	674.59	688.78	555.41	842.36	713.11	808.0	813.63	620.67	1096.5	802.41	1175.27
USP1	356.05	728.11	723.08	743.43	1151.06	665.29	848.22	1135.2	802.41	1369.04	1008.9	884.29	460.44	420.68	339.14	332.14	463.65	518.15	358.54	532.74	669.92	303.44	384.34	409.15	463.65	486.75	314.17	236.21	277.2	226.54	271.48	202.66	260.38	191.67	291.04	376.41	260.38	287.01	228.13	232.94	318.57	267.73	412.0	171.45	373.81	226.54	183.82	218.79	237.86	209.84	265.87	1066.48	201.25	1322.37	1417.35	1008.9	529.06	480.04	426.57	454.09	748.61	400.71	248.0	387.02	253.23	346.29	518.15
WDHD1	187.71	327.56	329.84	397.93	575.03	493.56	450.94	595.34	341.51	559.28	366.09	412.0	521.76	115.97	75.11	153.34	397.93	145.02	109.66	295.11	140.04	76.17	81.14	143.01	68.07	279.14	90.14	52.08	60.39	23.25	56.68	59.55	38.95	48.18	61.25	75.11	85.82	69.03	53.95	42.11	87.65	63.45	104.42	54.72	126.12	51.35	63.89	49.21	48.52	39.22	67.59	323.03	66.65	420.68	244.57	551.56	102.25	107.38	125.24	148.09	197.09	264.03	84.04	76.71	94.01	116.78	145.02
WDR76	733.19	371.22	460.44	540.19	785.88	493.56	665.29	547.75	500.46	884.29	358.54	674.59	301.33	127.89	144.01	164.42	155.5	190.34	141.02	164.42	234.57	92.05	132.44	127.0	124.37	332.14	105.15	80.01	70.51	23.42	78.89	47.84	57.49	45.21	46.5	61.68	48.87	90.77	31.67	77.79	108.9	111.21	135.24	37.59	232.94	73.03	57.49	68.07	40.36	26.86	67.59	392.44	47.84	656.11	802.41	470.14	173.85	113.56	115.16	167.9	234.57	320.8	85.82	170.25	181.28	98.04	104.42
WDYHV1	366.09	476.71	423.61	759.08	343.89	486.75	368.65	334.46	323.03	890.44	603.67	480.04	320.8	361.04	199.85	237.86	312.0	220.32	279.14	356.05	363.56	183.82	248.0	312.0	228.13	289.02	201.25	229.72	215.77	124.37	158.79	217.27	170.25	244.57	202.66	145.02	220.32	255.0	248.0	214.27	182.55	218.79	332.14	194.36	361.04	198.47	157.68	309.83	158.79	176.29	154.42	332.14	234.57	339.14	633.73	591.22	384.34	279.14	180.02	208.38	341.51	224.97	303.44	251.48	217.27	309.83	281.09
XRCC4	249.73	403.5	214.27	269.6	285.03	301.33	265.87	381.68	194.36	244.57	289.02	271.48	275.28	182.55	120.1	154.42	269.6	191.67	126.12	177.53	191.67	141.02	151.22	153.34	220.32	273.37	134.3	77.25	116.78	91.41	139.07	102.97	101.54	58.3	124.37	115.97	121.79	100.83	102.25	67.59	118.43	140.04	153.34	61.25	195.72	59.13	72.01	77.79	84.04	34.51	130.6	323.03	69.52	269.6	409.15	305.55	138.1	176.29	157.68	166.73	361.04	198.47	114.36	140.04	127.89	237.86	205.5
ZCRB1	928.3	1277.29	1313.23	1066.48	1963.57	1529.73	1369.04	1159.07	1088.92	1313.23	1508.65	1508.65	791.35	813.63	836.53	941.27	1529.73	1183.45	563.18	1417.35	967.76	708.18	688.78	1447.15	934.76	1001.93	728.11	563.18	909.17	656.11	896.64	819.3	769.69	543.96	836.53	1023.0	796.86	954.43	688.78	651.58	753.83	808.0	723.08	775.05	884.29	595.34	733.19	511.0	620.67	387.02	775.05	1216.75	1023.0	1286.18	2178.83	1233.75	825.0	981.29	872.1	884.29	1662.49	1081.39	490.14	928.3	836.53	813.63	808.0
ZNF367	438.59	201.25	190.34	167.9	332.14	180.02	267.73	209.84	178.77	438.59	376.41	271.48	273.37	143.01	46.5	39.79	69.03	128.79	55.1	59.55	118.43	43.94	77.25	54.33	46.18	115.97	47.17	28.45	35.76	16.15	35.5	34.51	28.04	30.12	36.53	31.45	27.25	38.12	15.68	30.12	56.28	57.49	82.29	49.21	88.26	34.26	31.22	27.05	21.63	17.25	35.0	209.84	49.56	229.72	371.22	237.86	117.6	76.17	64.34	73.03	172.65	237.86	123.5	77.79	92.05	88.26	105.89
ZWILCH	297.17	497.0	457.25	480.04	723.08	429.54	441.64	679.29	397.93	571.05	327.56	607.87	237.86	186.4	127.0	215.77	301.33	412.0	117.6	236.21	305.55	103.69	258.57	239.52	181.28	264.03	147.06	111.21	146.03	86.43	149.12	87.03	126.12	124.37	167.9	131.51	148.09	144.01	106.63	90.77	138.1	169.07	187.71	118.43	262.2	166.73	124.37	128.79	120.94	103.69	138.1	540.19	159.9	532.74	660.68	279.14	185.11	208.38	191.67	228.13	323.03	389.72	198.47	220.32	159.9	208.38	242.88
