	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.14753.1626.SM.5NQ9L	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.13NYB.0726.SM.5MR4J	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.PWN1.2626.SM.2I3FH	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.145MG.0826.SM.5Q5C2	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.TKQ1.0126.SM.33HB3	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y114.0626.SM.4TT98	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
TIMM44	612.11	674.59	718.08	718.08	679.29	647.07	368.65	629.35	733.19	633.73	651.58	995.0	974.5	698.41	1331.57	642.59	1233.75	825.0	660.68	860.08	599.49	1088.92	878.17	981.29	830.75	660.68	1242.34	1151.06	1183.45	1023.0	1081.39	1023.0	679.29	764.36	1073.91	1388.16	1023.0	1030.12	698.41	825.0	532.74	713.11	660.68	769.69	769.69	1350.18	909.17	728.11	743.43	1250.98	733.19	1295.13	583.07	1498.22	860.08	1096.5	1529.73	981.29	785.88	753.83	1008.9	1135.2	866.07	995.0	1127.35	967.76	1111.82	728.11	780.44	785.88	1037.29	669.92	896.64	808.0
TMEM165	295.11	193.01	144.01	112.77	163.28	279.14	208.38	825.0	1639.59	954.43	1167.14	981.29	1259.69	988.12	1407.55	967.76	1427.22	1427.22	1127.35	1295.13	1216.75	1540.37	1242.34	1617.0	1350.18	921.88	1870.53	1529.73	1127.35	1605.83	1322.37	1369.04	1088.92	988.12	1639.59	1628.26	1529.73	1529.73	1044.52	718.08	1073.91	1225.22	1081.39	967.76	1059.11	1369.04	1457.23	1037.29	1051.79	1250.98	1030.12	1225.22	954.43	1781.89	1617.0	1551.09	1008.9	1583.71	1628.26	1508.65	1427.22	1322.37	1277.29	1030.12	1896.65	1498.22	1447.15	1183.45	1208.34	1167.14	995.0	1225.22	1388.16	802.41
TMEM229B	15.91	18.97	9.34	13.72	11.73	13.72	4.31	181.28	476.71	191.67	232.94	220.32	379.04	151.22	363.56	128.79	414.87	242.88	262.2	381.68	139.07	470.14	171.45	334.46	215.77	172.65	287.01	381.68	246.28	256.78	400.71	356.05	199.85	277.2	432.53	260.38	414.87	366.09	185.11	151.22	193.01	172.65	167.9	187.71	368.65	381.68	305.55	167.9	178.77	303.44	152.28	480.04	195.72	332.14	264.03	155.5	293.07	297.17	246.28	599.49	244.57	327.56	172.65	444.72	460.44	299.25	361.04	303.44	159.9	105.15	246.28	248.0	473.41	221.86
TMX3	116.78	148.09	96.68	44.25	133.36	217.27	70.51	316.37	521.76	363.56	420.68	275.28	356.05	305.55	400.71	297.17	503.95	417.77	483.38	543.96	332.14	547.75	551.56	503.95	507.46	447.82	698.41	567.1	420.68	432.53	299.25	414.87	432.53	454.09	480.04	743.43	486.75	591.22	295.11	406.31	353.59	329.84	450.94	351.14	368.65	470.14	420.68	329.84	341.51	392.44	358.54	346.29	450.94	532.74	314.17	555.41	567.1	403.5	500.46	490.14	244.57	603.67	229.72	490.14	543.96	612.11	460.44	285.03	307.69	332.14	476.71	409.15	441.64	363.56
TNRC6A	124.37	346.29	183.82	123.5	191.67	193.01	127.0	414.87	583.07	234.57	361.04	231.32	532.74	346.29	529.06	187.71	607.87	500.46	255.0	579.04	244.57	647.07	441.64	551.56	450.94	429.54	723.08	665.29	476.71	417.77	486.75	447.82	303.44	432.53	507.46	780.44	450.94	400.71	329.84	307.69	283.05	438.59	409.15	438.59	297.17	647.07	432.53	327.56	316.37	387.02	256.78	518.15	389.72	819.3	366.09	476.71	599.49	454.09	441.64	599.49	299.25	463.65	325.29	540.19	583.07	651.58	555.41	334.46	314.17	295.11	476.71	301.33	447.82	447.82
TPP2	258.57	327.56	348.71	195.72	341.51	285.03	165.57	444.72	974.5	435.55	688.78	591.22	848.22	444.72	587.13	579.04	909.17	780.44	420.68	825.0	547.75	848.22	571.05	551.56	753.83	497.0	988.12	764.36	607.87	884.29	718.08	638.15	500.46	540.19	728.11	878.17	764.36	713.11	460.44	563.18	470.14	656.11	423.61	660.68	540.19	836.53	665.29	444.72	490.14	674.59	460.44	591.22	575.03	1037.29	723.08	915.51	638.15	629.35	808.0	1044.52	733.19	915.51	555.41	769.69	802.41	1066.48	647.07	665.29	698.41	334.46	591.22	532.74	825.0	563.18
TSSK4	1.87	1.28	0.0	3.82	4.82	2.84	0.92	20.56	53.95	12.83	23.42	11.13	31.45	17.64	77.25	12.36	67.59	58.71	28.45	58.3	14.78	43.32	35.76	77.79	55.1	21.32	57.49	55.1	72.01	42.41	66.65	55.1	20.71	41.81	65.26	147.06	65.72	71.5	21.94	19.11	7.51	13.12	31.22	49.56	24.28	98.73	48.87	9.48	17.9	30.78	17.9	97.36	27.64	72.01	26.67	51.35	73.03	65.72	50.63	73.54	21.47	57.08	31.0	74.06	73.54	101.54	98.04	8.32	16.75	10.16	41.81	24.99	56.28	16.15
TSTD2	62.56	76.17	63.45	68.07	55.89	48.52	17.38	149.12	320.8	167.9	212.78	152.28	341.51	157.68	363.56	142.01	460.44	314.17	175.07	470.14	165.57	323.03	212.78	379.04	341.51	186.4	567.1	450.94	358.54	309.83	366.09	361.04	201.25	285.03	412.0	612.11	336.79	376.41	187.71	183.82	177.53	244.57	189.02	262.2	157.68	432.53	289.02	155.5	154.42	329.84	152.28	395.18	218.79	476.71	262.2	271.48	327.56	341.51	376.41	376.41	248.0	329.84	187.71	348.71	532.74	466.88	336.79	180.02	209.84	197.09	237.86	191.67	291.04	204.07
U2AF1	2627.46	1572.76	1781.89	934.76	1794.29	1745.2	1135.2	2664.15	3690.52	2816.11	3443.31	2895.31	3820.7	3212.66	5147.73	3325.99	4268.94	4298.64	3768.09	2997.45	3190.46	5366.37	4181.07	4388.98	3820.7	2627.46	3928.15	3564.78	3124.78	3395.89	3847.29	4358.66	2739.08	3190.46	4972.34	4328.55	3955.48	5255.91	3039.3	2573.36	3124.78	3372.43	3212.66	3589.58	2997.45	4543.8	5403.7	3372.43	3639.7	4328.55	3103.19	4450.27	3325.99	5292.48	4239.45	4388.98	4704.07	4512.4	4328.55	3665.02	4066.71	4268.94	3716.2	4123.49	5441.3	4481.23	4152.18	2835.7	3564.78	2895.31	4268.94	3443.31	3955.48	3018.3
UBAP2L	587.13	551.56	603.67	525.39	616.37	1127.35	265.87	1477.58	1977.24	1594.73	1628.26	1594.73	1733.13	1447.15	2209.26	1467.37	2240.11	1936.53	1832.01	1909.85	1447.15	2915.45	1870.53	2209.26	1870.53	1437.15	2209.26	2163.77	2090.03	1662.49	2061.24	2224.63	1709.26	1662.49	2434.5	2367.9	1781.89	2271.4	1594.73	1551.09	1617.0	1605.83	1794.29	1674.06	1651.0	2537.92	1896.65	1498.22	1561.89	1651.0	1487.87	2255.7	1594.73	2417.67	1508.65	1896.65	2061.24	2417.67	2104.58	1697.45	1639.59	1963.57	1540.37	2119.22	2319.15	2178.83	2133.97	1572.76	1923.14	1388.16	1936.53	1733.13	1819.35	1498.22
UBP1	291.04	334.46	312.0	255.0	295.11	376.41	149.12	674.59	995.0	660.68	928.3	476.71	836.53	836.53	728.11	629.35	860.08	1051.79	703.28	733.19	866.07	954.43	819.3	995.0	718.08	603.67	1135.2	902.89	713.11	647.07	743.43	723.08	748.61	656.11	954.43	1151.06	813.63	780.44	718.08	571.05	733.19	473.41	684.02	769.69	629.35	866.07	780.44	466.88	679.29	571.05	674.59	1001.93	802.41	1030.12	587.13	728.11	872.1	785.88	921.88	1001.93	503.95	728.11	551.56	791.35	854.13	1151.06	902.89	563.18	529.06	612.11	796.86	728.11	743.43	759.08
USP14	212.78	253.23	249.73	224.97	255.0	234.57	251.48	381.68	738.29	466.88	599.49	429.54	559.28	426.57	723.08	518.15	674.59	633.73	500.46	633.73	500.46	651.58	567.1	743.43	595.34	438.59	860.08	563.18	490.14	769.69	555.41	738.29	470.14	616.37	808.0	728.11	688.78	743.43	466.88	363.56	454.09	447.82	435.55	536.45	503.95	684.02	679.29	371.22	511.0	698.41	480.04	599.49	486.75	753.83	679.29	813.63	583.07	624.99	866.07	698.41	679.29	651.58	543.96	591.22	633.73	808.0	723.08	500.46	595.34	429.54	412.0	511.0	651.58	503.95
USP24	95.34	146.03	117.6	88.26	153.34	198.47	68.07	277.2	384.34	171.45	256.78	159.9	314.17	264.03	224.97	183.82	314.17	236.21	194.36	255.0	186.4	457.25	224.97	283.05	260.38	260.38	371.22	316.37	258.57	226.54	287.01	241.19	237.86	241.19	289.02	514.56	273.37	249.73	197.09	281.09	220.32	248.0	289.02	217.27	242.88	371.22	237.86	217.27	211.31	255.0	181.28	353.59	214.27	423.61	149.12	208.38	255.0	341.51	307.69	309.83	206.94	217.27	183.82	332.14	397.93	273.37	291.04	193.01	211.31	161.02	226.54	218.79	279.14	228.13
USP54	28.86	34.51	28.45	36.79	38.12	44.25	39.22	1437.15	2875.3	1662.49	1639.59	1561.89	3303.0	1651.0	3124.78	1059.11	2855.44	2075.59	1769.57	3395.89	1369.04	2895.31	1963.57	3190.46	2417.67	1540.37	4268.94	2555.58	3589.58	2367.9	3060.45	2209.26	1277.29	2796.65	4066.71	4268.94	3039.3	2434.5	1950.0	1674.06	1369.04	2645.74	1322.37	2664.15	1733.13	3742.05	2004.85	1757.34	1259.69	2287.2	1844.76	3928.15	1605.83	3280.18	1991.0	1991.0	3212.66	3419.52	3639.7	3395.89	1991.0	2895.31	1781.89	3443.31	2997.45	4450.27	2796.65	1322.37	1487.87	1037.29	2119.22	1721.16	2816.11	1427.22
UTP15	85.22	59.97	84.63	54.33	53.19	62.12	37.59	64.34	198.47	82.29	111.21	100.83	153.34	78.89	164.42	84.63	180.02	137.14	84.63	185.11	94.67	208.38	115.97	172.65	121.79	91.41	194.36	155.5	137.14	199.85	186.4	139.07	99.43	126.12	182.55	221.86	206.94	178.77	62.12	82.29	102.25	92.7	85.22	131.51	60.39	155.5	186.4	79.45	109.66	130.6	77.79	178.77	103.69	204.07	120.1	150.17	158.79	163.28	187.71	169.07	127.0	159.9	118.43	153.34	260.38	173.85	177.53	93.35	92.05	85.22	112.77	80.01	199.85	89.51
WDR26	343.89	432.53	366.09	299.25	341.51	409.15	287.01	571.05	1081.39	612.11	796.86	587.13	866.07	559.28	915.51	616.37	995.0	884.29	563.18	1259.69	660.68	1151.06	775.05	934.76	693.58	579.04	961.07	813.63	791.35	738.29	830.75	884.29	679.29	669.92	902.89	1277.29	802.41	791.35	684.02	536.45	507.46	616.37	674.59	748.61	536.45	995.0	836.53	647.07	620.67	693.58	575.03	915.51	575.03	954.43	775.05	921.88	738.29	928.3	1015.93	909.17	698.41	791.35	693.58	723.08	961.07	1073.91	1044.52	679.29	896.64	629.35	656.11	599.49	748.61	591.22
XPO4	35.0	37.32	33.06	37.32	37.85	37.32	14.35	87.03	183.82	101.54	107.38	47.84	141.02	97.36	155.5	75.11	157.68	148.09	102.97	147.06	102.25	100.83	102.25	172.65	145.02	115.97	175.07	127.89	149.12	147.06	121.79	115.97	94.67	133.36	158.79	228.13	155.5	166.73	78.89	82.87	105.89	78.34	102.25	146.03	81.71	162.14	151.22	71.0	74.58	94.01	95.34	172.65	89.51	231.32	121.79	134.3	153.34	130.6	166.73	137.14	81.71	136.19	81.14	170.25	189.02	260.38	154.42	65.72	75.11	88.88	115.16	101.54	134.3	94.01
XPO5	136.19	138.1	129.69	142.01	173.85	120.94	52.82	255.0	406.31	262.2	312.0	295.11	389.72	309.83	529.06	229.72	525.39	409.15	305.55	476.71	269.6	480.04	387.02	490.14	346.29	293.07	698.41	379.04	432.53	400.71	454.09	444.72	239.52	429.54	476.71	633.73	460.44	454.09	285.03	258.57	242.88	265.87	271.48	384.34	265.87	483.38	387.02	232.94	325.29	435.55	265.87	525.39	267.73	665.29	417.77	480.04	540.19	392.44	529.06	414.87	423.61	389.72	318.57	400.71	403.5	567.1	447.82	271.48	371.22	275.28	373.81	301.33	441.64	339.14
XPOT	185.11	242.88	195.72	166.73	234.57	239.52	148.09	444.72	825.0	363.56	703.28	314.17	647.07	500.46	842.36	358.54	866.07	674.59	447.82	595.34	525.39	587.13	753.83	1208.34	529.06	483.38	1037.29	540.19	1119.56	775.05	555.41	525.39	476.71	521.76	738.29	1397.83	616.37	775.05	339.14	441.64	460.44	327.56	389.72	575.03	397.93	1277.29	713.11	291.04	432.53	420.68	412.0	988.12	486.75	1794.29	647.07	860.08	2018.8	559.28	624.99	854.13	486.75	518.15	473.41	1277.29	995.0	1001.93	842.36	361.04	563.18	540.19	507.46	497.0	629.35	563.18
ZBTB5	48.87	119.26	74.58	76.71	88.88	114.36	145.02	141.02	297.17	139.07	181.28	120.1	291.04	153.34	246.28	126.12	285.03	234.57	147.06	246.28	117.6	275.28	182.55	256.78	283.05	151.22	251.48	239.52	251.48	237.86	248.0	189.02	127.89	197.09	264.03	264.03	249.73	234.57	181.28	151.22	146.03	178.77	144.01	258.57	148.09	258.57	217.27	170.25	157.68	166.73	126.12	255.0	175.07	246.28	206.94	244.57	223.41	281.09	287.01	262.2	234.57	232.94	199.85	265.87	297.17	327.56	281.09	124.37	201.25	145.02	164.42	154.42	215.77	142.01
ZNF791	61.68	81.71	44.89	28.65	80.57	88.26	81.14	171.45	507.46	189.02	204.07	185.11	373.81	273.37	267.73	151.22	325.29	301.33	189.02	305.55	246.28	303.44	189.02	356.05	253.23	202.66	346.29	262.2	269.6	312.0	325.29	229.72	172.65	341.51	358.54	457.25	348.71	289.02	226.54	189.02	218.79	202.66	197.09	279.14	251.48	305.55	285.03	177.53	153.34	217.27	187.71	400.71	206.94	432.53	199.85	269.6	279.14	351.14	432.53	406.31	251.48	309.83	220.32	392.44	395.18	438.59	314.17	175.07	260.38	162.14	231.32	241.19	318.57	223.41
