	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.GC.A3RC.01A.11R.A22U.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.Q9.A6FU.01A.11R.A31P.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CN.6992.01A.11R.1915.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CR.7388.01A.11R.2016.07	TCGA.BA.6870.01A.11R.1873.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.T2.A6WX.01A.12R.A34R.07	TCGA.CR.7368.01A.11R.2132.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.7582.01A.11R.2045.07
PELI1	76.17	187.71	64.8	182.55	187.71	454.09	181.28	201.25	2163.77	119.26	99.43	172.65	152.28	137.14	214.27	176.29	791.35	1674.06	297.17	1674.06	2645.74	1111.82	497.0	547.75	470.14	260.38	387.02	511.0	142.01	206.94	293.07	525.39	371.22	1135.2	521.76	381.68	381.68	493.56	540.19	579.04	1697.45	320.8	708.18	197.09	241.19	679.29	647.07	423.61	212.78	432.53	447.82	454.09	251.48	169.07	466.88	124.37	90.14	616.37	890.44	1151.06	463.65	356.05	490.14	181.28	132.44	616.37	974.5	603.67	281.09	1437.15	142.01	1685.71	532.74	679.29	195.72	77.25	830.75	679.29	346.29	387.02	275.28	483.38	371.22	40.93	57.89	961.07	733.19	995.0
PIK3C2A	64.34	46.18	46.5	96.01	67.12	307.69	60.82	58.3	100.83	74.58	105.15	131.51	145.02	64.34	115.97	149.12	366.09	363.56	339.14	205.5	733.19	536.45	195.72	177.53	229.72	127.0	177.53	223.41	75.11	258.57	105.89	287.01	187.71	167.9	186.4	154.42	117.6	237.86	206.94	271.48	470.14	128.79	327.56	111.21	105.89	241.19	177.53	281.09	50.63	285.03	76.17	493.56	98.04	124.37	397.93	204.07	149.12	170.25	450.94	215.77	224.97	209.84	180.02	111.99	90.77	209.84	397.93	470.14	85.22	206.94	78.34	262.2	190.34	265.87	63.89	113.56	158.79	251.48	161.02	267.73	108.14	343.89	118.43	64.8	65.72	305.55	361.04	379.04
PPM1B	457.25	318.57	212.78	339.14	281.09	420.68	301.33	264.03	457.25	217.27	275.28	397.93	297.17	341.51	314.17	438.59	403.5	753.83	928.3	1437.15	718.08	587.13	314.17	267.73	251.48	343.89	262.2	267.73	256.78	267.73	323.03	332.14	291.04	368.65	339.14	366.09	204.07	361.04	336.79	353.59	921.88	229.72	575.03	277.2	265.87	366.09	269.6	387.02	249.73	563.18	295.11	366.09	256.78	283.05	599.49	166.73	204.07	343.89	457.25	563.18	323.03	339.14	346.29	379.04	271.48	406.31	1044.52	638.15	438.59	830.75	265.87	738.29	301.33	432.53	208.38	191.67	320.8	320.8	336.79	262.2	305.55	503.95	249.73	366.09	234.57	890.44	647.07	825.0
PPP1CB	2468.49	2193.99	780.44	1561.89	1572.76	1651.0	1359.57	2075.59	3665.02	1322.37	2209.26	1781.89	2104.58	2609.3	3190.46	2119.22	8305.36	5791.62	4671.57	5555.65	3639.7	4268.94	2004.85	4769.75	2485.67	2367.9	3614.55	2816.11	2090.03	3039.3	1844.76	2720.15	2777.33	5147.73	2209.26	1745.2	1628.26	3589.58	3280.18	4419.52	6250.56	1923.14	6037.61	2240.11	1639.59	4543.8	3235.01	2875.3	1721.16	3564.78	1950.0	3928.15	1721.16	1437.15	4704.07	1359.57	1674.06	3257.52	4736.79	3794.3	2976.74	3235.01	2537.92	1340.84	1963.57	3768.09	7180.15	8134.41	2209.26	6745.86	1662.49	2739.08	2855.44	3928.15	2417.67	1721.16	4937.99	3212.66	2664.15	3280.18	2018.8	3768.09	3081.75	674.59	540.19	3467.27	3742.05	6561.36
PRR14L	120.94	170.25	173.85	178.77	180.02	129.69	114.36	151.22	392.44	163.28	162.14	237.86	234.57	96.01	244.57	239.52	551.56	532.74	406.31	262.2	366.09	356.05	117.6	214.27	228.13	231.32	255.0	307.69	236.21	88.26	186.4	209.84	159.9	212.78	244.57	234.57	176.29	220.32	265.87	224.97	301.33	211.31	444.72	148.09	214.27	249.73	221.86	221.86	126.12	255.0	169.07	265.87	170.25	204.07	339.14	142.01	151.22	223.41	264.03	379.04	258.57	226.54	260.38	178.77	193.01	204.07	329.84	387.02	138.1	301.33	215.77	389.72	220.32	221.86	149.12	116.78	258.57	320.8	183.82	197.09	181.28	314.17	190.34	115.16	93.35	397.93	376.41	470.14
PTPN13	98.73	64.34	54.72	162.14	325.29	429.54	57.08	110.43	3614.55	253.23	214.27	376.41	115.16	183.82	423.61	397.93	633.73	759.08	460.44	447.82	466.88	532.74	237.86	603.67	426.57	480.04	397.93	595.34	215.77	279.14	314.17	759.08	376.41	591.22	109.66	612.11	591.22	813.63	409.15	679.29	351.14	466.88	303.44	285.03	212.78	748.61	1008.9	543.96	146.03	547.75	305.55	607.87	293.07	248.0	1583.71	536.45	426.57	343.89	1059.11	381.68	248.0	629.35	463.65	127.89	142.01	551.56	1023.0	1304.15	173.85	480.04	98.04	500.46	460.44	651.58	164.42	78.34	583.07	808.0	256.78	373.81	255.0	866.07	579.04	1.3	0.0	435.55	563.18	379.04
PUM1	208.38	353.59	273.37	339.14	395.18	703.28	346.29	450.94	819.3	339.14	503.95	540.19	466.88	444.72	511.0	603.67	1081.39	1151.06	954.43	848.22	819.3	1001.93	490.14	836.53	612.11	713.11	764.36	698.41	476.71	825.0	583.07	884.29	723.08	713.11	848.22	802.41	518.15	902.89	748.61	878.17	808.0	514.56	733.19	532.74	493.56	921.88	624.99	842.36	387.02	961.07	507.46	1127.35	400.71	389.72	1519.15	738.29	571.05	679.29	1104.13	896.64	718.08	819.3	674.59	591.22	571.05	981.29	1447.15	1407.55	454.09	830.75	457.25	642.59	693.58	718.08	412.0	423.61	909.17	974.5	718.08	909.17	555.41	967.76	525.39	229.72	320.8	967.76	974.5	638.15
PUM2	603.67	599.49	285.03	529.06	595.34	629.35	426.57	463.65	1199.98	303.44	647.07	629.35	665.29	493.56	928.3	748.61	1407.55	1388.16	1044.52	1259.69	1417.35	1745.2	536.45	769.69	612.11	620.67	624.99	728.11	521.76	791.35	441.64	785.88	571.05	547.75	733.19	583.07	616.37	1008.9	775.05	842.36	1437.15	547.75	1015.93	483.38	503.95	785.88	587.13	679.29	366.09	1191.69	518.15	1051.79	447.82	381.68	1225.22	426.57	417.77	703.28	1073.91	1051.79	638.15	813.63	583.07	555.41	599.49	995.0	1757.34	1268.46	555.41	1529.73	397.93	1143.1	679.29	748.61	426.57	435.55	733.19	848.22	703.28	642.59	507.46	1044.52	555.41	291.04	244.57	1030.12	1259.69	1806.78
RAPGEF5	23.25	55.1	2.94	76.71	78.34	67.59	49.21	55.49	629.35	60.82	38.95	84.04	27.25	29.27	115.97	77.79	289.02	303.44	368.65	400.71	289.02	412.0	76.71	139.07	136.19	133.36	241.19	208.38	90.14	116.78	127.0	123.5	84.63	118.43	105.15	183.82	154.42	253.23	185.11	223.41	403.5	92.7	163.28	33.54	169.07	244.57	136.19	126.12	67.12	329.84	166.73	289.02	70.51	65.26	241.19	144.01	92.05	74.58	241.19	497.0	165.57	176.29	178.77	74.06	69.03	234.57	265.87	267.73	71.0	248.0	66.18	237.86	112.77	139.07	90.77	63.45	117.6	96.68	88.26	202.66	123.5	226.54	47.5	74.06	43.63	381.68	559.28	559.28
REL	13.62	28.04	5.23	50.98	22.59	76.17	11.38	20.41	105.15	14.78	18.29	62.56	22.92	14.35	104.42	72.01	358.54	329.84	180.02	262.2	249.73	194.36	34.02	82.87	65.26	95.34	99.43	82.87	59.13	93.35	37.05	78.34	54.33	108.14	67.59	81.14	30.78	249.73	157.68	97.36	214.27	33.54	175.07	52.08	90.77	97.36	56.28	116.78	16.63	204.07	62.56	187.71	37.05	24.63	450.94	43.32	37.59	65.26	260.38	187.71	52.08	129.69	76.71	47.17	37.59	100.83	651.58	271.48	64.8	305.55	38.4	130.6	103.69	120.1	32.36	41.81	100.13	132.44	76.17	85.22	44.25	176.29	30.12	7.0	3.35	190.34	209.84	244.57
REST	74.06	74.06	118.43	214.27	121.79	212.78	107.38	114.36	271.48	98.04	112.77	150.17	162.14	74.58	151.22	154.42	273.37	249.73	277.2	239.52	309.83	414.87	127.0	167.9	136.19	155.5	173.85	201.25	106.63	185.11	96.68	138.1	156.59	89.51	181.28	205.5	129.69	189.02	202.66	167.9	323.03	137.14	251.48	106.63	170.25	195.72	146.03	220.32	100.13	320.8	109.66	305.55	130.6	112.77	285.03	162.14	108.14	142.01	287.01	162.14	136.19	208.38	169.07	187.71	159.9	214.27	808.0	334.46	112.77	204.07	99.43	281.09	149.12	197.09	111.99	75.64	140.04	241.19	169.07	181.28	151.22	289.02	126.12	57.49	52.08	208.38	289.02	208.38
RFFL	131.51	120.1	25.72	183.82	532.74	289.02	224.97	134.3	1519.15	148.09	170.25	121.79	212.78	77.79	299.25	136.19	363.56	540.19	363.56	559.28	414.87	802.41	221.86	267.73	281.09	208.38	242.88	289.02	208.38	309.83	176.29	316.37	305.55	297.17	100.13	221.86	156.59	426.57	301.33	432.53	392.44	246.28	358.54	231.32	217.27	336.79	171.45	212.78	134.3	629.35	120.94	267.73	177.53	234.57	297.17	309.83	255.0	320.8	447.82	660.68	346.29	275.28	295.11	229.72	96.68	642.59	373.81	460.44	341.51	547.75	183.82	480.04	199.85	246.28	223.41	314.17	239.52	255.0	281.09	325.29	305.55	373.81	148.09	256.78	454.09	497.0	684.02	759.08
RHOT1	198.47	237.86	173.85	295.11	860.08	283.05	285.03	258.57	444.72	182.55	285.03	329.84	256.78	156.59	208.38	426.57	400.71	389.72	486.75	420.68	417.77	470.14	234.57	267.73	381.68	400.71	312.0	242.88	356.05	329.84	412.0	397.93	426.57	384.34	264.03	206.94	248.0	373.81	269.6	307.69	463.65	314.17	339.14	332.14	251.48	305.55	260.38	299.25	251.48	379.04	198.47	381.68	283.05	218.79	376.41	314.17	341.51	325.29	301.33	450.94	158.79	275.28	447.82	373.81	299.25	303.44	728.11	579.04	368.65	703.28	318.57	389.72	303.44	361.04	291.04	212.78	361.04	305.55	297.17	343.89	228.13	473.41	279.14	92.7	143.01	336.79	559.28	567.1
RORA	23.93	27.64	25.35	69.03	47.84	53.19	42.11	21.01	316.37	32.82	21.47	27.44	62.12	10.55	148.09	24.28	316.37	215.77	327.56	371.22	351.14	283.05	88.26	511.0	177.53	74.06	224.97	173.85	68.07	55.1	139.07	890.44	88.26	483.38	83.45	64.8	73.54	273.37	86.43	403.5	703.28	126.12	239.52	12.83	105.89	251.48	65.72	96.68	41.81	301.33	25.17	265.87	43.94	16.27	229.72	27.64	26.1	208.38	389.72	334.46	79.45	305.55	126.12	29.27	20.26	57.08	253.23	231.32	44.89	309.83	51.35	417.77	126.12	218.79	177.53	67.59	397.93	185.11	36.27	130.6	42.41	223.41	559.28	258.57	115.16	381.68	189.02	444.72
SCYL2	215.77	197.09	127.0	327.56	197.09	264.03	171.45	154.42	698.41	175.07	234.57	343.89	309.83	201.25	316.37	351.14	583.07	660.68	460.44	571.05	1051.79	780.44	314.17	521.76	540.19	583.07	417.77	500.46	269.6	387.02	150.17	441.64	536.45	555.41	412.0	473.41	206.94	780.44	463.65	426.57	753.83	327.56	529.06	260.38	279.14	521.76	384.34	555.41	381.68	708.18	176.29	647.07	325.29	226.54	669.92	381.68	309.83	529.06	660.68	738.29	559.28	450.94	356.05	269.6	226.54	497.0	1857.6	698.41	318.57	559.28	171.45	603.67	447.82	607.87	198.47	244.57	473.41	595.34	397.93	536.45	246.28	571.05	403.5	127.0	144.01	703.28	612.11	791.35
SERTAD2	231.32	198.47	144.01	312.0	277.2	249.73	144.01	291.04	4268.94	121.79	135.24	251.48	84.04	158.79	490.14	248.0	1111.82	1151.06	1059.11	1030.12	669.92	764.36	460.44	511.0	351.14	348.71	450.94	511.0	432.53	476.71	320.8	356.05	295.11	417.77	346.29	423.61	189.02	684.02	450.94	409.15	583.07	358.54	532.74	218.79	490.14	633.73	497.0	285.03	297.17	583.07	423.61	483.38	221.86	199.85	642.59	251.48	426.57	334.46	718.08	647.07	547.75	902.89	363.56	176.29	169.07	791.35	813.63	1030.12	507.46	629.35	267.73	759.08	414.87	624.99	327.56	199.85	607.87	536.45	277.2	486.75	334.46	547.75	258.57	167.9	74.58	743.43	674.59	738.29
SH3D19	154.42	98.73	358.54	214.27	148.09	271.48	127.89	183.82	638.15	126.12	246.28	114.36	366.09	151.22	264.03	126.12	1119.56	1304.15	848.22	808.0	373.81	563.18	307.69	842.36	536.45	507.46	521.76	493.56	273.37	684.02	281.09	656.11	563.18	733.19	423.61	379.04	395.18	603.67	543.96	1096.5	473.41	414.87	532.74	323.03	291.04	579.04	536.45	429.54	314.17	559.28	339.14	743.43	158.79	135.24	836.53	450.94	432.53	802.41	961.07	450.94	323.03	543.96	514.56	195.72	176.29	525.39	595.34	1051.79	221.86	890.44	287.01	647.07	567.1	559.28	358.54	208.38	688.78	387.02	323.03	559.28	197.09	591.22	381.68	536.45	178.77	665.29	417.77	432.53
SHPRH	6.73	15.8	9.56	11.3	29.48	37.85	6.73	11.3	34.51	25.54	17.25	46.84	23.76	11.3	55.89	50.27	141.02	137.14	73.54	102.25	121.79	147.06	35.76	34.75	68.07	53.95	38.67	51.71	24.46	52.45	22.26	65.72	90.77	34.26	43.94	43.02	27.44	44.89	45.85	50.27	115.97	34.75	63.0	25.72	43.02	27.84	52.45	60.82	14.89	100.83	21.47	97.36	25.54	27.05	71.5	54.72	17.25	58.3	59.97	87.65	51.71	28.04	40.93	36.01	31.22	56.68	211.31	103.69	38.12	101.54	17.77	113.56	40.64	59.13	22.43	29.06	35.25	54.33	38.12	57.89	39.79	83.45	24.81	6.67	15.45	112.77	107.38	86.43
SLAIN2	466.88	417.77	234.57	612.11	470.14	974.5	332.14	234.57	1561.89	466.88	514.56	679.29	587.13	366.09	684.02	633.73	1733.13	928.3	866.07	1001.93	842.36	2609.3	928.3	1651.0	947.83	974.5	1508.65	1427.22	961.07	1857.6	753.83	1350.18	878.17	1594.73	1437.15	1008.9	688.78	1561.89	1617.0	1963.57	1896.65	1216.75	1397.83	934.76	860.08	1583.71	1437.15	1088.92	660.68	1437.15	620.67	1605.83	902.89	441.64	2240.11	1378.57	1044.52	1417.35	2875.3	1127.35	1008.9	1417.35	1208.34	525.39	417.77	1529.73	4095.0	2303.12	470.14	1322.37	674.59	1023.0	1233.75	1662.49	1088.92	1059.11	2163.77	1674.06	860.08	1175.27	638.15	1709.26	1242.34	356.05	193.01	819.3	1417.35	638.15
SLC12A6	92.7	53.57	20.26	139.07	89.51	102.25	18.84	193.01	7966.99	87.65	90.77	384.34	146.03	20.41	234.57	323.03	395.18	1896.65	258.57	1037.29	915.51	878.17	139.07	353.59	325.29	379.04	171.45	301.33	135.24	248.0	116.78	339.14	161.02	305.55	228.13	186.4	68.07	316.37	177.53	325.29	305.55	118.43	334.46	57.89	144.01	536.45	299.25	241.19	89.51	490.14	147.06	249.73	74.06	57.49	1268.46	153.34	186.4	183.82	633.73	392.44	291.04	620.67	483.38	33.3	53.95	312.0	406.31	764.36	95.34	457.25	55.1	392.44	289.02	299.25	54.72	106.63	343.89	325.29	320.8	193.01	229.72	447.82	111.99	11.82	16.03	753.83	669.92	825.0
SLC38A1	543.96	423.61	30.12	713.11	988.12	1551.09	329.84	1037.29	175.07	297.17	684.02	921.88	651.58	713.11	1001.93	902.89	3039.3	2255.7	1340.84	1008.9	884.29	1208.34	620.67	902.89	785.88	802.41	1340.84	961.07	591.22	1467.37	366.09	836.53	878.17	454.09	764.36	896.64	775.05	860.08	1030.12	1407.55	708.18	540.19	813.63	507.46	607.87	872.1	718.08	718.08	486.75	902.89	620.67	1350.18	503.95	511.0	1030.12	995.0	384.34	493.56	872.1	928.3	733.19	890.44	563.18	665.29	748.61	1008.9	1397.83	1037.29	665.29	591.22	339.14	529.06	624.99	836.53	363.56	540.19	884.29	1183.45	947.83	1268.46	476.71	890.44	575.03	4.9	191.67	3257.52	974.5	981.29
SOS1	142.01	118.43	64.8	111.21	90.77	147.06	127.0	82.29	150.17	98.04	83.45	139.07	145.02	74.58	214.27	220.32	490.14	612.11	651.58	500.46	389.72	438.59	131.51	158.79	220.32	205.5	232.94	182.55	144.01	215.77	122.64	218.79	120.94	167.9	169.07	241.19	187.71	258.57	271.48	258.57	368.65	135.24	327.56	95.34	159.9	177.53	201.25	223.41	84.04	307.69	110.43	325.29	153.34	145.02	309.83	95.34	73.54	172.65	285.03	253.23	167.9	199.85	178.77	144.01	134.3	260.38	698.41	457.25	124.37	312.0	180.02	212.78	180.02	226.54	146.03	122.64	145.02	189.02	215.77	158.79	122.64	332.14	118.43	83.45	55.49	392.44	356.05	373.81
SPAST	123.5	112.77	75.64	84.04	88.88	88.26	100.83	108.14	215.77	73.54	82.87	120.1	103.69	96.01	127.89	133.36	237.86	332.14	239.52	297.17	674.59	400.71	87.65	118.43	127.89	138.1	111.99	83.45	68.55	140.04	123.5	133.36	115.97	94.01	107.38	88.88	94.67	115.97	153.34	105.15	480.04	80.01	275.28	81.71	108.9	126.12	92.05	130.6	68.07	262.2	110.43	185.11	76.71	96.68	165.57	53.95	85.22	135.24	146.03	351.14	118.43	83.45	101.54	98.73	96.68	190.34	480.04	281.09	114.36	698.41	81.14	412.0	101.54	119.26	61.25	78.34	101.54	115.97	116.78	130.6	124.37	165.57	100.83	46.84	62.56	371.22	486.75	447.82
SPOPL	77.25	149.12	42.11	93.35	94.01	186.4	77.25	92.05	127.89	75.11	75.64	166.73	72.52	87.65	164.42	156.59	384.34	281.09	229.72	185.11	224.97	267.73	171.45	248.0	147.06	332.14	327.56	223.41	98.73	309.83	86.43	183.82	256.78	373.81	341.51	244.57	63.89	493.56	339.14	269.6	332.14	151.22	281.09	159.9	138.1	289.02	226.54	356.05	127.0	239.52	125.24	316.37	147.06	94.01	555.41	271.48	88.26	241.19	435.55	314.17	255.0	249.73	182.55	181.28	102.25	229.72	490.14	384.34	129.69	318.57	123.5	165.57	329.84	353.59	98.04	88.26	211.31	470.14	199.85	387.02	152.28	336.79	215.77	80.01	48.52	199.85	287.01	366.09
SUZ12	224.97	173.85	157.68	224.97	988.12	305.55	236.21	229.72	323.03	197.09	295.11	368.65	363.56	212.78	361.04	384.34	493.56	473.41	412.0	518.15	490.14	529.06	220.32	212.78	299.25	307.69	204.07	202.66	157.68	299.25	242.88	267.73	343.89	258.57	249.73	223.41	150.17	283.05	269.6	173.85	476.71	198.47	343.89	381.68	183.82	312.0	221.86	279.14	142.01	444.72	136.19	336.79	206.94	190.34	555.41	297.17	264.03	231.32	327.56	381.68	232.94	237.86	231.32	299.25	246.28	291.04	733.19	473.41	318.57	395.18	175.07	500.46	251.48	316.37	173.85	211.31	205.5	320.8	244.57	361.04	265.87	356.05	177.53	76.71	128.79	417.77	503.95	571.05
TAOK1	58.71	89.51	91.41	163.28	500.46	205.5	98.73	102.97	208.38	79.45	92.7	128.79	159.9	80.01	164.42	156.59	406.31	392.44	384.34	395.18	332.14	400.71	146.03	271.48	301.33	264.03	279.14	226.54	147.06	244.57	140.04	363.56	327.56	336.79	283.05	236.21	139.07	295.11	267.73	387.02	312.0	158.79	325.29	189.02	155.5	320.8	199.85	341.51	123.5	291.04	110.43	379.04	122.64	107.38	348.71	166.73	139.07	267.73	400.71	327.56	191.67	214.27	218.79	177.53	131.51	152.28	759.08	381.68	176.29	248.0	108.14	287.01	239.52	299.25	149.12	156.59	271.48	283.05	191.67	264.03	187.71	348.71	165.57	50.98	47.17	346.29	397.93	447.82
TCF20	265.87	202.66	206.94	329.84	381.68	403.5	237.86	392.44	878.17	275.28	214.27	366.09	371.22	185.11	392.44	343.89	995.0	872.1	1127.35	620.67	748.61	884.29	301.33	293.07	348.71	395.18	392.44	493.56	420.68	277.2	392.44	379.04	265.87	221.86	466.88	493.56	239.52	511.0	521.76	309.83	854.13	389.72	480.04	470.14	314.17	387.02	320.8	368.65	320.8	595.34	295.11	476.71	366.09	397.93	830.75	503.95	438.59	599.49	409.15	836.53	575.03	518.15	409.15	389.72	381.68	540.19	934.76	555.41	323.03	435.55	209.84	819.3	460.44	409.15	239.52	493.56	351.14	480.04	387.02	384.34	543.96	466.88	269.6	70.51	95.34	660.68	521.76	836.53
TET1	0.59	1.95	3.72	7.63	3.47	5.32	2.34	1.83	0.0	0.79	2.34	1.41	1.39	0.0	2.92	1.97	7.17	36.01	13.32	10.55	33.54	12.18	2.32	8.19	3.35	4.31	1.5	1.48	1.03	3.08	18.97	3.69	2.25	5.19	3.06	3.5	10.39	7.34	4.5	6.26	17.13	2.29	12.55	3.38	3.66	12.93	7.06	7.22	2.18	15.11	0.65	12.74	2.78	1.66	6.16	0.59	5.15	2.97	10.47	20.26	7.88	11.3	8.45	2.76	4.06	4.58	28.24	21.32	7.63	36.27	2.18	36.53	3.14	9.56	5.02	3.56	3.92	10.63	1.79	4.1	18.56	10.24	1.6	7.88	0.96	7.75	31.22	9.48
TET2	21.47	33.06	23.42	39.79	48.18	120.94	26.1	106.63	258.57	31.67	44.25	37.32	52.08	36.53	122.64	43.63	271.48	368.65	299.25	275.28	277.2	182.55	71.0	147.06	105.89	114.36	144.01	158.79	65.72	113.56	85.22	167.9	87.65	218.79	181.28	140.04	97.36	130.6	149.12	182.55	155.5	86.43	161.02	53.95	91.41	209.84	172.65	201.25	60.39	199.85	57.49	151.22	57.89	38.67	260.38	101.54	44.89	118.43	262.2	134.3	96.68	172.65	158.79	52.82	55.1	96.01	684.02	307.69	43.63	208.38	45.85	224.97	128.79	183.82	78.34	23.25	194.36	176.29	91.41	79.45	85.22	194.36	98.73	7.94	7.4	183.82	279.14	155.5
TET3	49.21	94.01	17.25	69.03	93.35	198.47	35.5	65.72	291.04	33.3	38.95	123.5	94.67	37.85	253.23	123.5	316.37	738.29	1051.79	417.77	571.05	435.55	100.83	161.02	132.44	198.47	161.02	191.67	139.07	277.2	108.9	218.79	115.16	149.12	189.02	209.84	57.89	269.6	175.07	190.34	403.5	133.36	371.22	140.04	94.01	316.37	142.01	170.25	85.22	343.89	117.6	423.61	67.12	41.22	343.89	116.78	105.89	172.65	234.57	476.71	220.32	275.28	137.14	114.36	82.87	204.07	684.02	381.68	94.01	275.28	57.89	309.83	148.09	136.19	103.69	63.45	273.37	202.66	145.02	157.68	209.84	185.11	92.7	17.64	22.1	454.09	206.94	325.29
THAP9	15.34	17.64	16.15	14.67	18.16	30.78	13.32	31.22	43.02	16.75	20.56	64.34	36.53	23.08	39.22	90.77	48.52	63.0	50.98	32.13	79.45	56.28	31.9	28.65	34.26	30.56	22.26	29.48	18.7	18.29	32.59	32.82	33.78	29.27	18.84	26.47	32.59	24.11	28.24	20.56	46.84	25.17	25.72	29.7	20.26	34.26	30.34	37.05	18.43	54.72	22.43	39.5	21.16	23.25	71.0	29.7	15.45	35.0	29.27	33.06	13.72	39.79	29.06	33.3	24.46	17.64	119.26	61.68	38.12	49.91	28.24	46.5	25.54	20.11	24.81	10.71	16.75	11.13	25.91	32.59	35.0	55.49	26.67	13.72	19.25	33.78	51.35	43.63
TMTC3	180.02	68.07	49.91	363.56	96.01	102.97	76.17	109.66	206.94	66.65	88.88	110.43	151.22	97.36	143.01	139.07	514.56	348.71	273.37	305.55	518.15	525.39	193.01	318.57	241.19	395.18	255.0	183.82	206.94	169.07	62.56	217.27	312.0	273.37	214.27	209.84	140.04	454.09	397.93	325.29	563.18	215.77	441.64	150.17	128.79	231.32	211.31	283.05	253.23	420.68	180.02	329.84	183.82	123.5	684.02	287.01	318.57	379.04	301.33	633.73	305.55	289.02	157.68	108.9	133.36	379.04	830.75	854.13	117.6	325.29	116.78	486.75	358.54	356.05	167.9	154.42	283.05	241.19	183.82	426.57	256.78	312.0	161.02	43.02	23.59	307.69	305.55	718.08
